L' R F' R D' L2
L' R F' D' L2 R
L' R F' D' R L2
F' L' R F' D' L2
R L' F' R D' L2
R L' F' D' L2 R
R L' F' D' R L2
F' R L' F' D' L2
F' R D F L' F2
F' R F2 D F L'
L' F' R D' L2 F'
L' F' R D' F' L2
R F2 D F L' R
R F2 D F R L'
U F' L B' U' R F'
R F' L' R U' F U
L' F' R L D' L2 F'
L' F' R L D' F' L2
L' F' R L' D' L2 F'
L' F' R L' D' F' L2
L' F' R L2 D' L2 F'
L' F' R L2 D' F' L2
L' F' R U' F2 U F
L' F' R D F' D2 L2
L' F' R D' L F' L
L' F' R D' L2 D F'
L' F' R D' L2 D' F'
L' F' R D' L2 D2 F'
L' F' R D' L2 F' D
L' F' R D' L2 F' D'
L' F' R D' L2 F' D2
L' F' R D' F L2 F2
L' F' R D' F' L2 D
L' F' R D' F' L2 D'
L' F' R D' F' L2 D2
L' F' R D2 F' D L2
L2 F' R L F' D' L2
F D F D L' F R
L' F' R F' U' F' U
L F' L2 R F' D' L2
U F' L2 U' R F' L'
L F' R L2 F' D' L2
R F' R L U B' U'
L F' R U B' U' F'
R F' R L' U' F U
R F' R D F L' F'
L F' R F' U B' U'
L' F' R2 D' L2 R' F'
R F' R D' B' L B
L' F' R2 D' R' L2 F'
L' F' R2 D' R' F' L2
R F' R F' D F L'
F D F2 D' R F' L'
R F' R B D' B' L
L F' U B' U' R F'
L' F' D' L2 D R F'
R F' D R F L' F'
R F' D F L' F' R
D F' D' F' R F' L'
R F' D' R B' L B
R F' D' B' L B R
R F' D2 R U' F' U
R F' B R D' B' L
R F' B D' R B' L
R F' B D' B' L R
R F' B D' B' R L
L F' B' U' B R F'
R F2 R D F L' R
R F2 R D F R L'
R F2 R' D F L' R
R F2 R' D F R L'
R F2 R2 D F L' R
R F2 R2 D F R L'
F' D2 L' R F D' L2
F' D2 L' D' R F L'
F2 D2 L' D' F L' R
F2 D2 L' D' F R L'
F' D2 R L' F D' L2
R F2 D R F L' R
R F2 D R F R L'
D F2 D' R F' L' R
D F2 D' R F' R L'
R F2 D R' F L' R
R F2 D R' F R L'
R F2 D R2 F L' R
R F2 D R2 F R L'
R F2 D F L' R D
R F2 D F L' R D'
R F2 D F L' R D2
R F2 D F L' D R
R F2 D F L' D' R
R F2 D F L' D2 R
R F2 D F R L' D
R F2 D F R L' D'
R F2 D F R L' D2
R F2 D F R D L'
R F2 D F R D' L'
R F2 D F R D2 L'
R F2 D F D L' R
R F2 D F D R L'
R F2 D F D' L' R
R F2 D F D' R L'
R F2 D F D2 L' R
R F2 D F D2 R L'
D F2 D' F' L' R F'
D F2 D' F' R L' F'
F' B R D' F' B' L
F' B R D' B' L F'
F' B R D' B' F' L
F' B R F' D' B' L
R B F' R D' B' L
R B F' D' R B' L
R B F' D' B' L R
R B F' D' B' R L
L B' U' F' B R F'
B F' R D' F' B' L
B F' R D' B' L F'
B F' R D' B' F' L
L B' U' B R F' R
L B' U' B F' R F'
B F' R F' D' B' L
L B' F' U' B R F'
