B2 R' B' U' F'
B2 L R' U' F' L'
U2 L R2 F' U F2
U2 L U2 B U' F
B2 R' L U' F' L'
R' U2 L F U F2
B2 R' D B' U' F'
B2 R' D' B' U' F'
B2 R' D2 B' U' F'
B2 R' B' L U' F'
B2 R' B' L' U' F'
B2 R' B' L2 U' F'
B2 R' B' U' D F'
B2 R' B' U' D' F'
B2 R' B' U' D2 F'
B2 R' B' U' F' D
B2 R' B' U' F' D'
B2 R' B' U' F' D2
B2 R' B' D U' F'
B2 R' B' D' U' F'
B2 R' B' D2 U' F'
U2 R2 L F' U F2
U2 R2 F' L U F
B2 R2 B' R U' F'
B2 D R' B' U' F'
B2 D' R' B' U' F'
B D' R' U' F' B
B D' R' U' B F'
B2 D2 R' B' U' F'
D2 B2 R' B' U' F'
D' B2 R' B' U' F'
D B2 R' B' U' F'
D R' U2 L F U F2
B2 R' D L U' F' L'
B R' D L U' F' B'
B R' D L U' B' F'
B2 R' D B' L U' F'
B2 R' D B' L' U' F'
B2 R' D B' L2 U' F'
B2 R' D B' U' D F'
B2 R' D B' U' D' F'
B2 R' D B' U' D2 F'
B2 R' D B' U' F' D
B2 R' D B' U' F' D'
B2 R' D B' U' F' D2
B2 R' D B' D U' F'
B2 R' D B' D' U' F'
B2 R' D B' D2 U' F'
B2 R' D' L U' F' L'
R' U2 L U F' D' L2
R' U2 L D F U F2
R' U2 L D' F U F2
R' U2 L D2 F U F2
R' U2 L F R U F2
R' U2 L F R' U F2
R' U2 L F R2 U F2
R' U2 L F U F2 D
R' U2 L F U F2 D'
R' U2 L F U F2 D2
R' U2 L F D R2 U
R2 U2 L R U F' L'
B2 R' D' B' L U' F'
B2 R' D' B' L' U' F'
B2 R' D' B' L2 U' F'
B2 R' D' B' U' D F'
B2 R' D' B' U' D' F'
B2 R' D' B' U' D2 F'
B2 R' D' B' U' F' D
B2 R' D' B' U' F' D'
B2 R' D' B' U' F' D2
B2 R' D' B' D U' F'
B2 R' D' B' D' U' F'
B2 R' D' B' D2 U' F'
B2 R' D2 L U' F' L'
R2 U2 L D' F' R U
R U2 L R2 U F' L'
R2 U2 L F' R U F'
B2 R' D2 B' L U' F'
B2 R' D2 B' L' U' F'
B2 R' D2 B' L2 U' F'
B2 R' D2 B' U' D F'
B2 R' D2 B' U' D' F'
B2 R' D2 B' U' D2 F'
B2 R' D2 B' U' F' D
B2 R' D2 B' U' F' D'
B2 R' D2 B' U' F' D2
B2 R' D2 B' D U' F'
B2 R' D2 B' D' U' F'
B2 R' D2 B' D2 U' F'
R2 U2 R L U F' L'
B2 R' B L B2 U' F'
B2 R' B L' B2 U' F'
B2 R' B L2 B2 U' F'
B2 R' B U' D L2 F'
B2 R' B U' D F' L2
B2 R' B U' F' D L2
B2 R' B D U' L2 F'
B2 R' B D U' F' L2
B2 R' B' L U' D F'
B2 R' B' L U' D' F'
B2 R' B' L U' D2 F'
B2 R' B' L U' F' D
B2 R' B' L U' F' D'
B2 R' B' L U' F' D2
B2 R' B' L D U' F'
B2 R' B' L D' U' F'
B2 R' B' L D2 U' F'
R' U2 D L F U F2
B2 R' B' L' U' D F'
B2 R' B' L' U' D' F'
B2 R' B' L' U' D2 F'
B2 R' B' L' U' F' D
B2 R' B' L' U' F' D'
B2 R' B' L' U' F' D2
B2 R' B' L' D U' F'
B2 R' B' L' D' U' F'
B2 R' B' L' D2 U' F'
B2 R' B' L2 U' D F'
B2 R' B' L2 U' D' F'
B2 R' B' L2 U' D2 F'
B2 R' B' L2 U' F' D
B2 R' B' L2 U' F' D'
B2 R' B' L2 U' F' D2
B2 R' B' L2 D U' F'
B2 R' B' L2 D' U' F'
B2 R' B' L2 D2 U' F'
R U2 R2 L U F' L'
B2 R' B' U B U2 F'
B2 R' B' U B' U2 F'
B2 R' B' U B2 U2 F'
B2 R' B' U' L' F' L
B2 R' B' U' L2 F' L2
B2 R' B' U' D F' D
B2 R' B' U' D F' D'
B2 R' B' U' D F' D2
B2 R' B' U' D' F' D
B2 R' B' U' D' F' D'
B2 R' B' U' D' F' D2
B2 R' B' U' D2 F' D
B2 R' B' U' D2 F' D'
B2 R' B' U' D2 F' D2
B2 R' B' U' F2 D F
B2 R' B' U' F2 D' F
B2 R' B' U' F2 D2 F
B2 R' B' D L U' F'
B2 R' B' D L' U' F'
B2 R' B' D L2 U' F'
B2 R' B' D U' F' D
B2 R' B' D U' F' D'
B2 R' B' D U' F' D2
B2 R' B' D' L U' F'
B2 R' B' D' L' U' F'
B2 R' B' D' L2 U' F'
B2 R' B' D' U' F' D
B2 R' B' D' U' F' D'
B2 R' B' D' U' F' D2
B2 R' B' D2 L U' F'
B2 R' B' D2 L' U' F'
B2 R' B' D2 L2 U' F'
B2 R' B' D2 U' F' D
B2 R' B' D2 U' F' D'
B2 R' B' D2 U' F' D2
R' U2 D' L F U F2
B2 R' B2 L B U' F'
B2 R' B2 L' B U' F'
B2 R' B2 L2 B U' F'
B2 R' B2 D B U' F'
R' U2 D2 L F U F2
R2 U2 D' L F' R U
B2 R' B2 D' B U' F'
B2 R' B2 D2 B U' F'
R2 U2 D' F' L R U
U2 R2 L U F D' L2
R2 U2 D' F' R L U
U2 R2 L D F' U F2
U2 R2 L D' F' U F2
R' U2 F L F U F
U2 R2 L D2 F' U F2
U2 R2 L F' R U F2
U2 R2 L F' R' U F2
U2 R2 L F' R2 U F2
U2 R2 L F' U F2 D
U2 R2 L F' U F2 D'
U2 R2 L F' U F2 D2
U2 R2 L F' D R2 U
U2 R2 L' F' L2 U F
R' U2 F' L F U F'
R2 U2 F' L R U F'
R2 U2 F' R L U F'
U R2 U L F' U F2
U R2 U F' L U F
L U2 B L U' F R
U2 R2 D L F' U F2
B2 R2 D R B' L U'
U2 R2 D F' L U F
B2 R2 D B' L R U'
B2 R2 D B' R L U'
U2 R2 D' L F' U F2
U2 R2 D' F' L U F
U2 R2 D2 L F' U F2
U2 R2 D2 F' L U F
U2 R2 F L F2 U F'
U2 R2 F' L R U F
U2 R2 F' L R' U F
U2 R2 F' L R2 U F
U2 R2 F' L U D F
U2 R2 F' L U D' F
U2 R2 F' L U D2 F
U2 R2 F' L U F D
U2 R2 F' L U F D'
U2 R2 F' L U F D2
U2 R2 F' L D U F
U2 R2 F' L D' U F
U2 R2 F' L D2 U F
U2 R2 F' R L U F
U2 R2 F' R' L U F
U2 R2 F' R2 L U F
U2 R2 F' D L U F
U2 R2 F' D' L U F
U2 R2 F' D2 L U F
B2 R2 B R B2 U' F'
B2 R2 B' L R U' F'
B2 R2 B' L' R U' F'
B2 R2 B' L2 R U' F'
B2 R2 B' R L U' F'
B2 R2 B' R L' U' F'
B2 R2 B' R L2 U' F'
B2 R2 B' R U' D F'
B2 R2 B' R U' D' F'
B2 R2 B' R U' D2 F'
B2 R2 B' R U' F' D
B2 R2 B' R U' F' D'
B2 R2 B' R U' F' D2
B2 R2 B' R D U' F'
B2 R2 B' R D' U' F'
B2 R2 B' R D2 U' F'
R' D U2 L F U F2
U2 D L R2 F' U F2
U2 D L U2 B U' F
U2 D R2 L F' U F2
U2 D R2 F' L U F
U2 D' L R2 F' U F2
U2 D' L U2 B U' F
B U B U' R' U' F'
B U B' U L U F
R' D' U2 L F U F2
R2 D' U2 L F' R U
R2 D' U2 F' L R U
R2 D' U2 F' R L U
U2 D' R2 L F' U F2
U2 D' R2 F' L U F
D' U2 L R2 F' U F2
D' U2 L U2 B U' F
D2 U2 L R2 F' U F2
D2 U2 L U2 B U' F
U2 D2 L R2 F' U F2
U2 D2 L U2 B U' F
D U2 L R2 F' U F2
D U2 L U2 B U' F
B U' B U L R' U'
B U' B U R' L U'
B U' B' U' L R' U
B U' B' U' R' L U
D' U2 R2 L F' U F2
D2 U2 R2 L F' U F2
R' D2 U2 L F U F2
D' U2 R2 F' L U F
D2 U2 R2 F' L U F
U2 D2 R2 L F' U F2
D U2 R2 L F' U F2
U2 D2 R2 F' L U F
D U2 R2 F' L U F
B U2 D L U F B'
B U2 D L U B' F
U2 F L R2 F' U F2
U2 F L U2 B U' F
U2 F R2 L F' U F2
U2 F R2 F' L U F
B U2 B' L B U F
B2 D L R' U' F' L'
B D L R' U' F' B'
B D L R' U' B' F'
B2 D R' L U' F' L'
B2 D R' D B' U' F'
B2 D R' D' B' U' F'
B2 D R' D2 B' U' F'
B2 D R' B' L U' F'
B2 D R' B' L' U' F'
B2 D R' B' L2 U' F'
B2 D R' B' U' D F'
B2 D R' B' U' D' F'
B2 D R' B' U' D2 F'
B2 D R' B' U' F' D
B2 D R' B' U' F' D'
B2 D R' B' U' F' D2
B2 D R' B' D U' F'
B2 D R' B' D' U' F'
B2 D R' B' D2 U' F'
B D R' L U' F' B'
B D R' L U' B' F'
B2 D R2 B' R U' F'
U2 F' L R2 F' U F2
U2 F' L U2 B U' F
B D U2 L U F B'
B D U2 L U B' F
B' D B' R' U' L2 F'
B' D B' R' U' F' L2
U2 F' R2 L F' U F2
U2 F' R2 F' L U F
B2 D' L R' U' F' L'
B D' L R' U' F' B
B D' L R' U' B F'
B D' L' R' U' F' B
B D' L' R' U' B F'
B D' L2 R' U' F' B
B D' L2 R' U' B F'
B2 D' R' L U' F' L'
B D' R U F' B U2
B D' R U B F' U2
B2 D' R' D B' U' F'
B2 D' R' D' B' U' F'
B2 D' R' D2 B' U' F'
B2 D' R' B' L U' F'
B2 D' R' B' L' U' F'
B2 D' R' B' L2 U' F'
B2 D' R' B' U' D F'
B2 D' R' B' U' D' F'
B2 D' R' B' U' D2 F'
B2 D' R' B' U' F' D
B2 D' R' B' U' F' D'
B2 D' R' B' U' F' D2
B2 D' R' B' D U' F'
B2 D' R' B' D' U' F'
B2 D' R' B' D2 U' F'
B D' R' L U' F' B
B D' R' L U' B F'
B D' R' L' U' F' B
B D' R' L' U' B F'
B D' R' L2 U' F' B
B D' R' L2 U' B F'
B D' R' U' D F' B
B D' R' U' D B F'
B D' R' U' D' F' B
B D' R' U' D' B F'
B D' R' U' D2 F' B
B D' R' U' D2 B F'
B D' R' U' F' D B
B D' R' U' F' D' B
B D' R' U' F' D2 B
B D' R' U' F' B D
B D' R' U' F' B D'
B D' R' U' F' B D2
B D' R' U' B D F'
B D' R' U' B D' F'
B D' R' U' B D2 F'
B D' R' U' B F' D
B D' R' U' B F' D'
B D' R' U' B F' D2
B D' R' D U' F' B
B D' R' D U' B F'
B D' R' D' U' F' B
B D' R' D' U' B F'
B D' R' D2 U' F' B
B D' R' D2 U' B F'
B2 D' R2 B' R U' F'
U2 F2 L R2 F' U F2
U2 F2 L U2 B U' F
U2 F2 R2 L F' U F2
U2 F2 R2 F' L U F
B2 D2 L R' U' F' L'
B2 D2 R' L U' F' L'
B2 D2 R' D B' U' F'
B2 D2 R' D' B' U' F'
B2 D2 R' D2 B' U' F'
B2 D2 R' B' L U' F'
B2 D2 R' B' L' U' F'
B2 D2 R' B' L2 U' F'
B2 D2 R' B' U' D F'
B2 D2 R' B' U' D' F'
B2 D2 R' B' U' D2 F'
B2 D2 R' B' U' F' D
B2 D2 R' B' U' F' D'
B2 D2 R' B' U' F' D2
B2 D2 R' B' D U' F'
B2 D2 R' B' D' U' F'
B2 D2 R' B' D2 U' F'
B2 D2 R2 B' R U' F'
L' B L U2 L U F
L2 B L2 U2 L U F
L B L' U2 L U F
L' B R D2 R2 U' F'
R' B R B R' U' F'
L' B R' U' D' F' B2
L' B R' U' D' B2 F'
L' B R' U' F' D' B2
L' B R' U2 L2 U F'
L' B R' D' U' F' B2
L' B R' D' U' B2 F'
L2 B R' U2 L' U F'
L B R U B U2 B'
R2 B R2 B R' U' F'
L2 B U2 L' U' B' U2
D2 B D' R' U' F' B
D2 B D' R' U' B F'
D' B D' R' U' F' B
D' B D' R' U' B F'
L' B D' R' U' F' B2
L' B D' R' U' B2 F'
D B D' R' U' F' B
D B D' R' U' B F'
L' B' L B2 R' U' F'
L2 B' L2 B2 R' U' F'
L B' L' B2 R' U' F'
B2 F' R' F B' U' F2
B2 F' R' B' F U' F2
D2 B2 L R' U' F' L'
D' B2 L R' U' F' L'
D B2 L R' U' F' L'
D2 B2 R' L U' F' L'
D' B2 R' L U' F' L'
D2 B2 R' D B' U' F'
D2 B2 R' D' B' U' F'
U' B2 R' B' L U' R
D2 B2 R' D2 B' U' F'
D' B2 R' D B' U' F'
D' B2 R' D' B' U' F'
D' B2 R' D2 B' U' F'
D2 B2 R' B' L U' F'
D2 B2 R' B' L' U' F'
D2 B2 R' B' L2 U' F'
D2 B2 R' B' U' D F'
D2 B2 R' B' U' D' F'
D2 B2 R' B' U' D2 F'
D2 B2 R' B' U' F' D
D2 B2 R' B' U' F' D'
D2 B2 R' B' U' F' D2
D2 B2 R' B' D U' F'
D2 B2 R' B' D' U' F'
D2 B2 R' B' D2 U' F'
R B2 L2 R' B U' F
D' B2 R' B' L U' F'
D' B2 R' B' L' U' F'
D' B2 R' B' L2 U' F'
D' B2 R' B' U' D F'
D' B2 R' B' U' D' F'
D' B2 R' B' U' D2 F'
D' B2 R' B' U' F' D
D' B2 R' B' U' F' D'
D' B2 R' B' U' F' D2
D' B2 R' B' D U' F'
D' B2 R' B' D' U' F'
D' B2 R' B' D2 U' F'
D B2 R' L U' F' L'
D2 B2 R2 B' R U' F'
U' B2 U R' B' L U'
D' B2 R2 B' R U' F'
D B2 R' D B' U' F'
D B2 R' D' B' U' F'
D B2 R' D2 B' U' F'
D B2 R' B' L U' F'
D B2 R' B' L' U' F'
D B2 R' B' L2 U' F'
D B2 R' B' U' D F'
D B2 R' B' U' D' F'
D B2 R' B' U' D2 F'
D B2 R' B' U' F' D
D B2 R' B' U' F' D'
D B2 R' B' U' F' D2
D B2 R' B' D U' F'
D B2 R' B' D' U' F'
D B2 R' B' D2 U' F'
R B2 R' L2 B U' F
F' B2 R' F B' U' F2
D B2 R2 B' R U' F'
R B2 R' B U B2 U2
R B2 R' B U' D2 F2
R B2 R' B D L2 U'
R B2 R' B D2 U' F2
F' B2 R' B' F U' F2
B2 F2 R' F2 B' U' F
B2 F2 R' B' F2 U' F
F2 B2 R' F2 B' U' F
F2 B2 R' B' F2 U' F
D2 B2 D R' B' U' F'
D' B2 D R' B' U' F'
U B2 U' R' B' U' F'
D2 B2 D' R' B' U' F'
D' B2 D' R' B' U' F'
D B2 D R' B' U' F'
D2 B2 D2 R' B' U' F'
D' B2 D2 R' B' U' F'
D B2 D' R' B' U' F'
D B2 D2 R' B' U' F'
