L F2 R B U
D2 B2 R' F' U'
L R F2 B R U
R L F2 B R U
L R B F2 R U
R L B F2 R U
U2 L F2 U2 F' U'
U2 L' F2 B' L2 U
U2 L' B' L2 F2 U
U2 L' B' F2 L2 U
B2 R' D' F' U' L2
B2 R' D2 F' B2 U'
B2 R' D2 B2 F' U'
R U2 L F2 B U
R U2 L B F2 U
B2 R' F' U2 F' U
D2 R' F' B2 R' U'
D2 R' B2 F' R' U'
R U2 F2 L B U
R' D2 F' B2 R' U'
R' D2 B2 F' R' U'
D2 F B2 R' F' U'
R' F' U2 L F' U
R' F' U2 F' L U
B2 D' R' F' U' L2
D2 F' B2 R' F' U'
U2 F2 L U2 F U'
U2 F2 L' B' L2 U
L F2 R D B U
L F2 R D' B U
L F2 R D2 B U
L F2 R B U D
L F2 R B U D'
L F2 R B U D2
L F2 R B D U
L F2 R B D' U
L F2 R B D2 U
L F2 D R B U
L F2 D' R B U
L F2 D2 R B U
B2 D2 R' F' B2 U'
B2 D2 R' B2 F' U'
L F2 B R B U
L F2 B' R B U
D2 F2 B2 R' F' U'
L F2 B2 R B U
L B F2 R B U
L B' F2 R B U
D2 B2 R' D F' U'
D2 B2 R' D F' U'
D2 B2 R' D' F' U'
D2 B2 R' D2 F' U'
D2 B2 R' F' U' D
D2 B2 R' F' U' D'
D2 B2 R' F' U' D2
D2 B2 R' F' D U'
D2 B2 R' F' D' U'
D2 B2 R' F' D2 U'
D' B2 R' F' U' L2
D2 B2 D R' F' U'
D2 B2 D' R' F' U'
D2 B2 D2 R' F' U'
D2 B2 D2 R' F' U'
D2 B2 F R' F' U'
D2 B2 F' R' F' U'
D2 B2 F2 R' F' U'
L B2 F2 R B U
U2 L' F' B' L2 F' U
U2 L' F2 L2 U2 F U'
U2 L' F2 D' B' U B'
U2 L' F2 B L2 B2 U
U2 L' F2 B' L2 U D
U2 L' F2 B' L2 U D'
U2 L' F2 B' L2 U D2
U2 L' F2 B' L2 D U
U2 L' F2 B' L2 D' U
U2 L' F2 B' L2 D2 U
U2 L' F2 B' U D' B2
U2 L' F2 B' D' U B2
U2 L' F2 B2 L2 B U
U2 L' B L2 F2 B2 U
U2 L' B L2 B2 F2 U
U' L' B D' B2 L2 R'
U' L' B D' B2 R' L2
U2 L' B F2 L2 B2 U
U2 L' B' L F2 L U
U2 L' B' L2 U D' L2
U2 L' B' L2 D' U L2
U2 L' B' L2 F2 U D
U2 L' B' L2 F2 U D'
U2 L' B' L2 F2 U D2
U2 L' B' L2 F2 D U
U2 L' B' L2 F2 D' U
U2 L' B' L2 F2 D2 U
U' L' B' R' D' L2 B2
U' L' B' R' D' B2 L2
U2 L' B' U D' L2 B2
U2 L' B' U D' B2 L2
U' L' B' D' L2 R' B2
U' L' B' D' R' L2 B2
U' L' B' D' R' B2 L2
U2 L' B' D' U L2 B2
U2 L' B' D' U B2 L2
U2 L' B' F' L2 F' U
U2 L' B' F2 L2 U D
U2 L' B' F2 L2 U D'
U2 L' B' F2 L2 U D2
U2 L' B' F2 L2 D U
U2 L' B' F2 L2 D' U
U2 L' B' F2 L2 D2 U
U2 L' B' F2 U D' B2
U2 L' B' F2 D' U B2
U2 L' B2 L2 F2 B U
U2 L' B2 L2 B F2 U
U2 L' B2 F2 L2 B U
U L2 U L' F2 B' U
U L2 U L' B' F2 U
L R2 F2 R U2 F' U'
L R2 F2 R' B R2 U
U' L2 U' L' F2 B' U
U' L2 U' L' B' F2 U
R L2 B L' F2 R U
F2 R L B U2 L' U'
F' R U2 L F B U
F' R U2 L B F U
F R U2 F L B U
R U' L F2 B U F2
R U' L B F2 U F2
B2 R F' R2 F' B U'
B2 R F' R2 B F' U'
B' R B L F2 R U
D2 R B2 R' U2 B' U
F2 R' L U2 L' F' U'
R U' F2 L B U F2
B2 R' U2 F2 U2 F U'
B2 R' D F' U R2 U2
B2 R' D F' U' D2 L2
B2 R' D F' D B2 U'
B2 R' D F' D2 U' L2
D' R' D' F' B2 R' U'
D' R' D' B2 F' R' U'
B2 R' D' F' U' L2 D
B2 R' D' F' U' L2 D'
B2 R' D' F' U' L2 D2
B2 R' D' F' D' B2 U'
B2 R' D' F' B U' L2
B2 R' D' F' B' U' L2
B2 R' D' F' B2 U' L2
R' U2 L F2 U2 F U'
B2 R' D' B F' U' L2
B2 R' D' B' F' U' L2
B2 R' D' B2 F' U' L2
L U2 L F L2 B' U'
R U2 L D' B U L2
B2 R' D2 F' U' D L2
B2 R' D2 F' D U' L2
B2 R' D2 F' B2 U' D
B2 R' D2 F' B2 U' D'
B2 R' D2 F' B2 U' D2
B2 R' D2 F' B2 D U'
B2 R' D2 F' B2 D' U'
B2 R' D2 F' B2 D2 U'
R' U2 L' F2 L2 B' U
R U2 L F2 D B U
R U2 L F2 D' B U
R U2 L F2 D2 B U
B2 R' D2 B2 D F' U'
R U2 L F2 B U D
R U2 L F2 B U D'
R U2 L F2 B U D2
R U2 L F2 B D U
R U2 L F2 B D' U
R U2 L F2 B D2 U
B2 R' D2 B2 D' F' U'
B2 R' D2 B2 D2 F' U'
B2 R' D2 B2 F' U' D
B2 R' D2 B2 F' U' D'
B2 R' D2 B2 F' U' D2
B2 R' D2 B2 F' D U'
B2 R' D2 B2 F' D' U'
B2 R' D2 B2 F' D2 U'
R U2 L B U D' L2
B R' D2 F' R B2 U'
R U2 L B D' U L2
R U2 L B F2 U D
R U2 L B F2 U D'
R U2 L B F2 U D2
R U2 L B F2 D U
R U2 L B F2 D' U
R U2 L B F2 D2 U
B R' D2 F' B2 R U'
B R' D2 B2 F' R U'
L2 U2 L' F2 R B' U
L2 U2 L' F2 B' R U
L U2 L' U2 F2 B' U
L U2 L' U2 B' F2 U
L2 U2 L' B' F2 R U
D2 R' F B2 R' F2 U'
D2 R' F' R B2 R' U'
R U2 L' F2 L2 B U
D2 R' F' R' B2 R' U'
R U2 L' F2 B L2 U
R U2 L' B L2 F2 U
D2 R' F' R2 B2 R' U'
R U2 L' B F2 L2 U
D' R' F' U2 L U L
B' R' F' U2 F' L' U
B2 R' F' R2 B R2 U'
D' R' F' D' B2 R' U'
B2 R' F' U2 D F' U
B2 R' F' U2 D' F' U
B2 R' F' U2 D2 F' U
B2 R' F' U2 F' U D
B2 R' F' U2 F' U D'
B2 R' F' U2 F' U D2
B2 R' F' U2 F' D U
B2 R' F' U2 F' D' U
B2 R' F' U2 F' D2 U
D2 R' F' B2 R' U' D
D2 R' F' B2 R' U' D'
D2 R' F' B2 R' U' D2
D2 R' F' B2 R' D U'
D2 R' F' B2 R' D' U'
D2 R' F' B2 R' D2 U'
D' R' F' B2 R' U' L2
D2 R' F' B2 D R' U'
D2 R' F' B2 D' R' U'
D2 R' F' B2 D2 R' U'
B2 R' F' D U2 F' U
F2 R' F' U2 F L U
F' R' F' B2 R' B U'
B2 R' F' D' U2 F' U
B R' F' R2 B R' U'
B2 R' F' D2 U2 F' U
B2 R' F' B U2 F' U
B2 R' F' B' U2 F' U
B2 R' F' B2 U2 F' U
R U2 L2 B L' F2 U
F R' F' U2 L F2 U
F R' F' U2 F2 L U
D R' F' B2 R' U' L
F R' F' D2 B2 R' U'
D2 R' F2 B2 R' F U'
B2 R' B D' F' U' L2
B2 R' B D2 F' B2 U'
B2 R' B D2 B2 F' U'
B2 R' B F' U2 F' U
B2 R' B' D' F' U' L2
B2 R' B' D2 F' B2 U'
B2 R' B' D2 B2 F' U'
B2 R' B' F' U2 F' U
D2 R' B2 D F' R' U'
D2 R' B2 D' F' R' U'
D2 R' B2 D2 F' R' U'
D2 R' B2 F R' F2 U'
D2 R' B2 F' R' U' D
D2 R' B2 F' R' U' D'
D2 R' B2 F' R' U' D2
D2 R' B2 F' R' D U'
D2 R' B2 F' R' D' U'
D2 R' B2 F' R' D2 U'
D2 R' B2 F' D R' U'
D2 R' B2 F' D' R' U'
D2 R' B2 F' D2 R' U'
D' R' B2 F' R' U' L2
D2 R' B2 F2 R' F U'
F' R' B2 F' R' B U'
B2 R' B2 D' F' U' L2
B2 R' B2 D2 F' B2 U'
B2 R' B2 D2 B2 F' U'
B2 R' B2 F' U2 F' U
D R' B2 F' R' U' L
U2 R2 L F2 R2 B U
R' U2 F2 L2 B' L' U
R U2 F' L F' B U
R U2 F' L B F' U
R U2 F2 L D B U
R U2 F2 L D' B U
R U2 F2 L D2 B U
R U2 F2 L B U D
R U2 F2 L B U D'
R U2 F2 L B U D2
R U2 F2 L B D U
R U2 F2 L B D' U
R U2 F2 L B D2 U
R U2 F2 L' B L2 U
R U2 F2 L2 B L' U
R2 U2 F2 D2 L B' U
R U2 F2 D L B U
R U2 F2 D' L B U
R U2 F2 D2 L B U
D2 R2 B2 R F' R2 U'
D2 R2 B2 R' U2 B U
R' D F' D B2 R' U'
U2 D' L U2 F U' L
U' D' L2 U' L' B' U
D' U' L2 U' L' B' U
U2 D' L' B' L2 U L
B' U' L D' L2 B' R'
B' U' L' D' B' L2 R'
B' U' L' D' B' R' L2
B' U' L' B' R' D' L2
B' U' L' B' D' L2 R'
B' U' L' B' D' R' L2
R' D' F' U2 L U L
R' D' F' D' B2 R' U'
R' D' F' B2 R' U' L2
L D' F2 R B U L2
R' D' B2 F' R' U' L2
B' U' D' L' B' L' R'
B' U' D' L' B' R' L'
B U' D' L2 B' R' B
B U' D' B' L2 R' B
B U' D' B' R' L2 B
B U' D' B' R' B L2
D' U2 L U2 F U' L
D2 U2 L U2 F B2 U'
D2 U2 L U2 B2 F U'
U2 D2 L U2 F B2 U'
U2 D2 L U2 B2 F U'
L D2 L' B2 R' F' U'
R' D2 R B2 R' F' U'
D' U2 L' B' L2 U L
D2 U2 L' B' L2 F U
U2 D2 L' B' L2 F U
B2 U' B' D' L2 R' B
B2 U' B' D' R' L2 B
B2 U' B' D' R' B L2
R D2 R' B2 R' F' U'
R D2 R2 F' B2 R' U'
R D2 R2 B2 F' R' U'
F' U2 L F' U D R2
F' U2 L F' U2 F2 U'
F' U2 L F' D U R2
F' U2 L F' D2 B2 U
R' D2 F B2 R' F2 U'
F' U2 L' F' B' L2 U
F' U2 L' B' L2 F' U
F' U2 L' B' F' L2 U
R' D2 F' R B2 R' U'
R' D2 F' R' B2 R' U'
R' D2 F' R2 B2 R' U'
R' D2 F' B2 R' U' D
R' D2 F' B2 R' U' D'
R' D2 F' B2 R' U' D2
R' D2 F' B2 R' D U'
R' D2 F' B2 R' D' U'
R' D2 F' B2 R' D2 U'
R' D2 F' B2 D R' U'
R' D2 F' B2 D' R' U'
R' D2 F' B2 D2 R' U'
B U2 L' F2 B' L U
B U2 L' B' L F2 U
B U2 L' B' F2 L U
R' D2 F2 B2 R' F U'
R' D2 B2 D F' R' U'
R' D2 B2 D' F' R' U'
R' D2 B2 D2 F' R' U'
R' D2 B2 F R' F2 U'
R' D2 B2 F' R' U' D
R' D2 B2 F' R' U' D'
R' D2 B2 F' R' U' D2
R' D2 B2 F' R' D U'
R' D2 B2 F' R' D' U'
R' D2 B2 F' R' D2 U'
R' D2 B2 F' D R' U'
R' D2 B2 F' D' R' U'
R' D2 B2 F' D2 R' U'
R' D2 B2 F2 R' F U'
R D2 B2 R' U2 B' U
B' U2 F' L' F' B' U
B' U2 F' L' B' F' U
F' U2 F' L U2 F U'
F' U2 F' L' B' L2 U
F U2 F L U2 F U'
F U2 F L' B' L2 U
B2 U2 F2 U2 R' F' U'
D2 F R' F' B2 R' U'
B U2 F2 L' B' L U
D2 F R' B2 F' R' U'
L F R F B R U
L F R B F R U
R F U2 F L B U
D' F D' B2 R' F' U'
D F D B2 R' F' U'
L F D F R B U
L F D' F R B U
B2 D R' F' U R' U2
B2 D R' F' B2 U' L
B2 D R' B2 F' U' L
L F D2 F R B U
D2 F B2 R' D F' U'
D2 F B2 R' D' F' U'
D2 F B2 R' D2 F' U'
D' F B2 R' F' U' L2
D2 F B2 R' F' U' D
D2 F B2 R' F' U' D'
D2 F B2 R' F' U' D2
D2 F B2 R' F' D U'
D2 F B2 R' F' D' U'
D2 F B2 R' F' D2 U'
D2 F B2 D R' F' U'
D2 F B2 D' R' F' U'
D2 F B2 D2 R' F' U'
U2 F' L F' U D R2
U2 F' L F' U2 F2 U'
U2 F' L F' D U R2
U2 F' L F' D2 B2 U
U2 F' L' F' B' L2 U
U2 F' L' B' L2 F' U
U2 F' L' B' F' L2 U
U F' L' U L2 F' U
U F' L' U F' L2 U
R' F' R U2 L F U
D2 F' R' F' B2 R' U'
R' F' R' B2 R' B U'
D2 F' R' B2 F' R' U'
R' F' R2 B2 R' B' U'
R' F' U2 L D F' U
R' F' U2 L D' F' U
R' F' U2 L D2 F' U
R' F' U2 L F' U D
R' F' U2 L F' U D'
R' F' U2 L F' U D2
R' F' U2 L F' D U
R' F' U2 L F' D' U
R' F' U2 L F' D2 U
R' F' U2 L' F' L2 U
R' F' U2 D L F' U
R' F' U2 D F' L U
R' F' U2 D' L F' U
R' F' U2 D' F' L U
R' F' U2 D2 L F' U
R' F' U2 D2 F' L U
R' F' U2 F L F2 U
R' F' U2 F' L U D
R' F' U2 F' L U D'
R' F' U2 F' L U D2
R' F' U2 F' L D U
R' F' U2 F' L D' U
R' F' U2 F' L D2 U
R' F' U2 F' D L U
R' F' U2 F' D' L U
R' F' U2 F' D2 L U
R' F' D U2 L F' U
R' F' D U2 F' L U
R F' U2 L F' B U
R F' U2 L B F' U
R' F' D' U2 L F' U
R' F' D' U2 F' L U
R F' U2 F' L B U
D' F' D' B2 R' F' U'
D F' D B2 R' F' U'
R' F' D2 U2 L F' U
R' F' D2 U2 F' L U
R' F' B R2 B R' U'
B2 D' R' D' F' B2 U'
B2 D' R' D' B2 F' U'
B2 D' R' F' U' L2 D
B2 D' R' F' U' L2 D'
B2 D' R' F' U' L2 D2
B2 D' R' F' D' B2 U'
B2 D' R' F' B U' L2
B2 D' R' F' B' U' L2
B2 D' R' F' B2 U' L2
B2 D' R' B F' U' L2
B2 D' R' B' F' U' L2
B2 D' R' B2 F' U' L2
R' F' B' U2 F' L' U
B D' R' F' U' L2 B
B D' R' F' U' B L2
D2 F' B2 R' D F' U'
D2 F' B2 R' D' F' U'
D2 F' B2 R' D2 F' U'
D2 F' B2 R' F' U' D
D2 F' B2 R' F' U' D'
D2 F' B2 R' F' U' D2
D2 F' B2 R' F' D U'
D2 F' B2 R' F' D' U'
D2 F' B2 R' F' D2 U'
R' F' B2 R2 B R U'
D' F' B2 R' F' U' L2
D2 F' B2 D R' F' U'
D2 F' B2 D' R' F' U'
D2 F' B2 D2 R' F' U'
B' D' U' L' B' L' R'
B' D' U' L' B' R' L'
R' F2 L U2 L' F U'
U' F2 L B' U R' F2
U' F2 L B' U F2 R'
U2 F2 L U2 D F U'
U2 F2 L U2 D' F U'
U2 F2 L U2 D2 F U'
U2 F2 L U2 F U' D
U2 F2 L U2 F U' D'
U2 F2 L U2 F U' D2
U2 F2 L U2 F D U'
U2 F2 L U2 F D' U'
U2 F2 L U2 F D2 U'
U2 F2 L D U2 F U'
U2 F2 L D' U2 F U'
U2 F2 L D2 U2 F U'
B D' U' L2 B' R' B
U2 F2 L B U2 F U'
U2 F2 L B' U2 F U'
U2 F2 L B2 U2 F U'
B D' U' B' L2 R' B
B D' U' B' R' L2 B
B D' U' B' R' B L2
L F2 L R B L' U
B2 D' F R' F' U' L2
U2 F2 L' D' B' U B'
U2 F2 L' B L2 B2 U
U2 F2 L' B' L2 U D
U2 F2 L' B' L2 U D'
U2 F2 L' B' L2 U D2
U2 F2 L' B' L2 D U
U2 F2 L' B' L2 D' U
U2 F2 L' B' L2 D2 U
U2 F2 L' B' U D' B2
U2 F2 L' B' D' U B2
U2 F2 L' B2 L2 B U
R F2 L B U2 L' U'
B2 D' F' R' F' U' L2
L F2 L2 R B L2 U
B2 D' F2 R' F' U' L2
D2 F2 R' F' B2 R' U'
D2 F2 R' B2 F' R' U'
L F2 R L B L' U
L F2 R L2 B L2 U
L F2 R D B U D
L F2 R D B U D'
L F2 R D B U D2
L F2 R D B D U
L F2 R D B D' U
L F2 R D B D2 U
L F2 R D' B U D
L F2 R D' B U D'
L F2 R D' B U D2
L F2 R D' B D U
L F2 R D' B D' U
L F2 R D' B D2 U
L F2 R D2 B U D
L F2 R D2 B U D'
L F2 R D2 B U D2
L F2 R D2 B D U
L F2 R D2 B D' U
L F2 R D2 B D2 U
B' D' B' R' F' U' L2
L F2 R B' U D' R2
L F2 R B' D' U R2
L F2 R B2 D B' U
L F2 R B2 D' B' U
L F2 R B2 D2 B' U
L F2 R' B R2 B U
L F2 R' B' R2 B U
L F2 R' B2 R2 B U
L F2 U F D R F'
U2 F2 D L U2 F U'
U2 F2 D L' B' L2 U
U2 F2 D' L U2 F U'
U2 F2 D' L' B' L2 U
D' F2 D' B2 R' F' U'
L F2 D R D B U
L F2 D R D' B U
L F2 D R D2 B U
L F2 D R B U D
L F2 D R B U D'
L F2 D R B U D2
L F2 D R B D U
L F2 D R B D' U
L F2 D R B D2 U
D F2 D B2 R' F' U'
U2 F2 D2 L U2 F U'
L F2 D B R B U
U2 F2 D2 L' B' L2 U
L F2 D B' R B U
L F2 D B2 R B U
L F2 D' R D B U
L F2 D' R D' B U
L F2 D' R D2 B U
L F2 D' R B U D
L F2 D' R B U D'
L F2 D' R B U D2
L F2 D' R B D U
L F2 D' R B D' U
L F2 D' R B D2 U
B2 D2 R' D F' U' L2
B2 D2 R' F' U' D L2
B2 D2 R' F' D U' L2
B2 D2 R' F' B2 U' D
B2 D2 R' F' B2 U' D'
B2 D2 R' F' B2 U' D2
B2 D2 R' F' B2 D U'
B2 D2 R' F' B2 D' U'
B2 D2 R' F' B2 D2 U'
L F2 D' B R B U
B2 D2 R' B2 D F' U'
U2 F2 B L' B' L U
B2 D2 R' B2 D' F' U'
B2 D2 R' B2 D2 F' U'
L F2 D' B' R B U
B2 D2 R' B2 F' U' D
B2 D2 R' B2 F' U' D'
B2 D2 R' B2 F' U' D2
B2 D2 R' B2 F' D U'
B2 D2 R' B2 F' D' U'
B2 D2 R' B2 F' D2 U'
L F2 D' B2 R B U
L F2 D2 R D B U
L F2 D2 R D' B U
L F2 D2 R D2 B U
L F2 D2 R B U D
L F2 D2 R B U D'
L F2 D2 R B U D2
L F2 D2 R B D U
L F2 D2 R B D' U
L F2 D2 R B D2 U
B D2 R' F' R B2 U'
B D2 R' F' B2 R U'
L F2 D2 B R B U
B2 D2 R2 B2 R F' U'
B D2 R' B2 F' R U'
L F2 D2 B' R B U
D2 F2 B2 R' D F' U'
D2 F2 B2 R' D' F' U'
D2 F2 B2 R' D2 F' U'
D2 F2 B2 R' F' U' D
D2 F2 B2 R' F' U' D'
D2 F2 B2 R' F' U' D2
D2 F2 B2 R' F' D U'
D2 F2 B2 R' F' D' U'
D2 F2 B2 R' F' D2 U'
D' F2 B2 R' F' U' L2
L F2 D2 B2 R B U
D2 F2 B2 D R' F' U'
L F2 B R D B U
L F2 B R D' B U
L F2 B R D2 B U
L F2 B R B U D
L F2 B R B U D'
L F2 B R B U D2
L F2 B R B D U
L F2 B R B D' U
L F2 B R B D2 U
D2 F2 B2 D' R' F' U'
D2 F2 B2 D2 R' F' U'
L F2 B D R B U
L F2 B D' R B U
L F2 B D2 R B U
U2 F2 B2 U2 R' F' U'
L F2 B' R D B U
L F2 B' R D' B U
L F2 B' R D2 B U
L F2 B' R B U D
L F2 B' R B U D'
L F2 B' R B U D2
L F2 B' R B D U
L F2 B' R B D' U
L F2 B' R B D2 U
L F2 B' D R B U
L F2 B' D' R B U
L F2 B' D2 R B U
L F2 B2 R D B U
L F2 B2 R D' B U
L F2 B2 R D2 B U
L F2 B2 R B U D
L F2 B2 R B U D'
L F2 B2 R B U D2
L F2 B2 R B D U
L F2 B2 R B D' U
L F2 B2 R B D2 U
L F2 B2 D R B U
L F2 B2 D' R B U
L F2 B2 D2 R B U
B2 D2 F R' F' B2 U'
B2 D2 F R' B2 F' U'
L2 B L' F2 R B U
U2 B L' F2 B' L U
U2 B L' B' L F2 U
U2 B L' B' F2 L U
B2 D2 F' R' F' B2 U'
B2 D2 F' R' B2 F' U'
B2 D2 F2 R' F' B2 U'
B2 D2 F2 R' B2 F' U'
B' D2 B' R' F' B' U'
B' D2 B' R' B' F' U'
L B R F2 B R U
L B R B F2 R U
B D2 B2 R' F' R U'
U' B D' B2 L2 R' B
U' B D' B2 R' L2 B
U' B D' B2 R' B L2
R' B D2 F' R B2 U'
R' B D2 F' B2 R U'
R' B D2 B2 F' R U'
B2 F R' F' U' D' L2
B2 F R' F' U2 F2 U
B2 F R' F' D' U' L2
B2 F R' F' D2 B2 U'
R' B F' R2 B R' U'
U2 B F2 L' B' L U
L B F2 R D B U
L B F2 R D' B U
L B F2 R D2 B U
L B F2 R B U D
L B F2 R B U D'
L B F2 R B U D2
L B F2 R B D U
L B F2 R B D' U
L B F2 R B D2 U
L B F2 D R B U
L B F2 D' R B U
L B F2 D2 R B U
L2 B' L' F2 R B U
D2 B' R' F' B' R' U'
D2 B' R' B' F' R' U'
L B' R F2 B R U
L B' R B F2 R U
D' B' U' L' B' L' R'
D' B' U' L' B' R' L'
D2 B' D B' R' F' U'
D2 B' D' B' R' F' U'
B2 F' R2 B R F' U'
D2 B' D2 B' R' F' U'
R' B' F' U2 F' L' U
B' F' U2 F' L' B' U
F' B' U2 F' L' B' U
D2 B2 L' R' F' L U'
L B' F2 R D B U
L B' F2 R D' B U
L B' F2 R D2 B U
L B' F2 R B U D
L B' F2 R B U D'
L B' F2 R B U D2
L B' F2 R B D U
L B' F2 R B D' U
L B' F2 R B D2 U
D2 B2 L2 R' F' L2 U'
L B' F2 D R B U
L B' F2 D' R B U
L B' F2 D2 R B U
L2 B2 L' F2 R B U
D2 B2 R F R2 F' U'
D2 B2 R F' R2 F' U'
D2 B2 R F2 R2 F' U'
D2 B2 R' L' F' L U'
D2 B2 R' L2 F' L2 U'
D2 B2 R' D F' U' D
D2 B2 R' D F' U' D'
D2 B2 R' D F' U' D2
D2 B2 R' D F' D U'
D2 B2 R' D F' D' U'
D2 B2 R' D F' D2 U'
D2 B2 R' D' F' U' D
D2 B2 R' D' F' U' D'
D2 B2 R' D' F' U' D2
D2 B2 R' D' F' D U'
D2 B2 R' D' F' D' U'
D2 B2 R' D' F' D2 U'
D2 B2 R' D2 F' U' D
D2 B2 R' D2 F' U' D'
D2 B2 R' D2 F' U' D2
D2 B2 R' D2 F' D U'
D2 B2 R' D2 F' D' U'
D2 B2 R' D2 F' D2 U'
D2 B2 R' F U' D R2
D2 B2 R' F D U' R2
D' B2 R' D' F' B2 U'
D' B2 R' D' B2 F' U'
D2 B2 R' F2 D F U'
D2 B2 R' F2 D' F U'
D2 B2 R' F2 D2 F U'
D' B2 R' F' U' L2 D
D' B2 R' F' U' L2 D'
D' B2 R' F' U' L2 D2
D' B2 R' F' D' B2 U'
D' B2 R' F' B U' L2
D' B2 R' F' B' U' L2
D' B2 R' F' B2 U' L2
L' B2 R' F2 L2 B' U
D' B2 R' B F' U' L2
D' B2 R' B' F' U' L2
D' B2 R' B2 F' U' L2
R2 B2 R F' R2 B U'
R2 B2 R' U2 F2 B U
R2 B2 R' U2 B F2 U
L B2 R F2 B R U
