L' F2 U' L' B2
L' F2 U' B2 L'
B2 L D F2 L' R2
B2 L D F2 R2 L'
R2 L' F2 U' B2 L
U' L' F2 U' L' B2
U' L' F2 U' B2 L'
U2 L' F2 U' L' B2
U2 L' F2 U' B2 L'
U L' F2 U' L' B2
U L' F2 U' B2 L'
B L' F2 U' L' B
B L' F2 U' B L'
B L' F2 U' B L'
L' R2 F2 U' B2 L
F2 R U L' B2 R'
R U' L' F2 U' B2
B2 U L' F2 U' L'
F2 U2 R U L' B2
F2 U2 R U B2 L'
L2 F2 L U' L2 B2
L' F2 R U' L' B2
L2 F2 L U' B2 L2
L' F2 R U' B2 L'
L' F2 R' U' L' B2
L' F2 R' U' B2 L'
L' F2 R2 U' L' B2
L' F2 R2 U' B2 L'
L F2 L2 U' L B2
L' F2 U' L B2 L2
L' F2 U' L' B2 D
L' F2 U' L' B2 D'
L' F2 U' L' B2 D2
L' F2 U' B L' B
L' F2 U' B2 L' D
L' F2 U' B2 L' D'
L' F2 U' B2 L' D2
L' F2 U' B2 D L'
L' F2 U' B2 D' L'
L' F2 U' B2 D2 L'
L' F2 D' R2 U' L'
L' F2 B U' L' B
L' F2 B U' B L'
L' F2 B' U' B' L'
L' B F2 U' L' B
L' B F2 U' B L'
L' B' F2 U' B' L'
R2 B2 L D R2 F2
R2 B2 L D F2 R2
L B2 D F2 L' R2
L B2 D F2 R2 L'
L U B2 D F2 L' R2
L U B2 D F2 R2 L'
L2 U' L F2 U' L' B2
L2 U' L F2 U' B2 L'
R U' L F2 L2 U' B2
R U' L' R F2 U' B2
R U' L' R' F2 U' B2
R U' L' R2 F2 U' B2
R U' L' U' B2 D R2
R2 U' L' F2 U' B2 L
R U' L' F2 R U' B2
R U' L' F2 R' U' B2
R U' L' F2 R2 U' B2
R U' L' F2 U' B2 D
R U' L' F2 U' B2 D'
R U' L' F2 U' B2 D2
R U' L' F2 D' R2 U'
L U' L2 F2 U' L' B2
L U' L2 F2 U' B2 L'
R U' L2 F2 L U' B2
D2 R F2 U R B2 U
D2 R F2 U B2 R U
R U' R L' F2 U' B2
R U' R' L' F2 U' B2
L' U' R2 B2 L D R2
L' U' R2 B2 D L R2
L' U' R2 B2 D R2 L
R U' R2 L' F2 U' B2
L' U' D R2 D' B2 L
L2 U' F2 L U' L2 B2
L2 U' F2 L U' B2 L2
L' U' F2 U' L' F2 B2
L' U' F2 U' L' B2 F2
L' U' F2 U' B2 L' F2
L U' F2 L2 U' L B2
F2 R' U' L' B2 D' F2
R U' F2 U2 R U B2
F2 R' U' B2 L' D' F2
F2 R' U' B2 D' L' F2
F2 R' U2 R2 U L' B2
F2 R' U2 R2 U B2 L'
L' U' B2 U F2 U' L'
R2 U' B2 L D R2 F2
R2 U' B2 L D F2 R2
F2 R' D' R2 U' L' F2
L U' B2 D F2 L' R2
L U' B2 D F2 R2 L'
L2 U2 L F2 U' L' B2
L2 U2 L F2 U' B2 L'
R2 U2 L' F2 U' B2 L
R U2 L' F2 U' L B2
L U2 L2 F2 U' L' B2
L U2 L2 F2 U' B2 L'
B2 R2 L D R2 F2 L'
D' R2 L' U L' R' U2
D' R2 L' U R' L' U2
U' R2 L' F2 U' B2 L
U2 R2 L' F2 U' B2 L
U R2 L' F2 U' B2 L
L' U2 F2 U L' B2 R'
L2 U2 F2 L U' L2 B2
L2 U2 F2 L U' B2 L2
L U2 F2 L2 U' L B2
F2 R2 U' B2 L' D F2
F2 R2 U2 R' U L' B2
F2 R2 U2 R' U B2 L'
R2 U2 B2 L D R2 F2
R2 U2 B2 L D F2 R2
R U2 B2 U L' F2 U'
L U2 B2 D F2 L' R2
L U2 B2 D F2 R2 L'
D R2 D' B2 L D F2
L D L2 U F2 L' R2
L D L2 U F2 R2 L'
U' R2 B2 L D R2 F2
U' R2 B2 L D F2 R2
U2 R2 B2 L D R2 F2
U2 R2 B2 L D F2 R2
L D R2 F2 D' B2 L
L' D U' R2 D' B2 L
U R2 B2 L D R2 F2
U R2 B2 L D F2 R2
B2 U L F2 L2 U' L
B2 U L' F2 U' L' D
B2 U L' F2 U' L' D'
B2 U L' F2 U' L' D2
B2 U L' F2 U' D L'
B2 U L' F2 U' D' L'
B2 U L' F2 U' D2 L'
B2 U L' F2 D U' L'
B2 U L' F2 D' U' L'
B2 U L' F2 D2 U' L'
B2 U L' F2 B U' L'
B2 U L' F2 B' U' L'
B2 U L' F2 B2 U' L'
B2 U L' B F2 U' L'
B2 U L' B' F2 U' L'
B2 U L' B2 F2 U' L'
F2 U L' B2 R' D' F2
B U L' F2 U' L' B
B U L' F2 U' B L'
B2 U L2 F2 L U' L2
L D F2 R2 D' L' B2
L D F2 R2 D' B2 L'
R D' L2 U' L R2 U'
R D' L2 U' R2 L U'
B2 U F2 U2 R U L'
B2 U B L' F2 U' L'
L' D' R2 U L2 R' U2
L' D' R2 U R' L2 U2
B2 U B' L' F2 U' L'
B2 U B2 L' F2 U' L'
F2 U' L' U' R U B2
F2 U' L' B2 U' R U
B U' L' F2 U' L' B
B U' L' F2 U' B L'
F2 U' R U L' R' B2
F2 U' R U R' L' B2
F2 U' R U R' B2 L'
F2 U' B2 L' U' R U
F2 U' B2 U' R U L'
F2 U2 L R U L2 B2
F2 U2 L R U B2 L2
F2 U2 L2 R U L B2
B U2 L' F2 U' L' B
B U2 L' F2 U' B L'
F2 U2 R L U L2 B2
F2 U2 R L U B2 L2
B2 U2 R U' L' F2 U'
F2 U2 R L2 U L B2
F2 U2 R U L B2 L2
F2 U2 R U L' B2 D
F2 U2 R U L' B2 D'
F2 U2 R U L' B2 D2
F2 U2 R U B L' B
F2 U2 R U B2 L' D
F2 U2 R U B2 L' D'
F2 U2 R U B2 L' D2
F2 U2 R U B2 D L'
F2 U2 R U B2 D' L'
F2 U2 R U B2 D2 L'
F2 U2 R D L2 U L
R D2 F2 U R B2 U
R D2 F2 U B2 R U
F2 U2 D L2 R U L
F2 U2 D R L2 U L
L' F R F U' L' B2
L' F R F U' B2 L'
L' F R' F U' L' B2
L' F R' F U' B2 L'
L' F R2 F U' L' B2
L' F R2 F U' B2 L'
F2 D U2 L2 R U L
F2 D U2 R L2 U L
L2 F' L F' U' L' B2
L2 F' L F' U' B2 L'
L F' L2 F' U' L' B2
L F' L2 F' U' B2 L'
L' F' D' F' R2 U' L'
F2 D' R2 U2 R' U L'
F2 D' R2 B2 L U' L2
L2 F2 L R U' L2 B2
L2 F2 L R U' B2 L2
L2 F2 L R' U' L2 B2
L2 F2 L R' U' B2 L2
L2 F2 L R2 U' L2 B2
L2 F2 L R2 U' B2 L2
L2 F2 L U' L' B2 L'
L2 F2 L U' L2 B2 D
L2 F2 L U' L2 B2 D'
L2 F2 L U' L2 B2 D2
L2 F2 L U' B L2 B
L2 F2 L U' B2 L2 D
L2 F2 L U' B2 L2 D'
L2 F2 L U' B2 L2 D2
L2 F2 L D' R2 B2 U'
L2 F2 L D' B2 R2 U'
L2 F2 L B U' L2 B
L2 F2 L B U' B L2
L2 F2 L B' U' B' L2
U' F2 R U L' B2 R'
F' D' F' R2 U' L' F
L' F2 R U' L B2 L2
L' F2 R U' L' B2 D
L' F2 R U' L' B2 D'
L' F2 R U' L' B2 D2
D F2 L2 R U L R
D F2 L2 R U R L
L' F2 R U' B L' B
L' F2 R U' B2 L' D
L' F2 R U' B2 L' D'
L' F2 R U' B2 L' D2
L' F2 R U' B2 D L'
L' F2 R U' B2 D' L'
L' F2 R U' B2 D2 L'
L' F2 R D' R2 U' L'
L2 F2 R L U' L2 B2
L2 F2 R L U' B2 L2
U2 F2 R U L' B2 R'
L' F2 R B U' L' B
L' F2 R B U' B L'
L F2 L2 R U' L B2
L' F2 R B' U' B' L'
L F2 L2 R' U' L B2
L F2 L2 R2 U' L B2
L F2 L2 U' L B2 D
L F2 L2 U' L B2 D'
L F2 L2 U' L B2 D2
L F2 L2 U' L' B2 L2
L F2 L2 U' L2 B2 L'
L' F2 R' U' L B2 L2
L' F2 R' U' L' B2 D
L' F2 R' U' L' B2 D'
L' F2 R' U' L' B2 D2
L' F2 R' U' B L' B
L' F2 R' U' B2 L' D
L' F2 R' U' B2 L' D'
L' F2 R' U' B2 L' D2
L' F2 R' U' B2 D L'
L' F2 R' U' B2 D' L'
L' F2 R' U' B2 D2 L'
L F2 L2 D' R2 U' L
D F2 R L2 U L R
D F2 R L2 U R L
L' F2 R' D' R2 U' L'
L2 F2 R' L U' L2 B2
L2 F2 R' L U' B2 L2
L' F2 R' B U' L' B
L' F2 R' B U' B L'
L' F2 R' B' U' B' L'
L F2 R L2 U' L B2
U F2 R U L' B2 R'
L' F2 R2 U' L B2 L2
L' F2 R2 U' L' B2 D
L' F2 R2 U' L' B2 D'
L' F2 R2 U' L' B2 D2
L' F2 R2 U' B L' B
L' F2 R2 U' B2 L' D
L' F2 R2 U' B2 L' D'
L' F2 R2 U' B2 L' D2
L' F2 R2 U' B2 D L'
L' F2 R2 U' B2 D' L'
L' F2 R2 U' B2 D2 L'
L' F2 R2 D' R2 U' L'
L2 F2 R2 L U' L2 B2
L2 F2 R2 L U' B2 L2
L' F2 R2 B U' L' B
L' F2 R2 B U' B L'
L' F2 R2 B' U' B' L'
L F2 R' L2 U' L B2
D2 F2 U R B2 U L'
L' F2 U R U2 L' B2
L' F2 U R U2 B2 L'
L' F2 U R' U2 L' B2
L' F2 U R' U2 B2 L'
L' F2 U R2 U2 L' B2
L' F2 U R2 U2 B2 L'
L' F2 U D2 F2 R U2
L' F2 U F2 R U2 B2
D2 F2 U B2 R U L'
L F2 R2 L2 U' L B2
L' F2 U' L B L2 B
L' F2 U' L B2 L2 D
L' F2 U' L B2 L2 D'
L' F2 U' L B2 L2 D2
L' F2 U' L' R' B2 R
L' F2 U' L' R2 B2 R2
L' F2 U' L' B D B
L' F2 U' L' B D' B
L' F2 U' L' B D2 B
L' F2 U' L' B' D B'
L' F2 U' L' B' D' B'
L' F2 U' L' B' D2 B'
L' F2 U' R' L' B2 R
L' F2 U' R' B2 L' R
L' F2 U' R' B2 R L'
L' F2 U' R2 L' B2 R2
L' F2 U' R2 B2 L' R2
L' F2 U' R2 B2 R2 L'
L' F2 U' D' L' D B2
L' F2 U' D2 L' D2 B2
L2 F2 U' L' B2 D F2
U' F2 U2 R U L' B2
U' F2 U2 R U B2 L'
L' F2 U' B L B L2
L' F2 U' B L' D B
L' F2 U' B L' D' B
L' F2 U' B L' D2 B
L' F2 U' B L' B D
L' F2 U' B L' B D'
L' F2 U' B L' B D2
L' F2 U' B D L' B
L' F2 U' B D B L'
L' F2 U' B D' L' B
L' F2 U' B D' B L'
L' F2 U' B D2 L' B
L' F2 U' B D2 B L'
L' F2 U' B' D B' L'
L' F2 U' B' D' B' L'
L' F2 U' B' D2 B' L'
L' F2 U' B2 L2 D L
L' F2 U' B2 L2 D' L
L' F2 U' B2 L2 D2 L
L' F2 U' B2 D L' D
L' F2 U' B2 D L' D'
L' F2 U' B2 D L' D2
L' F2 U' B2 D' L' D
L' F2 U' B2 D' L' D'
L' F2 U' B2 D' L' D2
L' F2 U' B2 D2 L' D
L' F2 U' B2 D2 L' D'
L' F2 U' B2 D2 L' D2
L' F2 U2 L U L2 B2
L' F2 U2 L U B2 L2
L' F2 U2 L2 U L B2
L' F2 U2 D L2 U L
U2 F2 U2 R U L' B2
U2 F2 U2 R U B2 L'
L' F2 D U2 L2 U L
L F2 U' B2 D L' F2
U F2 U2 R U L' B2
U F2 U2 R U B2 L'
L' F2 D' R2 U' L' D
L' F2 D' R2 U' L' D'
L' F2 D' R2 U' L' D2
L' F2 D' R2 U' D L'
L' F2 D' R2 U' D' L'
L' F2 D' R2 U' D2 L'
L' F2 D' R2 D U' L'
L' F2 D' R2 D' U' L'
L' F2 D' R2 D2 U' L'
L' F2 D' R2 B U' L'
L' F2 D' R2 B' U' L'
L' F2 D' R2 B2 U' L'
L' F2 D' U' L' D B2
L2 F2 D' L R2 U' L2
L' F2 D' B R2 U' L'
L' F2 D' B' R2 U' L'
L' F2 D' B2 R2 U' L'
L2 F2 D' R2 L U' L2
L' F2 D2 U F2 R U2
L' F2 D2 U' L' D2 B2
L' F2 B U' L B L2
L' F2 B U' L' D B
L' F2 B U' L' D' B
L' F2 B U' L' D2 B
L' F2 B U' L' B D
L' F2 B U' L' B D'
L' F2 B U' L' B D2
L' F2 B U' D L' B
L' F2 B U' D B L'
L' F2 B U' D' L' B
L' F2 B U' D' B L'
L' F2 B U' D2 L' B
L' F2 B U' D2 B L'
L' F2 B U' B L' D
L' F2 B U' B L' D'
L' F2 B U' B L' D2
L' F2 B U' B D L'
L' F2 B U' B D' L'
L' F2 B U' B D2 L'
L' F2 B U' B' L' B2
L' F2 B D U' L' B
L' F2 B D U' B L'
L' F2 B D' U' L' B
L' F2 B D' U' B L'
L' F2 B D2 U' L' B
L' F2 B D2 U' B L'
L' F2 B' R U' B' L'
L' F2 B' R' U' B' L'
L' F2 B' R2 U' B' L'
L' F2 B' U' D B' L'
L' F2 B' U' D' B' L'
L' F2 B' U' D2 B' L'
L' F2 B' U' B L' B2
L' F2 B' U' B' L' D
L' F2 B' U' B' L' D'
L' F2 B' U' B' L' D2
L' F2 B' U' B' D L'
L' F2 B' U' B' D' L'
L' F2 B' U' B' D2 L'
L' F2 B' U' B2 L' B
L' F2 B' D U' B' L'
L' F2 B' D' U' B' L'
L' F2 B' D2 U' B' L'
L F2 B L2 U' L B
U' B L' F2 U' L' B
U' B L' F2 U' B L'
U2 B L' F2 U' L' B
U2 B L' F2 U' B L'
U B L' F2 U' L' B
U B L' F2 U' B L'
L B L2 F2 U' L' B
L B L2 F2 U' B L'
R B U' L' F2 U' B
L B D F2 L' B R2
L B D F2 B L' R2
L B D F2 B R2 L'
L B D B F2 L' R2
L B D B F2 R2 L'
L' B F2 U' L B L2
L' B F2 U' L' D B
L' B F2 U' L' D' B
L' B F2 U' L' D2 B
L' B F2 U' L' B D
L' B F2 U' L' B D'
L' B F2 U' L' B D2
L' B F2 U' D L' B
L' B F2 U' D B L'
L' B F2 U' D' L' B
L' B F2 U' D' B L'
L' B F2 U' D2 L' B
L' B F2 U' D2 B L'
L' B F2 U' B L' D
L' B F2 U' B L' D'
L' B F2 U' B L' D2
L' B F2 U' B D L'
L' B F2 U' B D' L'
L' B F2 U' B D2 L'
L' B F2 U' B' L' B2
L' B F2 D U' L' B
L' B F2 D U' B L'
L' B F2 D' U' L' B
L' B F2 D' U' B L'
L' B F2 D2 U' L' B
L' B F2 D2 U' B L'
L B F2 L2 U' L B
L B' D F2 R2 B' L'
L B' D F2 B' L' R2
L B' D F2 B' R2 L'
L B' D B' F2 L' R2
L B' D B' F2 R2 L'
F2 B' U2 R U B' L'
L' B' F2 R U' B' L'
L' B' F2 R' U' B' L'
L' B' F2 R2 U' B' L'
L' B' F2 U' D B' L'
L' B' F2 U' D' B' L'
L' B' F2 U' D2 B' L'
L' B' F2 U' B L' B2
L' B' F2 U' B' L' D
L' B' F2 U' B' L' D'
L' B' F2 U' B' L' D2
L' B' F2 U' B' D L'
L' B' F2 U' B' D' L'
L' B' F2 U' B' D2 L'
L' B' F2 U' B2 L' B
L' B' F2 D U' B' L'
U' B2 L D F2 L' R2
U' B2 L D F2 R2 L'
L' B' F2 D' U' B' L'
L' B' F2 D2 U' B' L'
U2 B2 L D F2 L' R2
U2 B2 L D F2 R2 L'
R2 B2 L R D R2 F2
R2 B2 L R D F2 R2
R2 B2 L R' D R2 F2
R2 B2 L R' D F2 R2
R2 B2 L R2 D R2 F2
R2 B2 L R2 D F2 R2
R2 B2 L U L2 F2 U'
R2 B2 L U F2 L2 U'
R2 B2 L D R' F2 R'
R2 B2 L D R2 F2 D
R2 B2 L D R2 F2 D'
R2 B2 L D R2 F2 D2
R2 B2 L D F R2 F
R2 B2 L D F2 R2 D
R2 B2 L D F2 R2 D'
R2 B2 L D F2 R2 D2
L' B2 L2 D F2 L' R2
L' B2 L2 D F2 R2 L'
U B2 L D F2 L' R2
U B2 L D F2 R2 L'
B2 F2 L' U' R U R'
F2 B2 L' U' R U R'
R2 B2 R L D R2 F2
R2 B2 R L D F2 R2
R2 B2 R' L D R2 F2
R2 B2 R' L D F2 R2
U' B2 U L' F2 U' L'
R2 B2 R2 L D R2 F2
R2 B2 R2 L D F2 R2
U2 B2 U L' F2 U' L'
R2 B2 U L' F2 U' L2
L B2 R2 D R2 F2 L'
U B2 U L' F2 U' L'
L B2 U L2 F2 U' L'
L B2 U F2 L2 U' L
B2 F2 U' R U L' R'
B2 F2 U' R U R' L'
F2 B2 U' R U L' R'
F2 B2 U' R U R' L'
R2 B2 D L R2 D F2
B' F2 U2 R U B' L'
R2 B2 D R2 L D F2
L B2 D L F2 L' R2
L B2 D L F2 R2 L'
L B2 D L' F2 L' R2
L B2 D L' F2 R2 L'
L B2 D L2 F2 L' R2
L B2 D L2 F2 R2 L'
L B2 D F R2 F L'
L B2 D F2 L' R2 D
L B2 D F2 L' R2 D'
L B2 D F2 L' R2 D2
L B2 D F2 R2 L' D
L B2 D F2 R2 L' D'
L B2 D F2 R2 L' D2
