B' L' D F' U2 L2
B' L' D' R2 U2 B
B' L' D' F' R2 U2
B' L' F' U' B2 U'
B' L' F' U2 D L2
B' L' F' D U2 L2
B' L' F' D' R2 U2
B U L' F' B2 U2
B U L' B2 F' U2
B U B2 L' F' U2
B' D' L' R2 U2 B
B' D' L' F' R2 U2
B' D' R2 L' U2 B
B' L2 F' U' B2 U' R'
B' L2 F' D L U2 L
B' L2 F' D' L R2 U2
B' L2 F' D' R2 L U2
F2 L2 B U' R F B2
F2 L2 B U' R B2 F
F2 L2 B U' B2 R F
F2 L2 B' R D F L2
F2 L2 B' R F D L2
F2 L2 B' D R F L2
F2 R L2 D F B' L
F2 R L2 D B' F L
F2 R L2 D' F B' L'
F2 R L2 D' B' F L'
F2 R L2 F D B' L
F2 R L2 B' D' F L'
B' R D L' U2 L' B'
F2 R D L2 F B' L
F2 R D L2 B' F L
F2 R D' L2 F B' L'
F2 R D' L2 B' F L'
R' U' B' L' R' U2 B
R' U' B' R' L' U2 B
B' R2 L' U' B2 U' B'
B' R2 L' U2 D L2 B
B' R2 L' U2 D B L2
B' R2 L' D U2 L2 B
B' R2 L' D U2 B L2
B' R2 L' D' R2 F' U2
B R2 U L' B2 U2 B'
B R2 U' D2 F2 B R
B R2 U' D2 B F2 R
B' R2 D L' U2 L' B
B' R2 D L' U2 B L'
B' R2 D' L' R2 F' U2
B' R2 D' R2 L' F' U2
B R2 D2 U' F2 B R
B R2 D2 U' B F2 R
F' R2 B' U F' U R
B U L F' L2 B2 U2
B U L F' B2 L2 U2
B U L B2 L2 F' U2
B U L B2 F' L2 U2
B U L' D2 F' U2 F'
B U L' F' U2 D2 F2
B U L' F' D2 U2 F2
B U L' F' B2 U2 D
B U L' F' B2 U2 D'
B U L' F' B2 U2 D2
B U L' F' B2 D U2
B U L' F' B2 D' U2
B U L' F' B2 D2 U2
B U L' B2 D F' U2
B U L' B2 D' F' U2
B U L' B2 D2 F' U2
B U L' B2 F' U2 D
B U L' B2 F' U2 D'
B U L' B2 F' U2 D2
B U L' B2 F' D U2
B U L' B2 F' D' U2
B U L' B2 F' D2 U2
B U L2 F' L B2 U2
B U L2 F' B2 U2 R'
B U L2 B2 F' U2 R'
B U D2 L' F' U2 F'
B U D2 F' U2 F' R
B U B L' F' B U2
B U B L' B F' U2
B U B2 L F' L2 U2
B U B2 L' D F' U2
B U B2 L' D' F' U2
B U B2 L' D2 F' U2
B U B2 L' F' U2 D
B U B2 L' F' U2 D'
B U B2 L' F' U2 D2
B U B2 L' F' D U2
B U B2 L' F' D' U2
B U B2 L' F' D2 U2
B U B2 L2 F' L U2
B U B2 D L' F' U2
B U B2 D' L' F' U2
B U B2 D2 L' F' U2
B U' L' F' B2 R' U2
B U' L' B2 F' R' U2
B U' R D2 F2 R B
B U' R2 D2 F2 B R
B U' R2 D2 B F2 R
B U' D2 R F2 R B
B U' D2 R2 F2 B R
B U' D2 R2 B F2 R
B' U' B2 U L' F' U2
B U' B2 L' F' U2 L
B' D L F' L2 U2 L'
B' D L' R U2 L' B'
B' D L' R2 U2 L' B
B' D L' R2 U2 B L'
B' D L' F2 R F U2
B' D L2 F' L U2 L'
B' D R L' U2 L' B'
B D L2 U L F' U2
B D L2 U F' L U2
R2 F D' L2 F B R
R2 F D' L2 B F R
B' D R2 L' U2 L' B
B' D R2 L' U2 B L'
L2 F' L U' B U' F2
B' D F2 U2 L2 R B'
B' D F2 U2 L2 B' R
B' D F2 U2 R L2 B'
B D F2 L2 U' R B'
B D F2 L2 U' B' R
L' F' U' L' B U' F
L' F' U' B L' U' F
B' D' L F' L2 R2 U2
B' D' L F' R2 L2 U2
B' D' L' R2 U2 D B
B' D' L' R2 U2 D' B
B' D' L' R2 U2 D2 B
B' D' L' R2 U2 B D
B' D' L' R2 U2 B D'
B' D' L' R2 U2 B D2
B' D' L' R2 D U2 B
B' D' L' R2 D' U2 B
B' D' L' R2 D2 U2 B
B' D' L' R2 F U2 B
B' D' L' R2 F' U2 B
B' D' L' R2 F2 U2 B
B' D' L' D2 F' U2 L2
B' D' L' F R2 F2 U2
B' D' L' F' R2 U2 D
B' D' L' F' R2 U2 D'
B' D' L' F' R2 U2 D2
B' D' L' F' R2 D U2
B' D' L' F' R2 D' U2
B' D' L' F' R2 D2 U2
B' D' L' F' U2 D2 L2
B' D' L' F' D2 U2 L2
B' D' L' F2 R2 F U2
B' D' L2 F' L R2 U2
B' D' L2 F' R2 L U2
B' D' R2 L' U2 D B
B' D' R2 L' U2 D' B
B' D' R2 L' U2 D2 B
B' D' R2 L' U2 B D
B' D' R2 L' U2 B D'
B' D' R2 L' U2 B D2
B' D' R2 L' D U2 B
B' D' R2 L' D' U2 B
B' D' R2 L' D2 U2 B
B' D' R2 L' F U2 B
B' D' R2 L' F' U2 B
B' D' R2 L' F2 U2 B
B' D' R2 D L' U2 B
B' D' R2 D' L' U2 B
B' D' R2 D2 L' U2 B
B' D' R2 F2 U2 B R
B' D' F2 R2 F U2 R'
B' D2 L' D R2 U2 B
B' D2 L' D F' R2 U2
B' D2 L' D' F' U2 L2
B' D2 L' F' U F' U
B D2 R2 U' F2 B R
B D2 R2 U' B F2 R
B D2 U L' F' U2 F'
B D2 U F' U2 F' R
B D2 U' R F2 R B
B D2 U' R2 F2 B R
B D2 U' R2 B F2 R
B' D2 F' U F' U R
F' D2 B' L U' B2 U'
F' D2 B' L U2 D L2
F' D2 B' L D U2 L2
F' D2 B' L D' R2 U2
U' B U L' F' B2 U2
U' B U L' B2 F' U2
D2 B U L' F' B2 U2
D2 B U L' B2 F' U2
L2 B R2 U' F B R'
L2 B R2 U' B R' F
L2 B R2 U' B F R'
D' B U L' F' B2 U2
D' B U L' B2 F' U2
F' D2 B' U' B2 U' R'
F' D2 B' D L U2 L
F' D2 B' D' L R2 U2
F' D2 B' D' R2 L U2
U' B U B2 L' F' U2
D2 B U B2 L' F' U2
U2 B U L' F' B2 U2
U2 B U L' B2 F' U2
D' B U B2 L' F' U2
D B U L' F' B2 U2
D B U L' B2 F' U2
U2 B U B2 L' F' U2
U B U L' F' B2 U2
L2 B U' R2 F B R'
U B U L' B2 F' U2
L2 B U' R2 B R' F
L2 B U' R2 B F R'
D B U B2 L' F' U2
U B U B2 L' F' U2
U' B' L' D F' U2 L2
U' B' L' D' R2 U2 B
U' B' L' D' F' R2 U2
U' B' L' F' U' B2 U'
U' B' L' F' U2 D L2
U' B' L' F' D U2 L2
U' B' L' F' D' R2 U2
D2 B' L' D F' U2 L2
D2 B' L' D' R2 U2 B
D2 B' L' D' F' R2 U2
D' B' L' D F' U2 L2
D' B' L' D' R2 U2 B
D' B' L' D' F' R2 U2
D2 B' L' F' U' B2 U'
D2 B' L' F' U2 D L2
D2 B' L' F' D U2 L2
D2 B' L' F' D' R2 U2
D' B' L' F' U' B2 U'
D' B' L' F' U2 D L2
D' B' L' F' D U2 L2
D' B' L' F' D' R2 U2
U2 B' L' D F' U2 L2
U2 B' L' D' R2 U2 B
U2 B' L' D' F' R2 U2
U2 B' L' F' U' B2 U'
U2 B' L' F' U2 D L2
U2 B' L' F' D U2 L2
U2 B' L' F' D' R2 U2
R2 B' L' U F' U B2
F2 B D L2 U' R B'
F2 B D L2 U' B' R
D B' L' D F' U2 L2
D B' L' D' R2 U2 B
D B' L' D' F' R2 U2
D B' L' F' U' B2 U'
D B' L' F' U2 D L2
D B' L' F' D U2 L2
D B' L' F' D' R2 U2
U B' L' D F' U2 L2
U B' L' D' R2 U2 B
U B' L' D' F' R2 U2
U B' L' F' U' B2 U'
U B' L' F' U2 D L2
U B' L' F' D U2 L2
U B' L' F' D' R2 U2
U' B' D' L' R2 U2 B
U' B' D' L' F' R2 U2
U' B' D' R2 L' U2 B
D2 B' D' L' R2 U2 B
D2 B' D' L' F' R2 U2
D' B' D' L' R2 U2 B
D' B' D' L' F' R2 U2
D2 B' D' R2 L' U2 B
D' B' D' R2 L' U2 B
U2 B' D' L' R2 U2 B
U2 B' D' L' F' R2 U2
U2 B' D' R2 L' U2 B
D B' D' L' R2 U2 B
D B' D' L' F' R2 U2
D B' D' R2 L' U2 B
U B' D' L' R2 U2 B
U B' D' L' F' R2 U2
B' F' U' F' B2 U' R
U B' D' R2 L' U2 B
B' F' U' B2 F' U' R
F' B' U' F' B2 U' R
F' B' U' B2 F' U' R
F2 B' U2 R D L2 B'
F2 B' U2 D L2 R B'
F2 B' U2 D L2 B' R
F2 B' U2 D R L2 B'
F2 B' D U2 L2 R B'
F2 B' D U2 L2 B' R
F2 B' D U2 R L2 B'
F2 B' D' R2 F U2 R'
B' F2 U2 R D L2 B'
B' F2 U2 D L2 R B'
B' F2 U2 D L2 B' R
B' F2 U2 D R L2 B'
B' F2 D U2 L2 R B'
B' F2 D U2 L2 B' R
B' F2 D U2 R L2 B'
B' F2 D' R2 F U2 R'
B F2 D L2 U' R B'
B F2 D L2 U' B' R
