D' L F2 L R
D' L F2 R L
D' L2 F2 D2 R2
D R2 B2 U2 B2
L' D' L2 F2 R
L D' F2 L2 R
L D' F2 R L2
D' F2 L2 D2 R2
D B2 R2 U2 B2
L2 D2 R2 D L2 F2
L2 D2 R2 D F2 L2
D' U2 F' L2 F' B'
D' U2 F' L2 B' F'
D U2 R2 B2 U2 R2
D' U2 F2 L2 D2 B2
B' U2 D' L2 F2 B
B' U2 D' L2 B F2
B' U2 D' F2 L2 B
B' U2 D' F2 B L2
B' U2 D' B L2 F2
B' U2 D' B F2 L2
D U2 B2 R2 U2 R2
B U2 D' F2 B' L2
B U2 D' B' L2 F2
B U2 D' B' F2 L2
U' F R2 F B U
U' F R2 B F U
B' U2 B D' L2 F2
B' U2 B D' F2 L2
B2 U2 B2 D' L2 F2
B2 U2 B2 D' F2 L2
D F R2 B2 U2 B2
B U2 B' D' L2 F2
B U2 B' D' F2 L2
B' D R2 F' B2 U2
B' D R2 B2 F' U2
B D R2 B2 U2 B
D F B2 R2 U2 B2
D' F' L2 D2 F' R2
D' F' L2 F' D2 R2
B' D B2 R2 U2 B'
D F' R2 B2 U2 B2
B D B2 R2 F' U2
D' F' U2 F' L2 B'
D F' B2 R2 U2 B2
B' D' U2 L2 F2 B
B' D' U2 L2 F2 B
B' D' U2 L2 B F2
B' D' U2 F2 L2 B
B' D' U2 F2 B L2
B' D' U2 B L2 F2
B' D' U2 B F2 L2
D' F2 L2 R D2 R2
D' F2 L2 R D2 R2
D' F2 L2 R' D2 R2
D' F2 L2 R2 D2 R2
D' F2 L2 U2 L2 U2
D' F2 L2 D2 R2 D
D' F2 L2 D2 R2 D'
D' F2 L2 D2 R2 D2
B D' U2 F2 B' L2
B D' U2 B' L2 F2
D' F2 R L2 D2 R2
B D' U2 B' F2 L2
D' F2 R' L2 D2 R2
U' F2 R2 U D R2
U' F2 R2 U2 F2 U'
U' F2 R2 D U R2
U' F2 R2 D2 B2 U
D' F2 R2 L2 D2 R2
U F2 R2 U D B2
D F2 R2 B2 U2 B2
U F2 R2 U2 R2 U'
U F2 R2 D U B2
U F2 R2 D2 L2 U
D F2 B2 R2 U2 B2
D B R2 U2 F' B'
D B R2 U2 B' F'
D' B U2 F2 B' L2
D' B U2 B' L2 F2
D' B U2 B' F2 L2
D B' R2 F' B' U2
D B' R2 B' F' U2
D' B' U2 L2 F2 B
D' B' U2 L2 B F2
D' B' U2 F2 L2 B
D' B' U2 F2 B L2
D' B' U2 B L2 F2
D' B' U2 B F2 L2
D B2 R' U2 B2 L
D B2 R2 U2 B2 D
D B2 R2 U2 B2 D'
D B2 R2 U2 B2 D2
D B2 R2 D2 F2 U2
D B2 R2 F U2 B2
D B2 R2 F' U2 B2
D B2 R2 F2 U2 B2
D' B2 U2 L2 F2 B2
D' B2 U2 L2 B2 F2
D' B2 U2 F2 L2 B2
D' B2 U2 F2 B2 L2
D' B2 U2 B2 L2 F2
D' B2 U2 B2 F2 L2
D B2 U2 B2 D2 L2
D B2 D2 F2 U2 L2
D B2 F R2 U2 B2
D B2 F' R2 U2 B2
D B2 F2 R2 U2 B2
D' L R F' L F' R
D L R D2 F2 L' R
D L R D2 F2 R L'
D' L R F2 L R D
D' L R F2 L R D'
D' L R F2 L R D2
D' L R F2 L D R
D' L R F2 L D' R
D' L R F2 L D2 R
D' L R F2 R L D
D' L R F2 R L D'
D' L R F2 R L D2
D' L R F2 R D L
D' L R F2 R D' L
D' L R F2 R D2 L
D' L R F2 D L R
D' L R F2 D R L
D' L R F2 D' L R
D' L R F2 D' R L
D' L R F2 D2 L R
D' L R F2 D2 R L
R' L U' R' F2 U R
D' L R' F' L F' R
L R U' R F2 U R
D' L R' F2 L R D
D' L R' F2 L R D'
D' L R' F2 L R D2
D' L R' F2 L D R
D' L R' F2 L D' R
D' L R' F2 L D2 R
D' L R' F2 R L D
D' L R' F2 R L D'
D' L R' F2 R L D2
D' L R' F2 R D L
D' L R' F2 R D' L
D' L R' F2 R D2 L
D' L R' F2 D L R
D' L R' F2 D R L
D' L R' F2 D' L R
D' L R' F2 D' R L
D' L R' F2 D2 L R
D' L R' F2 D2 R L
R L U' R F2 U R
U L R' F2 L' R' U
U L R' F2 R' L' U
R' L U' F2 R' U R2
D' L R2 F' L F' R
D' L R2 F2 L R D
D' L R2 F2 L R D'
D' L R2 F2 L R D2
D' L R2 F2 L D R
D' L R2 F2 L D' R
D' L R2 F2 L D2 R
D' L R2 F2 R L D
D' L R2 F2 R L D'
D' L R2 F2 R L D2
D' L R2 F2 R D L
D' L R2 F2 R D' L
D' L R2 F2 R D2 L
D' L R2 F2 D L R
D' L R2 F2 D R L
D' L R2 F2 D' L R
D' L R2 F2 D' R L
D' L R2 F2 D2 L R
D' L R2 F2 D2 R L
B2 L R2 F2 U R B2
B2 L R2 F2 U B2 R
U L R2 F2 U D B2
U L R2 F2 U2 R2 U'
U L R2 F2 D U B2
U L R2 F2 D2 L2 U
D L R2 B2 L' U2 B2
D' L U2 L' U2 L2 F2
U' L U2 L' R2 F2 U
D' L U2 L' U2 F2 L2
U' L U2 L' F2 R2 U
D L U2 L' R2 B2 U2
D L U2 L' B2 R2 U2
U' L U2 R2 L' F2 U
D L U2 R2 L' B2 U2
D L U2 R2 B2 L' U2
D L U2 B2 L' R2 U2
D L U2 B2 R2 L' U2
U2 L D R2 B2 U2 R2
U2 L D B2 R2 U2 R2
U2 L D' L2 F2 D2 B2
U2 L D' F' L2 F' B'
U2 L D' F' L2 B' F'
B' L D' F2 L2 B R
U2 L D' F2 L2 D2 B2
B' L D' F2 B L2 R
B' L D' F2 B R L2
F2 L D' F2 R D' L2
F2 L D' F2 D' L2 R
F2 L D' F2 D' R L2
B' L D' B F2 L2 R
B' L D' B F2 R L2
D' L D2 L D2 R2 F2
D' L D2 L D2 F2 R2
U' L D2 L2 B2 R' U'
D L D2 R F2 L2 R
D L D2 R F2 R L2
D L D2 R' F2 L2 R
D L D2 R' F2 R L2
D L D2 R2 F2 L2 R
D L D2 R2 F2 R L2
D L D2 F' L2 F' R
D L D2 F2 L2 R D
D L D2 F2 L2 R D'
D L D2 F2 L2 R D2
D L D2 F2 L2 D R
D L D2 F2 L2 D' R
D L D2 F2 L2 D2 R
D L D2 F2 R L2 D
D L D2 F2 R L2 D'
D L D2 F2 R L2 D2
D' L F R F L R
D' L F R F R L
D' L F R' F L R
D' L F R' F R L
D' L F R2 F L R
D' L F R2 F R L
R2 L F2 B U R B'
R2 L F2 B U B' R
R2 L F2 B' U B R
R2 L F2 B2 U R B2
R2 L F2 B2 U B2 R
D' L F D F L R
D' L F D F R L
D' L F D' F L R
D' L F D' F R L
D' L F D2 F L R
D' L F D2 F R L
D' L F' L F' R D
D' L F' L F' R D'
D' L F' L F' R D2
D' L F' L F' D R
D' L F' L F' D' R
D' L F' L F' D2 R
D' L F' L' F' L2 R
D' L F' L' F' R L2
R2 L B F2 U R B'
R2 L B F2 U B' R
D' L F2 L R2 D R'
D' L F2 L R2 D' R'
D' L F2 L R2 D2 R'
D' L F2 L D R D
D' L F2 L D R D'
D' L F2 L D R D2
D' L F2 L D' R D
D' L F2 L D' R D'
D' L F2 L D' R D2
D' L F2 L D2 R D
D' L F2 L D2 R D'
D' L F2 L D2 R D2
D' L F2 L B R B'
D' L F2 L B2 R B2
D' L F2 L2 R D L'
D' L F2 L2 R D' L'
D' L F2 L2 R D2 L'
D' L F2 L2 D L' R
D' L F2 L2 D R L'
D' L F2 L2 D' L' R
D' L F2 L2 D' R L'
D' L F2 L2 D2 L' R
D' L F2 L2 D2 R L'
D' L F2 R L2 D L'
D' L F2 R L2 D' L'
D' L F2 R L2 D2 L'
D' L F2 R D L D
D' L F2 R D L D'
D' L F2 R D L D2
D' L F2 R D' L D
D' L F2 R D' L D'
D' L F2 R D' L D2
D' L F2 R D2 L D
D' L F2 R D2 L D'
D' L F2 R D2 L D2
D' L F2 R F L F'
D' L F2 R F2 L F2
D' L F2 R2 L D R'
D' L F2 R2 L D' R'
D' L F2 R2 L D2 R'
D' L F2 R2 D L R'
D' L F2 R2 D R' L
D' L F2 R2 D' L R'
D' L F2 R2 D' R' L
D' L F2 R2 D2 L R'
D' L F2 R2 D2 R' L
D L F2 R D2 F2 L'
B2 L F2 R2 U R' B2
R2 L B' F2 U B R
D' L F2 D L R D
D' L F2 D L R D'
D' L F2 D L R D2
D' L F2 D L D R
D' L F2 D L D' R
D' L F2 D L D2 R
D' L F2 D R L D
D' L F2 D R L D'
D' L F2 D R L D2
D' L F2 D R D L
D' L F2 D R D' L
D' L F2 D R D2 L
D' L F2 D' L R D
D' L F2 D' L R D'
D' L F2 D' L R D2
D' L F2 D' L D R
D' L F2 D' L D' R
D' L F2 D' L D2 R
D' L F2 D' R L D
D' L F2 D' R L D'
D' L F2 D' R L D2
D' L F2 D' R D L
D' L F2 D' R D' L
D' L F2 D' R D2 L
U L F2 R2 U D B2
U L F2 R2 U2 R2 U'
U L F2 R2 D U B2
U L F2 R2 D2 L2 U
D' L F2 D2 L R D
D' L F2 D2 L R D'
D' L F2 D2 L R D2
D' L F2 D2 L D R
D' L F2 D2 L D' R
D' L F2 D2 L D2 R
D' L F2 D2 R L D
D' L F2 D2 R L D'
D' L F2 D2 R L D2
D' L F2 D2 R D L
D' L F2 D2 R D' L
D' L F2 D2 R D2 L
F2 L F2 D' L2 R F2
F2 L F2 D' R L2 F2
F2 L F2 D' R F2 L2
D' L F2 B R B' L
D L F2 D2 L2 R F2
D L F2 D2 R L2 F2
D L F2 D2 R F2 L2
R2 L B2 F2 U R B2
R2 L B2 F2 U B2 R
B' L B D' F2 L2 R
B' L B D' F2 R L2
D' L B F2 R B' L
L R' U' R' F2 U R
D L B2 L' R2 U2 B2
L R' U' F2 R' U R2
D L B2 R2 L' U2 B2
B2 L B2 D' F2 L2 R
B2 L B2 D' F2 R L2
U L' R' F2 L' R' U
U L' R' F2 R' L' U
B2 L' R2 F2 U B2 R'
F2 L' R2 B2 U R' B2
U L' R2 F2 U D B2
D L' R2 B2 U2 R' B2
U L' R2 F2 U2 R2 U'
U L' R2 F2 D U B2
U L' R2 F2 D2 L2 U
D2 L' U B2 L' U' R'
D' L' U2 L U2 L2 F2
D' L' U2 L U2 F2 L2
U' L' U2 L R2 F2 U
U' L' U2 L F2 R2 U
D L' U2 L R2 B2 U2
D L' U2 L B2 R2 U2
U' L' U2 R2 L F2 U
U' L' U2 R2 F2 L U
D L' U2 R2 L B2 U2
D L' U2 R2 B2 U2 R'
U' L' U2 F2 L R2 U
U' L' U2 F2 R2 L U
D L' U2 B2 R2 U2 R
U2 L' D R2 B2 U2 R2
R2 L' F2 B2 U R' B2
U2 L' D B2 R2 U2 R2
B' L' D' L2 F2 B R
B' L' D' L2 B F2 R
U2 L' D' L2 F2 D2 B2
U2 L' D' F' L2 F' B'
U2 L' D' F' L2 B' F'
U2 L' D' F2 L2 D2 B2
D' L' D2 L' D2 R2 F2
D' L' D2 L' D2 F2 R2
D L' D2 L2 R F2 R
D L' D2 L2 R' F2 R
D L' D2 L2 R2 F2 R
D L' D2 L2 F2 R D
D L' D2 L2 F2 R D'
D L' D2 L2 F2 R D2
D L' D2 L2 F2 D R
D L' D2 L2 F2 D' R
D L' D2 L2 F2 D2 R
D L' D2 R L2 F2 R
D L' D2 R L2 F2 R
D L' D2 R' L2 F2 R
D L' D2 R2 L2 F2 R
U' L' D2 B2 L2 R' U'
U' L' D2 B2 R' L2 U'
F' L' F D' L2 F2 R
D L' F D2 L2 F2 R
R2 L' B2 F2 U R' B2
D L' F' D2 L2 F2 R
D' L' F2 U2 L R U2
D' L' F2 U2 R L U2
B2 L' F2 R2 U B2 R'
F2 L' F2 D' L2 F2 R
U L' F2 R2 U D B2
U L' F2 R2 U2 R2 U'
U L' F2 R2 D U B2
U L' F2 R2 D2 L2 U
D L' F2 D2 L2 F2 R
D' L' B2 L' R' F2 B2
D' L' B2 L' R' B2 F2
D2 L' B2 L' U' R' B2
D' L' B2 L' F2 R' B2
D' L' B2 R' L' F2 B2
D' L' B2 R' L' B2 F2
D' L' B2 R' B2 L' F2
F2 L' B2 R2 U R B2
F2 L' B2 R2 U B2 R
D L' B2 R2 U2 R B2
D L' B2 R2 U2 B2 R
B2 L' B2 D' L2 R' F2
B2 L' B2 D' L2 F2 R'
B2 L' B2 D' R' L2 F2
B2 L' B2 D' R' F2 L2
D L' B2 U2 R' B2 L
B2 L' B2 D' F2 L2 R'
B2 L' B2 D' F2 R' L2
D' L2 R U2 L2 U2 F2
L2 R2 D' B2 U L2 B2
L2 R2 D' B2 U B2 L2
R2 L2 D' B2 U L2 B2
R2 L2 D' B2 U B2 L2
D' L2 R D2 R2 D2 F2
D' L2 R F D2 R2 F
D' L2 R F D2 F R2
D' L2 R F' D2 F' R2
D' L2 R F2 R D2 R2
D' L2 R F2 R' D2 R2
D' L2 R F2 R2 D2 R2
D' L2 R F2 U2 L2 U2
D' L2 R F2 D2 R2 D
D' L2 R F2 D2 R2 D'
D' L2 R F2 D2 R2 D2
D L2 R D2 F2 L' R2
D L2 R D2 F2 R2 L'
D' L2 R' U2 L2 U2 F2
D' L2 R' D2 R2 D2 F2
D' L2 R' F D2 R2 F
D' L2 R' F D2 F R2
D' L2 R' F' D2 F' R2
D' L2 R' F2 R D2 R2
D' L2 R' F2 R' D2 R2
D' L2 R' F2 R2 D2 R2
D' L2 R' F2 U2 L2 U2
D' L2 R' F2 D2 R2 D
D' L2 R' F2 D2 R2 D'
D' L2 R' F2 D2 R2 D2
D L2 R' D2 R2 F2 L'
D' L2 R2 U2 L2 U2 F2
U L2 R' F2 L' R' U
U L2 R' F2 R' L' U
D' L2 R2 D2 R2 D2 F2
D' L2 R2 F D2 R2 F
D' L2 R2 F D2 F R2
F2 L2 R2 D' B2 U B2
D' L2 R2 F' D2 F' R2
D' L2 R2 F2 R D2 R2
D' L2 R2 F2 R' D2 R2
D' L2 R2 F2 R2 D2 R2
D' L2 R2 F2 U2 L2 U2
D' L2 R2 F2 D2 R2 D
D' L2 R2 F2 D2 R2 D'
D' L2 R2 F2 D2 R2 D2
D' L2 U L' U' F2 R
D L2 R2 B2 L2 U2 B2
U L2 R2 F2 U D B2
U L2 R2 F2 U2 R2 U'
U L2 R2 F2 D U B2
U L2 R2 F2 D2 L2 U
L' R2 F2 B2 U R' B2
L2 R2 F2 D' B2 U B2
U' L2 U' D' L2 F2 B2
U' L2 U' D' L2 B2 F2
R2 L2 F2 D' B2 U B2
U' L2 U' D' F2 L2 B2
U' L2 U' D' F2 B2 L2
U' L2 U' D' B2 L2 F2
U' L2 U' D' B2 F2 L2
L R2 F2 B U R B'
L R2 F2 B U B' R
L R2 F2 B' U B R
L R2 F2 B2 U R B2
L R2 F2 B2 U B2 R
D' L2 U2 L' U2 F2 R
D' L2 U2 L2 U2 F2 D
D' L2 U2 L2 U2 F2 D'
D' L2 U2 L2 U2 F2 D2
D' L2 U2 L2 D2 B2 U2
D' L2 U2 L2 B U2 F2
D' L2 U2 L2 B' U2 F2
D' L2 U2 L2 B2 U2 F2
U' L2 U2 L2 R2 F2 U
U' L2 U2 L2 F2 R2 U
U' L2 U2 R2 L2 F2 U
U' L2 U2 R2 F2 L2 U
D L2 U2 L2 R2 B2 U2
D L2 U2 L2 B2 R2 U2
D' L2 U2 D2 B2 U2 R2
D L2 U2 R2 L2 B2 U2
D L2 U2 R2 B2 L2 U2
D' L2 U2 B L2 U2 F2
U' L2 U2 F2 L2 R2 U
U' L2 U2 F2 R2 L2 U
D' L2 U2 B' L2 U2 F2
L R2 B F2 U R B'
L R2 B F2 U B' R
D' L2 U2 B2 L2 U2 F2
D2 L2 D L2 D R2 F2
D2 L2 D L2 D F2 R2
D L2 U2 B2 L2 R2 U2
D L2 U2 B2 R2 L2 U2
U2 L2 D R2 B2 U2 R2
L R2 B' F2 U B R
U2 L2 D B2 R2 U2 R2
L' R2 B2 F2 U R' B2
R' U L R' F2 L' U
U2 L2 D' L2 F2 D2 B2
U' L2 D' U' L2 F2 B2
U' L2 D' U' L2 B2 F2
U' L2 D' U' F2 L2 B2
U' L2 D' U' F2 B2 L2
U' L2 D' U' B2 L2 F2
U' L2 D' U' B2 F2 L2
L R2 B2 F2 U R B2
L R2 B2 F2 U B2 R
U2 L2 D' F' L2 F' B'
U2 L2 D' F' L2 B' F'
U2 L2 D' F2 L2 D2 B2
F2 L2 D' F2 D' L2 R2
F2 L2 D' F2 D' R2 L2
F2 L2 D' B2 U F2 B2
F2 L2 D' B2 U B2 F2
U' L2 D2 L2 R2 B2 U'
D' L2 D2 R D2 R F2
U' L2 D2 L2 B2 R2 U'
D' L2 D2 R' D2 R' F2
D' L2 D2 R' D2 F2 R'
D' L2 D2 R2 U2 B2 U2
D' L2 D2 R2 D2 F2 D
D' L2 D2 R2 D2 F2 D'
D' L2 D2 R2 D2 F2 D2
D' L2 D2 R2 F D2 F2
D' L2 D2 R2 F' D2 F2
D' L2 D2 R2 F2 D2 F2
D L2 D2 L R2 F2 L
U' L2 D2 R2 L2 B2 U'
D L2 D2 L F2 L R2
D L2 D2 L F2 R2 L
R' U L' R' F2 L' U
U' L2 D2 R2 B2 L2 U'
D L2 D2 L2 R' F2 R'
D L2 D2 L2 R2 F2 D
D L2 D2 L2 R2 F2 D'
D L2 D2 L2 R2 F2 D2
D L2 D2 L2 F R2 F
D' L2 D2 U2 B2 U2 R2
D L2 D2 L2 F2 R2 D
D L2 D2 L2 F2 R2 D'
D L2 D2 L2 F2 R2 D2
D' L2 D2 F R2 D2 F2
D' L2 D2 F' R2 D2 F2
D L2 D2 R' L2 F2 R'
D L2 D2 R' F2 L2 R'
D L2 D2 R' F2 R' L2
D' L2 D2 F2 R2 D2 F2
D L2 D2 R2 L F2 L
D L2 D2 R2 L2 F2 D
D L2 D2 R2 L2 F2 D'
D L2 D2 R2 L2 F2 D2
D L2 D2 R2 F' L2 F'
D L2 D2 R2 F2 L2 D
D L2 D2 R2 F2 L2 D'
D L2 D2 R2 F2 L2 D2
D' L2 D2 B R2 F' B'
D' L2 D2 B R2 B' F'
U' L2 D2 B2 L2 R2 U'
D L2 D2 F R2 F L2
U' L2 D2 B2 R2 L2 U'
D L2 D2 F' L2 F' R2
D L2 D2 F2 L2 R2 D
D L2 D2 F2 L2 R2 D'
D L2 D2 F2 L2 R2 D2
D L2 D2 F2 R2 L2 D
D L2 D2 F2 R2 L2 D'
D L2 D2 F2 R2 L2 D2
D' L2 F R D2 R2 F
D' L2 F R D2 F R2
D' L2 F R F D2 R2
D' L2 F R' D2 R2 F
D' L2 F R' D2 F R2
D' L2 F R' F D2 R2
D' L2 F R2 D2 R2 F
D' L2 F R2 D2 F R2
D' L2 F R2 F D2 R2
R' U L2 R' F2 L' U
D' L2 F U2 L2 B' U2
D' L2 F D' F D' R2
D' L2 F D2 R' F R'
D' L2 F D2 R2 D F
D' L2 F D2 R2 D' F
D' L2 F D2 R2 D2 F
D' L2 F D2 R2 F D
D' L2 F D2 R2 F D'
D' L2 F D2 R2 F D2
D' L2 F D2 F R2 D
D' L2 F D2 F R2 D'
D' L2 F D2 F R2 D2
D' L2 F D2 F' R2 F2
D L2 F D2 L2 R2 F2
D L2 F D2 L2 F2 R2
D L2 F D2 R2 L2 F2
D L2 F D2 R2 F2 L2
D L2 F D2 F2 L2 R2
D L2 F D2 F2 R2 L2
D' L2 F' R2 D2 R2 F'
D' L2 F' U2 L2 U2 F'
D' L2 F' D' F' D' R2
D' L2 F' D2 F R2 F2
D' L2 F' D2 F' R2 D
D' L2 F' D2 F' R2 D'
D' L2 F' D2 F' R2 D2
D' L2 F' D2 F2 R2 F
D L2 F' D2 L2 R2 F2
D L2 F' D2 L2 F2 R2
D L2 F' D2 R2 L2 F2
D L2 F' D2 R2 F2 L2
D L2 F' D2 F2 L2 R2
D L2 F' D2 F2 R2 L2
D' L2 F2 R U2 L2 U2
D' L2 F2 R D2 R2 D
D' L2 F2 R D2 R2 D'
D' L2 F2 R D2 R2 D2
D' L2 F2 R' U2 L2 U2
D' L2 F2 R' D2 R2 D
D' L2 F2 R' D2 R2 D'
D' L2 F2 R' D2 R2 D2
D' L2 F2 R2 U2 L2 U2
D' L2 F2 R2 D2 R2 D
D' L2 F2 R2 D2 R2 D'
D' L2 F2 R2 D2 R2 D2
R' U R' L F2 L' U
D' L2 F2 U D F2 U'
R' U R' L' F2 L' U
D' L2 F2 U' D' B2 U
R' U R' L2 F2 L' U
D' L2 F2 U2 L2 U2 D
D' L2 F2 U2 L2 U2 D'
D' L2 F2 U2 L2 U2 D2
D' L2 F2 U2 L2 D U2
D' L2 F2 U2 L2 D' U2
D' L2 F2 U2 L2 D2 U2
D' L2 F2 D R D R2
D' L2 F2 D R' D R2
D' L2 F2 D R2 D R2
D' L2 F2 D U F2 U'
D' L2 F2 D' R D' R2
D' L2 F2 D' R' D' R2
D' L2 F2 D' R2 D' R2
D' L2 F2 D' U' B2 U
D' L2 F2 D2 R D R
D' L2 F2 D2 R D' R
D' L2 F2 D2 R D2 R
D' L2 F2 D2 R' D R'
D' L2 F2 D2 R' D' R'
D' L2 F2 D2 R' D2 R'
D' L2 F2 D2 F' R2 F
D' L2 F2 D2 F2 R2 F2
D' L2 F2 D2 B R2 B'
D' L2 F2 D2 B2 R2 B2
D' L2 F2 B D2 R2 B'
D' L2 F2 B D2 B' R2
D' L2 F2 B' D2 B R2
R U R F2 U2 R' U'
U L2 F2 R2 U D B2
U L2 F2 R2 U2 R2 U'
U L2 F2 R2 D U B2
R' U R' F2 L' U D
R' U R' F2 L' U D'
R' U R' F2 L' U D2
R' U R' F2 L' D U
R' U R' F2 L' D' U
R' U R' F2 L' D2 U
U L2 F2 R2 D2 L2 U
R' U R' F2 D L' U
R' U R' F2 D' L' U
R' U R' F2 D2 L' U
D L2 F2 D2 L2 R2 F2
D L2 F2 D2 L2 F2 R2
D L2 F2 D2 R2 L2 F2
D L2 F2 D2 R2 F2 L2
D L2 F2 D2 F2 L2 R2
D L2 F2 D2 F2 R2 L2
R2 U R' F2 L' U F2
R U R' F2 L' R2 U
R U R' F2 R2 L' U
D' L2 B F2 D2 R2 B'
D' L2 B F2 D2 B' R2
D' L2 B' D2 B R2 F'
D' L2 B' F2 D2 B R2
D2 L2 B2 U L2 U2 B2
D2 L2 B2 U' B2 D2 R2
D L2 B2 L2 R2 U2 B2
D L2 B2 R2 L2 U2 B2
D' R L F' L F' R
D' R L F2 L R D
D' R L F2 L R D'
D' R L F2 L R D2
D' R L F2 L D R
D' R L F2 L D' R
D' R L F2 L D2 R
D' R L F2 R L D
D' R L F2 R L D'
D' R L F2 R L D2
D' R L F2 R D L
D' R L F2 R D' L
D' R L F2 R D2 L
D' R L F2 D L R
D' R L F2 D R L
D' R L F2 D' L R
D' R L F2 D' R L
D' R L F2 D2 L R
D' R L F2 D2 R L
L2 U D2 L2 B2 U' R2
D R L D2 F2 L' R
D R L D2 F2 R L'
L' U D2 B2 L2 U' R'
L U D2 L2 B2 U' R'
L2 U D2 B2 L2 U' R2
D' R L2 U2 L2 U2 F2
D' R L2 D2 R2 D2 F2
D' R L2 F D2 R2 F
D' R L2 F D2 F R2
D' R L2 F' D2 F' R2
D' R L2 F2 R D2 R2
D' R L2 F2 R' D2 R2
D' R L2 F2 R2 D2 R2
D' R L2 F2 U2 L2 U2
D' R L2 F2 D2 R2 D
D' R L2 F2 D2 R2 D'
D' R L2 F2 D2 R2 D2
D R L2 D2 F2 L' R2
D R L2 D2 F2 R2 L'
B2 R U R F2 U B2
U2 R U R F2 U R2
R' U F2 R' U2 R U'
B R U R F2 U B'
R2 U F2 U F2 D2 B2
D' R U2 L2 F2 D2 B2
U2 R U2 R' D' L2 F2
U2 R U2 R' D' F2 L2
D' R U2 F' L2 F' B'
D' R U2 F' L2 B' F'
D R U2 R B2 L U2
D' R U2 F2 L2 D2 B2
D2 R D L F2 L R
D2 R D L F2 R L
D2 R D L2 F2 D2 R2
D R U2 B2 R U2 R'
D2 R D F2 L2 D2 R2
D2 R D' R2 B2 U2 B2
