U L D2 F R B2
U L D2 F B2 R
U L D2 B2 F R
D2 U L F R B2
D2 U L F B2 R
D2 U L B2 F R
U D2 L F R B2
U D2 L F B2 R
U D2 L B2 F R
U' F2 U2 L F R
U L' F L2 R F B'
U L' F L2 R B' F
U L' F L2 B' R F
U L' F R L2 F B'
U L' F R L2 B' F
F' L' F2 U' L2 B' R'
F L2 R B U L' B2
F L2 R B U B2 L'
D' L2 U L F L2 R
D' L2 U L F R L2
L2 U L F L2 R B'
L2 U L F L2 B' R
L2 U L F R L2 B'
U' L2 F2 R B L U2
U R L D2 F R B2
U R L D2 F B2 R
U R L D2 B2 F R
F R L2 B U L' B2
F R L2 B U B2 L'
U R D2 L F R B2
U R D2 L F B2 R
U R D2 L B2 F R
F R B L2 U B' L
F R B U L2 B' L
L' U' F L2 B' R' F'
U R' L D2 F R B2
U R' L D2 F B2 R
U R' L D2 B2 F R
L2 U' F2 R B L U2
U R' D2 L F R B2
U R' D2 L F B2 R
U R' D2 L B2 F R
D2 R' F' L' U' L2 B2
D2 R' F' L' U' B2 L2
D R' F' L' R' U' L2
D R' F' R' L' U' L2
U' R' F2 U2 F L R
U' R' F2 U2 F R L
B2 R' F2 U' F L' U'
F' R2 L D F2 B R'
F' R2 L D B R' F2
F' R2 L D B F2 R'
U R2 L D2 F R B2
U R2 L D2 F B2 R
U R2 L D2 B2 F R
U R2 D2 L F R B2
U R2 D2 L F B2 R
U R2 D2 L B2 F R
R D R2 F' L' U' L2
D2 U L R F R B2
D2 U L R F B2 R
D2 U L R B2 F R
D2 U L R' F R B2
D2 U L R' F B2 R
D2 U L R' B2 F R
D2 U L R2 F R B2
D2 U L R2 F B2 R
D2 U L R2 B2 F R
D2 U L F R B2 D
D2 U L F R B2 D'
D2 U L F R B2 D2
D2 U L F R' B2 R2
D2 U L F B' R B'
D2 U L F B2 R D
D2 U L F B2 R D'
D2 U L F B2 R D2
D2 U L F B2 D R
D2 U L F B2 D' R
D2 U L F B2 D2 R
D2 U L B' F R B'
D2 U L B2 R F R
D2 U L B2 R' F R
D2 U L B2 R2 F R
D2 U L B2 D F R
D2 U L B2 D' F R
D2 U L B2 D2 F R
D2 U L B2 F R D
D2 U L B2 F R D'
D2 U L B2 F R D2
D2 U L B2 F D R
D2 U L B2 F D' R
D2 U L B2 F D2 R
D U L D F R B2
D U L D F B2 R
D U L D B2 F R
D U L F D R B2
D U L F D B2 R
U D L D F R B2
U D L D F B2 R
U D L D B2 F R
R' D F' L' R2 U' L2
U D L F D R B2
U D L F D B2 R
R' D F' R2 L' U' L2
D2 U L2 B2 L' F R
D2 U R L F R B2
D2 U R L F B2 R
D2 U R L B2 F R
D2 U R' L F R B2
D2 U R' L F B2 R
D2 U R' L B2 F R
D2 U R2 L F R B2
D2 U R2 L F B2 R
D2 U R2 L B2 F R
U2 D R2 U' L F R
D2 U F L R F B2
D2 U F L R B2 F
D2 U F L B2 R F
D2 U F R L F B2
D2 U F R L B2 F
B2 U D2 B2 L F R
L2 D' L2 U L F R
D2 U' L B' R' F' B'
D2 U' L B' R' B' F'
B2 U' R' F2 U2 F R
U' D2 L B' R' F' B'
U' D2 L B' R' B' F'
U D2 L R F R B2
U D2 L R F B2 R
U D2 L R B2 F R
U D2 L R' F R B2
U D2 L R' F B2 R
U D2 L R' B2 F R
U D2 L R2 F R B2
U D2 L R2 F B2 R
U D2 L R2 B2 F R
U D2 L F R B2 D
U D2 L F R B2 D'
U D2 L F R B2 D2
U D2 L F R' B2 R2
U D2 L F B' R B'
U D2 L F B2 R D
U D2 L F B2 R D'
U D2 L F B2 R D2
U D2 L F B2 D R
U D2 L F B2 D' R
U D2 L F B2 D2 R
U D2 L B' F R B'
U D2 L B2 R F R
U D2 L B2 R' F R
U D2 L B2 R2 F R
U D2 L B2 D F R
U D2 L B2 D' F R
U D2 L B2 D2 F R
U D2 L B2 F R D
U D2 L B2 F R D'
U D2 L B2 F R D2
U D2 L B2 F D R
U D2 L B2 F D' R
U D2 L B2 F D2 R
U D2 L2 B2 L' F R
U D2 R L F R B2
U D2 R L F B2 R
U D2 R L B2 F R
U D2 R' L F R B2
U D2 R' L F B2 R
U D2 R' L B2 F R
F2 U2 L U F L' U'
D U2 R2 U' L F R
U D2 R2 L F R B2
U D2 R2 L F B2 R
U D2 R2 L B2 F R
R' D2 F' L' U' L2 B2
R' D2 F' L' U' B2 L2
U D2 F L R F B2
U D2 F L R B2 F
U D2 F L B2 R F
U D2 F R L F B2
U D2 F R L B2 F
D' F L2 R B U L'
U' F L2 B' L' R' F'
U' F L2 B' R' L' F'
D' F R L2 B U L'
U F L2 R B' L' F
L' F R B U L2 B'
U F L2 B' L' R F
U F L2 B' R L' F
U F R L2 B' L' F
R' F' L' R2 U' L2 B
R' F' L' R2 U' B L2
R' F' L' U F' U2 L2
U F' L D2 R2 F B
U F' L D2 R2 B F
U F' L F D2 R2 B2
U F' L F D2 B2 R2
U F' L' F' U2 L2 F
U F' L' F' B' U2 L2
U F' L' B' F' U2 L2
R' F' R2 L' U' L2 B
R' F' R2 L' U' B L2
R' F2 U' F L' U' L2
U' F2 U2 L R F R
U' F2 U2 L R' F R
U' F2 U2 L R2 F R
U' F2 U2 L D F R
U' F2 U2 L D' F R
U' F2 U2 L D2 F R
U' F2 U2 L F R D
U' F2 U2 L F R D'
U' F2 U2 L F R D2
U' F2 U2 L F D R
U' F2 U2 L F D' R
U' F2 U2 L F D2 R
U' F2 U2 R L F R
U' F2 U2 R' L F R
U' F2 U2 R2 L F R
U' F2 U2 D L F R
U' F2 U2 D' L F R
U' F2 U2 D2 L F R
U' F2 U2 F L R F
U' F2 U2 F R L F
U' F2 D U2 L F R
U F2 U2 L R' F' R
U' F2 D' U2 L F R
U F2 U2 R' L F' R
U F2 U2 R' F' L R
U F2 U2 R' F' R L
U' F2 D2 U2 L F R
B2 D2 U B2 L F R
U B2 D2 B2 L F R
