U' R D' L2 B U
U' R D' B L2 U
U' R D2 B U B
U' R B U D2 B2
U' R B U' F2 U2
U' R B D' L2 U
U' R B D2 U B2
U' D' L2 R B U
D' U' L2 R B U
U' D' R L2 B U
D' U' R L2 B U
U' D' R B L2 U
D2 U' R B U B
D' U' R B L2 U
U' D2 R B U B
D F D R F' B2
D F D R B2 F'
D F D B2 R F'
F D R F' D2 B2
D2 F B2 D R F'
D2 B2 U' R B U
D2 B2 F D R F'
F' R2 F2 B D R F'
F' R2 B F2 D R F'
D2 R2 B2 U L F U'
U' D R B U2 R U'
R D' L2 F U L2 R
R D' L2 F U R L2
D2 U' L R B U B
D' U' L' R B L' U
U' D' L' R B L' U
D2 U' L' R B U B
U' D' L2 R D B U
D' U' L2 R D B U
U' D' L2 R D' B U
D' U' L2 R D' B U
U' D' L2 R D2 B U
D' U' L2 R D2 B U
U' D' L2 R B U D
U' D' L2 R B U D'
U' D' L2 R B U D2
U' D' L2 R B D U
U' D' L2 R B D' U
U' D' L2 R B D2 U
D' U' L2 R B U D
D' U' L2 R B U D'
D' U' L2 R B U D2
D' U' L2 R B D U
D' U' L2 R B D' U
D' U' L2 R B D2 U
D2 U' L2 R B U B
U' D' L2 D R B U
D' U' L2 D R B U
U' D' L2 D' R B U
D' U' L2 D' R B U
U' D' L2 D2 R B U
D' U' L2 D2 R B U
U' D' L2 B R B U
D' U' L2 B R B U
U' D' L2 B' R B U
D' U' L2 B' R B U
U' D' L2 B2 R B U
D' U' L2 B2 R B U
U' D' R L' B L' U
D' U' R L' B L' U
U' D' R L2 D B U
D' U' R L2 D B U
U' D' R L2 D' B U
D' U' R L2 D' B U
U' D' R L2 D2 B U
D' U' R L2 D2 B U
U' D' R L2 B U D
U' D' R L2 B U D'
U' D' R L2 B U D2
U' D' R L2 B D U
U' D' R L2 B D' U
U' D' R L2 B D2 U
D' U' R L2 B U D
D' U' R L2 B U D'
D' U' R L2 B U D2
D' U' R L2 B D U
D' U' R L2 B D' U
D' U' R L2 B D2 U
D2 U' R L B U B
D2 U' R L' B U B
D2 U' R L2 B U B
D' U' R D' B U B
U' D' R D' B U B
D2 U' R D L2 B U
D2 U' R D B L2 U
R' D' F R D' F B2
R' D' F R D' B2 F
R' D' F R F D' B2
U' D' R B L2 U D
U' D' R B L2 U D'
U' D' R B L2 U D2
U' D' R B L2 D U
U' D' R B L2 D' U
D' U' R B L2 U D
D' U' R B L2 U D'
D' U' R B L2 U D2
U' D' R B L2 D2 U
D' U' R B L2 D U
D' U' R B L2 D' U
D' U' R B L2 D2 U
U' D' R B U D' B2
D' U' R B U D' B2
U' D' R B D' U B2
D' U' R B D' U B2
U' D' R B' L2 B2 U
D' U' R B' L2 B2 U
D2 U' R B L U B
D2 U' R B L' U B
D2 U' R B L2 U B
D2 U' R B U D B
D2 U' R B U D' B
D2 U' R B U D2 B
D2 U' R B U B D
D2 U' R B U B D'
D2 U' R B U B D2
D2 U' R B D U B
D2 U' R B D' U B
D2 U' R B D2 U B
R' D' F D' R F B2
R' D' F D' R B2 F
R' D' F D' B2 R F
R2 D' F R D' F2 B2
R2 D' F R D' B2 F2
D U' R B U2 R U'
R D' F L2 U L2 R
R D' F L2 U R L2
B' U' R D' L2 B U
B' U' R D' B L2 U
B' U' R D2 B U B
B2 U' R D' L2 B U
B2 U' R D' B L2 U
B2 U' R D2 B U B
B' U' R B U D2 B2
B' U' R B U' F2 U2
B' U' R B D' L2 U
B' U' R B D2 U B2
B2 U' R B U D2 B2
B2 U' R B U' F2 U2
B2 U' R B D' L2 U
B2 U' R B D2 U B2
B U' R D' L2 B U
B U' R D' B L2 U
B U' R D2 B U B
B U' R B U D2 B2
B U' R B U' F2 U2
B U' R B D' L2 U
B U' R B D2 U B2
U' D' B L2 R B U
D' U' B L2 R B U
U' D' B R L2 B U
D' U' B R L2 B U
D' U' B R B L2 U
U' D' B R B L2 U
B' U' D' L2 R B U
B' U' D' R L2 B U
B' U' D' R B L2 U
B2 U' D' L2 R B U
B2 U' D' R L2 B U
B2 U' D' R B L2 U
U' D' B' L2 R B U
D' U' B' L2 R B U
U' D' B' R L2 B U
D' U' B' R L2 B U
U' D' B' R B L2 U
D' U' B' R B L2 U
D2 U' B' R B U B2
B' U' D2 R B U B
B U' D' L2 R B U
B2 U' D2 R B U B
B U' D' R L2 B U
B U' D' R B L2 U
D' U' B2 L2 R B U
U' D' B2 L2 R B U
D' U' B2 R L2 B U
U' D' B2 R L2 B U
D' U' B2 R B L2 U
U' D' B2 R B L2 U
D2 U' B2 R B U B'
B U' D2 R B U B
U' D2 L R B U B
U' D2 L' R B U B
U' D2 L2 R B U B
U' D2 R L B U B
U' D2 R L' B U B
U' D2 R L2 B U B
U' D2 R D L2 B U
U' D2 R D B L2 U
U' D2 R B L U B
U' D2 R B L' U B
U' D2 R B L2 U B
U' D2 R B U D B
U' D2 R B U D' B
U' D2 R B U D2 B
U' D2 R B U B D
U' D2 R B U B D'
U' D2 R B U B D2
U' D2 R B D U B
U' D2 R B D' U B
U' D2 R B D2 U B
R' D2 F R B2 D F2
R' D2 F B2 R D F2
R' D2 F B2 D R F2
R2 D2 F R B2 D' F2
R' D2 F' B2 D F2 R
U' D2 B' R B U B2
U' D2 B2 R B U B'
R' D2 B2 D F R F
R' D2 B2 F R D F2
R' D2 B2 F D R F2
R' D2 B2 F' D F2 R
R2 D2 B2 U L F U'
L2 F L2 D R F' B'
L2 F L2 D R B' F'
L2 F L2 D B' R F'
L2 F L2 B' D R F'
R F L2 U R B' L2
R F L2 U B' L2 R
R F L2 U B' R L2
D' F D R D2 F' B2
D' F D R D2 B2 F'
D2 F D R D' F' B2
D2 F D R D' B2 F'
D2 F D R F' D' B2
R' F D' R' F2 R2 B
D F D R F' B2 D
D F D R F' B2 D'
D F D R F' B2 D2
D F D R B2 D F'
D F D R B2 D' F'
D F D R B2 D2 F'
D F D R B2 F' D
D F D R B2 F' D'
D F D R B2 F' D2
D' F D' B2 D2 R F'
D F D B' R F' B'
D F D B' R B' F'
F D L2 R F' B' L2
F D L2 R B' L2 F'
F D L2 R B' F' L2
D F D B2 R D F'
D F D B2 R D' F'
D F D B2 R D2 F'
D F D B2 R F' D
D F D B2 R F' D'
D F D B2 R F' D2
F D L2 B' L2 R F'
F D L2 B' R L2 F'
F D L2 B' R F' L2
F D R L2 F' B' L2
F D R L2 B' L2 F'
F D R L2 B' F' L2
F D R U2 F U2 F2
F D R D F' D2 B2
D2 F B D B R F'
F D R D' F' D2 B2
F D R D2 F' D2 B2
F D R F' U2 F2 U2
F D R F' D2 B2 D
F D R F' D2 B2 D'
F D R F' D2 B2 D2
F D R F' B D2 B2
F D R F' B' D2 B2
F D R F' B2 D2 B2
F D R B F' D2 B2
F D R B' F' D2 B2
F D R B2 F' D2 B2
D2 F B' D R F' B'
D2 F B' D R B' F'
D2 F B' D B' R F'
F D R' F2 R2 F' B
F D R' F2 R2 B F'
D F B D R F' B2
D F B D R B2 F'
D F B D B2 R F'
D2 F B2 D R D F'
D2 F B2 D R D' F'
D2 F B2 D R D2 F'
D2 F B2 D R F' D
D2 F B2 D R F' D'
D2 F B2 D R F' D2
D F B' D R F' B2
D F B' D R B2 F'
D F B' D B2 R F'
D F B2 D R F' B2
D F B2 D R B2 F'
D F B2 D B2 R F'
B' D F D R F' B2
B' D F D R B2 F'
B' D F D B2 R F'
B2 D F D R F' B2
B2 D F D R B2 F'
B2 D F D B2 R F'
B D F D R F' B2
B D F D R B2 F'
B D F D B2 R F'
R2 F' R D' F2 R B
F D B R F' D2 B2
F D B' R F' D2 B2
R F' R2 D' F2 B R
R F' R2 D' B F2 R
R F' R2 B D' F2 R
F D B2 R F' D2 B2
R' F' D' R F2 R B
R' F' D' R2 F2 B R
R' F' D' R2 B F2 R
B' D' U' L2 R B U
B' D' U' R L2 B U
B' D' U' R B L2 U
B2 D' U' L2 R B U
B2 D' U' R L2 B U
B2 D' U' R B L2 U
B D' U' L2 R B U
B D' U' R L2 B U
B D' U' R B L2 U
U2 F2 L2 U' L F U'
U F2 L' U2 B' U B
U2 F2 U' L F L2 U'
U2 F2 U' L' U2 B' U
U2 F2 B L U' L2 U'
U2 F2 B L U2 D F2
U2 F2 B L D U2 F2
U2 F2 B L D' B2 U2
U2 F2 B' U' L' U' R'
B' D2 U' R B U B
B2 D2 U' R B U B
B D2 U' R B U B
U2 B L F2 U' L' U'
B' D2 F B2 D R F'
B2 D2 F B2 D R F'
U' B R D' L2 B U
U' B R D' B L2 U
U' B R D2 B U B
U' B R B U D2 B2
U' B R B U' F2 U2
U' B R B D' L2 U
U' B R B D2 U B2
B D2 F B2 D R F'
B' D2 B2 U' R B U
D' B U' L2 R B U
B' D2 B2 F D R F'
D' B U' R L2 B U
D' B U' R B L2 U
B2 D2 B2 U' R B U
B2 D2 B2 F D R F'
B D2 B2 U' R B U
B D2 B2 F D R F'
U' B D' L2 R B U
U' B D' R L2 B U
U' B D' R B L2 U
U' B D2 R B U B
D2 B F D B R F'
D B F D R F' B2
D B F D R B2 F'
D B F D B2 R F'
U2 B F2 L U' L2 U'
U2 B F2 L U2 D F2
U2 B F2 L D U2 F2
U2 B F2 L D' B2 U2
B' F D R F' D2 B2
B2 F D R F' D2 B2
U' B' R D' L2 B U
U' B' R D' B L2 U
U' B' R D2 B U B
U' B' R B U D2 B2
U' B' R B U' F2 U2
U' B' R B D' L2 U
U' B' R B D2 U B2
B F D R F' D2 B2
F B D R F' D2 B2
D2 B' U' R B U B2
D' B' U' L2 R B U
D' B' U' R L2 B U
D' B' U' R B L2 U
U' B' D' L2 R B U
U' B' D' R L2 B U
U' B' D' R B L2 U
U' B' D2 R B U B
D2 B' F D R F' B'
D2 B' F D R B' F'
D2 B' F D B' R F'
D B' F D R F' B2
D B' F D R B2 F'
D B' F D B2 R F'
U2 B' F2 U' L' U' R'
F B' D R F' D2 B2
U' B2 R D' L2 B U
U' B2 R D' B L2 U
U' B2 R D2 B U B
U' B2 R B U D2 B2
U' B2 R B U' F2 U2
U' B2 R B D' L2 U
U' B2 R B D2 U B2
D2 B2 R' D' F R F
D2 B2 R' F D' R F2
D2 B2 R' F' D' F2 R
D2 B2 R2 F R D' F2
D2 B2 U' R D B U
D2 B2 U' R D' B U
D2 B2 U' R D2 B U
D2 B2 U' R B U D
D2 B2 U' R B U D'
D2 B2 U' R B U D2
D2 B2 U' R B D U
D2 B2 U' R B D' U
D2 B2 U' R B D2 U
D' B2 U' L2 R B U
D' B2 U' R L2 B U
D2 B2 U' D R B U
D' B2 U' R B L2 U
D2 B2 U' D' R B U
D2 B2 U' D2 R B U
D2 B2 U' B R B U
D2 B2 U' B' R B U
D2 B2 U' B2 R B U
D2 B2 D U' R B U
D2 B2 D F D R F'
U' B2 D' L2 R B U
U' B2 D' R L2 B U
U' B2 D' R B L2 U
D2 B2 D' U' R B U
D2 B2 D' F D R F'
U' B2 D2 R B U B
D2 B2 D2 U' R B U
D2 B2 D2 F D R F'
D2 B2 F D R D F'
D2 B2 F D R D' F'
D2 B2 F D R D2 F'
D2 B2 F D R F' D
D2 B2 F D R F' D'
D2 B2 F D R F' D2
F B2 D R F' D2 B2
D B2 F D R F' B2
D B2 F D R B2 F'
D B2 F D B2 R F'
