U L' U L' F' U
U2 L2 F' U' L U2
U2 L2 F' B2 U R'
U2 L2 B2 F' U R'
D2 R2 F2 B U' R
D2 R2 B U L' U2
D2 R2 B F2 U' R
B' D2 R2 F2 B U' R
B' D2 R2 B U L' U2
B' D2 R2 B F2 U' R
F2 D2 R2 U2 F U R'
B2 D2 R2 F2 B U' R
R2 F2 B U' R D' B2
R2 F2 B U' D' R B2
R2 F2 B U' D' B2 R
B2 D2 R2 B U L' U2
B2 D2 R2 B F2 U' R
R2 F2 B U2 L2 U R
R2 F2 B D' U' R B2
R2 F2 B D' U' B2 R
R2 F2 B D2 R2 U' R'
B D2 R2 F2 B U' R
B D2 R2 B U L' U2
B D2 R2 B F2 U' R
F D2 R2 F B2 U' R
F D2 R2 B2 F U' R
F' D2 F R2 B U' R'
U2 B L2 F' U' L U2
U2 B L2 F' B2 U R'
U2 B L2 B2 F' U R'
F D2 F B2 R2 U' R'
D2 B R2 F2 B U' R
D2 B R2 B U L' U2
D2 B R2 B F2 U' R
R2 B U L' U L' U
R2 B U D L' F2 U2
R2 B U D F2 U2 R
R2 B U D' L' U2 B2
F D2 B2 R2 F U' R
F D2 B2 F R2 U' R'
R2 B U2 L2 U' L U2
R2 B U2 L2 B2 U R'
R2 B D U L' F2 U2
R2 B D U F2 U2 R
R2 B D' U L' U2 B2
R2 B D' F2 U' R B2
R2 B D' F2 U' B2 R
L2 B D2 F' R2 U R'
R2 B D2 R2 U L' U2
R2 B D2 R2 F2 U' R
R2 B D2 F2 R2 U' R'
R2 B F2 U' R D' B2
R2 B F2 U' D' R B2
R2 B F2 U' D' B2 R
R2 B F2 U2 L2 U R
R2 B F2 D' U' R B2
R2 B F2 D' U' B2 R
R2 B F2 D2 R2 U' R'
U2 B' L2 F' U' L U2
U2 B' L2 F' B2 U R'
U2 B' L2 B2 F' U R'
D2 B' R2 F2 B U' R
D2 B' R2 B U L' U2
D2 B' R2 B F2 U' R
U2 B2 L2 F' U' L U2
U2 B2 L2 F' B2 U R'
U2 B2 L2 B2 F' U R'
D2 B2 R2 F2 B U' R
D2 B2 R2 B U L' U2
D2 B2 R2 B F2 U' R
L' B2 U L' F' R' U
L2 B2 D F' U F' R'
L2 B2 D2 F' R2 U R
L2 B2 F' U R' D F2
L2 B2 F' U D R' F2
L2 B2 F' U D F2 R'
L2 B2 F' U2 L2 U' R'
L2 B2 F' D U R' F2
L2 B2 F' D U F2 R'
L2 B2 F' D2 R2 U R
