L2 R' B' L U' R
U L2 R' B' L U'
U L2 R' B' L U'
R' L2 B' L U' R
L2 U R' B' L U'
U R' L2 B' L U'
B2 U' F L U F
B F R' U R B
F B R' U R B
U' D2 F U2 L' R' U'
U' D2 F U2 R' L' U'
L2 F R' B' L U' R
D2 F U L' R' U' L
D2 F U R' L' U' L
L2 F U R' B' L U'
B2 D U' F L U F
B D F R' U R B
L2 F' R' B' L U' R
L2 F' U R' B' L U'
B2 D' U' F L U F
B D' F R' U R B
L2 F2 R' B' L U' R
L2 F2 U R' B' L U'
B2 D2 U' F L U F
B D2 F R' U R B
L' B R' U R B L
B2 F L R U R' F'
R' B U2 R' F U R2
B2 F L B' R' U R
B F L R' U R B
F B L R' U R B
B F L' R' U R B
F B L' R' U R B
B2 F R L U R' F'
B F L2 R' U R B
F B L2 R' U R B
B F R' L U R B
B F R' L' U R B
B F R' L2 U R B
B F R' U R D B
B F R' U R D' B
B F R' U R D2 B
B F R' U R B D
B F R' U R B D'
B F R' U R B D2
B F R' U D R B
B F R' U D' R B
B F R' U D2 R B
B F R' U B R B
B F R' U B' R B
B F R' U B2 R B
B F R' D U R B
B F R' D' U R B
F B R' L U R B
B F R' D2 U R B
F B R' L' U R B
F B R' L2 U R B
F B R' U R D B
F B R' U R D' B
F B R' U R D2 B
F B R' U R B D
F B R' U R B D'
F B R' U R B D2
F B R' U D R B
F B R' U D' R B
F B R' U D2 R B
F B R' U B R B
F B R' U B' R B
F B R' U B2 R B
B F R' B L U R
F B R' D U R B
F B R' D' U R B
F B R' D2 U R B
F B R' B L U R
R' B' L2 B' L' U' R
B F D R' U R B
F B D R' U R B
B F D' R' U R B
F B D' R' U R B
B F D2 R' U R B
F B D2 R' U R B
B2 F' U' L F2 U F'
B2 F' U' F2 L U F
F B2 L R U R' F'
F B2 L B' R' U R
F B2 R L U R' F'
F' B2 U' L F2 U F'
B2 F2 U' L F' U F2
F2 B2 U' L F' U F2
F' B2 U' F2 L U F
B2 F2 U' F' L U F
F2 B2 U' F' L U F
U B2 U2 F L R U
U B2 U2 F R L U
