U' L D' F' B2 U
U' L D' B2 F' U
U' L D2 F' U R2
U' L F' U D2 R2
U' L F' U' L2 U2
U' L F' D' B2 U
U' L F' D2 U R2
U2 L' U L2 F' U
U2 L' U F' L2 U
L' U' F' L2 B' U
L D' F' B2 U F
L D' B2 F' U F
L D2 F' U R2 F
L D2 F' U F R2
L F' U D2 R2 F
L F' U D2 F R2
L F' U F D2 R2
L F' U' L2 B' U2
U' F' D' L B' U
L F' D' B2 U F
L F' D2 U R2 F
L F' D2 U F R2
L D2 F' U F R2 D2
L D2 F' U F' R2 F2
L D2 F' D B2 U F
L D2 F' B U R2 F
L D2 F' B U F R2
L D2 F' B' U R2 F
L D2 F' B' U F R2
L D2 F' B2 U R2 F
L D2 F' B2 U F R2
L D2 B F' U R2 F
L D2 B F' U F R2
L D2 B' F' U R2 F
L D2 B' F' U F R2
L D2 B2 F' U R2 F
L D2 B2 F' U F R2
L' F U L2 F2 U F
L' F U2 D' L2 F' B2
L' F U2 D' L2 B2 F'
L' F U2 D' F' L2 B2
L' F U2 D' F' B2 L2
L' F U2 D' B2 L2 F'
L' F U2 D' B2 F' L2
L' F D R2 F2 B U2
L' F D R2 B F2 U2
L' F D F2 R2 U2 F
L' F D' U2 L2 F' B2
L' F D' U2 L2 B2 F'
L' F D' U2 F' L2 B2
L' F D' U2 F' B2 L2
L' F D' U2 B2 L2 F'
L' F D' U2 B2 F' L2
L F D' B2 U L2 F'
L F D' B2 U F' L2
F2 D R2 F L U R'
U' F' L U F' R F
U' F' L U2 F' U' R
U' F' L D2 B U R'
L' F' L2 U' L2 U2 F
L' F' L2 U' B' L2 U2
L F' R U D2 R2 F
L F' R U D2 F R2
L F' R U F D2 R2
L F' R U' L2 B' U2
L F' R D' B2 U F
L F' R D2 U R2 F
L F' R D2 U F R2
L F' R' U D2 R2 F
L F' R' U D2 F R2
L F' R' U F D2 R2
L F' R' U' L2 B' U2
L' F' U L2 U L2 F
L F' R' D' B2 U F
L F' R' D2 U R2 F
L F' R' D2 U F R2
L F' R2 U D2 R2 F
L F' R2 U D2 F R2
L F' R2 U F D2 R2
L F' R2 U' L2 B' U2
L F' R2 D' B2 U F
L F' R2 D2 U R2 F
L F' R2 D2 U F R2
L F' U R D2 R2 F
L F' U R D2 F R2
L F' U R F D2 R2
L F' U R' D2 R2 F
L F' U R' D2 F R2
L F' U R' F D2 R2
L F' U R2 D2 R2 F
L F' U R2 D2 F R2
L F' U R2 F D2 R2
L F' U D' F D' R2
L F' U D2 R' F R'
L F' U D2 R2 D F
L F' U D2 R2 D' F
L F' U D2 R2 D2 F
L F' U D2 R2 F D
L F' U D2 R2 F D'
L F' U D2 R2 F D2
L F' U D2 F R2 D
L F' U D2 F R2 D'
L F' U D2 F R2 D2
L F' U D2 F' R2 F2
L F' U F R D2 R2
L F' U F R' D2 R2
L F' U F R2 D2 R2
L F' U F U2 L2 U2
L F' U F D2 R2 D
L F' U F D2 R2 D'
L F' U F D2 R2 D2
L F' U F2 D2 F' R2
L F' U' L2 D B' U2
L F' U' L2 D' B' U2
L F' U' L2 D2 B' U2
L F' U' L2 B' U2 D
L F' U' L2 B' U2 D'
L F' U' L2 B' U2 D2
L F' U' L2 B' D U2
L F' U' L2 B' D' U2
L F' U' L2 B' D2 U2
U' F' D' L D B' U
L F' U' B L2 B' U2
U' F' D' L D' B' U
U' F' D' L D2 B' U
U' F' D' L B' U D
U' F' D' L B' U D'
U' F' D' L B' U D2
U' F' D' L B' D U
U' F' D' L B' D' U
U' F' D' L B' D2 U
L F' U' B' L2 B' U2
L F' U' B2 L2 B' U2
L F' U2 D F2 U' F'
U' F' D2 L B U R'
L F' D U2 F2 U' F'
L F' D' R B2 U F
L F' D' R' B2 U F
L F' D' R2 B2 U F
L F' D' U F D' R2
L F' D' B2 R U F
L F' D' B2 R' U F
L F' D' B2 R2 U F
L F' D' B2 U D F
L F' D' B2 U D' F
L F' D' B2 U D2 F
L F' D' B2 U F D
L F' D' B2 U F D'
L F' D' B2 U F D2
L F' D' B2 D U F
L F' D' B2 D' U F
L F' D' B2 D2 U F
L F' D2 R U R F
L F' D2 R' U R' F
L F' D2 R' U F R'
L F' D2 U R' F R'
L F' D2 U R2 D F
L F' D2 U R2 D' F
L F' D2 U R2 D2 F
L F' D2 U R2 F D
L F' D2 U R2 F D'
L F' D2 U R2 F D2
L F' D2 U F R2 D
L F' D2 U F R2 D'
L F' D2 U F R2 D2
L F' D2 U F' R2 F2
L F' D2 B U R2 F
L F' D2 B U F R2
L F' D2 B' U R2 F
L F' D2 B' U F R2
L F' D2 B2 U R2 F
L F' D2 B2 U F R2
L F' B U D2 R2 F
L F' B U D2 F R2
L F' B U F D2 R2
L F' B U' L2 B' U2
L F' B D' B2 U F
L F' B D2 U R2 F
L F' B D2 U F R2
L F' B' U D2 R2 F
L F' B' U D2 F R2
L F' B' U F D2 R2
L F' B' U' L2 B' U2
L F' B' D' B2 U F
L F' B' D2 U R2 F
L F' B' D2 U F R2
L F' B2 U D2 R2 F
L F' B2 U D2 F R2
L F' B2 U F D2 R2
L F' B2 U' L2 B' U2
L F' B2 D' B2 U F
L F' B2 D2 U R2 F
L F' B2 D2 U F R2
L' B U' F' L2 B' U
L B D' F' B2 U F
L B D' B2 F' U F
L B D2 F' U R2 F
L B D2 F' U F R2
L B F' U D2 R2 F
L B F' U D2 F R2
L B F' U F D2 R2
L B F' U' L2 B' U2
L B F' D' B2 U F
L B F' D2 U R2 F
L B F' D2 U F R2
L' B' U' F' L2 B' U
L2 B' U' L' F' B' U
L2 B' U' L' B' F' U
B' F' U F' R F2 B
B' F' U F' R B F2
F' B' U F' R F2 B
F' B' U F' R B F2
L B' D' F' B2 U F
L B' D' B2 F' U F
L B' D2 F' U R2 F
L B' D2 F' U F R2
L B' F' U D2 R2 F
L B' F' U D2 F R2
L B' F' U F D2 R2
L B' F' U' L2 B' U2
L B' F' D' B2 U F
L B' F' D2 U R2 F
L B' F' D2 U F R2
L2 B2 L' F' U R' F
L2 B2 L' F' U F R'
L' B2 U' F' L2 B' U
L2 B2 U' L' F' U R'
L B2 D' F' B2 U F
L B2 D' B2 F' U F
L B2 D2 F' U R2 F
L B2 D2 F' U F R2
L B2 F' U D2 R2 F
L B2 F' U D2 F R2
L B2 F' U F D2 R2
L B2 F' U' L2 B' U2
L B2 F' D' B2 U F
L B2 F' D2 U R2 F
L B2 F' D2 U F R2
