L2 R2 D B R F'
R2 L2 D B R F'
L2 R2 B D R F'
R2 L2 B D R F'
F' U R U L2 R2
F' U R U R2 L2
F2 U' L2 R' F' B'
F2 U' L2 R' B' F'
F2 U' R' L2 F' B'
F2 U' R' L2 B' F'
F' U2 L2 R' D' F2
F' U2 R' L2 D' F2
R2 B L2 D R F'
L2 R2 D B2 R F' B'
L2 R2 D B2 R B' F'
R2 L2 D B2 R F' B'
R2 L2 D B2 R B' F'
L' R2 D' B L' R F
L' R2 D' B R L' F
L2 R2 D' B D2 R F'
R2 L2 D' B D2 R F'
L2 R2 D2 B R D' F2
R2 L2 D2 B R D' F2
F' L2 R' D' F2 D2 B2
U' L2 R2 D B R F'
U2 L2 R2 D B R F'
U' L2 R2 B D R F'
U L2 R2 D B R F'
U2 L2 R2 B D R F'
U L2 R2 B D R F'
L' R2 B L' D R F'
L' R2 B R D' L' F
L' R2 B D L' R F'
L' R2 B D R L' F'
L' R2 B D' L' R F
L' R2 B D' R L' F
F' L2 U2 R' D' F2 L'
L2 R2 B D R D F'
L2 R2 B D R D' F'
L2 R2 B D R D2 F'
L2 R2 B D R F' D
L2 R2 B D R F' D'
L2 R2 B D R F' D2
R2 L2 B D R D F'
R2 L2 B D R D' F'
R2 L2 B D R D2 F'
R2 L2 B D R F' D
R2 L2 B D R F' D'
R2 L2 B D R F' D2
L2 R2 B2 D R F' B'
L2 R2 B2 D R B' F'
L2 R2 B2 D B' R F'
R2 L2 B2 D R F' B'
R2 L2 B2 D R B' F'
R2 L2 B2 D B' R F'
F2 L2 F R' D' F2 B'
F2 L2 F R' D' B' F2
F2 L2 F R' B' D' F2
R2 U L2 D B R F'
R2 U L2 B D R F'
F' R U L2 R2 D' B2
F' R U R2 L2 D' B2
R2 U B L2 D R F'
F' R U2 L2 R2 D F2
F' R U2 R2 L2 D F2
F' R F U L2 R2 B
F' R F U R2 L2 B
F' R F U R2 B L2
R2 U' L2 D B R F'
F' R F' U L2 R2 B'
F' R F' U L2 B' R2
F' R F' U R2 L2 B'
R2 U' L2 B D R F'
F' R' L2 D' F2 D2 B2
R2 U' B L2 D R F'
F' R' F' L2 D' F2 B'
F' R' F' L2 D' B' F2
F' R' F' L2 B' D' F2
R2 U2 L2 D B R F'
R2 U2 L2 B D R F'
U' R2 L2 D B R F'
U2 R2 L2 D B R F'
U' R2 L2 B D R F'
U2 R2 L2 B D R F'
F' R2 U R' U L2 R2
F' R2 U R' U R2 L2
L2 U2 F' U R U R2
L2 U2 F' U2 R' D' F2
U R2 L2 D B R F'
U R2 L2 B D R F'
F' R2 U2 L2 R D' F2
F' R2 U2 R L2 D' F2
R2 U2 B L2 D R F'
D2 R2 U2 D' B R F'
D2 R2 U2 B R D' F2
D2 R2 D' U2 B R F'
L2 D R F' R B R
U' R2 B L2 D R F'
U2 R2 B L2 D R F'
U R2 B L2 D R F'
L2 D R2 B R' F' R2
F2 U L R' F L B'
F2 U L F L R' B'
F2 U L F R' L B'
L2 D F R F' R2 B
F' U L2 R' D' F2 B2
F' U L2 R' D' B2 F2
F' U R U L2 R2 D
F' U R U L2 R2 D'
F' U R U L2 R2 D2
F' U R U R2 L2 D
F' U R U R2 L2 D'
F' U R U R2 L2 D2
F' U R D F2 B2 U
F' U R D B2 F2 U
F' U R F U L2 R2
F' U R F U R2 L2
F' U R F' U L2 R2
F' U R F' U R2 L2
F' U R F2 U L2 R2
F' U R F2 U R2 L2
F' U R B U L2 R2
F' U R B U R2 L2
F' U R B' U L2 R2
F' U R B' U R2 L2
F' U R B2 U L2 R2
F' U R B2 U R2 L2
F' U R' L2 D' F2 B2
F' U R' L2 D' B2 F2
F2 U R' L F L B'
R2 D B R D' L2 F'
R2 D B R D' F' L2
L2 D B' R2 B R' F'
F' U D R F2 U R2
L' D' L' R2 B R F
L' D' L' F R' D2 B2
L' D' L' F D2 R' B2
F2 U F U2 L2 R' F'
F2 U F U2 R' L2 F'
F2 U F U2 R' F' L2
L' D' R2 L' B R F
L' D' R2 B L' R F
L' D' R2 B R L' F
L2 D' R2 D2 B R F'
L2 D' R2 B D2 R F'
F2 U' L R' F' L B'
F2 U' L2 R' D F' B'
F2 U' L2 R' D B' F'
F2 U' L2 R' D' F' B'
F2 U' L2 R' D' B' F'
F2 U' L2 R' D2 F' B'
F2 U' L2 R' D2 B' F'
F2 U' L2 R' F' D B'
F2 U' L2 R' F' D' B'
F2 U' L2 R' F' D2 B'
F2 U' L2 R' F' B' D
F2 U' L2 R' F' B' D'
F2 U' L2 R' F' B' D2
F2 U' L2 R' B' D F'
F2 U' L2 R' B' D' F'
F2 U' L2 R' B' D2 F'
F2 U' L2 R' B' F' D
F2 U' L2 R' B' F' D'
F2 U' L2 R' B' F' D2
F2 U' L2 R2 B' R F'
F2 U' L2 D R' F' B'
F2 U' L2 D R' B' F'
F2 U' L2 D' R' F' B'
F2 U' L2 D' R' B' F'
F2 U' L2 D2 R' F' B'
F2 U' L2 D2 R' B' F'
F2 U' L2 F R' F' B'
F2 U' L2 F R' B' F'
F2 U' L2 F' R' F' B'
F2 U' L2 F' R' B' F'
F2 U' L2 F2 R' F' B'
F2 U' L2 F2 R' B' F'
F2 U' R' L F' L B'
F2 U' R' L2 D F' B'
F2 U' R' L2 D B' F'
F2 U' R' L2 D' F' B'
F2 U' R' L2 D' B' F'
F2 U' R' L2 D2 F' B'
F2 U' R' L2 D2 B' F'
F2 U' R' L2 F' D B'
F2 U' R' L2 F' D' B'
F2 U' R' L2 F' D2 B'
F2 U' R' L2 F' B' D
F2 U' R' L2 F' B' D'
F2 U' R' L2 F' B' D2
F2 U' R' L2 B' D F'
F2 U' R' L2 B' D' F'
F2 U' R' L2 B' D2 F'
F2 U' R' L2 B' F' D
F2 U' R' L2 B' F' D'
F2 U' R' L2 B' F' D2
F2 U' R' F' L2 D2 B2
F2 U' R' B L2 F' B'
F2 U' R' B L2 B' F'
F2 U' R' B' L2 F' B'
F2 U' R' B' L2 B' F'
F2 U' R' B2 L2 F' B'
F2 U' R' B2 L2 B' F'
F2 U' R2 L2 B' R F'
F2 U' F R' F' L2 B'
F' U' F' U' L2 R' F'
F' U' F' U' R' L2 F'
F' U' F' U' R' F' L2
F' U' F2 L' U' L' R'
F' U' F2 L' U' R' L'
F2 U' B L2 B' R' F'
L2 D2 R2 D' B R F'
L2 D2 R2 B R D' F2
F' U2 L R' D' L F2
F' U2 L R' D' F2 L
F' U2 L' R' D' L' F2
F' U2 L2 R' U' R2 U
F' U2 L2 R' D' F2 D
F' U2 L2 R' D' F2 D'
F' U2 L2 R' D' F2 D2
F' U2 L2 R' F D' F2
F' U2 L2 R' F' D' F2
F' U2 L2 R' F2 D' F2
F' U2 L2 U' R U R2
F' U2 L2 D R' D' F2
F' U2 L2 D' R' D' F2
F' U2 L2 D2 R' D' F2
F' U2 R' L D' L F2
F' U2 R' L D' F2 L
F' U2 R' L' D' L' F2
F' U2 R' L2 U' R2 U
F' U2 R' L2 D' F2 D
F' U2 R' L2 D' F2 D'
F' U2 R' L2 D' F2 D2
F' U2 R' L2 F D' F2
F' U2 R' L2 F' D' F2
F' U2 R' L2 F2 D' F2
F' U2 R' U' R2 U L2
F' U2 R' D' F2 D L2
F' U2 R' F L2 D' F2
F' U2 R' F' L2 D' F2
F' U2 R' F2 L2 D' F2
R2 D2 B R D' F2 L'
F' U2 D R' D' L2 F2
F' U2 D R' D' F2 L2
F' D U R F2 U R2
F' D U2 R' D' L2 F2
F' D U2 R' D' F2 L2
L2 F' R' D' F2 D2 B2
R F' R U L2 B R
D2 F' R2 U2 D' R F'
R F' R U B L2 R
R F' R U B R L2
D2 F' R2 D' U2 R F'
U' F' U R U L2 R2
U' F' U R U R2 L2
U2 F' U R U L2 R2
U2 F' U R U R2 L2
U' F' U2 L2 R' D' F2
U' F' U2 R' L2 D' F2
U F' U R U L2 R2
U F' U R U R2 L2
L F' U R U L R2
L F' U R U R2 L
U2 F' U2 L2 R' D' F2
U2 F' U2 R' L2 D' F2
L2 F' U2 R' D' F2 L'
L F' U2 L R' D' F2
U F' U2 L2 R' D' F2
U F' U2 R' L2 D' F2
L F' U2 R' L D' F2
L F' U2 R' D' L F2
L F' U2 R' D' F2 L
U' F2 U' L2 R' F' B'
U' F2 U' L2 R' B' F'
U' F2 U' R' L2 F' B'
U' F2 U' R' L2 B' F'
U2 F2 U' L2 R' F' B'
U2 F2 U' L2 R' B' F'
U2 F2 U' R' L2 F' B'
U2 F2 U' R' L2 B' F'
U F2 U' L2 R' F' B'
U F2 U' L2 R' B' F'
U F2 U' R' L2 F' B'
U F2 U' R' L2 B' F'
F D2 L' U' R' B2 L
F' D2 R2 U R' U R2
F' D2 R2 U2 R D' F2
F D2 R' B2 L D F2
R2 B L D L R F'
R2 B L D R L F'
R2 B L D R F' L
R2 B L' R D' L' F
R2 B L' D L' R F'
R2 B L' D R L' F'
R2 B L' D' L' R F
R2 B L' D' R L' F
R2 B L2 D R D F'
R2 B L2 D R D' F'
R2 B L2 D R D2 F'
R2 B L2 D R F' D
R2 B L2 D R F' D'
R2 B L2 D R F' D2
R2 B R L' D' L' F
R2 B D R D' L2 F'
R2 B D R D' F' L2
F' B U R B U L2
R2 B' L2 B2 D R F'
B2 F' L U R U L
B F' U R B U L2
F' B2 L U R U L
D' B2 U L F' B' U2
D' B2 U L B' F' U2
D' B2 U F' L B' U2
