F' L U' F L
L F' U' L F2
L F' U' F2 L
F' L U' D F L
F' L U' D' F L
F' L U' D2 F L
F' L U' F L D
F' L U' F L D'
F' L U' F L D2
F' L U' F D L
F' L U' F D' L
F' L U' F D2 L
F' L U' F' L F2
F' L U' F2 L F'
F' L D U' F L
F' L D' U' F L
F' L D2 U' F L
B' L F' U' L F2
B' L F' U' F2 L
B2 L F' U' L F2
B2 L F' U' F2 L
B L F' U' L F2
B L F' U' F2 L
D' L F' B2 U' F2
F L F2 U' L F'
F L F2 U' F' L
D' L B2 F' U' F2
F' L' U B' U2 L'
F' L' U' L2 F L
L U' F L D R2
L U' F D L R2
L U' F D R2 L
L D F' U' L F2
L D F' U' F2 L
L D' F' U' L F2
L D' F' U' F2 L
L D2 F' U' L F2
L D2 F' U' F2 L
F' U2 R' U L2 F'
F' U2 R' U F' L2
L' F' L2 U' F L'
D' F' L B2 U' F
L2 F' L' U' F L
L F' L' U' L2 F2
L F' L' U' F2 L2
L F' L2 U' L' F2
L' F' U' L2 F L'
F' D' L B2 U' F
L F' U' L F2 D
L F' U' L F2 D'
L F' U' L F2 D2
L F' U' L' F2 L2
L F' U' F' L F'
L F' U' F2 L D
L F' U' F2 L D'
L F' U' F2 L D2
L F' U' F2 D L
L F' U' F2 D' L
L F' U' F2 D2 L
L F' D' L2 U' L'
D' F' B2 L U' F
F' D' B2 L U' F
F' B L U' F L
F' B' L U' F L
B' F' L U' F L
B2 F' L U' F L
B F' L U' F L
D' B2 L F' U' F2
F' B2 L U' F L
D' B2 F' L U' F
D2 L F' U' F2 D2 L2
D' L F' U' F2 D L2
B' L F' U' L F2 D
B' L F' U' L F2 D'
B' L F' U' L F2 D2
B' L F' U' L' F2 L2
B2 L F' U' L F2 D
B2 L F' U' L F2 D'
B2 L F' U' L F2 D2
B' L F' U' F' L F'
B' L F' U' F2 L D
B' L F' U' F2 L D'
B' L F' U' F2 L D2
B2 L F' U' L' F2 L2
B' L F' U' F2 D L
B' L F' U' F2 D' L
B' L F' U' F2 D2 L
B2 L F' U' F' L F'
B2 L F' U' F2 L D
B2 L F' U' F2 L D'
B2 L F' U' F2 L D2
B2 L F' U' F2 D L
B2 L F' U' F2 D' L
B2 L F' U' F2 D2 L
D L F' U2 F' U F'
B L F' U' L F2 D
B L F' U' L F2 D'
B L F' U' L F2 D2
B L F' U' L' F2 L2
B L F' U' F' L F'
B L F' U' F2 L D
B L F' U' F2 L D'
B L F' U' F2 L D2
B L F' U' F2 D L
B L F' U' F2 D' L
B L F' U' F2 D2 L
B' L F' D' L2 U' L'
B2 L F' D' L2 U' L'
D' L F' B2 L U' F2
D' L F' B2 L' U' F2
D' L F' B2 L2 U' F2
B L F' D' L2 U' L'
D' L F' B2 U' F2 D
D' L F' B2 U' F2 D'
D' L F' B2 U' F2 D2
D' L F' B2 D' L2 U'
F L F2 L' U' L2 F'
F L F2 L' U' F' L2
F L F2 L2 U' L' F'
F L F2 U' L D F'
F L F2 U' L D' F'
F L F2 U' L D2 F'
F L F2 U' L F' D
F L F2 U' L F' D'
F L F2 U' L F' D2
F L F2 U' L' F' L2
F L F2 U' D L F'
F L F2 U' D F' L
F L F2 U' D' L F'
F L F2 U' D' F' L
F L F2 U' D2 L F'
F L F2 U' D2 F' L
F L F2 U' F L F2
F L F2 U' F' L D
F L F2 U' F' L D'
F L F2 U' F' L D2
F L F2 U' F' D L
F L F2 U' F' D' L
F L F2 U' F' D2 L
F L F2 D U' L F'
F L F2 D U' F' L
F L F2 D' U' L F'
F L F2 D' U' F' L
F L F2 D2 U' L F'
F L F2 D2 U' F' L
F' L B U' D2 F L'
F' L B D2 U' F L'
F' L B2 U R' U2 F
D' L B2 U' F D R2
D' L B2 D F' U' F2
D' L B2 D' F' U' F2
D' L B2 D2 F' U' F2
D' L B2 F' L U' F2
D' L B2 F' L' U' F2
D' L B2 F' L2 U' F2
D' L B2 F' U' F2 D
D' L B2 F' U' F2 D'
D' L B2 F' U' F2 D2
D' L B2 F' D' L2 U'
F' L' U R B' U2 L'
F' L' U R' B' U2 L'
F' L' U R2 B' U2 L'
F' L' U D B' U2 L'
F' L' U D' B' U2 L'
F' L' U D2 B' U2 L'
F' L' U B' R U2 L'
F' L' U B' R' U2 L'
F' L' U B' R2 U2 L'
F' L' U B' U2 L' D
F' L' U B' U2 L' D'
F' L' U B' U2 L' D2
F' L' U B' U2 D L'
F' L' U B' U2 D' L'
F' L' U B' U2 D2 L'
F' L' U B' D U2 L'
F' L' U B' D' U2 L'
F' L' U B' D2 U2 L'
F2 L' U B' U2 L' R'
F2 L' U B' U2 R' L'
F' L' U' L2 D F L
F' L' U' L2 D' F L
F' L' U' L2 D2 F L
F' L' U' L2 F L D
F' L' U' L2 F L D'
F' L' U' L2 F L D2
F' L' U' L2 F D L
F' L' U' L2 F D' L
F' L' U' L2 F D2 L
F' L' U' L2 F' L F2
F' L' U' L2 F2 L F'
F2 L' U' L2 F L R
F2 L' U' L2 F R L
F' L' U' D L2 F L
F' L' U' D' L2 F L
F' L' U' D2 L2 F L
F' L' U' F' L2 F L'
F' L' D L2 U' F L
F' L' D U B' U2 L'
F' L' D U' L2 F L
D' L' D F' U' L2 F
F' L' D' L2 U' F L
F' L' D' U B' U2 L'
F' L' D' U' L2 F L
D L' D' F' U' L2 F
F' L' D2 L2 U' F L
F' L' D2 U B' U2 L'
F' L' D2 U' L2 F L
D2 L' D2 F' U' L2 F
D' L' F' L2 B2 U' F
B' L' F' L2 U' F L'
B2 L' F' L2 U' F L'
D2 L' F' U R2 B' U2
D2 L' F' U B' R2 U2
B L' F' L2 U' F L'
D' L' F' U' D L2 F
D2 L' F' U' D2 L2 F
B' L' F' U' L2 F L'
D' L' F' D U' L2 F
B2 L' F' U' L2 F L'
D2 L' F' D2 U' L2 F
B L' F' U' L2 F L'
D' L' F' B2 U B U2
F L' F2 U R B' U2
F L' F2 U B' R U2
F' L' B U B2 U2 L'
F' L' B U' L' D2 F2
F' L' B U' D2 L' F2
F' L' B D L2 U' L
F' L' B D2 U' L' F2
F' L' B2 U B U2 L'
D' L' B2 F' U B U2
U2 L2 R' D' F' R B2
U2 L2 R' D' F' B2 R
U2 L2 R' D' B2 F' R
U' L2 U L F' U' F2
U' L2 U F' L U' F
F' L2 D' B' L U' L'
U' L2 F U F2 L' U'
B' L2 F' L' U' F L
D' L2 F' L' B2 U' F
B2 L2 F' L' U' F L
B L2 F' L' U' F L
D' L2 F' B2 L' U' F
U' L2 F2 U F L' U'
F L2 F2 L' U' F L
F' L2 B L' U' F L
F' L2 B' L' U' F L
F' L2 B2 L' U' F L
D' L2 B2 L' F' U' F2
D' L2 B2 F' L' U' F
L U F L D R2 B
L U F D L R2 B
L U F D R2 L B
U2 R U' B L U2 L
L' U' L2 F L D R2
L' U' L2 F D L R2
L' U' L2 F D R2 L
R' U' R F' L' U' L'
R2 U' R2 F' L' U' L'
L U' D F L D R2
L U' D F D L R2
L U' D F D R2 L
U2 R B2 U L2 F R
L U' D' F L D R2
L U' D' F D L R2
L U' D' F D R2 L
L U' D2 F L D R2
L U' D2 F D L R2
L U' D2 F D R2 L
L U' F L R D R2
L U' F L R' D R2
L U' F L R2 D R2
L U' F L U F2 U'
L U' F L D R2 D
L U' F L D R2 D'
L U' F L D R2 D2
L U' F L2 D L' R2
L U' F L2 D R2 L'
L U' F R L D R2
L U' F R D L R2
L U' F R D R2 L
L U' F R' L D R2
L U' F R' D L R2
L U' F R' D R2 L
L U' F R2 L D R2
L U' F R2 D L R2
L U' F R2 D R2 L
L U' F U F2 U' L
U2 R' L2 D' F' R B2
U2 R' L2 D' F' B2 R
U2 R' L2 D' B2 F' R
L U' F D L R2 D
L U' F D L R2 D'
L U' F D L R2 D2
L U' F D R2 L D
L U' F D R2 L D'
L U' F D R2 L D2
L U' F D R2 D L
L U' F D R2 D' L
L U' F D R2 D2 L
L U' F D2 L D' R2
L U' F' L F2 D R2
U2 R' U L2 D' F' R
L U' F2 L D F' R
L U2 R U F L R
L U2 R U F R L
L U2 F' U L F2 R
D2 R2 U' R2 F' L' U'
U2 R2 D F2 B R' U
U2 R2 D B R' F2 U
U2 R2 D B F2 R' U
L' D L2 F' U' L F2
L' D L2 F' U' F2 L
U2 R2 B R U L2 F'
U2 R2 B R U F' L2
L D U' F L D R2
L D U' F D L R2
L D U' F D R2 L
L2 D F L' F2 U' L
L' D F' L2 U' F L'
L' D F' U' L2 F L'
L D F' L' U' L2 F2
L D F' L' U' F2 L2
L D F' L2 U' L' F2
L D F' U' L F2 D
L D F' U' L F2 D'
L D F' U' L F2 D2
L D F' U' L' F2 L2
L D F' U' F' L F'
L D F' U' F2 L D
L D F' U' F2 L D'
L D F' U' F2 L D2
L D F' U' F2 D L
L D F' U' F2 D' L
L D F' U' F2 D2 L
L D F' D' L2 U' L'
L' D' L2 F' U' L F2
L' D' L2 F' U' F2 L
F' U B U' L U' L
F' U B' U R' U L2
F' U' L F' L D F2
L D' U' F L D R2
L D' U' F D L R2
L D' U' F D R2 L
L' D' F' L2 U' F L'
F' U' L2 U L U' F
F' U' L2 U' R' U F'
L' D' F' U' L2 F L'
F' U' L2 F U' R U
F' U' L2 F' U L' U'
L2 D' F' B' L U' L'
L D' F' L' U' L2 F2
L D' F' L' U' F2 L2
L D' F' L2 U' L' F2
L D' F' U' L F2 D
L D' F' U' L F2 D'
L D' F' U' L F2 D2
L D' F' U' L' F2 L2
L D' F' U' F' L F'
L D' F' U' F2 L D
L D' F' U' F2 L D'
L D' F' U' F2 L D2
L D' F' U' F2 D L
L D' F' U' F2 D' L
L D' F' U' F2 D2 L
L D' F' D' L2 U' L'
U' D' F' L' B2 U' B2
D' U' F' L' B2 U' B2
D' U' F' B2 L' U' B2
U' D' F' B2 L' U' B2
L2 D' B' F' L U' L'
F' U' F L2 U' R U
D' U' B2 F' L' U' B2
U' D' B2 F' L' U' B2
F' U' F U' R U L2
F' U' F' L D L F2
F' U' F' L D F2 L
L' D2 L2 F' U' L F2
L' D2 L2 F' U' F2 L
F' U' F' L2 U L U'
F' U' F' U L' U' L'
F' U' F2 L' D' L' F
L D2 U' F L D R2
L D2 U' F D L R2
L D2 U' F D R2 L
L' D2 F' L2 U' F L'
L' D2 F' U' L2 F L'
F' U2 R U' B U2 L2
L D2 F' L' U' L2 F2
L D2 F' L' U' F2 L2
L D2 F' L2 U' L' F2
L D2 F' U' L F2 D
L D2 F' U' L F2 D'
L D2 F' U' L F2 D2
L D2 F' U' L' F2 L2
L D2 F' U' F' L F'
L D2 F' U' F2 L D
L D2 F' U' F2 L D'
L D2 F' U' F2 L D2
L D2 F' U' F2 D L
L D2 F' U' F2 D' L
L D2 F' U' F2 D2 L
F' U2 R' U L F' L
F' U2 R' U L2 D F'
F' U2 R' U L2 D' F'
F' U2 R' U L2 D2 F'
F' U2 R' U L2 F' D
F' U2 R' U L2 F' D'
F' U2 R' U L2 F' D2
F' U2 R' U F L2 F2
F' U2 R' U F' L2 D
F' U2 R' U F' L2 D'
F' U2 R' U F' L2 D2
L D2 F' D' L2 U' L'
F' U2 R' D F2 U F
F' U2 R' F U L2 F2
F' U2 R' F U F2 L2
F' U2 R' F2 U F L2
F' U2 D R' F2 U F
F' U2 D F2 R' U F'
D' F L F2 B2 U' F'
D' F L B2 F2 U' F'
L F L R2 D R2 B2
L F L R2 D B2 R2
F' U2 F R' U L2 F'
F' U2 F R' U F' L2
U' F L2 U F2 L' U'
L F L D R2 D B2
L2 F L' F2 U' L F'
L2 F L' F2 U' F' L
F' U2 F' R' U L2 F'
F' U2 F' R' U F' L2
L F L' F2 U' L2 F2
L F L' F2 U' F2 L2
F' U2 F2 R' U L2 F'
F' U2 F2 R' U F' L2
L F L2 F2 U' F2 L'
U' F U F2 L' U' L'
L F R2 L D R2 B2
L F R2 L D B2 R2
L F R2 D L R2 B2
L F R2 D L B2 R2
L F R2 D R2 L B2
F' D L U' D' F L2
F' D L U2 F2 U F'
F' D L D' U' F L2
F' D L D2 B2 U' F
F' D L' U' D' L2 F
F' D L' D' U' L2 F
L F D L R2 D B2
L F D R2 L D B2
L F D R2 D L B2
D' F B2 L F2 U' F'
D2 F' L U R2 U2 F
D' F' L U' D F L2
D' F' L U' F D L2
D2 F' L U' D2 F L2
D2 F' L U' F D2 L2
D' F' L D U' F L2
D2 F' L D B2 U' F
D2 F' L D2 U' F L2
D' F' L B2 U' D F
D' F' L B2 U' D' F
D' F' L B2 U' D2 F
D' F' L B2 U' F D
D' F' L B2 U' F D'
D' F' L B2 U' F D2
D' F' L B2 D U' F
D' F' L B2 D' U' F
D' F' L B2 D2 U' F
L2 F' L U B' U2 L'
L2 F' L U' L2 F L
F' D U2 R' F2 U F
D2 F' L' U R2 B' U2
D2 F' L' U B' R2 U2
D' F' L' U' D L2 F
D2 F' L' U' D2 L2 F
D' F' L' D U' L2 F
L' F' L' U' L' F L'
F' D U2 F2 R' U F'
L' F' L' U' F L' F
D2 F' L' D2 U' L2 F
U' F' L' B U' B' L'
D F' L U' F D' L2
U' F' L' B' U' L' B
U' F' L' B' U' B L'
D F' L U2 F' U F2
U' F' L' B2 U' L' B2
U' F' L' B2 U' B2 L'
D' F' L' B2 U B U2
L2 F' L' U' D F L
L2 F' L' U' D' F L
L2 F' L' U' D2 F L
L2 F' L' U' F L D
L2 F' L' U' F L D'
L2 F' L' U' F L D2
L2 F' L' U' F D L
L2 F' L' U' F D' L
L2 F' L' U' F D2 L
L2 F' L' U' F' L F2
L2 F' L' U' F2 L F'
U F' L U' L F B'
U F' L U' L B' F
L2 F' L' D U' F L
L F' L U' F2 D' L2
L2 F' L' D' U' F L
L2 F' L' D2 U' F L
L F' L D' L2 U' L2
L' F' L2 U' F L' D
L' F' L2 U' F L' D'
L' F' L2 U' F L' D2
L' F' L2 U' F D L'
L' F' L2 U' F D' L'
L' F' L2 U' F D2 L'
D' F' L2 B2 L' U' F
L' F' L2 B U' F L'
L' F' L2 B' U' F L'
L' F' L2 B2 U' F L'
L F' L' U' L F2 L
L F' L' U' L2 F2 D
L F' L' U' L2 F2 D'
L F' L' U' L2 F2 D2
L F' L' U' F' L2 F'
L F' L' U' F2 L2 D
L F' L' U' F2 L2 D'
L F' L' U' F2 L2 D2
L F' L' D' L2 B2 U'
L F' L' D' B2 L2 U'
L F' L' B U' L2 F2
L F' L' B U' F2 L2
L F' L' B' U' L2 F2
L F' L' B' U' F2 L2
L F' L' B2 U' L2 F2
L F' L' B2 U' F2 L2
L F' L2 U' L F2 L2
L F' L2 U' L' F2 D
L F' L2 U' L' F2 D'
L F' L2 U' L' F2 D2
L F' L2 U' L2 F2 L
L F' L2 D' L2 U' L
L F' L2 B U' L' F2
L F' L2 B' U' L' F2
L F' L2 B2 U' L' F2
U2 F' R' U' F' L2 B'
L' F' U D2 B' U2 L
L' F' U' L' F L' F
L' F' U' L2 F L' D
L' F' U' L2 F L' D'
L' F' U' L2 F L' D2
L' F' U' L2 F D L'
L' F' U' L2 F D' L'
L' F' U' L2 F D2 L'
L' F' U' F L2 F L
F' D' L U' D F L2
F' D' L U' F D L2
F' D' L D U' F L2
L F' U R U2 L F2
L F' U R U2 F2 L
B' D' L F' B2 U' F2
L F' U R' U2 L F2
L F' U R' U2 F2 L
L F' U R2 U2 L F2
L F' U R2 U2 F2 L
B' D' L B2 F' U' F2
L F' U D2 B2 R' U2
B2 D' L F' B2 U' F2
F' D' L B2 U' D F
F' D' L B2 U' D' F
F' D' L B2 U' D2 F
F' D' L B2 U' F D
F' D' L B2 U' F D'
F' D' L B2 U' F D2
F' D' L B2 D U' F
F' D' L B2 D' U' F
F' D' L B2 D2 U' F
L F' U B2 R' U2 F2
U F' U' L F L B'
B2 D' L B2 F' U' F2
L F' U' L R F2 R'
L F' U' L R2 F2 R2
L F' U' L F D F
L F' U' L F D' F
L F' U' L F D2 F
L F' U' L F' D F'
L F' U' L F' D' F'
L F' U' L F' D2 F'
F' D' L' U' D L2 F
D' F' D L U' F L
D2 F' D L B2 U' F
L F' U' L' F' L2 F'
L F' U' L' F2 L2 D
L F' U' L' F2 L2 D'
L F' U' L' F2 L2 D2
F' D' L' D U' L2 F
L F' U' R L F2 R'
L F' U' R F2 L R'
L F' U' R F2 R' L
L F' U' R2 L F2 R2
L F' U' R2 F2 L R2
L F' U' R2 F2 R2 L
L F' U' D L D' F2
L F' U' D2 L D2 F2
L F' U' F D F L
L F' U' F D' F L
L F' U' F D2 F L
L F' U' F' L D F'
L F' U' F' L D' F'
L F' U' F' L D2 F'
L F' U' F' L F' D
L F' U' F' L F' D'
L F' U' F' L F' D2
B D' L F' B2 U' F2
L F' U' F' L' F' L2
L F' U' F' D L F'
L F' U' F' D F' L
L F' U' F' D' L F'
L F' U' F' D' F' L
L F' U' F' D2 L F'
L F' U' F' D2 F' L
L F' U' F2 L2 D L'
L F' U' F2 L2 D' L'
L F' U' F2 L2 D2 L'
F' D' L' B2 U B U2
L F' U' F2 D L D
L F' U' F2 D L D'
L F' U' F2 D L D2
L F' U' F2 D' L D
L F' U' F2 D' L D'
L F' U' F2 D' L D2
L F' U' F2 D2 L D
L F' U' F2 D2 L D'
L F' U' F2 D2 L D2
U' F' D' L' B2 U' B2
B D' L B2 F' U' F2
D2 F' D B2 L U' F
D F' U2 F' R' U F'
L F' U2 R U L F2
L F' U2 R U F2 L
L F' U2 R' U L F2
L F' U2 R' U F2 L
F D' L B2 U' R' F
F D' L B2 U' F R'
L F' U2 R2 U L F2
L F' U2 R2 U F2 L
L F' U2 D R2 U L
L F' U2 F U F L
L F' U2 F' U L F'
L F' U2 F' U F' L
U' F' D' B2 L' U' B2
F' D' L2 B2 L' U' F
D2 F' D2 L U' F L
L F' D U' L D' F2
L F' D U2 R2 U L
L2 F' D' B' L U' L'
L' F' D2 U B' U2 L
D' F' B L B U' F
L F' D' L2 U' L' D
L F' D' L2 U' L' D'
L F' D' L2 U' L' D2
L F' D' L2 U' D L'
L F' D' L2 U' D' L'
L F' D' L2 U' D2 L'
L F' D' L2 D U' L'
L F' D' L2 D' U' L'
L F' D' L2 D2 U' L'
L F' D' L2 B U' L'
L F' D' L2 B' U' L'
L F' D' L2 B2 U' L'
U' F' B' L' U' L' B
U' F' B' L' U' B L'
L2 F' B L' U' F L
L F' D2 U B2 R' U2
L F' D2 U' L D2 F2
U' F' B2 L' U' L' B2
U' F' B2 L' U' B2 L'
D' F' B2 L U' D F
D' F' B2 L U' D' F
D' F' B2 L U' D2 F
D' F' B2 L U' F D
D' F' B2 L U' F D'
D' F' B2 L U' F D2
D' F' B2 L D U' F
D' F' B2 L D' U' F
D' F' B2 L D2 U' F
L2 F' B' L' U' F L
D' F' B2 L' U B' U2
U F' B L U' L B'
D' F' B2 U2 R' U F'
D' F' B2 D L U' F
D' F' B2 D' L U' F
D' F' B2 D2 L U' F
L2 F' B2 L' U' F L
L F' B2 U R' U2 F2
L2 F2 L' U' F L R
L2 F2 L' U' F R L
F2 D' F L B2 U' F
B' D' F' L B2 U' F
B2 D' F' L B2 U' F
F2 D' F B2 L U' F
B' D' F' B2 L U' F
B2 D' F' B2 L U' F
B D' F' L B2 U' F
F' D' B L B U' F
B D' F' B2 L U' F
U' F2 U F L' U' L'
B' D' B2 L F' U' F2
F' D' B2 L U' D F
F' D' B2 L U' D' F
F' D' B2 L U' D2 F
F' D' B2 L U' F D
F' D' B2 L U' F D'
F' D' B2 L U' F D2
F' D' B2 L D U' F
F' D' B2 L D' U' F
F' D' B2 L D2 U' F
F' D' B2 L' U B' U2
B2 D' B2 L F' U' F2
F' D' B2 U2 R' U F'
B' D' B2 F' L U' F
F' D' B2 D L U' F
F' D' B2 D' L U' F
F' D' B2 D2 L U' F
B2 D' B2 F' L U' F
F2 D' B2 F L U' F
F' D2 L U R2 U2 F
B D' B2 L F' U' F2
F' D2 L U' D2 F L2
F' D2 L U' F D2 L2
F' D2 L D B2 U' F
F' D2 L D2 U' F L2
B D' B2 F' L U' F
F' D2 L' U R2 B' U2
F' D2 L' U B' R2 U2
F' D2 L' U' D2 L2 F
L F2 U' L D F' R
F' D2 L' D2 U' L2 F
L F2 U' F' L D R2
L F2 U' F' D L R2
L F2 U' F' D R2 L
L2 F2 D F L' U' L
L F2 D F U' L F2
L F2 D F U' F2 L
L F2 D' F U' L F2
L F2 D' F U' F2 L
L F2 D2 F U' L F2
L F2 D2 F U' F2 L
D' B L F' B U' F2
D' B L B F' U' F2
L2 B L' F' U' L F2
L2 B L' F' U' F2 L
F' B L U' D F L
F' B L U' D' F L
F' B L U' D2 F L
F' B L U' F L D
F' B L U' F L D'
F' B L U' F L D2
F' B L U' F D L
F' B L U' F D' L
F' B L U' F D2 L
F' B L U' F' L F2
F' B L U' F2 L F'
B' F L F2 U' L F'
B' F L F2 U' F' L
F' B L D U' F L
F' B L D' U' F L
F' B L D2 U' F L
B2 F L F2 U' L F'
B2 F L F2 U' F' L
F' B L' U B' U2 L'
F' B L' U' L2 F L
U B U' L F' U' L
L' B D L2 F' U' L
B F L F2 U' L F'
B F L F2 U' F' L
U B U' F' L U' L
F B L F2 U' L F'
F B L F2 U' F' L
D' B F' L B U' F
L2 B F' L' U' F L
L B D2 F' U' F2 L'
U B F' L U' L B'
F' B U2 R' U L2 F'
F' B U2 R' U F' L2
L2 B' L' F' U' L F2
L2 B' L' F' U' F2 L
F' B D' L B2 U' F
F' B D' B2 L U' F
B' F' L U' D F L
B' F' L U' D' F L
B' F' L U' D2 F L
B' F' L U' F L D
B' F' L U' F L D'
B' F' L U' F L D2
B' F' L U' F D L
B' F' L U' F D' L
B' F' L U' F D2 L
B' F' L U' F' L F2
B' F' L U' F2 L F'
B' F' L D U' F L
B' F' L D' U' F L
B' F' L D2 U' F L
F' B' L U' D F L
F' B' L U' D' F L
F' B' L U' D2 F L
F' B' L U' F L D
F' B' L U' F L D'
F' B' L U' F L D2
F' B' L U' F D L
F' B' L U' F D' L
F' B' L U' F D2 L
F' B' L U' F' L F2
F' B' L U' F2 L F'
F' B' L D U' F L
B2 F' L U' D F L
B2 F' L U' D' F L
B2 F' L U' D2 F L
B2 F' L U' F L D
B2 F' L U' F L D'
B2 F' L U' F L D2
F' B' L D' U' F L
B2 F' L U' F D L
B2 F' L U' F D' L
B2 F' L U' F D2 L
B2 F' L U' F' L F2
B2 F' L U' F2 L F'
F' B' L D2 U' F L
