U' R2 B U' F'
B U' R2 B U'
U' L R2 B U' F'
U' L' R2 B U' F'
U' L2 R2 B U' F'
R' U' R' B L U'
B R' U' R' B U'
R2 U' B U' F' B'
R2 U' B U' B' F'
U' R2 L B U' F'
U' R2 L' B U' F'
U' R2 L2 B U' F'
B R2 U' B U' B'
U' R2 D B U' F'
U' R2 D' B U' F'
U' R2 D2 B U' F'
U' R2 B L U' F'
U' R2 B L' U' F'
U' R2 B L2 U' F'
U' R2 B U' D F'
U' R2 B U' D' F'
U' R2 B U' D2 F'
U' R2 B U' F' D
U' R2 B U' F' D'
U' R2 B U' F' D2
U' R2 B D U' F'
U2 R2 B U' F' R2
U' R2 B D' U' F'
U' R2 B D2 U' F'
B U D F' U B2
B U D2 L2 F' U
B U D2 F' L2 U
B U F' U D B2
B U F' U2 R2 U'
B U F' D U B2
B U F' D2 L2 U
B U' R2 D B U'
B U' R2 D' B U'
B U' R2 D2 B U'
B U' R2 B U' D
B U' R2 B U' D'
B U' R2 B U' D'
B U' R2 B U' D2
B U' R2 B D U'
B U' R2 B D' U'
B U' R2 B D2 U'
B U' B R2 B U'
B U' B' R2 B U'
B U' B2 R2 B U'
F' U2 R2 U' F' R2
F D R2 U2 F' B2
F D R2 U2 B2 F'
B D U F' U B2
F D B R2 F' U2
U F' U2 R2 U' F'
B D' F2 U F U
F D' F2 B U2 L2
F D' B F2 U2 L2
D' F2 B U F U
B D2 U L2 F' U
B D2 U F' L2 U
D2 B U L2 F' U
D2 B U F' L2 U
D B U F' U B
D' B F2 U F U
B F D R2 U2 B2
F B D R2 U2 B2
B F D' F2 U2 L2
F B D' F2 U2 L2
U' R2 B L' D2 U' F'
U' R2 B L2 U' D F'
U' R2 B L2 U' D' F'
U' R2 B L2 U' D2 F'
U' R2 B L2 U' F' D
U' R2 B L2 U' F' D'
U' R2 B L2 U' F' D2
U' R2 B L2 D U' F'
U' R2 B L2 D' U' F'
U' R2 B L2 D2 U' F'
U2 R2 F2 B U' R2 F
U2 R2 F2 B U' F R2
B R2 F2 U' B U' B'
U2 R2 B L U' F' R2
U' R2 B U B U2 F'
U' R2 B U B' U2 F'
U' R2 B U B2 U2 F'
U' R2 B U' L' F' L
U' R2 B U' L2 F' L2
U' R2 B U' D F' D
U' R2 B U' D F' D'
U' R2 B U' D F' D2
U2 R2 B L' U' F' R2
U' R2 B U' D' F' D
U' R2 B U' D' F' D'
U' R2 B U' D' F' D2
U' R2 B U' D2 F' D
U' R2 B U' D2 F' D'
U' R2 B U' D2 F' D2
U' R2 B U' F2 D F
U' R2 B U' F2 D' F
U' R2 B U' F2 D2 F
U2 R2 B L2 U' F' R2
U' R2 B D L U' F'
U' R2 B D L' U' F'
U' R2 B D L2 U' F'
U' R2 B D U' F' D
U' R2 B D U' F' D'
U' R2 B D U' F' D2
U' R2 B D' L U' F'
U' R2 B D' L' U' F'
U' R2 B D' L2 U' F'
U' R2 B D' U' F' D
U' R2 B D' U' F' D'
U' R2 B D' U' F' D2
U' R2 B D2 L U' F'
U' R2 B D2 L' U' F'
U' R2 B D2 L2 U' F'
U' R2 B D2 U' F' D
U' R2 B D2 U' F' D'
U' R2 B D2 U' F' D2
U2 R2 B U' F R2 F2
U2 R2 B U' F' R2 D
U2 R2 B U' F' R2 D'
U2 R2 B U' F' R2 D2
U2 R2 B U' F2 R2 F
U' R2 B' L B2 U' F'
U' R2 B' L' B2 U' F'
U2 R2 B D' F2 U' F
U' R2 B' L2 B2 U' F'
U2 R2 B F U' R2 F2
U2 R2 B F U' F2 R2
U R2 B L2 F U' F2
U2 R2 B F2 U' R2 F
U2 R2 B F2 U' F R2
U' R2 B' U' D L2 F'
U' R2 B' U' D F' L2
U' R2 B' U' F' D L2
U' R2 B' D U' L2 F'
U' R2 B' D U' F' L2
B2 R2 B' U' B2 U' B2
U R2 B U2 B' U F'
U' R2 B2 L U' F' L'
B' R2 B2 U' B' U' B
U' R2 B2 D B' U' F'
U' R2 B2 D' B' U' F'
U' R2 B2 D2 B' U' F'
R2 D U' B U' F' B'
R2 D U' B U' B' F'
B U L U2 R2 B U'
B U L D F' U B2
B U L D2 L2 F' U
B U L D2 F' L2 U
B U L F' U D B2
B U L F' U2 R2 U'
B U L F' D U B2
B U L F' D2 L2 U
B U L' U2 R2 B U'
B U L' D F' U B2
B U L' D2 L2 F' U
B U L' D2 F' L2 U
B U L' F' U D B2
B U L' F' U2 R2 U'
B U L' F' D U B2
B U L' F' D2 L2 U
D2 U L2 F' R2 U F'
D2 U L2 F' U' B U2
B U L2 U2 R2 B U'
B U L2 D F' U B2
B U L2 D2 L2 F' U
B U L2 D2 F' L2 U
B U L2 F' U D B2
B U L2 F' U2 R2 U'
B U L2 F' D U B2
B U L2 F' D2 L2 U
U' D R2 B U' F' B
U' D R2 B U' B F'
B U D L F' U B2
B U D L' F' U B2
B U D L2 F' U B2
D2 U F' L2 R2 U F'
D2 U F' L2 U' B U2
D' U F' R2 U F' B
D' U F' R2 U B F'
D2 U F' R2 L2 U F'
B' U D' F' R2 U B
B U D F' L U B2
B U D F' L' U B2
B U D F' L2 U B2
B U D F' U B2 D
B U D F' U B2 D'
B U D F' U B2 D2
B U D F' D L2 U
D' U F' U' F' B U2
D' U F' U' B F' U2
U2 D F B2 D' L2 F
B' U D2 L2 F' U F'
B2 U D2 L2 F' U F2
B' U D2 F' L2 U F'
B U D' F' U' F' U2
D U F' R2 U F' B2
D U F' R2 U B2 F'
B2 U D2 F' L2 U F
D U F' U' B U2 B
B U D2 L F' L U
U D F' R2 U F' B2
U D F' R2 U B2 F'
B U D2 L2 D F' U
B U D2 L2 D' F' U
B U D2 L2 D2 F' U
B U D2 L2 F' U D
B U D2 L2 F' U D'
B U D2 L2 F' U D2
B U D2 L2 F' D U
B U D2 L2 F' D' U
B U D2 L2 F' D2 U
U D F' U' B U2 B
B U D2 F L2 F2 U
B U D2 F' L2 U D
B U D2 F' L2 U D'
B U D2 F' L2 U D2
B U D2 F' L2 D U
B U D2 F' L2 D' U
B U D2 F' L2 D2 U
B U D2 F' U D' B2
B U D2 F' D' U B2
F2 U F U2 R2 U' F'
B' U F' D2 L2 U F2
B U F' L U D B2
B U F' L U2 R2 U'
B U F' L D U B2
B U F' L D2 L2 U
B2 U F' D2 L2 U F
B U F' L' U D B2
B U F' L' U2 R2 U'
B U F' L' D U B2
B U F' L' D2 L2 U
B U F' L2 U D B2
B U F' L2 U2 R2 U'
B U F' L2 D U B2
B U F' L2 D2 L2 U
B U F' U D B2 D
B U F' U D B2 D'
B U F' U D B2 D2
B U F' U B D B2
B U F' U B' D B2
B U F' U B2 D B2
B U F' U' D' F2 U2
B U F' U2 R2 U' D
B U F' U2 R2 U' D'
B U F' U2 R2 U' D2
B U F' U2 R2 D U'
B U F' U2 R2 D' U'
B U F' U2 R2 D2 U'
B U F' D L U B2
B U F' D L' U B2
B U F' D L2 U B2
B U F' D U B2 D
B U F' D U B2 D'
B U F' D U B2 D2
B U F' D' U' F2 U2
B U F' D2 L2 U D
B U F' D2 L2 U D'
B U F' D2 L2 U D2
B U F' D2 L2 D U
B U F' D2 L2 D' U
B U F' D2 L2 D2 U
U2 D B2 L2 F D' L2
B U F2 D F U B2
B U F2 D2 F L2 U
F U F2 U2 R2 U' F'
U2 D B2 F D' L2 F
R2 D' U' B U' F' B'
R2 D' U' B U' B' F'
B U' L R2 B L' U'
F2 U' L' R2 U' F' L'
B2 U' L2 R2 B U' F
F2 U' L2 R2 B' U' F'
B U' L2 R2 B L2 U'
D U' R2 B U' F' B
D U' R2 B U' B F'
B U' R D R B U'
B U' R D' R B U'
B U' R D2 R B U'
B U' R B R B U'
B U' R B' R B U'
B U' R B2 R B U'
F' U' R2 U R2 B U2
F' U' R2 U' D2 L2 F'
F' U' R2 U' D2 F' L2
F' U' R2 U' F' D2 L2
B' U' R2 D L2 B U'
B2 U' R2 L2 B U' F
B' U' R2 D B L2 U'
F2 U' R2 L' U' F' L'
F' U' R2 D B2 U' F'
F2 U' R2 L2 B' U' F'
B' U' R2 D2 B U' F2
F' U' R2 D2 U' L2 F'
F' U' R2 D2 U' F' L2
F2 U' R2 U' F' D' L2
F2 U' R2 U2 F U F2
B' U' R2 B U B U2
B2 U' R2 B U B2 U2
B2 U' R2 B U' D2 F2
B2 U' R2 B D L2 U'
B2 U' R2 B D2 U' F2
B U' R2 L B L' U'
U D' F' R2 U F' B
U D' F' R2 U B F'
B U' R2 L2 B L2 U'
U D' F' U' F' B U2
U D' F' U' B F' U2
B U' R2 D B U' D
B U' R2 D B U' D'
B U' R2 D B U' D2
B U' R2 D B D U'
B U' R2 D B D' U'
B U' R2 D B D2 U'
B U' R2 D' B U' D
B U' R2 D' B U' D'
B U' R2 D' B U' D2
B U' R2 D' B D U'
B U' R2 D' B D' U'
B U' R2 D' B D2 U'
B U' R2 D2 B U' D
B U' R2 D2 B U' D'
B U' R2 D2 B U' D2
B U' R2 D2 B D U'
B U' R2 D2 B D' U'
B U' R2 D2 B D2 U'
F U' R2 U' D' L2 F'
F U' R2 U' D' F' L2
F U' R2 U2 F2 U F
F U' R2 D' U' L2 F'
F U' R2 D' U' F' L2
B U' R2 B' U' D L2
B U' R2 B' D U' L2
F U' R2 D2 B2 U' F'
B U' R2 B2 D B' U'
B U' R2 B2 D' B' U'
B U' R2 B2 D2 B' U'
B U' D R2 B U' B
L2 D2 L2 F' U R2 F'
B' U' B R2 B U' F'
F' U' B U' R2 U' R2
B U' B R2 D B U'
B U' B R2 D' B U'
B U' B R2 D2 B U'
B U' B R2 B U' D
B U' B R2 B U' D'
B U' B R2 B U' D2
B U' B R2 B D U'
B U' B R2 B D' U'
B U' B R2 B D2 U'
U D2 L2 F' R2 U F'
U D2 L2 F' U' B U2
B U' B' R2 D B U'
B U' B' R2 D' B U'
B U' B' R2 D2 B U'
B U' B' R2 B U' D
B U' B' R2 B U' D'
B U' B' R2 B U' D2
B U' B' R2 B D U'
B U' B' R2 B D' U'
B U' B' R2 B D2 U'
B2 U' B2 R2 B U' F'
F' U2 L R2 U' F' R2
B U' B2 R2 D B U'
B U' B2 R2 D' B U'
B U' B2 R2 D2 B U'
B U' B2 R2 B U' D
B U' B2 R2 B U' D'
B U' B2 R2 B U' D2
B U' B2 R2 B D U'
B U' B2 R2 B D' U'
B U' B2 R2 B D2 U'
R2 D2 U' B U' F' B'
R2 D2 U' B U' B' F'
F' U2 L' R2 U' F' R2
B U2 L U R2 B U'
D2 U2 F D' B2 L2 F
F' U2 L2 R2 U' F' R2
U2 D2 F D' B2 L2 F
B U2 L' U R2 B U'
L2 D2 F' L2 U R2 F'
D U2 F B2 D' L2 F
B U2 L2 U R2 B U'
U D2 F' L2 R2 U F'
U D2 F' L2 U' B U2
U D2 F' R2 L2 U F'
F' U2 R2 L U' F' R2
F' U2 R2 L' U' F' R2
F' U2 R2 L2 U' F' R2
F' U2 R2 U' F R2 F2
F' U2 R2 U' F' R2 D
F' U2 R2 U' F' R2 D'
F' U2 R2 U' F' R2 D2
F' U2 R2 U' F2 R2 F
F' U2 R2 D' F2 U' F
F' U2 R2 F U' R2 F2
F' U2 R2 F U' F2 R2
B' U2 R2 B U' R2 F'
F' U2 R2 F2 U' R2 F
F' U2 R2 F2 U' F R2
F' U2 D B2 D L2 F
D U2 B2 L2 F D' L2
B U2 D B2 U' F' U
D U2 B2 F D' L2 F
F U2 D B2 D2 L2 F
R2 F L B U' F2 R
F' U2 F R2 U' F' R2
F' U2 F' R2 U' F' R2
F' U2 F2 R2 U' F' R2
B U2 B U R2 B U'
B U2 B' U R2 B U'
R' F U' R' B L U'
F' U2 B2 D L2 F B2
F' U2 B2 D L2 B2 F
B U2 B2 U R2 B U'
D2 F U2 D' B2 L2 F
R2 F U' B U' F2 B'
R2 F U' B U' B' F2
D' F D R2 F U2 F2
D2 F D R2 F2 U2 F
D' F D F R2 U2 F'
D' F D F B R2 U2
D2 F D F2 R2 U2 F'
D' F D B R2 F U2
D2 F D F2 B R2 U2
D' F D B F R2 U2
D2 F D B R2 F2 U2
D2 F D B F2 R2 U2
D F U2 B2 D' L2 F
D2 F D' U2 B2 L2 F
D' F D' F B U2 L2
U2 F D B2 D2 L2 F
D' F D' B U2 L2 B'
D' F D' B F U2 L2
D2 F D' B U2 L2 B
D2 F D' B U2 B L2
D2 F B U L2 F2 U
D2 F B U F2 L2 U
D' F B U2 D' L2 B'
D2 F B U2 D' L2 B2
D2 F B U2 D' B2 L2
D' F B D R2 F U2
D' F B D F R2 U2
D2 F B D R2 F2 U2
D2 F B D F2 R2 U2
D' F B D' U2 L2 B'
D' F B D' F U2 L2
D2 F B D' U2 L2 B2
D2 F B D' U2 B2 L2
R2 F B L U' F2 R
F D R' U2 B2 L F
R2 F B U' F2 D R2
D F B U F2 U B
D F B U2 D' L2 B
D F B U2 D' B L2
D F B U2 B D' L2
D F B D R2 F' U2
D F B D' U2 L2 B
D F B D' U2 B L2
B D R2 U' B U' B
F D R2 U2 F' B2 D
F D R2 U2 F' B2 D'
F D R2 U2 F' B2 D2
F D R2 U2 B2 D F'
F D R2 U2 B2 D' F'
F D R2 U2 B2 D2 F'
F D R2 U2 B2 F' D
F D R2 U2 B2 F' D'
F D R2 U2 B2 F' D2
F D R2 D2 F2 U2 F
F D R2 F U2 F2 B2
F D R2 F U2 B2 F2
B D U L F' U B2
B D U L' F' U B2
F D R2 F2 U2 F B2
F D R2 F2 U2 B2 F
B D U L2 F' U B2
F D R2 B U2 F' B
F D R2 B U2 B F'
F D R2 B' U2 F' B'
F D R2 B' U2 B' F'
B D U F' L U B2
B D U F' L' U B2
B D U F' L2 U B2
B D U F' U B2 D
B D U F' U B2 D'
B D U F' U B2 D2
B D U F' D L2 U
B D U' R2 B U' B
F' D U2 B2 D L2 F
U F' L U2 R2 U' F'
D2 F' L2 U D2 R2 F'
D2 F' L2 U' L2 B U2
D2 F' L2 U' B L2 U2
D2 F' L2 D2 U R2 F'
B D U2 B2 U' F' U
U F' L' U2 R2 U' F'
F D U2 B2 D2 L2 F
B D F U F2 U B2
B D F U2 B2 D' L2
F D F R2 U2 F' B2
F D F R2 U2 B2 F'
F D F B R2 F' U2
U F' L2 U2 R2 U' F'
B D F' U2 B2 D L2
F D F' R2 U2 F' B2
F D F' R2 U2 B2 F'
F D F' B R2 F' U2
U F' R U2 R U' F'
B D F2 U F U B2
F2 D B U F U B
F D F2 R2 U2 F' B2
F D F2 R2 U2 B2 F'
F D F2 B R2 F' U2
B2 D B' U F' U B'
F D B R2 D F' U2
F D B R2 D' F' U2
F D B R2 D2 F' U2
F D B R2 F' U2 D
F D B R2 F' U2 D'
F D B R2 F' U2 D2
F D B R2 F' D U2
F D B R2 F' D' U2
F D B R2 F' D2 U2
F D B U2 D2 L2 B
F D B U2 D2 B L2
F D B U2 B D2 L2
F D B D2 U2 L2 B
F D B D2 U2 B L2
F D B F R2 F' U2
F D B F' R2 F' U2
R' F' U' R' B L U'
F D B F2 R2 F' U2
F D B' R2 B2 U2 B
U' F' U2 R2 F U' F2
U' F' U2 F R2 U' F'
F D B2 R2 B' U2 B
U F' U' D B U2 B
U F' U' D' F2 B U2
U F' U' D' B F2 U2
U F' U' B U' R2 U'
U F' U' B U2 D B2
U F' U' B D U2 B2
U F' U' B D' F2 U2
U F' U2 L R2 U' F'
U F' U2 L' R2 U' F'
U F' U2 L2 R2 U' F'
U F' U2 R2 L U' F'
U F' U2 R2 L' U' F'
U F' U2 R2 L2 U' F'
U F' U2 R2 U' D F'
U F' U2 R2 U' D' F'
U F' U2 R2 U' D2 F'
U F' U2 R2 U' F' D
U F' U2 R2 U' F' D'
U F' U2 R2 U' F' D2
U F' U2 R2 D U' F'
U F' U2 R2 D' U' F'
U F' U2 R2 D2 U' F'
L F' U2 R2 U' F' R
D F' U2 B2 D L2 F
U F' D R2 U F' B2
U F' D R2 U B2 F'
U F' D U' B U2 B
F D' L2 D2 R2 F' B2
F D' L2 D2 R2 B2 F'
L2 F' D2 L2 U R2 F'
D2 F' B U L2 U L2
U F' D' U' F2 B U2
U F' D' U' B F2 U2
U F' D2 L2 R2 U F'
U F' D2 L2 U' B U2
U F' D2 R2 L2 U F'
B' D' U F' R2 U B
B D' R2 F2 U' B U'
F D' R2 F2 U2 F L2
B D' U F' U' F' U2
B D' F U2 D' L2 B'
B D' F D R2 F U2
B D' F D F R2 U2
B D' F D' U2 L2 B'
B D' F D' F U2 L2
B' D' F2 U R2 F U
B' D' F2 U F R2 U
D' F2 R' U F R U
F D' F B U2 L2 B'
F' D' F2 D R2 U2 F'
F' D' F2 D B R2 U2
F' D' F2 D' B U2 L2
F' D' F2 B U F2 U
F' D' F2 B U2 D' L2
F' D' F2 B D R2 U2
F' D' F2 B D' U2 L2
B2 D' F2 B' U F U
F2 D' F2 B U F' U
B D' F2 R U F U
B D' F2 R' U F U
D' F2 R2 U F U F2
B D' F2 R2 U F U
B D' F2 U D F U
D' F2 R2 U2 F' D' L2
B D' F2 U D' F U
