L2 U' R U' F'
B' L2 U' R U' F'
B2 L2 U' R U' F'
B L2 U' R U' F'
U' R U L2 U2 F'
U' R U' D2 F' R2
U' R U' F' D2 R2
U' R D F2 U' F
L2 U' L R U' F'
U' R D2 U' F' R2
L2 U' L' R U' F'
L2 U' L2 R U' F'
L2 U' R L U' F'
L2 U' R L' U' F'
L2 U' R L2 U' F'
L2 U' R U' D F'
L2 U' R U' D' F'
L2 U' R U' D2 F'
L2 U' R U' F' D
L2 U' R U' F' D'
L2 U' R U' F' D2
L2 U' R D U' F'
L2 U' R D' U' F'
L2 U' R D2 U' F'
L2 B U' R U' F'
L2 B' U' R U' F'
L2 B2 U' R U' F'
R U' B2 F' L B2 R'
U2 R' D2 R2 D' F' B2
U2 R' D2 R2 D' B2 F'
U2 R' D2 R2 F' D' B2
U R' D2 L2 U R2 F'
R U2 D' B2 U L F'
R U2 D' B2 U F' L
L2 U2 B U R U' F'
U' R2 D R' F2 U' F
L2 U2 B' U R U' F'
U' R2 D F2 R' U' F'
L2 U2 B2 U R U' F'
U' R2 D2 R' U' F' R'
R2 D R' F2 B2 U' F
R2 D R' B2 F2 U' F
F2 U L' U F2 R F'
R2 D F2 R' B2 U' F'
R D F2 U R' U2 F
R D F2 B2 U' F L
L2 D B' U' L R U'
L2 D B' U' R L U'
F2 U D2 L' U R2 F
F2 U D2 L' U F R2
R D B2 F2 U' F L
D2 U' L' R U' R F
D2 U' R L' U' R F
D2 U' R U' D2 R F'
D2 U' R D2 U' R F'
R D' U2 B2 U L F'
R D' U2 B2 U F' L
B' U' R U L2 U2 F'
B' U' R U' D2 F' R2
B' U' R U' F' D2 R2
B2 U' R U L2 U2 F'
B' U' R D F2 U' F
B2 U' R U' D2 F' R2
B2 U' R U' F' D2 R2
B' U' R D2 U' F' R2
B2 U' R D F2 U' F
B2 U' R D2 U' F' R2
B U' R U L2 U2 F'
B U' R U' D2 F' R2
B U' R U' F' D2 R2
B U' R D F2 U' F
B U' R D2 U' F' R2
L' D2 L' U' R U' F
L D2 L B' U' R U'
U' D2 L' R U' R F
R2 D2 R' U' L2 F' R'
R2 D2 R' U' F' L2 R'
R2 D2 R' U' F' R' L2
U' D2 R L' U' R F
R' D2 R2 D' F' B2 L
R' D2 R2 D' B2 L F'
R' D2 R2 D' B2 F' L
R' D2 R2 F' D' B2 L
U' D2 R U' D2 R F'
U' D2 R D2 U' R F'
L2 D2 U' L' R U' F
L2 D2 U' R L' U' F
R D2 U' F R2 F2 L'
R D2 F U' R2 F2 L'
L2 D2 F2 U L' U F
R D2 B2 U' L F' R2
R D2 B2 U' F' L R2
R D2 B2 U' F' R2 L
R F U L2 R' U2 F2
R F U R' L2 U2 F2
L2 F' U' R U' F' B
L2 F' U' R U' B F'
U F2 L' F2 U R F'
D2 F2 U L' U R2 F
D2 F2 U L' U F R2
L' F2 U L' U R F'
L2 F2 U L' R U F'
L2 F2 U R L' U F'
L2 F2 U D2 L' U F
R F2 U L2 R' B' U2
R F2 U R' L2 B' U2
L2 F2 D2 U L' U F
F2 D2 U L' U R2 F
F2 D2 U L' U F R2
L' B L' U' R U' F'
R' B L2 R U' R U'
R' B L2 D R U2 B2
R' B L2 D' R F2 U2
R' B L2 D' F2 U2 L'
R' B R L2 U' R U'
L2 B U' L R U' F'
L2 B U' L' R U' F'
L2 B U' L2 R U' F'
L2 B U' R L U' F'
L2 B U' R L' U' F'
L2 B U' R L2 U' F'
L2 B U' R U' D F'
L2 B U' R U' D' F'
L2 B U' R U' D2 F'
L2 B U' R U' F' D
L2 B U' R U' F' D'
L2 B U' R U' F' D2
L2 B U' R D U' F'
L2 B U' R D' U' F'
L2 B U' R D2 U' F'
L' B' L' U' R U' F'
L2 B' U' L R U' F'
L2 B' U' L' R U' F'
L2 B' U' L2 R U' F'
L2 B' U' R L U' F'
L2 B' U' R L' U' F'
L2 B' U' R L2 U' F'
L2 B' U' R U' D F'
L2 B' U' R U' D' F'
L2 B' U' R U' D2 F'
L2 B' U' R U' F' D
L2 B' U' R U' F' D'
L2 B' U' R U' F' D2
L2 B' U' R D U' F'
L2 B' U' R D' U' F'
L2 B' U' R D2 U' F'
D B' U' L R F2 U'
D B' U' R L F2 U'
D B' U' R F2 L U'
L' B2 L' U' R U' F'
L2 B2 U' L R U' F'
L2 B2 U' L' R U' F'
L2 B2 U' L2 R U' F'
L2 B2 U' R L U' F'
L2 B2 U' R L' U' F'
L2 B2 U' R L2 U' F'
L2 B2 U' R U' D F'
L2 B2 U' R U' D' F'
L2 B2 U' R U' D2 F'
L2 B2 U' R U' F' D
L2 B2 U' R U' F' D'
L2 B2 U' R U' F' D2
L2 B2 U' R D U' F'
L2 B2 U' R D' U' F'
L2 B2 U' R D2 U' F'
R B2 U L2 U2 L' F'
L B2 U' R U' F' R2
R B2 U' D2 L F' R2
R B2 U' D2 F' L R2
R B2 U' D2 F' R2 L
R B2 U' F' D2 L R2
R B2 U' F' D2 R2 L
R B2 D F2 U' F L
R B2 D2 U' L F' R2
R B2 D2 U' F' L R2
R B2 D2 U' F' R2 L
