R' L F' U' L' R2
R' L F' U' R2 L'
L R' F' U' L' R2
L R' F' U' R2 L'
R' F' L U' L2 R2
R' F' L U' R2 L2
R F' L' D F2 B2
R F' L' D B2 F2
D' R' L F' U' L' R2
D' R' L F' U' R2 L'
F' R' L F U' L2 R
F' R' L F U' R L2
B2 R' L F' U L' R2
B2 R' L F' U R2 L'
U2 R' L B U' L R2
D R' L F' U' L' R2
U2 R' L B U' R2 L
D R' L F' U' R2 L'
U R' L U2 F U R2
U R' L' B' L2 U' R2
D2 R' F' L U' L2 R2
D2 R' F' L U' R2 L2
D' R' F' L U' L2 R2
D' R' F' L U' R2 L2
B2 R' F' L U L2 R2
B2 R' F' L U R2 L2
D R' F' L U' L2 R2
D R' F' L U' R2 L2
L U2 B U L R B
L U2 B U R L B
L D R' F' U' L' R2
L D R' F' U' R2 L'
F' U L R' F U' L2
B2 U L R' F U R2
F' U L F R' U' L2
R D F' L' B2 D F2
F' U R' L F U' L2
B2 U R' L F U R2
R D B2 U' R' F' U
L D' R' F' U' L' R2
L D' R' F' U' R2 L'
F' U' L R' F' U' L2
B2 U' L R' F' U R2
R' D' F' L F' U' L2
R' D' F2 D' L B' U'
F' U' R' L F' U' L2
B2 U' R' L F' U R2
B2 U' R' F' L U R2
L D2 R' F' U' L' R2
L D2 R' F' U' R2 L'
R' F L U R U2 R
R' F L D' F2 U' L'
R' F L F2 U' L' R2
R' F L F2 U' R2 L'
R F L' D F2 L' B2
R F L' D F2 B2 L'
R F L' D B2 F2 L'
R' F D' L F2 U' L'
R' F D' F2 L U' L2
R' F' L U' L2 R2 D
R' F' L U' L2 R2 D'
R' F' L U' L2 R2 D2
R' F' L U' R2 L2 D
R' F' L U' R2 L2 D'
R' F' L U' R2 L2 D2
R' F' L D' F2 B2 U'
R' F' L D' B2 F2 U'
R' F' L F U' L2 R2
R' F' L F U' R2 L2
R' F' L F' U' L2 R2
R' F' L F' U' R2 L2
R' F' L F2 U' L2 R2
R' F' L F2 U' R2 L2
R' F' L B U' L2 R2
R' F' L B U' R2 L2
R' F' L B' U' L2 R2
R' F' L B' U' R2 L2
R' F' L B2 U' L2 R2
R' F' L B2 U' R2 L2
R' F' L' R2 D F2 B2
R' F' L' R2 D B2 F2
R F' L R2 U' L2 R2
R F' L R2 U' R2 L2
R F' L' U L2 R2 U'
R F' L' U R2 L2 U'
R F' L' D F2 B2 D
R F' L' D F2 B2 D'
R F' L' D F2 B2 D2
R F' L' D B2 F2 D
R F' L' D B2 F2 D'
R F' L' D B2 F2 D2
R F' L' F D F2 B2
R F' L' F D B2 F2
R F' L' F' D F2 B2
R F' L' F' D B2 F2
R F' L' F2 D F2 B2
R F' L' F2 D B2 F2
R F' L' B D F2 B2
R F' L' B D B2 F2
R F' L' B' D F2 B2
R F' L' B' D B2 F2
R F' L' B2 D F2 B2
R F' L' B2 D B2 F2
R' F' R2 L' D F2 B2
R' F' R2 L' D B2 F2
R' F' U' L' R2 D F2
R F' R2 L U' L2 R2
R F' R2 L U' R2 L2
R' F' U' R2 L' D F2
R F' U L R2 U' L2
R F' U R2 L U' L2
R' F' D' L F2 U' L2
R F' D L' B2 D F2
R F' B D L' F B2
R F' B D L' B2 F
R F' B D B2 L' F
R' F2 L F U' L' R2
R' F2 L F U' R2 L'
R' F2 D' L F2 B' U'
R' F2 D' L B' F2 U'
R' F2 D' F2 L B' U'
R B D F' L' F B2
R B D F' L' B2 F
R B D F' B2 L' F
R B D B2 F' L' F
R B F' D L' F B2
R B F' D L' B2 F
R B F' D B2 L' F
U' B2 L R' F' U R2
U B2 L R' F U R2
U' B2 R' L F' U R2
U' B2 R' F' L U R2
U B2 R' L F U R2
