F2 R2 U R F B
F2 R2 U R B F
F2 U R F B R2
F2 U R B R2 F
F2 U R B F R2
F2 U R' F D2 B2
F2 U F R B R2
L2 F2 U R F B R2
L2 F2 U R B R2 F
L2 F2 U R B F R2
L2 F2 U R' F D2 B2
B2 D' B2 L2 F' R' B
L F2 R2 U R F B
L F2 R2 U R B F
U2 F2 U D R' F B
U2 F2 U D R' B F
U2 F2 U D F R' B
L2 F2 U F R B R2
B2 D' B2 F' L2 R' B
B2 D' B2 F' R' L2 B
B2 D' B2 F' R' B L2
L F2 U R F B R2
L F2 U R B R2 F
L F2 U R B F R2
L F2 U R' F D2 B2
R2 F2 U' L' B U2 B2
U F2 U F R' D B2
L F2 U F R B R2
R2 F2 U' B L' U2 B'
U2 F2 D U R' F B
U2 F2 D U R' B F
U2 F2 D U F R' B
F2 D2 R2 U R F B
F2 D2 R2 U R B F
F2 D2 U R F B R2
F2 D2 U R B R2 F
F2 D2 U R B F R2
F2 D2 U R' F D2 B2
F2 D2 U F R B R2
B' D2 F' R D L2 B2
B' D2 F' R D B2 L2
