B' R F' B R2 U
B2 R F' B R' U
B' R B F' R2 U
B2 R B F' R' U
B' R' U2 F' B U'
B' R' U2 B F' U'
R' U2 F' L' B U'
R' U2 F' B L' U'
R' U2 B F' L' U'
R F' B U2 L U'
R F' B' R' B2 U
R B F' U2 L U'
R2 B' R' F' B U
R2 B' R' B F' U
R B' F' R' B2 U
R' U2 D' B F' L' U'
R' U2 D2 F' L' B U'
R' U2 D2 F' B L' U'
R' U2 D2 B F' L' U'
R' U2 F' L B L2 U'
R' U2 F' L' D B U'
R' U2 F' L' D' B U'
R' U2 F' L' D2 B U'
R' U2 F' L' B U' D
R' U2 F' L' B U' D'
R' U2 F' L' B U' D2
R' U2 F' L' B D U'
R' U2 F' L' B D' U'
R' U2 F' L' B D2 U'
R' U2 F' D L' B U'
R' U2 F' D B L' U'
R' U2 F' D' L' B U'
R' U2 F' D' B L' U'
R' U2 F' D2 L' B U'
R' U2 F' D2 B L' U'
R' U2 F' B L' U' D
R' U2 F' B L' U' D'
R' U2 F' B L' U' D2
R' U2 F' B L' D U'
R' U2 F' B L' D' U'
R' U2 F' B L' D2 U'
R' U2 F' B D L' U'
R' U2 F' B D' L' U'
R' U2 F' B D2 L' U'
R' U2 F' B' L' B2 U'
R' U2 B L F' L' U'
R' U2 B L' F' L' U'
R' U2 B L2 F' L' U'
R' U2 B D F' L' U'
R' U2 B D' F' L' U'
R' U2 B D2 F' L' U'
R' U2 B F' L' U' D
R' U2 B F' L' U' D'
R' U2 B F' L' U' D2
R' U2 B F' L' D U'
R' U2 B F' L' D' U'
R' U2 B F' L' D2 U'
R' U2 B F' D L' U'
R' U2 B F' D' L' U'
R' U2 B F' D2 L' U'
R' U2 B' F' L' B2 U'
B2 R2 B R' F' B U
B2 R2 B R' B F' U
F' R2 B' R' F' B U
F' R2 B' R' B F' U
F2 R2 B' R' F' B U
F2 R2 B' R' B F' U
F R2 B' R' F' B U
F R2 B' R' B F' U
B R2 B2 R' F' B U
B R2 B2 R' B F' U
R' D U2 F' L' B U'
R' D U2 F' B L' U'
R' D U2 B F' L' U'
U' D L' B' U2 L R'
U' D L' B' U2 R' L
R D F' B U2 L U'
R D F' B' R' B2 U
D' U R' F L' R F2
D' U R' F R L' F2
D' U R2 F L' R F'
D' U R2 F R L' F'
D' U F L' R' F' R2
D' U F R' L' F' R2
R D B F' U2 L U'
R D B' F' R' B2 U
B2 U D' F L' R F'
B2 U D' F R L' F'
D' U F2 R' F' L' R
D' U F2 R' F' R L'
U' D B L R' U2 F
U' D B R' L U2 F
U' D B' U2 L R' F'
U' D B' U2 R' L F'
U' D B' U2 R' F' L
D' U' L U2 F L' R
D' U' L U2 F R L'
U' D' L U2 F L' R
U' D' L U2 F R L'
R2 D' U R' F' L' R
R2 D' U R' F' R L'
R' D' U2 F' L' B U'
D U' L' B' U2 L R'
D U' L' B' U2 R' L
R' D' U2 F' B L' U'
R' D' U2 B F' L' U'
U D' R' F L' R F2
U D' R' F R L' F2
U D' R2 F L' R F'
U D' R2 F R L' F'
R D' F' B U2 L U'
R D' F' B' R' B2 U
U D' F L' R' F' R2
U D' F R' L' F' R2
R2 D' B' R' F' U R
D' U' B L U2 F L'
U' D' B L U2 F L'
R D' B F' U2 L U'
U D' F2 R' F' L' R
U D' F2 R' F' R L'
D U' B L R' U2 F
R D' B' F' R' B2 U
D U' B R' L U2 F
D U' B' U2 L R' F'
D U' B' U2 R' L F'
D U' B' U2 R' F' L
R' D2 U2 F' L' B U'
R' D2 U2 F' B L' U'
R' D2 U2 B F' L' U'
B U2 L D' F U' L'
R D2 F' B U2 L U'
R D2 F' B' R' B2 U
R D2 B F' U2 L U'
R D2 B' F' R' B2 U
B U2 D' L F U' L'
B U2 D2 L F B' U'
B U2 D2 L B' F U'
U2 F U2 R F' B U
U2 F U2 R B F' U
R' F B L F2 R U'
R2 F B' R' F' B U
R2 F B' R' B F' U
R F B' R' F2 B2 U
R F B' R' B2 F2 U
R F' R B' R' B U
R F' R2 U2 F' L' U'
R' F' B L U2 L' U
R F' D B U2 L U'
R F' D B' R' B2 U
R F' D' B U2 L U'
R F' D' B' R' B2 U
R F' D2 B U2 L U'
R F' D2 B' R' B2 U
R2 F' B' R' F' B U
R2 F' B' R' B F' U
B2 D' U F L' R F'
B2 D' U F R L' F'
R F' B R U2 L U'
R F' B R' U2 L U'
R F' B R2 U2 L U'
R F' B U2 L U' D
R F' B U2 L U' D'
R F' B U2 L U' D2
R F' B U2 L D U'
R F' B U2 L D' U'
R F' B U2 L D2 U'
R F' B U2 D L U'
R F' B U2 D' L U'
R F' B U2 D2 L U'
R F' B D U2 L U'
R F' B D' U2 L U'
R F' B D2 U2 L U'
R F' B' R B2 R2 U
R F' B' R' U D' R2
R F' B' R' D' U R2
R F' B' R' B2 U D
R F' B' R' B2 U D'
R F' B' R' B2 U D2
R F' B' R' B2 D U
R F' B' R' B2 D' U
R F' B' R' B2 D2 U
R F' B' R2 B2 R U
R F' B' D' R' U R'
B D' U2 L F U' L'
R2 F2 B' R' F' B U
R2 F2 B' R' B F' U
U' B L U2 D' F L'
U' B L D' U2 F L'
R' B L F2 R F U'
R F2 B' R' F B2 U
R F2 B' R' B2 F U
B D2 U2 L F B' U'
B D2 U2 L B' F U'
R B R2 U2 L B U'
D2 B U2 L F B' U'
D2 B U2 L B' F U'
D' B U2 L F U' L'
U' B D' L U2 F L'
R B U2 L U2 F' U
B' F R F' B R2 U
B' F R B F' R2 U
B2 F R F' B R' U
B' F R' U2 F' B U'
B' F R' U2 B F' U'
B2 F R B F' R' U
R' B F L F2 R U'
R B D F' U2 L U'
R' B F' L U2 L' U
R B D' F' U2 L U'
R B D2 F' U2 L U'
R B F' R U2 L U'
R B F' R' U2 L U'
R B F' R2 U2 L U'
R B F' U2 L U' D
R B F' U2 L U' D'
R B F' U2 L U' D2
R B F' U2 L D U'
R B F' U2 L D' U'
R B F' U2 L D2 U'
R B F' U2 D L U'
R B F' U2 D' L U'
R B F' U2 D2 L U'
R B F' D U2 L U'
R B F' D' U2 L U'
R B F' D2 U2 L U'
R2 B' R' D F' B U
R2 B' R' D B F' U
R2 B' R' D' F' B U
R2 B' R' D' B F' U
D B' R' U2 F' U' L
R2 B' R' D2 F' B U
R2 B' R' D2 B F' U
R2 B' R' F' D B U
R2 B' R' F' D' B U
R2 B' R' F' D2 B U
R2 B' R' F' B U D
R2 B' R' F' B U D'
R2 B' R' F' B U D2
R2 B' R' F' B D U
R2 B' R' F' B D' U
R2 B' R' F' B D2 U
R2 B' R' B D F' U
R2 B' R' B D' F' U
R2 B' R' B D2 F' U
R2 B' R' B F' U D
R2 B' R' B F' U D'
R2 B' R' B F' U D2
R2 B' R' B F' D U
R2 B' R' B F' D' U
R2 B' R' B F' D2 U
B' F' R F' B R2 U
R' B' U2 F' B2 L U'
B' F' R B F' R2 U
R' B' U2 B2 L F' U'
R' B' U2 B2 F' L U'
F' B' R F' B R2 U
F' B' R B F' R2 U
B2 F' R F' B R' U
B' F' R' U2 F' B U'
B' F' R' U2 B F' U'
F2 B' R F' B R2 U
B2 F' R B F' R' U
F2 B' R B F' R2 U
F' B' R' U2 F' B U'
F' B' R' U2 B F' U'
F2 B' R' U2 F' B U'
F2 B' R' U2 B F' U'
F B' R F' B R2 U
F B' R B F' R2 U
F B' R' U2 F' B U'
F B' R' U2 B F' U'
R2 B' D' R' F' U R
R B' D' F' R' U R'
R2 B' F R' F' B U
R2 B' F R' B F' U
R2 B' F' R' F' B U
R2 B' F' R' B F' U
R B' F R' F2 B2 U
R B' F R' B2 F2 U
R2 B' F2 R' F' B U
R2 B' F2 R' B F' U
R B' F' R B2 R2 U
R B' F' R' U D' R2
R B' F' R' D' U R2
R B' F' R' B2 U D
R B' F' R' B2 U D'
R B' F' R' B2 U D2
R B' F' R' B2 D U
R B' F' R' B2 D' U
R B' F' R' B2 D2 U
R B' F' R2 B2 R U
R B' F' D' R' U R'
R B' F2 R' F B2 U
R B' F2 R' B2 F U
D B2 R B R' U L
B' F2 R F' B R2 U
R2 B2 R' F' B R' U
B' F2 R B F' R2 U
R2 B2 R' B F' R' U
F' B2 R F' B R' U
B' F2 R' U2 F' B U'
F' B2 R B F' R' U
B' F2 R' U2 B F' U'
B2 F2 R F' B R' U
B2 F2 R B F' R' U
F2 B2 R F' B R' U
F2 B2 R B F' R' U
F B2 R F' B R' U
F B2 R B F' R' U
R' B2 U2 F' B' L U'
R' B2 U2 B' L F' U'
R' B2 U2 B' F' L U'
R B2 D2 F' R B' U
R B2 D2 F' B' R U
R B2 D2 B' F' R U
