U' L F' U F
U' L D F' U F
U' L D' F' U F
U' L D2 F' U F
U' L F' R U F
U' L F' R' U F
U' L F' R2 U F
U' L F' U D F
U' L F' U D' F
U' L F' U D2 F
U' L F' U F D
U' L F' U F D'
U' L F' U F D2
U' L F' D U F
U' L F' D' U F
U' L F' D2 U F
F L F2 R U R'
R U2 L F U R'
B2 R2 B R U' R
B R2 B R' U' R'
U' D L F' U F
U' D' L F' U F
D2 U' L F' U F
D' U' L F' U F
D U' L F' U F
F U' L F2 U F2
F2 U' F L U F'
U' D2 L F' U F
F U' F2 L U F2
F U2 L F2 U R
U' F L F2 U F
U2 F L F2 U R
U2 F' L U' L' U2
L F2 R F U R'
F D2 B2 R' U' R
R' B2 R' B U' R2
F U' L F2 U F2 D'
F U' L F2 U F2 D2
F U' L F2 D R2 U
F U' L' F2 L2 U F2
D' U' F L F2 U F
U' D' F L F2 U F
D2 U' F L F2 U F
F2 U' R F L U F'
U2 D' F L F2 U R
F U' R L F2 U F2
D U' F L F2 U F
L D' F2 R F U R'
R2 D' F2 B2 R' B' U'
F2 U' R' F L U F'
U2 D' F' L U' L' U2
F U' R F2 L U F2
F U' R' L F2 U F2
F2 U' R2 F L U F'
F U' R' F2 L U F2
F U' R2 L F2 U F2
L' D' B2 U' F' R' U
F2 U' D F L U F'
R2 D' B2 R' F2 B' U'
R2 D' B2 R' B' F2 U'
L' D2 L R2 B U' R2
F U' R2 F2 L U F2
F2 U' D' F L U F'
R2 D' B2 F2 R' B' U'
F2 U' D2 F L U F'
F2 U' F L U D F'
F2 U' F L U D' F'
F2 U' F L U D2 F'
F2 U' F L U F' D
F2 U' F L U F' D'
F2 U' F L U F' D2
F2 U' F L D U F'
F2 U' F L D' U F'
F2 U' F L D2 U F'
L2 D2 L' F' R2 U R2
F2 U' F D L U F'
F2 U' F D' L U F'
F2 U' F D2 L U F'
U' D2 L D F' U F
U' D2 L D' F' U F
U' D2 L D2 F' U F
U' D2 L F' R U F
U' D2 L F' R' U F
U' D2 L F' R2 U F
U' D2 L F' U D F
U' D2 L F' U D' F
U' D2 L F' U D2 F
U' D2 L F' U F D
U' D2 L F' U F D'
U' D2 L F' U F D2
U' D2 L F' D U F
U' D2 L F' D' U F
U' D2 L F' D2 U F
B2 U' F' U2 R' U' F
F2 U' F2 L F' U F'
F U' F2 L R U F2
F U' F2 L R' U F2
F U' F2 L R2 U F2
F U' F2 L U F2 D
F U' F2 L U F2 D'
F U' F2 L U F2 D2
F U' F2 L D R2 U
L' D2 R2 L B U' R2
F U' F2 R L U F2
F U' F2 R' L U F2
F U' F2 R2 L U F2
F U' F2 D L R2 U
F U' F2 D R2 L U
L' D2 U L R2 B U'
L' D2 U R2 L B U'
L2 D2 U' L' F' R2 U
F' U2 L U' L' U2 L
U' D2 F L F2 U F
D' U2 F L F2 U R
D2 U2 F L F2 U R
U2 D2 F L F2 U R
D' U2 F' L U' L' U2
D2 U2 F' L U' L' U2
R D2 U2 L F U R'
D U2 F L F2 U R
F U2 L F2 U R D
F U2 L F2 U R D'
F U2 L F2 U R D2
F U2 L F2 U D R
F U2 L F2 U D' R
F U2 L F2 U D2 R
F U2 L F2 D U R
F U2 L F2 D' U R
F U2 L F2 D2 U R
F U2 L F2 B U R
F U2 L F2 B' U R
F U2 L F2 B2 U R
F U2 L B F2 U R
F U2 L B' F2 U R
F U2 L B2 F2 U R
U2 D2 F' L U' L' U2
D U2 F' L U' L' U2
L D2 F2 R F U R'
U' F L U D' L2 F'
U' F L U D' F' L2
U' F L D' U L2 F'
U' F L D' U F' L2
U' F L F2 R U F
U' F L F2 R' U F
U' F L F2 R2 U F
U' F L F2 U D F
U' F L F2 U D' F
U' F L F2 U D2 F
U' F L F2 U F D
U' F L F2 U F D'
U' F L F2 U F D2
U' F L F2 D U F
U' F L F2 D' U F
U' F L F2 D2 U F
D' F L F2 R U R'
D2 F L F2 R U R'
U2 F L F2 U R D
U2 F L F2 U R D'
U2 F L F2 U R D2
U2 F L F2 U D R
U2 F L F2 U D' R
U2 F L F2 U D2 R
U2 F L F2 D U R
U2 F L F2 D' U R
U2 F L F2 D2 U R
U2 F L F2 B U R
U2 F L F2 B' U R
U2 F L F2 B2 U R
U2 F L B F2 U R
U2 F L B' F2 U R
U2 F L B2 F2 U R
D F L F2 R U R'
F2 U2 F L U' L' U2
B' U2 F' L' U' L U2
B' U2 F' L' B2 U R'
L' F L2 F2 R U R'
F2 U2 F' L F2 U R
B2 U2 F' U2 R' U' R
F U2 F2 L U' L' U2
U2 F U L F2 U F2
D' F U' L F2 U F2
D2 F U' L F2 U F2
L' F U' L2 F2 R U
U2 F U F2 L U F2
D' F U' F2 L U F2
D2 F U' F2 L U F2
D' F U2 L F2 U R
D2 F U2 L F2 U R
D F U' L F2 U F2
D F U' F2 L U F2
D F U2 L F2 U R
U' F D' L U L F'
U' F D' L U F' L
R F U2 L F U R'
D' F D2 B2 R' U' R
D2 F D2 B2 R' U' R
D F D2 B2 R' U' R
B2 D R2 B R U' R
U' F' L U L' F L
U' F' L U2 L' U' F
U' F' L D2 R U F'
F2 D U' F L U F'
U2 F' L U F2 R F2
U2 F' L U' L' U2 D
U2 F' L U' L' U2 D'
U2 F' L U' L' U2 D2
U2 F' L U' L' D U2
U2 F' L U' L' D' U2
U2 F' L U' L' D2 U2
U2 F' L U' D L' U2
U2 F' L U' D' L' U2
U2 F' L U' D2 L' U2
U2 F' L U2 F2 U' R
U2 F' L D U' L' U2
U2 F' L D' U' L' U2
U2 F' L D2 U' L' U2
U2 F' L B U' L' U2
U2 F' L B' U' L' U2
U2 F' L B2 U' L' U2
U2 F' L' U D' B2 R'
U2 F' L' D' U B2 R'
U2 F' L' B2 L2 U R'
U2 F' L2 D' L' B2 U
U2 F' L2 D' B2 L' U
U2 F' L2 D2 L' U R2
L F' R' U D R F'
L F' R' D U R F'
U' F' U F U' L U
U2 F' D L U' L' U2
R F' U2 L F U R'
U2 F' D' L U' L' U2
L F' D R U F' R'
U2 F' D2 L U' L' U2
B2 D' R2 B R U' R
L F' D2 B R' U R
L' F' B2 L2 R' U R
L' F' B2 R' L2 U R
U2 F' B2 U2 R' U' R
F2 D' U' F L U F'
L2 F2 L2 B' R U' R'
L F2 R D F U R'
L F2 R D' F U R'
L F2 R D2 F U R'
L F2 R F U R' D
L F2 R F U R' D'
L F2 R F U R' D2
L F2 R F U D R'
L F2 R F U D' R'
L F2 R F U D2 R'
L F2 R F D U R'
L F2 R F D' U R'
L F2 R F D2 U R'
L2 F2 U L2 R B' U'
L2 F2 U L2 B' R U'
L2 F2 U R L2 B' U'
U2 F2 U F L U F'
D2 F2 U' F L U F'
D' F2 U' F L U F'
L F2 R2 F R' U R'
F D' B2 R' U' L2 R
F D' B2 R' U' R L2
D F2 U' F L U F'
U' F2 D R2 F L U
U' F2 D F L R2 U
U' F2 D F R2 L U
R F2 U2 L F U R'
L F2 D R F U R'
L F2 D' R F U R'
L F2 D2 R F U R'
B2 D2 R2 B R U' R
L F2 B R F U R'
F D2 R' B2 R' U' R2
L F2 B' R F U R'
F2 D2 U' F L U F'
F D2 R2 B2 R' U' R'
L F2 B2 R F U R'
F D2 F B2 R' U' R
R' B R' B R' U' R'
F D2 F' B2 R' U' R
R2 B R' U' D' R' B
R2 B R' D' U' R' B
D2 B R2 B R' U' R'
D' B R2 B R' U' R'
F D2 F2 B2 R' U' R
D B R2 B R' U' R'
U' B U' F' B' L U
U' B U' B' L F' U
U' B U' B' F' L U
R2 B U' R' D' R' B
F D2 B2 R' U' R D
F D2 B2 R' U' R D'
F D2 B2 R' U' R D2
F D2 B2 R' U' D R
F D2 B2 R' U' D' R
F D2 B2 R' U' D2 R
F D2 B2 R' D U' R
F D2 B2 R' D' U' R
F D2 B2 R' D2 U' R
F D2 B2 D R' U' R
F D2 B2 D' R' U' R
F D2 B2 D2 R' U' R
F D2 B2 F R' U' R
F D2 B2 F' R' U' R
F D2 B2 F2 R' U' R
R2 B U2 B' L U R2
R2 B D' R' F2 U' B
R2 B D' F2 R' U' B
B2 F R' U' R D' L2
B2 F R' U' D' L2 R
B2 F R' U' D' R L2
B2 F R' D' U' L2 R
B2 F R' D' U' R L2
B2 F R' D2 B2 U' R
L B F2 R F U R'
B2 F D' R' U' L2 R
B2 F D' R' U' R L2
B2 F D2 R' B2 U' R
L B' F2 R F U R'
L' B2 L2 F' R' U R
R' B2 R' D' F2 B U'
R' B2 R' D' B F2 U'
R' B2 R' F B U' R2
R' B2 R' F' B U' R2
R' B2 R' F2 B U' R2
R' B2 R' B U' R2 D
R' B2 R' B U' R2 D'
R' B2 R' B U' R2 D2
R' B2 R' B D' F2 U'
R' B2 R' B F U' R2
R' B2 R' B F' U' R2
R' B2 R' B F2 U' R2
R2 B2 R B' R2 U' R'
D2 B2 R2 B R U' R
D' B2 R2 B R U' R
R2 B2 R2 B' R U' R'
U' B2 U' F' B2 L U
L' B2 U' L2 F' R' U
D B2 R2 B R U' R
U' B2 U' B2 L F' U
U' B2 U' B2 F' L U
L' B2 U' F' L2 R' U
L' B2 U' F' R' L2 U
F B2 R' U' R D' L2
F B2 R' U' D' L2 R
F B2 R' U' D' R L2
F B2 R' D' U' L2 R
F B2 R' D' U' R L2
F B2 R' D2 B2 U' R
R2 B2 D' R' F2 B' U'
R2 B2 D' R' B' F2 U'
R2 B2 D' F2 R' B' U'
L' B2 F' L2 R' U R
L' B2 F' R' L2 U R
U2 B2 F' U2 R' U' R
F B2 D' R' U' L2 R
F B2 D' R' U' R L2
F B2 D2 R' B2 U' R
L B2 F2 R F U R'
