R' L D' F' B' L2
R' L D' B' L2 F'
R' L D' B' F' L2
R' L B' D' L2 F'
R' L B' D' F' L2
L' R' D' L2 F' B'
L' R' D' L2 B' F'
R' L' D' L2 F' B'
R' L' D' L2 B' F'
L R' D' F' B' L2
L R' D' B' L2 F'
L R' D' B' F' L2
L R' B' D' L2 F'
L R' B' D' F' L2
D' L2 D' R' F' B
D' L2 D' R' B F'
D2 R' D L2 F' B
D2 R' D L2 B F'
D2 R' D F' L2 B
D2 R' D F' B L2
D2 R' D B L2 F'
D2 R' D B F' L2
D2 R' F' D L2 B
D2 R' F' D B L2
L' D' L2 R' F' B'
L' D' L2 R' B' F'
L' D' R' L2 F' B'
L' D' R' L2 B' F'
L D' R' F' B' L2
L D' R' B' L2 F'
L D' R' B' F' L2
R' L' D' L2 F' D' B'
R' L' D' L2 F' D2 B'
R' L' D' L2 F' B' D
R' L' D' L2 F' B' D'
R' L' D' L2 F' B' D2
R' L' D' L2 B' D F'
L' R' D' L2 D F' B'
R' L' D' L2 B' D' F'
R' L' D' L2 B' D2 F'
L' R' D' L2 D B' F'
R' L' D' L2 B' F' D
R' L' D' L2 B' F' D'
R' L' D' L2 B' F' D2
L' R' D' L2 D' F' B'
L' R' D' L2 D' B' F'
L' R' D' L2 D2 F' B'
L' R' D' L2 D2 B' F'
L' R' D' L2 F' D B'
L' R' D' L2 F' D' B'
L' R' D' L2 F' D2 B'
L' R' D' L2 F' B' D
L' R' D' L2 F' B' D'
L' R' D' L2 F' B' D2
L' R' D' L2 B' D F'
L' R' D' L2 B' D' F'
L' R' D' L2 B' D2 F'
L' R' D' L2 B' F' D
L' R' D' L2 B' F' D'
L' R' D' L2 B' F' D2
L2 R' D' L' B' L' F'
L R' D' L2 F' D2 B2
R' L' D' F' L2 D2 B2
L' R' D' F' L2 D2 B2
R' L' D' B L2 F' B'
R' L' D' B L2 B' F'
L' R' D' B L2 F' B'
L' R' D' B L2 B' F'
R' L' D' B' L2 F' B'
R' L' D' B' L2 B' F'
L R' D' F B' L2 F2
L' R' D' B' L2 F' B'
L' R' D' B' L2 B' F'
R' L' D' B2 L2 F' B'
R' L' D' B2 L2 B' F'
L2 R' D' F' L' B' L'
L R' D' F' B L2 B2
L' R' D' B2 L2 F' B'
L' R' D' B2 L2 B' F'
L R' D' F' B' L2 D
L R' D' F' B' L2 D'
L R' D' F' B' L2 D2
L R' D' F' B2 L2 B
L R' D' B L2 F' B2
L R' D' B L2 B2 F'
L R' D' B F' L2 B2
L R' D' B' L F' L
L R' D' B' L2 D F'
L R' D' B' L2 D' F'
L R' D' B' L2 D2 F'
L R' D' B' L2 F' D
L R' D' B' L2 F' D'
L R' D' B' L2 F' D2
L R' D' B' F L2 F2
L R' D' B' F' L2 D
L R' D' B' F' L2 D'
L R' D' B' F' L2 D2
L R' D' B2 L2 F' B
L R' D' B2 L2 B F'
L R' D' B2 F' L2 B
L R' D2 F' D B' L2
L2 R' F' U' F' L' U
L R' F' U' F' U B'
L R' F' B' U' F' U
R L' F2 U R2 F' B
R L' F2 U R2 B F'
D' L' D' L' R' F' B
D' L' D' L' R' B F'
D' L' D' R' L' F' B
D' L' D' R' L' B F'
D' L' D' R' B L' F'
U2 L' D' L2 R' F B'
U2 L' D' L2 R' B' F
U2 L' D' L2 F R' B'
U2 L' D' R' L2 F B'
U2 L' D' R' L2 B' F
B L' D' L2 B' R' F'
R' L' B D' L2 F' B'
R' L' B D' L2 B' F'
L' R' B D' L2 F' B'
L' R' B D' L2 B' F'
L R' B' L D' L2 F'
L R' B' L D' F' L2
L R' B' L' D' L2 F'
L R' B' L' D' F' L2
L R' B' L2 D' L2 F'
L R' B' L2 D' F' L2
R' L' B' D' L2 F' B'
R' L' B' D' L2 B' F'
L' R' B' D' L2 F' B'
L' R' B' D' L2 B' F'
L R' B' U' F2 U F
L R' B' D F' D2 L2
L R' B' D' L F' L
L R' B' D' L2 D F'
L R' B' D' L2 D' F'
L R' B' D' L2 D2 F'
L R' B' D' L2 F' D
L R' B' D' L2 F' D'
L R' B' D' L2 F' D2
L R' B' D' F L2 F2
L R' B' D' F' L2 D
L R' B' D' F' L2 D'
L R' B' D' F' L2 D2
L R' B' D2 F' D L2
L R' B' F' U' F' U
R' L' B2 D' L2 F' B'
R' L' B2 D' L2 B' F'
L' R' B2 D' L2 F' B'
L' R' B2 D' L2 B' F'
L R' B2 D' L2 F' B
L R' B2 D' L2 B F'
L R' B2 D' F' L2 B
L R' B2 D' F' B L2
L R' B2 D' B L2 F'
L R' B2 D' B F' L2
R' L2 D' L' B' L' F'
R' L2 D' F' L' B' L'
D2 L2 R' D L2 F' B
D2 L2 R' D L2 B F'
D2 L2 R' D F' L2 B
D2 L2 R' D F' B L2
D2 L2 R' D B L2 F'
D2 L2 R' D B F' L2
D2 L2 R' F' D L2 B
D2 L2 R' F' D B L2
R' L2 F' U' F' L' U
L R2 B' R D' L2 F'
L R2 B' R D' F' L2
D' L2 D' R' D F' B
D' L2 D' R' D B F'
D' L2 D' R' D' F' B
D' L2 D' R' D' B F'
D' L2 D' R' D2 F' B
D' L2 D' R' D2 B F'
D' L2 D' R' F' D B
D' L2 D' R' F' D' B
D' L2 D' R' F' D2 B
D' L2 D' R' F' B D
D' L2 D' R' F' B D'
D' L2 D' R' F' B D2
D' L2 D' R' B D F'
D' L2 D' R' B D' F'
D' L2 D' R' B D2 F'
D' L2 D' R' B F' D
D' L2 D' R' B F' D'
D' L2 D' R' B F' D2
D' L2 D' F R' F' B
D' L2 D' F R' B F'
D' L2 D' F' R' F' B
D' L2 D' F' R' B F'
D' L2 D' F2 R' F' B
D' L2 D' F2 R' B F'
D' L2 F D' R' F' B
D' L2 F D' R' B F'
D' L2 F' D' R' F' B
D' L2 F' D' R' B F'
D' L2 F2 D' R' F' B
D' L2 F2 D' R' B F'
F2 R L U R2 F' B'
F2 R L U R2 B' F'
R' U' L F2 U F B'
R' U' L F2 U B' F
D2 R' L D L2 F' B
D2 R' L D L2 B F'
D' R' L D L F' B'
D' R' L D L B' F'
D2 R' L D F' L2 B
D2 R' L D F' B L2
D2 R' L D B L2 F'
D2 R' L D B F' L2
D' R' L D F' L B'
F' R' L D F' B' L
F' R' L D B' L F'
F' R' L D B' F' L
D2 R' L F' D L2 B
D2 R' L F' D B L2
D' R' L F' D L B'
F' R' L F' D B' L
U2 R' L D' F B' L2
U2 R' L D' B' F L2
D2 R' L' D L2 F' B
D2 R' L' D L2 B F'
D2 R' L' D F' L2 B
D2 R' L' D F' B L2
D2 R' L' D B L2 F'
D2 R' L' D B F' L2
U2 R' L B' D' F L2
F R' L D' F' B' L
F R' L D' B' L F'
F R' L D' B' F' L
D2 R' L' F' D L2 B
D2 R' L' F' D B L2
F R' L F' D' B' L
U2 R' L' D' L2 F B'
U2 R' L' D' L2 B' F
D2 R' L2 D L2 F' B
D2 R' L2 D L2 B F'
D2 R' L2 D F' L2 B
D2 R' L2 D F' B L2
D2 R' L2 D B L2 F'
D2 R' L2 D B F' L2
D2 R' L2 F' D L2 B
D2 R' L2 F' D B L2
D2 R' U B2 U' F' B'
D2 R' U B2 U' B' F'
L U' F2 U R' F' B'
L U' F2 U R' B' F'
D2 R' D L F' L B
D2 R' D L' B L' F'
D2 R' D L2 D F' B
D2 R' D L2 D B F'
D2 R' D L2 D' F' B
D2 R' D L2 D' B F'
D2 R' D L2 D2 F' B
D2 R' D L2 D2 B F'
D2 R' D L2 F' D B
D2 R' D L2 F' D' B
D2 R' D L2 F' D2 B
D2 R' D L2 F' B D
D2 R' D L2 F' B D'
D2 R' D L2 F' B D2
D2 R' D L2 B D F'
D2 R' D L2 B D' F'
D2 R' D L2 B D2 F'
D2 R' D L2 B F' D
D2 R' D L2 B F' D'
D2 R' D L2 B F' D2
D2 R' D F L2 F2 B
D2 R' D F L2 B F2
D2 R' D F B L2 F2
D2 R' D F' L' B L'
D2 R' D F' L2 D B
D2 R' D F' L2 D' B
D2 R' D F' L2 D2 B
D2 R' D F' L2 B D
D2 R' D F' L2 B D'
D2 R' D F' L2 B D2
D2 R' D F' B L2 D
D2 R' D F' B L2 D'
D2 R' D F' B L2 D2
D2 R' D F' B' L2 B2
D2 R' D B L F' L
D2 R' D B L2 D F'
D2 R' D B L2 D' F'
D2 R' D B L2 D2 F'
D2 R' D B L2 F' D
D2 R' D B L2 F' D'
D2 R' D B L2 F' D2
D2 R' D B F L2 F2
D2 R' D B F' L2 D
D2 R' D B F' L2 D'
D2 R' D B F' L2 D2
D2 R' D B' L2 F' B2
D2 R' D B' L2 B2 F'
D2 R' D B' F' L2 B2
D2 R' D' F' D2 L2 B
D2 R' D' F' D2 B L2
D2 R' D' F' B D2 L2
D2 R' D' B D2 L2 F'
D2 R' D' B D2 F' L2
D2 R' D' B F' D2 L2
D R' D' F' B2 L B'
D R' D' B2 L F' B'
D R' D' B2 L B' F'
D R' D' B2 F' L B'
D2 R' D2 B D' L2 F'
D2 R' D2 B D' F' L2
D2 R' F' L D L2 B
D2 R' F' L D B L2
D' R' F' L D L B'
D2 R' F' L' D L2 B
D2 R' F' L' D B L2
D2 R' F' L2 D L2 B
D2 R' F' L2 D B L2
F' R' F' L D B' L
D2 R' F' U B2 U' B'
F2 R' F' L D' B' L
D2 R' F' D L' B L'
D2 R' F' D L2 D B
D2 R' F' D L2 D' B
D2 R' F' D L2 D2 B
D2 R' F' D L2 B D
D2 R' F' D L2 B D'
D2 R' F' D L2 B D2
D2 R' F' D B L2 D
D2 R' F' D B L2 D'
D2 R' F' D B L2 D2
D2 R' F' D B' L2 B2
D2 R' F' D' B D2 L2
D2 R' F' D2 B D' L2
D2 R' F' B U B U'
F R' F' L D' B' L2
F R' F' L B' D' L2
F R' F' L' D' L2 B'
D2 R' F2 D F L2 B
D2 R' F2 D F B L2
D2 R' F2 D B F L2
D2 R' B U B U' F'
D2 R' B F' U B U'
F2 R2 L U R F' B'
F2 R2 L U R B' F'
D R' B2 D' L F' B'
D R' B2 D' L B' F'
F2 R2 L U B' R F'
D R' B2 D' F' L B'
L' D R' F' D2 B2 L
L2 D R2 U2 R F' B
L2 D R2 U2 R B F'
L D R' F' B2 L B
L D R' B2 L F' B
L D R' B2 L B F'
L D R' B2 F' L B
L D R2 U2 R F' B'
L D R2 U2 R B' F'
L D R2 U2 B' R F'
L' D F R2 U2 R F'
L' D' L R' F' L B'
R' D' L D L F' B'
R' D' L D L B' F'
R' D' L D F' L B'
R' D' L F' D L B'
L2 D' L' R' B' L' F'
L' D' L2 R' D F' B'
L' D' L2 R' D B' F'
L' D' L2 R' D' F' B'
L' D' L2 R' D' B' F'
L' D' L2 R' D2 F' B'
L' D' L2 R' D2 B' F'
L' D' L2 R' F' D B'
L' D' L2 R' F' D' B'
L' D' L2 R' F' D2 B'
L' D' L2 R' F' B' D
L' D' L2 R' F' B' D'
L' D' L2 R' F' B' D2
L' D' L2 R' B' D F'
L' D' L2 R' B' D' F'
L' D' L2 R' B' D2 F'
L' D' L2 R' B' F' D
L' D' L2 R' B' F' D'
L' D' L2 R' B' F' D2
L' D' L2 R2 B' R F'
L' D' L2 D R' F' B'
L' D' L2 D R' B' F'
L' D' L2 D' R' F' B'
L' D' L2 D' R' B' F'
L' D' L2 D2 R' F' B'
L' D' L2 D2 R' B' F'
L' D' L2 F R' F' B'
L' D' L2 F R' B' F'
L' D' L2 F' R' F' B'
L' D' L2 F' R' B' F'
L' D' L2 F2 R' F' B'
L' D' L2 F2 R' B' F'
L2 D' L2 D2 R' F' B
L2 D' L2 D2 R' B F'
L D' L2 R' F' D2 B2
L' D' R' L F' L B'
L' D' R' L2 D F' B'
L' D' R' L2 D B' F'
L' D' R' L2 D' F' B'
L' D' R' L2 D' B' F'
L' D' R' L2 D2 F' B'
L' D' R' L2 D2 B' F'
L' D' R' L2 F' D B'
L' D' R' L2 F' D' B'
L' D' R' L2 F' D2 B'
L' D' R' L2 F' B' D
L' D' R' L2 F' B' D'
L' D' R' L2 F' B' D2
L' D' R' L2 B' D F'
L' D' R' L2 B' D' F'
L' D' R' L2 B' D2 F'
L' D' R' L2 B' F' D
L' D' R' L2 B' F' D'
L' D' R' L2 B' F' D2
L' D' R' F' L2 D2 B2
L2 D' R' L' B' L' F'
L' D' R' B L2 F' B'
L' D' R' B L2 B' F'
L' D' R' B' L2 F' B'
L' D' R' B' L2 B' F'
L' D' R' B2 L2 F' B'
L' D' R' B2 L2 B' F'
L' D' R2 L2 B' R F'
L2 D' R' F' L' B' L'
L D' R' L2 F' D2 B2
L D' R' F B' L2 F2
L D' R' F' B L2 B2
L D' R' F' B' L2 D
L D' R' F' B' L2 D'
L D' R' F' B' L2 D2
L D' R' F' B2 L2 B
L D' R' B L2 F' B2
L D' R' B L2 B2 F'
L D' R' B F' L2 B2
L D' R' B' L F' L
L D' R' B' L2 D F'
L D' R' B' L2 D' F'
L D' R' B' L2 D2 F'
L D' R' B' L2 F' D
L D' R' B' L2 F' D'
L D' R' B' L2 F' D2
L D' R' B' F L2 F2
L D' R' B' F' L2 D
L D' R' B' F' L2 D'
L D' R' B' F' L2 D2
L D' R' B2 L2 F' B
L D' R' B2 L2 B F'
L D' R' B2 F' L2 B
L D' R2 B' L2 R F'
L D' R2 B' R L2 F'
L D' R2 B' R F' L2
L' D' F R' F' L2 B'
R' D' F' L D L B'
L D' F R' F' B' L2
L D' F R' B' L2 F'
L D' F R' B' F' L2
L D' F' R' F' B' L2
L D' F' R' B' L2 F'
L D' F' R' B' F' L2
L' D' B L2 B' R' F'
L D' F2 R' F' B' L2
L D' F2 R' B' L2 F'
L D' F2 R' B' F' L2
L' D2 R' D L2 F' B'
L' D2 R' D L2 B' F'
L D2 R' D F' B' L2
L D2 R' D B' L2 F'
L D2 R' D B' F' L2
L D2 R' F' D B' L2
F2 U2 L U' R' F B'
F2 U2 L U' R' B' F
F2 U2 L U' F R' B'
R' F L F2 D' B' L
D' F L2 D' R' F' B
D' F L2 D' R' B F'
D2 F R' D L2 F' B
D2 F R' D L2 B F'
D2 F R' D F' L2 B
D2 F R' D F' B L2
D2 F R' D B L2 F'
D2 F R' D B F' L2
D2 F R' F' D L2 B
D2 F R' F' D B L2
L' F R' F' D' L2 B'
L F R' F' D' B' L2
L F R' F' B' D' L2
L F R' B' F' D' L2
L' F U F R U R2
R' F' L U' F' U B'
R' F' L B' U' F' U
R' F' L2 U' F' L' U
D' F' L2 D' R' F' B
D' F' L2 D' R' B F'
D2 F' R' D L2 F' B
D2 F' R' D L2 B F'
D2 F' R' D F' L2 B
D2 F' R' D F' B L2
D2 F' R' D B L2 F'
D2 F' R' D B F' L2
D2 F' R' F' D L2 B
D2 F' R' F' D B L2
D F' R' D F' B2 L
D F' R' D B2 L F'
D F' R' D B2 F' L
D F' R' F' D B2 L
L F' R' D F' B' L
L F' R' D B' L F'
L F' R' D B' F' L
L F' R' F' D B' L
R' F' U' L F' U B'
R' F' U' F' L U B'
U' F2 L U R' F' B'
U' F2 L U R' B' F'
U2 F2 L U R' F B'
U2 F2 L U R' B' F
U2 F2 L U F R' B'
D' F2 L2 D' R' F' B
D' F2 L2 D' R' B F'
R F2 L U R2 F' B'
R F2 L U R2 B' F'
D2 F2 R' D L2 F' B
D2 F2 R' D L2 B F'
D2 F2 R' D F' L2 B
D2 F2 R' D F' B L2
D2 F2 R' D B L2 F'
D2 F2 R' D B F' L2
D2 F2 R' F' D L2 B
D2 F2 R' F' D B L2
L F2 R U R2 F' B'
L F2 R U R2 B' F'
L' F2 R2 U B R F'
U' F2 U D2 R' F' B
U' F2 U D2 R' B F'
L F2 R2 U R F' B'
L F2 R2 U R B' F'
L F2 R2 U B' R F'
U' F2 D2 U R' F' B
U' F2 D2 U R' B F'
F2 D2 R U R2 F' B
F2 D2 R U R2 B F'
F D2 R' F' D' L2 B
F D2 R' F' D' B L2
F D2 R' F' B D' L2
F D2 R' B F' D' L2
R' B L D' F' B' L2
R' B L D' B' L2 F'
R' B L D' B' F' L2
R' B L B' D' L2 F'
R' B L B' D' F' L2
R' B L' D' L2 F' B'
R' B L' D' L2 B' F'
L' B D' L2 B' R' F'
R' B' L D' F' B' L2
R' B' L D' B' L2 F'
R' B' L D' B' F' L2
R' B' L B' D' L2 F'
R' B' L B' D' F' L2
R' B' L' D' L2 F' B'
R' B' L' D' L2 B' F'
R' B2 L D' F' B' L2
R' B2 L D' B' L2 F'
R' B2 L D' B' F' L2
R' B2 L B' D' L2 F'
R' B2 L B' D' F' L2
R' B2 L' D' L2 F' B'
R' B2 L' D' L2 B' F'
