D' L' F U2 L F
F' R' F' D R B2
F' R' F' D B2 R
D R' F' D2 B R'
L' U2 D' L F B'
L' U2 D' L B' F
D R' F2 B R F
D R' B F2 R F
D R2 F2 R F' B
D R2 F2 R B F'
L' D' U2 L F B'
L' D' U2 L B' F
U2 D' L' F B' U2
U2 D' L' B' F U2
D' U2 L' F B' U2
D' U2 L' B' F U2
D F' R' F' B R
D F' R' B F' R
D F2 R' F' B R2
D F2 R' B F' R2
B D R2 F2 R F' B
B D R2 F2 R B F'
B' D F' R' F' B R
B' D F' R' B F' R
U F' L' R F' U' R
U F' L' D R F' U'
B2 D F' R' F' B R
B2 D F' R' B F' R
U F' L' F' U' R B
B' D F2 R' F' B R2
B' D F2 R' B F' R2
B D F' R' F' B R
B D F' R' B F' R
B2 D F2 R' F' B R2
B2 D F2 R' B F' R2
U F' R L' F' U' R
B D F2 R' F' B R2
B D F2 R' B F' R2
U F' R D' L' F U'
D F' R' D2 F' B R'
D F' R' D2 B F' R'
D F' R' F' D B R
D F' R' F' D' B R
D F' R' F' D2 B R
D F' R' F' B R D
D F' R' F' B R D'
D F' R' F' B R D2
D F' R' F' B D R
D F' R' F' B D' R
D F' R' F' B D2 R
D F' R' F' B' R B2
D F' R' F' B2 R B'
R' F' U R F' U' R
D F' R' B F' R D
D F' R' B F' R D'
D F' R' B F' R D2
D F' R' B F' D R
D F' R' B F' D' R
D F' R' B F' D2 R
D F' R' B' F' R B2
R' F' U D R F' U'
D F' R' B2 F' R B'
R' F' U F' U' R B
D F' R2 F' R F' B
D F' R2 F' R B F'
R2 F' U R U' F' R
L' F' U' R U' L F
R F' R2 F' R D B2
B' D' L' F U2 L F
R' F' D U R F' U'
B2 D' L' F U2 L F
B D' L' F U2 L F
U F' D L' R F' U'
U F' D R L' F' U'
D' F' D2 R' F' B R'
D' F' D2 R' B F' R'
R' F' D2 B R' D B2
D' F' D2 B R' F' B
D' F' D2 B R' B F'
U F' D' L' R F U'
U F' D' R L' F U'
F' D' R' D F' R B2
F' D' R' D F' B2 R
F' D' R' D B2 F' R
D F' B R' F' B R
D F' B R' B F' R
D F' B' R' F' B R
D F' B' R' B F' R
B' D' U2 L' F B' U2
B' D' U2 L' B' F U2
D F' B2 R' F' B R
D F' B2 R' B F' R
B2 D' U2 L' F B' U2
B2 D' U2 L' B' F U2
B D' U2 L' F B' U2
B D' U2 L' B' F U2
R' F2 R F U R U'
D F2 R U2 F' B U2
D F2 R U2 B F' U2
R2 F2 R F' U' L' U
R' F2 R2 F R' D B2
D F2 R' F B R2 F2
D F2 R' F' B R2 D
D F2 R' F' B R2 D'
D F2 R' F' B R2 D2
D F2 R' F' B' R2 B2
D F2 R' F' B2 R2 B'
D F2 R' F2 B R2 F
D F2 R' B F R2 F2
D F2 R' B F' R2 D
D F2 R' B F' R2 D'
D F2 R' B F' R2 D2
D F2 R' B F2 R2 F
D F2 R' B' F' R2 B2
D F2 R' B2 F' R2 B'
U F2 U' D R F' B
U F2 U' D R B F'
D2 F2 D' R' F' B R2
D2 F2 D' R' B F' R2
D' F2 D2 R' F' B R2
D' F2 D2 R' B F' R2
U F2 D U' R F' B
U F2 D U' R B F'
D F2 B R' F' B R2
D F2 B R' B F' R2
D F2 B' R' F' B R2
D F2 B' R' B F' R2
D F2 B2 R' F' B R2
D F2 B2 R' B F' R2
D' B L' F U2 L F
R B L' U2 D' L B'
R B L' D' U2 L B'
F' D2 B R' D F' B2
F' D2 B R' D B2 F'
F' D2 B R' F' D B2
D B R' F' D2 B R'
D B R' F2 B R F
D B R' B F2 R F
D B R2 F2 R F' B
D B R2 F2 R B F'
D' B U2 L' F B' U2
D' B U2 L' B' F U2
U2 B D' L' F B' U2
U2 B D' L' B' F U2
F' B R' F' D R B2
F' B R' F' D B2 R
R B D' L' F U2 L
D B F' R' F' B R
D B F' R' B F' R
D B F2 R' F' B R2
D B F2 R' B F' R2
D' B' L' F U2 L F
D B' R' F' D2 B R'
D B' R' F2 B R F
D B' R' B F2 R F
D B' R2 F2 R F' B
D B' R2 F2 R B F'
D' B' U2 L' F B' U2
D' B' U2 L' B' F U2
B' F' R' F' D R B2
B' F' R' F' D B2 R
F' B' R' F' D R B2
F' B' R' F' D B2 R
B2 F' R' F' D R B2
B2 F' R' F' D B2 R
U2 B' D' L' F B' U2
U2 B' D' L' B' F U2
B F' R' F' D R B2
B F' R' F' D B2 R
D B' F' R' F' B R
D B' F' R' B F' R
D B' F2 R' F' B R2
D B' F2 R' B F' R2
D' B2 L' F U2 L F
L2 B2 L2 D R' F' B
L2 B2 L2 D R' B F'
D B2 R' F' D2 B R'
D B2 R' F2 B R F
D B2 R' B F2 R F
D B2 R2 F2 R F' B
D B2 R2 F2 R B F'
F' B2 R' F' D R B2
F' B2 R' F' D B2 R
D' B2 U2 L' F B' U2
D' B2 U2 L' B' F U2
L' B2 D R' U2 F' B
L' B2 D R' U2 B F'
U2 B2 D' L' F B' U2
U2 B2 D' L' B' F U2
D B2 F' R' F' B R
D B2 F' R' B F' R
D B2 F2 R' F' B R2
D B2 F2 R' B F' R2
