U L2 B' R' U
U L2 R B' R' U
U L2 R' B' R' U
U L2 R2 B' R' U
U L2 D B' R' U
U L2 D' B' R' U
U L2 D2 B' R' U
U L2 B' R' U D
U L2 B' R' U D'
U L2 B' R' U D2
U L2 B' R' D U
U L2 B' R' D' U
U L2 B' R' D2 U
U L2 B' D R' U
U L2 B' D' R' U
U L2 B' D2 R' U
U R L2 B' R' U
U R' L2 B' R' U
U R2 L2 B' R' U
B' U L2 B' R' U
B2 U L2 B' R' U
B U L2 B' R' U
U' F U2 L2 R U
U' F U2 R L2 U
U' F' L' F2 R U'
D F2 U' F' L' U'
U B' L2 R' B' U
U B' R' L2 B' U
U2 R' D2 F' D R2 B2
U2 R' D2 F' D B2 R2
L U2 L B' U L' F
U' R' F U2 L2 R U
U' R' F U2 R L2 U
U' R' F' L' F2 R U'
U2 R' F' D R2 D2 B2
U2 R' F' D' B2 D2 R2
U R' B' L2 R' B' U
U R' B' R' L2 B' U
L U2 F U' L B' U
U R2 L2 D B' R' U
U R2 L2 D' B' R' U
U R2 L2 D2 B' R' U
U R2 L2 B' R' U D
U R2 L2 B' R' U D'
U R2 L2 B' R' U D2
U R2 L2 B' R' D U
U R2 L2 B' R' D' U
U R2 L2 B' R' D2 U
U R2 L2 B' D R' U
U R2 L2 B' D' R' U
U R2 L2 B' D2 R' U
U' R2 U2 L2 B' R' U
U' R2 F U2 L2 R U
U' R2 F U2 R L2 U
U' R2 F' L' F2 R U'
U R2 B' L2 R' B' U
U R2 B' R' L2 B' U
B' U L2 R B' R' U
B' U L2 R' B' R' U
B' U L2 R2 B' R' U
B2 U L2 R B' R' U
B2 U L2 R' B' R' U
B2 U L2 R2 B' R' U
B' U L2 D B' R' U
B' U L2 D' B' R' U
B' U L2 D2 B' R' U
F2 U L2 U2 F' L' U'
B2 U L2 D B' R' U
B2 U L2 D' B' R' U
D' U L2 B' R' U B'
B2 U L2 D2 B' R' U
B' U L2 B' R' U D
B' U L2 B' R' U D'
B' U L2 B' R' U D2
B' U L2 B' R' D U
B' U L2 B' R' D' U
B' U L2 B' R' D2 U
B U L2 R B' R' U
B' U L2 B' D R' U
B' U L2 B' D' R' U
B' U L2 B' D2 R' U
B U L2 R' B' R' U
B U L2 R2 B' R' U
B2 U L2 B' R' U D
B2 U L2 B' R' U D'
B2 U L2 B' R' U D2
B2 U L2 B' R' D U
B2 U L2 B' R' D' U
B2 U L2 B' R' D2 U
B2 U L2 B' D R' U
B2 U L2 B' D' R' U
B2 U L2 B' D2 R' U
B' U R L2 B' R' U
B U L2 D B' R' U
B U L2 D' B' R' U
B2 U R L2 B' R' U
B U L2 D2 B' R' U
B U L2 B' R' U D
B U L2 B' R' U D'
B U L2 B' R' U D2
B U L2 B' R' D U
B U L2 B' R' D' U
B U L2 B' R' D2 U
B U L2 B' D R' U
B U L2 B' D' R' U
B U L2 B' D2 R' U
B U R L2 B' R' U
B' U R' L2 B' R' U
B2 U R' L2 B' R' U
B U R' L2 B' R' U
U2 D R' F' D R2 B
B' U R2 L2 B' R' U
B2 U R2 L2 B' R' U
B U R2 L2 B' R' U
D2 U F R2 B L U'
B' U B' L2 R' B' U
B' U B' R' L2 B' U
B2 U B' L2 R' B' U
B2 U B' R' L2 B' U
B U B' L2 R' B' U
B U B' R' L2 B' U
U D' L2 B' R' U B'
U2 D' R' F' B2 D R2
U2 D' R' B2 F' D R2
D2 U' R2 F U2 R U
D2 U' R2 F' L' F2 U'
D2 U' F R2 U2 R' U
D' U' F U2 R U B2
U' D' F U2 R U B2
U' D' F' L' F2 U' B2
D' U' F' L' F2 U' B2
D2 U' F' L' R2 F2 U'
D2 U' F' L' F2 R2 U'
D2 U' F' R2 L' F2 U'
L2 D' B' U2 L U' L'
F2 U' D' F' L' U' B2
F2 U' D2 F' L' R2 U'
F2 U' D2 F' R2 L' U'
B' U' F U2 L2 R U
B' U' F U2 R L2 U
B2 U' F U2 L2 R U
B2 U' F U2 R L2 U
U2 D' B2 R' F' D R2
B' U' F' L' F2 R U'
B2 U' F' L' F2 R U'
F2 U' F' L' U2 L' U
B U' F U2 L2 R U
B U' F U2 R L2 U
F2 U' F' D' L' U' B2
F2 U' F' D2 L' R2 U'
F2 U' F' D2 R2 L' U'
B U' F' L' F2 R U'
D' U2 R' F' B2 D R2
D' U2 R' B2 F' D R2
U' D2 R2 F U2 R U
U' D2 R2 F' L' F2 U'
D U2 R' F' D R2 B
U' D2 F R2 U2 R' U
U' D2 F' L' R2 F2 U'
U' D2 F' L' F2 R2 U'
U' D2 F' R2 L' F2 U'
U D2 F R2 B L U'
F U2 L2 R' U L2 F'
F U2 L2 R' U F' L2
F' U2 R' D F' R2 B
F2 U2 R' D' F' R B2
F2 U2 R' D' F' B2 R
F2 U2 R' D' B2 F' R
F U2 R' L2 U L2 F'
F U2 R' L2 U F' L2
D' U2 B2 R' F' D R2
U' F L U2 L R U
U' F L U2 R L U
U' F L' U2 L' R U
U' F L' U2 R L' U
U' F R' U' D' F2 B2
U' F R' U' D' B2 F2
U' F R' U2 L2 R2 U
U' F R' U2 R2 L2 U
U' F R' D' U' F2 B2
U' F R' D' U' B2 F2
U' F R' D2 L2 R2 U'
U' F R' D2 R2 L2 U'
U' F R2 U2 L2 R' U
U' F R2 U2 R' L2 U
U' F U2 L2 R U D
U' F U2 L2 R U D'
U' F U2 L2 R U D2
U' F U2 L2 R D U
U' F U2 L2 R D' U
U' F U2 L2 R D2 U
U' F U2 L2 D R U
U' F U2 L2 D' R U
U' F U2 L2 D2 R U
U' F U2 R L2 U D
U' F U2 R L2 U D'
U' F U2 R L2 U D2
U' F U2 R L2 D U
U' F U2 R L2 D' U
U' F U2 R L2 D2 U
U' F U2 R U D' B2
U' F U2 R D' U B2
U' F U2 D' R U B2
F' D L F2 U2 F' R2
F' D L' F2 B' U2 R2
F' D L' B' F2 U2 R2
U' F D' U2 R U B2
U' F D2 R2 U2 R' U
U F D2 R2 B L U'
U' F' L' R F2 R U'
U' F' L' R' F2 R U'
U' F' L' R2 F2 R U'
U' F' L' F2 R U' D
U' F' L' F2 R U' D'
U' F' L' F2 R U' D2
U' F' L' F2 R D U'
U' F' L' F2 R D' U'
U' F' L' F2 R D2 U'
U' F' L' F2 D R U'
U' F' L' F2 D' R U'
U' F' L' F2 D2 R U'
U' F' R L' F2 R U'
F' D F2 L U2 R2 F
F' D F2 L U2 F R2
F' D F2 L' B' U2 R2
U' F' R' L' F2 R U'
B' D F2 U' F' L' U'
F' D F2 U2 R' F' R'
B2 D F2 U' F' L' U'
U' F' R2 L' F2 R U'
U2 F' R' D F' R2 B
B D F2 U' F' L' U'
L F' U L B' U F2
F' D' L U2 F B2 R'
F' D' L U2 B2 R' F
F' D' L U2 B2 F R'
F2 D' U' F' L' U' B2
D F2 L U' F' U' F2
D F2 L U2 F D R2
D F2 L' B' U' F' U'
U2 F2 R' D' F' R B2
U2 F2 R' D' F' B2 R
U2 F2 R' D' B2 F' R
D2 F2 U' F' L' R2 U'
D2 F2 U' F' R2 L' U'
D' F2 U' F' L' U' B2
L F2 U L B' U F'
D F2 U' L F' L' U'
D F2 U' L' F' L' U'
D F2 U' L2 F' L' U'
D F2 U' D F' L' U'
D F2 U' D' F' L' U'
D F2 U' D2 F' L' U'
D F2 U' F' L' U' D
D F2 U' F' L' U' D'
D F2 U' F' L' U' D2
D F2 U' F' L' D U'
D F2 U' F' L' D' U'
D F2 U' F' L' D2 U'
D F2 U' F' D L' U'
D F2 U' F' D' L' U'
D F2 U' F' D2 L' U'
D F2 U2 R' D' F' R
D F2 D U' F' L' U'
D F2 D' U' F' L' U'
D F2 D2 U' F' L' U'
D F2 B U' F' L' U'
D F2 B' U' F' L' U'
F2 D2 U' F' L' R2 U'
F2 D2 U' F' R2 L' U'
D F2 B2 U' F' L' U'
U' B L2 F R B' U
U' B L2 F B' R U
U' B L2 B' F R U
U B L2 B' U2 L' U'
U2 B U' L2 B' R' U
L' B' L U L2 B' U
D B F2 U' F' L' U'
L' B' L' U B' U B
L' B' L2 U L B' U
U B' L2 R B' R2 U
U B' L2 R' D B' U
U B' L2 R' D' B' U
U B' L2 R' D2 B' U
U B' L2 R' B' U D
U B' L2 R' B' U D'
U B' L2 R' B' U D2
U B' L2 R' B' D U
U B' L2 R' B' D' U
U B' L2 R' B' D2 U
U B' L2 R2 B' R U
U B' L2 D R' B' U
U B' L2 D' R' B' U
U B' L2 D2 R' B' U
L2 B' R' U F2 L' F
U B' R L2 B' R2 U
L2 B' R' F2 U L' F
L' B' U L' B' U R'
U B' R' L2 D B' U
U B' R' L2 D' B' U
U B' R' L2 D2 B' U
U B' R' L2 B' U D
U B' R' L2 B' U D'
U B' R' L2 B' U D2
U B' R' L2 B' D U
U B' R' L2 B' D' U
U B' R' L2 B' D2 U
U B' R' B L2 B' U
L' B' U B' L' U R'
U B' R' B' L2 B' U
U B' R' B2 L2 B' U
U B' R2 L2 B' R U
L' B' U' F U' R B
U2 B' U' L2 B' R' U
L2 B' U2 L' U' F L
D B' F2 U' F' L' U'
U B2 L2 B R' B2 U
U B2 L2 B' U2 L U'
R B2 L2 B' U L' F
U2 B2 U' L2 B' R' U
D B2 F2 U' F' L' U'
