R' D B U B L
R D' F' U' F' L'
B' L' B' L R F' U'
B' L' B' R L F' U'
B' L' B' R F' L U'
B2 L' B' L2 R F' U'
B2 L' B' R L2 F' U'
B2 L' B' R F' L2 U'
B2 R L F' U' D' L2
B2 R L F' U2 F2 U
B2 R L F' D' U' L2
B2 R L F' D2 B2 U'
B' R L' F' B' L U'
B' R L' B' L F' U'
B2 R L' F' B' L2 U'
B' R L' B' F' L U'
B2 R L' B' L2 F' U'
B2 R L' B' F' L2 U'
U' R U2 R2 B U L
U2 R U2 R2 F' B U
U2 R U2 R2 B F' U
U' R D' F' U' L' F'
U2 R D' F' B U' F'
U2 R D' B F' U' F'
U' R D2 L2 F' U' L'
U2 R D2 L2 F' B U'
U2 R D2 L2 B F' U'
U' R D2 F' L2 U' L
U2 R D2 F' L2 B U'
U2 R D2 F' B L2 U'
U2 R D2 B L2 F' U'
U2 R D2 B F' L2 U'
B' R F' L' B' L U'
B2 R F' L U2 F U
B2 R F' L' B' L2 U'
U' R F' U' L' D' F2
U' R F' U' D' L' F2
U' R F' U2 R2 U L'
U' R F' D' U' L' F2
U' R F' D2 L2 U' L
U2 R F' U2 R2 F' U
U2 R F' D' B U' F2
U2 R F' D2 L2 B U'
U2 R F' D2 B L2 U'
U2 R F' B U' D' F2
U2 R F' B U2 R2 U
U2 R F' B D' U' F2
U2 R F' B D2 L2 U'
U2 R B U2 R2 B U
U2 R B D' F' U' F'
U2 R B D2 L2 F' U'
U2 R B D2 F' L2 U'
U2 R B F' U' D' F2
U2 R B F' U2 R2 U
U2 R B F' D' U' F2
U2 R B F' D2 L2 U'
F2 R' L F L2 B U
F2 R' L F B L2 U
F2 R' L B F L2 U
F R' L F L' B U
F R' L F B L' U
F R' L B F L' U
F2 R' L' B U D L2
F2 R' L' B U2 B2 U'
F2 R' L' B D U L2
F2 R' L' B D2 F2 U
U2 R' U2 R2 F' B U'
U2 R' U2 R2 B F' U'
U R' U2 R2 F' U' L'
U2 R' D F' B U B
U2 R' D B F' U B
U R' D B U L B
U2 R' D2 L2 F' B U
U2 R' D2 L2 B F' U
U2 R' D2 F' L2 B U
U2 R' D2 F' B L2 U
U R' D2 L2 B U L
U2 R' D2 B L2 F' U
U2 R' D2 B F' L2 U
U R' D2 B L2 U L'
U2 R' F' U2 R2 F' U'
U2 R' F' D B U B
R' U2 R B R F' U'
U2 R' F' D2 L2 B U
U2 R' F' D2 B L2 U
U2 R' F' B U D B2
U2 R' F' B U2 R2 U'
U2 R' F' B D U B2
U2 R' F' B D2 L2 U
F2 R' B L F L2 U
F2 R' B L' U2 B' U'
F R' B L F L' U
U2 R' B U2 R2 B U'
U2 R' B D F' U B2
U2 R' B D2 L2 F' U
R U2 R' F' R' B U
U2 R' B D2 F' L2 U
U2 R' B F' U D B2
U2 R' B F' U2 R2 U'
U2 R' B F' D U B2
U2 R' B F' D2 L2 U
U R' B U L D B2
U R' B U D L B2
U R' B U2 R2 U' L
U R' B D U L B2
U R' B D2 L2 U L'
R' D L F B U B
R' D L B F U B
F2 U L' R' B U L
R' D F B U B L
R' D F' B U B L
R' D F2 B U B L
R' D B L F U B
R' D B U L B L
R' D B U L' B L
R' D B U L2 B L
R' D B U D B L
R' D B U D' B L
R' D B U D2 B L
R' D B U B L D
R' D B U B L D'
R' D B U B L D2
R' D B U B D L
R' D B U B D' L
R' D B U B D2 L
F2 U R' L' B U L
R' D B D U B L
R' D B D' U B L
R' D B D2 U B L
R' D B F U B L
R' D B F' U B L
R' D B F2 U B L
F2 U R' B L' U L2
R D' L' F' B' U' F'
R D' L' B' F' U' F'
B2 U' L R F' U' L'
B2 U' R L F' U' L'
R D' F' L' B' U' F'
B2 U' R F' L U' L2
R D' F' U' L F' L'
R D' F' U' L' F' L'
R D' F' U' L2 F' L'
R D' F' U' D F' L'
R D' F' U' D' F' L'
R D' F' U' D2 F' L'
R D' F' U' F' L' D
R D' F' U' F' L' D'
R D' F' U' F' L' D2
R D' F' U' F' D L'
R D' F' U' F' D' L'
R D' F' U' F' D2 L'
R D' F' D U' F' L'
R D' F' D' U' F' L'
R D' F' D2 U' F' L'
R D' F' B U' F' L'
R D' F' B' U' F' L'
R D' F' B2 U' F' L'
R D' B F' U' F' L'
R' D2 L F L B U
R D' B' F' U' F' L'
R D' B2 F' U' F' L'
R D2 L' B' L' F' U'
B2 U2 L R F' B U'
B2 U2 L R B F' U'
F2 U2 L' R' F' B U
F2 U2 L' R' B F' U
B2 U2 R L F' B U'
B2 U2 R L B F' U'
R' D2 B L F L U
R D2 F' L' B' L' U'
B2 U2 R F' L B U'
F2 U2 R' L' F' B U
F2 U2 R' L' B F' U
B U2 R F' L' B U'
F' U2 R' F' B L U
B U2 R F' B L' U'
F' U2 R' B L F' U
F' U2 R' B F' L U
B U2 R B F' L' U'
F2 U2 R' B L' F' U
R' F D B U B L
L F D R' U B R'
F D R' U B L R'
F D R' U B R' L
R F' L U2 R2 F U
R F' L U2 F R2 U
R F' L D2 L2 B' U'
R F' L' D' B' U' F2
R F' L' D2 B' L2 U'
R F' L' B' U' D' F2
R F' L' B' U2 R2 U
R F' L' B' D' U' F2
R F' L' B' D2 L2 U'
U' F' R' B U L' B'
U2 F' R' F' L' B U
U2 F' R' F' B L' U
U2 F' R' B F' L' U
R2 F' R' F' L' B' U'
R F' U' D' F' L' F'
R' F' D B U B L
R F' U' F D' F2 L'
R F' U' F' L' D' F2
R F' U' F' D' L' F2
R F' U2 R' F' R' U
B' D' R U' F' L' R
B' D' R U' F' R L'
R F' D' L' B' U' F2
R F' D' U' F' L' F'
R F' D2 L' B' L' U'
U2 F2 L' R' F' B U
U2 F2 L' R' B F' U
L2 F2 L' R' F B U
L2 F2 L' R' B F U
R2 F2 L' R' F' B' U'
R2 F2 L' R' B' F' U'
L2 F2 L' F R' B U
U F2 L' R' B U L
L F2 L' F' R' B U
L2 F2 R' L' F B U
U2 F2 R' L' F' B U
U2 F2 R' L' B F' U
L2 F2 R' L' B F U
R2 F2 R' L' F' B' U'
R2 F2 R' L' B' F' U'
U2 F2 R' B L' F' U
L2 F2 R' B L' F U
U F2 R' L' B U L
U F2 R' B L' U L2
R' F2 D B U B L
R' B L D F U B2
R' B L D2 F L2 U
R' B L F U D B2
R' B L F U2 R2 U'
R' B L F D U B2
R' B L F D2 L2 U
R' B L' U2 R2 B' U'
R' B L' U2 B' R2 U'
R' B L' D2 L2 F U
U2 B R F' B L U'
U2 B R B L F' U'
U2 B R B F' L U'
R2 B R B L F U
U B R F' U' L F
R' B U D B L B
R' B U B L D B2
R' B U B D L B2
R' B U B' D B2 L
R' B U2 R B R U'
R' B D L F U B2
R' B D U B L B
R' B D2 L F L U
R B D' F' U' F' L'
L' B' D' R U' F' R
R B' D' F' U' F' L'
U' B2 L R F' U' L'
L2 B2 L R F' B' U'
L2 B2 L R B' F' U'
U2 B2 L R F' B U'
U2 B2 L R B F' U'
L' B2 L B R F' U'
R2 B2 L R F B U
R2 B2 L R B F U
L2 B2 L B' R F' U'
U' B2 R L F' U' L'
U' B2 R F' L U' L2
L2 B2 R L F' B' U'
L2 B2 R L B' F' U'
U2 B2 R L F' B U'
U2 B2 R L B F' U'
R2 B2 R L F B U
R2 B2 R L B F U
L2 B2 R F' L B' U'
U2 B2 R F' L B U'
R B2 D' F' U' F' L'
