B2 L' U' D2 B R'
B2 L' D2 U' B R'
B2 L' F' U' B R
F' D R F' B' L2
F' D R B' L2 F'
F' D R B' L2 F'
F' D R B' F' L2
F' D B' L2 R F'
F' D B' R L2 F'
F' D B' R F' L2
B2 D' L' F U' B
B2 D2 L' U' B R'
F' D R B' F' L2 D2
F' D R B2 L2 F' B
F' D R B2 L2 B F'
F' D R B2 F' L2 B
F' D U R F' B' L2
F' D U R B' L2 F'
F' D U R B' F' L2
L' F B2 U L' F U2
F' D U B' L2 R F'
F' D U B' R L2 F'
F' D U B' R F' L2
F' D U' R F' B' L2
F' D U' R B' L2 F'
F' D U' R B' F' L2
F' D U' B' L2 R F'
F' D U' B' R L2 F'
F' D U' B' R F' L2
F' D U2 R F' B' L2
F' D U2 R B' L2 F'
F' D U2 R B' F' L2
F' D U2 B' L2 R F'
F' D U2 B' R L2 F'
F' D U2 B' R F' L2
F' D B L2 R F' B2
F' D B L2 R B2 F'
F' D B L2 B2 R F'
F' D B R L2 F' B2
F' D B R L2 B2 F'
F' D B R F' L2 B2
F' D B R F' B2 L2
F' D B R B2 L2 F'
F' D B R B2 F' L2
F' D B' L R F' L
F' D B' L2 R D F'
F' D B' L2 R D' F'
F' D B' L2 R D2 F'
F' D B' L2 R F' D
F' D B' L2 R F' D'
F' D B' L2 R F' D2
F' D B' R L F' L
F' D B' R L2 D F'
F' D B' R L2 D' F'
F' D B' R L2 D2 F'
F' D B' R L2 F' D
F' D B' R L2 F' D'
F' D B' R L2 F' D2
F' D B' R F L2 F2
F' D B' R F' L2 D
F' D B' R F' L2 D'
F' D B' R F' L2 D2
F' D B2 L2 B R F'
U' F' D R F' B' L2
U' F' D R B' L2 F'
U' F' D R B' F' L2
R' F' D R F' B' L2
R' F' D R B' L2 F'
R' F' D R B' F' L2
B2 D' L' D F U' B
B2 D' L' D' F U' B
B2 D' L' D2 F U' B
B2 D' L' F U' D B
B2 D' L' F U' D' B
B2 D' L' F U' D2 B
B2 D' L' F U' B D
B2 D' L' F U' B D'
B2 D' L' F U' B D2
B2 D' L' F D U' B
B2 D' L' F D' U' B
B2 D' L' F D2 U' B
U' F' D B' L2 R F'
U' F' D B' R L2 F'
U' F' D B' R F' L2
R' F' D B' L2 R F'
R' F' D B' R L2 F'
R' F' D B' R F' L2
U2 F' D R F' B' L2
U2 F' D R B' L2 F'
U2 F' D R B' F' L2
R2 F' D R F' B' L2
R2 F' D R B' L2 F'
R2 F' D R B' F' L2
B D' L' F B R2 U'
U2 F' D B' L2 R F'
U2 F' D B' R L2 F'
U2 F' D B' R F' L2
B D' L' B R2 F U'
B D' L' B F R2 U'
R2 F' D B' L2 R F'
R2 F' D B' R L2 F'
R2 F' D B' R F' L2
U F' D R F' B' L2
U F' D R B' L2 F'
U F' D R B' F' L2
R F' D R F' B' L2
R F' D R B' L2 F'
R F' D R B' F' L2
F' D' R F2 B' L' F
F' D' R B' F2 L' F
U F' D B' L2 R F'
U F' D B' R L2 F'
U F' D B' R F' L2
R F' D B' L2 R F'
R F' D B' R L2 F'
R F' D B' R F' L2
B' D' U B' L' F U'
D2 F2 R U B R' B2
D2 F2 R B U R' B2
B' D' B' L' F U' B
F' D' B' R F2 L' F
B D' B L' R2 F U'
B D' B L' F R2 U'
B D' B R2 L' F U'
F' D' B' D2 L2 R F'
F' D' B' D2 R L2 F'
F' D' B' D2 R F' L2
B2 D2 L' U' B R' D
B2 D2 L' U' B R' D'
B2 D2 L' U' B R' D2
B2 D2 L' U' B D R'
B2 D2 L' U' B D' R'
B2 D2 L' U' B D2 R'
B2 D2 L' F U' B R'
B2 D2 L' F' U' B R'
B2 D2 L' F2 U' B R'
D2 F2 B R U R2 B2
D2 F2 B R U B2 R2
B2 D2 F U' B R' F'
L' B D2 B U' R' B
D2 B F2 R U R2 B2
D2 B F2 R U B2 R2
B2 F U L' B' U2 B2
B2 F' U' D B R F'
B2 F' U' B D R F'
B2 F' D U' B R F'
U' B2 L' U' D2 B R'
U' B2 L' D2 U' B R'
R' B2 L' U' D2 B R'
U' B2 L' F' U' B R
R' B2 L' D2 U' B R'
R' B2 L' F' U' B R
U2 B2 L' U' D2 B R'
U2 B2 L' D2 U' B R'
U2 B2 L' F' U' B R
R2 B2 L' U' D2 B R'
R2 B2 L' D2 U' B R'
R2 B2 L' F' U' B R
U B2 L' U' D2 B R'
U B2 L' D2 U' B R'
U B2 L' F' U' B R
R B2 L' U' D2 B R'
R B2 L' D2 U' B R'
R B2 L' F' U' B R
L' B2 U L' F L' U2
L' B2 U F L' F U2
L' B2 U' D2 R' B R'
L' B2 U' D2 B R' B
L' B2 D R F' R U'
U' B2 D' L' F U' B
L' B2 D F' R F' U'
R' B2 D' L' F U' B
F' B2 U' D B R F'
F' B2 U' B D R F'
U' B2 D2 L' U' B R'
F B2 U L' B' U2 B2
R' B2 D2 L' U' B R'
U2 B2 D' L' F U' B
L' B2 D2 R' U' B R'
R2 B2 D' L' F U' B
L' B2 D2 U' R' B R'
L' B2 D2 U' B R' B
U2 B2 D2 L' U' B R'
F' B2 D U' B R F'
U B2 D' L' F U' B
R2 B2 D2 L' U' B R'
L' B2 F U L' F U2
R B2 D' L' F U' B
U B2 D2 L' U' B R'
R B2 D2 L' U' B R'
