F L U L2 R B'
F L U L2 B' R
F L U R L2 B'
D' L' F U R B'
D' L' F U B' R
F L2 U L R B'
F L2 U L B' R
F L2 U R L B'
L' F U R B' L'
L' F U B' L' R
L' F U B' R L'
F R B2 L' D B' F2
F R B2 L' B' D F2
F R2 L' D' R' F2 B'
F R2 L' D' R' B' F2
F R2 L' D' F2 R' B'
F R2 D' L' R' F2 B'
F R2 D' L' R' B' F2
F R2 D' L' F2 R' B'
F R2 D' R' L' F2 B'
F R2 D' R' L' B' F2
F U L' B' R D B2
F U R B L' D' B2
F U B L' R D' B2
F U B L' D' R B2
F U B L' D' B2 R
F U B R L' D' B2
F U B' L' R D B2
F U B' R L' D B2
F U B' R D L' B2
F U B' R D B2 L'
L' D2 F U R B' L
L' D2 F U B' L R
L' D2 F U B' R L
F U2 R' U' L' R2 B
F U2 R' U' R2 L' B
F U2 R' U' R2 B L'
F U2 R2 U' L' R' B
F U2 R2 U' R' L' B
F U2 R2 U' R' B L'
L2 F L U R B' L2
L2 F L U B' L2 R
L2 F L U B' R L2
D2 F L' U R B' L
D2 F L' U B' L R
D2 F L' U B' R L
R' F L' D R F' B'
R' F L' D R B' F'
R' F L' D B' R F'
R' F L' B' D R F'
R2 F L' D' R F2 B'
R2 F L' D' R B' F2
R2 F L' D' B' R F2
R2 F L' B' D' R F2
R F L' R D' F2 B'
R F L' R D' B' F2
R F L' R B' D' F2
R' F R D' L' F B'
R' F R D' L' B' F
R F L' B' D' R F'
L' F R B' D L' F
R F R L' D' F2 B'
R F R L' D' B' F2
R F R L' B' D' F2
R F R D' L' F2 B'
R F R D' L' B' F2
L' F U R D B' L'
L' F U R D' B' L'
L' F U R D2 B' L'
L' F U R B L' B2
L' F U R B' L' D
L' F U R B' L' D'
L' F U R B' L' D2
L' F U R B' D L'
L' F U R B' D' L'
L' F U R B' D2 L'
L' F U R B2 L' B
L' F U R' B' L' R2
L' F U R' B' R2 L'
L' F U D R B' L'
L' F U D B' L' R
L' F U D B' R L'
L' F U D' R B' L'
L' F U D' B' L' R
L' F U D' B' R L'
L' F U D2 R B' L'
L2 F U L R B' L2
L' F U D2 B' L' R
L' F U D2 B' R L'
L2 F U L B' L2 R
L2 F U L B' R L2
L2 F U R L B' L2
L' F U B L' R B2
L' F U B L' B2 R
L' F U B R L' B2
L' F U B R B2 L'
L' F U B' L' R D
L' F U B' L' R D'
L' F U B' L' R D2
L' F U B' L' D R
L' F U B' L' D' R
L' F U B' L' D2 R
L' F U B' R L' D
L' F U B' R L' D'
L' F U B' R L' D2
L' F U B' R D L'
L' F U B' R D' L'
L' F U B' R D2 L'
L' F U B' D L' R
L' F U B' D R L'
L' F U B' D' L' R
L' F U B' D' R L'
L' F U B' D2 L' R
L' F U B' D2 R L'
L' F U B2 L' B R
R' F D L' R F' B'
R' F D L' R B' F'
R' F D L' B' R F'
R' F D R L' F' B'
R' F D R L' B' F'
F D L U L2 R B'
F D L U L2 B' R
F D L U R L2 B'
L' F D U R B' L'
L' F D U B' L' R
L' F D U B' R L'
R' F D' L' R F B'
R' F D' L' R B' F
R' F D' L' B' R F
R' F D' R L' F B'
R' F D' R L' B' F
L' F D' U R B' L'
L' F D' U B' L' R
L' F D' U B' R L'
R2 F D' L' R F2 B'
R2 F D' L' R B' F2
R2 F D' L' B' R F2
R2 F D' R L' F2 B'
R2 F D' R L' B' F2
F D L2 U L R B'
F D L2 U L B' R
F D L2 U R L B'
L' F D2 U R B' L'
L' F D2 U B' L' R
L' F D2 U B' R L'
L' F B U L' R B2
L' F B U L' B2 R
L' F B U R L' B2
L' F B U R B2 L'
L' F B U B2 L' R
L' F B U B2 R L'
L' F B2 U L' B R
L' F B2 U B L' R
L' F B2 U B R L'
U' F' R U L' B U
U' F' R U B L' U
L2 F' U' L' R F U2
L2 F' U' R L' F U2
L F' U' L' R F2 U2
L F' U' L' F2 U2 L'
B' D' L' F U R B'
B' D' L' F U B' R
L F' U' R L' F2 U2
L F' U' R F2 U2 R
F D' L U L2 R B'
F D' L U L2 B' R
F D' L U R L2 B'
B2 D' L' F U R B'
B2 D' L' F U B' R
L F' U' F2 U2 L' R
L F' U' F2 U2 R L'
B D' L' F U R B'
B D' L' F U B' R
F D' L2 U L R B'
F D' L2 U L B' R
F D' L2 U R L B'
R2 F' D' F2 L' R B'
R2 F' D' F2 L' B' R
R2 F' D' F2 R L' B'
F D2 L U L2 R B'
F D2 L U L2 B' R
F D2 L U R L2 B'
F D2 L2 U L R B'
F D2 L2 U L B' R
F D2 L2 U R L B'
D' B L' F U R B'
D' B L' F U B' R
B' F L U L2 R B'
B' F L U L2 B' R
B' F L U R L2 B'
B2 F L U L2 R B'
B2 F L U L2 B' R
B2 F L U R L2 B'
B F L U L2 R B'
B F L U L2 B' R
B F L U R L2 B'
B' F L2 U L R B'
B' F L2 U L B' R
B' F L2 U R L B'
F B L U L2 R B'
F B L U L2 B' R
F B L U R L2 B'
B2 F L2 U L R B'
B2 F L2 U L B' R
B2 F L2 U R L B'
B F L2 U L R B'
B F L2 U L B' R
B F L2 U R L B'
F B L2 U L R B'
F B L2 U L B' R
F B L2 U R L B'
L' B F U L' R B2
L' B F U L' B2 R
L' B F U R L' B2
L' B F U R B2 L'
L' B F U B2 L' R
L' B F U B2 R L'
D' B' L' F U R B'
D' B' L' F U B' R
F B' L U L2 R B'
F B' L U L2 B' R
F B' L U R L2 B'
F B' L2 U L R B'
F B' L2 U L B' R
F B' L2 U R L B'
D' B2 L' F U R B'
D' B2 L' F U B' R
F B2 L U L2 R B'
F B2 L U L2 B' R
F B2 L U R L2 B'
F B2 L2 U L R B'
F B2 L2 U L B' R
F B2 L2 U R L B'
L' B2 F U L' B R
L' B2 F U B L' R
L' B2 F U B R L'
