F' L' U' L B2 U'
F' L' U' L B2 U'
U' R2 D L2 B R'
U' R2 D B L2 R'
U' R2 D B R' L2
B2 R2 F U' B R
B2 U' R2 D B R'
R2 F B2 U' R B'
R2 F B2 U' B' R
F D R2 U' L2 R'
F D R2 U' R' L2
B2 F U F2 L' U2
B2 F U' R D2 B2
B2 F U' D2 R B2
B2 F U' D2 B2 R
B2 F D R2 U' R'
B2 F D2 U' R B2
B2 F D2 U' B2 R
B2 F2 U F L' U2
F2 B2 U F L' U2
F B2 U F2 L' U2
F B2 U' R D2 B2
F B2 U' D2 R B2
F B2 U' D2 B2 R
R2 B2 F U' R B'
R2 B2 F U' B' R
F B2 D R2 U' R'
F B2 D2 U' R B2
F B2 D2 U' B2 R
B2 R2 D F U' B R
F R2 D R2 U' L2 R
F R2 D R2 U' R L2
B2 R2 D' F U' B R
B2 R2 D2 F U' B R
B2 R2 F U' D B R
B2 R2 F U' D' B R
B2 R2 F U' D2 B R
B2 R2 F U' B R D
B2 R2 F U' B R D'
B2 R2 F U' B R D2
B2 R2 F U' B D R
B2 R2 F U' B D' R
B2 R2 F U' B D2 R
B2 R2 F U' B' R B2
B2 R2 F U' B2 R B'
B2 R2 F D U' B R
B' R2 F B' U' R B2
B' R2 F B' U' B2 R
B2 R2 F D' U' B R
B2 R2 F D2 U' B R
D R2 F U' L2 B R
D R2 F U' B L2 R
D R2 F U' B R L2
B2 R2 F' U L' U2 B
B2 R2 F2 U' D2 B R'
B2 R2 F2 D2 U' B R'
B' R2 B' F U' R B2
B' R2 B' F U' B2 R
F2 R2 B2 U F L' U2
F R2 B2 U L F2 U2
F R2 B2 U F2 L U2
F R2 B2 U' D2 B2 R'
F R2 B2 D2 U' B2 R'
B2 U L F' U' F2 U'
B2 U L F' U2 D R2
B2 U L F' D U2 R2
B2 U L F' D' L2 U2
L2 D U2 F2 L2 B' R'
F' U L' U' B2 R' U'
L2 D F R F L2 B'
B2 U L' F' U B' U
U' D L2 R2 D B R'
R2 D F U' L2 B R
R2 D F U' B L2 R
R2 D F U' B R L2
B2 U L2 D F' U2 R
L2 D F' L' U2 L' F'
U' D R2 L2 D B R'
F2 U F L' U' B2 U'
F2 U F L' U2 D L2
F2 U F L' D U2 L2
F2 U F L' D' R2 U2
F2 U F D L' U2 L'
F2 U F D' L' R2 U2
F2 U F D' R2 L' U2
B2 U F' L U' F U'
B2 U F' L' U B' U
B2 U F' U B' U R'
B2 U F' U' F U' R
F U F2 L' U' B2 U'
F U F2 L' U2 D L2
F U F2 L' D U2 L2
F U F2 L' D' R2 U2
F U F2 D L' U2 L'
F U F2 D' L' R2 U2
F U F2 D' R2 L' U2
L2 D' R2 B2 U2 B' R'
D U' L2 R2 D B R'
L2 D' F' L' R2 B2 U2
L2 D' F' L' B2 R2 U2
L2 D' F' R2 L' B2 U2
L2 D' F' R2 B2 L' U2
L2 D' F' B2 L' R2 U2
L2 D' F' B2 R2 L' U2
B2 U' R U' B L U
D U' R2 L2 D B R'
F U' R D L2 D B2
F U' R D2 B2 D' L2
F' U' R2 D L2 B2 R'
B2 U' R2 D B R' D
B2 U' R2 D B R' D'
B2 U' R2 D B R' D2
B2 U' R2 D B D R'
B2 U' R2 D B D' R'
B2 U' R2 D B D2 R'
B2 U' D R2 D B R'
L2 D' B2 F' L' R2 U2
B2 U' D' R2 D B R'
L2 D' B2 F' R2 L' U2
F U' D L2 D R B2
F U' D L2 D B2 R
B2 U' D2 R2 D B R'
F U' D2 R B2 D' L2
F U' D2 B2 R D' L2
F U' D2 B2 D' L2 R
F U' D2 B2 D' R L2
F' U' F2 B2 U' R F2
B2 U' B R2 D B R'
B2 U' B' R2 D B R'
B2 U' B2 R2 D B R'
F' U' B2 F2 U' R F2
R' F R' B2 U' R2 B'
R' F R' B2 U' B' R2
B2 U2 B U' L F' U2
B2 U2 B U' F' L U2
B2 U2 B' U R2 B R
D' F U R2 F2 U2 R'
B2 U2 B' U' F' U2 R'
D' F U F2 L' R2 U2
D' F U F2 R2 L' U2
R F R' B2 U' R2 B
B2 U2 B2 U R2 B R'
D' F U' D2 L2 R B2
D' F U' D2 L2 B2 R
D' F U' D2 R L2 B2
D' F U' D2 R B2 L2
D' F U' D2 B2 L2 R
D' F U' D2 B2 R L2
D F U F2 L' U2 L'
D F U' L2 R D2 B2
R2 F U' D L2 B R
D F U' L2 D2 R B2
D F U' L2 D2 B2 R
R2 F U' D B L2 R
R2 F U' D B R L2
D F U' R L2 D2 B2
F' D L' U' L U' L2
F' D L' U2 L' D F2
D' F D B2 R2 U' R'
R2 F D U' L2 B R
R2 F D U' B L2 R
R2 F D U' B R L2
D' F D2 U' L2 R B2
D' F D2 U' L2 B2 R
D' F D2 U' R L2 B2
D' F D2 U' R B2 L2
D' F D2 U' B2 L2 R
D' F D2 U' B2 R L2
F D L2 D R F2 B2
F D L2 D R B2 F2
F D L2 D B2 R F2
F2 D R2 U' L2 B' R'
B2 D R2 F U' B R
R' F B2 R' U' B R2
R' F B2 U' R' B R2
F D R2 U' L2 R' D
F D R2 U' L2 R' D'
F D R2 U' L2 R' D2
F D R2 U' L2 D R'
F D R2 U' L2 D' R'
F D R2 U' L2 D2 R'
F D R2 U' R' L2 D
F D R2 U' R' L2 D'
F D R2 U' R' L2 D2
F D R2 F U' L2 R'
F D R2 F U' R' L2
F D R2 F' U' L2 R'
F D R2 F' U' R' L2
F D R2 F2 U' L2 R'
F D R2 F2 U' R' L2
R2 F B2 R' U' R2 B'
R2 F B2 R' U' B' R2
B2 D U' R2 D B R'
R2 F B2 R2 U' R' B'
R2 F B2 U' R D B'
R2 F B2 U' R D' B'
R2 F B2 U' R D2 B'
R2 F B2 U' R B' D
R2 F B2 U' R B' D'
R2 F B2 U' R B' D2
R2 F B2 U' R' B' R2
R2 F B2 U' D R B'
R2 F B2 U' D B' R
R2 F B2 U' D' R B'
R2 F B2 U' D' B' R
R2 F B2 U' D2 R B'
R2 F B2 U' D2 B' R
R2 F B2 U' B R B2
R2 F B2 U' B' R D
R2 F B2 U' B' R D'
R2 F B2 U' B' R D2
R2 F B2 U' B' D R
R2 F B2 U' B' D' R
R2 F B2 U' B' D2 R
R2 F B2 D U' R B'
R2 F B2 D U' B' R
R2 F B2 D' U' R B'
R2 F B2 D' U' B' R
R2 F B2 D2 U' R B'
R2 F B2 D2 U' B' R
D' F' L' R2 U' L U'
L' F' L' U' L2 B2 U'
L' F' L' U' B2 L2 U'
L' F' L' U2 D L2 F2
L' F' L' U2 D F2 L2
R F B2 R' U' R2 B
L' F' L' D U2 L2 F2
L' F' L' D U2 F2 L2
R F B2 R2 U' R' B
L' F' L' D' R2 B2 U2
L' F' L' D' B2 R2 U2
F D U' L2 D R B2
F D U' L2 D B2 R
L2 F' L' U' L' B2 U'
L2 F' L' U' B2 L' U'
U F' L U' F B2 U'
U F' L U' B2 F U'
B2 D F U F2 L' U2
B2 D F U' R D2 B2
B2 D F U' D2 R B2
B2 D F U' D2 B2 R
B2 D F D R2 U' R'
D F' L' U' L U' L2
D F' L' U2 L' D F2
B2 D F D2 U' R B2
B2 D F D2 U' B2 R
B2 D F2 U F L' U2
D' F' R2 L' U' L U'
F D B R2 U' L2 R'
F D B R2 U' R' L2
F D B' R2 U' L2 R'
F D B' R2 U' R' L2
L2 F' U' L2 B2 U' R'
F D B2 R2 U' L2 R'
F D B2 R2 U' R' L2
F' D' L' R2 U' L U'
L2 F' U2 D F2 L2 R
L2 F' U2 D F2 R L2
U F' U' F B2 U' R
L2 F' D L' U2 L' F2
U F' U' B2 F U' R
L2 F' D U2 F2 L2 R
L2 F' D U2 F2 R L2
L2 F' D' L' R2 B2 U2
L2 F' D' L' B2 R2 U2
L2 F' D' R2 L' B2 U2
L2 F' D' R2 B2 L' U2
L2 F' D' B2 L' R2 U2
L2 F' D' B2 R2 L' U2
L F' D' L' R2 U2 F
L F' D' R2 L' U2 F
F' D' R2 L' U' L U'
B2 D' R2 F U' B R
B2 D' U' R2 D B R'
B2 D' F U F2 L' U2
B2 D' F U' R D2 B2
B2 D' F U' D2 R B2
B2 D' F U' D2 B2 R
B2 D' F D R2 U' R'
B2 D' F D2 U' R B2
B2 D' F D2 U' B2 R
B2 D' F2 U F L' U2
D' F2 U R2 F L' U2
D2 F2 U F L' U2 L
D' F2 U F L' R2 U2
D' F2 U F R2 L' U2
D2 F2 U' F L' U2 F'
D F2 U F L' U2 L'
B2 D2 R2 F U' B R
B2 D2 U' R2 D B R'
F D2 U' R B2 D' L2
B2 D2 F U F2 L' U2
B2 D2 F U' R D2 B2
B2 D2 F U' D2 R B2
B2 D2 F U' D2 B2 R
F D2 U' B2 R D' L2
F D2 U' B2 D' L2 R
F D2 U' B2 D' R L2
B2 D2 F D R2 U' R'
B2 D2 F D2 U' R B2
B2 D2 F D2 U' B2 R
B2 D2 F2 U F L' U2
F' B L' U' L B U'
B2 F R D R2 U' R2
B2 F R' U F2 U2 R2
B2 F R' U' R2 D2 B2
B2 F R' F' U' R2 B
B2 F R2 U F2 U2 R'
B2 F R2 U' R' D2 B2
B2 F R2 U' D2 R' B2
B2 F R2 D R2 U' R
B2 F R2 D2 U' R' B2
B2 F U L F2 L' U2
B2 F U L' F2 L' U2
B2 F U L2 F2 L' U2
B2 F U F2 L' U2 D
B2 F U F2 L' U2 D'
B2 F U F2 L' U2 D2
B2 F U F2 L' D U2
B2 F U F2 L' D' U2
B2 F U F2 L' D2 U2
B2 F U F2 D L' U2
B2 F U F2 D' L' U2
B2 F U F2 D2 L' U2
B2 F U' R U2 F2 U2
B2 F U' R D2 B2 D
B2 F U' R D2 B2 D'
B2 F U' R D2 B2 D2
B2 F U' R B D2 B2
B2 F U' R B' D2 B2
B2 F U' R B2 D2 B2
B2 F U' R2 D2 R' B2
B2 F U' D' R D' B2
B2 F U' D2 R B2 D
B2 F U' D2 R B2 D'
B2 F U' D2 R B2 D2
B2 F U' D2 R' B2 R2
B2 F U' D2 B' R B'
B2 F U' D2 B2 R D
B2 F U' D2 B2 R D'
B2 F U' D2 B2 R D2
B2 F U' D2 B2 D R
B2 F U' D2 B2 D' R
B2 F U' D2 B2 D2 R
B2 F U' B R D2 B2
B2 F U' B D2 R B2
B2 F U' B D2 B2 R
B2 F U' B' R D2 B2
B2 F U' B' D2 R B2
B2 F U' B' D2 B2 R
B2 F U' B2 R D2 B2
B2 F U' B2 D2 R B2
B2 F U' B2 D2 B2 R
B2 F U2 D' L2 U R
B' F D B' R2 U' R'
B2 F D R2 U' R' D
B2 F D R2 U' R' D'
B2 F D R2 U' R' D2
B2 F D R2 U' D R'
B2 F D R2 U' D' R'
B2 F D R2 U' D2 R'
B2 F D R2 D U' R'
B2 F D R2 D' U' R'
B2 F D R2 D2 U' R'
B2 F D R2 F U' R'
B2 F D R2 F' U' R'
B2 F D R2 F2 U' R'
B2 F D' U' R D' B2
B2 F D' U2 L2 U R
B F D B R2 U' R'
B2 F D2 R' U' R2 B2
B2 F D2 R' U' B2 R2
B' F D2 B' U' R B'
B' F D2 B' U' B' R
F B D B R2 U' R'
B2 F D2 R2 U' R' B2
B2 F D2 U' R B2 D
B2 F D2 U' R B2 D'
B2 F D2 U' R B2 D2
B2 F D2 U' R' B2 R2
B2 F D2 U' B' R B'
B2 F D2 U' B2 R D
B2 F D2 U' B2 R D'
B2 F D2 U' B2 R D2
B2 F D2 U' B2 D R
B2 F D2 U' B2 D' R
B2 F D2 U' B2 D2 R
B' F' L' U' L B' U'
B F D2 B U' B R
F' B' L' U' L B' U'
B2 F' L' U' L U' L'
F B D2 B U' B R
B F' L' U' L B U'
B2 F' U L' U L U
F B' D B' R2 U' R'
F' B2 L' U' L U' L'
F B' D2 B' U' R B'
F B' D2 B' U' B' R
R' B2 R' F U' B R
R2 B2 R F U' R B'
R2 B2 R F U' B' R
R2 B2 R' F U' R B'
R2 B2 R' F U' B' R
B2 F2 R U F L' U2
F2 B2 R U F L' U2
R B2 R F U' B R
R2 B2 R2 F U' R B'
R2 B2 R2 F U' B' R
B2 F2 R' U F L' U2
F2 B2 R' U F L' U2
F B2 R D R2 U' R2
B2 F2 R2 U F L' U2
F2 B2 R2 U F L' U2
R2 B2 U' R B' D' R2
R' B2 U2 B' U R' B
F B2 R' U F2 U2 R2
F' B2 U L' U L U
F B2 R' U' R2 D2 B2
F B2 R' F' U' R2 B
B2 F2 U F L' U2 D
B2 F2 U F L' U2 D'
B2 F2 U F L' U2 D2
B2 F2 U F L' D U2
B2 F2 U F L' D' U2
B2 F2 U F L' D2 U2
B2 F2 U F D L' U2
B2 F2 U F D' L' U2
B2 F2 U F D2 L' U2
F2 B2 U F L' U2 D
F2 B2 U F L' U2 D'
F2 B2 U F L' U2 D2
F2 B2 U F L' D U2
F2 B2 U F L' D' U2
F2 B2 U F L' D2 U2
F2 B2 U F D L' U2
F2 B2 U F D' L' U2
F2 B2 U F D2 L' U2
F B2 R2 U F2 U2 R'
F B2 R2 U' R' D2 B2
F B2 R2 U' D2 R' B2
F B2 R2 D R2 U' R
F B2 R2 D2 U' R' B2
R2 B2 U2 B U B2 R'
R2 B2 U2 B2 U B R'
F B2 U L F2 L' U2
F B2 U L' F2 L' U2
F B2 U L2 F2 L' U2
R2 B2 D F U' R B'
R2 B2 D F U' B' R
F B2 U F2 L' U2 D
F B2 U F2 L' U2 D'
F B2 U F2 L' U2 D2
F B2 U F2 L' D U2
F B2 U F2 L' D' U2
F B2 U F2 L' D2 U2
F B2 U F2 D L' U2
F B2 U F2 D' L' U2
F B2 U F2 D2 L' U2
F B2 U' R U2 F2 U2
F B2 U' R D2 B2 D
F B2 U' R D2 B2 D'
F B2 U' R D2 B2 D2
F B2 U' R B D2 B2
F B2 U' R B' D2 B2
F B2 U' R B2 D2 B2
F B2 U' R2 D2 R' B2
R2 B2 D' F U' R B'
R2 B2 D' F U' B' R
F B2 U' D' R D' B2
R' B2 F R' U' B R2
F B2 U' D2 R B2 D
F B2 U' D2 R B2 D'
F B2 U' D2 R B2 D2
F B2 U' D2 R' B2 R2
F B2 U' D2 B' R B'
F B2 U' D2 B2 R D
F B2 U' D2 B2 R D'
F B2 U' D2 B2 R D2
F B2 U' D2 B2 D R
F B2 U' D2 B2 D' R
F B2 U' D2 B2 D2 R
R' B2 F U' R' B R2
F B2 U' B R D2 B2
F B2 U' B D2 R B2
F B2 U' B D2 B2 R
F B2 U' B' R D2 B2
F B2 U' B' D2 R B2
F B2 U' B' D2 B2 R
F B2 U' B2 R D2 B2
F B2 U' B2 D2 R B2
F B2 U' B2 D2 B2 R
R2 B2 D2 F U' R B'
R2 B2 D2 F U' B' R
F B2 U2 D' L2 U R
R2 B2 F R' U' R2 B'
R2 B2 F R' U' B' R2
R2 B2 F R2 U' R' B'
R2 B2 F U' R D B'
R2 B2 F U' R D' B'
R2 B2 F U' R D2 B'
R2 B2 F U' R B' D
R2 B2 F U' R B' D'
R2 B2 F U' R B' D2
R2 B2 F U' R' B' R2
R2 B2 F U' D R B'
R2 B2 F U' D B' R
R2 B2 F U' D' R B'
R2 B2 F U' D' B' R
R2 B2 F U' D2 R B'
R2 B2 F U' D2 B' R
R2 B2 F U' B R B2
R2 B2 F U' B' R D
R2 B2 F U' B' R D'
R2 B2 F U' B' R D2
R2 B2 F U' B' D R
R2 B2 F U' B' D' R
R2 B2 F U' B' D2 R
F B2 D R2 U' R' D
F B2 D R2 U' R' D'
F B2 D R2 U' R' D2
F B2 D R2 U' D R'
F B2 D R2 U' D' R'
F B2 D R2 U' D2 R'
F B2 D R2 D U' R'
F B2 D R2 D' U' R'
F B2 D R2 D2 U' R'
F B2 D R2 F U' R'
F B2 D R2 F' U' R'
F B2 D R2 F2 U' R'
R2 B2 F D U' R B'
R2 B2 F D U' B' R
R2 B2 F D' U' R B'
R2 B2 F D' U' B' R
R2 B2 F D2 U' R B'
R2 B2 F D2 U' B' R
F B2 D' U' R D' B2
R B2 F R' U' R2 B
F B2 D' U2 L2 U R
R B2 F R2 U' R' B
F B2 D2 R' U' R2 B2
F B2 D2 R' U' B2 R2
F B2 D2 R2 U' R' B2
F B2 D2 U' R B2 D
F B2 D2 U' R B2 D'
F B2 D2 U' R B2 D2
F B2 D2 U' R' B2 R2
F B2 D2 U' B' R B'
F B2 D2 U' B2 R D
F B2 D2 U' B2 R D'
F B2 D2 U' B2 R D2
F B2 D2 U' B2 D R
F B2 D2 U' B2 D' R
F B2 D2 U' B2 D2 R
