L2 R D' F U' L2
L2 R D2 F B2 U'
L2 R D2 B2 F U'
L2 R F U2 F U
F2 L' U2 L' F U'
B' L' F2 L' R U
B' L' F2 R L' U
R L2 D' F U' L2
R L2 D2 F B2 U'
R L2 D2 B2 F U'
R L2 F U2 F U
R L2 F U2 F U
L2 D' R F U' L2
L2 D2 R F B2 U'
L2 D2 R B2 F U'
L2 D2 B2 R F U'
R F L2 F B' U'
R F L2 B' F U'
L2 F U2 F L' U
F2 D B' L' U F2
F2 D2 R2 B' L' U
F2 D2 B' L' R2 U
F2 D2 B' R2 L' U
F2 B' L' U2 L' U'
F2 B' D L' U F2
F2 B' D2 L' R2 U
F2 B' D2 R2 L' U
B' F2 L' U2 L' U'
B' F2 D L' U F2
B' F2 D2 L' R2 U
B' F2 D2 R2 L' U
R' F2 D2 R2 B' L2 U
U' F2 D2 B' L' R2 U
U' F2 D2 B' R2 L' U
R' F2 D2 B' L2 R2 U
R' F2 D2 B' R2 L2 U
U F2 D B' L' U F2
F2 D2 R B' L' R U
F2 D2 R B' R L' U
U2 F2 D2 R2 B' L' U
U' F2 B' L' U2 L' U'
B D2 R F2 L' B2 U'
U2 F2 D2 B' L' R2 U
U2 F2 D2 B' R2 L' U
B D2 R F2 B2 L' U'
B' D2 R2 U2 R' B2 U'
B D2 R B2 F2 L' U'
D' F2 B' L' U L' F
U' F2 B' D L' U F2
R' F2 B' U D F2 B2
R' F2 B' U D B2 F2
U' F2 B' D2 L' R2 U
R' F2 B' U2 L2 R2 U'
U' F2 B' D2 R2 L' U
R' F2 B' U2 R2 L2 U'
R' F2 B' D U F2 B2
R' F2 B' D U B2 F2
U F2 D2 R2 B' L' U
R' F2 B' D2 L2 R2 U
R' F2 B' D2 R2 L2 U
F2 D2 R2 D B' L' U
F2 D2 R2 D' B' L' U
F2 D2 R2 D2 B' L' U
U2 F2 B' L' U2 L' U'
F2 D2 R2 B L' B2 U
U F2 D2 B' L' R2 U
U F2 D2 B' R2 L' U
F2 D2 R2 B' L' U D
F2 D2 R2 B' L' U D'
F2 D2 R2 B' L' U D2
F2 D2 R2 B' L' D U
F2 D2 R2 B' L' D' U
F2 D2 R2 B' L' D2 U
F2 D2 R2 B' D L' U
F2 D2 R2 B' D' L' U
F2 D2 R2 B' D2 L' U
F2 D2 R2 B2 L' B U
U2 F2 B' D L' U F2
U2 F2 B' D2 L' R2 U
U2 F2 B' D2 R2 L' U
U F2 B' L' U2 L' U'
L F2 B' L' B' R' U
F D2 R2 F B' L U
F D2 R2 B' F L U
U F2 B' D L' U F2
U F2 B' D2 L' R2 U
U F2 B' D2 R2 L' U
L F2 B2 L' R' B' U
L F2 B2 R' L' B' U
F' D2 F' R2 B' L' U
F' D2 F' B' L' R2 U
F' D2 F' B' R2 L' U
F D2 F R2 B' L U
F D2 F B' L R2 U
F D2 F B' R2 L U
L2 B R D' F U' L2
L2 B R D2 F B2 U'
L2 B R D2 B2 F U'
L2 B R F U2 F U
R B L2 U' D' L2 R2
R B L2 U' D' R2 L2
R B L2 U2 F2 B2 U
R B L2 U2 B2 F2 U
R B L2 D' U' L2 R2
R B L2 D' U' R2 L2
R B L2 D2 F2 B2 U'
R B L2 D2 B2 F2 U'
F2 D2 B L' R2 B2 U
F2 D2 B L' B2 R2 U
F2 D2 B R2 L' B2 U
F2 D2 B R2 B2 L' U
D2 B R2 F' B2 L U
D2 B R2 B2 L F' U
D2 B R2 B2 F' L U
F2 D2 B' L' R2 U D
F2 D2 B' L' R2 U D'
F2 D2 B' L' R2 U D2
F2 D2 B' L' R2 D U
F2 D2 B' L' R2 D' U
F2 D2 B' L' R2 D2 U
F2 D2 B' L' U D' F2
F2 D2 B' L' D' U F2
F2 D2 B' R2 L' U D
F2 D2 B' R2 L' U D'
F2 D2 B' R2 L' U D2
F2 D2 B' R2 L' D U
F2 D2 B' R2 L' D' U
F2 D2 B' R2 L' D2 U
F2 D2 B' R2 D L' U
F2 D2 B' R2 D' L' U
F2 D2 B' R2 D2 L' U
F' D2 B' F' L' R2 U
F' D2 B' F' R2 L' U
F2 D2 B' D' L' U F2
F2 D2 B2 L' B R2 U
F D2 B' R2 F L U
B D2 B2 R F2 L' U'
F D2 B' F L R2 U
F D2 B' F R2 L U
F2 B L B2 L2 R' U
F2 B L B2 R' L2 U
F2 B L' B2 U2 L' U'
L2 B D' R F U' L2
L2 B D2 R F B2 U'
L2 B D2 R B2 F U'
L2 B D2 B2 R F U'
L2 B F U2 F L' U
U' B' L' F2 L' R U
U' B' L' F2 R L' U
U2 B' L' F2 L' R U
U2 B' L' F2 R L' U
F2 B D L' U F2 R
U B' L' F2 L' R U
U B' L' F2 R L' U
L2 B' R D' F U' L2
L2 B' R D2 F B2 U'
L2 B' R D2 B2 F U'
L2 B' R F U2 F U
D2 B' R2 U2 R' B' U'
F2 B' L' R U2 L' U'
F2 B' L' R' U2 L' U'
F2 B' L' R2 U2 L' U'
F2 B' L' U2 L' U' D
F2 B' L' U2 L' U' D'
F2 B' L' U2 L' U' D2
F2 B' L' U2 L' D U'
F2 B' L' U2 L' D' U'
F2 B' L' U2 L' D2 U'
F2 B' L' U2 D L' U'
F2 B' L' U2 D' L' U'
F2 B' L' U2 D2 L' U'
F2 B' L' D U2 L' U'
F2 B' L' D' U2 L' U'
F2 B' L' D2 U2 L' U'
F2 B' L' F2 R F2 U
D' B' U2 R U' L2 F
F2 B' R L' U2 L' U'
F2 B' R D L' U F2
F2 B' R D2 L' R2 U
F2 B' R D2 R2 L' U
F2 B' R' L' U2 L' U'
D B' U2 R U' F2 L'
F2 B' R' D L' U F2
F2 B' R' D2 L' R2 U
F2 B' R' D2 R2 L' U
F2 B' R2 L' U2 L' U'
F2 B' R2 D L' U F2
L2 B' D' R F U' L2
F2 B' R2 D2 L' R2 U
F2 B' R2 D2 R2 L' U
L2 B' D2 R F B2 U'
L2 B' D2 R B2 F U'
L2 B' D2 B2 R F U'
U' B' F2 L' U2 L' U'
L2 B' F U2 F L' U
F2 B' U2 L2 U2 L U
D' B' F2 L' U L' F
U' B' F2 D L' U F2
R' B' F2 U D F2 B2
R' B' F2 U D B2 F2
U' B' F2 D2 L' R2 U
U' B' F2 D2 R2 L' U
R' B' F2 U2 L2 R2 U'
R' B' F2 U2 R2 L2 U'
R' B' F2 D U F2 B2
R' B' F2 D U B2 F2
R' B' F2 D2 L2 R2 U
R' B' F2 D2 R2 L2 U
B' F' D F' L' U F'
U2 B' F2 L' U2 L' U'
F2 B' D L' R U F2
F2 B' D L' R' U F2
F2 B' D L' R2 U F2
F2 B' D L' U F2 D
F2 B' D L' U F2 D'
F2 B' D L' U F2 D2
F2 B' D L' D R2 U
F2 B' D R L' U F2
F2 B' D R' L' U F2
F' B' D F' L' U F'
F2 B' D R2 L' U F2
U2 B' F2 D L' U F2
U2 B' F2 D2 L' R2 U
U2 B' F2 D2 R2 L' U
F2 B' D' L' U D2 F2
F2 B' D' L' U' B2 U2
F2 B' D' L' D' R2 U
F2 B' D' L' D2 U F2
U B' F2 L' U2 L' U'
L B' F2 L' B' R' U
B' F' D2 F' L' R2 U
B' F' D2 F' R2 L' U
U B' F2 D L' U F2
F2 B' D2 L' R2 U D
F2 B' D2 L' R2 U D'
F2 B' D2 L' R2 U D2
U B' F2 D2 L' R2 U
F2 B' D2 L' R2 D U
F2 B' D2 L' R2 D' U
F2 B' D2 L' R2 D2 U
F2 B' D2 L' U D' F2
U B' F2 D2 R2 L' U
F2 B' D2 L' D' U F2
F' B' D2 F' L' R2 U
F' B' D2 F' R2 L' U
F2 B' D2 R2 L' U D
F2 B' D2 R2 L' U D'
F2 B' D2 R2 L' U D2
F2 B' D2 R2 L' D U
F2 B' D2 R2 L' D' U
F2 B' D2 R2 L' D2 U
F2 B' D2 R2 D L' U
F2 B' D2 R2 D' L' U
F2 B' D2 R2 D2 L' U
B' F2 L' R U2 L' U'
B' F2 L' R' U2 L' U'
B' F2 L' R2 U2 L' U'
B' F2 L' U2 L' U' D
B' F2 L' U2 L' U' D'
B' F2 L' U2 L' U' D2
B' F2 L' U2 L' D U'
B' F2 L' U2 L' D' U'
B' F2 L' U2 L' D2 U'
B' F2 L' U2 D L' U'
B' F2 L' U2 D' L' U'
B' F2 L' U2 D2 L' U'
B' F2 L' D U2 L' U'
B' F2 L' D' U2 L' U'
B' F2 L' D2 U2 L' U'
B' F2 L' F2 R F2 U
L2 B2 R D' F U' L2
L2 B2 R D2 F B2 U'
L2 B2 R D2 B2 F U'
L2 B2 R F U2 F U
B2 F2 L' B U2 L' U'
B F2 L B2 L2 R' U
B F2 L B2 R' L2 U
F2 B2 L' B U2 L' U'
R B2 L2 U2 F2 B U
R B2 L2 U2 B F2 U
B' F2 R L' U2 L' U'
B' F2 R D L' U F2
B' F2 R D2 L' R2 U
B' F2 R D2 R2 L' U
B F2 L' B2 U2 L' U'
B' F2 R' L' U2 L' U'
B' F2 R' D L' U F2
B' F2 R' D2 L' R2 U
B' F2 R' D2 R2 L' U
B' F2 R2 L' U2 L' U'
B' F2 R2 D L' U F2
B' F2 R2 D2 L' R2 U
B' F2 R2 D2 R2 L' U
B' F2 U2 L2 U2 L U
L2 B2 D' R F U' L2
B' F2 D L' R U F2
B' F2 D L' R' U F2
B' F2 D L' R2 U F2
B' F2 D L' U F2 D
B' F2 D L' U F2 D'
B' F2 D L' U F2 D2
B' F2 D L' D R2 U
B' F2 D R L' U F2
B' F2 D R' L' U F2
B' F2 D R2 L' U F2
L2 B2 D2 R F B2 U'
L2 B2 D2 R B2 F U'
B2 F2 D L' B U F2
F2 B2 D L' B U F2
B' F2 D' L' U D2 F2
B' F2 D' L' U' B2 U2
B' F2 D' L' D' R2 U
B' F2 D' L' D2 U F2
L2 B2 D2 B2 R F U'
B2 F2 D B L' U F2
F2 B2 D B L' U F2
B F2 D L' U F2 R
B' F2 D2 L' R2 U D
B' F2 D2 L' R2 U D'
B' F2 D2 L' R2 U D2
B' F2 D2 L' R2 D U
B' F2 D2 L' R2 D' U
