F2 R F B U'
F2 R B F U'
U2 L' U2 F' B' U'
U2 L' U2 B' F' U'
F2 R D F B U'
F2 R D B F U'
F2 R D' F B U'
F2 R D' B F U'
F2 R D2 F B U'
F' R D2 B R' U'
F2 R D2 B F U'
F2 R F D B U'
F2 R F D' B U'
F2 R F D2 B U'
F2 R F B U' D
F2 R F B U' D'
F2 R F B U' D2
F2 R F B D U'
F2 R F B D' U'
F2 R F B D2 U'
F2 R B D F U'
F2 R B D' F U'
F2 R B D2 F U'
F2 R B F U' D
F2 R B F U' D'
F2 R B F U' D2
F2 R B F D U'
F2 R B F D' U'
F2 R B F D2 U'
F2 R2 F R' B U'
F' U' D' B L B'
F' U' B D' L B'
F' U2 L F L' U
F2 D R F B U'
F2 D R B F U'
F2 D' R F B U'
F2 D' R B F U'
F' D' U' B L B'
D2 F2 R F B U'
D' F2 R F B U'
D2 F2 R B F U'
D' F2 R B F U'
D F2 R F B U'
D F2 R B F U'
F' D2 R B R' U'
F2 D2 R F B U'
F2 D2 R B F U'
R B U2 L' B' U
F2 B R F B U'
F2 B R B F U'
F2 B' R F B U'
F2 B' R B F U'
B' F2 R F B U'
B' F2 R B F U'
B2 F2 R F B U'
F2 B2 R F B U'
B2 F2 R B F U'
F2 B2 R B F U'
B F2 R F B U'
B F2 R B F U'
F' U' L2 B D' L B'
F' U' R D R' B L
F U' R D B L R2
F U' R D B R2 L
F U' R B L D R2
F U' R B D L R2
F U' R B D R2 L
F U' R' D R2 B L
R D' B U2 L' B' U
F' U' D R' B L R
F' U' D R' B R L
F' U' D B D2 L B'
F' U' D' L B L B2
F' U' D' B L D B'
F' U' D' B L D' B'
F' U' D' B L D2 B'
F' U' D' B L B' D
F' U' D' B L B' D'
F' U' D' B L B' D2
F' U' D' B2 L B' L
F U' D R B L R
F U' D R B R L
D' U2 L' U2 F' B' U'
D' U2 L' U2 B' F' U'
D2 U2 L' U2 F' B' U'
D2 U2 L' U2 B' F' U'
U2 D2 L' U2 F' B' U'
U2 D2 L' U2 B' F' U'
D U2 L' U2 F' B' U'
D U2 L' U2 B' F' U'
F' U' B D' L D B'
F' U' B D' L D' B'
F' U' B D' L D2 B'
F' U' B D' L B' D
F' U' B D' L B' D'
F' U' B D' L B' D2
F' U' B' D' B2 L B'
F' U2 L F L' U D
F' U2 L F L' U D'
F' U2 L F L' U D2
F' U2 L F L' D U
F' U2 L F L' D' U
F' U2 L F L' D2 U
F' U2 L F D L' U
F' U2 L F D' L' U
F' U2 L F D2 L' U
R2 D2 U2 L' F B U
R2 D2 U2 L' B F U
B' U2 L' U2 F' B' U'
B' U2 L' U2 B' F' U'
B2 U2 L' U2 F' B' U'
B2 U2 L' U2 B' F' U'
R2 D2 U2 B L' F U
B U2 L' U2 F' B' U'
B U2 L' U2 B' F' U'
F' U2 L2 F L' F U
R D2 B U2 L' B' U
F' U2 D' L F U B'
L' F L F2 R B U'
F' U2 F L F L2 U
F' U2 F L' U2 B' U'
F' U2 F' U2 R B U'
L2 F L2 F2 R B U'
F2 D R D F B U'
F2 D R D B F U'
F2 D R D' F B U'
F2 D R D' B F U'
F' D R B R2 U' B
F' D R B U F' U2
F2 D R D2 F B U'
F2 D R D2 B F U'
F2 D R F D B U'
F2 D R F D' B U'
F2 D R F D2 B U'
F2 D R F B U' D
F2 D R F B U' D'
F2 D R F B U' D2
F2 D R F B D U'
F2 D R F B D' U'
F2 D R F B D2 U'
F2 D R B D F U'
F2 D R B D' F U'
F2 D R B D2 F U'
F2 D R B F U' D
F2 D R B F U' D'
F2 D R B F U' D2
F2 D R B F D U'
F2 D R B F D' U'
F2 D R B F D2 U'
F' D R' U2 F' U B
L' F D2 B2 R' F' U
F D R B U' R B
F2 D R2 F R' B U'
F' D U R F' U2 L'
F' D U R' U2 B L
F' D U F R F' U2
F' D U' R' B L R
F' D U' R' B R L
F' D U' B D2 L B'
F D U' R B L R
F D U' R B R L
F D F R B U' R
D' F' R D2 B R' U'
D2 F' R D2 B R' U'
B' D F2 R F B U'
B' D F2 R B F U'
B2 D F2 R F B U'
B2 D F2 R B F U'
D F' R D2 B R' U'
B D F2 R F B U'
B D F2 R B F U'
F2 D B R F B U'
F2 D B R B F U'
F2 D B' R F B U'
F2 D B' R B F U'
R2 F' R2 F' R B U'
R F' R' F' R B U'
F2 D B2 R F B U'
F2 D B2 R B F U'
D2 F' U' D' B L B'
D' F' U' D' B L B'
D2 F' U' B D' L B'
D' F' U' B D' L B'
D2 F' U2 L F L' U
D' F' U2 L F L' U
D F' U' D' B L B'
D F' U' B D' L B'
D F' U2 L F L' U
D2 F' D' U' B L B'
D' F' D' U' B L B'
D2 F' D2 R B R' U'
F' D' R D' B R' U'
D' F' D2 R B R' U'
F2 D' R D F B U'
F2 D' R D B F U'
F2 D' R D' F B U'
F2 D' R D' B F U'
F2 D' R D2 F B U'
F2 D' R D2 B F U'
F2 D' R F D B U'
F2 D' R F D' B U'
F2 D' R F D2 B U'
F2 D' R F B U' D
F2 D' R F B U' D'
F2 D' R F B U' D2
F2 D' R F B D U'
F2 D' R F B D' U'
F2 D' R F B D2 U'
D F' D' U' B L B'
F2 D' R B D F U'
F2 D' R B D' F U'
F2 D' R B D2 F U'
F2 D' R B F U' D
F2 D' R B F U' D'
F2 D' R B F U' D2
F2 D' R B F D U'
F2 D' R B F D' U'
F2 D' R B F D2 U'
D F' D2 R B R' U'
F2 D' R2 F R' B U'
R F' D2 B R' F' U'
R F' B R' F' R U'
F' D' U' L B L B2
F' D' U' B L D B'
F' D' U' B L D' B'
F' D' U' B L D2 B'
F' D' U' B L B' D
F' D' U' B L B' D'
F' D' U' B L B' D2
F' D' U' B2 L B' L
F' D' U2 L F U B'
D2 F2 R D F B U'
D2 F2 R D B F U'
D' F2 R D F B U'
D' F2 R D B F U'
D2 F2 R D' F B U'
D2 F2 R D' B F U'
D' F2 R D' F B U'
D' F2 R D' B F U'
D2 F2 R D2 F B U'
D2 F2 R D2 B F U'
D' F2 R D2 F B U'
D' F2 R D2 B F U'
D2 F2 R F D B U'
D2 F2 R F D' B U'
R' F2 R F' U' D' L2
D2 F2 R F D2 B U'
R' F2 R F' U2 F2 U
D2 F2 R F B U' D
D2 F2 R F B U' D'
D2 F2 R F B U' D2
D2 F2 R F B D U'
D2 F2 R F B D' U'
D2 F2 R F B D2 U'
D' F2 R F D B U'
R' F2 R F' D' U' L2
D' F2 R F D' B U'
D' F2 R F D2 B U'
R' F2 R F' D2 B2 U'
D' F2 R F B U' D
D' F2 R F B U' D'
D' F2 R F B U' D2
D' F2 R F B D U'
D' F2 R F B D' U'
D' F2 R F B D2 U'
B' D' F2 R F B U'
B' D' F2 R B F U'
D2 F2 R B D F U'
D2 F2 R B D' F U'
D2 F2 R B D2 F U'
D2 F2 R B F U' D
D2 F2 R B F U' D'
D2 F2 R B F U' D2
D2 F2 R B F D U'
D2 F2 R B F D' U'
D2 F2 R B F D2 U'
D' F2 R B D F U'
D' F2 R B D' F U'
D' F2 R B D2 F U'
D' F2 R B F U' D
D' F2 R B F U' D'
D' F2 R B F U' D2
D' F2 R B F D U'
D' F2 R B F D' U'
D' F2 R B F D2 U'
B2 D' F2 R F B U'
B2 D' F2 R B F U'
D F2 R D F B U'
D F2 R D B F U'
D F2 R D' F B U'
D F2 R D' B F U'
D F2 R D2 F B U'
D F2 R D2 B F U'
D F2 R F D B U'
D F2 R F D' B U'
D F2 R F D2 B U'
D F2 R F B U' D
D F2 R F B U' D'
D F2 R F B U' D2
D F2 R F B D U'
D F2 R F B D' U'
D F2 R F B D2 U'
B D' F2 R F B U'
B D' F2 R B F U'
F' D' B U' B L B'
D F2 R B D F U'
D F2 R B D' F U'
D F2 R B D2 F U'
D F2 R B F U' D
D F2 R B F U' D'
D F2 R B F U' D2
D F2 R B F D U'
D F2 R B F D' U'
D F2 R B F D2 U'
F2 D' B R F B U'
F2 D' B R B F U'
D2 F2 R2 F R' B U'
D' F2 R2 F R' B U'
F' D' B' U' B L B'
F2 D' B' R F B U'
F2 D' B' R B F U'
D F2 R2 F R' B U'
F' D' B2 U' B L B'
F2 D' B2 R F B U'
F2 D' B2 R B F U'
U2 F2 U2 R F B U'
U2 F2 U2 R B F U'
D2 F2 D R F B U'
D2 F2 D R B F U'
U F2 U' R F U' L'
D' F2 D R F B U'
D' F2 D R B F U'
D2 F2 D' R F B U'
D2 F2 D' R B F U'
D' F2 D' R F B U'
D' F2 D' R B F U'
D F2 D R F B U'
D F2 D R B F U'
D2 F2 D2 R F B U'
D2 F2 D2 R B F U'
D' F2 D2 R F B U'
D' F2 D2 R B F U'
F2 D2 R D F B U'
F2 D2 R D B F U'
F' D2 R B R' U' D
F' D2 R B R' U' D'
F' D2 R B R' U' D2
F' D2 R B R' D U'
F' D2 R B R' D' U'
F' D2 R B R' D2 U'
F2 D2 R D' F B U'
F' D2 R B D R' U'
F' D2 R B D' R' U'
F' D2 R B D2 R' U'
F2 D2 R D' B F U'
F2 D2 R D2 F B U'
F2 D2 R D2 B F U'
D F2 D' R F B U'
F2 D2 R F D B U'
F2 D2 R F D' B U'
F2 D2 R F D2 B U'
F2 D2 R F B U' D
F2 D2 R F B U' D'
F2 D2 R F B U' D2
D F2 D' R B F U'
F2 D2 R F B D U'
F2 D2 R F B D' U'
F2 D2 R F B D2 U'
F2 D2 R B D F U'
F2 D2 R B D' F U'
F2 D2 R B D2 F U'
F2 D2 R B F U' D
F2 D2 R B F U' D'
F2 D2 R B F U' D2
F2 D2 R B F D U'
F2 D2 R B F D' U'
F2 D2 R B F D2 U'
D2 F2 B R F B U'
D2 F2 B R B F U'
D' F2 B R F B U'
D' F2 B R B F U'
D F2 D2 R F B U'
D F2 D2 R B F U'
D2 F2 B' R F B U'
D2 F2 B' R B F U'
D' F2 B' R F B U'
D' F2 B' R B F U'
F' D2 R2 B R' B U'
F2 D2 R2 F R' B U'
D F2 B R F B U'
D F2 B R B F U'
D2 F2 B2 R F B U'
D2 F2 B2 R B F U'
D' F2 B2 R F B U'
D' F2 B2 R B F U'
D F2 B' R F B U'
D F2 B' R B F U'
R F2 B R U2 B U
R F2 B R' F' R2 U'
D F2 B2 R F B U'
D F2 B2 R B F U'
U2 B L' U2 F' B' U'
U2 B L' U2 B' F' U'
B' D2 F2 R F B U'
B' D2 F2 R B F U'
B2 D2 F2 R F B U'
B2 D2 F2 R B F U'
F' D2 B R B R2 U'
F' D2 B R' U2 F' U
B D2 F2 R F B U'
B D2 F2 R B F U'
F2 D2 B R F B U'
F2 D2 B R B F U'
R B R U2 L' B U
R B R U2 B L' U
F' D2 B' U2 L F U
F2 D2 B' R F B U'
F2 D2 B' R B F U'
R B R' F2 R F U'
F2 D2 B2 R F B U'
F2 D2 B2 R B F U'
R B R2 F2 R F' U'
R B U2 L' D B' U
R B U2 L' D' B' U
R B U2 L' D2 B' U
R B U2 L' B' U D
R B U2 L' B' U D'
R B U2 L' B' U D2
R B U2 L' B' D U
R B U2 L' B' D' U
R B U2 L' B' D2 U
R B U2 D L' B' U
R B U2 D' L' B' U
R B U2 D2 L' B' U
F' B R D2 B R' U'
R B U2 B L' B' U
R B U2 B' L' B' U
F2 B R D F B U'
F2 B R D B F U'
R B U2 B2 L' B' U
F2 B R D' F B U'
F2 B R D' B F U'
F2 B R D2 F B U'
F2 B R D2 B F U'
F2 B R F D B U'
F2 B R F D' B U'
F2 B R F D2 B U'
F2 B R F B U' D
F2 B R F B U' D'
F2 B R F B U' D2
F2 B R F B D U'
F2 B R F B D' U'
F2 B R F B D2 U'
F2 B R B D F U'
F2 B R B D' F U'
F2 B R B D2 F U'
F2 B R B F U' D
F2 B R B F U' D'
F2 B R B F U' D2
F2 B R B F D U'
F2 B R B F D' U'
F2 B R B F D2 U'
R B D U2 L' B' U
R B D' U2 L' B' U
F2 B R2 F R' B U'
D2 B F2 R F B U'
D2 B F2 R B F U'
D' B F2 R F B U'
D' B F2 R B F U'
R B D2 U2 L' B' U
F' B U' D' B L B'
D B F2 R F B U'
D B F2 R B F U'
F' B U' B D' L B'
F' B U2 L F L' U
R B F' R' F' R U'
R B F2 R U2 B U
R B F2 R' F' R2 U'
U2 B' L' U2 F' B' U'
U2 B' L' U2 B' F' U'
F2 B D R F B U'
F2 B D R B F U'
F' B D' U' B L B'
F2 B D' R F B U'
F2 B D' R B F U'
F' B D2 R B R' U'
F2 B D2 R F B U'
F2 B D2 R B F U'
B' F' R D2 B R' U'
L' B' U2 F' L' B' U'
F' B' R D2 B R' U'
F2 B' R D F B U'
F2 B' R D B F U'
B2 F' R D2 B R' U'
F2 B' R D' F B U'
F2 B' R D' B F U'
F2 B' R D2 F B U'
F2 B' R D2 B F U'
F2 B' R F D B U'
F2 B' R F D' B U'
F2 B' R F D2 B U'
F2 B' R F B U' D
F2 B' R F B U' D'
F2 B' R F B U' D2
F2 B' R F B D U'
F2 B' R F B D' U'
F2 B' R F B D2 U'
F2 B' R B D F U'
F2 B' R B D' F U'
F2 B' R B D2 F U'
F2 B' R B F U' D
F2 B' R B F U' D'
F2 B' R B F U' D2
F2 B' R B F D U'
F2 B' R B F D' U'
F2 B' R B F D2 U'
B F' R D2 B R' U'
F2 B' R2 F R' B U'
B' F' U' D' B L B'
B' F' U' B D' L B'
F' B' U' D' B L B'
B' F' U2 L F L' U
B2 F' U' D' B L B'
F' B' U' B D' L B'
F' B' U2 L F L' U
B2 F' U' B D' L B'
B2 F' U2 L F L' U
D2 B' F2 R F B U'
D2 B' F2 R B F U'
D' B' F2 R F B U'
B F' U' D' B L B'
D' B' F2 R B F U'
B F' U' B D' L B'
B F' U2 L F L' U
F2 B' D R F B U'
F2 B' D R B F U'
B' F' D' U' B L B'
D B' F2 R F B U'
D B' F2 R B F U'
F' B' D' U' B L B'
F2 B' D' R F B U'
F2 B' D' R B F U'
B2 F' D' U' B L B'
B' F' D2 R B R' U'
F' B' D2 R B R' U'
U2 B2 L' U2 F' B' U'
U2 B2 L' U2 B' F' U'
B2 F' D2 R B R' U'
F2 B' D2 R F B U'
F2 B' D2 R B F U'
B F' D' U' B L B'
B F' D2 R B R' U'
L' B2 R' D' F' U R
B' F2 R D F B U'
B' F2 R D B F U'
B' F2 R D' F B U'
B' F2 R D' B F U'
B' F2 R D2 F B U'
B' F2 R D2 B F U'
B' F2 R F D B U'
B' F2 R F D' B U'
B' F2 R F D2 B U'
B' F2 R F B U' D
B' F2 R F B U' D'
B' F2 R F B U' D2
B' F2 R F B D U'
B' F2 R F B D' U'
B' F2 R F B D2 U'
L' B2 R2 B R F' U
B' F2 R B D F U'
B' F2 R B D' F U'
B' F2 R B D2 F U'
B' F2 R B F U' D
B' F2 R B F U' D'
B' F2 R B F U' D2
B' F2 R B F D U'
B' F2 R B F D' U'
B' F2 R B F D2 U'
F' B2 R D2 B R' U'
B2 F2 R D F B U'
B2 F2 R D B F U'
B2 F2 R D' F B U'
B2 F2 R D' B F U'
B2 F2 R D2 F B U'
F2 B2 R D F B U'
B2 F2 R D2 B F U'
F2 B2 R D B F U'
B2 F2 R F D B U'
F2 B2 R D' F B U'
B2 F2 R F D' B U'
B2 F2 R F D2 B U'
B2 F2 R F B U' D
B2 F2 R F B U' D'
B2 F2 R F B U' D2
B2 F2 R F B D U'
B2 F2 R F B D' U'
B2 F2 R F B D2 U'
F2 B2 R D' B F U'
F2 B2 R D2 F B U'
F2 B2 R D2 B F U'
F2 B2 R F D B U'
F2 B2 R F D' B U'
F2 B2 R F D2 B U'
F2 B2 R F B U' D
F2 B2 R F B U' D'
F2 B2 R F B U' D2
F2 B2 R F B D U'
F2 B2 R F B D' U'
F2 B2 R F B D2 U'
B2 F2 R B D F U'
B2 F2 R B D' F U'
B2 F2 R B D2 F U'
B2 F2 R B F U' D
B2 F2 R B F U' D'
B2 F2 R B F U' D2
B2 F2 R B F D U'
B2 F2 R B F D' U'
B2 F2 R B F D2 U'
F2 B2 R B D F U'
F2 B2 R B D' F U'
F2 B2 R B D2 F U'
F2 B2 R B F U' D
F2 B2 R B F U' D'
F2 B2 R B F U' D2
F2 B2 R B F D U'
F2 B2 R B F D' U'
F2 B2 R B F D2 U'
B F2 R D F B U'
B F2 R D B F U'
B F2 R D' F B U'
B F2 R D' B F U'
B F2 R D2 F B U'
B F2 R D2 B F U'
B F2 R F D B U'
B F2 R F D' B U'
B F2 R F D2 B U'
B F2 R F B U' D
B F2 R F B U' D'
B F2 R F B U' D2
B F2 R F B D U'
B F2 R F B D' U'
B F2 R F B D2 U'
B F2 R B D F U'
B F2 R B D' F U'
B F2 R B D2 F U'
B F2 R B F U' D
B F2 R B F U' D'
B F2 R B F U' D2
B F2 R B F D U'
B F2 R B F D' U'
B F2 R B F D2 U'
B' F2 R2 F R' B U'
B2 F2 R2 F R' B U'
F2 B2 R2 F R' B U'
B F2 R2 F R' B U'
F' B2 U' D' B L B'
F' B2 U' B D' L B'
F' B2 U2 L F L' U
B' F2 D R F B U'
B' F2 D R B F U'
B2 F2 D R F B U'
B2 F2 D R B F U'
F2 B2 D R F B U'
F2 B2 D R B F U'
B' F2 D' R F B U'
B' F2 D' R B F U'
B2 F2 D' R F B U'
B F2 D R F B U'
B2 F2 D' R B F U'
B F2 D R B F U'
F' B2 D' U' B L B'
F2 B2 D' R F B U'
F2 B2 D' R B F U'
B' F2 D2 R F B U'
B' F2 D2 R B F U'
D2 B2 F2 R F B U'
D2 B2 F2 R B F U'
D' B2 F2 R F B U'
D' B2 F2 R B F U'
F' B2 D2 R B R' U'
B2 F2 D2 R F B U'
B F2 D' R F B U'
B2 F2 D2 R B F U'
B F2 D' R B F U'
F2 B2 D2 R F B U'
F2 B2 D2 R B F U'
B F2 D2 R F B U'
B F2 D2 R B F U'
D B2 F2 R F B U'
D B2 F2 R B F U'
