F' U' L' F B'
F' U' L' B' F
F' R U' L' F B'
F' R U' L' B' F
F' R' U' L' F B'
F' R' U' L' B' F
F' R2 U' L' F B'
F' R2 U' L' B' F
F' U' L' D F B'
F' U' L' D B' F
F' U' L' D' F B'
F' U' L' D' B' F
F' U' L' D2 F B'
F' U' L' D2 B' F
F' U' L' F D B'
F' U' L' F D' B'
F' U' L' F D2 B'
F' U' L' F B' D
F' U' L' F B' D'
F' U' L' F B' D2
F' U' L' B' D F
F' U' L' B' D' F
F' U' L' B' D2 F
F' U' L' B' F D
F' U' L' B' F D'
F' U' L' B' F D2
F' U' B L' F B'
F' U' B L' B' F
F' U' B' L' F B'
F' U' B' L' B' F
F' U' B2 L' F B'
F' U' B2 L' B' F
L' F' U' L' F2 B'
L' F' U' L' B' F2
F' B' R' U' L' F
B' F' R' U' L' F
F' U' L' D2 F B' D'
F' U' L' D2 F B' D2
F' U' L' D2 B' D F
F' U' L' D2 B' D' F
F' U' L' D2 B' D2 F
F' U' L' D2 B' F D
F' U' L' D2 B' F D'
F' U' L' D2 B' F D2
F' U' L' F R' B' R
F' U' L' F R2 B' R2
F' U' L' F D B' D
F' U' L' F D B' D'
F' U' L' F D B' D2
F' U' L' F D' B' D
F' U' L' F D' B' D'
F' U' L' F D' B' D2
F' U' L' F D2 B' D
F' U' L' F D2 B' D'
F' U' L' F D2 B' D2
F' U' L' F B2 D B
F' U' L' F B2 D' B
F' U' L' F B2 D2 B
F' U' L' F2 D F' B'
F' U' L' F2 D B' F'
F' U' L' F2 D' F' B'
F' U' L' F2 D' B' F'
F' U' L' F2 D2 F' B'
F' U' L' F2 D2 B' F'
F' U' L' F2 B' D F'
F' U' L' F2 B' D' F'
F' U' L' F2 B' D2 F'
F' U' L' B' R F R'
F' U' L' B' R2 F R2
F' U' L' B' D F D
F' U' L' B' D F D'
F' U' L' B' D F D2
F' U' L' B' D' F D
F' U' L' B' D' F D'
F' U' L' B' D' F D2
F' U' L' B' D2 F D
F' U' L' B' D2 F D'
F' U' L' B' D2 F D2
F' U' L' B' F2 D F'
F' U' L' B' F2 D' F'
F' U' L' B' F2 D2 F'
F' U' L' B2 D F B
F' U' L' B2 D B F
F' U' L' B2 D' F B
F' U' L' B2 D' B F
F' U' L' B2 D2 F B
F' U' L' B2 D2 B F
F' U' L' B2 F D B
F' U' L' B2 F D' B
F' U' L' B2 F D2 B
L' D' F' U' L' F2 B'
L' D' F' U' L' B' F2
F' U' L2 F L F B'
F' U' L2 F L B' F
F' U' L2 F' L F B'
F' U' L2 F' L B' F
F' U' L2 F2 L F B'
F' U' L2 F2 L B' F
F' U' R L' F R' B'
F' U' R' L' B' R F
F' U' R2 L' F R2 B'
F' U' R2 L' F B' R2
F' U' R2 L' B' R2 F
F' U' R2 L' B' F R2
F' U' F' L' F B' L'
F' U' F' L' B' F L'
F' U' B L' D F B'
F' U' B L' D B' F
F' U' B L' D' F B'
F' U' B L' D' B' F
F' U' B L' D2 F B'
F' U' B L' D2 B' F
F' U' B L' F D B'
F' U' B L' F D' B'
F' U' B L' F D2 B'
F' U' B L' F B' D
F' U' B L' F B' D'
F' U' B L' F B' D2
F' U' B L' B' D F
F' U' B L' B' D' F
F' U' B L' B' D2 F
F' U' B L' B' F D
F' U' B L' B' F D'
F' U' B L' B' F D2
F' U' B' L' D F B'
F' U' B' L' D B' F
F' U' B' L' D' F B'
F' U' B' L' D' B' F
F' U' B' L' D2 F B'
F' U' B' L' D2 B' F
F' U' B' L' F D B'
F' U' B' L' F D' B'
F' U' B' L' F D2 B'
F' U' B' L' F B' D
F' U' B' L' F B' D'
F' U' B' L' F B' D2
F' U' B' L' B' D F
F' U' B' L' B' D' F
F' U' B' L' B' D2 F
F' U' B' L' B' F D
F' U' B' L' B' F D'
F' U' B' L' B' F D2
F' U' B2 L' D F B'
F' U' B2 L' D B' F
F' U' B2 L' D' F B'
F' U' B2 L' D' B' F
F' U' B2 L' D2 F B'
F' U' B2 L' D2 B' F
F' U' B2 L' F D B'
F' U' B2 L' F D' B'
F' U' B2 L' F D2 B'
F' U' B2 L' F B' D
F' U' B2 L' F B' D'
F' U' B2 L' F B' D2
F' U' B2 L' B' D F
F' U' B2 L' B' D' F
F' U' B2 L' B' D2 F
F' U' B2 L' B' F D
F' U' B2 L' B' F D'
F' U' B2 L' B' F D2
L' D2 F' U' L' F2 B'
L' D2 F' U' L' B' F2
F' U2 R U L' F B'
F' U2 R U L' B' F
F' U2 R' U L' F B'
F' U2 R' U L' B' F
F' U2 R2 U L' F B'
F' U2 R2 U L' B' F
F2 U2 F R U' L' F
F' U2 F' L' U F L'
D F L' F2 U' L' B'
D2 F' R U' L' F' B'
D2 F' R U' L' B' F'
L' F' R U' L' F2 B'
L' F' R U' L' B' F2
L' F' R' U' L' F2 B'
L' F' R' U' L' B' F2
L' F' R2 U' L' F2 B'
L' F' R2 U' L' B' F2
L' F' U' L' F2 D B'
L' F' U' L' F2 D' B'
L' F' U' L' F2 D2 B'
L' F' U' L' F2 B' D
L' F' U' L' F2 B' D'
L' F' U' L' F2 B' D2
L' F' U' L' B' F2 D
L' F' U' L' B' F2 D'
L' F' U' L' B' F2 D2
L' F' U' L2 F2 L B'
D' F' U' D L' F B'
D' F' U' D L' B' F
D2 F' U' D2 L' F B'
D2 F' U' D2 L' B' F
L' F' U' B L' F2 B'
L' F' U' B L' B' F2
L' F' U' B' L' F2 B'
L' F' U' B' L' B' F2
L' F' U' B2 L' F2 B'
L' F' U' B2 L' B' F2
R F' U L' F R B
L F' U B' U2 L' B'
L F' U' L2 F L B'
R F' U' L' F B' R'
R F' U' L' B' R' F
R F' U' L' B' F R'
D' F' D U' L' F B'
D' F' D U' L' B' F
D F' U2 R U L' B'
D2 F' D2 U' L' F B'
D2 F' D2 U' L' B' F
D' F' B' L R' U' L2
D' F' B' R' L U' L2
R2 F' B L U L2 F
L' F' B' R' U' L' F2
F' D' B' L R' U' L2
F' D' B' R' L U' L2
F' D2 R U' L' F' B'
F' D2 R U' L' B' F'
B2 D2 F' R U' L' F'
R2 B F' L U L2 F
F' B U' L' D' F B2
F' B U' L' D' B2 F
F' B U' L' F D' B2
D' B' L F' R' U' L'
F' B U2 L U L2 F
B' F' L R' U' L2 F
F' B' L R' U' L2 F
R B' R' F' U' L' F
B' F' R' L U' L2 F
B' F' R' U' L' D F
B' F' R' U' L' D' F
B' F' R' U' L' D2 F
B' F' R' U' L' F D
B' F' R' U' L' F D'
B' F' R' U' L' F D2
F' B' R' L U' L2 F
F' B' R' U' L' D F
F' B' R' U' L' D' F
F' B' R' U' L' D2 F
F' B' R' U' L' F D
F' B' R' U' L' F D'
F' B' R' U' L' F D2
B' F' R' B U' L' F
B' F' R' B' U' L' F
B' F' R' B2 U' L' F
F' B' R' B U' L' F
F' B' R' B' U' L' F
F2 B' R' F U' L' F
F' B' R' B2 U' L' F
D' B' F' L R' U' L2
D' B' F' R' L U' L2
L' B' F' R' U' L' F2
B F' U' L' D' F B2
B F' U' L' D' B2 F
B F' U' L' F D' B2
B F' U2 L U L2 F
B' F2 R' F U' L' F
