F R U R2 B U2
F R U' D2 L2 F'
F R U' D2 F' L2
F R U' F' D2 L2
F R D B2 U' F'
F R D2 U' L2 F'
F R D2 U' F' L2
R F R U' F2 L'
B2 F R U' L F'
B2 F R U' F' L
F B2 R U' L F'
F B2 R U' F' L
F R D B2 L U' F'
F R D B2 L' U' F'
F R D B2 L2 U' F'
F R D B2 U' D F'
F R D B2 U' D' F'
F R D B2 U' D2 F'
F R D B2 U' F' D
F R D B2 U' F' D'
F R D B2 U' F' D2
F R D B2 D U' F'
F R D B2 D' U' F'
F R D B2 D2 U' F'
F R D' U2 F2 U F
F R D2 L U' L F'
F R D2 L U' F' L
F R D2 L' U' L' F'
F R D2 U' L F' L
F R D2 U' L2 D F'
F R D2 U' L2 D' F'
F R D2 U' L2 D2 F'
F R D2 U' L2 F' D
F R D2 U' L2 F' D'
F R D2 U' L2 F' D2
F R D2 U' F L2 F2
F R D2 U' F' L2 D
F R D2 U' F' L2 D'
F R D2 U' F' L2 D2
B2 R F R U' L F2
B2 R F R U' F2 L
F R D2 B U' L2 F'
F R D2 B U' F' L2
F R D2 B' U' L2 F'
F R D2 B' U' F' L2
F R D2 B2 U' L2 F'
F R D2 B2 U' F' L2
L' U' R' F' L' B U2
L' U' R' F' B L' U2
L' U' R' B F' L' U2
F R B U R2 B U2
F R B U' D2 L2 F'
F R B U' D2 F' L2
F R B U' F' D2 L2
F R B D B2 U' F'
F R B D2 U' L2 F'
F R B D2 U' F' L2
F R B' U R2 B U2
F R B' U' D2 L2 F'
F R B' U' D2 F' L2
F R B' U' F' D2 L2
F R B' D B2 U' F'
F R B' D2 U' L2 F'
F R B' D2 U' F' L2
F R B2 U R2 B U2
F R B2 U' D2 L2 F'
F R B2 U' D2 F' L2
F R B2 U' F' D2 L2
F R B2 D B2 U' F'
F R B2 D2 U' L2 F'
F R B2 D2 U' F' L2
F R' U' R2 U' F' R2
F2 R' D B U2 R' B
U' R' F' U2 D R2 F'
U' R' F' D U2 R2 F'
U' R' F' D B U2 R2
U' R' F' D' L2 B U2
U' R' F' D' B L2 U2
U' R' F' B U' F2 U'
U' R' F' B U2 D R2
U' R' F' B D U2 R2
U' R' F' B D' L2 U2
F' R' B U' F2 R U'
U' R' B F' U' F2 U'
U' R' B F' U2 D R2
U' R' B F' D U2 R2
U' R' B F' D' L2 U2
F R' B U' R2 U' R2
U R' B U' F R U'
R D F R B2 U' F2
R D F B2 R U' F2
F U R' U' R2 U' F'
F U R' D B U2 B
F U R' D' F2 B U2
F U R' D' B F2 U2
F U R' B U' R2 U'
F U R' B U2 D B2
F U R' B D U2 B2
F U R' B D' F2 U2
R D B2 F R U' F2
R D2 F R U' L2 F2
R D2 F R U' F2 L2
D' F L' R U R2 U2
D' F L' R U' D2 L2
D' F L' R D B2 U'
D' F L' R D2 U' L2
D' F L' B2 R U' L
R F L R U' F2 L'
R F L' R U' F2 L'
D' F R L' U R2 U2
D' F R L' U' D2 L2
D' F R L' D B2 U'
D' F R L' D2 U' L2
R' F R U R' B U2
D' F R D L' B2 U'
D' F R D B2 L' U'
D' F R D2 L' U' L'
R F L2 R U' F2 L'
R F R L U' F2 L'
R F R L' U' F2 L'
R F R L2 U' F2 L'
R F R U R U2 F2
R F R U' L F2 L'
R F R U' L' F2 L'
R F R U' L2 F2 L'
R F R U' F2 L' D
R F R U' F2 L' D'
R F R U' F2 L' D2
R F R U' F2 D L'
R F R U' F2 D' L'
R F R U' F2 D2 L'
R F R B U' F2 L'
R F R B' U' F2 L'
R F R B2 U' F2 L'
U2 F U R' F' B U2
U2 F U R' B F' U2
R' F B U' R U' R'
D' F B2 L' R U' L2
D' F B2 R L' U' L2
R F B R U' F2 L'
R F B' R U' F2 L'
D F B2 R U' L F
R F B2 R U' F2 L'
F D B2 R U' L F
R' F' B U' F2 R U'
B2 D' F L' R U' L2
B2 D' F R L' U' L2
F' D2 L' B2 U F L
R' F2 B U' F' R U'
B' D2 F R U' L' F
R' B U L' U B' R'
F' D2 B2 L' U F L2
R' B U' R F U' B
R' B U' F R U' B
B2 F L' R U' L2 F'
B2 F L' R U' F' L2
B2 F L2 R U' L' F'
B2 F R L' U' L2 F'
B2 F R L' U' F' L2
B2 F R L2 U' L' F'
B2 F R U' L D F'
B2 F R U' L D' F'
B2 F R U' L D2 F'
B2 F R U' L F' D
B2 F R U' L F' D'
B2 F R U' L F' D2
B2 F R U' L' F' L2
B2 F R U' D L F'
B2 F R U' D F' L
B2 F R U' D' L F'
B2 F R U' D' F' L
B2 F R U' D2 L F'
B2 F R U' D2 F' L
B2 F R U' F L F2
B2 F R U' F' L D
B2 F R U' F' L D'
B2 F R U' F' L D2
B2 F R U' F' D L
B2 F R U' F' D' L
B2 F R U' F' D2 L
B' F R B' U' L F'
B' F R B' U' F' L
B2 F R D U' L F'
B2 F R D U' F' L
B2 F R D' U' L F'
B2 F R D' U' F' L
B2 F R D2 U' L F'
B2 F R D2 U' F' L
R' B F U' R U' R'
B F R B U' L F'
B F R B U' F' L
F B R B U' L F'
F B R B U' F' L
R' B F' U' F2 R U'
R' B F2 U' F' R U'
R B F R U' F2 L'
F B' R B' U' L F'
F B' R B' U' F' L
R B' F R U' F2 L'
F B2 L' R U' L2 F'
F B2 L' R U' F' L2
F B2 L2 R U' L' F'
F B2 R L' U' L2 F'
F B2 R L' U' F' L2
F B2 R L2 U' L' F'
F B2 R U' L D F'
F B2 R U' L D' F'
F B2 R U' L D2 F'
F B2 R U' L F' D
F B2 R U' L F' D'
F B2 R U' L F' D2
F B2 R U' L' F' L2
F B2 R U' D L F'
F B2 R U' D F' L
F B2 R U' D' L F'
F B2 R U' D' F' L
F B2 R U' D2 L F'
F B2 R U' D2 F' L
F B2 R U' F L F2
F B2 R U' F' L D
F B2 R U' F' L D'
F B2 R U' F' L D2
F B2 R U' F' D L
F B2 R U' F' D' L
F B2 R U' F' D2 L
F B2 R D U' L F'
F B2 R D U' F' L
F B2 R D' U' L F'
F B2 R D' U' F' L
F B2 R D2 U' L F'
F B2 R D2 U' F' L
D' B2 F L' R U' L2
D' B2 F R L' U' L2
D B2 F R U' L F
R B2 F R U' F2 L'
