U L U R U B
F2 L' U L2 F U2
F2 L' U' D2 R2 B'
F2 L' U' D2 B' R2
F2 L' U' B' D2 R2
F2 L' D F2 U' B'
F2 L' D2 U' R2 B'
F2 L' D2 U' B' R2
U2 R U B2 R' B'
U2 R U' L U2 B
U2 R B2 U R' B'
U2 B R U B R'
U2 B2 R U B R2
F2 L' U' R2 B' D2 R2
F2 L' U' D B' D R2
F2 L' U' D2 R B' R
F2 L' U' D2 R2 D B'
F2 L' U' D2 R2 D' B'
F2 L' U' D2 R2 D2 B'
F2 L' U' D2 R2 B' D
F2 L' U' D2 R2 B' D'
F2 L' U' D2 R2 B' D2
F2 L' U' D2 B R2 B2
F2 L' U' D2 B' R2 D
F2 L' U' D2 B' R2 D'
F2 L' U' D2 B' R2 D2
F2 L' U' B' R D2 R2
F2 L' U' B' R' D2 R2
F2 L' U' B' R2 D2 R2
F2 L' U' B' U2 L2 U2
F2 L' U' B' D2 R2 D
F2 L' U' B' D2 R2 D'
F2 L' U' B' D2 R2 D2
F2 L' U' B2 D2 B R2
F2 L' U2 D' B2 U B
F2 L' D R F2 U' B'
F2 L' D R' F2 U' B'
F2 L' D R2 F2 U' B'
F2 L' D U' B' D R2
F2 L' D F2 R U' B'
F2 L' D F2 R' U' B'
F2 L' D F2 R2 U' B'
F2 L' D F2 U' D B'
F2 L' D F2 U' D' B'
F2 L' D F2 U' D2 B'
F2 L' D F2 U' B' D
F2 L' D F2 U' B' D'
F2 L' D F2 U' B' D2
F2 L' D F2 D U' B'
F2 L' D F2 D' U' B'
F2 L' D F2 D2 U' B'
U2 L' D' R B2 U B'
F2 L' D' U2 B2 U B
U2 L' D' B2 R U B
F2 L' D2 R U' R B'
F2 L' D2 R U' B' R
U2 L' D2 R U B R
F2 L' D2 R' U' R' B'
F2 L' D2 U' R B' R
F2 L' D2 U' R2 D B'
F2 L' D2 U' R2 D' B'
F2 L' D2 U' R2 D2 B'
F2 L' D2 U' R2 B' D
F2 L' D2 U' R2 B' D'
F2 L' D2 U' R2 B' D2
F2 L' D2 U' B R2 B2
F2 L' D2 U' B' R2 D
F2 L' D2 U' B' R2 D'
F2 L' D2 U' B' R2 D2
F2 L' D2 F U' R2 B'
F2 L' D2 F U' B' R2
F2 L' D2 F' U' R2 B'
F2 L' D2 F' U' B' R2
F2 L' D2 F2 U' R2 B'
F2 L' D2 F2 U' B' R2
F2 L' F U L2 F U2
F2 L' F U' D2 R2 B'
F2 L' F U' D2 B' R2
F2 L' F U' B' D2 R2
F2 L' F D F2 U' B'
F2 L' F D2 U' R2 B'
F2 L' F D2 U' B' R2
R L2 U L' F U2 F'
F2 L' F' U L2 F U2
F2 L' F' U' D2 R2 B'
F2 L' F' U' D2 B' R2
F2 L' F' U' B' D2 R2
F2 L' F' D F2 U' B'
F2 L' F' D2 U' R2 B'
F2 L' F' D2 U' B' R2
R L2 U' L' F U2 L
F2 L' F2 U L2 F U2
F2 L' F2 U' D2 R2 B'
F2 L' F2 U' D2 B' R2
F2 L' F2 U' B' D2 R2
F2 L' F2 D F2 U' B'
F2 L' F2 D2 U' R2 B'
F2 L' F2 D2 U' B' R2
U2 L2 R U' L' U2 B
F' L2 U L' F B' U2
F' L2 U L' B' F U2
F2 L2 F2 L U' R B'
F2 L2 F2 L U' B' R
L U R U' R' F U2
L U R U' F R' U2
F2 R L' U L2 F U2
U2 R L' U D2 B R2
U2 R L' U B D2 R2
U2 R L' U' L2 U2 B
F2 R L' U' D2 R2 B'
F2 R L' U' D2 B' R2
F2 R L' U' B' D2 R2
F2 R L' D F2 U' B'
U2 R L' D' B2 U B'
F2 R L' D2 U' R2 B'
F2 R L' D2 U' B' R2
U2 R L' D2 U B R2
U2 R L2 U' L' U2 B
U2 R U R B2 R' B
U2 R U D B2 R' B'
U2 R U D' B2 R' B'
U2 R U D2 B2 R' B'
U2 R U B2 R B' R2
U2 R U B2 R' D B'
U2 R U B2 R' D' B'
U2 R U B2 R' D2 B'
U2 R U B2 R' B' D
U2 R U B2 R' B' D'
U2 R U B2 R' B' D2
U2 R U B2 R2 B' R
U2 R U B2 D R' B'
U2 R U B2 D' R' B'
U2 R U B2 D2 R' B'
U2 R U' L U2 D B
U2 R U' L U2 D' B
U2 R U' L U2 D2 B
U2 R U' L U2 B D
U2 R U' L U2 B D'
U2 R U' L U2 B D2
U2 R U' L D U2 B
U2 R U' L D' U2 B
U2 R U' L D2 U2 B
U2 R U' L F U2 B
U2 R U' L F' U2 B
U2 R U' L F2 U2 B
U2 R U' D L U2 B
U2 R U' D' L U2 B
U R U' L R' F U2
U2 R U' D2 L U2 B
U R U' L F R' U2
U2 R U' F L U2 B
U2 R U' F' L U2 B
U2 R U' F2 L U2 B
U R U' R' L F U2
U2 R D U B2 R' B'
U2 R D U' L U2 B
U2 R D B2 U R' B'
U2 R D' U B2 R' B'
U2 R D' U' L U2 B
U2 R D' B2 U R' B'
U2 R D2 U B2 R' B'
U2 R D2 U' L U2 B
U2 R D2 B2 U R' B'
U2 R B2 U R B' R2
U2 R B2 U R' D B'
U2 R B2 U R' D' B'
U2 R B2 U R' D2 B'
U2 R B2 U R' B' D
U2 R B2 U R' B' D'
U2 R B2 U R' B' D2
U2 R B2 U R2 B' R
U2 R B2 U D R' B'
U2 R B2 U D' R' B'
U2 R B2 U D2 R' B'
U2 R B2 D U R' B'
U2 R B2 D' U R' B'
U2 R B2 D2 U R' B'
F2 R' L' U L2 F U2
F2 R' L' U' D2 R2 B'
F2 R' L' U' D2 B' R2
F2 R' L' U' B' D2 R2
B2 R' L' D B' L2 F
F2 R' L' D F2 U' B'
F2 R' L' D2 U' R2 B'
F2 R' L' D2 U' B' R2
L U2 L2 R U R' B'
L' U2 R U D2 R2 B'
L' U2 R U D2 B' R2
L' U2 R U B' D2 R2
L' U2 R U' L2 F U2
L' U2 R D' B2 U B
L' U2 R D2 U R2 B'
L' U2 R D2 U B' R2
L2 U2 R U' L' F U2
L U2 R L2 U R' B'
L U2 R U' F U2 R'
R2 U2 R' U' L F' U2
R2 U2 R' U' F' L U2
R' U2 R2 U B2 R' B
U2 R' B R2 U B R'
R' U2 R2 B2 U R' B
L' U2 D' R B2 U B
U2 R' B2 R2 U B R
L' U2 D2 R U R B'
L' U2 D2 R U B' R
F2 R2 L' U L2 F U2
F2 R2 L' U' D2 R2 B'
F2 R2 L' U' D2 B' R2
F2 R2 L' U' B' D2 R2
F2 R2 L' D F2 U' B'
F2 R2 L' D2 U' R2 B'
F2 R2 L' D2 U' B' R2
L' D L F2 L' U' B'
D' U L U R U B
D2 U L U R U B
D U L U R U B
U D L U R U B
L2 D F2 L' U' R B
U2 D R U B2 R' B'
U2 D R U' L U2 B
U2 D R B2 U R' B'
U2 D B R U B R'
U2 D B2 R U B R2
U D' L U R U B
L' D' U2 R B2 U B
U2 D' R U B2 R' B'
U2 D' R U' L U2 B
U2 D' R B2 U R' B'
U2 D' B R U B R'
R' D2 L2 U L' F U2
U2 D' B2 R U B R2
U D2 L U R U B
D' U2 R U B2 R' B'
D' U2 R U' L U2 B
D2 U2 R U B2 R' B'
D2 U2 R U' L U2 B
D' U2 R B2 U R' B'
U2 D2 R U B2 R' B'
U2 D2 R U' L U2 B
D2 U2 R B2 U R' B'
D U2 R U B2 R' B'
D U2 R U' L U2 B
U2 D2 R B2 U R' B'
D U2 R B2 U R' B'
L' D2 U2 R U R B'
L' D2 U2 R U B' R
D' U2 B R U B R'
D2 U2 B R U B R'
U2 D2 B R U B R'
D U2 B R U B R'
D' U2 B2 R U B R2
D2 U2 B2 R U B R2
U2 D2 B2 R U B R2
D U2 B2 R U B R2
F2 D L' U L2 F U2
F2 D L' U' D2 R2 B'
F2 D L' U' D2 B' R2
F2 D L' U' B' D2 R2
F2 D L' D F2 U' B'
F2 D L' D2 U' R2 B'
F2 D L' D2 U' B' R2
F2 D' L' U L2 F U2
F2 D' L' U' D2 R2 B'
F2 D' L' U' D2 B' R2
F2 D' L' U' B' D2 R2
F2 D' L' D F2 U' B'
F2 D' L' D2 U' R2 B'
F2 D' L' D2 U' B' R2
D2 F2 L' U L2 F U2
D' F2 L' U L2 F U2
D2 F2 L' U' D2 R2 B'
D2 F2 L' U' D2 B' R2
D2 F2 L' U' B' D2 R2
D' F2 L' U' D2 R2 B'
D' F2 L' U' D2 B' R2
D' F2 L' U' B' D2 R2
L' F2 L' U L' F U2
D2 F2 L' D F2 U' B'
D' F2 L' D F2 U' B'
D2 F2 L' D2 U' R2 B'
D2 F2 L' D2 U' B' R2
D' F2 L' D2 U' R2 B'
D' F2 L' D2 U' B' R2
D F2 L' U L2 F U2
D F2 L' U' D2 R2 B'
D F2 L' U' D2 B' R2
D F2 L' U' B' D2 R2
D F2 L' D F2 U' B'
D F2 L' D2 U' R2 B'
D F2 L' D2 U' B' R2
L F2 L' U L F' U2
L F2 L' U F' L U2
F2 D2 L' U L2 F U2
F2 D2 L' U' D2 R2 B'
F2 D2 L' U' D2 B' R2
F2 D2 L' U' B' D2 R2
F2 D2 L' D F2 U' B'
F2 D2 L' D2 U' R2 B'
F2 D2 L' D2 U' B' R2
U2 B L R U B R'
U2 B L' R U B R'
U2 B L2 R U B R'
U2 B R L U B R'
U2 B R L' U B R'
U2 B R L2 U B R'
U2 B R U B R' D
U2 B R U B R' D'
U2 B R U B R' D2
U2 B R U B D R'
U2 B R U B D' R'
U2 B R U B D2 R'
U2 B R B' U B2 R'
U' B U' R U B R'
U2 B' R B' U R' B2
F2 B' L' B U' B2 R'
U2 B2 L R U B R2
U2 B2 L' R U B R2
U2 B2 L2 R U B R2
U2 B2 R L U B R2
U2 B2 R L' U B R2
U2 B2 R L2 U B R2
U2 B2 R U B R2 D
U2 B2 R U B R2 D'
U2 B2 R U B R2 D2
U2 B2 R U B' R2 B2
U2 B2 R U B2 R2 B'
B' F2 L' B U' B2 R'
U2 B2 R D B2 U B'
U2 B2 R B' U R2 B2
U2 B2 R B' U B2 R2
U2 B2 R B2 U R2 B'
U2 B2 R B2 U B' R2
U' B2 U' R U B R2
U2 B2 D R U B R2
U2 B2 D' R U B R2
U2 B2 D2 R U B R2
