R2 L U' L' F'
R2 L' U' L F'
R2 L' U' F' L
L' R2 U' L F'
L' R2 U' F' L
L2 R2 U' L2 F'
R2 L2 U' L2 F'
L R2 U' L' F'
R2 L2 U' F' L2
L2 R2 U' F' L2
F2 D R2 F' B2
F2 D R2 B2 F'
F2 D F R2 F' B2
F2 D F R2 B2 F'
F2 D F' R2 F' B2
F2 D F' R2 B2 F'
F2 D F2 R2 F' B2
F2 D F2 R2 B2 F'
R2 B L U' L' F'
R2 B L' U' L F'
R2 B L' U' F' L
R2 B L2 U' L2 F'
R2 B L2 U' F' L2
U B U' R2 B' U'
U B U' B' R2 U'
R2 B' L U' L' F'
R2 B' L' U' L F'
R2 B' L' U' F' L
R2 B' L2 U' L2 F'
R2 B' L2 U' F' L2
R2 B2 L U' L' F'
R2 B2 L' U' L F'
R2 B2 L' U' F' L
R2 B2 L2 U' L2 F'
R2 B2 L2 U' F' L2
L2 B2 R2 U' L2 F
B2 F2 D B2 R2 F'
F2 B2 D B2 R2 F'
R2 L U R2 B U2 L'
R2 L U B U2 L' F'
R2 L U B' U2 L' F'
R2 L U B2 U2 L' F'
R2 L U' L F L2 F2
R2 L U' L F' L2 D
R2 L U' L F' L2 D'
R2 L U' L F' L2 D2
R2 L U' L' D F' D
R2 L U' L' D F' D'
R2 L U' L' D F' D2
R2 L U' L' D' F' D
R2 L U' L' D' F' D'
R2 L U' L' D' F' D2
R2 L U' L' D2 F' D
R2 L U' L' D2 F' D'
R2 L U' L' D2 F' D2
R2 L U' L' F2 D F
R2 L U' L' F2 D' F
R2 L U' L' F2 D2 F
R2 L U' L2 D L F'
R2 L U' L2 D F' L
R2 L U' L2 D' L F'
R2 L U' L2 D' F' L
R2 L U' L2 D2 L F'
R2 L U' L2 D2 F' L
R2 L U' L2 F L F2
R2 L U' L2 F' L D
R2 L U' L2 F' L D'
R2 L U' L2 F' L D2
R2 L U' L2 F' D L
R2 L U' L2 F' D' L
R2 L U' L2 F' D2 L
R2 L U' D L F' L2
R2 L U' D L' D F'
R2 L U' D L' D' F'
R2 L U' D L' D2 F'
R2 L U' D L' F' D
R2 L U' D L' F' D'
R2 L U' D L' F' D2
R2 L U' D L2 F' L
R2 L U' D' L F' L2
R2 L U' D' L' D F'
R2 L U' D' L' D' F'
R2 L U' D' L' D2 F'
R2 L U' D' L' F' D
R2 L U' D' L' F' D'
R2 L U' D' L' F' D2
R2 L U' D' L2 F' L
R2 L U' D2 L F' L2
R2 L U' D2 L' D F'
R2 L U' D2 L' D' F'
R2 L U' D2 L' D2 F'
R2 L U' D2 L' F' D
R2 L U' D2 L' F' D'
R2 L U' D2 L' F' D2
R2 L U' D2 L2 F' L
B' L R2 U B2 U2 L'
B' L R2 U' L' D2 F2
B' L R2 U' D2 L' F2
B' L R2 D L2 U' L
D L R2 U' L' F' B2
D L R2 U' L' B2 F'
U L R2 U L' U2 F'
R2 L U' B' L' F' B
D L R2 U' B2 L' F'
R2 L U' B' L' B F'
B' L R2 D2 U' L' F2
U L R2 U' F2 R F
R2 L U' B2 L' F' B2
R2 L U' B2 L' B2 F'
U L R2 F2 U' R F
R2 L D L U' L2 F'
R2 L D L U' F' L2
R' L D R' U' L' F'
R2 L D L2 U' L F'
R2 L D L2 U' F' L
D' L U F2 B R U2
D' L U B F2 R U2
D L U B U2 L' B
D L U B U2 B L'
R2 L D U' L F' L2
R2 L D U' L' D F'
R2 L D U' L' D' F'
R2 L D U' L' D2 F'
R2 L D U' L' F' D
R2 L D U' L' F' D'
R2 L D U' L' F' D2
R2 L D U' L2 F' L
D L U' L B2 L2 F
R2 L D B U' L' F'
R2 L D B' U' L' F'
B L U' R2 U' L' R2
B L U' R2 U' R2 L'
R2 L D B2 U' L' F'
R2 L D' L U' L2 F'
R2 L D' L U' F' L2
R' L D' R' U' L' F'
R2 L D' L2 U' L F'
R2 L D' L2 U' F' L
R2 L D' U' L F' L2
R2 L D' U' L' D F'
R2 L D' U' L' D' F'
R2 L D' U' L' D2 F'
R2 L D' U' L' F' D
R2 L D' U' L' F' D'
R2 L D' U' L' F' D2
R2 L D' U' L2 F' L
D L U' B2 L2 F L
R2 L D' B U' L' F'
R2 L D' B' U' L' F'
R2 L D' B2 U' L' F'
R2 L D2 L U' L2 F'
R2 L D2 L U' F' L2
R' L D2 R' U' L' F'
R2 L D2 L2 U' L F'
R2 L D2 L2 U' F' L
L R D2 R U' L' F
R L D2 R U' L' F
R2 L D2 U' L F' L2
R2 L D2 U' L' D F'
R2 L D2 U' L' D' F'
R2 L D2 U' L' D2 F'
R2 L D2 U' L' F' D
R2 L D2 U' L' F' D'
R2 L D2 U' L' F' D2
R2 L D2 U' L2 F' L
B' L D L2 U' L B2
F2 L D L' R2 F' B2
F2 L D L' R2 B2 F'
D' L D R2 U' L' F'
R2 L D2 B U' L' F'
F2 L D R2 L' F' B2
F2 L D R2 L' B2 F'
R2 L D2 B' U' L' F'
F2 L D R2 B2 L' F'
R2 L D2 B2 U' L' F'
D L D' R2 U' L' F'
R2 L B L U' L2 F'
R2 L B L U' F' L2
R2 L B L2 U' L F'
R2 L B L2 U' F' L
L R B R U' L' F'
L2 R B R U' L2 F'
L2 R B R U' F' L2
R L B R U' L' F'
R2 L B U' L F' L2
R2 L B U' L' D F'
R2 L B U' L' D' F'
R2 L B U' L' D2 F'
R2 L B U' L' F' D
R2 L B U' L' F' D'
R2 L B U' L' F' D2
R2 L B U' L2 F' L
R2 L B U' D L' F'
R2 L B U' D' L' F'
R2 L B U' D2 L' F'
R2 L B D U' L' F'
R2 L B D' U' L' F'
R2 L B D2 U' L' F'
R2 L B' L U' L2 F'
R2 L B' L U' F' L2
U L F' R2 U' F' R
R2 L B' L2 U' L F'
R2 L B' L2 U' F' L
L2 R B' R U' L2 F'
L2 R B' R U' F' L2
L R B' R U' L' F'
R L B' R U' L' F'
R2 L B' U' L F' L2
R2 L B' U' L' D F'
R2 L B' U' L' D' F'
R2 L B' U' L' D2 F'
R2 L B' U' L' F' D
R2 L B' U' L' F' D'
R2 L B' U' L' F' D2
R2 L B' U' L2 F' L
R2 L B' U' D L' F'
R2 L B' U' D' L' F'
R2 L B' U' D2 L' F'
R2 L B' D U' L' F'
R2 L B' D' U' L' F'
R2 L B' D2 U' L' F'
R2 L B2 L U' L2 F'
R2 L B2 L U' F' L2
U L F2 R2 U' F' R'
R2 L B2 L2 U' L F'
R2 L B2 L2 U' F' L
L2 R B2 R U' L2 F'
L2 R B2 R U' F' L2
L R B2 R U' L' F'
R L B2 R U' L' F'
R2 L B2 U' L F' L2
R2 L B2 U' L' D F'
R2 L B2 U' L' D' F'
R2 L B2 U' L' D2 F'
R2 L B2 U' L' F' D
R2 L B2 U' L' F' D'
R2 L B2 U' L' F' D2
R2 L B2 U' L2 F' L
R2 L B2 U' D L' F'
R2 L B2 U' D' L' F'
R2 L B2 U' D2 L' F'
R2 L B2 D U' L' F'
R2 L B2 D' U' L' F'
R2 L B2 D2 U' L' F'
B' L B R2 U' L' F'
R2 L' U R U2 L F
R2 L' U B' U2 F' L'
R2 L' U' L D F' D
R2 L' U' L D F' D'
R2 L' U' L D F' D2
B L B' R2 U' L' F'
R2 L' U' L D' F' D
R2 L' U' L D' F' D'
R2 L' U' L D' F' D2
R2 L' U' L D2 F' D
R2 L' U' L D2 F' D'
R2 L' U' L D2 F' D2
R2 L' U' L F2 D F
R2 L' U' L F2 D' F
R2 L' U' L F2 D2 F
R2 L' U' L' F L2 F2
R2 L' U' L' F' L2 D
R2 L' U' L' F' L2 D'
R2 L' U' L' F' L2 D2
R2 L' U' L2 D L' F'
R2 L' U' L2 D' L' F'
R2 L' U' L2 D2 L' F'
R2 L' U' D L D F'
R2 L' U' D L D' F'
R2 L' U' D L D2 F'
R2 L' U' D L F' D
R2 L' U' D L F' D'
R2 L' U' D L F' D2
R2 L' U' D L' F' L2
R2 L' U' D F L F2
R2 L' U' D F' L D
R2 L' U' D F' L D'
R2 L' U' D F' L D2
R2 L' U' D F' D L
R2 L' U' D F' D' L
R2 L' U' D F' D2 L
R2 L' U' D' L D F'
R2 L' U' D' L D' F'
R2 L' U' D' L D2 F'
R2 L' U' D' L F' D
R2 L' U' D' L F' D'
R2 L' U' D' L F' D2
R2 L' U' D' L' F' L2
R2 L' U' D' F L F2
R2 L' U' D' F' L D
R2 L' U' D' F' L D'
R2 L' U' D' F' L D2
R2 L' U' D' F' D L
R2 L' U' D' F' D' L
R2 L' U' D' F' D2 L
R2 L' U' D2 L D F'
R2 L' U' D2 L D' F'
R2 L' U' D2 L D2 F'
R2 L' U' D2 L F' D
R2 L' U' D2 L F' D'
R2 L' U' D2 L F' D2
R2 L' U' D2 L' F' L2
R2 L' U' D2 F L F2
R2 L' U' D2 F' L D
R2 L' U' D2 F' L D'
R2 L' U' D2 F' L D2
R2 L' U' D2 F' D L
R2 L' U' D2 F' D' L
R2 L' U' D2 F' D2 L
R2 L' U' F L F2 D
R2 L' U' F L F2 D'
R2 L' U' F L F2 D2
R2 L' U' F L' F2 L2
R2 L' U' F' L2 D L'
R2 L' U' F' L2 D' L'
R2 L' U' F' L2 D2 L'
R2 L' U' F' D L D
R2 L' U' F' D L D'
R2 L' U' F' D L D2
R2 L' U' F' D' L D
R2 L' U' F' D' L D'
R2 L' U' F' D' L D2
R2 L' U' F' D2 L D
R2 L' U' F' D2 L D'
R2 L' U' F' D2 L D2
R2 L' U' F2 D F L
R2 L' U' F2 D' F L
R2 L' U' F2 D2 F L
R2 L' U2 F U L F2
R2 L' U2 F U F2 L
R2 L' U2 F2 U F L
R' L' D R' U' L F'
R' L' D R' U' F' L
L' R' D R' U' L F'
L' R' D R' U' F' L
R2 L' D L' U' L2 F'
R2 L' D L' U' F' L2
R2 L' D L2 U' L' F'
L R' D R' U' L' F'
R2 L' D U' L D F'
R2 L' D U' L D' F'
R2 L' D U' L D2 F'
R2 L' D U' L F' D
R2 L' D U' L F' D'
R2 L' D U' L F' D2
R2 L' D U' L' F' L2
R2 L' D U' F L F2
R2 L' D U' F' L D
R2 L' D U' F' L D'
R2 L' D U' F' L D2
R2 L' D U' F' D L
R2 L' D U' F' D' L
R2 L' D U' F' D2 L
R' L' D' R' U' L F'
R' L' D' R' U' F' L
L' R' D' R' U' L F'
L' R' D' R' U' F' L
R2 L' D' L' U' L2 F'
R2 L' D' L' U' F' L2
R2 L' D' L2 U' L' F'
B' L' R2 U B2 R' U2
B' L' R2 U' L D2 F2
B' L' R2 U' D2 L F2
B' L' R2 U' D2 F2 L
L R' D' R' U' L' F'
D L' R2 U' L F' B2
D L' R2 U' L B2 F'
B2 L' R2 U' L' F L2
L2 R' D' R' B2 U' F'
D L' R2 U' F' L B2
B' L' R2 D L2 U' L'
U L' R2 U L U2 F'
R2 L' D' U' L D F'
R2 L' D' U' L D' F'
R2 L' D' U' L D2 F'
R2 L' D' U' L F' D
R2 L' D' U' L F' D'
R2 L' D' U' L F' D2
R2 L' D' U' L' F' L2
B' L' R2 D2 U' L F2
R2 L' D' U' F L F2
B' L' R2 D2 U' F2 L
R2 L' D' U' F' L D
R2 L' D' U' F' L D'
R2 L' D' U' F' L D2
R2 L' D' U' F' D L
R2 L' D' U' F' D' L
R2 L' D' U' F' D2 L
F2 L' R2 F2 U' F L
R' L' D2 R' U' L F'
R' L' D2 R' U' F' L
L' R' D2 R' U' L F'
L' R' D2 R' U' F' L
R2 L' D2 L' U' L2 F'
R2 L' D2 L' U' F' L2
R2 L' D2 L2 U' L' F'
L R' D2 R' U' L' F'
R2 L' D2 U' L D F'
R2 L' D2 U' L D' F'
R2 L' D2 U' L D2 F'
R2 L' D2 U' L F' D
R2 L' D2 U' L F' D'
R2 L' D2 U' L F' D2
R2 L' D2 U' L' F' L2
R2 L' D2 U' F L F2
R2 L' D2 U' F' L D
R2 L' D2 U' F' L D'
R2 L' D2 U' F' L D2
R2 L' D2 U' F' D L
R2 L' D2 U' F' D' L
R2 L' D2 U' F' D2 L
D L' U' L' B2 L2 F
B L' U' R2 U' L R2
B L' U' R2 U' R2 L
F2 L' D L R2 F' B2
F2 L' D L R2 B2 F'
B' L' D L2 U' L' B2
B' L' D L2 U' B2 L'
D' L' D R2 U' L F'
D' L' D R2 U' F' L
F2 L' D R2 L F' B2
F2 L' D R2 L B2 F'
F2 L' D R2 F' L B2
D L' D' R2 U' L F'
D L' D' R2 U' F' L
L' R2 U R U2 L F
R2 L2 U R2 B U2 L2
L2 R2 U R2 B U2 L2
L R2 U R2 B U2 L'
L2 R2 U D2 R2 B U2
R2 L2 U D2 R2 B U2
F L' F' R2 U' L F'
F L' F' R2 U' F' L
L' R2 U B' U2 F' L'
L' R2 U' L D F' D
L' R2 U' L D F' D'
L' R2 U' L D F' D2
L' R2 U' L D' F' D
L' R2 U' L D' F' D'
L' R2 U' L D' F' D2
L' R2 U' L D2 F' D
L' R2 U' L D2 F' D'
L' R2 U' L D2 F' D2
L' R2 U' L F2 D F
L' R2 U' L F2 D' F
L' R2 U' L F2 D2 F
L' R2 U' L' F L2 F2
L' R2 U' L' F' L2 D
L' R2 U' L' F' L2 D'
L' R2 U' L' F' L2 D2
L2 R2 U B U2 L2 F'
L2 R2 U B U2 F' L2
L' R2 U' L2 D L' F'
R2 L2 U B U2 L2 F'
R2 L2 U B U2 F' L2
L' R2 U' L2 D' L' F'
L' R2 U' L2 D2 L' F'
L R2 U B U2 L' F'
L2 R2 U B' U2 L2 F'
L2 R2 U B' U2 F' L2
R2 L2 U B' U2 L2 F'
R2 L2 U B' U2 F' L2
L R2 U B' U2 L' F'
L2 R2 U B2 U2 L2 F'
L2 R2 U B2 U2 F' L2
R2 L2 U B2 U2 L2 F'
R2 L2 U B2 U2 F' L2
L R2 U B2 U2 L' F'
L2 R2 U' L D L F'
L2 R2 U' L D F' L
L2 R2 U' L D' L F'
L2 R2 U' L D' F' L
L2 R2 U' L D2 L F'
L2 R2 U' L D2 F' L
L2 R2 U' L F L F2
L2 R2 U' L F' L D
L2 R2 U' L F' L D'
L2 R2 U' L F' L D2
L2 R2 U' L F' D L
L2 R2 U' L F' D' L
L2 R2 U' L F' D2 L
R2 L2 U' L D L F'
R2 L2 U' L D F' L
R2 L2 U' L D' L F'
R2 L2 U' L D' F' L
R2 L2 U' L D2 L F'
R2 L2 U' L D2 F' L
R2 L2 U' L F L F2
R2 L2 U' L F' L D
R2 L2 U' L F' L D'
R2 L2 U' L F' L D2
R2 L2 U' L F' D L
R2 L2 U' L F' D' L
R2 L2 U' L F' D2 L
L R2 U' L F L2 F2
L R2 U' L F' L2 D
L R2 U' L F' L2 D'
L R2 U' L F' L2 D2
L2 R2 U' L' D L' F'
L' R2 U' D L D F'
L' R2 U' D L D' F'
L' R2 U' D L D2 F'
L' R2 U' D L F' D
L' R2 U' D L F' D'
L' R2 U' D L F' D2
L2 R2 U' L' D' L' F'
L' R2 U' D L' F' L2
L2 R2 U' L' D2 L' F'
R2 L2 U' L' D L' F'
R2 L2 U' L' D' L' F'
R2 L2 U' L' D2 L' F'
L' R2 U' D F L F2
L' R2 U' D F' L D
L' R2 U' D F' L D'
L' R2 U' D F' L D2
L' R2 U' D F' D L
L' R2 U' D F' D' L
L' R2 U' D F' D2 L
L R2 U' L' D F' D
L R2 U' L' D F' D'
L R2 U' L' D F' D2
L R2 U' L' D' F' D
L R2 U' L' D' F' D'
L R2 U' L' D' F' D2
L R2 U' L' D2 F' D
L R2 U' L' D2 F' D'
L R2 U' L' D2 F' D2
L' R2 U' D' L D F'
L' R2 U' D' L D' F'
L' R2 U' D' L D2 F'
L' R2 U' D' L F' D
L' R2 U' D' L F' D'
L' R2 U' D' L F' D2
L R2 U' L' F2 D F
L R2 U' L' F2 D' F
L R2 U' L' F2 D2 F
L' R2 U' D' L' F' L2
L2 R2 U' L2 D F' D
L2 R2 U' L2 D F' D'
L2 R2 U' L2 D F' D2
L2 R2 U' L2 D' F' D
L2 R2 U' L2 D' F' D'
L2 R2 U' L2 D' F' D2
L2 R2 U' L2 D2 F' D
L2 R2 U' L2 D2 F' D'
L2 R2 U' L2 D2 F' D2
L' R2 U' D' F L F2
R2 L2 U' L2 D F' D
R2 L2 U' L2 D F' D'
R2 L2 U' L2 D F' D2
R2 L2 U' L2 D' F' D
R2 L2 U' L2 D' F' D'
R2 L2 U' L2 D' F' D2
L' R2 U' D' F' L D
L' R2 U' D' F' L D'
L' R2 U' D' F' L D2
L2 R2 U' L2 F2 D F
L2 R2 U' L2 F2 D' F
L' R2 U' D' F' D L
L2 R2 U' L2 F2 D2 F
L' R2 U' D' F' D' L
L' R2 U' D' F' D2 L
R2 L2 U' L2 D2 F' D
R2 L2 U' L2 D2 F' D'
R2 L2 U' L2 D2 F' D2
L R2 U' L2 D L F'
L R2 U' L2 D F' L
R2 L2 U' L2 F2 D F
R2 L2 U' L2 F2 D' F
R2 L2 U' L2 F2 D2 F
L R2 U' L2 D' L F'
L R2 U' L2 D' F' L
L R2 U' L2 D2 L F'
L' R2 U' D2 L D F'
L' R2 U' D2 L D' F'
L' R2 U' D2 L D2 F'
L' R2 U' D2 L F' D
L' R2 U' D2 L F' D'
L' R2 U' D2 L F' D2
L R2 U' L2 D2 F' L
L R2 U' L2 F L F2
L' R2 U' D2 L' F' L2
L R2 U' L2 F' L D
L R2 U' L2 F' L D'
L R2 U' L2 F' L D2
L R2 U' L2 F' D L
L R2 U' L2 F' D' L
L R2 U' L2 F' D2 L
L' R2 U' D2 F L F2
L' R2 U' D2 F' L D
L' R2 U' D2 F' L D'
L' R2 U' D2 F' L D2
L' R2 U' D2 F' D L
L' R2 U' D2 F' D' L
L' R2 U' D2 F' D2 L
L' R2 U' F L F2 D
L' R2 U' F L F2 D'
L' R2 U' F L F2 D2
L' R2 U' F L' F2 L2
F2 L' F2 R2 U' L F'
F2 L' F2 R2 U' F' L
L' R2 U' F' L2 D L'
L' R2 U' F' L2 D' L'
L' R2 U' F' L2 D2 L'
L' R2 U' F' D L D
L' R2 U' F' D L D'
L' R2 U' F' D L D2
L' R2 U' F' D' L D
L' R2 U' F' D' L D'
L' R2 U' F' D' L D2
L' R2 U' F' D2 L D
L' R2 U' F' D2 L D'
L' R2 U' F' D2 L D2
L' R2 U' F2 D F L
L R2 U' D L F' L2
L' R2 U' F2 D' F L
L R2 U' D L' D F'
L R2 U' D L' D' F'
L R2 U' D L' D2 F'
L R2 U' D L' F' D
L R2 U' D L' F' D'
L R2 U' D L' F' D2
L' R2 U' F2 D2 F L
L R2 U' D L2 F' L
L2 R2 U' D' F' D L2
L R2 U' D' L F' L2
L R2 U' D' L' D F'
L R2 U' D' L' D' F'
L R2 U' D' L' D2 F'
L R2 U' D' L' F' D
L R2 U' D' L' F' D'
L R2 U' D' L' F' D2
R2 L2 U' D' F' D L2
L R2 U' D' L2 F' L
L2 R2 U' D2 F' D2 L2
L R2 U' D2 L F' L2
L R2 U' D2 L' D F'
L R2 U' D2 L' D' F'
L R2 U' D2 L' D2 F'
L R2 U' D2 L' F' D
L R2 U' D2 L' F' D'
L R2 U' D2 L' F' D2
L2 R2 U' F L F2 L
R2 L2 U' D2 F' D2 L2
L R2 U' D2 L2 F' L
L2 R2 U' F L2 F2 D
L2 R2 U' F L2 F2 D'
L2 R2 U' F L2 F2 D2
R2 L2 U' F L F2 L
R2 L2 U' F L2 F2 D
R2 L2 U' F L2 F2 D'
R2 L2 U' F L2 F2 D2
L2 R2 U' F' L D L
L2 R2 U' F' L D' L
L2 R2 U' F' L D2 L
L2 R2 U' F' L' D L'
L2 R2 U' F' L' D' L'
L2 R2 U' F' L' D2 L'
R2 L2 U' F' L D L
R2 L2 U' F' L D' L
R2 L2 U' F' L D2 L
R2 L2 U' F' L' D L'
R2 L2 U' F' L' D' L'
R2 L2 U' F' L' D2 L'
L2 R2 U' F' B' L2 B
L2 R2 U' F' B2 L2 B2
R2 L2 U' F' B' L2 B
R2 L2 U' F' B2 L2 B2
L2 R2 U' B' L2 F' B
L2 R2 U' B' L2 B F'
R2 L2 U' B' L2 F' B
R2 L2 U' B' L2 B F'
L2 R2 U' B' F' L2 B
L R2 U' B' L' F' B
L R2 U' B' L' B F'
L2 R2 U' B2 L2 F' B2
L2 R2 U' B2 L2 B2 F'
R2 L2 U' B' F' L2 B
R2 L2 U' B2 L2 F' B2
R2 L2 U' B2 L2 B2 F'
L2 R2 U' B2 F' L2 B2
L R2 U' B2 L' F' B2
L R2 U' B2 L' B2 F'
R2 L2 U' B2 F' L2 B2
L' R2 U2 F U L F2
L' R2 U2 F U F2 L
L' R2 U2 F2 U F L
L2 R2 U2 D F2 U F
R2 L2 U2 D F2 U F
L2 R2 U2 F U L2 F2
L2 R2 U2 F U F2 L2
R2 L2 U2 F U L2 F2
R2 L2 U2 F U F2 L2
L2 R2 U2 F2 U F L2
L' R2 D L' U' L2 F'
L' R2 D L' U' F' L2
R2 L2 U2 F2 U F L2
L' R2 D L2 U' L' F'
L R2 D L U' L2 F'
L R2 D L U' F' L2
L' R2 D U' L D F'
L' R2 D U' L D' F'
L' R2 D U' L D2 F'
L' R2 D U' L F' D
L' R2 D U' L F' D'
L' R2 D U' L F' D2
L' R2 D U' L' F' L2
L' R2 D U' F L F2
L' R2 D U' F' L D
L' R2 D U' F' L D'
L' R2 D U' F' L D2
L' R2 D U' F' D L
L' R2 D U' F' D' L
L' R2 D U' F' D2 L
L R2 D L2 U' L F'
L R2 D L2 U' F' L
L R2 D U' L F' L2
L R2 D U' L' D F'
L R2 D U' L' D' F'
L R2 D U' L' D2 F'
L R2 D U' L' F' D
L R2 D U' L' F' D'
L R2 D U' L' F' D2
L R2 D U' L2 F' L
L2 R2 D U2 F2 U F
R2 L2 D U2 F2 U F
L' R2 D' L' U' L2 F'
L' R2 D' L' U' F' L2
L' R2 D' L2 U' L' F'
L R2 D B U' L' F'
R' L2 D' R' B2 U' F'
L R2 D B' U' L' F'
L R2 D B2 U' L' F'
L2 R2 D' L B2 U' F'
R2 L2 D' L B2 U' F'
L R2 D' L U' L2 F'
L R2 D' L U' F' L2
L2 R2 D' L' B2 U' F'
L' R2 D' U' L D F'
L' R2 D' U' L D' F'
L' R2 D' U' L D2 F'
L' R2 D' U' L F' D
L' R2 D' U' L F' D'
L' R2 D' U' L F' D2
L' R2 D' U' L' F' L2
R2 L2 D' L' B2 U' F'
L' R2 D' U' F L F2
L' R2 D' U' F' L D
L' R2 D' U' F' L D'
L' R2 D' U' F' L D2
L' R2 D' U' F' D L
L' R2 D' U' F' D' L
L' R2 D' U' F' D2 L
L2 R2 D' L2 B2 U' F'
L R2 D' L2 U' L F'
R2 L2 D' L2 B2 U' F'
L R2 D' L2 U' F' L
L2 R2 D' U' F' D L2
R2 L2 D' U' F' D L2
L R2 D' U' L F' L2
L R2 D' U' L' D F'
L R2 D' U' L' D' F'
L R2 D' U' L' D2 F'
L R2 D' U' L' F' D
L R2 D' U' L' F' D'
L R2 D' U' L' F' D2
L R2 D' U' L2 F' L
L' R2 D2 L' U' L2 F'
L' R2 D2 L' U' F' L2
L' R2 D2 L2 U' L' F'
