D L U' L2 U F
R' L D' R F' B2
R' L D' R B2 F'
R' L D' B2 R F'
L R' D' R F' B2
L R' D' R B2 F'
L R' D' B2 R F'
D L' F L2 D' B2
L2 D L' D' F B2
L2 D L' D' B2 F
L2 D L' F D' B2
U' D L' U F L2
L D' R F' R' B2
D U' L' U F L2
L D' B2 R F' R'
L' B R' U L2 R
L' B R' U R L2
L B U' L2 R' U
L B U' R' L2 U
D2 L D' B2 L' F L
D L D' B D2 F2 B
D L D' B D2 B F2
D L D' B2 R2 F' R2
D L D' B2 U2 B U2
U2 L D' B2 F2 R F'
D L F U' L2 U F
R' L B R D' F2 B2
R' L B R D' B2 F2
D2 L F' U' L2 R U
D2 L F' U' R L2 U
D L F' U' L2 U F
D L F2 U' L2 U F
U2 L F2 D' R F' B2
U2 L F2 D' R B2 F'
U2 L F2 D' B2 R F'
R' L' U L2 D' R F'
L' R' U L2 D' R F'
D L B D' B2 D' F2
D L B D2 F2 D B2
F2 L B' U L R U'
F2 L B' U R L U'
D L B' D' B2 D2 F2
D' L' R U L2 F' R'
D' L' R U F' L2 R'
D' L' R U F' R' L2
D L' R U R' F L2
D L' R U F L2 R'
D L' R U F R' L2
D L' R' U R F L2
B L' R' B' U L R
L R' D' R F' B2 D
L R' D' R F' B2 D'
L R' D' R F' B2 D2
B L' R' B' U R L
L R' D' R B2 D F'
L R' D' R B2 D' F'
L R' D' R B2 D2 F'
L R' D' R B2 F' D
L R' D' R B2 F' D'
L R' D' R B2 F' D2
D L' R2 U R2 F L2
D L' R2 U F L2 R2
D L' R2 U F R2 L2
L R' D' B' R F' B'
L R' D' B' R B' F'
L R' D' B2 R D F'
L R' D' B2 R D' F'
L R' D' B2 R D2 F'
L R' D' B2 R F' D
L R' D' B2 R F' D'
L R' D' B2 R F' D2
U' L' U L' D L' F
U' L' U2 B' L U' L
R' L' B R' U L2 R2
R' L' B R' U R2 L2
L' R' B R' U L2 R2
L' R' B R' U R2 L2
L R' B R D' F2 B2
L R' B R D' B2 F2
R2 L' B R' U L2 R'
R2 L' B R' U R' L2
R2 L' B R' U R' L2
D L' F L2 U' L2 U
D L' F L2 D' B2 D
D L' F L2 D' B2 D'
D L' F L2 D' B2 D2
D L' F L2 B D' B2
D L' F L2 B' D' B2
D L' F L2 B2 D' B2
D L' F B L2 D' B2
D L' F B' L2 D' B2
D2 L' F' R U L2 R'
D2 L' F' R U R' L2
D L' F B2 L2 D' B2
D L' F' L2 F2 D' B2
D L' F2 L2 D' F' B2
D L' F2 L2 D' B2 F'
D L' F2 L2 F' D' B2
U' L' B R' B' U L2
D L' B F L2 D' B2
D L' B' F L2 D' B2
U2 L' B2 U L2 R' F'
U2 L' B2 U R' L2 F'
U2 L' B2 U R' F' L2
D L' B2 F L2 D' B2
L' R2 B R' U L2 R'
L' R2 B R' U R' L2
U' L2 D L U L2 F
D2 L2 D' L' D' F B2
D2 L2 D' L' D' B2 F
D2 L2 D' L' F D' B2
R' U L D' R F' B2
R' U L D' R B2 F'
R' U L D' B2 R F'
D' L2 D2 L' D' F B2
D' L2 D2 L' D' B2 F
D' L2 D2 L' F D' B2
L U D' R U' F' B2
L U D' R U' B2 F'
D' R L D' F' R' B2
D' R L F' R' D' B2
D' R L F' D' R' B2
D' R L' U L2 F' R'
D' R L' U F' L2 R'
D' R L' U F' R' L2
D R L' U R' F L2
D R L' U F L2 R'
D R L' U F R' L2
L' U B' L U' L B
U' R D L' U F L2
R' U' L D' R F' B2
R' U' L D' R B2 F'
R' U' L D' B2 R F'
L U' L' D L' U F
D' R F' L D R' B
D' R F' R' D' L B'
D' R F' D L R' B
D' R F' D R' L B
D' R F' D' L R' B'
L U' L2 D' R U F'
D' R F' D' R' L B'
L U' L2 B R' B' U
L2 U' D L U L2 F
L U' D' R U F' B2
L U' D' R U B2 F'
D R' L' U R F L2
B R' L' B' U L R
B R' L' B' U R L
L U' B R' B' L2 U
U' R' D L' U F L2
F' R' D' L R F' B'
F' R' D' L R B' F'
F' R' D' L B' R F'
F' R' D' R L F' B'
F' R' D' R L B' F'
F' R' D' R F' L B'
R' U2 L D' R F' B2
R' U2 L D' R B2 F'
R' U2 L D' B2 R F'
B R' B' L' U L2 R
B R' B' L' U R L2
D R2 L' U R2 F L2
D R2 L' U F L2 R2
D R2 L' U F R2 L2
L U2 B U L2 R' U
L U2 B U R' L2 U
U' R2 D L' U F L2
R' D L' U R F L2
R2 D L D' B2 R2 F'
L2 D L' D' F B2 D
L2 D L' D' F B2 D'
L2 D L' D' F B2 D2
L2 D L' D' B2 D F
L2 D L' D' B2 D' F
L2 D L' D' B2 D2 F
L2 D L' D' B2 F D
L2 D L' D' B2 F D'
L2 D L' D' B2 F D2
L2 D L' D2 F D B2
L2 D L' F U' L2 U
L2 D L' F D' B2 D
L2 D L' F D' B2 D'
L2 D L' F D' B2 D2
L2 D L' F B D' B2
L2 D L' F B' D' B2
L2 D L' F B2 D' B2
L2 D L' F2 D' F' B2
L2 D L' F2 D' B2 F'
L2 D L' B D' F B2
L2 D L' B D' B2 F
L2 D L' B F D' B2
L2 D L' B' D' F B2
L2 D L' B' D' B2 F
R D L' U R' F L2
L2 D L' B' F D' B2
R D L' U F L2 R'
R D L' U F R' L2
L2 D L' B2 D' F B2
L2 D L' B2 D' B2 F
L2 D L' B2 F D' B2
R2 D L' B2 U F L2
L D L' D2 F L B2
L D L' F L2 B' L'
L D R' D2 R F' B2
L D R' D2 R B2 F'
L D R' D2 B2 R F'
L2 D U' L U L2 F
U' D L' R U F L2
U' D L' R' U F L2
U' D L' R2 U F L2
U' D L' U F L2 D
U' D L' U F L2 D'
U' D L' U F L2 D2
U' D L' U F' L2 F2
U' D L' U F2 L2 F'
U' D L' D F2 U F'
U' D L' F' U L2 F2
U' D L' F' U F2 L2
U' D L' F2 U L2 F'
U' D L' F2 U F' L2
U' D R L' U F L2
U' D R' L' U F L2
U' D R2 L' U F L2
R' D' L R D' F' B2
R' D' L R D' B2 F'
R' D' L R F' D' B2
F2 U D' R U' L F'
F2 U D' R U' F' L
R' D' L' U L2 R F'
R' D' L' U R L2 F'
R' D' L' U R F' L2
L D' L B2 D2 L' F
R' D' R L D' F' B2
R' D' R L D' B2 F'
R' D' R L F' D' B2
R' D' R F' D' L B'
L D' R F R' F2 B2
L D' R F R' B2 F2
L D' R F' R B2 R2
L D' R F' R' B2 D
L D' R F' R' B2 D'
L D' R F' R' B2 D2
L D' R F' R2 B2 R
L D' R F2 R' F B2
L D' R F2 R' B2 F
D' U' L' R U L2 F'
D' U' L' R U F' L2
U' D' L' R U L2 F'
U' D' L' R U F' L2
D2 U' L' F' R U L2
D U' L' R U F L2
D U' L' R' U F L2
D U' L' R2 U F L2
D U' L' U F L2 D
D U' L' U F L2 D'
D U' L' U F L2 D2
D U' L' U F' L2 F2
D U' L' U F2 L2 F'
L D' R2 B2 R' F' R'
D U' L' D F2 U F'
L D' U R U' F' B2
L D' U R U' B2 F'
D U' L' F' U L2 F2
D U' L' F' U F2 L2
D U' L' F2 U L2 F'
D U' L' F2 U F' L2
U' D' R L' U L2 F'
U' D' R L' U F' L2
D' U' R L' U L2 F'
D' U' R L' U F' L2
L D' U' R U F' B2
L D' U' R U B2 F'
B' U' L' U2 B' L2 U'
B2 U' L' U' R' B' U2
D U' R L' U F L2
D U' R' L' U F L2
L D' F R F' R' B2
L D' F B2 R F' R'
D U' R2 L' U F L2
L D' F' R F' R' B2
R2 D' F2 R U' L F'
R2 D' F2 R U' F' L
L D' F' B2 R F' R'
L D' F2 R F' R' B2
L D' F2 B2 R F' R'
B U' R' D L' F U
L D' B R F' R' B
L D' B' R F' R' B'
B U' D L' R' F U
B U' D L' F R' U
B U' D R' L' F U
L D' B2 L D2 L' F
L D' B2 R D F' R'
L D' B2 R D' F' R'
L D' B2 R D2 F' R'
L D' B2 R F R' F2
L D' B2 R F' R' D
L D' B2 R F' R' D'
L D' B2 R F' R' D2
L D' B2 R F' D R'
L D' B2 R F' D' R'
L D' B2 R F' D2 R'
L D' B2 R F2 R' F
L D' B2 U' R U F'
L D' B2 D2 L' F L
L D' B2 F R F' R'
L D' B2 F' R F' R'
L D' B2 F2 R F' R'
U' D2 L' F' R U L2
L D2 F U L' R2 U'
L D2 F U R2 L' U'
D2 F U L' U' B' L2
L F R' D' R F' B2
L F R' D' R B2 F'
L F R' D' B2 R F'
B D L' F R' U R
L F D' R F' R' B2
L' F B R' U L2 R
L' F B R' U R L2
L F D' B2 R F' R'
L F B U' L2 R' U
L F B U' R' L2 U
B D U' L' R' F U
B D U' L' F R' U
B D U' R' L' F U
L F' R' D' R F' B2
L F' R' D' R B2 F'
L F' R' D' B2 R F'
F' D' L R F' R' B'
F2 D' L U R U' F'
F' D' L B' R F' R'
F' D' L2 D2 L' F B'
F' D' L2 D2 L' B' F
F' D' R L F' R' B'
F2 D' R U' L F' R'
F2 D' R U' F' L R'
F2 D' R U' F' R' L
F' D' R F' L R' B'
F' D' R F' R' L B'
L F' D' R F' R' B2
L' F' B R' U L2 R
L' F' B R' U R L2
L F' D' B2 R F' R'
F2 D' U R U' L F'
F2 D' U R U' F' L
L F' B U' L2 R' U
L F' B U' R' L2 U
D' F2 L U R U' F'
D2 F2 R U' L R' F'
D2 F2 R U' R' L F'
D2 F2 R U' R' F' L
D' F2 R U' L F' R'
D' F2 R U' F' L R'
D' F2 R U' F' R' L
D' F2 U R U' L F'
D' F2 U R U' F' L
L F2 R' D' R F' B2
L F2 R' D' R B2 F'
L F2 R' D' B2 R F'
L F2 D' R F' R' B2
L' F2 B R' U L2 R
L' F2 B R' U R L2
L F2 D' B2 R F' R'
L F2 B U' L2 R' U
L F2 B U' R' L2 U
L' B L2 U' L2 R' U
L' B L2 U' R' L2 U
L B L2 R' U L2 R
L B L2 R' U R L2
L' B R' U L2 R D
L' B R' U L2 R D'
L' B R' U L2 R D2
L' B R' U L2 D R
L' B R' U L2 D' R
L' B R' U L2 D2 R
L' B R' U R L2 D
L' B R' U R L2 D'
L' B R' U R L2 D2
U' B R' B' L' U L2
L' B R' B U L2 R
L' B R' B U R L2
L' B R' B' U L2 R
L' B R' B' U R L2
L' B R' B2 U L2 R
L' B R' B2 U R L2
L B R D' R' F2 B2
L B R D' R' B2 F2
L B R D' F2 R' B2
L B R' L2 U L2 R
L B R' L2 U R L2
L B U' L2 R' U D
L B U' L2 R' U D'
L B U' L2 R' U D2
L B U' L2 R' D U
L B U' L2 R' D' U
L B U' L2 R' D2 U
L B U' L2 D R' U
L B U' L2 D' R' U
L B U' L2 D2 R' U
L B U' R' L2 U D
L B U' R' L2 U D'
L B U' R' L2 U D2
L B U' R' L2 D U
L B U' R' L2 D' U
L B U' R' L2 D2 U
L B U' R' U D' B2
L B U' R' D' U B2
L B U' D' R' U B2
L' B D F2 R' U R
L' B F R' U L2 R
L' B F R' U R L2
L B D' U' R' U B2
L B D' B2 U L U'
L' B F' R' U L2 R
L' B F' R' U R L2
L' B F2 R' U L2 R
L' B F2 R' U R L2
L B F U' L2 R' U
L B F U' R' L2 U
L B F' U' L2 R' U
L B F' U' R' L2 U
L B F2 U' L2 R' U
L B F2 U' R' L2 U
L B' U L U2 L U
L B' U D' L U' B2
L B' U D2 L R2 U'
L B' U D2 R2 L U'
L B' U' L2 U2 L' U'
F2 B' U L R B U'
F2 B' U R L B U'
L B' D' U L U' B2
L B' D' B2 U' R' U
L B' D2 U L R2 U'
L B' D2 U R2 L U'
L2 B2 L' U R' U' F'
L' B2 R U L2 R' F'
L' B2 R U R' L2 F'
L' B2 R U R' F' L2
L2 B2 U R' U' L' F'
B' F2 U L R B U'
B' F2 U R L B U'
