B2 L R F B U
B2 L R B F U
F2 L' R' F' B' U'
F2 L' R' B' F' U'
B2 R L F B U
B2 R L B F U
B R B L F U
B R B L F U
F2 R' L' F' B' U'
F2 R' L' B' F' U'
F' R' F' L' B' U'
R D B U B L
R' D' F' U' F' L'
L' R' F' B' D' U' F2
L' R' F' B' D2 L2 U'
L R' F' D' U' L2 F2
L R' F' D' U' F2 L2
L R' F' D2 L2 B2 U'
L R' F' D2 B2 L2 U'
F2 L' D R' F' B' U'
F2 L' D R' B' F' U'
F2 L' D' R' F' B' U'
F2 L' D' R' B' F' U'
R L' B U D L2 B2
R L' B U D B2 L2
R L' B U2 R2 B2 U'
R L' B U2 B2 R2 U'
R L' B D U L2 B2
R L' B D U B2 L2
R L' B D2 L2 F2 U
R L' B D2 F2 L2 U
R' L' B' U2 R2 B U
L' R' B' U2 R2 B U
F2 L' D2 R' F' B' U'
F2 L' D2 R' B' F' U'
R' L' B' D' F' U' F'
L' R' B' D' F' U' F'
R' L' B' D2 L2 F' U'
L' R' B' D2 L2 F' U'
R' L' B' D2 F' L2 U'
L' R' B' D2 F' L2 U'
R' L' B' F' U' D' F2
R' L' B' F' U2 R2 U
R' L' B' F' D' U' F2
R' L' B' F' D2 L2 U'
L' R' B' F' U' D' F2
L' R' B' F' U2 R2 U
L' R' B' F' D' U' F2
L' R' B' F' D2 L2 U'
F2 L' F R' F' B' U'
F2 L' F R' B' F' U'
F2 L' F' R' F' B' U'
F2 L' F' R' B' F' U'
F2 L' F2 R' F' B' U'
F2 L' F2 R' B' F' U'
B2 L2 R B L' F U
F2 L2 R' F' L B' U'
B2 R L D F B U
B2 R L D B F U
B2 R L D' F B U
B2 R L D' B F U
B2 R L D2 F B U
B2 R L D2 B F U
B2 R L F D B U
B2 R L F D' B U
B2 R L F D2 B U
B2 R L F B U D
B2 R L F B U D'
B2 R L F B U D2
B2 R L F B D U
B2 R L F B D' U
B2 R L F B D2 U
B2 R L B D F U
B2 R L B D' F U
B2 R L B D2 F U
B2 R L B F U D
B2 R L B F U D'
B2 R L B F U D2
B2 R L B F D U
B2 R L B F D' U
B2 R L B F D2 U
B R L F B L U
B R L B F L U
B2 R L2 B L' F U
B2 R D L F B U
B2 R D L B F U
D2 R D B U B L
D' R D B U B L
D R D B U B L
B2 R D' L F B U
B2 R D' L B F U
B R D B L F U
B2 R D2 L F B U
B2 R D2 L B F U
B R D' B L F U
B2 R F L F B U
B2 R F L B F U
B R D2 B L F U
B2 R F' L F B U
B2 R F' L B F U
B R F B L F U
B2 R F2 L F B U
B2 R F2 L B F U
B R F' B L F U
B R F2 B L F U
B R B L D F U
B R B L D' F U
B R B L D2 F U
B R B L F U D
B R B L F U D'
B R B L F U D2
B R B L F D U
B R B L F D' U
B R B L F D2 U
B' R B' L F B2 U
B' R B' L B2 F U
B R B D L F U
B R B D' L F U
B R B D2 L F U
B R B F L F U
B R B F' L F U
B R B F2 L F U
F2 R' L' D F' B' U'
F2 R' L' D B' F' U'
F' R' L' F' B' L' U'
F2 R' L' D' F' B' U'
F2 R' L' D' B' F' U'
F2 R' L' D2 F' B' U'
F2 R' L' D2 B' F' U'
F' R' L' B' F' L' U'
F2 R' L' F' D B' U'
F2 R' L' F' D' B' U'
F2 R' L' F' D2 B' U'
F2 R' L' F' B' U' D
F2 R' L' F' B' U' D'
F2 R' L' F' B' U' D2
F2 R' L' F' B' D U'
F2 R' L' F' B' D' U'
F2 R' L' F' B' D2 U'
F2 R' L' B' D F' U'
F2 R' L' B' D' F' U'
F2 R' L' B' D2 F' U'
F2 R' L' B' F' U' D
F2 R' L' B' F' U' D'
F2 R' L' B' F' U' D2
F2 R' L' B' F' D U'
F2 R' L' B' F' D' U'
F2 R' L' B' F' D2 U'
F2 R' L2 F' L B' U'
F2 R' D L' F' B' U'
F2 R' D L' B' F' U'
F' R' D F' L' B' U'
F2 R' D' L' F' B' U'
F2 R' D' L' B' F' U'
D2 R' D' F' U' F' L'
D' R' D' F' U' F' L'
F' R' D' F' L' B' U'
D R' D' F' U' F' L'
F2 R' D2 L' F' B' U'
F2 R' D2 L' B' F' U'
F' R' D2 F' L' B' U'
F R' F L' F2 B' U'
F R' F L' B' F2 U'
F' R' F' L' D B' U'
F' R' F' L' D' B' U'
F' R' F' L' D2 B' U'
F' R' F' L' B' U' D
F' R' F' L' B' U' D'
F' R' F' L' B' U' D2
F' R' F' L' B' D U'
F' R' F' L' B' D' U'
F' R' F' L' B' D2 U'
F' R' F' D L' B' U'
F' R' F' D' L' B' U'
F' R' F' D2 L' B' U'
F' R' F' B L' B' U'
F' R' F' B' L' B' U'
F' R' F' B2 L' B' U'
R' U2 R' F' R' B U
R U2 R B R F' U'
F2 R' B L' F' B' U'
F2 R' B L' B' F' U'
F' R' B F' L' B' U'
F2 R' B' L' F' B' U'
F2 R' B' L' B' F' U'
F' R' B' F' L' B' U'
F2 R' B2 L' F' B' U'
F2 R' B2 L' B' F' U'
F' R' B2 F' L' B' U'
B2 R2 L F R' B U
F2 R2 L' B' R F' U'
R D L F B U B
R D L B F U B
R D F B U B L
R D F' B U B L
R D F2 B U B L
R D B L F U B
R D B U L B L
R D B U L' B L
R D B U L2 B L
R D B U D B L
R D B U D' B L
R D B U D2 B L
R D B U B L D
R D B U B L D'
R D B U B L D2
R D B U B D L
R D B U B D' L
R D B U B D2 L
R D B D U B L
R D B D' U B L
R D B D2 U B L
R D B F U B L
R D B F' U B L
R D B F2 U B L
R' D' L' F' B' U' F'
R' D' L' B' F' U' F'
R' D' F' L' B' U' F'
R' D' F' U' L F' L'
R' D' F' U' L' F' L'
R' D' F' U' L2 F' L'
R' D' F' U' D F' L'
R' D' F' U' D' F' L'
R' D' F' U' D2 F' L'
R' D' F' U' F' L' D
R' D' F' U' F' L' D'
R' D' F' U' F' L' D2
R' D' F' U' F' D L'
R' D' F' U' F' D' L'
R' D' F' U' F' D2 L'
R' D' F' D U' F' L'
R' D' F' D' U' F' L'
R' D' F' D2 U' F' L'
R' D' F' B U' F' L'
R' D' F' B' U' F' L'
R' D' F' B2 U' F' L'
R' D' B F' U' F' L'
R' D' B' F' U' F' L'
R' D' B2 F' U' F' L'
R' D2 L' B' L' F' U'
R D2 L F L B U
R' D2 F' L' B' L' U'
R D2 B L F L U
B2 D L R F B U
B2 D L R B F U
F2 D L' R' F' B' U'
F2 D L' R' B' F' U'
B2 D R L F B U
B2 D R L B F U
R F D B U B L
F2 D R' L' F' B' U'
F2 D R' L' B' F' U'
F' D R' F' L' B' U'
B D R B L F U
R' F' L U2 R2 F U
R' F' L U2 F R2 U
R' F' L D2 L2 B' U'
R' F' L' D' B' U' F2
R' F' L' D2 B' L2 U'
R' F' L' B' U' D' F2
R' F' L' B' U2 R2 U
R' F' L' B' D' U' F2
R' F' L' B' D2 L2 U'
D2 F' R' F' L' B' U'
D' F' R' F' L' B' U'
L' F' R' F' B' L' U'
L' F' R' B' F' L' U'
D F' R' F' L' B' U'
R' F' U' D' F' L' F'
R' F' U' F D' F2 L'
R' F' U' F' L' D' F2
R' F' U' F' D' L' F2
B2 D' L R F B U
B2 D' L R B F U
R' F' U2 R' F' R' U
F2 D' L' R' F' B' U'
F2 D' L' R' B' F' U'
R' F' D' L' B' U' F2
R' F' D' U' F' L' F'
B2 D' R L F B U
B2 D' R L B F U
R' F' D2 L' B' L' U'
R F' D B U B L
F2 D' R' L' F' B' U'
F2 D' R' L' B' F' U'
F' D' R' F' L' B' U'
B D' R B L F U
D2 F2 L' R' F' B' U'
D2 F2 L' R' B' F' U'
D' F2 L' R' F' B' U'
D' F2 L' R' B' F' U'
D F2 L' R' F' B' U'
D F2 L' R' B' F' U'
D2 F2 R' L' F' B' U'
D2 F2 R' L' B' F' U'
D' F2 R' L' F' B' U'
D' F2 R' L' B' F' U'
L' F2 R' B' L' F' U'
D F2 R' L' F' B' U'
D F2 R' L' B' F' U'
B2 D2 L R F B U
B2 D2 L R B F U
F2 D2 L' R' F' B' U'
F2 D2 L' R' B' F' U'
B2 D2 R L F B U
B2 D2 R L B F U
F2 D2 R' L' F' B' U'
F2 D2 R' L' B' F' U'
R F2 D B U B L
F' D2 R' F' L' B' U'
B D2 R B L F U
R B L D F U B2
R B L D2 F L2 U
R B L F U D B2
R B L F U2 R2 U'
R B L F D U B2
R B L F D2 L2 U
D2 B R B L F U
D' B R B L F U
R B L' U2 R2 B' U'
R B L' U2 B' R2 U'
R B L' D2 L2 F U
D B R B L F U
L B R F B L U
L B R B F L U
R B U D B L B
R B U B L D B2
R B U B D L B2
R B U B' D B2 L
F2 B L' B' R' F' U'
R' B D' F' U' F' L'
R B U2 R B R U'
R B D L F U B2
R B D U B L B
R B D2 L F L U
B2 F' L F R B U
R' B' D' F' U' F' L'
D2 B2 L R F B U
D2 B2 L R B F U
D' B2 L R F B U
D' B2 L R B F U
D B2 L R F B U
D B2 L R B F U
D2 B2 R L F B U
D2 B2 R L B F U
D' B2 R L F B U
D' B2 R L B F U
F' B2 L F R B U
D B2 R L F B U
D B2 R L B F U
L B2 R F L B U
B F2 L' B' R' F' U'
R' B2 D' F' U' F' L'
