B' R' F' B' U' F2
B' R' B' F' U' F2
D U F L2 R B
U D F L2 R B
D U F R L2 B
U D F R L2 B
D U F R B L2
U D F R B L2
U F R D L2 B
U F R D B L2
U F D L2 R B
U F D R L2 B
U F D R B L2
U2 B2 U' F R B
B2 U' F D' B' R' B
B2 U2 L' B' L U F
B' U2 R' B' U' F R
R D2 F2 B L U F'
R D2 B F2 L U F'
U' F L D L2 B' R'
U' F L' D B' L2 R'
U' F L' D B' R' L2
U F L R D L2 B
U F L R D B L2
U F L D L2 R B
U F L D R L2 B
U F L D R B L2
U F L' R D L2 B
U F L' R D B L2
U F L' D L2 R B
U F L' D R L2 B
U F L' D R B L2
U F L2 R D L2 B
U F L2 R D B L2
U F L2 D L2 R B
U F L2 D R L2 B
U F L2 D R B L2
U F R L D L2 B
U F R L D B L2
U F R L' D L2 B
U F R L' D B L2
U F R L2 D L2 B
U F R L2 D B L2
U F R U B2 U' B'
U F R D L' B L'
U F R D L2 D B
U F R D L2 D' B
U F R D L2 D2 B
U F R D L2 B D
U F R D L2 B D'
U F R D L2 B D2
U F R D B L2 D
U F R D B L2 D'
U F R D B L2 D2
U F R D B' L2 B2
U F R D' B D2 L2
U F R D2 B D' L2
U F R B U B U'
U F U B2 U' R B
U' F D L' B' L' R'
U' F D L' B' R' L'
U F D L' R B L'
U F D L2 R D B
U F D L2 R D' B
U F D L2 R D2 B
U F D L2 R B D
U F D L2 R B D'
U F D L2 R B D2
U F D L2 D R B
U F D L2 D' R B
U F D L2 D2 R B
U F D L2 B R B
U F D L2 B' R B
U F D L2 B2 R B
U F D R L' B L'
U F D R L2 D B
U F D R L2 D' B
U F D R L2 D2 B
U F D R L2 B D
U F D R L2 B D'
U F D R L2 B D2
U F D R B L2 D
U F D R B L2 D'
U F D R B L2 D2
U F D R B' L2 B2
U F D B L2 R B
U F D B R L2 B
U F D B R B L2
U F D B' L2 R B
U F D B' R L2 B
U F D B' R B L2
U F D B2 L2 R B
U F D B2 R L2 B
U F D B2 R B L2
B' D R' F' B' U' F2
B' D R' B' F' U' F2
U F D2 R D' L2 B
U F D2 R D' B L2
U F D2 R B D' L2
U F B' R B D L2
B' D' R' F' B' U' F2
B' D' R' B' F' U' F2
B2 D' R' F' U' F2 B
B2 D' R' F' U' B F2
R' F' B' R' B' U' F2
B2 D' U' F B' R' B
B2 D' U' B' R' F B
B2 D' U' B' R' B F
B2 D' U' B' F R' B
D2 F2 U F R F2 B
D2 F2 U F R B F2
B' D2 R' F' B' U' F2
B' D2 R' B' F' U' F2
B2 D2 R' F' R U' F2
F2 D2 F2 U F R B
R B R2 F' L U F2
B' F R' F' B' U' F
B' F R' B' F' U' F
D B' R' F' U' L2 F2
D B' R' F' U' F2 L2
L2 B' U' R' B' U' R'
B' F' R' F' B' U' F'
B' F' R' B' F' U' F'
F' B' R' F' B' U' F'
F' B' R' B' F' U' F'
F B' R' F' B' U' F
F B' R' B' F' U' F
R' B' F' R' B' U' F2
U B' F R B D L2
U2 B2 R U' F R B
U2 B2 R' U' F R B
U2 B2 R2 U' F R B
U2 B2 U' R F B R
U2 B2 U' R B F R
U2 B2 U' D F R B
U2 B2 U' D' F R B
U2 B2 U' D2 F R B
U2 B2 U' F R D B
U2 B2 U' F R D' B
U2 B2 U' F R D2 B
U2 B2 U' F R B D
U2 B2 U' F R B D'
U2 B2 U' F R B D2
U2 B2 U' F D R B
U2 B2 U' F D' R B
U2 B2 U' F D2 R B
U2 B2 U' F B R B
U2 B2 U' F B' R B
U2 B2 U' F B2 R B
U2 B2 U' B F R B
U2 B2 U' B' F R B
U2 B2 U' B2 F R B
U2 B2 D U' F R B
U2 B2 D' U' F R B
R' B2 D2 F' R U' F2
U2 B2 D2 U' F R B
