U F L R U'
U F R L U'
F L R U' L' B
F L R U' B L'
F R L U' L' B
F R L U' B L'
R U F L U' B
U R F L R U'
U R F R L U'
U R' F L R U'
U R' F R L U'
U R2 F L R U'
U R2 F R L U'
D2 U F L R U'
D2 U F R L U'
D' U F L R U'
D' U F R L U'
D U F L R U'
U D F L R U'
D U F R L U'
U D F R L U'
U D' F L R U'
U D' F R L U'
U D2 F L R U'
U D2 F R L U'
U F L R U' D
U F L R U' D'
U F L R U' D2
U F L R D U'
U F L R D' U'
U F L R D2 U'
U F L D R U'
U F L D' R U'
U F L D2 R U'
R F L U' L' B
R F L U' B L'
U F R L U' D
U F R L U' D'
U F R L U' D2
U F R L D U'
U F R L D' U'
U F R L D2 U'
U F R D L U'
U F R D' L U'
U F R D2 L U'
U F D L R U'
U F D R L U'
U F D' L R U'
U F D' R L U'
U F D2 L R U'
U F D2 R L U'
U F2 L F' R U'
U R F D L R U'
U R F D R L U'
U R F D' L R U'
U R F D' R L U'
U R F D2 L R U'
U R F D2 R L U'
B2 R F' D B R2 F'
F' R F2 L U' L' B
F' R F2 L U' B L'
U R F2 L F' R U'
B' R B U F L U'
U' R' U2 F L R U'
U' R' U2 F R L U'
U R' D F L R U'
U R' D F R L U'
U R' D' F L R U'
U R' D' F R L U'
L U2 L B' U L2 B'
U R' D2 F L R U'
U R' D2 F R L U'
U R' F L R U' D
U R' F L R U' D'
U R' F L R U' D2
U R' F L R D U'
U R' F L R D' U'
U R' F L R D2 U'
U R' F L D R U'
U R' F L D' R U'
U R' F L D2 R U'
U R' F R L U' D
U R' F R L U' D'
U R' F R L U' D2
U R' F R L D U'
U R' F R L D' U'
U R' F R L D2 U'
U R' F R D L U'
U R' F R D' L U'
U R' F R D2 L U'
L U2 L2 U L B' R'
U R' F D L R U'
U R' F D R L U'
U R' F D' L R U'
U R' F D' R L U'
U R' F D2 L R U'
U R' F D2 R L U'
U R' F2 L F' R U'
R' U2 F' U' L F2 U'
R' U2 F' U' F2 L U'
U' R2 U2 F L R U'
U' R2 U2 F R L U'
U R2 D F L R U'
U R2 D F R L U'
U R2 D' F L R U'
U R2 D' F R L U'
F R2 D2 L U' B' L'
U R2 D2 F L R U'
U R2 D2 F R L U'
U R2 F L R U' D
U R2 F L R U' D'
U R2 F L R U' D2
U R2 F L R D U'
U R2 F L R D' U'
U R2 F L R D2 U'
U R2 F L D R U'
U R2 F L D' R U'
U R2 F L D2 R U'
U R2 F R L U' D
U R2 F R L U' D'
U R2 F R L U' D2
U R2 F R L D U'
U R2 F R L D' U'
U R2 F R L D2 U'
U R2 F R D L U'
U R2 F R D' L U'
U R2 F R D2 L U'
U R2 F D L R U'
U R2 F D R L U'
U R2 F D' L R U'
U R2 F D' R L U'
U R2 F D2 L R U'
U R2 F D2 R L U'
U R2 F2 L F' R U'
R D U F L U' B
F' U L F R F U'
F2 U L F R F2 U'
F2 U L F' U2 L' U
F U L U L' U2 B'
R D F L U' L' B
R D F L U' B L'
D' U R F L R U'
D' U R F R L U'
D2 U R F L R U'
D2 U R F R L U'
L2 D F2 R B' U B2
D U R F L R U'
D U R F R L U'
D' U R' F L R U'
D' U R' F R L U'
L2 D F2 B' R U B
D2 U R' F L R U'
D2 U R' F R L U'
B' U R' F R U' F2
U D R F L R U'
U D R F R L U'
D U R' F L R U'
D U R' F R L U'
D' U R2 F L R U'
D' U R2 F R L U'
D2 U R2 F L R U'
D2 U R2 F R L U'
B' U R2 F R U' F'
U D R' F L R U'
D' U F L R U' D
D' U F L R U' D'
D' U F L R U' D2
D' U F L R D U'
D' U F L R D' U'
D' U F L R D2 U'
U D R' F R L U'
D' U F L D R U'
D' U F L D' R U'
D' U F L D2 R U'
D2 U F L R U' D
D2 U F L R U' D'
D2 U F L R U' D2
D2 U F L R D U'
D2 U F L R D' U'
D2 U F L R D2 U'
D2 U F L D R U'
D2 U F L D' R U'
D2 U F L D2 R U'
D' U F R L U' D
D' U F R L U' D'
D' U F R L U' D2
D' U F R L D U'
D' U F R L D' U'
D' U F R L D2 U'
D' U F R D L U'
D' U F R D' L U'
D' U F R D2 L U'
D2 U F R L U' D
D2 U F R L U' D'
D2 U F R L U' D2
D2 U F R L D U'
D2 U F R L D' U'
D2 U F R L D2 U'
D2 U F R D L U'
D2 U F R D' L U'
D2 U F R D2 L U'
D U R2 F L R U'
D U R2 F R L U'
D' U F D L R U'
D' U F D R L U'
D' U F D' L R U'
L2 D B' F2 R U B
D2 U F D L R U'
D' U F D' R L U'
D2 U F D R L U'
D' U F D2 L R U'
D2 U F D' L R U'
D' U F D2 R L U'
D2 U F D' R L U'
D2 U F D2 L R U'
D2 U F D2 R L U'
U D R2 F L R U'
D U F L R U' D
D U F L R U' D'
D U F L R U' D2
D U F L R D U'
D U F L R D' U'
D U F L R D2 U'
U D R2 F R L U'
D U F L D R U'
D U F L D' R U'
D U F L D2 R U'
D U F R L U' D
D U F R L U' D'
D U F R L U' D2
D U F R L D U'
D U F R L D' U'
D U F R L D2 U'
D U F R D L U'
D U F R D' L U'
D U F R D2 L U'
U D F L R U' D
U D F L R U' D'
U D F L R U' D2
U D F L R D U'
U D F L R D' U'
U D F L R D2 U'
U D F L D R U'
U D F L D' R U'
U D F L D2 R U'
U D F R L U' D
U D F R L U' D'
U D F R L U' D2
U D F R L D U'
U D F R L D' U'
U D F R L D2 U'
D U F D L R U'
D U F D R L U'
U D F R D L U'
U D F R D' L U'
U D F R D2 L U'
D U F D' L R U'
D U F D' R L U'
D U F D2 L R U'
D U F D2 R L U'
U D F D L R U'
D' U F2 L F' R U'
U D F D R L U'
U D F D' L R U'
U D F D' R L U'
D2 U F2 L F' R U'
U D F D2 L R U'
U D F D2 R L U'
B U D' F R U' F'
B' U F R U B U2
F' U F R F L U'
F2 U F L R F2 U'
D U F2 L F' R U'
B2 U F R U' D' F2
B2 U F R U2 R2 U
B U D2 F L' R U'
B2 U F R D' U' F2
B2 U F R D2 L2 U'
B U D2 F R L' U'
F2 U F R L F2 U'
F2 U F R F2 L U'
U D F2 L F' R U'
F2 U F' L U' D' B2
F2 U F' L U2 L2 U
F2 U F' L D' U' B2
F2 U F' L D2 R2 U'
B U F D' R U' F'
F' U F2 D' L U' B'
L D' R U' L' B R'
L D' R U' B L' R'
L D' R U' B R' L'
R D' U F L U' B
U D' R F L R U'
U D' R F R L U'
R D' F L U' L' B
R D' F L U' B L'
U D' R' F L R U'
U D' R' F R L U'
U D' R2 F L R U'
U D' R2 F R L U'
B2 U' R' U2 F R U'
U D' F L R U' D
U D' F L R U' D'
U D' F L R U' D2
U D' F L R D U'
U D' F L R D' U'
U D' F L R D2 U'
U D' F L D R U'
U D' F L D' R U'
U D' F L D2 R U'
U D' F R L U' D
U D' F R L U' D'
U D' F R L U' D2
U D' F R L D U'
U D' F R L D' U'
U D' F R L D2 U'
U D' F R D L U'
U D' F R D' L U'
U D' F R D2 L U'
U D' F D L R U'
U D' F D R L U'
U D' F D' L R U'
U D' F D' R L U'
U D' F D2 L R U'
U D' F D2 R L U'
U D' F2 L F' R U'
R2 D2 U F L U' B'
U D2 R F L R U'
U D2 R F R L U'
R D2 U F L U' B
U D2 R' F L R U'
U D2 R' F R L U'
R2 D2 F L U' B' L'
U D2 R2 F L R U'
U D2 R2 F R L U'
U D2 F L R U' D
U D2 F L R U' D'
U D2 F L R U' D2
U D2 F L R D U'
U D2 F L R D' U'
U D2 F L R D2 U'
U D2 F L D R U'
U D2 F L D' R U'
U D2 F L D2 R U'
U D2 F R L U' D
U D2 F R L U' D'
U D2 F R L U' D2
U D2 F R L D U'
U D2 F R L D' U'
U D2 F R L D2 U'
U D2 F R D L U'
U D2 F R D' L U'
U D2 F R D2 L U'
R D2 F L U' L' B
R D2 F L U' B L'
U D2 F D L R U'
U D2 F D R L U'
U D2 F D' L R U'
U D2 F D' R L U'
U D2 F D2 L R U'
U D2 F D2 R L U'
U D2 F2 L F' R U'
D' F L R U' L' B
D' F L R U' B L'
D2 F L R U' L' B
D2 F L R U' B L'
R' F L U F2 R U2
R' F L U' L' D2 B2
R' F L U' D2 L' B2
R' F L U' D2 B2 L'
U' F L U2 F' L' U
R' F L D R2 U' L'
R' F L D2 U' L' B2
R' F L D2 U' B2 L'
R2 F L R' U' L' B
R2 F L R' U' B L'
D F L R U' L' B
D F L R U' B L'
U F L R' U' D B2
U F L R' D U' B2
U F L R2 D R' U'
U F L R2 D' R' U'
U F L R2 D2 R' U'
U F L D R U' D
U F L D R U' D'
U F L D R U' D2
U F L D R D U'
U F L D R D' U'
U F L D R D2 U'
U F L D' R U' D
U F L D' R U' D'
U F L D' R U' D2
U F L D' R D U'
U F L D' R D' U'
U F L D' R D2 U'
R F L U' L B L2
R F L U' L' D B
R F L U' L' D' B
R F L U' L' D2 B
R F L U' L' B D
R F L U' L' B D'
R F L U' L' B D2
R F L U' D L' B
R F L U' D B L'
R F L U' D' L' B
R F L U' D' B L'
R F L U' D2 L' B
R F L U' D2 B L'
U F L D2 R U' D
U F L D2 R U' D'
U F L D2 R U' D2
U F L D2 R D U'
U F L D2 R D' U'
U F L D2 R D2 U'
R F L U' B L' D
R F L U' B L' D'
R F L U' B L' D2
R F L U' B D L'
R F L U' B D' L'
R F L U' B D2 L'
R F L U' B' L' B2
R F L D U' L' B
R F L D U' B L'
R F L D' U' L' B
R F L D' U' B L'
R F L D2 U' L' B
R F L D2 U' B L'
U F L B R B' U'
U F L B2 R B2 U'
U F L' R U' D F2
U F L' R D U' F2
R F L B' U' L' B2
R F L B' U' B2 L'
R F L B2 U' B' L'
D' F R L U' L' B
D' F R L U' B L'
D2 F R L U' L' B
D2 F R L U' B L'
U F L' D R U' F2
U F L2 R D L' U'
U F L2 R D' L' U'
U F L2 R D2 L' U'
U F L2 D L' R U'
U F L2 D R L' U'
U F L2 D' L' R U'
U F L2 D' R L' U'
U F L2 D2 L' R U'
U F L2 D2 R L' U'
D F R L U' L' B
D F R L U' B L'
U F R L' U' D F2
U F R L' D U' F2
U F R L2 D L' U'
U F R L2 D' L' U'
U F R L2 D2 L' U'
R2 F R' L U' L' B
R2 F R' L U' B L'
U F R D L U' D
U F R D L U' D'
U F R D L U' D2
U F R D L D U'
U F R D L D' U'
U F R D L D2 U'
U F R D' L U' D
U F R D' L U' D'
U F R D' L U' D2
U F R D' L D U'
U F R D' L D' U'
U F R D' L D2 U'
U F R D2 L U' D
U F R D2 L U' D'
U F R D2 L U' D2
U F R D2 L D U'
U F R D2 L D' U'
U F R D2 L D2 U'
U F R F L F' U'
U F R F2 L F2 U'
U F R' L U' D B2
U F R' L D U' B2
U F R' D L U' B2
U F R2 L D R' U'
U F R2 L D' R' U'
U F R2 L D2 R' U'
U F R2 D L R' U'
U F R2 D R' L U'
U F R2 D' L R' U'
U F R2 D' R' L U'
U F R2 D2 L R' U'
U F R2 D2 R' L U'
R' F D L R2 U' L'
F D L R U' L' B
F D L R U' B L'
R' F D R2 L U' L'
U F D L R U' D
U F D L R U' D'
U F D L R U' D2
U F D L R D U'
U F D L R D' U'
U F D L R D2 U'
U F D L D R U'
U F D L D' R U'
U F D L D2 R U'
R' F D2 L U' L' B2
R' F D2 L U' B2 L'
U F D R L U' D
U F D R L U' D'
U F D R L U' D2
U F D R L D U'
U F D R L D' U'
U F D R L D2 U'
U F D R D L U'
U F D R D' L U'
U F D R D2 L U'
R F D L U' L' B
R F D L U' B L'
F' D R B D' R F'
U F D' L R U' D
U F D' L R U' D'
U F D' L R U' D2
U F D' L R D U'
U F D' L R D' U'
U F D' L R D2 U'
U F D' L D R U'
U F D' L D' R U'
U F D' L D2 R U'
U F D' R L U' D
U F D' R L U' D'
U F D' R L U' D2
U F D' R L D U'
U F D' R L D' U'
U F D' R L D2 U'
U F D' R D L U'
U F D' R D' L U'
U F D' R D2 L U'
R F D' L U' L' B
R F D' L U' B L'
R2 F D2 L U' B' L'
F D R L U' L' B
F D R L U' B L'
U F D2 L R U' D
U F D2 L R U' D'
U F D2 L R U' D2
U F D2 L R D U'
U F D2 L R D' U'
U F D2 L R D2 U'
U F D2 L D R U'
U F D2 L D' R U'
U F D2 L D2 R U'
U F D2 R L U' D
U F D2 R L U' D'
U F D2 R L U' D2
U F D2 R L D U'
U F D2 R L D' U'
U F D2 R L D2 U'
U F D2 R D L U'
U F D2 R D' L U'
U F D2 R D2 L U'
R F D2 L U' L' B
R F D2 L U' B L'
U F B R B' L U'
U F' L F2 U' D' B2
U F' L F2 U2 L2 U
U F' L F2 D' U' B2
U F' L F2 D2 R2 U'
U F' R F2 L R U'
U F' R F2 R L U'
R' F' U L F2 R U'
U F' R' F2 L R U'
U F' R' F2 R L U'
U F' R2 F2 L R U'
U F' R2 F2 R L U'
R F' U L F2 U' B
R F' U F2 L U' B
F D' L R U' L' B
F D' L R U' B L'
F D' R L U' L' B
F D' R L U' B L'
B D' R F' D B R2
B D' R F' B D R2
B D' R B F' D R2
B D' U F R U' F'
U F2 L F' R U' D
U F2 L F' R U' D'
U F2 L F' R U' D2
U F2 L F' R D U'
U F2 L F' R D' U'
U F2 L F' R D2 U'
U F2 L F' D R U'
U F2 L F' D' R U'
U F2 L F' D2 R U'
U F2 L' F' L2 R U'
U F2 L' F' R L2 U'
L2 F2 R B' U L2 B2
L2 F2 R B' U B2 L2
R F2 U L F' U' B
R F2 U F' L U' B
F D2 L R U' L' B
F D2 L R U' B L'
U F2 D' L F' U' B'
F D2 R L U' L' B
F D2 R L U' B L'
U F2 D' F' L U' B'
L2 F2 B' R U L2 B
L2 F2 B' R U B L2
B D2 U F L' R U'
B D2 U F R L' U'
R B U D2 F L' U'
R B D' R F' D R2
R B D2 U F L' U'
U B F R B' L U'
B2 F U' R' U R B
B2 F' R D B R2 F'
L2 B' U2 L' U' B' L'
L2 B' D F2 R U B
L2 B' F2 R U L2 B
L2 B' F2 R U B L2
U' B2 L2 R' B' L U
U' B2 R' L2 B' L U
F' B2 R D B R2 F'
F B2 U' R' U R B
