B' L2 U' F R
B' L' D F L' U'
B' L' F L' U' F
B' L2 U' R F R
B' L2 U' R' F R
B' L2 U' R2 F R
B' L2 U' D F R
B' L2 U' D' F R
B' L2 U' D2 F R
B' L2 U' F R D
B' L2 U' F R D'
B' L2 U' F R D2
B' L2 U' F D R
B' L2 U' F D' R
B' L2 U' F D2 R
B' L2 D U' F R
B' L2 D' U' F R
B' L2 D2 U' F R
L' D F L2 U' L
B' U D' B' L U2
B' D' U B' L U2
D F' B' L2 U' R
B' F L2 U' F R
D B' L2 F' U' R
D B' L2 F' U' R
F' B' L2 U' F R
B' F' L2 U' F R
F2 B' L2 U' F R
F B' L2 U' F R
D B' F' L2 U' R
B' F2 L2 U' F R
D F B L2 B2 U' R'
D F B' L2 U L U2
D F B' U' D F2 R
D F B' D U' F2 R
B D U' L2 R2 F' R
B D U' R2 L2 F' R
B D U' R2 F' L2 R
B D U' R2 F' R L2
B' D F U B' L' U2
B' D F' L2 U' R F
B' D F' U B' U2 R
F' D F' B' L2 U' R
F2 D F' B' L2 U' R
F D F' B' L2 U' R
F' D B' L2 F' U' R
F2 D B' L2 F' U' R
F' D B' F' L2 U' R
F2 D B' F' L2 U' R
F D B' L2 F' U' R
F D B' F' L2 U' R
D2 F' D' B' U' F' R
D F' D B' U' R F2
D2 F' B' U' D' F' R
D2 F' B' D' U' F' R
D F' B L2 B2 U' R
B' D' U B' L U2 D
B' D' U B' L U2 D'
B' D' U B' L U2 D2
B' D' U B' L D U2
B' D' U B' L D' U2
B' D' U B' L D2 U2
B' D' U B' D L U2
B' D' U B' D' L U2
B' D' U B' D2 L U2
D F' B' L2 U' R D
D F' B' L2 U' R D'
D F' B' L2 U' R D2
D F' B' L2 U' D R
D F' B' L2 U' D' R
D F' B' L2 U' D2 R
D F' B' L2 D U' R
D F' B' L2 D' U' R
D F' B' L2 D2 U' R
D F' B' U' R D F2
D F' B' U' D R F2
D F' B' D U' R F2
D F' B2 L2 B U' R
B2 D' U' B U' R' B'
B D' U B R2 U2 R
B' D' F U B' L U2
B' D' F' U B' L U2
B' D' F2 U B' L U2
B2 D' B L2 U' R' F
B2 D' B L2 U' F R'
D F2 B' L2 F U' R
D B L2 F' B2 U' R
D B L2 B2 F' U' R
B' F L' D F L' U'
B' F L' F L' U' F
L B U' D' R2 F' L'
B' F L2 U' R F R
B' F L2 U' R' F R
B' F L2 U' R2 F R
B' F L2 U' D F R
B' F L2 U' D' F R
B' F L2 U' D2 F R
B' F L2 U' F R D
B' F L2 U' F R D'
B' F L2 U' F R D2
B' F L2 U' F D R
B' F L2 U' F D' R
B' F L2 U' F D2 R
B' F L2 D U' F R
B' F L2 D' U' F R
B' F L2 D2 U' F R
L B D' U' R2 F' L'
U B D' B R2 U2 R
D B F L2 B2 U' R'
B' F U D' B' L U2
D B F' L2 B2 U' R
D' B' L U2 R2 U R2
D' B' L' D2 L2 U' R2
U' B' L2 U' F B R
R' B' L2 R U' F R
U' B' L2 U' B F R
D B' L F' L U' R
D' B' L2 U' D' F2 R
D' B' L2 D' U' F2 R
D B' L' D' L' F U'
R' B' R L2 U' F R
B' F D' U B' L U2
R2 B' L2 R2 U' F R
D B' L2 U' F' R F
D B' L2 F U L' U2
D B' L2 F' U' R D
D B' L2 F' U' R D'
D B' L2 F' U' R D2
D B' L2 F' U' R D
D B' L2 F' U' R D'
D B' L2 F' U' R D2
D B' L2 F' U' D R
D B' L2 F' U' D' R
D B' L2 F' U' D2 R
D B' L2 F' D U' R
D B' L2 F' D' U' R
D B' L2 F' D2 U' R
D' B' U L U R2 U
D' B' U L U2 D' F2
D' B' U L D B2 U2
D' B' U L D' U2 F2
B' F' L' D F L' U'
B' F' L' F L' U' F
R2 B' R2 L2 U' F R
D' B' U D L B2 U2
D' B' U D B2 U2 R'
D' B' U D' L U2 F2
F' B' L' D F L' U'
F' B' L' F L' U' F
F2 B' L' D F L' U'
B' F' L2 U' R F R
B' F' L2 U' R' F R
B' F' L2 U' R2 F R
B' F' L2 U' D F R
B' F' L2 U' D' F R
B' F' L2 U' D2 F R
B' F' L2 U' F R D
B' F' L2 U' F R D'
B' F' L2 U' F R D2
B' F' L2 U' F D R
B' F' L2 U' F D' R
B' F' L2 U' F D2 R
F2 B' L' F L' U' F
B' F' L2 D U' F R
B' F' L2 D' U' F R
B' F' L2 D2 U' F R
F' B' L2 U' R F R
F' B' L2 U' R' F R
F' B' L2 U' R2 F R
F' B' L2 U' D F R
F' B' L2 U' D' F R
F' B' L2 U' D2 F R
F' B' L2 U' F R D
F' B' L2 U' F R D'
F' B' L2 U' F R D2
F' B' L2 U' F D R
F' B' L2 U' F D' R
F' B' L2 U' F D2 R
D2 B' U' F' D' F' R
F' B' L2 D U' F R
F' B' L2 D' U' F R
F' B' L2 D2 U' F R
F2 B' L2 U' R F R
F2 B' L2 U' R' F R
F2 B' L2 U' R2 F R
F2 B' L2 U' D F R
F2 B' L2 U' D' F R
F2 B' L2 U' D2 F R
F2 B' L2 U' F R D
F2 B' L2 U' F R D'
F2 B' L2 U' F R D2
F2 B' L2 U' F D R
F2 B' L2 U' F D' R
F2 B' L2 U' F D2 R
F2 B' L2 D U' F R
F2 B' L2 D' U' F R
F2 B' L2 D2 U' F R
D2 B' U2 R' B U F2
D' B' U2 R2 U' L U2
F B' L' D F L' U'
D' B' U2 R2 B2 U R'
F B' L' F L' U' F
D' B' U2 B2 R2 U R
L B' U B' R' U2 R
D B' U' F D F2 R
D B' U' F' R D F2
D B' U' F' D R F2
F B' L2 U' R F R
F B' L2 U' R' F R
F B' L2 U' R2 F R
F B' L2 U' D F R
F B' L2 U' D' F R
F B' L2 U' D2 F R
F B' L2 U' F R D
F B' L2 U' F R D'
F B' L2 U' F R D2
F B' L2 U' F D R
F B' L2 U' F D' R
F B' L2 U' F D2 R
F B' L2 D U' F R
D' B' D U L B2 U2
F B' L2 D' U' F R
D' B' D U B2 U2 R'
F B' L2 D2 U' F R
D2 B' D' L2 F' U' R
L B' U' B' U2 B L
D' B' D' L2 U' F2 R
D' B' D' U L U2 F2
D2 B' D' F' L2 U' R
D' B' D2 L2 U L' U2
D' B' D2 L2 F2 U' R
B' F' U D' B' L U2
F' B' U D' B' L U2
F2 B' U D' B' L U2
D2 B' F' U' D' F' R
D2 B' F' D' U' F' R
F B' U D' B' L U2
D B' F L2 U L U2
D B' F U' D F2 R
D B' F D U' F2 R
D B' F' L2 U' R D
D B' F' L2 U' R D'
D B' F' L2 U' R D2
D B' F' L2 U' D R
D B' F' L2 U' D' R
D B' F' L2 U' D2 R
D B' F' L2 D U' R
D B' F' L2 D' U' R
D B' F' L2 D2 U' R
D B' F' U' R D F2
D B' F' U' D R F2
D B' F' D U' R F2
B' F' D' U B' L U2
D B' F2 L2 F U' R
F' B' D' U B' L U2
F2 B' D' U B' L U2
F B' D' U B' L U2
U B2 L' U' F B U'
U B2 L' U' B F U'
B' F2 L' D F L' U'
B' F2 L' F L' U' F
D B2 L2 D2 B U' R'
D B2 L2 F' B U' R
D B2 L2 B F' U' R
B' F2 L2 U' R F R
B' F2 L2 U' R' F R
B' F2 L2 U' R2 F R
B' F2 L2 U' D F R
B' F2 L2 U' D' F R
B' F2 L2 U' D2 F R
B' F2 L2 U' F R D
B' F2 L2 U' F R D'
B' F2 L2 U' F R D2
B' F2 L2 U' F D R
B' F2 L2 U' F D' R
B' F2 L2 U' F D2 R
B' F2 L2 D U' F R
B' F2 L2 D' U' F R
B' F2 L2 D2 U' F R
B' F2 U D' B' L U2
U B2 U' D' B U' R'
B' F2 D' U B' L U2
U B2 D' U' B U' R'
D B2 F' L2 B U' R
