B' L' R' F2 D B2
B' R U' L' R2 F2
B' R U' L' F2 R2
B' R U' R2 L' F2
B' R' L' F2 D B2
L' F2 U' L' B' U
L' B' R' F2 D B2
R B' U' L' R' F2
R B' U' L' F2 R'
R B' U' R' L' F2
B' L2 F2 R' L D' B2
B L2 F2 L R D' B2
B L2 F2 L D' R B2
B L2 F2 L D' B2 R
B L2 F2 R L D' B2
B' R L U' L2 R2 F2
B' R L U' L2 F2 R2
B' R L U' R2 L2 F2
B' R L U' R2 F2 L2
B' R L U' F2 L2 R2
B' R L U' F2 R2 L2
U' R L F U' F L2
B' R L' F2 R2 D B2
B' R L2 U' L R2 F2
B' R L2 U' L F2 R2
B' R L2 U' R2 L F2
B' R L2 U' R2 F2 L
B' R L2 U' F2 L R2
B' R L2 U' F2 R2 L
B R L2 U' F2 L R
B R L2 U' F2 R L
B R U L U2 L2 F2
B R U L U2 F2 L2
B' R U' L R2 F2 L2
B' R U' L F2 L2 R2
B' R U' L F2 R2 L2
B' R U' L' R' F2 R'
B' R U' L' R2 F2 D
B' R U' L' R2 F2 D'
B' R U' L' R2 F2 D2
B' R U' L' F R2 F
B' R U' L' F2 R2 D
B' R U' L' F2 R2 D'
B' R U' L' F2 R2 D2
U' R U' L' F R F
B' R U' L2 R2 F2 L
B' R U' L2 F2 L R2
B' R U' L2 F2 R2 L
B' R U' R' L' F2 R'
B' R U' R2 L F2 L2
B' R U' R2 L' F2 D
B' R U' R2 L' F2 D'
B' R U' R2 L' F2 D2
B' R U' R2 L2 F2 L
B R U' L' F2 D2 R2
B R U' L2 F2 L R
B R U' L2 F2 R L
U R U2 B U L' F2
B' R D' L2 F2 U' L
R U' L' U' B' U F2
R U' L' F2 U' B' U
B' R F2 R2 D B2 L
B' R B U' L' R2 F2
B' R B U' L' F2 R2
B' R B U' R2 L' F2
B2 R B U' L' R' F2
B2 R B U' L' F2 R'
B2 R B U' R' L' F2
D' R B' L2 U' L R'
D' R B' L2 U' R' L
B' R B' U' L' R2 F2
B' R B' U' L' F2 R2
B' R B' U' R2 L' F2
B' R B2 U' L' R2 F2
B' R B2 U' L' F2 R2
B' R B2 U' R2 L' F2
B R B2 U' L' R' F2
B R B2 U' L' F2 R'
B R B2 U' R' L' F2
B' R' L F2 L2 D B2
B' R' L' U R2 U' F2
B' R' L' D B2 D' F2
B' R' L' F D F B2
B' R' L' F D B2 F
B' R' L' F' D F' B2
B' R' L' F' D B2 F'
B' R' L' F2 U R2 U'
B' R' L' F2 D B2 D
B' R' L' F2 D B2 D'
B' R' L' F2 D B2 D2
B' R' L' F2 B D B2
B' R' L' F2 B' D B2
B' R' L' F2 B2 D B2
B' R' L' B F2 D B2
B' R' L' B' F2 D B2
B' R' L' B2 F2 D B2
B' R' L2 F2 L D B2
B' R' L2 F2 D L B2
B' R' U R2 U' L' F2
B' R' D L' B2 D' F2
B' R' D B2 L' D' F2
B' R' D B2 D' L' F2
B' R' B L' F2 D B2
B' R' B' L' F2 D B2
B' R' B2 L' F2 D B2
B' U L' R' F2 D B2
B' U R U' L' R2 F2
B' U R U' L' F2 R2
B' U R U' R2 L' F2
B' U R' L' F2 D B2
B' U' L' R' F2 D B2
F2 U' L' F2 B' U L'
F2 U' L' B' U' R U2
F2 U' L' B' F2 U L'
B' U' R U' L' R2 F2
B' U' R U' L' F2 R2
B' U' R U' R2 L' F2
B' U' R' L' F2 D B2
L' D' B' R' D F2 B2
L' D' B' R' D B2 F2
R D' B' L2 U' L R'
R D' B' L2 U' R' L
B' U2 L' R' F2 D B2
B' U2 R U' L' R2 F2
B' U2 R U' L' F2 R2
B' U2 R U' R2 L' F2
F2 U2 R U L' B' U
B' U2 R' L' F2 D B2
L' F D F B' R' B
L' F D B' R' F B
L' F D B' R' B F
L' F D B' F R' B
L2 F D' F L B' R'
L' F B' D R' F B
L' F B' D R' B F
L' F B' D F R' B
B' D' L2 R U' L R2
B' D' L2 R U' R2 L
B2 D' L2 R F' U' L
B' D' R L2 U' L R2
B' D' R L2 U' R2 L
B2 D' R L2 F' U' L
B' D' R' D L' F2 B2
B' D' R' D L' B2 F2
B' D' R' D B2 L' F2
L2 F2 L D' B' R' B'
L2 F2 L B D' B2 R'
L2 F2 L B' R' D' B2
L2 F2 L B' D' R' B2
L' F2 R U' L' B' U
L' F2 R' U' L' B' U
L' F2 R2 U' L' B' U
L' F2 U' L' D B' U
L' F2 U' L' D' B' U
L' F2 U' L' D2 B' U
L' F2 U' L' B' U D
L' F2 U' L' B' U D'
L' F2 U' L' B' U D2
L' F2 U' L' B' D U
L' F2 U' L' B' D' U
L' F2 U' L' B' D2 U
L' F2 U' D L' B' U
L' F2 U' D' L' B' U
L' F2 U' D2 L' B' U
L2 F2 U' L' B' U L2
L' F2 U' B L' B' U
L' F2 U' B' L' B' U
L' F2 U' B2 L' B' U
L F2 U' L' B' U L'
L' F2 D U' L' B' U
L' F2 D' U' L' B' U
L' F2 D2 U' L' B' U
L' F2 B' R' U' L' U
L' F2 B' U' L' U R'
R B L2 U' F2 L R
R B L2 U' F2 R L
L' B R' F2 D B2 R'
L B R U' L2 F2 R
R B U L U2 L2 F2
R B U L U2 F2 L2
R B U' L' F2 D2 R2
R B U' L2 F2 L R
R B U' L2 F2 R L
R' B' L' F2 D R' B2
D' B' L2 R U' L R2
D' B' L2 R U' R2 L
R B' L U' L2 R' F2
R B' L U' L2 F2 R'
R B' L U' R' L2 F2
R B' L U' R' F2 L2
R B' L U' F2 L2 R'
R B' L U' F2 R' L2
R2 B' L' F2 D' R' B
D' B' R L2 U' L R2
D' B' R L2 U' R2 L
L' B' R F2 R2 D B2
L B' L2 R' F2 D B2
L' B' R' U R2 U' F2
D' B' R' D L' F2 B2
D' B' R' D L' B2 F2
D' B' R' D B2 L' F2
L' B' R' D B2 D' F2
L' B' R' F D F B2
L' B' R' F D B2 F
L' B' R' F' D F' B2
L' B' R' F' D B2 F'
L' B' R' F2 U R2 U'
R B' L2 U' L R' F2
R B' L2 U' L F2 R'
L' B' R' F2 D B2 D
L' B' R' F2 D B2 D'
L' B' R' F2 D B2 D2
R B' L2 U' R' L F2
R B' L2 U' R' F2 L
L' B' R' F2 B D B2
L' B' R' F2 B' D B2
L' B' R' F2 B2 D B2
R B' L2 U' F2 L R'
R B' L2 U' F2 R' L
L' B' R' B F2 D B2
L' B' R' B' F2 D B2
R' B' R2 U' L' R F2
R' B' R2 U' R L' F2
L' B' R' B2 F2 D B2
L B' R U' L2 R2 F2
L B' R U' L2 F2 R2
L B' R U' R2 L2 F2
L B' R U' R2 F2 L2
L B' R U' F2 L2 R2
L B' R U' F2 R2 L2
L B' R' L2 F2 D B2
L' B' U R U' R2 F2
L' B' U R U' F2 R2
L B' R' F2 L2 D B2
R B' U' L R' F2 L2
R B' U' L F2 L2 R'
R B' U' L F2 R' L2
R B' U' L' R F2 R2
R B' U' L' R' F2 D
R B' U' L' R' F2 D'
R B' U' L' R' F2 D2
R B' U' L' F R' F
R B' U' L' F2 R' D
R B' U' L' F2 R' D'
R B' U' L' F2 R' D2
R B' U' L' F2 D R'
R B' U' L' F2 D' R'
R B' U' L' F2 D2 R'
R B' U' L2 R' F2 L
R B' U' L2 F2 L R'
R B' U' L2 F2 R' L
R B' U' R L' F2 R2
R B' U' R' L F2 L2
R B' U' R' L' F2 D
R B' U' R' L' F2 D'
R B' U' R' L' F2 D2
R B' U' R' L2 F2 L
R B' U' F2 R' D2 L2
L' B' D' R' D F2 B2
L' B' D' R' D B2 F2
L' B' F D R' F B
L' B' F D R' B F
L' B' F D F R' B
R B' D' L2 U' L R'
R B' D' L2 U' R' L
L' B' F2 R' U' L' U
L' B' F2 U' L' U R'
