F2 U2 D F L'
F2 D U2 F L'
F2 R U2 D F L'
F2 R D U2 F L'
F2 R' U2 D F L'
F2 R' D U2 F L'
F2 R2 U2 D F L'
F2 R2 D U2 F L'
F2 U2 D F L' D
F2 U2 D F L' D'
F2 U2 D F L' D2
F2 U2 D F D L'
F2 U2 D F D' L'
F2 U2 D F D2 L'
F2 D R U2 F L'
F2 D R' U2 F L'
F2 D R2 U2 F L'
F2 D U2 F L' D
F2 D U2 F L' D'
F2 D U2 F L' D2
F2 D U2 F D L'
F2 D U2 F D' L'
F2 D U2 F D2 L'
F' D F' R U2 F
F2 D B U2 F L'
F2 D B' U2 F L'
F2 D B2 U2 F L'
F2 D' B R' U2 F
F2 D' B' U2 F L
R2 F2 D' B R' U2
F2 B U2 D F L'
F2 B D U2 F L'
F2 B' U2 D F L'
F2 B' D U2 F L'
B' F2 U2 D F L'
B' F2 D U2 F L'
F2 B2 U2 D F L'
B2 F2 U2 D F L'
B F2 U2 D F L'
F2 B2 D U2 F L'
B2 F2 D U2 F L'
B F2 D U2 F L'
F2 R2 D U2 F L' D
F2 R2 D U2 F L' D'
F2 R2 D U2 F L' D2
F2 R2 D U2 F D L'
F2 R2 D U2 F D' L'
F2 R2 D U2 F D2 L'
F2 R2 D B U2 F L'
F2 R2 D B' U2 F L'
F2 R2 D B2 U2 F L'
F2 R2 D' B R' U2 F
F2 R2 D' B' U2 F L
F R2 F U2 D F L'
F R2 F D U2 F L'
B' R2 F2 D' B R' U2
B2 R2 F2 D' B R' U2
D' R2 B R' U L2 U
D' R2 B R' U2 D' B2
D' R2 B R' D F2 U2
D' R2 B R' D' U2 B2
D' R2 B U2 D' B2 L
B R2 F2 D' B R' U2
D' R2 B D R' F2 U2
D' R2 B D F2 R' U2
D' R2 B D' R' U2 B2
D' R2 B D' U2 B2 L
F2 R2 B U2 D F L'
F2 R2 B D U2 F L'
F2 R2 B' U2 D F L'
F2 R2 B' D U2 F L'
F2 R2 B2 U2 D F L'
F2 R2 B2 D U2 F L'
F2 U L' F L U F
F2 U R U D F L'
F2 U R D U F L'
F2 U R' U D F L'
F2 U R' D U F L'
F2 U R2 U D F L'
F2 U R2 D U F L'
F2 U D R U F L'
U2 D F L' F2 D B2
F2 U D R' U F L'
F2 U D R2 U F L'
F2 U D F' U F2 L'
F2 U D2 R F' U F2
F2 U' L D' B' L U'
L' D' F L2 U F2 R
F2 U' L B' L' U' F
F2 U' L2 U B' R' U2
L' D' F' D' B2 L2 R'
L' D' F' D' B2 R' L2
R2 D' B R' U L2 U
R2 D' B R' U2 D' B2
R2 D' B R' D F2 U2
R2 D' B R' D' U2 B2
R2 D' B U2 D' B2 L
R2 D' B D R' F2 U2
R2 D' B D F2 R' U2
R2 D' B D' R' U2 B2
R2 D' B D' U2 B2 L
U2 D' F' B D' B2 L
U2 D' F' B' D' L B2
F2 U' D B U' F L'
F2 U' D B' U' F L'
F2 U' D B2 U' F L'
U2 D' B D' F' B2 L
U2 D' B D' B2 L F'
U2 D' B D' B2 F' L
F2 U' D' B' U' F L
U2 D' B F' D' B2 L
F U' D' L2 U' B' L
U2 D' B' D' L F' B2
U2 D' B' D' L B2 F'
U2 D' B' D' F' L B2
U2 D' B' F' D' L B2
F2 U' B U' D F L'
F2 U' B D U' F L'
F2 U' B' U' D F L'
F2 U' B' D U' F L'
F2 U' B2 U' D F L'
F2 U' B2 D U' F L'
L2 D2 U' F' L' R2 B2
L2 D2 U' F' L' B2 R2
L2 D2 U' F' R2 L' B2
L2 D2 U' F' R2 B2 L'
L2 D2 U' F' B2 L' R2
L2 D2 U' F' B2 R2 L'
L2 D2 U' B2 F' L' R2
L2 D2 U' B2 F' R2 L'
L' D2 F U F2 B2 R'
L' D2 F U B2 R' F2
L' D2 F U B2 F2 R'
F2 U2 L' U' F R U
D U2 F L' F2 D B2
D' U2 F' B D' B2 L
D' U2 F' B' D' L B2
D2 U2 F' B' D B' L
L' D2 F' B2 R' D' L2
L' D2 F' B2 D' L2 R'
L' D2 F' B2 D' R' L2
U2 D2 F' B' D B' L
F2 U2 R D R' F L'
F2 U2 R D F L' R'
F2 U2 R D F R' L'
D2 U2 F2 B2 D' F L'
D' U2 B D' F' B2 L
D' U2 B D' B2 L F'
D' U2 B D' B2 F' L
U2 D2 F2 B2 D' F L'
D' U2 B F' D' B2 L
F2 U2 R' D R F L'
D' U2 B' D' L F' B2
D' U2 B' D' L B2 F'
D' U2 B' D' F' L B2
D2 U2 B' D F' B' L
D2 U2 B' D B' L F'
D2 U2 B' D B' F' L
D' U2 B' F' D' L B2
D2 U2 B' F' D B' L
U2 D2 B' D F' B' L
U2 D2 B' D B' L F'
U2 D2 B' D B' F' L
F2 U2 D L F L' F
U2 D2 B' F' D B' L
F' U2 D F' R U2 R'
D2 U2 B2 D' F L' F2
F2 U2 D R F L' R'
F2 U2 D R F R' L'
F2 U2 D R2 F L' R2
F2 U2 D R2 F R2 L'
F2 U2 D F L2 D L
F2 U2 D F L2 D' L
F2 U2 D F L2 D2 L
F2 U2 D F D L' D
F2 U2 D F D L' D'
F2 U2 D F D L' D2
F2 U2 D F D' L' D
F2 U2 D F D' L' D'
F2 U2 D F D' L' D2
F2 U2 D F D2 L' D
F2 U2 D F D2 L' D'
F2 U2 D F D2 L' D2
F2 U2 D F B' L' B
F2 U2 D F B2 L' B2
F2 U2 D F' L F2 L'
F2 U2 D F' L' F2 L'
F2 U2 D F' L2 F2 L'
D2 U2 B2 F2 D' F L'
F2 U2 D F2 L F' L'
L' D2 B2 F' R' D' L2
F2 U2 D F2 L' F' L'
F2 U2 D F2 L2 F' L'
L' D2 B2 F' D' L2 R'
L' D2 B2 F' D' R' L2
F2 U2 D F2 D F' L'
F2 U2 D F2 D' F' L'
F2 U2 D F2 D2 F' L'
F2 U2 D B' F L' B
F2 U2 D B2 F L' B2
U2 D2 B2 D' F L' F2
U2 D2 B2 F2 D' F L'
F2 U2 D' F B' L B
F2 U2 D' B' F L B
F2 U2 F L U B' U'
F2 U2 F L' U' F U
L' F L2 U F2 R B'
L' F L2 U F2 B' R
L' F L2 U B' F2 R
F2 U2 F D F L' F'
F2 U2 F D' B' L B
F2 U2 F B D' B' L
D F L' F2 D B2 R'
F2 U2 F2 L' F' D' L2
F2 U2 F2 D F L' F2
F2 U2 B D F B' L'
F2 U2 B D B' F L'
F2 U2 B D' F B' L
F2 U2 B D' B' F L
F2 U2 B F D' B' L
F2 U2 B' D F L' B
F2 U2 B' D F B L'
F2 U2 B' D B F L'
D F U' R2 U' L' F2
D F U2 L' F2 D B2
R2 F D F B U2 L'
R2 F D B F U2 L'
F2 D R U2 F L' D
F2 D R U2 F L' D'
F2 D R U2 F L' D2
F2 D R U2 F D L'
F2 D R U2 F D' L'
F2 D R U2 F D2 L'
R2 F D' F B R' U2
F2 D R B U2 F L'
F2 D R B' U2 F L'
R2 F D' B R' F U2
R2 F D' B F R' U2
F2 D R B2 U2 F L'
F2 D R' U2 F L' D
F2 D R' U2 F L' D'
F2 D R' U2 F L' D2
F2 D R' U2 F D L'
F2 D R' U2 F D' L'
F2 D R' U2 F D2 L'
F2 D R' B U2 F L'
F2 D R' B' U2 F L'
F2 D R' B2 U2 F L'
F2 D R2 U2 F L' D
F2 D R2 U2 F L' D'
F2 D R2 U2 F L' D2
F2 D R2 U2 F D L'
F2 D R2 U2 F D' L'
F2 D R2 U2 F D2 L'
R2 F B D F U2 L'
F2 D R2 B U2 F L'
F2 D R2 B' U2 F L'
F2 D R2 B2 U2 F L'
F2 D U R U F L'
F2 D U R' U F L'
F2 D U R2 U F L'
F2 D U F' U F2 L'
F2 D U' B U' F L'
F2 D U' B' U' F L'
F2 D U' B2 U' F L'
F2 D U2 L F L' F
F' D U2 F' R U2 R'
F2 D U2 R F L' R'
F2 D U2 R F R' L'
F2 D U2 R2 F L' R2
F2 D U2 R2 F R2 L'
F2 D U2 F L2 D L
F2 D U2 F L2 D' L
F2 D U2 F L2 D2 L
F2 D U2 F D L' D
F2 D U2 F D L' D'
F2 D U2 F D L' D2
F2 D U2 F D' L' D
F2 D U2 F D' L' D'
F2 D U2 F D' L' D2
F2 D U2 F D2 L' D
F2 D U2 F D2 L' D'
F2 D U2 F D2 L' D2
F2 D U2 F B' L' B
F2 D U2 F B2 L' B2
F2 D U2 F' L F2 L'
F2 D U2 F' L' F2 L'
F2 D U2 F' L2 F2 L'
F2 D U2 F2 L F' L'
F2 D U2 F2 L' F' L'
F2 D U2 F2 L2 F' L'
F2 D U2 F2 D F' L'
F2 D U2 F2 D' F' L'
F2 D U2 F2 D2 F' L'
F2 D U2 B' F L' B
F2 D U2 B2 F L' B2
F' D F' R U2 D F
F' D F' R U2 D' F
F' D F' R U2 D2 F
F' D F' R U2 F D
F' D F' R U2 F D'
F' D F' R U2 F D2
F' D F' R D U2 F
F' D F' R D' U2 F
F' D F' R D2 U2 F
F' D F' R B U2 F
F' D F' R B' U2 F
F' D F' R B2 U2 F
F2 D F' R F U2 F
F' D F' U2 F2 L' F'
F' D F' D R U2 F
F' D F' D' R U2 F
F' D F' D2 R U2 F
F' D F' B R U2 F
F' D F' B' R U2 F
F D F U R2 U L'
F' D F' B2 R U2 F
F D F U2 L' D' F2
F D F U2 D' L' F2
F D F D B2 U2 L'
F D F D' U2 L' F2
F2 D B R U2 F L'
F2 D B R' U2 F L'
F2 D B R2 U2 F L'
F2 D B U2 F L' D
F2 D B U2 F L' D'
F2 D B U2 F L' D2
F2 D B U2 F D L'
F2 D B U2 F D' L'
F2 D B U2 F D2 L'
F' D B F' R U2 F
F2 D B' R U2 F L'
F2 D B' R' U2 F L'
F2 D B' R2 U2 F L'
F' D B' F' R U2 F
F2 D B' U2 F L' D
F2 D B' U2 F L' D'
F2 D B' U2 F L' D2
F2 D B' U2 F D L'
F2 D B' U2 F D' L'
F2 D B' U2 F D2 L'
F2 D B2 R U2 F L'
F2 D B2 R' U2 F L'
F2 D B2 R2 U2 F L'
F' D B2 F' R U2 F
F2 D B2 U2 F L' D
F2 D B2 U2 F L' D'
F2 D B2 U2 F L' D2
F2 D B2 U2 F D L'
F2 D B2 U2 F D' L'
F2 D B2 U2 F D2 L'
U2 F' U2 D F' R U2
U2 F' D U2 F' R U2
R2 F' D F' B R U2
F2 D' L2 B' L2 U2 L'
R2 F' D B F' R U2
F2 D' R U2 D2 F L'
F2 D' R D2 U2 F L'
D F' D' R F2 U2 F2
R2 F' D' F' B R' U2
F2 D' R B R' U2 F
R F' D F' R B U2
F2 D' R B' U2 F L
R2 F' D' B F' R' U2
D F' D' F2 U2 L' F2
F2 D' R' U2 D2 F L'
F2 D' R' D2 U2 F L'
F2 D' R' B R' U2 F
F2 D' R' B' U2 F L
F2 D' R2 U2 D2 F L'
F2 D' R2 D2 U2 F L'
R2 F' B D F' R U2
F2 D' R2 B R' U2 F
F2 D' R2 B' U2 F L
F2 D' U' B' U' F L
F2 D' U2 F B' L B
F D' U' L2 U' B' L
F2 D' U2 B' F L B
L2 F2 L2 D' B' U2 L
F' D' F' U2 D2 F L'
F' D' F' D2 U2 F L'
F' D' F' B R' U2 F
F' D' F' B' U2 F L
R' F2 R' D' B R' U2
F2 D' B R' U2 D F
F2 D' B R' U2 D' F
F2 D' B R' U2 D2 F
F2 D' B R' U2 F D
F2 D' B R' U2 F D'
F2 D' B R' U2 F D2
F2 D' B R' D U2 F
F2 D' B R' D' U2 F
F2 D' B R' D2 U2 F
F2 D' B R' B U2 F
F2 D' B R' B' U2 F
F2 D' B R' B2 U2 F
F' D' B F' R' U2 F
F2 D' B D R' U2 F
F2 D' B D' R' U2 F
R F2 R D' B R' U2
F2 D' B D2 R' U2 F
F2 D' B' R U2 F L
F2 D' B' R' U2 F L
F2 D' B' R2 U2 F L
F' D' B' F' U2 F L
F2 D' B' U2 D F L
F2 D' B' U2 D' F L
F2 D' B' U2 D2 F L
F2 D' B' U2 F L D
F2 D' B' U2 F L D'
F2 D' B' U2 F L D2
F2 D' B' U2 F D L
F2 D' B' U2 F D' L
F2 D' B' U2 F D2 L
F2 D' B' U2 F' L F2
F2 D' B' U2 F2 L F'
F2 D' B' D U2 F L
F2 D' B' D' U2 F L
F2 D' B' D2 U2 F L
F2 D' B2 U2 F' L' F2
U' F2 U2 D R2 F L'
U' F2 U2 D F L' R2
U' F2 U2 D F R2 L'
D2 F2 U2 B2 D' F L'
U' F2 D U2 R2 F L'
U' F2 D U2 F L' R2
U' F2 D U2 F R2 L'
U' F2 D F L' R2 B
U' F2 D F R2 L' B
U' F2 D F R2 B L'
U' F2 D' L2 B' U2 L
L F2 U' B' U' R F
R F2 U' B L B' U'
R F2 U2 D L F L'
F2 D2 R U F' U F2
F2 D2 R U2 F D' L2
R F2 D U2 L F L'
R2 F2 D' B R' U2 D
R2 F2 D' B R' U2 D'
R2 F2 D' B R' U2 D2
R2 F2 D' B R' D U2
R2 F2 D' B R' D' U2
R2 F2 D' B R' D2 U2
R2 F2 D' B D R' U2
R2 F2 D' B D' R' U2
R2 F2 D' B D2 R' U2
F2 D2 R' U' B U' F
R F2 D' R B R' U2
R F2 D' B R' U2 F'
R F2 D' B' U2 L F
F2 D2 U R F' U F2
R2 F2 B2 D' B' U2 L
F' D2 F' U2 D' F L'
F' D2 F' D' U2 F L'
F2 D2 B U2 D' F L'
F2 D2 B D' U2 F L'
F2 D2 B' U2 D' F L'
F2 D2 B' D' U2 F L'
F2 D2 B2 U2 D' F L'
F2 D2 B2 D' U2 F L'
D' B U2 D' F' B2 L
D' B U2 D' B2 L F'
D' B U2 D' B2 F' L
D' B U2 F' D' B2 L
F D2 B2 D' F U2 L'
D' B D F2 R' U2 F
D' B D' U2 F' B2 L
D' B D' U2 B2 L F'
D' B D' U2 B2 F' L
F2 B R U2 D F L'
F2 B R D U2 F L'
F2 B R' U2 D F L'
F2 B R' D U2 F L'
F2 B R2 U2 D F L'
F2 B R2 D U2 F L'
R2 B F D F U2 L'
R2 B F' D F' R U2
F2 B U2 D F L' D
F2 B U2 D F L' D'
F2 B U2 D F L' D2
F2 B U2 D F D L'
F2 B U2 D F D' L'
F2 B U2 D F D2 L'
F2 B D R U2 F L'
F2 B D R' U2 F L'
F' B D F' R U2 F
F2 B D R2 U2 F L'
F2 B D U2 F L' D
F2 B D U2 F L' D'
F2 B D U2 F L' D2
F2 B D U2 F D L'
F2 B D U2 F D' L'
F2 B D U2 F D2 L'
F2 B D B U2 F L'
F2 B D B' U2 F L'
F2 B D B2 U2 F L'
F2 B D' B R' U2 F
F2 B D' B' U2 F L
D' B' U L2 U L' F'
L B' U L' F2 U2 F
D2 B' U2 D F' B' L
D2 B' U2 D B' L F'
D2 B' U2 D B' F' L
D' B' U2 D' L F' B2
D' B' U2 D' L B2 F'
D' B' U2 D' F' L B2
D2 B' U2 F' D B' L
D' B' U2 F' D' L B2
F2 B' R U2 D F L'
L B' U F2 U2 R F
F2 B' R D U2 F L'
D2 B' D U2 F' B' L
D2 B' D U2 B' L F'
D2 B' D U2 B' F' L
D' B' D F2 U2 F L
F2 B' R' U2 D F L'
F2 B' R' D U2 F L'
D' B' D' U2 L F' B2
D' B' D' U2 L B2 F'
D' B' D' U2 F' L B2
F2 B' R2 U2 D F L'
F2 B' R2 D U2 F L'
F2 B' U2 D F L' D
F2 B' U2 D F L' D'
F2 B' U2 D F L' D2
F2 B' U2 D F D L'
F2 B' U2 D F D' L'
F2 B' U2 D F D2 L'
B' F' D F' R U2 F
F2 B' D R U2 F L'
F2 B' D R' U2 F L'
F' B' D F' R U2 F
F2 B' D R2 U2 F L'
B2 F' D F' R U2 F
F2 B' D U2 F L' D
F2 B' D U2 F L' D'
F2 B' D U2 F L' D2
F2 B' D U2 F D L'
F2 B' D U2 F D' L'
F2 B' D U2 F D2 L'
F2 B' D B U2 F L'
F2 B' D B' U2 F L'
F2 B' D B2 U2 F L'
B F' D F' R U2 F
F2 B' D' B R' U2 F
F2 B' D' B' U2 F L
B' F2 R U2 D F L'
B' F2 R D U2 F L'
D' B2 U L2 U F' L'
B2 F2 R U2 D F L'
B2 F2 R D U2 F L'
F2 B2 R U2 D F L'
F2 B2 R D U2 F L'
B' F2 R' U2 D F L'
B' F2 R' D U2 F L'
B F2 R U2 D F L'
B2 F2 R' U2 D F L'
B F2 R D U2 F L'
B2 F2 R' D U2 F L'
F2 B2 R' U2 D F L'
F2 B2 R' D U2 F L'
B' F2 R2 U2 D F L'
B' F2 R2 D U2 F L'
B2 F2 R2 U2 D F L'
B F2 R' U2 D F L'
B2 F2 R2 D U2 F L'
B F2 R' D U2 F L'
F2 B2 R2 U2 D F L'
F2 B2 R2 D U2 F L'
D' B2 U2 D' F' L' B2
D' B2 U2 D' F' B2 L'
D' B2 U2 D' B2 F' L'
D' B2 U2 F' D' L' B2
D' B2 U2 F' D' B2 L'
B F2 R2 U2 D F L'
B F2 R2 D U2 F L'
D' B2 D' U2 F' L' B2
D' B2 D' U2 F' B2 L'
D' B2 D' U2 B2 F' L'
B' F2 U2 D F L' D
B' F2 U2 D F L' D'
B' F2 U2 D F L' D2
B' F2 U2 D F D L'
B' F2 U2 D F D' L'
B' F2 U2 D F D2 L'
B2 F2 U2 D F L' D
B2 F2 U2 D F L' D'
B2 F2 U2 D F L' D2
B2 F2 U2 D F D L'
B2 F2 U2 D F D' L'
B2 F2 U2 D F D2 L'
B' F2 D R U2 F L'
B' F2 D R' U2 F L'
F2 B2 U2 D F L' D
F2 B2 U2 D F L' D'
F2 B2 U2 D F L' D2
F2 B2 U2 D F D L'
F2 B2 U2 D F D' L'
F2 B2 U2 D F D2 L'
B' F2 D R2 U2 F L'
B' F2 D U2 F L' D
B' F2 D U2 F L' D'
B' F2 D U2 F L' D2
B' F2 D U2 F D L'
B' F2 D U2 F D' L'
B' F2 D U2 F D2 L'
B' F2 D B U2 F L'
B' F2 D B' U2 F L'
B' F2 D B2 U2 F L'
B2 F2 D R U2 F L'
B2 F2 D R' U2 F L'
B2 F2 D R2 U2 F L'
F2 B2 D R U2 F L'
B F2 U2 D F L' D
B F2 U2 D F L' D'
B F2 U2 D F L' D2
F' B2 D F' R U2 F
B F2 U2 D F D L'
B F2 U2 D F D' L'
B F2 U2 D F D2 L'
F2 B2 D R' U2 F L'
F2 B2 D R2 U2 F L'
B2 F2 D U2 F L' D
B2 F2 D U2 F L' D'
B2 F2 D U2 F L' D2
B2 F2 D U2 F D L'
B2 F2 D U2 F D' L'
B2 F2 D U2 F D2 L'
F2 B2 D U2 F L' D
F2 B2 D U2 F L' D'
F2 B2 D U2 F L' D2
F2 B2 D U2 F D L'
F2 B2 D U2 F D' L'
F2 B2 D U2 F D2 L'
B2 F2 D B U2 F L'
B2 F2 D B' U2 F L'
B2 F2 D B2 U2 F L'
F2 B2 D B U2 F L'
B' F2 D' B R' U2 F
F2 B2 D B' U2 F L'
B' F2 D' B' U2 F L
F2 B2 D B2 U2 F L'
B F2 D R U2 F L'
B F2 D R' U2 F L'
B F2 D R2 U2 F L'
B F2 D U2 F L' D
B F2 D U2 F L' D'
B F2 D U2 F L' D2
B F2 D U2 F D L'
B F2 D U2 F D' L'
B F2 D U2 F D2 L'
B2 F2 D' B R' U2 F
B F2 D B U2 F L'
B2 F2 D' B' U2 F L
B F2 D B' U2 F L'
B F2 D B2 U2 F L'
F2 B2 D' B R' U2 F
F2 B2 D' B' U2 F L
B F2 D' B R' U2 F
B F2 D' B' U2 F L
R2 B2 F2 D' B' U2 L
