U' L' R F' U2 L
U' L' R' U2 L B
U' L' U2 D2 L B'
U' L' D2 U2 L B'
U' R L' F' U2 L
U' R' L' U2 L B
U' R' L' U2 L B
D2 U L' F U2 F'
D2 U' L' F U2 L
U' D2 L' F U2 L
U D2 L' F U2 F'
R' F2 L' U' B R
U R U2 L' F' R' U2
U' R D L' F' U2 L
U' R D' L' F' U2 L
L2 U' L R' U2 L' B
L2 U' L R' U2 B L'
L2 U' L R2 U2 L' B'
U' R D2 L' F' U2 L
L2 U' L F2 R F' U2
L U' L2 R F' U2 L2
L U' L2 R' U2 L2 B
L U' L2 R' U2 B L2
L U' R L2 F' U2 L2
L2 U' R F' L U2 L'
R U' R D' F2 R B
L2 U' R' L U2 L' B
L2 U' R' L U2 B L'
R' U' R' D' F2 R B
L U' R F' L2 U2 L2
L U' R' L2 U2 L2 B
L U' R' L2 U2 B L2
L2 U' R2 L U2 L' B'
U R B2 L D2 R2 B
L2 U' D2 L U2 B' L'
U' R' L' U2 L D B
U' R' L' U2 L D' B
U' R' L' U2 L D2 B
U' R' L' U2 L B D
U' R' L' U2 L B D'
U' R' L' U2 L B D2
U' R' L' U2 L' B L2
U' R' L' U2 L2 B L'
U' R' L' U2 D L B
U' R' L' U2 D' L B
U' R' L' U2 D2 L B
U' R' L' D U2 L B
U' R' L' D' U2 L B
U' R' L' D2 U2 L B
U' R' L' F U2 L B
U' R' L' F' U2 L B
U' R' L' F2 U2 L B
U2 R' U L' U2 L B
R' U' B R' D' F2 R
U' R' D L' U2 L B
U' R' D' L' U2 L B
L2 U' B2 R' D2 F2 B
L2 U' B2 R' D2 B F2
F2 R' D' F2 L' U' B
U' R' D2 L' U2 L B
D' R' F2 L' U' R B
F2 R' F2 L' U' B R2
U R' F2 L' B R F2
U' R' B U2 B' L' U2
U R' F2 B L' R F2
U R' F2 B R L' F2
U R' B U2 L' R U2
U R' B U2 R L' U2
U R' B F2 L' R F2
U R' B F2 R L' F2
U' R' B2 D2 F2 R B'
U' R' B2 D2 F2 B' R
U' R' B2 D2 B' F2 R
U' R2 L' U2 L' B' L2
U R2 U2 L' R2 U2 B'
U R2 U2 R2 L' U2 B'
U R2 F2 R F2 L' B
U R2 F2 R F2 B L'
U R2 F2 R B F2 L'
U' R2 B2 D2 F2 R B
U' D L' U2 D L B'
D2 U L' D F U2 F'
U' D L' D U2 L B'
D2 U L' D' F U2 F'
D2 U L' D2 F U2 F'
D2 U L' F U2 D F'
D2 U L' F U2 D' F'
D2 U L' F U2 D2 F'
D2 U L' F U2 F' D
D2 U L' F U2 F' D'
D2 U L' F U2 F' D2
D2 U L' F D U2 F'
D2 U L' F D' U2 F'
D2 U L' F D2 U2 F'
D2 U L' F B U2 F'
D2 U L' F B' U2 F'
D2 U L' F B2 U2 F'
D2 U L' B F U2 F'
D2 U L' B' F U2 F'
D2 U L' B2 F U2 F'
R' D F2 L' U' B R
F2 U R U2 F' R' U2
F2 U R' B' R2 B2 L
F2 U D2 R B2 L B'
D2 U B L' F U2 F'
D2 U B' L' F U2 F'
R2 D' R U' F2 B R
R2 D' R U' B F2 R
D2 U B2 L' F U2 F'
D2 U' L' R F U2 L
D2 U' L' R' F U2 L
D2 U' L' R2 F U2 L
U' D' L' U2 D' L B'
D' U' L' U2 D' L B'
D2 U' L' U2 L2 B' L'
U' D' L' D' U2 L B'
D' U' L' D' U2 L B'
D2 U' L' D F U2 L
D2 U' L' D' F U2 L
D2 U' L' D2 F U2 L
D2 U' L' F R U2 L
D2 U' L' F R' U2 L
D2 U' L' F R2 U2 L
D2 U' L' F U2 L D
D2 U' L' F U2 L D'
D2 U' L' F U2 L D2
D2 U' L' F U2 D L
D2 U' L' F U2 D' L
D2 U' L' F U2 D2 L
D2 U' L' F D U2 L
D2 U' L' F D' U2 L
D2 U' L' F D2 U2 L
D U' L' U2 D L B'
D U' L' D U2 L B'
D2 U' R L' F U2 L
D2 U' R' L' F U2 L
D2 U' R2 L' F U2 L
R' D' F2 L' U' B R
F2 U' R U2 F' U2 F
F2 U' R' B' R2 F' B2
F2 U' R' B' R2 B2 F'
L D2 L U' B' R2 F'
U' D2 L' R F U2 L
U' D2 L' R' F U2 L
U' D2 L' R2 F U2 L
U' D2 L' U2 L2 B' L'
U' D2 L' D F U2 L
U' D2 L' D' F U2 L
U' D2 L' D2 F U2 L
U' D2 L' F R U2 L
U' D2 L' F R' U2 L
U' D2 L' F R2 U2 L
U' D2 L' F U2 L D
U' D2 L' F U2 L D'
U' D2 L' F U2 L D2
U' D2 L' F U2 D L
U' D2 L' F U2 D' L
U' D2 L' F U2 D2 L
U' D2 L' F D U2 L
U' D2 L' F D' U2 L
U' D2 L' F D2 U2 L
U' D2 R L' F U2 L
U D2 L' D F U2 F'
U D2 L' D' F U2 F'
U D2 L' D2 F U2 F'
U D2 L' F U2 D F'
U D2 L' F U2 D' F'
U D2 L' F U2 D2 F'
U D2 L' F U2 F' D
U D2 L' F U2 F' D'
U D2 L' F U2 F' D2
U D2 L' F D U2 F'
U D2 L' F D' U2 F'
U D2 L' F D2 U2 F'
U D2 L' F B U2 F'
U D2 L' F B' U2 F'
U D2 L' F B2 U2 F'
U D2 L' B F U2 F'
U D2 L' B' F U2 F'
U D2 L' B2 F U2 F'
F' U' B' R2 F' R B
U' D2 R' L' F U2 L
F2 U' B2 R' B R2 F'
U' D2 R2 L' F U2 L
L2 D2 U' L U2 B' L'
R' D2 F2 L' U' B R
U D2 B L' F U2 F'
U D2 B' L' F U2 F'
U D2 B2 L' F U2 F'
U' F R F' L' U2 L
U F U2 F' B' R' B
U F U2 B' F' R' B
R' F' U' R' F' R B
R' F' U' D2 B R' F'
R' F' U' B R' F' R
R' F' D2 U' B R' F'
U' F' B' R2 F' R B
R' F2 L' U' D B R
R' F2 L' U' D' B R
R' F2 L' U' D2 B R
R' F2 L' U' B R D
R' F2 L' U' B R D'
R' F2 L' U' B R D2
R' F2 L' U' B D R
R' F2 L' U' B D' R
R' F2 L' U' B D2 R
R' F2 L' U' B' R B2
R' F2 L' U' B2 R B'
R' F2 L' D U' B R
R' F2 L' D' U' B R
R' F2 L' D2 U' B R
U' F2 R U2 F' U2 F
U' F2 R' B' R2 F' B2
U' F2 R' B' R2 B2 F'
D2 F2 U R B2 L B'
U F2 R' F2 L' B R2
U F2 R' F2 B L' R2
U F2 R' F2 B R2 L'
U F2 R' B F2 L' R2
U F2 R' B F2 R2 L'
R' F2 D L' U' B R
R' F2 D' L' U' B R
U F2 U2 R' F2 B R2
U F2 U2 R' B R2 F2
U F2 U2 R' B F2 R2
R' F2 D2 L' U' B R
U' F2 B2 R' B R2 F'
F2 D2 U R B2 L B'
B2 D2 F2 L U R B'
B2 D2 F2 L U B' R
U' B R' B D2 F2 R
U B D2 L' F U2 F'
B F U2 B' U' R' B
F B U2 B' U' R' B
U' B' R2 F2 R F B
U' B' R2 F2 R B F
U' B' F' R2 F' R B
U B' D2 L' F U2 F'
U' B2 L' B2 R' U2 B
U' B2 R' D2 F2 B R
U' B2 R' D2 B F2 R
U' B2 R2 D2 F2 R B
L2 B2 U R' D L2 B
L2 B2 U R' D B L2
D B2 D2 F2 U R B
U B2 D2 L' F U2 F'
U' B2 F2 R' B R2 F'
