L2 U2 F L' B U
L2 U2 F B L' U
L2 U2 B F L' U
R2 F' R B' L2 U'
R2 F' B' L2 R U'
R2 F' B' R L2 U'
R2 B' L2 F' R U'
R2 B' F' L2 R U'
R2 B' F' R L2 U'
R2 B' F' D R U' F2
B F' U2 B2 L2 R U'
B F' U2 B2 R L2 U'
R B' F' L2 R F' U'
R B' F' R L2 F' U'
R B' F' R F' L2 U'
B' F' D2 R F2 L' U'
F' B' D2 R F2 L' U'
B F' D2 F2 L' R2 U
B F' D2 F2 R2 L' U
R2 B2 L2 F' B R U'
R2 B2 L2 B F' R U'
F' B2 L2 B R F U'
B2 F2 L2 F B R U'
F2 B2 L2 F B R U'
B2 F2 L2 B F R U'
F2 B2 L2 B F R U'
L2 B2 U2 F B' L' U
L2 B2 U2 B' F L' U
R2 B2 F' L2 B R U'
