F' L D L2 R2 B'
F' L D L2 B' R2
F' L D R2 L2 B'
F' L' D R2 B' L2
F' L' D B' L2 R2
F' L' D B' R2 L2
F L' B2 U' F2 B
F L' B2 U' B F2
L D L2 F' R B'
L D L2 F' B' R
L D L2 B' F' R
U' F R B2 U' F2
F' D L' R2 B' L'
F' D L' B' L' R2
F' D L' B' R2 L'
F' D R2 L' B' L'
U' F B2 R U' F2
B2 F L' U' F2 B'
B2 F L' U' B' F2
F B2 L' U' F2 B'
F B2 L' U' B' F2
F B2 L' U' B' F2
U' B2 F R U' F2
F' R L' D B' L2 R2
F' R L' D B' R2 L2
F R L' B2 U' F2 B
F R L' B2 U' B F2
L' U F' D B' L2 R'
L' U F' D B' R' L2
F' R D L' R2 B' L'
F' R D L' B' L' R2
F' R D L' B' R2 L'
F' R D R2 L' B' L'
L' U B2 U' F' B R'
L' U B2 U' B F' R'
L U' D L2 F' R B'
L U' D L2 F' B' R
L U' D L2 B' F' R
F R B2 L' U' F2 B'
F R B2 L' U' B' F2
F' R' L D L2 R2 B'
F' R' L D L2 B' R2
F' R' L D R2 L2 B'
R' U' F R B2 U' F'
F' R' L' D R2 B' L2
F' R' L' D B' L2 R2
F' R' L' D B' R2 L2
R' U' F B2 R U' F'
F R' L' B2 U' F2 B
F R' L' B2 U' B F2
F' R' D L' R2 B' L'
F' R' D L' B' L' R2
F' R' D L' B' R2 L'
F' R' D R2 L' B' L'
R' U' B2 F R U' F'
B2 R' D' F L' U' B'
U' R' F R B2 U' F'
U' R' F B2 R U' F'
L U2 D L2 F' R B'
L U2 D L2 F' B' R
L U2 D L2 B' F' R
U' R' B2 F R U' F'
F R' B2 L' U' F2 B'
F R' B2 L' U' B' F2
F' R2 L D L2 R2 B'
F' R2 L D L2 B' R2
F' R2 L D R2 L2 B'
F' R2 L' D R2 B' L2
F' R2 L' D B' L2 R2
F' R2 L' D B' R2 L2
F R2 L' B2 U' F2 B
F R2 L' B2 U' B F2
F' R2 D L' R2 B' L'
F' R2 D L' B' L' R2
F' R2 D L' B' R2 L'
F' R2 D R2 L' B' L'
L D L F' L R B'
L D L F' L B' R
L D L F' R L B'
L D L2 F' R D B'
L D L2 F' R D' B'
L D L2 F' R D2 B'
L D L2 F' R B' D
L D L2 F' R B' D'
L D L2 F' R B' D2
L D L2 F' R' B' R2
L D L2 F' D R B'
L D L2 F' D B' R
L D L2 F' D' R B'
L D L2 F' D' B' R
L D L2 F' D2 R B'
L D L2 F' D2 B' R
L D L2 F' B R B2
L D L2 F' B' R D
L D L2 F' B' R D'
L D L2 F' B' R D2
L D L2 F' B' D R
L D L2 F' B' D' R
L D L2 F' B' D2 R
L D L2 B F' R B2
L D L2 B' F' R D
L D L2 B' F' R D'
L D L2 B' F' R D2
L D L2 B' F' D R
L D L2 B' F' D' R
L D L2 B' F' D2 R
D' R2 B U' F R U'
L' D U F' B' L2 R'
L' D U F' B' R' L2
L' D U B' L2 F' R'
L' D U B' F' L2 R'
L' D U B' F' R' L2
L D U L2 F' R B'
L D U L2 F' B' R
L D U L2 B' F' R
F R2 B2 L' U' F2 B'
F R2 B2 L' U' B' F2
L D U' L2 F' R B'
L D U' L2 F' B' R
L D U' L2 B' F' R
L D U2 L2 F' R B'
L D U2 L2 F' B' R
L D U2 L2 B' F' R
L D F L' U2 L' F2
L D F U2 F2 L2 R
L D F U2 F2 R L2
L D F' L2 R D2 B2
L D F' L2 D2 R B2
L D F' L2 D2 B2 R
L D F' R L2 D2 B2
L' D B' L2 D F' R
L D B L2 F' R B'
L D B L2 F' B' R
L D B L2 B' F' R
U' D F R U' L2 F2
U' D F R U' F2 L2
L D B' L2 F' R B'
L D B' L2 F' B' R
L D B' L2 B' F' R
L D B2 L2 F' R B'
L D B2 L2 F' B' R
L D B2 L2 B' F' R
B' U F B' R' U' F2
F' U F2 B' R' B' U'
F' U B' R' F2 B' U'
F' U B' R' B' F2 U'
B' U B' F R' U' F2
F' U B' F2 R' B' U'
L D' R2 F B U2 R'
L D' R2 B F U2 R'
D' U' F R U' F2 L'
U' D' F R U' F2 L'
D U' F R U' L2 F2
D U' F R U' F2 L2
B' U' F R B' U' F2
B' U' F B' R U' F2
B2 U' F' U F2 R U'
B U' F B R U' F2
B' U' B' F R U' F2
B U' B F R U' F2
L' D2 F2 U F B' R'
L' D2 F2 U B' R' F
L' D2 F2 U B' F R'
U' F L R B2 U' F2
U' F L B2 R U' F2
U' F L' R B2 U' F2
U' F L' B2 R U' F2
U' F L2 R B2 U' F2
D F L' U' B' L' F2
U' F L2 B2 R U' F2
U' F R L B2 U' F2
U' F R L' B2 U' F2
U' F R L2 B2 U' F2
U' F R U' F2 D L2
U' F R B2 L U' F2
U' F R B2 L' U' F2
U' F R B2 L2 U' F2
U' F R B2 U' F2 D
U' F R B2 U' F2 D'
U' F R B2 U' F2 D2
U' F R B2 D' L2 U'
U2 F R B2 U' F2 B'
U2 F R B2 U' B' F2
U' F R' B2 R2 U' F2
F' D L' R B' L' R
F' D L' R B' R L'
F' D L' R2 D B' L'
F' D L' R2 D' B' L'
F' D L' R2 D2 B' L'
F' D L' R2 B L' B2
F' D L' R2 B' L' D
F' D L' R2 B' L' D'
F' D L' R2 B' L' D2
F' D L' R2 B' D L'
F' D L' R2 B' D' L'
F' D L' R2 B' D2 L'
F' D L' R2 B2 L' B
F' D L' B L' R2 B2
F' D L' B L' B2 R2
F' D L' B R2 L' B2
F' D L' B R2 B2 L'
F' D L' B' L' R2 D
F' D L' B' L' R2 D'
F' D L' B' L' R2 D2
F' D L' B' R2 L' D
F' D L' B' R2 L' D'
F' D L' B' R2 L' D2
F' D L' B' R2 D L'
F' D L' B' R2 D' L'
F' D L' B' R2 D2 L'
F' D L' B2 L' B R2
F' D L2 R' D2 R' B
F' D R L' B' L' R
F' D R L' B' R L'
F' D R' L2 D2 R' B
F' D R2 L' D B' L'
F' D R2 L' D' B' L'
F' D R2 L' D2 B' L'
F' D R2 L' B L' B2
F' D R2 L' B' L' D
F' D R2 L' B' L' D'
F' D R2 L' B' L' D2
F' D R2 L' B' D L'
F' D R2 L' B' D' L'
F' D R2 L' B' D2 L'
F' D R2 L' B2 L' B
U' F B' R B' U' F2
U' F B2 L R U' F2
F' D R2 B L' B' L'
U' F B2 L' R U' F2
F' D R2 B' L' B' L'
U' F B2 L2 R U' F2
F' D R2 B2 L' B' L'
U' F B2 R L U' F2
U' F B2 R L' U' F2
U' F B2 R L2 U' F2
U' F B2 R U' F2 D
U' F B2 R U' F2 D'
U' F B2 R U' F2 D2
U' F B2 R D' L2 U'
U' F B2 D' L2 R U'
U' F B2 D' R L2 U'
U2 F B2 R U' F2 B
U2 F B2 R U' B F2
U F B' R' B' U' F2
B2 D F L' U' F2 B'
B2 D F L' U' B' F2
D F' L' D R2 B' L'
D F' L' D B' L' R2
D F' L' D B' R2 L'
D F' L' B' L' D R2
D F' L' B' D L' R2
D F' L' B' D R2 L'
U2 F' R D L2 B R2
U2 F' R D B L2 R2
U2 F' R D B R2 L2
F' D B L' R2 B' L'
F' D B L' B' L' R2
F' D B L' B' R2 L'
F' D B R2 L' B' L'
U2 F' R' D L2 R2 B
U2 F' R' D R2 L2 B
U2 F' R' D R2 B L2
F' D B' L' R2 B' L'
F' D B' L' B' L' R2
F' D B' L' B' R2 L'
F' D B' R2 L' B' L'
U' F' U F2 R B2 U'
U' F' U F2 B2 R U'
U' F' U B2 F2 R U'
F' D B2 L' R2 B' L'
F' D B2 L' B' L' R2
F' D B2 L' B' R2 L'
F' D B2 R2 L' B' L'
L' F' U B2 U' B R'
U2 F' D L2 R B R
U2 F' D R L2 B R
U2 F' D R B L2 R
U2 F' D R B R L2
L' F' B' U B' U' R'
B2 D' F L' U' F2 B'
B2 D' F L' U' B' F2
F' D2 L D' L2 R2 B'
F' D2 L D' L2 B' R2
F' D2 L D' R2 L2 B'
F' D2 L' D' R2 B' L2
F' D2 L' D' B' L2 R2
F' D2 L' D' B' R2 L2
L' F2 B2 U' F B R
L' F2 B2 U' B F R
B2 D2 F L' U' F2 B'
B2 D2 F L' U' B' F2
B2 F L U F U2 F
B2 F L D' L2 U' B'
B2 F L' R U' F2 B'
B2 F L' R U' B' F2
R2 B U' F B R U'
B2 F L' R' U' F2 B'
B2 F L' R' U' B' F2
B2 F L' R2 U' F2 B'
B2 F L' R2 U' B' F2
R2 B U' B F R U'
B2 F L' U' F2 D B'
B2 F L' U' F2 D' B'
B2 F L' U' F2 D2 B'
B2 F L' U' F2 B' D
B2 F L' U' F2 B' D'
B2 F L' U' F2 B' D2
B2 F L' U' B' F2 D
B2 F L' U' B' F2 D'
B2 F L' U' B' F2 D2
F' B L' B' D L2 R2
F' B L' B' D R2 L2
B F L' B U' F2 B2
B F L' B U' B2 F2
B2 F R L' U' F2 B'
B2 F R L' U' B' F2
F B L' B U' F2 B2
F B L' B U' B2 F2
B2 F R' L' U' F2 B'
B2 F R' L' U' B' F2
B2 F R2 L' U' F2 B'
B2 F R2 L' U' B' F2
B2 F U2 R U F2 B
B2 F U2 R U B F2
L' B' U B' U' F' R'
B2 F' L' F2 U' F2 B'
B2 F' L' F2 U' B' F2
B F' L' B' D L2 R2
B F' L' B' D R2 L2
B' F' U F2 B' R' U'
B' F' U B' R' F2 U'
B' F' U B' F2 R' U'
U' B' F R B' U' F2
F' B' U F2 B' R' U'
F' B' U B' R' F2 U'
F' B' U B' F2 R' U'
L' B' F' U B' U' R'
U B' F R' B' U' F2
L' B2 L F U' F2 B
L' B2 L F U' B F2
U' B2 R' F R U' F'
F' B2 L' F2 U' F2 B'
F' B2 L' F2 U' B' F2
F B2 L U F U2 F
F B2 L D' L2 U' B'
F B2 L' R U' F2 B'
F B2 L' R U' B' F2
F B2 L' R' U' F2 B'
F B2 L' R' U' B' F2
F B2 L' R2 U' F2 B'
F B2 L' R2 U' B' F2
F B2 L' U' F2 D B'
F B2 L' U' F2 D' B'
F B2 L' U' F2 D2 B'
F B2 L' U' F2 B' D
F B2 L' U' F2 B' D'
F B2 L' U' F2 B' D2
F B2 L' U' B' F2 D
F B2 L' U' B' F2 D'
F B2 L' U' B' F2 D2
F B2 R L' U' F2 B'
F B2 R L' U' B' F2
L' B2 U' F B R F2
L' B2 U' B F R F2
F B2 R' L' U' F2 B'
F B2 R' L' U' B' F2
U' B2 D F R U' F2
F B2 R2 L' U' F2 B'
F B2 R2 L' U' B' F2
U' B2 D' F R U' F2
R' B2 D' F L' U' B'
U' B2 D2 F R U' F2
U' B2 F L R U' F2
U' B2 F L' R U' F2
U' B2 F L2 R U' F2
U' B2 F R L U' F2
U' B2 F R L' U' F2
U' B2 F R L2 U' F2
U' B2 F R U' F2 D
U' B2 F R U' F2 D'
U' B2 F R U' F2 D2
U' B2 F R D' L2 U'
U' B2 F D' L2 R U'
U' B2 F D' R L2 U'
F B2 U2 R U F2 B
F B2 U2 R U B F2
U2 B2 F R U' F2 B
U2 B2 F R U' B F2
L' B2 F2 U' F B R
L' B2 F2 U' B F R
