L' R U2 F' B U
L' R U2 B F' U
R L' U2 F' B U
F2 L' R F' B U
R L' U2 B F' U
F2 L' R B F' U
L' R' F' B R2 U'
R' L' F' B R2 U'
L' R' B F' R2 U'
R' L' B F' R2 U'
F2 R L' F' B U
F2 R L' B F' U
F2 R B L' F' U
R' B L' F' R2 U'
L R' B F' L2 R2 U'
L R' B F' R2 L2 U'
R' L' B' F' R2 B2 U'
L' R' B' F' R2 B2 U'
R L' B' U2 F' B2 U
R L' B' U2 B2 F' U
R' L' B2 F' R2 B' U'
L' R' B2 F' R2 B' U'
R L' B2 U2 F' B' U
R L' B2 U2 B' F' U
F2 L' B R F' B U
F2 L' B R B F' U
F2 L' B' R F' B U
F2 L' B' R B F' U
F2 L' B2 R F' B U
F2 L' B2 R B F' U
F2 L2 R F' L B U
R' L2 F' L B R2 U'
R' U L' F' B R2 U'
R' U L' B F' R2 U'
F2 R L F' L2 B U
F2 R L F' B L2 U
F2 R L B L2 F' U
F2 R L B F' L2 U
D2 R L' U2 F B U
D2 R L' U2 B F U
B' R L' U2 F' B U
B' R L' U2 B F' U
B2 R L' U2 F' B U
B2 R L' U2 B F' U
U2 R L' U2 F' B' U
U2 R L' U2 B' F' U
F2 R L' D F' B U
F2 R L' D B F' U
F2 R L' D' F' B U
F2 R L' D' B F' U
F2 R L' D2 F' B U
B R L' U2 F' B U
F2 R L' D2 B F' U
B R L' U2 B F' U
F2 R L' F' D B U
F2 R L' F' D' B U
F2 R L' F' D2 B U
F2 R L' F' B U D
F2 R L' F' B U D'
F2 R L' F' B U D2
F2 R L' F' B D U
F2 R L' F' B D' U
F2 R L' F' B D2 U
F2 R L' B D F' U
F2 R L' B D' F' U
F2 R L' B D2 F' U
F2 R L' B F' U D
F2 R L' B F' U D'
F2 R L' B F' U D2
F2 R L' B F' D U
F2 R L' B F' D' U
F2 R L' B F' D2 U
F2 R L2 F' L B U
R' U B L' F' R2 U'
F2 R D L' F' B U
F2 R D L' B F' U
F2 R D B L' F' U
F2 R D' L' F' B U
F2 R D' L' B F' U
F2 R D' B L' F' U
F2 R D2 L' F' B U
F2 R D2 L' B F' U
F2 R D2 B L' F' U
R' U' L' F' B R2 U'
R' U' L' B F' R2 U'
F' R F' L' B R U
F' R F' B L' R U
F' R F' B R L' U
F2 R B L F' L2 U
F2 R B L' D F' U
F2 R B L' D' F' U
F2 R B L' D2 F' U
F2 R B L' F' U D
F2 R B L' F' U D'
F2 R B L' F' U D2
F2 R B L' F' D U
F2 R B L' F' D' U
F2 R B L' F' D2 U
F2 R B L2 F' L U
F2 R B D L' F' U
F' R B F' L' R U
F' R B F' R L' U
F2 R B D' L' F' U
F2 R B D2 L' F' U
F2 R B' L' F' B2 U
F2 R B' L' B2 F' U
B' R' L' F' B R2 U'
B' R' L' B F' R2 U'
B2 R' L' F' B R2 U'
B2 R' L' B F' R2 U'
B R' L' F' B R2 U'
B R' L' B F' R2 U'
R' U' B L' F' R2 U'
R' U2 L' F' B R2 U'
R' U2 L' B F' R2 U'
F R' F' L' B R U'
F R' F' B L' R U'
F R' F' B R L' U'
B' R' B L' F' R2 U'
B2 R' B L' F' R2 U'
B R' B L' F' R2 U'
F R' B F' L' R U'
F R' B F' R L' U'
R' U2 B L' F' R2 U'
R U2 F' D2 B R' U
R U2 F2 B R F U
R U2 B F2 R F U
R' D L' F' B U' B
R' D L' B F' U' B
R D L' U2 F' B U
R D L' U2 B F' U
R' D B L' F' U' B
R D' L' U2 F' B U
R D' L' U2 B F' U
R D2 L' U2 F' B U
R D2 L' U2 B F' U
F2 U2 L' R F' B' U
F2 U2 L' R B' F' U
F2 U2 L' B' R F' U
F2 U2 R L' F' B' U
F2 U2 R L' B' F' U
L' F R' F' B R U'
L' F R' B F' R U'
R' F' R2 U2 F' R U
D2 F2 L' R F B U
D2 F2 L' R B F U
U2 F2 L' R F' B' U
U2 F2 L' R B' F' U
U2 F2 L' B' R F' U
U F2 L' R F' U R
D2 F2 R L' F B U
D2 F2 R L' B F U
D2 F2 R B L' F U
U2 F2 R L' F' B' U
U2 F2 R L' B' F' U
U F2 R L' F' U R
F2 D2 L' R F B U
F2 D2 L' R B F U
F2 D2 R L' F B U
F2 D2 R L' B F U
R F2 U2 B R F U
F2 D2 R B L' F U
R' B L F' L2 R2 U'
R' B L F' R2 L2 U'
R' B L' R2 U2 B U
R' B L' D F' U' B2
R' B L' F R2 F2 U'
R' B L' F' R2 U' D
R' B L' F' R2 U' D'
R' B L' F' R2 U' D2
R' B L' F' R2 D U'
R' B L' F' R2 D' U'
R' B L' F' R2 D2 U'
R' B L' F' U' D B2
R' B L' F' D U' B2
R' B L' F2 R2 F U'
R' B L2 F' L R2 U'
R' B L2 F' R2 L U'
L' B R U2 F' B U
L' B R U2 B F' U
L' B R' F' B R2 U'
R' B R2 L' U2 B U
L' B R' B F' R2 U'
R' B D L' F' U' B2
F2 B L' R F' B U
F2 B L' R B F' U
F2 B R L' F' B U
F2 B R L' B F' U
F2 B R B L' F' U
R' B' L' F' R2 B2 U'
R' B' L' F' B2 R2 U'
R' B' L' B2 F' R2 U'
L' B' R U2 F' B U
L' B' R U2 B F' U
R B' L' U2 F' B2 U
R B' L' U2 B2 F' U
L' B' R' F' B R2 U'
L' B' R' B F' R2 U'
F2 B' L' R F' B U
F2 B' L' R B F' U
F2 B' R L' F' B U
F2 B' R L' B F' U
F2 B' R B L' F' U
B' F2 L' R F' B U
B' F2 L' R B F' U
L' B2 R U2 F' B U
L' B2 R U2 B F' U
B2 F2 L' R F' B U
B2 F2 L' R B F' U
F2 B2 L' R F' B U
F2 B2 L' R B F' U
L' B2 R' F' B R2 U'
L' B2 R' B F' R2 U'
B F2 L' R F' B U
B F2 L' R B F' U
B' F2 R L' F' B U
B' F2 R L' B F' U
B' F2 R B L' F' U
B2 F2 R L' F' B U
B2 F2 R L' B F' U
F2 B2 R L' F' B U
F2 B2 R L' B F' U
B2 F2 R B L' F' U
F2 B2 R B L' F' U
B F2 R L' F' B U
B F2 R L' B F' U
B F2 R B L' F' U
