D' U' F2 R B
U' D' F2 R B
U L' U R2 U B'
U L' U2 D' F2 B'
U L' U2 D' B' F2
U L' U2 B' D' F2
U L' D B2 U2 B
U L' D' U2 F2 B'
U L' D' U2 B' F2
D2 L2 U L F U2
D' R U' F2 R B
D' R' U' F2 R B
U2 R2 U' L' U2 B'
D' R2 U' F2 R B
D' U L' U2 F2 B'
D' U L' U2 B' F2
U D L' B2 U2 B
D U L' B2 U2 B
D U B2 L' U2 B'
U D B2 L' U2 B'
U D' L' U2 F2 B'
U D' L' U2 B' F2
U' D' R F2 B R
U' D' R B F2 R
D' U' R F2 B R
D' U' R B F2 R
U' D' F2 R D B
U' D' F2 R D' B
U' D' F2 R D2 B
U' D' F2 R B D
U' D' F2 R B D'
U' D' F2 R B D2
D' U' F2 R D B
D' U' F2 R D' B
D' U' F2 R D2 B
U' D' F2 D R B
D' U' F2 R B D
D' U' F2 R B D'
D' U' F2 R B D2
U' D' F2 D' R B
U' D' F2 D2 R B
U' D' F2 B R B
U' D' F2 B' R B
U' D' F2 B2 R B
D' U' F2 D R B
D' U' F2 D' R B
D' U' F2 D2 R B
D' U' F2 B R B
D' U' F2 B' R B
D' U' F2 B2 R B
U' D' B F2 R B
D' U' B F2 R B
U' D' B' F2 R B
D' U' B' F2 R B
U' D' B2 F2 R B
D' U' B2 F2 R B
U' F2 D' R F2 B
U' F2 D' R B F2
U' B D' F2 R B
U' B' D' F2 R B
U' B2 D' F2 R B
U' D' F D' F R B
D' U' F D2 F R B
U' D' F D2 F R B
U' D' F2 L R B L'
D' U' F2 L R B L'
U' D' F2 L2 R B L2
D' U' F2 L2 R B L2
D' U' F2 R L B L'
U' D' F2 R L B L'
D' U' F2 R L2 B L2
U' D' F2 R L2 B L2
D' U' F2 R D B D
D' U' F2 R D B D'
D' U' F2 R D B D2
U' D' F2 R D B D
U' D' F2 R D B D'
U' D' F2 R D B D2
D' U' F2 R D' B D
D' U' F2 R D' B D'
D' U' F2 R D' B D2
U' D' F2 R D' B D
U' D' F2 R D' B D'
U' D' F2 R D' B D2
D' U' F2 R D2 B D
D' U' F2 R D2 B D'
D' U' F2 R D2 B D2
U' D' F2 R D2 B D
U' D' F2 R D2 B D'
U' D' F2 R D2 B D2
D' U' F2 R B2 D B'
U' D' F2 R B2 D B'
D' U' F2 R B2 D' B'
U' D' F2 R B2 D' B'
D' U' F2 R B2 D2 B'
U' D' F2 R B2 D2 B'
D' U' F2 R' B R2 B
U' D' F2 R' B R2 B
D' U' F2 R' B' R2 B
U' D' F2 R' B' R2 B
D' U' F2 R' B2 R2 B
U' D' F2 R' B2 R2 B
D2 U' F2 R D F2 B
D2 U' F2 R D B F2
D2 U' F2 R B D F2
D' U' F2 D R D B
D' U' F2 D R D' B
D' U' F2 D R D2 B
D' U' F2 D R B D
D' U' F2 D R B D'
D' U' F2 D R B D2
U' D' F2 D R D B
U' D' F2 D R D' B
U' D' F2 D R D2 B
U' D' F2 D R B D
U' D' F2 D R B D'
U' D' F2 D R B D2
D' U' F2 D B R B
U' D' F2 D B R B
D' U' F2 D B' R B
U' D' F2 D B' R B
D' U' F2 D B2 R B
U' D' F2 D B2 R B
D' U' F2 D' R D B
D' U' F2 D' R D' B
D' U' F2 D' R D2 B
D' U' F2 D' R B D
D' U' F2 D' R B D'
D' U' F2 D' R B D2
U' D' F2 D' R D B
U' D' F2 D' R D' B
U' D' F2 D' R D2 B
U' D' F2 D' R B D
U' D' F2 D' R B D'
U' D' F2 D' R B D2
D' U' F2 D' B R B
D' U' F2 D' B' R B
U' D' F2 D' B R B
D' U' F2 D' B2 R B
U' D' F2 D' B' R B
U' D' F2 D' B2 R B
D' U' F2 D2 R D B
D' U' F2 D2 R D' B
D' U' F2 D2 R D2 B
D' U' F2 D2 R B D
D' U' F2 D2 R B D'
D' U' F2 D2 R B D2
U' D' F2 D2 R D B
U' D' F2 D2 R D' B
U' D' F2 D2 R D2 B
U' D' F2 D2 R B D
U' D' F2 D2 R B D'
U' D' F2 D2 R B D2
D' U' F2 D2 B R B
D2 U' F2 D R F2 B
D' U' F2 D2 B' R B
D2 U' F2 D R B F2
U' D' F2 D2 B R B
D' U' F2 D2 B2 R B
U' D' F2 D2 B' R B
U' D' F2 D2 B2 R B
D' U' F2 B R D B
D' U' F2 B R D' B
D' U' F2 B R D2 B
D' U' F2 B R B D
D' U' F2 B R B D'
D' U' F2 B R B D2
U' D' F2 B R D B
U' D' F2 B R D' B
U' D' F2 B R D2 B
U' D' F2 B R B D
U' D' F2 B R B D'
U' D' F2 B R B D2
D' U' F2 B D R B
U' D' F2 B D R B
D' U' F2 B D' R B
U' D' F2 B D' R B
D' U' F2 B D2 R B
U' D' F2 B D2 R B
D' U' F2 B' R D B
D' U' F2 B' R D' B
D' U' F2 B' R D2 B
D' U' F2 B' R B D
D' U' F2 B' R B D'
D' U' F2 B' R B D2
U' D' F2 B' R D B
U' D' F2 B' R D' B
U' D' F2 B' R D2 B
U' D' F2 B' R B D
U' D' F2 B' R B D'
U' D' F2 B' R B D2
D' U' F2 B' D R B
U' D' F2 B' D R B
D' U' F2 B' D' R B
U' D' F2 B' D' R B
D' U' F2 B' D2 R B
U' D' F2 B' D2 R B
D' U' F2 B2 R D B
D' U' F2 B2 R D' B
D' U' F2 B2 R D2 B
D' U' F2 B2 R B D
D' U' F2 B2 R B D'
D' U' F2 B2 R B D2
U' D' F2 B2 R D B
U' D' F2 B2 R D' B
U' D' F2 B2 R D2 B
U' D' F2 B2 R B D
U' D' F2 B2 R B D'
U' D' F2 B2 R B D2
D' U' F2 B2 D R B
U' D' F2 B2 D R B
D' U' F2 B2 D' R B
D' U' F2 B2 D2 R B
U' D' F2 B2 D' R B
U' D' F2 B2 D2 R B
D' U' B R F2 B R
U' D' B R F2 B R
D' U' B R B F2 R
U' D' B R B F2 R
U D' F' U2 F' R B
F2 U' D R' B R2 F'
D U' F2 R D2 F2 B
D U' F2 R D2 B F2
D2 U' B D F2 R B
U' D' B F2 R D B
U' D' B F2 R D' B
U' D' B F2 R D2 B
U' D' B F2 R B D
U' D' B F2 R B D'
U' D' B F2 R B D2
D' U' B F2 R D B
D' U' B F2 R D' B
D' U' B F2 R D2 B
D' U' B F2 R B D
D' U' B F2 R B D'
D' U' B F2 R B D2
U' D' B F2 D R B
U' D' B F2 D' R B
U' D' B F2 D2 R B
D' U' B F2 D R B
D' U' B F2 D' R B
D' U' B F2 D2 R B
D U' F2 D2 R F2 B
D U' F2 D2 R B F2
U' D' B' R F2 B R
U' D' B' R B F2 R
D' U' B' R F2 B R
D' U' B' R B F2 R
U D' B L' U2 F2 B'
U D' B L' U2 B' F2
D2 U' B' D F2 R B
U' D' B' F2 R D B
U' D' B' F2 R D' B
U' D' B' F2 R D2 B
D' U' B' F2 R D B
D' U' B' F2 R D' B
D' U' B' F2 R D2 B
U' D' B' F2 R B D
U' D' B' F2 R B D'
U' D' B' F2 R B D2
D' U' B' F2 R B D
D' U' B' F2 R B D'
D' U' B' F2 R B D2
U' D' B' F2 D R B
D' U' B' F2 D R B
U' D' B' F2 D' R B
D' U' B' F2 D' R B
U' D' B' F2 D2 R B
D' U' B' F2 D2 R B
D' U' B2 R F2 B R
U' D' B2 R F2 B R
D' U' B2 R B F2 R
U' D' B2 R B F2 R
U D' B U2 F2 R B
U D' B' L' U2 F2 B'
U D' B' L' U2 B' F2
D2 U' B2 D F2 R B
D' U' B2 F2 R D B
D' U' B2 F2 R D' B
D' U' B2 F2 R D2 B
D' U' B2 F2 R B D
D' U' B2 F2 R B D'
D' U' B2 F2 R B D2
U' D' B2 F2 R D B
U' D' B2 F2 R D' B
U' D' B2 F2 R D2 B
U' D' B2 F2 R B D
U' D' B2 F2 R B D'
U' D' B2 F2 R B D2
D' U' B2 F2 D R B
U' D' B2 F2 D R B
D' U' B2 F2 D' R B
U' D' B2 F2 D' R B
D' U' B2 F2 D2 R B
U' D' B2 F2 D2 R B
U D' B' U2 F2 R B
L2 D2 L2 U L' U2 B'
U D' B2 L' U2 F2 B'
U D' B2 L' U2 B' F2
U D' B2 U2 F2 R B
L D2 L2 R U' R B
L D2 L2 U' R B R
L D2 L2 F R U' R
L D2 R L2 U' R B
D' U2 R U F2 R B
U' D2 R D F2 B R
U' D2 R D B F2 R
U' D2 R B D F2 R
D' U2 R' U F2 R B
D' U2 R2 U F2 R B
L D2 F L2 R U' R
L D2 F R L2 U' R
U' D2 F2 R D F2 B
U' D2 F2 R D B F2
U' D2 F2 R B D F2
U' D2 F2 D R F2 B
U' D2 F2 D R B F2
U' D2 B D F2 R B
U' D2 B' D F2 R B
F2 U2 R2 U D R' B
F2 U2 R2 D U R' B
U' D2 B2 D F2 R B
D2 F L2 R F U' R
D2 F R L2 F U' R
L' F R U2 R U R'
D2 F R F L2 U' R
D' F R F' U' F2 R
D' F R F2 U' F' R
L F R D F2 L' U'
R F R F L' U' R
U' F D' F R F B
U' F D' F R B F
F2 D R' U' B R2 F'
L F D2 L2 R U' R
L F D2 R L2 U' R
F2 D U' R' B R2 F'
D' F' U2 L' U F' R
L' F' U2 L' R2 U R2
F2 D' L U' R F2 B'
F2 D' L U' R B' F2
F2 D' L U' B' R F2
L' F' U2 R2 L' U R2
F D' R F U' R F
U' F2 R B U' R U
B' D' B U' F2 R B
B D' B' U' F2 R B
U' F2 D R D2 F2 B
U' F2 D R D2 B F2
U' F2 D' R F2 D B
U' F2 D' R F2 D' B
U' F2 D' R F2 D2 B
U' F2 D' R F2 B D
U' F2 D' R F2 B D'
U' F2 D' R F2 B D2
U' F2 D' R B F2 D
U' F2 D' R B F2 D'
U' F2 D' R B F2 D2
U' F2 D' R2 F2 R' B
U F2 U2 D' R F2 B
U F2 U2 D' R B F2
U' F2 D' B R F2 B
U' F2 D' B R B F2
U' F2 D' B' R F2 B
U' F2 D' B' R B F2
U' F2 D' B2 R F2 B
U' F2 D' B2 R B F2
U' F2 D2 R D F2 B
U' F2 D2 R D B F2
U' F2 D2 R B D F2
F D2 L2 R F U' R
U F2 D B2 U2 R B
U' F2 B D' R F2 B
U' F2 B D' R B F2
F D2 R L2 F U' R
U F2 D' U2 R F2 B
U F2 D' U2 R B F2
F D2 R F L2 U' R
U' F2 B' D' R F2 B
U' F2 B' D' R B F2
U' F2 B2 D' R F2 B
U' F2 B2 D' R B F2
U2 B L R2 U D2 R2
U2 B L R2 U' L2 U2
U2 B L R2 D' B2 U
U2 B L R2 D2 U R2
U2 B L D' B2 U F2
U B L' U R2 U B'
U B L' U2 D' F2 B'
U B L' U2 D' B' F2
U B L' U2 B' D' F2
U B L' D B2 U2 B
U B L' D' U2 F2 B'
U B L' D' U2 B' F2
U2 B R2 L U D2 R2
U2 B R2 L U' L2 U2
U2 B R2 L D' B2 U
U2 B R2 L D2 U R2
U' B D' R F2 B R
U' B D' R B F2 R
U' B D' F2 R D B
U' B D' F2 R D' B
U' B D' F2 R D2 B
U' B D' F2 R B D
U' B D' F2 R B D'
U' B D' F2 R B D2
U' B D' F2 D R B
U' B D' F2 D' R B
U' B D' F2 D2 R B
U' B D' F2 B R B
U' B D' F2 B' R B
U' B D' F2 B2 R B
U' B D' B F2 R B
U' B D' B' F2 R B
U B U2 D' F2 R B
U' B D' B2 F2 R B
U B D L' B2 U2 B
U B D B2 L' U2 B'
U B D' L' U2 F2 B'
U B D' L' U2 B' F2
U B D' U2 F2 R B
U' B F2 D' R F2 B
U' B F2 D' R B F2
U B' L' U R2 U B'
U B' L' U2 D' F2 B'
U B' L' U2 D' B' F2
U B' L' U2 B' D' F2
U B' L' D B2 U2 B
U B' L' D' U2 F2 B'
U B' L' D' U2 B' F2
B' F' L' R2 F' U R
F' B' L' R2 F' U R
U' B' D' R F2 B R
U' B' D' R B F2 R
B' F' R2 L' F' U R
