U2 R B L U
F L R F L' U'
U2 L R B L U
U2 L' R B L U
U2 L2 R B L U
U2 R L B L U
F R L F L' U'
U2 R L' B L U
U2 R L2 B L U
U2 R D B L U
U2 R D' B L U
U2 R D2 B L U
U2 R B L U D
U2 R B L U D'
U2 R B L U D2
U2 R B L D U
U2 R B L D' U
U2 R B L D2 U
U2 R B D L U
U2 R B D' L U
U2 R B D2 L U
U2 D R B L U
U2 D' R B L U
D2 U2 R B L U
U2 D2 R B L U
D' U2 R B L U
D U2 R B L U
U' F D R F' B
U' F D R B F'
L F D R U' F'
L F2 L' F' R U'
U2 B L R B U
U2 B R L B U
F R L F L' D' U'
F R L F L' D2 U'
F R L F D L' U'
F R L F D' L' U'
F R L F D2 L' U'
U2 R L' D B L U
U2 R L' D' B L U
U2 R L' D2 B L U
U2 R L' B L U D
U2 R L' B L U D'
U2 R L' B L U D2
U2 R L' B L D U
U2 R L' B L D' U
U2 R L' B L D2 U
U2 R L' B D L U
U2 R L' B D' L U
U2 R L' B D2 L U
U2 R L2 D B L U
U2 R L2 D' B L U
U2 R L2 D2 B L U
U2 R L2 B L U D
U2 R L2 B L U D'
U2 R L2 B L U D2
U2 R L2 B L D U
U2 R L2 B L D' U
U2 R L2 B L D2 U
U2 R L2 B D L U
U2 R L2 B D' L U
U2 R L2 B D2 L U
F R L2 F L' F U'
U2 R U R D B R'
R U F' U2 F R B
F R U' D F R F'
R U B L F U2 F'
U2 R D L B L U
B R U2 B' R' F' U'
U2 R D L' B L U
U2 R D L2 B L U
U2 R D B L U D
U2 R D B L U D'
U2 R D B L U D2
U2 R D B L D U
U2 R D B L D' U
U2 R D B L D2 U
U2 R D B D L U
U2 R D B D' L U
U2 R D B D2 L U
F R D U' F R F'
U2 R D' L B L U
U2 R D' L' B L U
U2 R D' L2 B L U
U2 R D' B L U D
U2 R D' B L U D'
U2 R D' B L U D2
U2 R D' B L D U
U2 R D' B L D' U
U2 R D' B L D2 U
U2 R D' B D L U
U2 R D' B D' L U
U2 R D' B D2 L U
U2 R D2 L B L U
U2 R D2 L' B L U
U2 R D2 L2 B L U
R U' L U2 L' B' R'
U2 R D2 B L U D
U2 R D2 B L U D'
U2 R D2 B L U D2
U2 R D2 B L D U
U2 R D2 B L D' U
U2 R D2 B L D2 U
U2 R D2 B D L U
U2 R D2 B D' L U
U2 R D2 B D2 L U
F R F L F L2 U'
F R F L' U2 B' U
U2 R F B L F' U
F R F' U2 R B U
U2 R F2 B L F2 U
U2 R B L' U D' B2
U2 R B L' D' U B2
U2 R B L2 D L' U
U2 R B L2 D' L' U
U2 R B L2 D2 L' U
U2 R B D L U D
U2 R B D L U D'
U2 R B D L U D2
U2 R B D L D U
U2 R B D L D' U
U2 R B D L D2 U
R U' R' F' L' U2 L
U2 R B D' L U D
U2 R B D' L U D'
U2 R B D' L U D2
U2 R B D' L D U
U2 R B D' L D' U
U2 R B D' L D2 U
U2 R B D2 L U D
U2 R B D2 L U D'
U2 R B D2 L U D2
U2 R B D2 L D U
U2 R B D2 L D' U
U2 R B D2 L D2 U
U2 R B F L F' U
U2 R B F2 L F2 U
U2 R B' L B2 L U
U2 R B' L' B2 L U
U2 R B' L2 B2 L U
R' U' D' F R F B
R' U' D' F R B F
F R' L F L' R2 U'
F R' L F R2 L' U'
R' U' F D' R F2 B
R' U' F D' R B F2
R2 U' F R D' F2 B
R2 U' F R D' B F2
R2 U' F R B D' F2
R' U' F' D' F2 R B
U R' D' F2 L' B' R'
R' U2 R B L R U
R' U2 R B R L U
L' U2 R B L B2 U
L' U2 R B' U2 R' U'
L2 U2 R B L B' U
L U2 R U2 F R U'
R2 U2 R B L R2 U
R2 U2 R B R2 L U
U2 R' B L R2 B U
U2 R' B R2 L B U
F R2 L F L' R' U'
F R2 L F R' L' U'
L' U2 B L R B2 U
L' U2 B L B2 R U
L' U2 B R L B2 U
L2 U2 B L R B' U
L2 U2 B L B' R U
L2 U2 B R L B' U
L' U2 B' R U D B2
L' U2 B' R U2 R2 U'
L' U2 B' R D U B2
L' U2 B' R D2 L2 U
B' R2 F' L' R' B' U
B' R2 F' R' L' B' U
B2 R2 B2 L F R U'
U2 D L R B L U
U2 D L' R B L U
U2 D L2 R B L U
L D F D R U' F'
U2 D R L B L U
U2 D R L' B L U
U2 D R L2 B L U
U2 D R D B L U
U2 D R D' B L U
U2 D R D2 B L U
U2 D R B L U D
U2 D R B L U D'
U2 D R B L U D2
U2 D R B L D U
U2 D R B L D' U
U2 D R B L D2 U
U2 D R B D L U
U2 D R B D' L U
U2 D R B D2 L U
L D F2 L' F' R U'
U' D F D R F' B
U' D F D R B F'
R' D' L F R U' F
U2 D B L R B U
U2 D B R L B U
U2 D' L R B L U
U2 D' L' R B L U
R' D' U' F R F B
R' D' U' F R B F
U2 D' L2 R B L U
R' D' F R U' F R
U2 D' R L B L U
U2 D' R L' B L U
U2 D' R L2 B L U
U2 D' R D B L U
U2 D' R D' B L U
U2 D' R D2 B L U
U2 D' R B L U D
U2 D' R B L U D'
U2 D' R B L U D2
U2 D' R B L D U
U2 D' R B L D' U
U2 D' R B L D2 U
U2 D' R B D L U
U2 D' R B D' L U
U2 D' R B D2 L U
L D' F D R U' F'
D' U' F D R F' B
D' U' F D R B F'
U' D' F D R F' B
U' D' F D R B F'
D2 U' F D R F' B
D2 U' F D R B F'
L D' F2 L' F' R U'
D U' F D R F' B
D U' F D R B F'
U2 D' B L R B U
U2 D' B R L B U
R' D2 L F L R U'
R' D2 L F R L U'
D' U2 L R B L U
D2 U2 L R B L U
U2 D2 L R B L U
D' U2 L' R B L U
D2 U2 L' R B L U
D U2 L R B L U
U2 D2 L' R B L U
D' U2 L2 R B L U
D2 U2 L2 R B L U
D U2 L' R B L U
U2 D2 L2 R B L U
D' U2 R L B L U
D' U2 R L' B L U
D' U2 R L2 B L U
D2 U2 R L B L U
D2 U2 R L' B L U
D2 U2 R L2 B L U
D U2 L2 R B L U
D' U2 R D B L U
D' U2 R D' B L U
D' U2 R D2 B L U
D2 U2 R D B L U
D2 U2 R D' B L U
D2 U2 R D2 B L U
D' U2 R B L U D
D' U2 R B L U D'
D' U2 R B L U D2
D' U2 R B L D U
D' U2 R B L D' U
D' U2 R B L D2 U
D' U2 R B D L U
D' U2 R B D' L U
D' U2 R B D2 L U
U2 D2 R L B L U
U2 D2 R L' B L U
U2 D2 R L2 B L U
D2 U2 R B L U D
D2 U2 R B L U D'
D2 U2 R B L U D2
D2 U2 R B L D U
D2 U2 R B L D' U
D2 U2 R B L D2 U
D2 U2 R B D L U
D2 U2 R B D' L U
D2 U2 R B D2 L U
U2 D2 R D B L U
U2 D2 R D' B L U
D U2 R L B L U
U2 D2 R D2 B L U
D U2 R L' B L U
D U2 R L2 B L U
U2 D2 R B L U D
U2 D2 R B L U D'
U2 D2 R B L U D2
U2 D2 R B L D U
U2 D2 R B L D' U
U2 D2 R B L D2 U
U2 D2 R B D L U
U2 D2 R B D' L U
U2 D2 R B D2 L U
D U2 R D B L U
D U2 R D' B L U
D U2 R D2 B L U
D U2 R B L U D
D U2 R B L U D'
D U2 R B L U D2
D U2 R B L D U
D U2 R B L D' U
D U2 R B L D2 U
D U2 R B D L U
D U2 R B D' L U
D U2 R B D2 L U
U' D2 F D R F' B
U' D2 F D R B F'
L D2 F D R U' F'
D' U2 B L R B U
D2 U2 B L R B U
D' U2 B R L B U
D2 U2 B R L B U
U2 D2 B L R B U
U2 D2 B R L B U
L D2 F2 L' F' R U'
D U2 B L R B U
D U2 B R L B U
D' F L R F L' U'
D2 F L R F L' U'
D F L R F L' U'
L2 F L' R F L' U'
L F L D R U' F'
L' F L2 R F L' U'
D' F R L F L' U'
D2 F R L F L' U'
L F L' D R U' F'
R' F R U2 R B U
L' F R L2 F L' U'
L2 F R L' F L' U'
L F L2 D R U' F'
D F R L F L' U'
L2 F R F L' F U'
L F R D' L' U' F
L F R F L' F' U'
U' F D R D F' B
U' F D R D B F'
U' F D R D' F' B
U' F D R D' B F'
U' F D R D2 F' B
U' F D R D2 B F'
U' F D R F' D B
U' F D R F' D' B
U' F D R F' D2 B
U' F D R F' B D
U' F D R F' B D'
U' F D R F' B D2
U' F D R B D F'
U' F D R B D' F'
U' F D R B D2 F'
U' F D R B F' D
U' F D R B F' D'
U' F D R B F' D2
F D L R F U' F2
U' F D B R F' B
U' F D B R B F'
U' F D B' R F' B
U' F D B' R B F'
U' F D B2 R F' B
U' F D B2 R B F'
L2 F D R U' F' R
L F D L R U' F'
L F D L' R U' F'
L F D L2 R U' F'
L F D R L U' F'
L F D R L' U' F'
L F D R L2 U' F'
L F D R U' D F'
L F D R U' D' F'
L F D R U' D2 F'
L F D R U' F' D
L F D R U' F' D'
L F D R U' F' D2
L F D R D U' F'
L F D R D' U' F'
L F D R D2 U' F'
L F D' L' R U' F
L F D' R L' U' F
F D R L F U' F2
U' F B D R F' B
U' F B D R B F'
F D R U' F R F2
F D R F2 U' F R
U' F B' D R F' B
U' F B' D R B F'
U' F B2 D R F' B
U' F B2 D R B F'
R' F' L' B' R2 F' U
R F' L' B' U2 B U'
L' F' U2 B' L' R' U
L' F' U2 B' R' L' U
L2 F2 L' F U2 L' U
L2 F2 L' F' R F2 U'
L F2 L F' L2 R U'
L F2 L F' R L2 U'
L F2 L' F' R U' D
L F2 L' F' R U' D'
L F2 L' F' R U' D2
L F2 L' F' R D U'
L F2 L' F' R D' U'
L F2 L' F' R D2 U'
L F2 L' F' D R U'
L F2 L' F' D' R U'
L F2 L' F' D2 R U'
L F2 L2 F' L R U'
L F2 L2 F' R L U'
F2 D2 L' U2 B' L U
U2 B L R D B U
U2 B L R D' B U
U2 B L R D2 B U
U2 B L R B U D
U2 B L R B U D'
U2 B L R B U D2
U2 B L R B D U
U2 B L R B D' U
U2 B L R B D2 U
U2 B L D R B U
U2 B L D' R B U
U2 B L D2 R B U
U2 B L B R B U
U2 B L B' R B U
U2 B L B2 R B U
U2 B L' R B L2 U
U2 B L2 R B L' U
U2 B R L D B U
U2 B R L D' B U
U2 B R L D2 B U
U2 B R L B U D
U2 B R L B U D'
U2 B R L B U D2
U2 B R L B D U
U2 B R L B D' U
U2 B R L B D2 U
U2 B R L' B L2 U
U2 B R L2 B L' U
U2 B R D L B U
U2 B R D' L B U
U2 B R D2 L B U
U' B U' R B L U
U2 B D L R B U
U2 B D R L B U
U2 B D' L R B U
U2 B D' R L B U
R B U2 B' R' F' U'
U2 B D2 L R B U
U2 B D2 R L B U
U' B F D R F' B
U' B F D R B F'
U2 B' R U2 R2 F' U'
U2 B' R D B U B
U2 B' R D2 L2 B U
U2 B' R D2 B L2 U
U2 B' R B U D B2
U2 B' R B U2 R2 U'
U2 B' R B D U B2
U2 B' R B D2 L2 U
R' B' R2 F' L' B' U
L' B' R2 F' L' R' U
L' B' R2 F' R' L' U
U B' R' D' F2 L' B'
U' B' U' R B L U
U' B' F D R F' B
U' B' F D R B F'
R2 B2 L F R B2 U'
R2 B2 L F B2 R U'
R2 B2 L B2 F R U'
U2 B2 R B U2 R' U'
U2 B2 R B' L B2 U
U' B2 U' R B L U
U' B2 F D R F' B
U' B2 F D R B F'
