D' B' L U2 L
B' L U F2 B' U
B' L U B' F2 U
D' L2 F R2 B R'
L U F2 B' R' U
L U B' R' F2 U
L U B' F2 R' U
D' R B' L U2 L
D' R' B' L U2 L
D R2 D2 B' L U2
D' R2 B' L U2 L
R' D' B' L U2 L
R2 D' B' L U2 L
R D' B' L U2 L
B2 D R2 U2 F' R
B2 D' B U2 L2 R'
B2 D' B U2 R' L2
D' B' L R U2 L
D' B' L R' U2 L
D' B' L R2 U2 L
D' B' L U2 L D
D' B' L U2 L D'
D' B' L U2 L D2
D' B' L U2 D L
D' B' L U2 D' L
D' B' L U2 D2 L
D' B' L D U2 L
D' B' L D' U2 L
D' B' L D2 U2 L
D' B' R L U2 L
D' B' R' L U2 L
D' B' R2 L U2 L
D' B' D2 L R2 U2
D' B' D2 R2 L U2
D B2 R2 U2 F' R
D' R2 B' L U2 L D'
D' R2 B' L U2 L D2
D' R2 B' L U2 D L
D' R2 B' L U2 D' L
D' R2 B' L U2 D2 L
D' R2 B' L D U2 L
D' R2 B' L D' U2 L
D' R2 B' L D2 U2 L
D' R2 B' R L U2 L
D' R2 B' R' L U2 L
D' R2 B' R2 L U2 L
D2 R2 B' U' B' U' R'
D' R2 B' D2 L R2 U2
D' R2 B' D2 R2 L U2
R2 D R2 D2 B' L U2
L D R2 U B' R' U
D R2 B' U' F' U' R
R D R2 D2 B' L U2
D R2 B' U2 F' R F
D R2 B' F L' F' U2
D R2 B2 U2 R2 F' R
D R2 B2 D2 B U2 R'
B' U L B' L' F2 U
U2 D L2 F' R F2 L'
R' D B2 R2 U2 F' R
R2 D B2 R2 U2 F' R
B' U D' B U L2 R'
B' U D' B U R' L2
R D B2 R2 U2 F' R
U2 D F' D2 L2 R F
U2 D F' D2 R L2 F
U2 D F2 D2 L2 F R
R' D' L2 F R2 B R'
B' U F' D F' U R
R2 D' L2 F R2 B R'
B' U F2 L B' L' U
R' D' R B' L U2 L
U2 D B' R2 F' U2 R
R D' L2 F R2 B R'
B' U F2 D' B U R'
R' D' R' B' L U2 L
R2 D' R B' L U2 L
R D' R B' L U2 L
R' D' R2 B' L U2 L
R2 D' R' B' L U2 L
R D' R' B' L U2 L
R2 D' R2 B' L U2 L
R D' R2 B' L U2 L
U2 D' L2 D2 F' R F2
L D' U B' R' U L2
U2 D' L2 F B R' B'
U2 D' L2 F2 D2 F' R
U2 D' L2 B R' F B'
U2 D' L2 B R' B' F
U2 D' L2 B F R' B'
R' D' B' L R U2 L
R' D' B' L R' U2 L
R' D' B' L R2 U2 L
R' D' B' L U2 L D
R' D' B' L U2 L D'
R' D' B' L U2 L D2
R' D' B' L U2 D L
R' D' B' L U2 D' L
R' D' B' L U2 D2 L
R' D' B' L D U2 L
R' D' B' L D' U2 L
R' D' B' L D2 U2 L
R' D' B' R L U2 L
R' D' B' R' L U2 L
R' D' B' R2 L U2 L
R' D' B' D2 L R2 U2
R' D' B' D2 R2 L U2
R2 D' B' L R U2 L
R2 D' B' L R' U2 L
R2 D' B' L R2 U2 L
R2 D' B' L U2 L D
R2 D' B' L U2 L D'
R2 D' B' L U2 L D2
R2 D' B' L U2 D L
R2 D' B' L U2 D' L
R2 D' B' L U2 D2 L
R2 D' B' L D U2 L
R2 D' B' L D' U2 L
R2 D' B' L D2 U2 L
R2 D' B' R L U2 L
R2 D' B' R' L U2 L
R2 D' B' R2 L U2 L
R2 D' B' D2 L R2 U2
R2 D' B' D2 R2 L U2
R D' B' L R U2 L
R D' B' L R' U2 L
R D' B' L R2 U2 L
R D' B' L U2 L D
R D' B' L U2 L D'
R D' B' L U2 L D2
R D' B' L U2 D L
R D' B' L U2 D' L
R D' B' L U2 D2 L
R D' B' L D U2 L
R D' B' L D' U2 L
R D' B' L D2 U2 L
R D' B' R L U2 L
R D' B' R' L U2 L
R D' B' R2 L U2 L
U2 D' B R' B' L2 F
R D' B' D2 L R2 U2
R D' B' D2 R2 L U2
B' U' D' B U' L2 R'
B' U' D' B U' R' L2
U2 D' B' L U2 L B
F2 U' F2 D' B' L U2
D' U2 L2 D2 F' R F2
D' U2 L2 F B R' B'
D' U2 L2 F2 D2 F' R
D' U2 L2 B R' F B'
D' U2 L2 B R' B' F
D' U2 L2 B F R' B'
D U2 L2 F' R F2 L'
B' U2 L U' F2 B' U
B' U2 L U' B' F2 U
D U2 F' D2 L2 R F
D U2 F' D2 R L2 F
D' U2 B R' B' L2 F
D' U2 B' L U2 L B
D U2 F2 D2 L2 F R
D U2 B' R2 F' U2 R
B' U2 D' L2 B R' B'
B' U2 D' B R' B' L2
D' F L2 R2 F B R'
D' F L2 R2 B R' F
D' F L2 R2 B F R'
U' F L2 B' U' F R
D' F R2 L2 F B R'
D' F R2 L2 B R' F
D' F R2 L2 B F R'
B' U2 B' D' L2 B R'
B' U2 B' D' B L2 R'
B' U2 B' D' B R' L2
D F R2 B' L' U2 B2
B2 D L R2 U2 F' R
B2 D L' R2 U2 F' R
B2 D L2 R2 U2 F' R
B' D R2 U' F' U' R
B' D R2 U2 F' R F
D' F B' L F' U2 L
B2 D R2 L U2 F' R
B2 D R2 L' U2 F' R
B2 D R2 L2 U2 F' R
B' D R2 F L' F' U2
B2 D R2 U2 F' R D
B2 D R2 U2 F' R D'
B2 D R2 U2 F' R D2
B2 D R2 U2 F' D R
B2 D R2 U2 F' D' R
B2 D R2 U2 F' D2 R
B2 D R2 B U2 F' R
B2 D R2 B' U2 F' R
B2 D R2 B2 U2 F' R
D F B' L' R2 U2 B
D F B' L' F' R2 U2
D F B' R2 L' U2 B
B' D F L' R2 U2 B
B' D F L' F' R2 U2
B' D F R2 L' U2 B
D' F' L2 F B R' B2
D' F' L2 B R' F B2
D' F' L2 B R' B2 F
B' D F' R2 F U2 R'
D' F' L2 B F R' B2
B' D B' R2 U2 F' R
B2 D' L' B U2 L' R'
B2 D' L' B U2 R' L'
F2 D' L2 B U R' F
F2 D' L2 B U F R'
D F' D2 L2 R F B'
D F' D2 L2 R B' F
D F' D2 L2 B' R F
D F' D2 R L2 F B'
D F' D2 R L2 B' F
D' F' B' L U2 L B'
B' D' U B U L2 R'
B' D' U B U R' L2
D F' B' R2 F U2 R'
B' D' U' B U' L2 R'
B' D' U' B U' R' L2
B' D' U2 L2 B R' B'
B' D' U2 B R' B' L2
B2 D' B L U2 L R'
B2 D' B L U2 R' L
B' D' B U2 L2 R' F
B' D' B U2 L2 F R'
B' D' B U2 R' L2 F
B2 D' B L' U2 L' R'
B2 D' B L' U2 R' L'
B2 D' B R U2 L2 R2
B2 D' B R U2 R2 L2
B2 D' B R2 U2 L2 R
B2 D' B R2 U2 R L2
B2 D' B U2 L2 R' D
B2 D' B U2 L2 R' D'
B2 D' B U2 L2 R' D2
B2 D' B U2 L2 D R'
B2 D' B U2 L2 D' R'
B2 D' B U2 L2 D2 R'
B2 D' B U2 R' L2 D
B2 D' B U2 R' L2 D'
B2 D' B U2 R' L2 D2
B2 D' B D2 R2 U2 R
B2 D' B' L B2 R' U2
B2 D' B2 U2 L2 F R
U F2 U' D' B' L U2
U F2 U2 L2 U' F R
B' D2 R U' F' B2 U'
B' D2 R U' B2 F' U'
U F2 D' U' B' L U2
D F2 D2 L2 F R B2
D F2 D2 L2 F B2 R
D F2 D2 L2 B2 F R
D' F2 B' L F2 U2 L
D' B L B2 L R' U2
D' B L B2 R' L U2
D' B L' B2 L U2 L2
D' B L2 B2 L U2 L'
D' B R B2 U2 L2 R2
D' B R B2 U2 R2 L2
D' B R2 B2 U2 L2 R
D' B R2 B2 U2 R L2
D' B U2 L2 R' D2 F2
D' B U2 L2 D2 R' F2
D' B U2 L2 D2 F2 R'
D' B U2 R' L2 D2 F2
D' B D2 R2 U2 R F2
D' B' L R U2 L D
D' B' L R U2 L D'
D' B' L R U2 L D2
D' B' L R U2 D L
D' B' L R U2 D' L
D' B' L R U2 D2 L
D' B' L R D U2 L
D' B' L R D' U2 L
D' B' L R D2 U2 L
D' B' L R' U2 L D
D' B' L R' U2 L D'
D' B' L R' U2 L D2
D' B' L R' U2 D L
D' B' L R' U2 D' L
D' B' L R' U2 D2 L
D' B' L R' D U2 L
D' B' L R' D' U2 L
D' B' L R' D2 U2 L
R' B' L U F2 B' U
D' B' L R2 U2 L D
D' B' L R2 U2 L D'
D' B' L R2 U2 L D2
D' B' L R2 U2 D L
D' B' L R2 U2 D' L
D' B' L R2 U2 D2 L
R' B' L U B' F2 U
D' B' L R2 D U2 L
D' B' L R2 D' U2 L
D' B' L R2 D2 U2 L
D' B' L U F U L
D' B' L U F' U L
D' B' L U F2 U L
D' B' L U2 L2 D L'
D' B' L U2 L2 D' L'
D' B' L U2 L2 D2 L'
D' B' L U2 D L D
D' B' L U2 D L D'
D' B' L U2 D L D2
D' B' L U2 D' L D
D' B' L U2 D' L D'
D' B' L U2 D' L D2
D' B' L U2 D2 L D
D' B' L U2 D2 L D'
D' B' L U2 D2 L D2
D' B' L U2 F L F'
D' B' L U2 F2 L F2
D' B' L D R U2 L
D' B' L D R' U2 L
D' B' L D R2 U2 L
D' B' L D U2 L D
D' B' L D U2 L D'
D' B' L D U2 L D2
D' B' L D' R U2 L
D' B' L D' R' U2 L
D' B' L D' R2 U2 L
D' B' L D' U2 L D
D' B' L D' U2 L D'
D' B' L D' U2 L D2
D' B' L D2 R U2 L
D' B' L D2 R' U2 L
D' B' L D2 R2 U2 L
D' B' L D2 U2 L D
D' B' L D2 U2 L D'
D' B' L D2 U2 L D2
D' B' L B2 R' B2 U2
D' B' L' U2 D2 L' R2
D' B' L' U2 D2 R2 L'
R2 B' L U F2 B' U
R2 B' L U B' F2 U
D' B' L' D2 U2 L' R2
D' B' L' D2 U2 R2 L'
D' B' L2 D L' U2 L
D' B' L2 D' L' U2 L
D' B' L2 D2 L' U2 L
R B' L U F2 B' U
R B' L U B' F2 U
D' B' R L U2 L D
D' B' R L U2 L D'
D' B' R L U2 L D2
D' B' R L U2 D L
D' B' R L U2 D' L
D' B' R L U2 D2 L
D' B' R L D U2 L
D' B' R L D' U2 L
D' B' R L D2 U2 L
D2 B' R U' F' B' U'
D2 B' R U' B' F' U'
D' B' R D2 L R2 U2
D' B' R D2 R2 L U2
D' B' R' L U2 L D
D' B' R' L U2 L D'
D' B' R' L U2 L D2
D' B' R' L U2 D L
D' B' R' L U2 D' L
D' B' R' L U2 D2 L
D' B' R' L D U2 L
D' B' R' L D' U2 L
D' B' R' L D2 U2 L
D' B' R' D2 L R2 U2
D' B' R' D2 R2 L U2
D' B' R2 L U2 L D
D' B' R2 L U2 L D'
D' B' R2 L U2 L D2
D' B' R2 L U2 D L
D' B' R2 L U2 D' L
D' B' R2 L U2 D2 L
D' B' R2 L D U2 L
D' B' R2 L D' U2 L
D' B' R2 L D2 U2 L
D2 B' R2 U' B' U' R'
D' B' R2 D2 L R2 U2
D' B' R2 D2 R2 L U2
D B' R2 U' F' U' R
D B' R2 U2 F' R F
D' B' U B2 U L2 R'
D' B' U B2 U R' L2
D B' R2 F L' F' U2
D' B' U' D' B2 U' R'
D' B' U' B2 U' L2 R'
D' B' U' B2 U' R' L2
D' B' U2 L' D2 L' R2
D' B' U2 L' D2 R2 L'
D' B' U2 L2 U2 L' U2
D' B' U2 L2 F2 R F2
D' B' U2 F2 L2 F2 R
D' B' U2 B2 L2 R' B2
D' B' U2 B2 R' L2 B2
D' B' U2 B2 R' B2 L2
D' B' D L U F2 U
D' B' D L U2 D' L2
D' B' D L D R2 U2
D' B' D L D' U2 L2
U2 B' U2 D' L2 B R'
U2 B' U2 D' B L2 R'
U2 B' U2 D' B R' L2
D' B' D' L U' B2 U'
D' B' D' L U2 D L2
D' B' D' L D U2 L2
D' B' D' L D' R2 U2
U2 B' D R2 F' U2 R
D' B' D' U' B2 U' R'
D' B' D2 L R2 U2 D
D' B' D2 L R2 U2 D'
D' B' D2 L R2 U2 D2
D' B' D2 L R2 D U2
D' B' D2 L R2 D' U2
D' B' D2 L R2 D2 U2
D' B' D2 L U2 D2 L2
D' B' D2 L D2 U2 L2
U2 B' D' U2 L2 B R'
D' B' D2 R2 L U2 D
D' B' D2 R2 L U2 D'
D' B' D2 R2 L U2 D2
D' B' D2 R2 L D U2
D' B' D2 R2 L D' U2
D' B' D2 R2 L D2 U2
U2 B' D' U2 B L2 R'
U2 B' D' U2 B R' L2
D' B' D2 R2 D L U2
D' B' D2 R2 D' L U2
D' B' D2 R2 D2 L U2
U2 B' D' B L2 R' F
U2 B' D' B L2 F R'
U2 B' D' B R' L2 F
D' B' F L F' U2 L
D' B' F' L U2 L B'
D B' F L' R2 U2 B
D B' F L' F' R2 U2
D' B' F2 L F2 U2 L
D B' F R2 L' U2 B
D B' F' R2 F U2 R'
D B2 L R2 U2 F' R
D' B2 L' B L U2 L2
D B2 L' R2 U2 F' R
D' B2 L2 B L U2 L'
D B2 L2 R2 U2 F' R
D' B2 R2 F' L2 B' R'
D B2 R2 L U2 F' R
D B2 R2 L' U2 F' R
D B2 R2 L2 U2 F' R
D B2 R2 U2 F' R D
D B2 R2 U2 F' R D'
D B2 R2 U2 F' R D2
D B2 R2 U2 F' D R
D B2 R2 U2 F' D' R
D B2 R2 U2 F' D2 R
D B2 R2 B U2 F' R
D B2 R2 B' U2 F' R
D B2 R2 B2 U2 F' R
R' B2 D R2 U2 F' R
R' B2 D' B U2 L2 R'
R' B2 D' B U2 R' L2
R2 B2 D R2 U2 F' R
D' B2 D2 B L R2 U2
D' B2 D2 B R2 L U2
R B2 D R2 U2 F' R
R2 B2 D' B U2 L2 R'
R2 B2 D' B U2 R' L2
D B2 D2 B U2 L2 R'
D B2 D2 B U2 R' L2
R B2 D' B U2 L2 R'
R B2 D' B U2 R' L2
