L2 R U2 B U' F'
L2 R' F' R2 U F'
L2 R' F' U' B U2
R L2 U2 B U' F'
R' L2 F' R2 U F'
R' L2 F' U' B U2
L2 U R F' L' R'
L2 U R F' R' L'
L2 U D2 F' L' F
L2 U F' D2 L' F
L2 U' R U2 F' L'
L2 U' R' B U2 L
L2 U' B' R' B U2
D' R' F' R U B2
L2 D' R' F' R U
L2 D2 U F' L' F
R' F' L2 R2 U F'
R' F' L2 U' B U2
R' F' R2 L2 U F'
R L2 U2 B D U' F'
R L2 U2 B D' U' F'
R L2 U2 B D2 U' F'
R' L2 D F' R2 U F'
R' L2 D F' U' B U2
R L2 D U2 B U' F'
R' L2 D' F' R2 U F'
R' L2 D' F' U' B U2
R L2 D' U2 B U' F'
F' L2 R U2 B U' F'
F2 L2 R U2 B U' F'
R' L2 D2 F' R2 U F'
R' L2 D2 F' U' B U2
F L2 R U2 B U' F'
R L2 D2 U2 B U' F'
R' L2 F R2 F2 U F
D' L2 R' F' R U B2
F' L2 R' F' R2 U F'
F' L2 R' F' U' B U2
F2 L2 R' F' R2 U F'
F2 L2 R' F' U' B U2
F L2 R' F' R2 U F'
F L2 R' F' U' B U2
R L2 F R2 F' U F'
R L2 F U2 B U' F2
R L2 F D R2 F' U
R' L2 F' R2 U D F'
R' L2 F' R2 U D' F'
R' L2 F' R2 U D2 F'
R' L2 F' R2 U F' D
R' L2 F' R2 U F' D'
R' L2 F' R2 U F' D2
R' L2 F' R2 D U F'
R' L2 F' R2 D' U F'
R' L2 F' R2 D2 U F'
R' L2 F' U R2 F' R2
R' L2 F' U' D B U2
R' L2 F' U' D' B U2
R' L2 F' U' D2 B U2
R' L2 F' U' B U2 D
R' L2 F' U' B U2 D'
R' L2 F' U' B U2 D2
R' L2 F' U' B D U2
R' L2 F' U' B D' U2
R' L2 F' U' B D2 U2
R' L2 F' D R2 U F'
R' L2 F' D U' B U2
R' L2 F' D' R2 U F'
R' L2 F' D' U' B U2
R' L2 F' D2 R2 U F'
R' L2 F' D2 U' B U2
F' L2 U R F' L' R'
F' L2 U R F' R' L'
F2 L2 U R F' L' R'
F2 L2 U R F' R' L'
R L2 F' R2 F' U F
F' L2 U D2 F' L' F
R' L2 F2 R2 F U F2
F2 L2 U D2 F' L' F
F' L2 U F' D2 L' F
F L2 U R F' L' R'
F L2 U R F' R' L'
F2 L2 U F' D2 L' F
F L2 U D2 F' L' F
F L2 U F' D2 L' F
F' L2 U' R U2 F' L'
F' L2 U' R' B U2 L
F2 L2 U' R U2 F' L'
R L2 F2 R2 F' U F2
F2 L2 U' R' B U2 L
R L2 F2 U2 B U' F
F L2 U' R U2 F' L'
F L2 U' R' B U2 L
F' L2 U' B' R' B U2
F2 L2 U' B' R' B U2
F L2 U' B' R' B U2
B' L2 D B R' F' U
F' L2 D' R' F' R U
F2 L2 D' R' F' R U
L2 U L R F' L' R'
L2 U L R F' R' L'
F L2 D' R' F' R U
L2 U L D2 F' L' F
L2 U L F' D2 L' F
F' L2 D2 U F' L' F
F2 L2 D2 U F' L' F
L2 U L' R F' L' R'
L2 U L' R F' R' L'
F L2 D2 U F' L' F
L2 U L' D2 F' L' F
L2 U L' F' D2 L' F
L2 U L2 R F' L' R'
L2 U L2 R F' R' L'
L2 U L2 D2 F' L' F
L2 U L2 F' D2 L' F
L2 U R L F' L' R'
L2 U R L F' R' L'
L2 U R L' F' L' R'
L2 U R L' F' R' L'
L2 U R L2 F' L' R'
L2 U R L2 F' R' L'
L2 U R D F' L' R'
L2 U R D F' R' L'
L2 U R D' F' L' R'
L2 U R D' F' R' L'
L2 U R D2 F' L' R'
L2 U R D2 F' R' L'
L2 U R F' L' R' D
L2 U R F' L' R' D'
L2 U R F' L' R' D2
L2 U R F' L' D R'
L2 U R F' L' D' R'
L2 U R F' L' D2 R'
L2 U R F' R' L' D
L2 U R F' R' L' D'
L2 U R F' R' L' D2
L2 U R F' R' D L'
L2 U R F' R' D' L'
L2 U R F' R' D2 L'
L2 U R F' D L' R'
L2 U R F' D R' L'
L2 U R F' D' L' R'
L2 U R F' D' R' L'
L2 U R F' D2 L' R'
L2 U R F' D2 R' L'
L2 U R F2 R' F L'
L2 U D F' D L' F
L2 U D2 L' F' L' F2
L2 U D2 F' L' D F
L2 U D2 F' L' D' F
L2 U D2 F' L' D2 F
L2 U D2 F' L' F D
L2 U D2 F' L' F D'
L2 U D2 F' L' F D2
L2 U D2 F2 L' F L'
R' U F D' B2 L2 F
F' R L2 U2 B U' F'
L2 U F U2 R U2 F'
F2 R L2 U2 B U' F'
L2 U F D2 F2 L' F
L2 U F' L' R F' R'
F R L2 U2 B U' F'
L2 U F' R L' F' R'
U' R U L2 U F' L'
L2 U F' D2 L' D F
L2 U F' D2 L' D' F
L2 U F' D2 L' D2 F
L2 U F' D2 L' F D
L2 U F' D2 L' F D'
L2 U F' D2 L' F D2
U2 R U' D' F' L' B2
U2 R U' D' F' B2 L'
U2 R U' D' B2 F' L'
U2 R U' F' D' L' B2
U2 R U' F' D' B2 L'
U2 R U2 L2 U F' L'
U' R U2 D' F' L' B2
U' R U2 D' F' B2 L'
U' R U2 D' B2 F' L'
U' R U2 F' D' L' B2
U' R U2 F' D' B2 L'
U' R D' U2 F' L' B2
U' R D' U2 F' B2 L'
U' R D' U2 B2 F' L'
U2 R D' U' F' L' B2
U2 R D' U' F' B2 L'
U2 R D' U' B2 F' L'
U R D' F' L' R' B2
U R D' F' R' L' B2
U R D' F' R' B2 L'
L2 U' R U2 L F' L'
U R F' R' D' L' B2
L2 U' R U2 L' F' L'
U R F' R' D' B2 L'
L2 U' R U2 L2 F' L'
L2 U' R U2 D F' L'
L2 U' R U2 D' F' L'
L2 U' R U2 D2 F' L'
L2 U' R U2 F' L' D
L2 U' R U2 F' L' D'
L2 U' R U2 F' L' D2
L2 U' R U2 F' D L'
L2 U' R U2 F' D' L'
L2 U' R U2 F' D2 L'
L2 U' R D U2 F' L'
L2 U' R D' U2 F' L'
L2 U' R D2 U2 F' L'
U R F' D' L' R' B2
U R F' D' R' L' B2
U R F' D' R' B2 L'
L2 U' R B U2 L F'
L2 U' R B U2 F' L
L2 U' R' D B U2 L
L2 U' R' D' B U2 L
L2 U' R' D2 B U2 L
L2 U' R' B R U2 L
L2 U' R' B R' U2 L
L2 U' R' B R2 U2 L
L2 U' R' B U2 L D
L2 U' R' B U2 L D'
L2 U' R' B U2 L D2
L2 U' R' B U2 D L
L2 U' R' B U2 D' L
L2 U' R' B U2 D2 L
L2 U' R' B D U2 L
L2 U' R' B D' U2 L
L2 U' R' B D2 U2 L
L2 U' R' B' R' B2 U2
L2 U' R2 B U2 L F
L2 U' R2 B' R' U2 F'
B2 R B2 L2 F U F2
D' R' L F' R U B2
D' R' L' F' R U B2
D' R' L2 F' R U B2
F' R' L2 F' R2 U F'
F' R' L2 F' U' B U2
F2 R' L2 F' R2 U F'
F2 R' L2 F' U' B U2
F R' L2 F' R2 U F'
F R' L2 F' U' B U2
R' U' B U L2 F' U
R' U' B U F' L2 U
L2 U' B R U2 L F'
L2 U' B R U2 F' L
L2 U' B R2 U2 L F
L2 U' B' R' D B U2
L2 U' B' R' D' B U2
L2 U' B' R' D2 B U2
L2 U' B' R' B U2 D
L2 U' B' R' B U2 D'
L2 U' B' R' B U2 D2
L2 U' B' R' B D U2
L2 U' B' R' B D' U2
L2 U' B' R' B D2 U2
U' R' D F2 B U2 L
U' R' D B F2 U2 L
L2 U' B2 R' B R' U2
U' R' D' B U2 L B
U2 R' D2 R2 U' F' L'
D R' D2 F' R U B2
L2 U2 L' D B' L U'
D' R' F' L R U B2
D' R' F' L' R U B2
D' R' F' L2 R U B2
D' R' F' R L U B2
D' R' F' R L' U B2
D' R' F' R L2 U B2
D' R' F' R U B2 D
D' R' F' R U B2 D'
D' R' F' R U B2 D2
D' R' F' R D L2 U
F' R' F' L2 R2 U F'
F' R' F' L2 U' B U2
F' R' F' R2 L2 U F'
F2 R' F' L2 R2 U F'
F2 R' F' L2 U' B U2
D' R' F' D L2 R U
D' R' F' D R L2 U
F2 R' F' R2 L2 U F'
F R' F' L2 R2 U F'
F R' F' L2 U' B U2
B2 R' F' B2 L2 U F
F R' F' R2 L2 U F'
U' R' B U L2 U L'
U' R' B U2 D' L B2
U' R' B D F2 U2 L
U' R' B D' U2 L B2
L2 U2 D L' B' L U'
B2 R' B2 L2 F' U F2
B2 R' B2 F' L2 U F
R' U2 D2 R2 B U' F'
L2 U2 D2 L' B' U' F
R U2 D' B U' F' B
R U2 D' B U' B F'
R U2 B U' D' F' B2
R U2 B U' D' B2 F'
R U2 B U' F' D' B2
R U2 B U2 L2 U F'
R U2 B D' U' F' B2
R U2 B D' U' B2 F'
D' R2 F' R F' U B2
L2 D R' D2 F' R U
L2 D U F' D L' F
L2 D U2 L' B' L U'
R' D F' R2 U F' B
R' D F' R2 U B F'
R' D F' U' F' B U2
R' D F' U' B F' U2
L2 D B R' F' B' U
L2 D B R' B' F' U
D2 U F' L' D F B2
D2 U F' L' D B2 F
D2 U F' L' F D B2
L' D' L' R' F' R U
L D' L R' F' R U
L' D' R' L' F' R U
D' U B2 D' F' L' F
L2 D' R' F' R U D
L2 D' R' F' R U D'
L2 D' R' F' R U D2
L2 D' R' F' R D U
L2 D' R' F' R D' U
L2 D' R' F' R D2 U
L2 D' R' F' D R U
L2 D' R' F' D' R U
L2 D' R' F' D2 R U
L D' R' L F' R U
L D' R' F' L R U
L D' R' F' R L U
L2 D' R2 F' R F' U
R' D' F' R2 U F' B2
R' D' F' R2 U B2 F'
L2 D' F U2 L' B' U'
R' D' F' U' B U2 B
R D' U2 B U' F' B
R D' U2 B U' B F'
L2 D' F' R U2 B U'
L2 D' F' R' F' R2 U
L' D2 L' R' F' U F2
L' D2 L' U F' L' F2
L' D2 L' F2 U F' L'
L D2 L U' B' R' U2
D2 U2 L' R2 B' U' F
U D' B2 D' F' L' F
L' D2 R' L' F' U F2
U2 D2 L' R2 B' U' F
D2 U2 L' B' R2 U' F
U2 D2 L' B' R2 U' F
L2 D2 R' D F' R U
L2 D2 U L' F' L' F2
L2 D2 U F' L' D F
L2 D2 U F' L' D' F
L2 D2 U F' L' D2 F
L2 D2 U F' L' F D
L2 D2 U F' L' F D'
L2 D2 U F' L' F D2
L2 D2 U F2 L' F L'
D2 U2 R2 L' B' U' F
D2 U2 R2 U' F' L' F
R' D2 U2 R2 B U' F'
U2 D2 R2 L' B' U' F
U2 D2 R2 U' F' L' F
L2 D2 U2 L' B' U' F
L2 D2 F U F' L' F
R' D2 F' U2 R2 U' F'
L2 D2 F' U F' L' F
U D2 F' L' D F B2
U D2 F' L' D B2 F
U D2 F' L' F D B2
L2 D2 F2 U F' L' F
R' F L2 R2 F2 U F
R' F L2 F2 R2 U F'
R' F L2 F2 U' B U2
L2 F R U2 B U' F'
R F L2 R2 F' U F'
R F L2 U2 B U' F2
R F L2 D R2 F' U
R' F R2 L2 F2 U F
L2 F R' F' R2 U F'
L2 F R' F' U' B U2
R' F U D' B2 L2 F
L2 F U R F' L' R'
L2 F U R F' R' L'
R F R2 L2 F' U F'
L2 F U D2 F' L' F
L2 F U F' D2 L' F
R F R2 F' L2 U F'
L2 F U' R U2 F' L'
L2 F U' R' B U2 L
D' F U2 L' B' U' B'
L2 F U' B' R' B U2
R' F D' U B2 L2 F
L2 F D' R' F' R U
L2 F D2 U F' L' F
R' F' L2 R2 U D F'
R' F' L2 R2 U D' F'
R' F' L2 R2 U D2 F'
R' F' L2 R2 U F' D
R' F' L2 R2 U F' D'
R' F' L2 R2 U F' D2
R' F' L2 R2 D U F'
R' F' L2 R2 D' U F'
R' F' L2 R2 D2 U F'
R' F' L2 U R2 F' R2
R' F' L2 U' D B U2
R' F' L2 U' D' B U2
R' F' L2 U' D2 B U2
R' F' L2 U' B U2 D
R' F' L2 U' B U2 D'
R' F' L2 U' B U2 D2
R' F' L2 U' B D U2
R' F' L2 U' B D' U2
R' F' L2 U' B D2 U2
R' F' L2 D R2 U F'
R' F' L2 D U' B U2
R' F' L2 D' R2 U F'
R' F' L2 D' U' B U2
R' F' L2 D2 R2 U F'
R' F' L2 D2 U' B U2
D' F' R U2 B U' B
L2 F' R U2 B U' F'
R F' L2 R2 F' U F
D' F' R' F' R2 U B2
R' F' R2 L2 U D F'
R' F' R2 L2 U D' F'
R' F' R2 L2 U D2 F'
R' F' R2 L2 U F' D
R' F' R2 L2 U F' D'
R' F' R2 L2 U F' D2
R' F' R2 L2 D U F'
R' F' R2 L2 D' U F'
R' F' R2 L2 D2 U F'
R' F' R2 U D' F' B2
R' F' R2 U D' B2 F'
R' F' R2 U F' D' B2
R' F' R2 D' U F' B2
R' F' R2 D' U B2 F'
L2 F' R' F' R2 U F'
L2 F' R' F' U' B U2
L2 F' U R F' L' R'
L2 F' U R F' R' L'
R F' R2 L2 F' U F
L2 F' U D2 F' L' F
R' F' U' D F2 B U2
R' F' U' D B F2 U2
R' F' U' D' B U2 B
L2 F' U F' D2 L' F
R' F' U' B U L2 U
R' F' U' B U2 D' B2
R' F' U' B D F2 U2
R' F' U' B D' U2 B2
L2 F' U' R U2 F' L'
L2 F' U' R' B U2 L
R' F' U2 D2 R2 U' F'
L2 F' U' B' R' B U2
R' F' D U' F2 B U2
R' F' D U' B F2 U2
R' F' D' R2 U F' B2
R' F' D' R2 U B2 F'
R' F' D' U' B U2 B
L2 F' D' R' F' R U
R' F' D2 U2 R2 U' F'
L2 F' D2 U F' L' F
F' D' R' F' R U B2
F2 D' R' F' R U B2
U F' D' B2 D' L' F
U F' D2 L' D F B2
U F' D2 L' D B2 F
U F' D2 L' F D B2
R' F' B2 L2 B2 U F
F D' R' F' R U B2
L2 F2 R U2 B U' F'
L2 F2 R' F' R2 U F'
L2 F2 R' F' U' B U2
R' F2 R2 F L2 U F2
L2 F2 U R F' L' R'
L2 F2 U R F' R' L'
L2 F2 U D2 F' L' F
L2 F2 U F' D2 L' F
L2 F2 U' R U2 F' L'
R F2 R2 F' L2 U F2
L2 F2 U' R' B U2 L
L' F2 U2 R U' F' L'
L2 F2 U' B' R' B U2
L2 F2 D' R' F' R U
L2 F2 D2 U F' L' F
R' B U F' B' L2 U
R' B U B' L2 F' U
R' B U B' F' L2 U
R B U2 B' L2 U F'
U' B' R' D F2 B U2
U' B' R' D B F2 U2
U' B' R' D' B U2 B
U' B' R' B U L2 U
U' B' R' B U2 D' B2
U' B' R' B D F2 U2
U' B' R' B D' U2 B2
L2 B' D B R' F' U
R' B2 L2 F' B2 U F2
R' B2 L2 B2 F' U F2
R B2 L2 F B2 U F2
R B2 L2 B2 F U F2
R' B2 F' L2 B2 U F
