F' R U R' F
F' R U F R'
L' U' L F' U
L2 U' L2 F' U
L U' L' F' U
L' U' F' L U
L2 U' F' L2 U
F' R' U R F
F' R2 U R2 F
F' R2 U F R2
U R2 B U' B'
U' F' L2 U B'
U' F' U' F U2
B2 L' U' D L F' U
B' L' U' D2 L F' U
D L' U' D L F' U
D2 L' U' F' D L U
B2 L' U' D F' L U
D' L' U' F' L U D
D' L' U' F' L U D'
D' L' U' F' L U D2
D' L' U' F' L D U
D' L' U' F' L D' U
D' L' U' F' L D2 U
D2 L' U' F' D' L U
B' L' U' D2 F' L U
D2 L' U' F' D2 L U
D L' U' D F' L U
B2 L' U' D' L F' U
B' L' U' F L F2 U
D' L' U' F' D L U
D L' U' D' L F' U
D' L' U' F' D' L U
D' L' U' F' D2 L U
B2 L' U' D' F' L U
D L' U' D' F' L U
B2 L' U' D2 L F' U
B L' U' D L F' U
B' L' U' F' L U D
B' L' U' F' L U D'
B' L' U' F' L U D2
B' L' U' F' L D U
B' L' U' F' L D' U
B' L' U' F' L D2 U
D L' U' D2 L F' U
B2 L' U' D2 F' L U
B L' U' D F' L U
D L' U' D2 F' L U
B' L' U' F' D L U
B' L' U' F' D' L U
B2 L' U' F L F2 U
B' L' U' F' D2 L U
B L' U' D' L F' U
D L' U' F L F2 U
B L' U' D' F' L U
B L' U' D2 L F' U
B2 L' U' F' L U D
B2 L' U' F' L U D'
B2 L' U' F' L U D2
B2 L' U' F' L D U
B2 L' U' F' L D' U
B2 L' U' F' L D2 U
D L' U' F' L U D
D L' U' F' L U D'
D L' U' F' L U D2
D L' U' F' L D U
D L' U' F' L D' U
D L' U' F' L D2 U
B L' U' D2 F' L U
B2 L' U' F' D L U
B2 L' U' F' D' L U
B2 L' U' F' D2 L U
D L' U' F' D L U
B L' U' F L F2 U
D L' U' F' D' L U
D L' U' F' D2 L U
B L' U' F' L U D
B L' U' F' L U D'
B L' U' F' L U D2
B L' U' F' L D U
B L' U' F' L D' U
B L' U' F' L D2 U
B L' U' F' D L U
B L' U' F' D' L U
B L' U' F' D2 L U
U' L' U2 R2 B U' B'
D2 L' D U' L F' U
D' L' D U' L F' U
D2 L' D U' F' L U
D' L' D U' F' L U
B' L' D U' L F' U
B' L' D U' F' L U
B2 L' D U' L F' U
B2 L' D U' F' L U
D L' D U' L F' U
D L' D U' F' L U
U' L' D F' L2 U B'
B L' D U' L F' U
U' L' D F' U' F U2
B L' D U' F' L U
D2 L' D' U' L F' U
D' L' D' U' L F' U
D2 L' D' U' F' L U
D' L' D' U' F' L U
B' L' D' U' L F' U
B' L' D' U' F' L U
B2 L' D' U' L F' U
B2 L' D' U' F' L U
D L' D' U' L F' U
U' L' D' F' L2 U B'
D L' D' U' F' L U
U' L' D' F' U' F U2
B L' D' U' L F' U
B L' D' U' F' L U
D2 L' D2 U' L F' U
D' L' D2 U' L F' U
D2 L' D2 U' F' L U
D' L' D2 U' F' L U
B' L' D2 U' L F' U
B' L' D2 U' F' L U
B2 L' D2 U' L F' U
B2 L' D2 U' F' L U
D L' D2 U' L F' U
U' L' D2 F' L2 U B'
D L' D2 U' F' L U
U' L' D2 F' U' F U2
B L' D2 U' L F' U
B L' D2 U' F' L U
U' L' F' L2 U D B'
U' L' F' L2 U D' B'
U' L' F' L2 U D2 B'
U' L' F' L2 U B' D
U' L' F' L2 U B' D'
U' L' F' L2 U B' D2
U' L' F' L2 D U B'
U' L' F' L2 D' U B'
U' L' F' L2 D2 U B'
U' L' F' U L2 B' L2
U' L' F' U' D F U2
U' L' F' U' D' F U2
U' L' F' U' D2 F U2
U' L' F' U' F U2 D
U' L' F' U' F U2 D'
U' L' F' U' F U2 D2
U' L' F' U' F D U2
U' L' F' U' F D' U2
U' L' F' U' F D2 U2
U' L' F' D L2 U B'
U' L' F' D U' F U2
U' L' F' D' L2 U B'
U' L' F' D' U' F U2
U' L' F' D2 L2 U B'
U' L' F' D2 U' F U2
F L' F' U' L F' U
F L' F' U' F' L U
U' L' F2 D' F L2 U
U' L' F2 D2 F U B2
D2 L2 U D2 R2 B U'
D' L2 U D2 R2 B U'
B' L2 U D2 R2 B U'
B2 L2 U D2 R2 B U'
D L2 U D2 R2 B U'
B L2 U D2 R2 B U'
D2 L2 U' L F' L U
D' L2 U' L F' L U
B' L2 U' L F' L U
D2 L2 U' L2 D F' U
D2 L2 U' L2 D' F' U
D2 L2 U' L2 D2 F' U
D2 L2 U' L2 F' U D
D2 L2 U' L2 F' U D'
D2 L2 U' L2 F' U D2
D2 L2 U' L2 F' D U
D2 L2 U' L2 F' D' U
D2 L2 U' L2 F' D2 U
D' L2 U' L2 D F' U
D' L2 U' L2 D' F' U
D' L2 U' L2 D2 F' U
D' L2 U' L2 F' U D
D' L2 U' L2 F' U D'
D' L2 U' L2 F' U D2
D' L2 U' L2 F' D U
D' L2 U' L2 F' D' U
D' L2 U' L2 F' D2 U
B' L2 U' L2 D F' U
B' L2 U' L2 D' F' U
B' L2 U' L2 D2 F' U
B' L2 U' L2 F' U D
B' L2 U' L2 F' U D'
B' L2 U' L2 F' U D2
B' L2 U' L2 F' D U
B' L2 U' L2 F' D' U
B' L2 U' L2 F' D2 U
B2 L2 U' L F' L U
F2 L2 U' L2 F U F
D L2 U' L F' L U
B2 L2 U' L2 D F' U
B2 L2 U' L2 D' F' U
B2 L2 U' L2 D2 F' U
B2 L2 U' L2 F' U D
B2 L2 U' L2 F' U D'
B2 L2 U' L2 F' U D2
B2 L2 U' L2 F' D U
B2 L2 U' L2 F' D' U
B2 L2 U' L2 F' D2 U
B L2 U' L F' L U
D2 L2 U' D' F' U B2
D' L2 U' D' F' U B2
D L2 U' L2 D F' U
D L2 U' L2 D' F' U
B' L2 U' D' F' U B2
D L2 U' L2 D2 F' U
D L2 U' L2 F' U D
D L2 U' L2 F' U D'
D L2 U' L2 F' U D2
D L2 U' L2 F' D U
D L2 U' L2 F' D' U
D L2 U' L2 F' D2 U
D2 L2 U' F L2 F2 U
B L2 U' L2 D F' U
B L2 U' L2 D' F' U
D' L2 U' F L2 F2 U
B L2 U' L2 D2 F' U
B L2 U' L2 F' U D
B L2 U' L2 F' U D'
B L2 U' L2 F' U D2
B L2 U' L2 F' D U
B L2 U' L2 F' D' U
B L2 U' L2 F' D2 U
B' L2 U' F L2 F2 U
D2 L2 U' F' L2 U D
D2 L2 U' F' L2 U D'
D2 L2 U' F' L2 U D2
D2 L2 U' F' L2 D U
D2 L2 U' F' L2 D' U
D2 L2 U' F' L2 D2 U
D2 L2 U' F' U D' B2
D' L2 U' F' L2 U D
D' L2 U' F' L2 U D'
D' L2 U' F' L2 U D2
D' L2 U' F' L2 D U
D' L2 U' F' L2 D' U
D' L2 U' F' L2 D2 U
D2 L2 U' F' D' U B2
D' L2 U' F' U D' B2
B' L2 U' F' L2 U D
B' L2 U' F' L2 U D'
B' L2 U' F' L2 U D2
B' L2 U' F' L2 D U
B' L2 U' F' L2 D' U
B' L2 U' F' L2 D2 U
D' L2 U' F' D' U B2
F L2 U' L2 F2 U F
B' L2 U' F' U D' B2
B' L2 U' F' D' U B2
B2 L2 U' D' F' U B2
B2 L2 U' F L2 F2 U
D L2 U' D' F' U B2
B2 L2 U' F' L2 U D
B2 L2 U' F' L2 U D'
B2 L2 U' F' L2 U D2
B2 L2 U' F' L2 D U
B2 L2 U' F' L2 D' U
B2 L2 U' F' L2 D2 U
B L2 U' D' F' U B2
B2 L2 U' F' U D' B2
B2 L2 U' F' D' U B2
D L2 U' F L2 F2 U
B L2 U' F L2 F2 U
D L2 U' F' L2 U D
D L2 U' F' L2 U D'
D L2 U' F' L2 U D2
D L2 U' F' L2 D U
D L2 U' F' L2 D' U
D L2 U' F' L2 D2 U
D L2 U' F' U D' B2
D L2 U' F' D' U B2
B L2 U' F' L2 U D
B L2 U' F' L2 U D'
B L2 U' F' L2 U D2
B L2 U' F' L2 D U
B L2 U' F' L2 D' U
B L2 U' F' L2 D2 U
B L2 U' F' U D' B2
B L2 U' F' D' U B2
U' L2 U2 R2 B U' B'
U' L2 D F' L2 U B'
U' L2 D F' U' F U2
D2 L2 D' U' F' U B2
D' L2 D' U' F' U B2
B' L2 D' U' F' U B2
F L2 D' L F' L B2
F L2 D' L' B2 L' F'
F L2 D' L2 F' B2 D
F L2 D' L2 F' B2 D'
F L2 D' L2 F' B2 D2
F L2 D' L2 B2 D F'
F L2 D' L2 B2 D' F'
F L2 D' L2 B2 D2 F'
F L2 D' L2 B2 F' D
F L2 D' L2 B2 F' D'
F L2 D' L2 B2 F' D2
U' L2 D' F' L2 U B'
B2 L2 D' U' F' U B2
U' L2 D' F' U' F U2
D L2 D' U' F' U B2
D2 L2 D' B2 U' F' U
B L2 D' U' F' U B2
D' L2 D' B2 U' F' U
B' L2 D' B2 U' F' U
F L2 D' F L2 F2 B2
F L2 D' F L2 B2 F2
F L2 D' F B2 L2 F2
F L2 D' F' L' B2 L'
F L2 D' F' L2 B2 D
F L2 D' F' L2 B2 D'
F L2 D' F' L2 B2 D2
B2 L2 D' B2 U' F' U
F L2 D' F' B L2 B
F L2 D' F' B2 L2 D
F L2 D' F' B2 L2 D'
F L2 D' F' B2 L2 D2
F L2 D' B L2 F' B
F L2 D' B L2 B F'
D L2 D' B2 U' F' U
F L2 D' B F' L2 B
D2 L2 D2 U R2 B U'
B L2 D' B2 U' F' U
D' L2 D2 U R2 B U'
F L2 D' B2 L F' L
B' L2 D2 U R2 B U'
F L2 D' B2 L2 D F'
F L2 D' B2 L2 D' F'
F L2 D' B2 L2 D2 F'
F L2 D' B2 L2 F' D
F L2 D' B2 L2 F' D'
F L2 D' B2 L2 F' D2
F L2 D' B2 F L2 F2
F L2 D' B2 F' L2 D
F L2 D' B2 F' L2 D'
F L2 D' B2 F' L2 D2
B2 L2 D2 U R2 B U'
U' L2 D2 F' L2 U B'
U' L2 D2 F' U' F U2
D L2 D2 U R2 B U'
B L2 D2 U R2 B U'
F L2 D2 F' D L2 B2
F L2 D2 F' D B2 L2
D2 L2 F D' L2 F' B2
D2 L2 F D' L2 B2 F'
D2 L2 F D' F' L2 B2
D' L2 F D' L2 F' B2
D2 L2 F D' F' B2 L2
D' L2 F D' L2 B2 F'
D2 L2 F D' B2 L2 F'
D2 L2 F D' B2 F' L2
D' L2 F D' F' L2 B2
D' L2 F D' F' B2 L2
B' L2 F D' L2 F' B2
D' L2 F D' B2 L2 F'
B' L2 F D' L2 B2 F'
D' L2 F D' B2 F' L2
B' L2 F D' F' L2 B2
B' L2 F D' F' B2 L2
B' L2 F D' B2 L2 F'
B' L2 F D' B2 F' L2
B2 L2 F D' L2 F' B2
B2 L2 F D' L2 B2 F'
B2 L2 F D' F' L2 B2
B2 L2 F D' F' B2 L2
B2 L2 F D' B2 L2 F'
B2 L2 F D' B2 F' L2
D L2 F D' L2 F' B2
D L2 F D' L2 B2 F'
D L2 F D' F' L2 B2
B L2 F D' L2 F' B2
D L2 F D' F' B2 L2
B L2 F D' L2 B2 F'
D L2 F D' B2 L2 F'
D L2 F D' B2 F' L2
B L2 F D' F' L2 B2
B L2 F D' F' B2 L2
B L2 F D' B2 L2 F'
B L2 F D' B2 F' L2
U' L2 F' L2 U D B'
U' L2 F' L2 U D' B'
U' L2 F' L2 U D2 B'
U' L2 F' L2 U B' D
U' L2 F' L2 U B' D'
U' L2 F' L2 U B' D2
U' L2 F' L2 D U B'
U' L2 F' L2 D' U B'
U' L2 F' L2 D2 U B'
U' L2 F' U L2 B' L2
U' L2 F' U' D F U2
U' L2 F' U' D' F U2
U' L2 F' U' D2 F U2
U' L2 F' U' F U2 D
U' L2 F' U' F U2 D'
U' L2 F' U' F U2 D2
U' L2 F' U' F D U2
U' L2 F' U' F D' U2
U' L2 F' U' F D2 U2
R' U R U' F' U F
U' L2 F' D L2 U B'
U' L2 F' D U' F U2
L' U R U2 L F U
U' L2 F' D' L2 U B'
U' L2 F' D' U' F U2
U' L2 F' D2 L2 U B'
U' L2 F' D2 U' F U2
F L2 F' U' L2 F' U
F L2 F' U' F' L2 U
F2 L2 F2 U' L2 F U
F' L2 F2 D' L2 F B2
F' L2 F2 D' L2 B2 F
U' L2 F2 D' F L2 U
U' L2 F2 D2 F U B2
R' U R' B U' R2 B'
R' U R' B U' B' R2
L' U R' B2 R' B U'
D2 L2 B U' L2 F' U
D2 L2 B U' F' L2 U
D' L2 B U' L2 F' U
D' L2 B U' F' L2 U
B' L2 B U' L2 F' U
B' L2 B U' F' L2 U
B2 L2 B U' L2 F' U
B2 L2 B U' F' L2 U
D L2 B U' L2 F' U
D L2 B U' F' L2 U
B L2 B U' L2 F' U
B L2 B U' F' L2 U
F L2 B D' L2 F' B2
F L2 B D' L2 B2 F'
R2 U R2 U' F' U F
F L2 B D' F' L2 B2
F L2 B D' F' B2 L2
F L2 B D' B2 L2 F'
F L2 B D' B2 F' L2
L2 U R2 D' B U' B
L' U R2 B2 R' B' U'
L2 U R2 D2 B R2 U'
D2 L2 B' U' L2 F' U
D2 L2 B' U' F' L2 U
