B2 L2 F U R
F L2 U2 B U' R
B2 L2 D F U R
B2 L2 D' F U R
B2 L2 D2 F U R
B2 L2 F U R D
B2 L2 F U R D'
B2 L2 F U R D2
B2 L2 F U D R
B2 L2 F U D' R
B2 L2 F U D2 R
B2 L2 F D U R
B2 L2 F D' U R
B2 L2 F D2 U R
B2 L2 F B U R
B2 L2 F B' U R
B2 L2 F B2 U R
B2 L2 B F U R
B2 L2 B' F U R
B2 L2 B2 F U R
L2 U2 B U L U2
L2 F U2 B U' R
U2 B U' D' B2 R'
U2 B D' U' B2 R'
L2 B2 U2 B' U' R'
B2 L2 F B U R D'
B2 L2 F B U R D2
B2 L2 F B U D R
B2 L2 F B U D' R
B2 L2 F B U D2 R
B2 L2 F B D U R
B2 L2 F B D' U R
B2 L2 F B D2 U R
B2 L2 F B' U R D
B2 L2 F B' U R D'
B2 L2 F B' U R D2
B2 L2 F B' U D R
B2 L2 F B' U D' R
B2 L2 F B' U D2 R
B2 L2 F B' D U R
B2 L2 F B' D' U R
B2 L2 F B' D2 U R
B2 L2 F B2 U R D
B2 L2 F B2 U R D'
B2 L2 F B2 U R D2
B2 L2 F B2 U D R
B2 L2 F B2 U D' R
B2 L2 F B2 U D2 R
B2 L2 F B2 D U R
B2 L2 F B2 D' U R
B2 L2 F B2 D2 U R
B' L2 F' D2 F2 U R
F2 L2 F' U2 B U' R
B L2 F' U' L' U2 L
B2 L2 B D F U R
B2 L2 B D' F U R
B2 L2 B D2 F U R
B L2 B U2 B' U' R'
B2 L2 B F U R D
B2 L2 B F U R D'
B2 L2 B F U R D2
B2 L2 B F U D R
B2 L2 B F U D' R
B2 L2 B F U D2 R
B2 L2 B F D U R
B2 L2 B F D' U R
B2 L2 B F D2 U R
B' L2 B' U2 B' U' R'
B2 L2 B' D F U R
B2 L2 B' D' F U R
F L2 B' U R D L2
F L2 B' U D L2 R
F L2 B' U D R L2
B2 L2 B' D2 F U R
B2 L2 B' F U R D
B2 L2 B' F U R D'
B2 L2 B' F U R D2
B2 L2 B' F U D R
B2 L2 B' F U D' R
B2 L2 B' F U D2 R
B2 L2 B' F D U R
B2 L2 B' F D' U R
B2 L2 B' F D2 U R
F L2 B' U2 B2 U' R
F L2 B' D U L2 R
F L2 B' D U R L2
B2 L2 B2 D F U R
B2 L2 B2 D' F U R
B2 L2 B2 D2 F U R
B2 L2 B2 F U R D
B2 L2 B2 F U R D'
B2 L2 B2 F U R D2
B2 L2 B2 F U D R
B2 L2 B2 F U D' R
B2 L2 B2 F U D2 R
B2 L2 B2 F D U R
B2 L2 B2 F D' U R
B2 L2 B2 F D2 U R
F L2 B2 U2 B' U' R
B2 R L2 F R' U R2
R' U' L2 R B U L
R' U' R L2 B U L
R' U' R B L2 U L'
L2 U2 D B U L U2
L2 U2 D' B U L U2
L2 U2 D2 B U L U2
L2 U2 F B U L U2
B2 R2 L2 F R2 U R'
F2 R2 L2 F' R2 U R'
F R2 L2 F' R2 U R
L2 U2 F' B U L U2
L2 U2 F2 B U L U2
L2 U2 B U L U2 D
L2 U2 B U L U2 D'
L2 U2 B U L U2 D2
L2 U2 B U L D U2
L2 U2 B U L D' U2
L2 U2 B U L D2 U2
L2 U2 B U D L U2
L2 U2 B U D' L U2
L2 U2 B U D2 L U2
L2 U2 B U' B2 R' B2
L2 U2 B U2 B2 U R'
L2 U2 B D U L U2
L2 U2 B D' U L U2
L2 U2 B D2 U L U2
L2 U2 B F U L U2
L2 U2 B F' U L U2
L2 U2 B F2 U L U2
L2 U2 B' U' R' D L2
L2 U2 B' U' D L2 R'
L2 U2 B' U' D R' L2
L2 U2 B' D U' L2 R'
L2 U2 B' D U' R' L2
F2 R2 F' L2 R2 U R'
F2 R2 F' R2 L2 U R'
F R2 F' L2 R2 U R
F R2 F' R2 L2 U R
L2 D U2 B U L U2
L2 D F U2 B U' R
L2 D B2 U2 B' U' R'
U2 D B U L F2 U2
U2 D B U F2 L U2
U2 D B U' D2 B2 R'
U2 D B D2 U' B2 R'
D' U B2 U B' U' R'
L2 D' U2 B U L U2
L2 D' F U2 B U' R
L2 D' B2 U2 B' U' R'
U2 D' B U L U2 B
U2 D' B U' B2 R' B'
U D' B2 U B' U' R'
L2 D2 U2 B U L U2
L2 D2 F U2 B U' R
D' U2 B U L U2 B
D2 U2 B R2 U L U2
D' U2 B U' B2 R' B'
D2 U2 B U' D B2 R'
D2 U2 B D U' B2 R'
U2 D2 B R2 U L U2
U2 D2 B U' D B2 R'
U2 D2 B D U' B2 R'
D2 U2 B' R2 B2 U' R
D U2 B U L F2 U2
D U2 B U F2 L U2
D U2 B U' D2 B2 R'
D U2 B D2 U' B2 R'
U2 D2 B' R2 B2 U' R
L2 D2 B2 U2 B' U' R'
B2 U2 D' B' U' R' B'
B2 U2 D2 R2 B' U' R'
B2 U2 D2 B' R2 U' R
F2 U2 D2 B R2 U' R
F U2 D' B U' B R
L F L U2 B U' R
F U2 D2 B R2 U' R'
R2 F L2 R2 F2 U R'
R2 F R2 L2 F2 U R'
B2 U2 B' U' R' D' B2
B2 U2 B' U' D' R' B2
L2 F R2 F' R2 U R
B2 U2 B' U2 L2 U R'
B2 U2 B' D' U' R' B2
B2 U2 B' D2 R2 U' R
F U2 B U' R D' B2
F U2 B U' D' R B2
F U2 B U' D' B2 R
F U2 B U2 L2 U R
R2 F R2 F2 L2 U R'
F U2 B D' U' R B2
F U2 B D' U' B2 R
F U2 B D2 R2 U' R'
D' F U2 B U' B R
D2 F U2 B R2 U' R'
L2 F U2 D B U' R
L2 F U2 D' B U' R
L2 F U2 D2 B U' R
L2 F U2 B U' R D
L2 F U2 B U' R D'
L2 F U2 B U' R D2
L2 F U2 B U' D R
L2 F U2 B U' D' R
L2 F U2 B U' D2 R
L2 F U2 B D U' R
L2 F U2 B D' U' R
L2 F U2 B D2 U' R
L2 F D U2 B U' R
R2 F D' L2 R F2 B2
R2 F D' L2 R B2 F2
R2 F D' L2 B2 R F2
R2 F D' R L2 F2 B2
R2 F D' R L2 B2 F2
L2 F D' U2 B U' R
R2 F D' R F2 L2 B2
R2 F D' R F2 B2 L2
R2 F D' R B2 L2 F2
R2 F D' R B2 F2 L2
R2 F D' F2 L2 B2 R'
R2 F D' B2 L2 R F2
R2 F D' B2 R L2 F2
R2 F D' B2 R F2 L2
L2 F D2 U2 B U' R
U2 F B U' D' B2 R'
U2 F B D' U' B2 R'
L2 F B' U R D L2
L2 F B' U D L2 R
L2 F B' U D R L2
L2 F B' U2 B2 U' R
L2 F B' D U L2 R
L2 F B' D U R L2
L2 F B2 U2 B' U' R
B' D F U L2 R B'
B' D F U L2 B' R
B' D F U R L2 B'
R2 F' L2 R2 U' L U2
R2 F' L2 R2 B2 U R'
R2 F' L2 B2 R2 U R
R2 F' R2 L2 U' L U2
R2 F' R2 L2 B2 U R'
R2 F' U D' F2 R B2
R2 F' U D' F2 B2 R
R2 F' U D' B2 F2 R
L2 F' U' L' U' B U'
L2 F' U2 F2 B U' R
L2 F' U2 B U L' U2
L2 F' U2 B F2 U' R
B2 D' L2 F U R B2
B2 D' L2 F U B2 R
R2 F' D' U F2 R B2
R2 F' D' U F2 B2 R
R2 F' D' U B2 F2 R
L2 F' B U' L' U2 L
U2 F' B U' D' B2 R'
U2 F' B D' U' B2 R'
L2 F' B' D2 F2 U R
B2 D' U2 B' U' R' B'
F D' U2 B U' B R
B D' F U R B2 L
L2 F2 R2 F' R2 U R'
L2 F2 U2 D2 B U' R'
L2 F2 U2 F' B U' R
L2 F2 U2 B F' U' R
L2 F2 D2 U2 B U' R'
U2 F2 B U' D' B2 R'
U2 F2 B D' U' B2 R'
B2 D2 U2 R2 B' U' R'
B2 D2 U2 B' R2 U' R
F2 D2 U2 B R2 U' R
F D2 U2 B R2 U' R'
U2 B R U' D' B2 R'
U2 B R D' U' B2 R'
U2 B R' U' D' B2 R'
U2 B R' D' U' B2 R'
U2 B R2 U' D' B2 R'
U2 B R2 D' U' B2 R'
U2 B U L U L U
U2 B U D L F2 U2
U2 B U D F2 L U2
U2 B U D' L U2 B2
U2 B U' R D' B2 R'
U2 B U' R' D' B2 R'
U2 B U' R2 D' B2 R'
U2 B U' D' R B2 R'
U2 B U' D' R' B2 R'
U2 B U' D' R2 B2 R'
U2 B U' D' B2 R' D
U2 B U' D' B2 R' D'
U2 B U' D' B2 R' D2
U2 B U' D' B2 D R'
U2 B U' D' B2 D' R'
U2 B U' D' B2 D2 R'
U2 B U' B2 R' D' B2
U2 B U' B2 D' R' B2
U2 B U2 L2 U' L' U2
B' F L2 U R D L2
B' F L2 U D L2 R
B' F L2 U D R L2
B' F L2 U2 B2 U' R
B' F L2 D U L2 R
B' F L2 D U R L2
U2 B U2 B2 L2 U R'
F' B L2 U' L U2 L'
U2 B D U L F2 U2
U2 B D U F2 L U2
U2 B D' R U' B2 R'
U2 B D' R' U' B2 R'
U2 B D' R2 U' B2 R'
U2 B D' U L U2 B2
U2 B D' U' R B2 R'
U2 B D' U' R' B2 R'
U2 B D' U' R2 B2 R'
U2 B D' U' B2 R' D
U2 B D' U' B2 R' D'
U2 B D' U' B2 R' D2
U2 B D' U' B2 D R'
U2 B D' U' B2 D' R'
U2 B D' U' B2 D2 R'
U2 B D' F U' B2 R'
U2 B D' F' U' B2 R'
U2 B D' F2 U' B2 R'
U2 B D2 R2 U L U2
U2 B F U' D' B2 R'
U2 B F D' U' B2 R'
L2 B F' U' L' U2 L
U2 B F' U' D' B2 R'
U2 B F' D' U' B2 R'
U2 B F2 U' D' B2 R'
B F U R D' B2 L
U2 B F2 D' U' B2 R'
B F U D' R B2 L
F B U R D' B2 L
F B U D' R B2 L
B F D' U R B2 L
F B D' U R B2 L
B' F' L2 U2 B2 U' R'
F' B' L2 U2 B2 U' R'
B2 F' L2 F U' L U2
B2 F' L2 F B2 U R'
U2 B' U' D' R' B2 L
B2 F' L2 B2 F U R'
B F' L2 U' L U2 L'
D' B' U2 B2 U' B R'
F B' L2 U R D L2
F B' L2 U D L2 R
F B' L2 U D R L2
F B' L2 U2 B2 U' R
F B' L2 D U L2 R
F B' L2 D U R L2
L2 B' D F U L2 R
L2 B' D F U R L2
U2 B' D' U' R' B2 L
L2 B' F U R D L2
L2 B' F U D L2 R
L2 B' F U D R L2
L2 B' F U2 B2 U' R
L2 B' F D U L2 R
L2 B' F D U R L2
L2 B' F' D2 F2 U R
L' B2 L2 F L U R
L2 B2 L2 F L2 U R
F' B2 L2 F U' L U2
F' B2 L2 F B2 U R'
B2 F2 L2 F U' L' U2
F2 B2 L2 F U' L' U2
F' B2 L2 B2 F U R'
D2 B2 U2 R2 B' U' R'
D2 B2 U2 B' R2 U' R
L2 B2 U2 D B' U' R'
L2 B2 U2 D' B' U' R'
L2 B2 U2 D2 B' U' R'
L2 B2 U2 F B' U' R'
U B2 U' L2 F U R
L2 B2 U2 F' B' U' R'
L2 B2 U2 F2 B' U' R'
L2 B2 U2 B' U' R' D
L2 B2 U2 B' U' R' D'
L2 B2 U2 B' U' R' D2
L2 B2 U2 B' U' D R'
L2 B2 U2 B' U' D' R'
L2 B2 U2 B' U' D2 R'
L2 B2 U2 B' D U' R'
L2 B2 U2 B' D' U' R'
L2 B2 U2 B' D2 U' R'
L2 B2 U2 B' F U' R'
L2 B2 U2 B' F' U' R'
L2 B2 U2 B' F2 U' R'
L2 B2 D U2 B' U' R'
L B2 U2 R' B' U' R'
D2 B2 D2 L2 F U R
L2 B2 D' U2 B' U' R'
D B2 D' L2 F U R
L2 B2 D2 U2 B' U' R'
L2 B2 F U2 B' U' R
