U' F R' U R
B' L2 B' L U' B2
U' R F R2 U R
U2 R F R2 U B
U2 R F R2 U B
R2 U' R F U R'
R U' R2 F U R2
R U' F R2 U R2
U2 R' F U' F' U2
R U2 F R2 U B
F R2 B R U B'
U' D F R' U R
U' D' F R' U R
D2 U' F R' U R
D' U' F R' U R
D U' F R' U R
R D2 L2 B' U' B
U' D2 F R' U R
B U2 F R U B'
U' F R' U R D
U' F R' U R D'
U' F R' U R D2
U' F R' U D R
U' F R' U D' R
U' F R' U D2 R
U' F R' D U R
U' F R' D' U R
U' F R' D2 U R
U' F R' B U R
U' F R' B' U R
U' F R' B2 U R
R F R2 B U B'
U' F D R' U R
U' F D' R' U R
U' F D2 R' U R
L2 B2 L B U' B
L B2 L B' U' B'
R U2 F R2 U B D
R U2 F R2 U B D'
R U2 F R2 U B D2
R U2 F R2 D U B
R U2 F R2 D' U B
R U2 F R2 D2 U B
U2 R2 U R F U R'
F R2 L2 B R U B'
F2 R2 U F2 L' B U'
F2 R2 U F2 B L' U'
F2 R2 U B F2 L' U'
D2 R2 U' R F U R'
D' R2 U' R F U R'
D R2 U' R F U R'
U' R2 D R F B2 U
U' R2 D R B2 F U
B R2 U2 F R U B'
U' R2 D B2 R F U
F R2 D B R U B'
F R2 D' B R U B'
F R2 D2 B R U B'
F2 R2 F2 L' B U' B'
F R2 B R U D B'
F R2 B R U D' B'
F R2 B R U D2 B'
F R2 B R U B' D
F R2 B R U B' D'
F R2 B R U B' D2
F R2 B R D U B'
F R2 B R D' U B'
F R2 B R D2 U B'
F R2 B D R U B'
F R2 B D' R U B'
F R2 B D2 R U B'
R2 D U' R F U R'
F R2 B2 R B' U B'
U' D R F R2 U R
U2 D R F R2 U B
U2 D R' F U' F' U2
U' D F R' U R D
U' D F R' U R D'
U' D F R' U R D2
U' D F R' U D R
U' D F R' U D' R
U' D F R' U D2 R
U' D F R' D U R
U' D F R' D' U R
U' D F R' D2 U R
U' D F R' B U R
U' D F R' B' U R
U' D F R' B2 U R
U' D F D R' U R
U' D F D' R' U R
L2 D B2 L B U' B
U' D F D2 R' U R
F' U D2 F B2 L U'
F' U D2 B2 F L U'
F' U F U2 R' F U
F' U F U2 F R' U
F2 U F2 U2 R' F U
R D' L2 B' U' F2 B
R D' L2 B' U' B F2
F2 U F2 U2 F R' U
F U F' B2 L U' L'
R2 D' U' R F U R'
D' U' R F R2 U R
U' D' R F R2 U R
D2 U' R F R2 U R
F U B2 F' L U' L'
B U' L D F L' B'
U2 D' R F R2 U B
D U' R F R2 U R
U2 D' R' F U' F' U2
D' U' F R' U R D
D' U' F R' U R D'
D' U' F R' U R D2
D' U' F R' U D R
U' D' F R' U R D
U' D' F R' U R D'
U' D' F R' U R D2
D' U' F R' U D' R
D' U' F R' U D2 R
U' D' F R' U D R
U' D' F R' U D' R
U' D' F R' U D2 R
U' D' F R' D U R
D' U' F R' D U R
D' U' F R' D' U R
U' D' F R' D' U R
D' U' F R' D2 U R
U' D' F R' D2 U R
D' U' F R' B U R
U' D' F R' B U R
D' U' F R' B' U R
U' D' F R' B' U R
D' U' F R' B2 U R
U' D' F R' B2 U R
D2 U' F R' U R D
D2 U' F R' U R D'
D2 U' F R' U R D2
D2 U' F R' U D R
D2 U' F R' U D' R
D2 U' F R' U D2 R
D2 U' F R' D U R
D2 U' F R' D' U R
D2 U' F R' D2 U R
D2 U' F R' B U R
D2 U' F R' B' U R
D2 U' F R' B2 U R
F' U' R F2 R2 B U
D' U' F D R' U R
U' D' F D R' U R
D' U' F D' R' U R
U' D' F D' R' U R
D' U' F D2 R' U R
U' D' F D2 R' U R
D2 U' F D R' U R
D2 U' F D' R' U R
D2 U' F D2 R' U R
D U' F R' U R D
D U' F R' U R D'
D U' F R' U R D2
D U' F R' U D R
D U' F R' U D' R
D U' F R' U D2 R
D U' F R' D U R
D U' F R' D' U R
D U' F R' D2 U R
D U' F R' B U R
D U' F R' B' U R
D U' F R' B2 U R
F' U' R' F2 U2 F' U'
D U' F D R' U R
D U' F D' R' U R
D U' F D2 R' U R
L2 D' B2 L B U' B
F2 U' D F' R' U R'
F2 U' D2 F' R' B2 U
F2 U' F' R2 B R U
R D2 L2 R B' U' B
R D2 L2 R' B' U' B
R D2 L2 R2 B' U' B
F' U' F2 R2 B R U
R D2 L2 D B' U' B
R D2 L2 D' B' U' B
R D2 L2 D2 B' U' B
R D2 L2 B' U' D B
R D2 L2 B' U' D' B
R D2 L2 B' U' D2 B
R D2 L2 B' U' B D
R D2 L2 B' U' B D'
R D2 L2 B' U' B D2
R D2 L2 B' D U' B
R D2 L2 B' D' U' B
R D2 L2 B' D2 U' B
R D2 R L2 B' U' B
B' U' B U' R' F U
B' U' B U' F R' U
U' D2 R F R2 U R
D' U2 R F R2 U B
R D2 R' L2 B' U' B
D2 U2 R F R2 U B
U2 D2 R F R2 U B
B U' B' L D F L'
D' U2 R' F U' F' U2
R D2 R2 L2 B' U' B
D2 U2 R' F U' F' U2
B U' B' U' F R U
D U2 R F R2 U B
B2 U' B2 U' R' F U
B2 U' B2 U' F R' U
U2 D2 R' F U' F' U2
R2 D2 U' R F U R'
D U2 R' F U' F' U2
U' D2 F R' U R D
U' D2 F R' U R D'
U' D2 F R' U R D2
U' D2 F R' U D R
U' D2 F R' U D' R
U' D2 F R' U D2 R
U' D2 F R' D U R
U' D2 F R' D' U R
U' D2 F R' D2 U R
U' D2 F R' B U R
U' D2 F R' B' U R
U' D2 F R' B2 U R
U' D2 F D R' U R
U' D2 F D' R' U R
U' D2 F D2 R' U R
B U2 R F R U B'
B U2 R' F R U B'
L2 D2 B2 L B U' B
B U2 R2 F R U B'
R D2 B' L2 B' U' B2
B U2 D F R U B'
R D2 B2 L2 B' U' B'
B U2 D' F R U B'
R F L R2 B U B'
B U2 D2 F R U B'
B2 U2 F U2 L U' B2
B U2 F R U D B'
B U2 F R U D' B'
B U2 F R U D2 B'
B U2 F R U B' D
B U2 F R U B' D'
B U2 F R U B' D2
B U2 F R D U B'
B U2 F R D' U B'
B U2 F R D2 U B'
U' F R U D' R' F2
U' F R U D' F2 R'
R F L' R2 B U B'
U' F R D' U R' F2
U' F R D' U F2 R'
B U2 F D R U B'
B U2 F D' R U B'
B U2 F D2 R U B'
U' F R' U R2 D R'
U' F R' U R2 D' R'
U' F R' U R2 D2 R'
U' F R' U D R D
U' F R' U D R D'
U' F R' U D R D2
U' F R' U D' R D
U' F R' U D' R D'
U' F R' U D' R D2
U' F R' U D2 R D
U' F R' U D2 R D'
U' F R' U D2 R D2
U' F R' U B R B'
U' F R' U B2 R B2
U' F R' U' L U2 R
U' F R' U' L' U2 R
U' F R' U' L2 U2 R
R F L2 R2 B U B'
U' F R' D U R D
U' F R' D U R D'
U' F R' D U R D2
U' F R' D B U R
U' F R' D B' U R
U' F R' D B2 U R
U' F R' D' U R D
U' F R' D' U R D'
U' F R' D' U R D2
U' F R' D' B U R
U' F R' D' B' U R
U' F R' D' B2 U R
U' F R' D2 U R D
U' F R' D2 U R D'
U' F R' D2 U R D2
U' F R' D2 B U R
U' F R' D2 B' U R
U' F R' D2 B2 U R
U' F R' B U R D
U' F R' B U R D'
U' F R' B U R D2
U' F R' B U D R
U' F R' B U D' R
U' F R' B U D2 R
U' F R' B D U R
U' F R' B D' U R
U' F R' B D2 U R
U' F R' B' U R D
U' F R' B' U R D'
U' F R' B' U R D2
U' F R' B' U D R
U' F R' B' U D' R
U' F R' B' U D2 R
U' F R' B' D U R
U' F R' B' D' U R
U' F R' B' D2 U R
U' F R' B2 U R D
U' F R' B2 U R D'
U' F R' B2 U R D2
U' F R' B2 U D R
U' F R' B2 U D' R
U' F R' B2 U D2 R
U' F R' B2 D U R
U' F R' B2 D' U R
U' F R' B2 D2 U R
U2 F R' U R' B R
U2 F R' U2 R' U' B
U2 F R' D2 L U B'
U' F R2 D R B2 U
U' F R2 D B2 R U
U' F R2 B R U R
U' F R2 B' R U R
R' F R2 B R2 U B'
D' F R2 B R U B'
U' F R2 B2 R U R
D2 F R2 B R U B'
U F R' U2 R U' R'
R F R2 L B U B'
R F R2 L' B U B'
D F R2 B R U B'
R F R2 L2 B U B'
R F R2 D B U B'
R F R2 D' B U B'
R F R2 D2 B U B'
R F R2 B U D B'
R F R2 B U D' B'
R F R2 B U D2 B'
R F R2 B U B' D
R F R2 B U B' D'
R F R2 B U B' D2
R F R2 B D U B'
R F R2 B D' U B'
R F R2 B D2 U B'
U2 F U' F' U R' U
R' F U2 F' U F U2
U' F D R' U R D
U' F D R' U R D'
U' F D R' U R D2
U' F D R' U D R
U' F D R' U D' R
U' F D R' U D2 R
U' F D R' D U R
U' F D R' D' U R
U' F D R' D2 U R
U' F D R' B U R
U' F D R' B' U R
U' F D R' B2 U R
U' F D' R' U R D
U' F D' R' U R D'
U' F D' R' U R D2
U' F D' R' U D R
U' F D' R' U D' R
U' F D' R' U D2 R
U' F D' R' D U R
U' F D' R' D' U R
U' F D' R' D2 U R
U' F D' R' B U R
U' F D' R' B' U R
U' F D' R' B2 U R
U' F D2 R' U R D
U' F D2 R' U R D'
U' F D2 R' U R D2
U' F D2 R' U D R
U' F D2 R' U D' R
U' F D2 R' U D2 R
U' F D2 R' D U R
U' F D2 R' D' U R
U' F D2 R' D2 U R
U' F D2 R' B U R
U' F D2 R' B' U R
U' F D2 R' B2 U R
U' F B R U R' F'
R' F B U2 F' U' B'
R' F B' U2 F' U' B
R' F B2 U2 F' U' B2
R F B R2 B U B2
F D R2 B R U B'
F2 D U' F' R' U R'
R F B2 R2 B U B
B D U2 F R U B'
R' F' L2 F2 B' U B
R' F' L2 B' F2 U B
U2 F' L2 R' F2 U B'
U2 F' L2 F2 R' U B'
U' F' R F2 R2 U R
U' F' R' U R D' L2
U' F' R' U D' L2 R
U' F' R' U D' R L2
U' F' R' D' U L2 R
U' F' R' D' U R L2
U2 F' R F2 R2 U B
U' F' R' F2 U' L' U2
U2 F' R' L2 F2 U B'
U2 F' R' U D' L2 B'
U2 F' R' D' U L2 B'
U2 F' R' F2 U' F' U2
R F' U' F2 R2 B U
F' D' L2 U' R' B' U
U' F' D' R' U L2 R
U' F' D' R' U R L2
B2 D' L2 R2 B' L' U'
U F' U2 F2 R' U R
B2 D' L2 B' L' R2 U'
B2 D' L2 B' R2 L' U'
U2 F' D' R' U L2 B'
B2 D' R2 L2 B' L' U'
F D' R2 B R U B'
B D' U2 F R U B'
U' F2 D F' R' U R
R F2 U' F' R2 B U
U' F2 D' F' R' U R
U F2 U2 F' R' U R
U2 F2 D' L2 F' R' U
U' F2 D2 F' R' U R
U2 F2 D' F' L2 R' U
U2 F2 D' F' R' L2 U
R' F2 D2 F' B2 U B2
R' F2 D2 B2 F' U B2
U2 F2 D2 F' R' U B2
F' D2 U F B2 L U'
F' D2 U B2 F L U'
F D2 R2 B R U B'
F2 D2 U' F' R' B2 U
B D2 U2 F R U B'
F' D2 F B2 L U' B2
U' B R F U R' F'
F2 D2 F' R' B2 U B2
F' D2 B2 F L U' B2
D2 B U2 F R U B'
D' B U2 F R U B'
R2 B U2 R F U B'
L B U' D' B' L F
D B U2 F R U B'
U B U2 F R U R'
R B U2 R2 F U B'
R B U2 F R2 U B'
U' B F R U R' F'
R' B F U2 F' U' B'
L B D' U' B' L F
R B F R2 B U B2
B2 F U2 L F' U' B2
L' B' L' B' L U' B2
B2 F U2 F' L U' B2
D2 B' L2 B' L U' B2
D' B' L2 B' L U' B2
L B' L B' L U' B2
D B' L2 B' L U' B2
U2 B' U F B R' U
U2 B' U B R' F U
U2 B' U B F R' U
L2 B' U' B U' R' U
L2 B' D L' U' F B
L2 B' D L' U' B F
R' B' F U2 F' U' B
R B' D2 L2 B' U' B2
L' B2 L U2 F U B2
L2 B2 L D' B R2 U'
L2 B2 L B U' D B
L2 B2 L B U' D' B
L2 B2 L B U' D2 B
L2 B2 L B U' B D
L2 B2 L B U' B D'
L2 B2 L B U' B D2
L2 B2 L B D U' B
L2 B2 L B D' U' B
L2 B2 L B D2 U' B
L B2 L R B' U' B'
L B2 L R' B' U' B'
L B2 L R2 B' U' B'
L2 B2 L' B L2 U' B
L B2 L D' R2 B' U'
L B2 L D' B' R2 U'
L B2 L B' R U' B'
L B2 L B' R' U' B'
L B2 L B' R2 U' B'
L B2 L B' U' D B'
L B2 L B' U' D' B'
L B2 L B' U' D2 B'
L B2 L B' U' B' D
L B2 L B' U' B' D'
L B2 L B' U' B' D2
L B2 L B' D U' B'
L B2 L B' D' U' B'
L B2 L B' D2 U' B'
L2 B2 L2 B L' U' B
L B2 R L B' U' B'
L B2 R' L B' U' B'
L B2 R2 L B' U' B'
U2 B2 U F B2 R' U
U2 B2 U B2 R' F U
U2 B2 U B2 F R' U
R2 B2 U2 R F U B2
L2 B2 D' L B R2 U'
R B2 U2 R2 F U B2
R B2 U2 F R2 U B2
R' B2 F U2 F' U' B2
F B2 U2 L F' U' B2
F B2 U2 F' L U' B2
R B2 F R2 B U B
