B L2 F2 R U B2
B' R D' L2 R2 F2
B' R D' L2 F2 R2
B' R D' R2 L2 F2
B' R D' R2 F2 L2
B' R D' F2 L2 R2
B' R D' F2 R2 L2
B' R' F2 B2 U B2
B' R' B2 F2 U B2
B' U' R' F2 B2 U
B' U' R' B2 F2 U
B' U' F2 R' B2 U
F2 B U2 L U' B2
F2 B' R' B2 U B2
B' F2 R' B2 U B2
B F2 U2 L U' B2
B' R' B2 F2 U B2 D
B' R' B2 F2 U B2 D'
B' R' B2 F2 U B2 D2
B' R' B2 F2 D L2 U
B R2 L2 F2 R U B2
B' R2 U' R F2 B2 U
B' R2 U' R B2 F2 U
B' R2 U' B2 R F2 U
F' R2 F' B L U' B2
F' R2 B L F' U' B2
B R2 F2 U2 L U' B2
F' R2 B F' L U' B2
B' R2 B2 R F2 U B2
B' U R' F2 L' B2 U
B' U R' F2 B2 L' U
B' U R' B2 F2 L' U
B' U D2 F2 B2 L U'
B' U D2 B2 L F2 U'
B' U D2 B2 F2 L U'
F2 U B' R D' R2 F'
F2 U B' R' D' F' R2
F2 U B' R' F' D' R2
F2 U B' D' R' F' R'
B U B2 U' R' F2 U
B U B2 U' F2 R' U
B' U' R F2 R2 B2 U
B' U' R F2 B2 R2 U
B' U' R B2 R2 F2 U
B' U' R B2 F2 R2 U
B' U' R' U D' L2 R2
B' U' R' U D' R2 L2
B' U' R' D' U L2 R2
B' U' R' D' U R2 L2
B' U' R' F2 U D' R2
B' U' R' F2 D' U R2
B' U' R' F2 B2 U D
B' U' R' F2 B2 U D'
B' U' R' F2 B2 U D2
B' U' R' F2 B2 D U
B' U' R' F2 B2 D' U
B' U' R' F2 B2 D2 U
B' U' R' B2 U D' L2
B' U' R' B2 D' U L2
B' U' R' B2 F2 U D
B' U' R' B2 F2 U D'
B' U' R' B2 F2 U D2
B' U' R' B2 F2 D U
B' U' R' B2 F2 D' U
B' U' R' B2 F2 D2 U
B' U' R2 B2 R F2 U
B' U' D' R' U L2 R'
B' U' D' R' U R' L2
B' U' F R' F B2 U
B' U' F R' B2 F U
B' U' F2 R B2 R2 U
B' U' F2 R' U D' R2
B' U' F2 R' D' U R2
B' U' F2 R' B2 U D
B' U' F2 R' B2 U D'
B' U' F2 R' B2 U D2
B' U' F2 R' B2 D U
B' U' F2 R' B2 D' U
B' U' F2 R' B2 D2 U
B' U' F2 R2 B2 R U
B' U' F2 D' R' U R'
B' U' F2 B2 U2 L U'
B' U' B2 F2 U2 L U'
B U2 L U' B2 D' L2
B U2 L U2 F2 U B2
B U2 L D' R2 U' L2
F2 U2 R' U' B' R' F'
B U2 D' L R2 U' L
B U2 D' R2 L U' L
F U2 F B R U B2
F U2 B F R U B2
B D L2 D' F2 R U
U2 F B R F U B2
F2 D B U2 L U' B2
F2 D B' R' B2 U B2
R2 F' R2 B L U' B2
B' D' L2 R D' R F2
B' D' L2 R2 U' R U
B' D' L2 U' R' U R'
B' D' R L2 D' R F2
B' D' R2 L2 U' R U
B' D' R2 U' R U L2
B' D' U' R' U L2 R'
B' D' U' R' U R' L2
B D' U2 L R2 U' L
B D' U2 R2 L U' L
F2 D' B U2 L U' B2
F2 D' B' R' B2 U B2
U' F2 B L U F B2
U' F2 B L U B2 F
U2 F2 D2 B R' U B2
L' F2 B U2 L U' B'
B' D2 U F2 B2 L U'
B' D2 U B2 L F2 U'
B' D2 U B2 F2 L U'
U F2 B R' U F' B2
U F2 B R' U B2 F'
U' B L F2 U F' B2
U' B L F2 U B2 F'
R F2 B' R' B U B'
L2 B L2 F2 R U B'
B' D2 F2 B2 L U' B2
F2 D2 B U2 L U' B2
B' D2 B2 L F2 U' B2
F2 D2 B' R' B2 U B2
U B R' F2 U F B2
U B R' F2 U B2 F
B' D2 B2 F2 L U' B2
D2 B U2 L B U' B
D' B U2 L U' L B2
F2 B L U B2 D2 F2
D' B D L2 F2 R U
F2 B L' U B2 D F2
F2 B L' U2 L2 U' B2
F2 B L' D L2 U F2
F2 B L2 U2 L' U' B2
F2 B R U2 L U' B2
B' F R' F B2 U B2
B' F R' B2 F U B2
F2 B R' U2 L U' B2
U2 B F R F U B2
U' B F2 L U F B2
U' B F2 L U B2 F
F2 B R2 U2 L U' B2
L' B F2 U2 L U' B'
U' B' L D' R2 F L2
U' B' L D' F L2 R2
U' B' L D' F R2 L2
B' F U' R' F B2 U
B' F U' R' B2 F U
B' F U' F R' B2 U
F2 B U B2 U' R' U
U' B' L' D' L2 R2 F
U' B' L' D' L2 F R2
U' B' L' D' R2 L2 F
F2 B U2 L R U' B2
F2 B U2 L R' U' B2
F2 B U2 L R2 U' B2
F2 B U2 L U' B2 D
F2 B U2 L U' B2 D'
F2 B U2 L U' B2 D2
F2 B U2 L D' R2 U'
U B F2 R' U F' B2
U B F2 R' U B2 F'
F2 B U2 R L U' B2
F2 B U2 R' L U' B2
F2 B U2 R2 L U' B2
F2 B U2 D' L R2 U'
D' B' L2 R D' R2 F2
D' B' L2 R D' F2 R2
F2 B U2 D' R2 L U'
D' B' L2 U' R' B2 U
F2 B D L2 U2 L' U'
D' B' R L2 D' R2 F2
D' B' R L2 D' F2 R2
F2 B D' U2 L R2 U'
F2 B D' U2 R2 L U'
D B' R D' F2 L' R2
D B' R D' F2 R2 L'
D' B' R' B2 U L2 B2
D' B' R' B2 U B2 L2
U B' R D' L2 R2 F'
U B' R D' R2 L2 F'
U B' R D' R2 F' L2
F2 B' L R' B2 U B2
D B' R' B2 U L B2
U B' R' D' L2 F' R2
U B' R' D' F' L2 R2
U B' R' D' F' R2 L2
F2 B' L' R' B2 U B2
D' B' U' R' B2 U L2
R B' R' F2 B U B'
R B' R' B F2 U B'
F2 B' L2 R' B2 U B2
D B' U' R' B2 U L
F2 B' R B2 R2 U B2
U' B' D' L R2 F L
F2 B' R' L B2 U B2
U' B' D' L F L R2
U' B' D' L F R2 L
F2 B' R' L' B2 U B2
F2 B' R' L2 B2 U B2
U' B' D' R2 L F L
R B' U' R' F2 B U
R B' U' R' B F2 U
R B' U' F2 R' B U
F2 B' R' B2 L U B2
F2 B' R' B2 L' U B2
F2 B' R' B2 L2 U B2
F2 B' R' B2 U B2 D
F2 B' R' B2 U B2 D'
F2 B' R' B2 U B2 D2
F2 B' R' B2 D L2 U
F2 B' R2 B2 R U B2
F B' R' F B2 U B2
F B' R' B2 F U B2
U B' D' L2 R' F' R'
B' F' U' F' R' B2 U
U B' D' R' L2 F' R'
U B' D' R' F' L2 R'
U B' D' R' F' R' L2
F' B' U' F' R' B2 U
F B' U' R' F B2 U
F B' U' R' B2 F U
F B' U' F R' B2 U
R B' F2 R' B U B'
B' F2 L R' B2 U B2
B' F2 L' R' B2 U B2
B F2 L U B2 D2 F2
B' F2 L2 R' B2 U B2
B F2 L' U B2 D F2
B F2 L' U2 L2 U' B2
B F2 L' D L2 U F2
B' F2 R B2 R2 U B2
B F2 L2 U2 L' U' B2
B' F2 R' L B2 U B2
B' F2 R' L' B2 U B2
B' F2 R' L2 B2 U B2
B' F2 R' B2 L U B2
B' F2 R' B2 L' U B2
B' F2 R' B2 L2 U B2
B' F2 R' B2 U B2 D
B' F2 R' B2 U B2 D'
B' F2 R' B2 U B2 D2
B' F2 R' B2 D L2 U
B F2 R U2 L U' B2
B' F2 R2 B2 R U B2
B F2 R' U2 L U' B2
B F2 R2 U2 L U' B2
B F2 U B2 U' R' U
B F2 U2 L R U' B2
B F2 U2 L R' U' B2
B F2 U2 L R2 U' B2
B F2 U2 L U' B2 D
B F2 U2 L U' B2 D'
B F2 U2 L U' B2 D2
B F2 U2 L D' R2 U'
B F2 U2 R L U' B2
B F2 U2 R' L U' B2
B F2 U2 R2 L U' B2
B F2 U2 D' L R2 U'
B F2 U2 D' R2 L U'
B F2 D L2 U2 L' U'
B F2 D' U2 L R2 U'
B F2 D' U2 R2 L U'
