B2 L2 B' L' R' U'
B2 L2 B' R' L' U'
B R' U2 F R U
U2 R' D2 F L' U
U2 D' R' F U B
U2 D' F R' U B
D2 U2 R' F L' U
U2 D2 R' F L' U
D' U2 R' F U B
U2 D2 F L' R' U
D2 U2 F L' R' U
U2 D2 F R' L' U
D2 U2 F R' L' U
D' U2 F R' U B
U2 F D' R' U B
L B2 L B' R' U'
B2 L2 B2 L' B R' U'
B2 R L2 B' L' R' U'
B2 R L2 B' R' L' U'
D2 R U2 R2 F L' U
D' R U2 R2 F U B
D2 R U2 F L' R2 U
D2 R U2 F R2 L' U
D2 R F L' R2 B U
D2 R F R2 L' B U
D2 R F R2 B L' U
B R' L B L B' U'
F' R' L2 F2 B' L U
F' R' L2 B' L F2 U
F' R' L2 B' F2 L U
B2 R' L2 B' L' R' U'
B2 R' L2 B' R' L' U'
B R' L2 B L B2 U'
B R' L2 B' U2 R' U
B R' U' L D F L'
B R' U2 R F R U
B R' U2 R' F R U
B R' U2 R2 F R U
B R' U2 D F R U
B R' U2 D' F R U
B R' U2 D2 F R U
B R' U2 F R U D
B R' U2 F R U D'
B R' U2 F R U D2
B R' U2 F R D U
B R' U2 F R D' U
B R' U2 F R D2 U
B R' U2 F D R U
B R' U2 F D' R U
B R' U2 F D2 R U
U2 R' D F L U B'
B R' D U2 F R U
B R' D' U2 F R U
U2 R' D2 F L' U D
U2 R' D2 F L' U D'
U2 R' D2 F L' U D2
U2 R' D2 F L' D U
U2 R' D2 F L' D' U
U2 R' D2 F L' D2 U
D2 R' F L' U2 F' U'
U2 R' D2 F D L' U
U2 R' D2 F D' L' U
U2 R' D2 F D2 L' U
B R' D2 U2 F R U
D' R' F U2 F' U' B
U2 R' F D L U B'
U2 R' F B' L B U
R2 U2 R D2 F L' U
B R' B L2 B' L' U'
R U2 R2 D2 F L' U
B R' B' U2 R' F U
U2 R' B' F L B U
B R' B' U2 F R' U
F R' B' D2 L B' U
L' U2 D' R' F' U B
B R' B2 L2 B' L U'
R2 U2 D2 R F L' U
B2 R2 L2 B' L' R' U'
B2 R2 L2 B' R' L' U'
D2 R2 U2 R F L' U
U2 R2 D2 R F L' U
F2 R2 F2 L' B R' U'
F2 R2 F2 B L' R' U'
F2 R2 F2 B R' L' U'
F2 R2 B F2 L' R' U'
F R2 B R U D B2
F2 R2 B F2 R' L' U'
F R2 B R U2 R2 U'
F R2 B R D U B2
F R2 B R D2 L2 U
F R2 B' L R B2 U
F R2 B' L B2 R U
F R2 B' R L B2 U
U2 D R' D F L' U
U2 D R' F L U B'
U2 D F L R' U B'
L2 D B2 L B U' B2
U2 D F R' L U B'
U2 D F D2 R' U B
U2 D' L' R' U B L
L' D' U2 R' F' U B
U2 D' R' L' U B L
U2 D' R' D F U B
U2 D' R' D' F U B
U2 D' R' D2 F U B
U2 D' R' F L U B
U2 D' R' F L' U B
U2 D' R' F L2 U B
U2 D' R' F U D B
U2 D' R' F U D' B
U2 D' R' F U D2 B
U2 D' R' F U B D
U2 D' R' F U B D'
U2 D' R' F U B D2
U2 D' R' F D U B
U2 D' R' F D' U B
U2 D' R' F D2 U B
D2 U' F L' R' U R
U' D' F R' U B R
D' U' F R' U B R
D2 U' F R' L' U R
U2 D' F L R' U B
U2 D' F L' R' U B
U2 D' F L2 R' U B
U2 D' F R' L U B
U2 D' F R' L' U B
U2 D' F R' L2 U B
U2 D' F R' U D B
U2 D' F R' U D' B
U2 D' F R' U D2 B
U2 D' F R' U B D
U2 D' F R' U B D'
U2 D' F R' U B D2
U2 D' F R' D U B
U2 D' F R' D' U B
U2 D' F R' D2 U B
U2 D' F' R' F2 U B
D' U2 L' R' U B L
D2 U2 R F L' R2 U
D2 U2 R F R2 L' U
D' U2 R' L' U B L
U2 D2 R F L' R2 U
D' U2 R' D F U B
U2 D2 R F R2 L' U
D' U2 R' D' F U B
D' U2 R' D2 F U B
D' U2 R' F L U B
D' U2 R' F L' U B
D' U2 R' F L2 U B
D' U2 R' F U D B
D' U2 R' F U D' B
D' U2 R' F U D2 B
D' U2 R' F U B D
D' U2 R' F U B D'
D' U2 R' F U B D2
D' U2 R' F D U B
D' U2 R' F D' U B
D' U2 R' F D2 U B
D2 U2 R' F L' U D
D2 U2 R' F L' U D'
D2 U2 R' F L' U D2
D2 U2 R' F L' D U
D2 U2 R' F L' D' U
D2 U2 R' F L' D2 U
D2 U2 R' F D L' U
D2 U2 R' F D' L' U
D2 U2 R' F D2 L' U
U2 D2 R' F L' U D
U2 D2 R' F L' U D'
U2 D2 R' F L' U D2
U2 D2 R' F L' D U
U2 D2 R' F L' D' U
U2 D2 R' F L' D2 U
U2 D2 R' F D L' U
U2 D2 R' F D' L' U
U2 D2 R' F D2 L' U
D U2 R' D F L' U
D U2 R' F L U B'
D' U2 F L R' U B
U' D2 F L' R' U R
D' U2 F L' R' U B
D' U2 F L2 R' U B
R' D2 F L' U2 F' U'
D2 U2 F L' R' U D
D2 U2 F L' R' U D'
D2 U2 F L' R' U D2
D2 U2 F L' R' D U
D2 U2 F L' R' D' U
D2 U2 F L' R' D2 U
D2 U2 F L' D R' U
U' D2 F R' L' U R
D2 U2 F L' D' R' U
D' U2 F R' L U B
D' U2 F R' L' U B
D2 U2 F L' D2 R' U
D' U2 F R' L2 U B
D' U2 F R' U D B
D' U2 F R' U D' B
D' U2 F R' U D2 B
D' U2 F R' U B D
D' U2 F R' U B D'
D' U2 F R' U B D2
D' U2 F R' D U B
D' U2 F R' D' U B
D' U2 F R' D2 U B
D2 U2 F R' L' U D
D2 U2 F R' L' U D'
D2 U2 F R' L' U D2
D2 U2 F R' L' D U
D2 U2 F R' L' D' U
D2 U2 F R' L' D2 U
D2 U2 F R' D L' U
D2 U2 F R' D' L' U
D2 U2 F R' D2 L' U
R2 D2 U2 R F L' U
D2 U2 F D L' R' U
D2 U2 F D R' L' U
D2 U2 F D' L' R' U
U2 D2 F L' R' U D
U2 D2 F L' R' U D'
U2 D2 F L' R' U D2
U2 D2 F L' R' D U
U2 D2 F L' R' D' U
U2 D2 F L' R' D2 U
D2 U2 F D' R' L' U
U2 D2 F L' D R' U
U2 D2 F L' D' R' U
U2 D2 F L' D2 R' U
D2 U2 F D2 L' R' U
D2 U2 F D2 R' L' U
U2 D2 F R' L' U D
U2 D2 F R' L' U D'
U2 D2 F R' L' U D2
U2 D2 F R' L' D U
U2 D2 F R' L' D' U
U2 D2 F R' L' D2 U
U2 D2 F R' D L' U
U2 D2 F R' D' L' U
U2 D2 F R' D2 L' U
D' U2 F' R' F2 U B
D U2 F L R' U B'
U2 D2 F D L' R' U
U2 D2 F D R' L' U
U2 D2 F D' L' R' U
U2 D2 F D' R' L' U
U2 D2 F D2 L' R' U
U2 D2 F D2 R' L' U
D U2 F R' L U B'
D U2 F D2 R' U B
U2 F L D' R' U B
D2 F L' R2 B R U
U2 F L' D' R' U B
B2 U2 F U2 L R U'
B2 U2 F U2 R L U'
B U2 F R U D B2
B U2 F R U2 R2 U'
B U2 F R D U B2
B U2 F R D2 L2 U
U2 F L2 D' R' U B
D' F R' U D B R'
D' F R' D U B R'
U' F R' B' L U R
U' F R' B2 U R B
U2 F R' D L U B'
D2 F R2 L' B R U
U2 F R' B' L B U
D' F R2 B R U B
D2 F R2 B L' R U
D2 F R2 B R L' U
R F R2 B U2 R' U'
R F R2 B' L B2 U
R' F U2 D2 F' R U'
U2 F D L R' U B'
U2 F D R' L U B'
U' F D' R' U B R
B2 D L2 B' L' R' U'
U2 F D' L R' U B
B2 D L2 B' R' L' U'
U2 F D' L' R' U B
U2 F D' L2 R' U B
U2 F D' R' L U B
U2 F D' R' L' U B
U2 F D' R' L2 U B
U2 F D' R' U D B
U2 F D' R' U D' B
U2 F D' R' U D2 B
U2 F D' R' U B D
U2 F D' R' U B D'
U2 F D' R' U B D2
U2 F D' R' D U B
U2 F D' R' D' U B
U2 F D' R' D2 U B
R' F D2 U2 F' R U'
R' F B U2 F' R' U'
R' F B' L U2 F' U'
B D R' U2 F R U
U2 F B' L B R' U
R F B' L R2 B U
R F B' R2 L B U
R F B2 R2 B L U
R' F' L2 F2 B' L U
R' F' L2 B' L F2 U
R' F' L2 B' F2 L U
B2 D' L2 B' L' R' U'
B2 D' L2 B' R' L' U'
U2 F' D' R' U L2 B
U2 F' D' R' U B L2
B D' R' U2 F R U
F D' R' U D B R'
F D' R' D U B R'
F D' R2 B R U B
B2 D2 L2 B' L' R' U'
B2 D2 L2 B' R' L' U'
U2 F2 D' F' R' U B
B D2 R' U2 F R U
R' B R' U2 R F U
R2 B R' U2 R2 F U
R2 B R' U2 F R2 U
L2 B R' B L B U'
R2 B R' D2 L2 B' U'
R B R' U2 R' F U
L B R' B L B' U'
R B R' U2 F R' U
B' F L R2 B R' U
D2 B U2 F L' R U
D2 B U2 F R L' U
B' F R2 L B R' U
R' B F U2 F' R' U'
L B D2 R' B L U'
R B D2 L2 R' B' U'
R B D2 R' L2 B' U'
B F U2 F' L' R' U'
B F U2 F' R' L' U'
F B U2 F' L' R' U'
F B U2 F' R' L' U'
F B' L R2 B R' U
R2 B' U2 R F L U
R B' U2 R2 F L U
R B' U2 F L R2 U
R B' U2 F R2 L U
R' B' F L U2 F' U'
F B' R2 L B R' U
U2 B' F L B R' U
R B' F L R2 B U
R B' F R2 L B U
L2 B2 L B U2 L U
L2 B2 L B' R' B2 U'
D B2 L U' D' B' L
L' B2 L' B' L2 R' U'
L' B2 L' B' R' L2 U'
D B2 L D' U' B' L
L B2 L R B' R' U'
L B2 L R' B' R' U'
L B2 L R2 B' R' U'
L B2 L D B' R' U'
L B2 L D' B' R' U'
L B2 L D2 B' R' U'
L B2 L B' R' U' D
L B2 L B' R' U' D'
L B2 L B' R' U' D2
L B2 L B' R' D U'
L B2 L B' R' D' U'
L B2 L B' R' D2 U'
L B2 L B' D R' U'
L B2 L B' D' R' U'
L B2 L B' D2 R' U'
D B2 L2 B' L' U' B'
L B2 R L B' R' U'
L B2 R' L B' R' U'
L B2 R2 L B' R' U'
R B2 D2 L2 B' R' U'
R B2 F R2 B L U
