B' R2 U' R F'
B' L R2 U' R F'
B' L' R2 U' R F'
B' L2 R2 U' R F'
B' R2 L U' R F'
B' R2 L' U' R F'
B' R2 L2 U' R F'
B' R2 U' R D F'
B' R2 U' R D' F'
B' R2 U' R D2 F'
B' R2 U' R F' D
B' R2 U' R F' D'
B' R2 U' R F' D2
R2 D B' L U' R'
B D B2 L2 R' F'
B D B2 R' L2 F'
B D B2 R' F' L2
B' F R2 U' R F'
R2 B' U' R F' R2
F' B' R2 U' R F'
B' F' R2 U' R F'
F2 B' R2 U' R F'
F B' R2 U' R F'
B' F2 R2 U' R F'
B' R2 U' R' F' R2 F'
B' R2 U' R' F2 R2 F'
B' R2 U' R2 D R' F'
B' R2 U' R2 D' R' F'
B' R2 U' R2 D2 R' F'
B' R2 U' R2 F R' F'
B' R2 U' R2 F' R' F'
B' R2 U' R2 F2 R' F'
B' R2 U' F R F' R
B' R2 U' B R F' B'
B' R2 U' B R B' F'
B' R2 U' B2 R F' B2
B' R2 U' B2 R B2 F'
B' R2 U2 R' U R2 F'
B' R2 U2 B U R F'
B' R2 U2 B' U R F'
B' R2 U2 B2 U R F'
F' R2 D B' L U' R'
F2 R2 D B' L U' R'
F R2 D B' L U' R'
B' R2 D2 L' U' R F
B' R2 F U' R F' R
B' R2 F U' F' R F'
B' R2 F2 U' F2 R F'
U' R2 B L F B2 U'
U' R2 B L B2 F U'
F' R2 B' U' R F' R2
F2 R2 B' U' R F' R2
F R2 B' U' R F' R2
B R2 B2 U' R F' R2
D2 U L2 F R B U
R2 D F B' L U' R'
R2 D F' B' L U' R'
R2 D F2 B' L U' R'
R2 D B' L U' R' D
R2 D B' L U' R' D'
R2 D B' L U' R' D2
R2 D B' L U' D R'
R2 D B' L U' D' R'
R2 D B' L U' D2 R'
R2 D B' L D U' R'
R2 D B' L D' U' R'
R2 D B' L D2 U' R'
R2 D B' L F U' R'
R2 D B' L F' U' R'
R2 D B' L F2 U' R'
R2 D B' D L U' R'
R2 D B' D' L U' R'
R2 D B' D2 L U' R'
R2 D B' F L U' R'
R2 D B' F' L U' R'
R2 D B' F2 L U' R'
B U R2 B2 U' R' F'
D U B' U' B' R' F'
U D B' U' B' R' F'
R2 D' F B' L' U' R'
B' U' R' U R' U' F'
R2 D' F2 B' U' R' F'
R2 D' B' F L' U' R'
R2 D' B' F2 U' R' F'
B2 U' B L R2 U' R
B2 U' B R2 L U' R
U D2 L2 F R B U
R2 D2 B' L' U' R' F
R2 D2 B' L' U' F R'
R' F R' B' U' R' F2
R' F R' B' U' F2 R'
B D L U2 L F B2
B D L U2 L B2 F
B' D R U' R2 F' B2
B' D R U' R2 B2 F'
R2 F D B' L U' R'
B' D R' F' B2 D L2
B' D R' B2 D L2 F'
B' D R' B2 D F' L2
B' D R' B2 F' D L2
B' D R2 U' R F' B2
B' D R2 U' R B2 F'
B D R B2 L2 R' F
B D R B2 L2 F R'
B D R B2 R' L2 F
B' D R2 U' B2 R F'
B D R' F' B2 L2 R'
B D R' F' B2 R' L2
B D R' B2 L2 F' R'
B D R' B2 F' L2 R'
B D R' B2 F' R' L2
R2 F B' U' R F' R2
B D F B2 L2 R' F'
B D F B2 R' L2 F'
B D F B2 R' F' L2
B D F' B2 L2 R' F'
B D F' B2 R' L2 F'
B D F' B2 R' F' L2
B D F2 B2 L2 R' F'
B D F2 B2 R' L2 F'
B D F2 B2 R' F' L2
B D B L2 B R' F'
R' F' U R' F' B' U'
R' F' U R' B' F' U'
B D B2 L R' F' L
B D B2 L2 R' D F'
B D B2 L2 R' D' F'
B D B2 L2 R' D2 F'
B D B2 L2 R' F' D
B D B2 L2 R' F' D'
B D B2 L2 R' F' D2
B D B2 L2 D R' F'
B D B2 L2 D' R' F'
B D B2 L2 D2 R' F'
B D B2 L2 F R' F'
B D B2 L2 F' R' F'
B D B2 L2 F2 R' F'
B D B2 R' L F' L
B D B2 R' L2 D F'
B D B2 R' L2 D' F'
B D B2 R' L2 D2 F'
B D B2 R' L2 F' D
B D B2 R' L2 F' D'
B D B2 R' L2 F' D2
B D B2 R' F L2 F2
B D B2 R' F' L2 D
B D B2 R' F' L2 D'
B D B2 R' F' L2 D2
B D B2 F L2 R' F'
B D B2 F R' L2 F'
B D B2 F R' F' L2
B D B2 F' L2 R' F'
B D B2 F' R' L2 F'
B D B2 F' R' F' L2
B D B2 F2 L2 R' F'
B D B2 F2 R' L2 F'
B D B2 F2 R' F' L2
R2 F' D B' L U' R'
R2 F' B' U' R F' R2
R' F2 R' B' U' R' F
R' F2 R' B' U' F R'
R2 F2 D B' L U' R'
U' B L R2 F B2 U'
U' B L R2 B2 F U'
R2 F2 B' U' R F' R2
U' B L F R2 B2 U'
U' B L F B2 R2 U'
U' B L B2 R2 F U'
U' B L B2 F R2 U'
R B L U' R B2 U'
R B L U' B2 R U'
U' B R2 L F B2 U'
U' B R2 L B2 F U'
B' F L R2 U' R F'
B' F L' R2 U' R F'
B' F L2 R2 U' R F'
R B U' R B2 U' R'
R B U' B2 R U' R2
B' F R2 L U' R F'
B' F R2 L' U' R F'
B' F R2 L2 U' R F'
B' F R2 U' R D F'
B' F R2 U' R D' F'
B' F R2 U' R D2 F'
B' F R2 U' R F' D
B' F R2 U' R F' D'
B' F R2 U' R F' D2
R2 B' L U' R F' R2
R2 B' L' U' R F' R2
F' B D B2 L2 R' F'
F' B D B2 R' L2 F'
F' B D B2 R' F' L2
F2 B D B2 L2 R' F'
F2 B D B2 R' L2 F'
F2 B D B2 R' F' L2
R2 B' L2 U' R F' R2
B F D B2 L2 R' F'
B F D B2 R' L2 F'
B F D B2 R' F' L2
D B' R U' R2 F' B'
D B' R U' R2 B' F'
F B D B2 L2 R' F'
F B D B2 R' L2 F'
F B D B2 R' F' L2
U' B' R2 U2 R B U
B' F' L R2 U' R F'
F' B' L R2 U' R F'
F2 B' L R2 U' R F'
R B' R U B2 U2 R2
R B' R U' R2 D2 F2
B' F' L' R2 U' R F'
F' B' L' R2 U' R F'
F2 B' L' R2 U' R F'
D B' R2 U' R F' B'
D B' R2 U' R B' F'
D B' R2 U' B' R F'
U B' R' F' L' R' U'
U B' R' F' R' L' U'
B' F' L2 R2 U' R F'
F B' L R2 U' R F'
F' B' L2 R2 U' R F'
R' B' U' D' F' R' B
L B' R2 U' R F' L'
R' B' U' F' D' R' B
F2 B' L2 R2 U' R F'
F B' L' R2 U' R F'
R2 B' U' R F R2 F2
R2 B' U' R F' R2 D
R2 B' U' R F' R2 D'
R2 B' U' R F' R2 D2
R2 B' U' R F2 R2 F
R2 B' U' R' U2 B U2
R2 B' U' F R F' R2
R2 B' U' F' R F' R2
R2 B' U' F2 R F' R2
F B' L2 R2 U' R F'
D' B' D R2 U' R F'
R2 B' U2 R U F' R2
B' F' R2 L U' R F'
B' F' R2 L' U' R F'
B' F' R2 L2 U' R F'
B' F' R2 U' R D F'
B' F' R2 U' R D' F'
B' F' R2 U' R D2 F'
B' F' R2 U' R F' D
B' F' R2 U' R F' D'
B' F' R2 U' R F' D2
F' B' R2 L U' R F'
F' B' R2 L' U' R F'
F' B' R2 L2 U' R F'
R' B' D' U' F' R' B
F' B' R2 U' R D F'
F' B' R2 U' R D' F'
F' B' R2 U' R D2 F'
F' B' R2 U' R F' D
F' B' R2 U' R F' D'
F' B' R2 U' R F' D2
F2 B' R2 L U' R F'
F2 B' R2 L' U' R F'
F2 B' R2 L2 U' R F'
F2 B' R2 U' R D F'
F2 B' R2 U' R D' F'
F2 B' R2 U' R D2 F'
F2 B' R2 U' R F' D
F2 B' R2 U' R F' D'
F2 B' R2 U' R F' D2
D2 B' D2 R2 U' R F'
R B' D L2 R U' R2
R B' D R L2 U' R2
R2 B' D' F L' U' R'
F B' R2 L U' R F'
F B' R2 L' U' R F'
R2 B' D' F2 U' R' F'
F B' R2 L2 U' R F'
F B' R2 U' R D F'
F B' R2 U' R D' F'
F B' R2 U' R D2 F'
F B' R2 U' R F' D
F B' R2 U' R F' D'
F B' R2 U' R F' D2
R2 B' D2 L' U' R' F
R2 B' D2 L' U' F R'
R2 B' F U' R F' R2
R B' D2 R U' R2 F2
R B' D2 R U' F2 R2
R2 B' F' U' R F' R2
R2 B' F2 U' R F' R2
B F' D B2 L2 R' F'
B F' D B2 R' L2 F'
B F' D B2 R' F' L2
B' F2 L R2 U' R F'
B' F2 L' R2 U' R F'
B' F2 L2 R2 U' R F'
B' F2 R2 L U' R F'
B' F2 R2 L' U' R F'
B' F2 R2 L2 U' R F'
B' F2 R2 U' R D F'
B' F2 R2 U' R D' F'
B' F2 R2 U' R D2 F'
B' F2 R2 U' R F' D
B' F2 R2 U' R F' D'
B' F2 R2 U' R F' D2
D B2 U B U' R' F'
B F2 D B2 L2 R' F'
B F2 D B2 R' L2 F'
B F2 D B2 R' F' L2
