B L' R' F L' U'
B L' F L' R' U'
B L' F R' L' U'
F L' F B R' U'
F L' B R' F U'
F L' B F R' U'
B R' L' F L' U'
B R' F L' F U'
L' F L' B R' U'
L' F B L' R' U'
L' F B R' L' U'
L' B R' F L' U'
L' B F L' R' U'
L' B F R' L' U'
B F L' R' F U'
F B L' R' F U'
B F L' F R' U'
F B L' F R' U'
B F R' L' F U'
F B R' L' F U'
L' F L' B R' U' D
L' F L' B R' U' D'
L' F L' B R' U' D2
L' F L' B R' D U'
L' F L' B R' D' U'
L' F L' B R' D2 U'
L' F L' B D R' U'
L' F L' B D' R' U'
L' F L' B D2 R' U'
U2 F L' F B R' U'
U2 F L' B R' F U'
U2 F L' B F R' U'
U F L' F B R' U'
U F L' B R' F U'
U F L' B F R' U'
F U2 B L' R' F U'
F U2 B L' F R' U'
F U2 B R' L' F U'
U' F B L' R' F U'
U' F B L' F R' U'
U' F B R' L' F U'
L' F B L' R' U' D
L' F B L' R' U' D'
L' F B L' R' U' D2
L' F B L' R' D U'
L' F B L' R' D' U'
L' F B L' R' D2 U'
L' F B L' D R' U'
L' F B L' D' R' U'
L' F B L' D2 R' U'
L' F B R' L' U' D
L' F B R' L' U' D'
L' F B R' L' U' D2
L' F B R' L' D U'
L' F B R' L' D' U'
L' F B R' L' D2 U'
L' F B R' D L' U'
L' F B R' D' L' U'
L' F B R' D2 L' U'
U2 F B L' R' F U'
L' F B D L' R' U'
L' F B D R' L' U'
U2 F B L' F R' U'
L' F B D' L' R' U'
L' F B D' R' L' U'
L' F B D2 L' R' U'
L' F B D2 R' L' U'
U2 F B R' L' F U'
B D R' U' R2 F' R
U F B L' R' F U'
U F B L' F R' U'
U F B R' L' F U'
R2 F' L R B' L U
R2 F' L B' L R U
R2 F' L B' R L U
B D F' R' U' R2 F'
R2 F' R L B' L U
R2 F' R B' L B' U
F D' L' B U' R' B
R2 F' B' L R B' U
R2 F' B' L B' R U
R2 F' B' R L B' U
F2 D' B U' R' F' B
F2 D' B U' R' B F'
F D' B L' U' R' B
B D2 R' U2 B R' U
U' B L' R' F L' U'
L2 B L R' F L' U'
D' B L' U' R' F B
D' B L' U' R' B F
U' B L' F L' R' U'
U' B L' F R' L' U'
D' B L' U' F R' B
L2 B L F L' R' U'
L2 B L F R' L' U'
U2 B L' R' F L' U'
U2 B L' F L' R' U'
U2 B L' F R' L' U'
U B L' R' F L' U'
U B L' F L' R' U'
U B L' F R' L' U'
L' B R F L' R2 U'
L' B R F R2 L' U'
U' B R' L' F L' U'
U' B R' F L' F U'
L' B R' F L' U' D
L' B R' F L' U' D'
L' B R' F L' U' D2
L' B R' F L' D U'
L' B R' F L' D' U'
L' B R' F L' D2 U'
L' B R' F D L' U'
L' B R' F D' L' U'
L' B R' F D2 L' U'
L2 B R' L F L' U'
U2 B R' L' F L' U'
U2 B R' F L' F U'
U B R' L' F L' U'
U B R' F L' F U'
B F L' R F R2 U'
B F L' R' D F U'
B F L' R' D' F U'
B F L' R' D2 F U'
B F L' R' F U' D
B F L' R' F U' D'
B F L' R' F U' D2
B F L' R' F D U'
B F L' R' F D' U'
B F L' R' F D2 U'
B F L' D R' F U'
B F L' D F R' U'
B F L' D' R' F U'
B F L' D' F R' U'
B F L' D2 R' F U'
F B L' R F R2 U'
B F L' D2 F R' U'
F B L' R' D F U'
F B L' R' D' F U'
F B L' R' D2 F U'
F B L' R' F U' D
F B L' R' F U' D'
F B L' R' F U' D2
F B L' R' F D U'
B F L' F R' U' D
B F L' F R' U' D'
B F L' F R' U' D2
F B L' R' F D' U'
F B L' R' F D2 U'
B F L' F R' D U'
B F L' F R' D' U'
B F L' F R' D2 U'
B F L' F D R' U'
B F L' F D' R' U'
B F L' F D2 R' U'
B F L' F' R' F2 U'
F B L' D R' F U'
F B L' D F R' U'
F B L' D' R' F U'
F B L' D' F R' U'
F B L' D2 R' F U'
F B L' D2 F R' U'
F B L' F R' U' D
F B L' F R' U' D'
F B L' F R' U' D2
F B L' F R' D U'
F B L' F R' D' U'
F B L' F R' D2 U'
F B L' F D R' U'
F B L' F D' R' U'
F B L' F D2 R' U'
F B L' F' R' F2 U'
U' B F L' R' F U'
U' B F L' F R' U'
U' B F R' L' F U'
B F R L' F R2 U'
L' B F L' R' U' D
L' B F L' R' U' D'
L' B F L' R' U' D2
L' B F L' R' D U'
L' B F L' R' D' U'
L' B F L' R' D2 U'
L' B F L' D R' U'
L' B F L' D' R' U'
L' B F L' D2 R' U'
L' B F R' L' U' D
L' B F R' L' U' D'
L' B F R' L' U' D2
L' B F R' L' D U'
L' B F R' L' D' U'
L' B F R' L' D2 U'
L' B F R' D L' U'
L' B F R' D' L' U'
L' B F R' D2 L' U'
F B R L' F R2 U'
F2 B R' F' L' F U'
L' B F D L' R' U'
L' B F D R' L' U'
L' B F D' L' R' U'
L' B F D' R' L' U'
U2 B F L' R' F U'
L' B F D2 L' R' U'
U2 B F L' F R' U'
L' B F D2 R' L' U'
B F R' L' D F U'
B F R' L' D' F U'
B F R' L' D2 F U'
B F R' L' F U' D
B F R' L' F U' D'
B F R' L' F U' D2
B F R' L' F D U'
B F R' L' F D' U'
B F R' L' F D2 U'
U2 B F R' L' F U'
F B R' L' D F U'
F B R' L' D' F U'
F B R' L' D2 F U'
F B R' L' F U' D
F B R' L' F U' D'
F B R' L' F U' D2
F B R' L' F D U'
F B R' L' F D' U'
F B R' L' F D2 U'
U B F L' R' F U'
U B F L' F R' U'
U B F R' L' F U'
R2 B' L F' R B' U
R2 B' L F' B' R U
R2 B' L B' F' R U
R2 B' F' L R B' U
R2 B' F' L B' R U
R2 B' F' R L B' U
B F2 R' F' L' F U'
