F L' R2 U' R' F
F L' R2 U' F R'
R2 L' F' U' F2 R
R2 L' F2 U' F' R
L' R2 F' U' F2 R
L' R2 F2 U' F' R
F' R2 U L' U2 F
F R2 L' U' R' F
F R2 L' U' F R'
R2 D F L' U' R
R2 D2 F U' R F'
R2 F L' U' R F
D F L' U' R B2
D F L' U' B2 R
R2 F U' D2 R F'
R2 F D2 U' R F'
L' F' R2 U' F2 R
R2 F' U L' U2 F
R2 L' F' U' R2 F2 R
R2 L' F' U' F2 R D
R2 L' F' U' F2 R D'
R2 L' F' U' F2 R D2
R2 L' F' U' F2 D R
R2 L' F' U' F2 D' R
R2 L' F' U' F2 D2 R
R L' F' U' F2 R B
R2 L' F2 L U' F' R
R2 L' F2 L' U' F' R
R2 L' F2 L2 U' F' R
R2 L' F2 U' F' R D
R2 L' F2 U' F' R D'
R2 L' F2 U' F' R D2
R2 L' F2 U' F' D R
R2 L' F2 U' F' D' R
R2 L' F2 U' F' D2 R
B2 L' D F L2 R B2
B2 L' D F L2 B2 R
B2 L' D F R L2 B2
B2 L' D F R B2 L2
F L' D U' R F B2
F L' D U' R B2 F
B2 L' D F B2 L2 R
B2 L' D F B2 R L2
F L' D U' B2 R F
B L' D F L' R B2
B L' D F L' B2 R
B L' D F R L' B2
B L' D F R B2 L'
B L' D F B2 L' R
B L' D F B2 R L'
B2 L' D B2 F L2 R
B2 L' D B2 F R L2
B L' D B2 F L' R
B L' D B2 F R L'
D L' F L' U' R B2
D L' F L' U' B2 R
D2 L' F U' R F' B
D2 L' F U' R B F'
B2 L' F D L2 R B2
B2 L' F D L2 B2 R
B2 L' F D R L2 B2
B2 L' F D R B2 L2
B2 L' F D B2 L2 R
B2 L' F D B2 R L2
F2 L' F' R2 U' R' F2
F2 L' F' R2 U' F2 R'
L' R2 U' R' F D R2
D2 L' F2 R U' F' R
L' R2 U2 B' U R' F
L' R2 U2 B' U F R'
L' R2 D F' U' F2 R
L' R2 D F2 U' F' R
L' R2 D' F' U' F2 R
L' R2 D' F2 U' F' R
L' R2 D2 F' U' F2 R
L' R2 D2 F2 U' F' R
L2 R2 F L U' R F
R2 L2 F L U' R F
L R2 F L2 U' R F
L R2 F U B' U2 R
L' R2 F' U L' U2 F2
L' R2 F' U' R F2 R
L' R2 F' U' R' F2 R
L' R2 F' U' R2 F2 R
L' R2 F' U' F2 R D
L' R2 F' U' F2 R D'
L' R2 F' U' F2 R D2
L' R2 F' U' F2 D R
L' R2 F' U' F2 D' R
L' R2 F' U' F2 D2 R
L R2 F' U B' L' U2
L' R2 F2 L U' F' R
L' R2 F2 L' U' F' R
L' R2 F2 L2 U' F' R
L' R2 F2 U' F' R D
L' R2 F2 U' F' R D'
L' R2 F2 U' F' R D2
L' R2 F2 U' F' D R
L' R2 F2 U' F' D' R
L' R2 F2 U' F' D2 R
R2 U L B' U' F U'
R2 U L' U B' U F
D L2 F L' U' R B2
D L2 F L' U' B2 R
F R D2 R U' F' R'
D R F L' U' R B2
D R F L' U' B2 R
D R' F L' U' R B2
D R' F L' U' B2 R
F' R2 L U L2 U2 F
F' R2 L U B' L2 U2
F2 R2 L' U' F' R F2
F2 R2 L' F' U' R F2
F R2 L' U' R F R2
F R2 L' U' R' D F
F R2 L' U' R' D' F
F R2 L' U' R' D2 F
F R2 L' U' R' F D
F R2 L' U' R' F D'
F R2 L' U' R' F D2
F R2 L' U' D R' F
F R2 L' U' D F R'
F R2 L' U' D' R' F
F R2 L' U' D' F R'
F R2 L' U' D2 R' F
F R2 L' U' D2 F R'
F R2 L' U' F R' D
F R2 L' U' F R' D'
F R2 L' U' F R' D2
F R2 L' U' F D R'
F R2 L' U' F D' R'
F R2 L' U' F D2 R'
F R2 L' U' F' R' F2
F R2 L' D U' R' F
F R2 L' D U' F R'
F R2 L' D' U' R' F
F R2 L' D' U' F R'
F R2 L' D2 U' R' F
F R2 L' D2 U' F R'
F R2 L' F' U' R' F2
F R2 L' F' U' F2 R'
F R2 L' F2 U' F' R'
F' R2 U L B' L2 U2
F' R2 U L' U2 D F
F' R2 U L' U2 D' F
F' R2 U L' U2 D2 F
F' R2 U L' U2 F D
F' R2 U L' U2 F D'
F' R2 U L' U2 F D2
F' R2 U L' D U2 F
F' R2 U L' D' U2 F
F' R2 U L' D2 U2 F
F' R2 U L' B U2 F
F' R2 U L' B' U2 F
F' R2 U L' B2 U2 F
F' R2 U B L' U2 F
F' R2 U B' L' U2 F
F' R2 U B2 L' U2 F
F R2 U L' U2 R' F
F R2 U L' U2 F R'
F R2 U L2 U2 R' F'
F' R2 U' D2 F2 R F'
F' R2 U' F2 D2 R F'
F R2 U B2 L B' U2
F2 R2 U' F' D2 R F'
F R2 U' L' R' F L
F R2 U' L' F L R'
F R2 U' L' F R' L
F R2 U' R' L' F L
F R2 U' R2 D2 R F'
F R2 U' D2 R F' R2
R2 U2 B U' L B' U2
F R2 D F L' U' R'
F R2 D F2 U' R' F'
F' R2 D2 U' F2 R F'
R2 D L F L' U' R
F' R2 D2 F2 U' R F'
F R2 D2 U' R F' R2
R2 D L' F L' U' R
F2 R2 F U L' U2 F
D R2 F L' U' R B2
D R2 F L' U' B2 R
F R2 F L' U' R' F
F R2 F L' U' F R'
F2 R2 F' L' U' R F
R2 D L2 F L' U' R
F2 R2 F' U' D2 R F'
F2 R2 F' D2 U' R F'
F' R2 F2 L' U' R F
F R2 F' L' U' R' F
F R2 F' L' U' F R'
F' R2 F2 U' D2 R F'
F' R2 F2 D2 U' R F'
R' D R' F L' U' R
F R2 F2 L' U' R' F
F R2 F2 L' U' F R'
R D R F L' U' R
R' D F L' R' U' R2
R' D F R' L' U' R2
F' U L' U' R2 U' F
L' D F R B2 D L2
F' U L' U2 D F B2
F' U L' U2 D B2 F
F' U L' U2 F D B2
F' U L' D U2 F B2
F' U L' D U2 B2 F
F' U L' D' F2 U2 F'
R2 D F L' U' R D
R2 D F L' U' R D'
R2 D F L' U' R D2
R2 D F L' U' D R
R2 D F L' U' D' R
R2 D F L' U' D2 R
R2 D F L' D U' R
R2 D F L' D' U' R
R2 D F L' D2 U' R
L' D F B2 R D L2
L' D F B2 D L2 R
L' D F B2 D R L2
R2 D F D L' U' R
R2 D F D' L' U' R
R2 D F D2 L' U' R
L' D F' U' F2 R B2
L' D F' U' F2 B2 R
L' D F' U' B2 F2 R
L' D F2 U' F' R B2
L' D F2 U' F' B2 R
L' D F2 U' B2 F' R
R2 D F2 U' R' F' R
L' D B2 D F L2 R
L' D B2 D F R L2
L' D B2 F R D L2
L' D B2 F D L2 R
L' D B2 F D R L2
R2 D' F U' D' R F'
R2 D' F D' U' R F'
F U' D B2 D R F'
R2 D2 L F U' R F'
F U' D2 R D' F' B2
F U' D2 R D' B2 F'
F U' D2 R F' D' B2
R2 D2 L' F U' R F'
R2 D2 L2 F U' R F'
R D2 R F U' R F2
R' D2 F R' U' R2 F'
R2 D2 F L U' R F'
R2 D2 F L' U' R F'
R2 D2 F L2 U' R F'
R2 D2 F U' R D F'
R2 D2 F U' R D' F'
R2 D2 F U' R D2 F'
R2 D2 F U' R F' D
R2 D2 F U' R F' D'
R2 D2 F U' R F' D2
R2 D2 F' U' F2 R F'
R2 D2 F2 U' R F' R
R2 D2 F2 U' F' R F'
L2 F L R2 U' R' F
L2 F L R2 U' F R'
R' F L' R' U' R2 F
R' F L' R' U' F R2
R2 F L U B' U2 R
R2 F L' U' R D F
R2 F L' U' R D' F
R2 F L' U' R D2 F
R2 F L' U' R F D
R2 F L' U' R F D'
R2 F L' U' R F D2
R2 F L' U' R' F R2
R2 F L' U' R2 F R'
R2 F L' U' D R F
R2 F L' U' D' R F
R2 F L' U' D2 R F
D F L' R' U' R2 B2
D F L' R' U' B2 R2
D F L' R2 U' R' B2
R2 F L' D U' R F
F U2 D2 L2 U R F'
R2 F L' D' U' R F
D F L' U' R B2 D
D F L' U' R B2 D'
D F L' U' R B2 D2
D F L' U' R' B2 R2
D F L' U' B' R B'
D F L' U' B2 R D
D F L' U' B2 R D'
D F L' U' B2 R D2
D F L' U' B2 D R
D F L' U' B2 D' R
D F L' U' B2 D2 R
R2 F L' D2 U' R F
D F L' D' R2 U' R'
L F L2 R2 U' R' F
L F L2 R2 U' F R'
R' F R' L' U' R2 F
R' F R' L' U' F R2
D F R' L' U' R2 B2
D F R' L' U' B2 R2
L2 F R2 L U' R' F
L2 F R2 L U' F R'
L' F R2 F U' F' R'
L' F R2 F' U' R' F
L' F R2 F' U' F R'
L' F R2 F2 U' R' F2
L' F R2 F2 U' F2 R'
D F R2 L' U' R' B2
L F R2 L2 U' R' F
L F R2 L2 U' F R'
R2 F U L B' U2 R
R2 F U L' U2 R F
D2 F U' R D' F' B2
D2 F U' R D' B2 F'
D2 F U' R F' D' B2
R2 F U' L' R F L
D2 F U2 L2 U R F'
R2 F U' R L' F L
R2 F U' D2 R D F'
R2 F U' D2 R D' F'
R2 F U' D2 R D2 F'
R2 F U' D2 R F' D
R2 F U' D2 R F' D'
R2 F U' D2 R F' D2
L' F D R B2 D L2
L' F D B2 R D L2
L' F D B2 D L2 R
L' F D B2 D R L2
R' F D2 R' U' R2 F'
D F D' L' R2 U' R'
D F D' R2 L' U' R'
R2 F D2 L U' R F'
R2 F D2 L' U' R F'
R2 F D2 L2 U' R F'
R2 F D2 U' R D F'
R2 F D2 U' R D' F'
R2 F D2 U' R D2 F'
R2 F D2 U' R F' D
R2 F D2 U' R F' D'
R2 F D2 U' R F' D2
L' F B2 D L2 R B2
L' F B2 D L2 B2 R
L' F B2 D R L2 B2
L' F B2 D R B2 L2
L' F B2 D B2 L2 R
L' F B2 D B2 R L2
R2 F' L U L2 U2 F
R2 F' L U B' L2 U2
F D U' B2 D R F'
R' F' R' U L' U2 F
L' F' R2 U L' U2 F2
L' F' R2 U' R F2 R
L' F' R2 U' R' F2 R
L' F' R2 U' R2 F2 R
L' F' R2 U' F2 R D
L' F' R2 U' F2 R D'
L' F' R2 U' F2 R D2
L' F' R2 U' F2 D R
L' F' R2 U' F2 D' R
L' F' R2 U' F2 D2 R
L' F' R2 F' U' F' R
L F' R2 U B' L' U2
R2 F' U L B' L2 U2
R2 F' U L' U2 D F
R2 F' U L' U2 D' F
R2 F' U L' U2 D2 F
R2 F' U L' U2 F D
R2 F' U L' U2 F D'
R2 F' U L' U2 F D2
R2 F' U L' D U2 F
R2 F' U L' D' U2 F
R2 F' U L' D2 U2 F
R2 F' U L' B U2 F
R2 F' U L' B' U2 F
R2 F' U L' B2 U2 F
R2 F' U B L' U2 F
L' F' U' F2 D R B2
L' F' U' F2 D B2 R
R2 F' U B' L' U2 F
R2 F' U B2 L' U2 F
R F' U L' U2 F B'
R F' U L' U2 B' F
R2 F' U' D2 F2 R F'
R2 F' U' F2 D2 R F'
F D B2 D L2 R F'
F D B2 D R L2 F'
F D B2 D R F' L2
R2 F' D2 U' F2 R F'
R2 F' D2 F2 U' R F'
R2 F2 L' U' F' R F2
R2 F2 L' F' U' R F2
L' F2 R2 U' R2 F' R
L' F2 U' F' D R B2
L' F2 U' F' D B2 R
D F2 U' R' F' R B2
D F2 U' R' F' B2 R
D F2 U' R' B2 F' R
R2 F2 U' F' D2 R F'
D F2 U' B2 R' F' R
B D2 L2 F U R F'
F D2 U' R D' F' B2
F D2 U' R D' B2 F'
F D2 U' R F' D' B2
D2 B L2 F U R F'
F D2 U2 L2 U R F'
L' B2 D F L2 R B2
L' B2 D F L2 B2 R
L' B2 D F R L2 B2
L' B2 D F R B2 L2
L' B2 D F B2 L2 R
L' B2 D F B2 R L2
L' B2 D B2 F L2 R
L' B2 D B2 F R L2
D B2 D L2 F R F'
D B2 D F L2 R F'
D B2 D F R L2 F'
D B2 D F R F' L2
L B2 D B2 L2 F R
L' B2 F D L2 R B2
L' B2 F D L2 B2 R
L' B2 F D R L2 B2
L' B2 F D R B2 L2
L' B2 F D B2 L2 R
L' B2 F D B2 R L2
