R2 L' F U' F' L'
L' R2 F U' F' L'
L2 U R2 B' U' R'
L2 U B' R2 U' R
F U D F' R B2
F U D F' B2 R
F U D B2 F' R
F D U F' R B2
F D U F' B2 R
F D U B2 F' R
L' F U' D F' B2 L'
L' F U' D B2 F' L'
L' F U' F' L' D B2
L' F U' F' D L' B2
L' F U' F' D B2 L'
D F U F2 R F B2
D F U F2 R B2 F
D F U F2 B2 R F
D F U B2 F2 R F
D F U' L' U2 F' B2
D F U' L' U2 B2 F'
F D L U F' R B2
F D L U F' B2 R
F D L U B2 F' R
L' F D U' F' L' B2
L' F D U' F' B2 L'
L' F D U' B2 F' L'
F D L' U F' R B2
F D L' U F' B2 R
F D L' U B2 F' R
D2 F D' U F' R B2
D2 F D' U F' B2 R
D2 F D' U B2 F' R
F D L2 U F' R B2
F D L2 U F' B2 R
F D L2 U B2 F' R
R' F B2 L B' U F'
F D U F' R B2 D
F D U F' R B2 D'
F D U F' R B2 D2
F D U F' R' B2 R2
F D U F' B' R B'
F D U F' B2 R D
F D U F' B2 R D'
F D U F' B2 R D2
F D U F' B2 D R
F D U F' B2 D' R
F D U F' B2 D2 R
F D U B' F' R B'
F D U B2 F' R D
F D U B2 F' R D'
F D U B2 F' R D2
F D U B2 F' D R
F D U B2 F' D' R
F D U B2 F' D2 R
F D U' F' R B2 L
F' D F' R F2 L' B2
F' D F' R F2 B2 L'
F' D F' R B2 F2 L'
F2 D F' R2 U R' B2
F' D F' B2 R F2 L'
D F' R B2 D' F L2
L' F' R2 F2 U' F' L'
L2 F' R2 B' U' F R
F D B U F' B R
F D B U B F' R
F' D B2 F' R F2 L'
F D B' U F' R B'
F D B' U F' B' R
F D B' U B' F' R
D2 F' D' F L2 B2 R'
L2 F' B' R2 U' F R
D F' B2 R D' F L2
D F' B2 D' R F L2
F D' U F' R2 B R'
F' D' F L2 B R' B2
F' D' F B L2 R' B'
F' D' F B R' L2 B'
F' D' F B2 L2 B' R'
F' D' B R' F L2 B'
F' D' B F L2 R' B'
F' D' B F R' L2 B'
U F2 R2 D' B U' R'
F' D' B2 F L2 B' R'
U' F2 D F' U R B2
U' F2 D F' U B2 R
F D2 L2 U D' F' R
F D2 L2 D' U F' R
R2 B L' F U' F' L'
L' B R2 F U' F' L'
B' F U D F' R B2
B' F U D F' B2 R
B' F U D B2 F' R
B2 F U D F' R B2
B2 F U D F' B2 R
B2 F U D B2 F' R
B F U D F' R B2
B F U D F' B2 R
B F U D B2 F' R
L2 B' L R2 F U' F'
F B U D F' R B2
F B U D F' B2 R
F B U D B2 F' R
B' F D U F' R B2
B' F D U F' B2 R
B' F D U B2 F' R
B2 F D U F' R B2
B2 F D U F' B2 R
B2 F D U B2 F' R
R2 B' L' F U' F' L'
B F D U F' R B2
B F D U F' B2 R
B F D U B2 F' R
F B D U F' R B2
F B D U F' B2 R
F B D U B2 F' R
L' B' R2 F U' F' L'
L2 B' R2 L F U' F'
L2 B' R2 F' U' F R
F B' U D F' R B2
F B' U D F' B2 R
F B' U D B2 F' R
L2 B' F' R2 U' F R
F B' D U F' R B2
F B' D U F' B2 R
F B' D U B2 F' R
R2 B2 L' F U' F' L'
L' B2 R2 F U' F' L'
R' B2 U' F L B' U
D B2 U' F U' L' U2
F B2 U D F' R B2
F B2 U D F' B2 R
F B2 U D B2 F' R
R' B2 F L B' U F'
F B2 D U F' R B2
F B2 D U F' B2 R
F B2 D U B2 F' R
D B2 F' R D' F L2
D B2 F' D' R F L2
