U' R B' U2 R'
U' B' R U2 R2
U' L2 R U2 F R
U L2 F2 L' F' R
U' R L2 U2 F R
B' R U B U B'
U' R D B' U2 R'
U' R D B' U2 R'
U' R D' B' U2 R'
U' R D2 B' U2 R'
U' R B L B2 U2
U' R B' L U2 R'
U' R B' L' U2 R'
U' R B' L2 U2 R'
U' R B' U2 R' D
U' R B' U2 R' D'
U' R B' U2 R' D2
U' R B' U2 D R'
U' R B' U2 D' R'
U' R B' U2 D2 R'
U' R B' D U2 R'
U' R B' D' U2 R'
U' R B' D2 U2 R'
U R' D2 L2 F R
U' R' B' R2 U2 R
F2 U L2 F L R
F2 U L2 F R L
U' D R B' U2 R'
F U L2 F L' R
F U L2 F R L'
U' D B' R U2 R2
U' D' R B' U2 R'
D2 U' R B' U2 R'
D' U' R B' U2 R'
D U' R B' U2 R'
U' D' B' R U2 R2
D2 U' B' R U2 R2
D' U' B' R U2 R2
D U' B' R U2 R2
B2 U' B L R U2
B2 U' B R L U2
U' D2 R B' U2 R'
F2 U' B' U2 L' R'
F2 U' B' U2 R' L'
U' D2 B' R U2 R2
U F L2 R F L'
U F R L2 F L'
U' B L R B2 U2
U' B L B2 R U2
U' B R L B2 U2
U' B R B2 U2 R'
U' B' L R U2 R2
U' B' L' R U2 R2
U' B' L2 R U2 R2
U' B' R L U2 R2
U' B' R L' U2 R2
U' B' R L2 U2 R2
U' B' R U2 R2 D
U' B' R U2 R2 D'
U' B' R U2 R2 D2
U' B' R D2 L2 U2
U' B' U2 R' D2 L2
U' B' D R U2 R2
U' B' D' R U2 R2
R B' U B2 U B2
U' B' D2 R U2 R2
U' R D' B' U2 R' D2
U' R D' B' U2 D R'
U' R D' B' U2 D' R'
U' R D' B' U2 D2 R'
U' R D' B' D U2 R'
U' R D' B' D' U2 R'
U' R D' B' D2 U2 R'
U' R D2 L2 U2 F R
B' R D2 U B U B'
U' R D2 B L B2 U2
U' R D2 B' L U2 R'
U' R D2 B' L' U2 R'
U' R D2 B' L2 U2 R'
U' R D2 B' U2 R' D
U' R D2 B' U2 R' D'
U' R D2 B' U2 R' D2
U' R D2 B' U2 D R'
U' R D2 B' U2 D' R'
U' R D2 B' U2 D2 R'
U' R D2 B' D U2 R'
U' R D2 B' D' U2 R'
U' R D2 B' D2 U2 R'
B' R F U B U B'
B' R F' U B U B'
U R F B' U2 B R
B' R F2 U B U B'
U R F' B' L' U2 B
U' R B L U2 D2 F2
U' R B L D2 U2 F2
U' R B L B2 U2 D
U' R B L B2 U2 D'
U' R B L B2 U2 D2
U' R B L B2 D U2
U' R B L B2 D' U2
U' R B L B2 D2 U2
U' R B L' B2 L2 U2
U' R B L2 B2 L' U2
F2 R B U L' D2 F2
F2 R B U D2 L' F2
U' R B D2 L U2 F2
F2 R B U' B2 U2 L'
R2 U' R' B' U B2 U
R2 U' R' B' U2 D' R2
R2 U' R' B' D L2 U2
R2 U' R' B' D' U2 R2
F2 R B D' R2 U L'
U' R B' L U2 R' D
U' R B' L U2 R' D'
U' R B' L U2 R' D2
U' R B' L U2 D R'
U' R B' L U2 D' R'
U' R B' L U2 D2 R'
U' R B' L D U2 R'
U' R B' L D' U2 R'
U' R B' L D2 U2 R'
F2 R B D2 U L' F2
U' R B' L' U2 R' D
U' R B' L' U2 R' D'
U' R B' L' U2 R' D2
U' R B' L' U2 D R'
U' R B' L' U2 D' R'
U' R B' L' U2 D2 R'
U' R B' L' D U2 R'
U' R B' L' D' U2 R'
U' R B' L' D2 U2 R'
U' R B' L2 U2 R' D
U' R B' L2 U2 R' D'
U' R B' L2 U2 R' D2
U' R B' L2 U2 D R'
U' R B' L2 U2 D' R'
U' R B' L2 U2 D2 R'
U' R B' L2 D U2 R'
R' U' R2 B' U B2 U
U' R B' L2 D' U2 R'
R' U' R2 B' U2 D' R2
U' R B' L2 D2 U2 R'
R' U' R2 B' D L2 U2
R' U' R2 B' D' U2 R2
D' R B' U B2 U B2
D2 R B' U B2 U B2
U' R B' U' F U' R'
U' R B' U' F' U' R'
U' R B' U' F2 U' R'
U' R B' U2 R2 D R
U' R B' U2 R2 D' R
U' R B' U2 R2 D2 R
U' R B' U2 D R' D
U' R B' U2 D R' D'
U' R B' U2 D R' D2
U' R B' U2 D' R' D
U' R B' U2 D' R' D'
U' R B' U2 D' R' D2
U' R B' U2 D2 R' D
U' R B' U2 D2 R' D'
U' R B' U2 D2 R' D2
U' R B' U2 F' R' F
U' R B' U2 F2 R' F2
U' R B' D L U2 R'
U' R B' D L' U2 R'
U' R B' D L2 U2 R'
U' R B' D U2 R' D
U' R B' D U2 R' D'
U' R B' D U2 R' D2
U' R B' D' L U2 R'
U' R B' D' L' U2 R'
U' R B' D' L2 U2 R'
U' R B' D' U2 R' D
U' R B' D' U2 R' D'
U' R B' D' U2 R' D2
U' R B' D2 L U2 R'
U' R B' D2 L' U2 R'
U' R B' D2 L2 U2 R'
U' R B' D2 U2 R' D
U' R B' D2 U2 R' D'
U' R B' D2 U2 R' D2
D R B' U B2 U B2
U' R B2 L B U2 R'
U' R B2 L' B U2 R'
U' R B2 L2 B U2 R'
R2 U' D R' B' L U2
U R B' U2 B' R' B2
U R B' F U2 B R
U R B' F' L' U2 B
B R B2 U B' U B
U R' L2 D2 F L2 R
U R' L2 D2 F R L2
U R' L2 F D2 L2 R
U R' L2 F D2 R L2
U' R' U2 D2 L2 F R
R' U' B' R2 U B U
U R' U2 R2 B' U2 R'
U R' U2 B' R2 U2 R
B R' D' R2 F2 B U
B R' D' R2 B F2 U
U' R' D2 U2 L2 F R
U' R' D2 B' U2 L2 R'
U' R' D2 B' U2 R' L2
U R' D2 L2 R F R
U R' D2 L2 R' F R
U R' D2 L2 R2 F R
U R' D2 L2 D F R
U R' D2 L2 D' F R
U R' D2 L2 D2 F R
U R' D2 L2 F R D
U R' D2 L2 F R D'
U R' D2 L2 F R D2
U R' D2 L2 F D R
U R' D2 L2 F D' R
U R' D2 L2 F D2 R
U R' D2 R L2 F R
U R' D2 R' L2 F R
U R' D2 R2 L2 F R
U R' D2 F L2 R F
U R' D2 F R L2 F
U R' F D2 L2 R F
U R' F D2 R L2 F
U' R' B L R2 B2 U2
U' R' B L B2 R2 U2
U' R' B R2 L B2 U2
U' R' B R2 B2 U2 R'
U' R' B' L R2 U2 R
U' R' B' L' R2 U2 R
U' R' B' L2 R2 U2 R
U' R' B' R2 L U2 R
U' R' B' R2 L' U2 R
U' R' B' R2 L2 U2 R
U' R' B' R2 U2 R D
U' R' B' R2 U2 R D'
U' R' B' R2 U2 R D2
U' R' B' R2 U2 D R
U' R' B' R2 U2 D' R
U' R' B' R2 U2 D2 R
U' R' B' R2 D U2 R
U' R' B' R2 D' U2 R
U' R' B' R2 D2 U2 R
U' R' B' U2 D2 L2 R'
U' R' B' U2 D2 R' L2
U' R' B' D2 U2 L2 R'
U' R' B' D2 U2 R' L2
U R' B' R2 F' L' U2
R' U2 D2 F' U' L2 F
R' U2 F' U R2 B' U2
R' U2 F' U B' R2 U2
R' U2 F' U' D2 L2 F
R' U2 F' D2 U' L2 F
U R2 L2 F R D2 L2
U' R2 D R' B' U2 R'
U R2 U2 R' B' U2 R'
U' R2 D' R' B' U2 R'
U' R2 D2 R' B' U2 R'
U R2 F R D2 L2 F
R2 D U' R' B' L U2
F2 U L' D2 F R F'
U' D L2 R U2 F R
F2 U L' F D2 R F'
F2 U L2 R F L R
F2 U L2 R F R L
F2 U L2 R' F L R
F2 U L2 R' F R L
F' U L2 D F L' R
F' U L2 D F R L'
F2 U L2 R2 F L R
F2 U L2 R2 F R L
D' U L2 F2 L' F' R
D2 U L2 F2 L' F' R
F U L' F L' R F
F2 U L2 D F L R
F2 U L2 D F R L
F U L' F R L' F
F2 U L2 D' F L R
F2 U L2 D' F R L
F2 U L2 D2 F L R
F2 U L2 D2 F R L
F2 U L2 F L R D
F2 U L2 F L R D'
F2 U L2 F L R D2
F2 U L2 F L D R
F2 U L2 F L D' R
F2 U L2 F L D2 R
F2 U L2 F R L D
F2 U L2 F R L D'
F2 U L2 F R L D2
F2 U L2 F R D L
F2 U L2 F R D' L
F2 U L2 F R D2 L
F2 U L2 F D L R
F2 U L2 F D R L
F2 U L2 F D' L R
F2 U L2 F D' R L
F2 U L2 F D2 L R
F2 U L2 F D2 R L
F2 U L2 F2 L F' R
U' D R L2 U2 F R
F U L2 R F L' R
F U L2 R F R L'
F U L2 R' F L' R
F U L2 R' F R L'
F U L2 R2 F L' R
F U L2 R2 F R L'
U' D R D B' U2 R'
F2 U R L2 F L R
F2 U R L2 F R L
U' D R D' B' U2 R'
U' D R D2 B' U2 R'
D U L2 F2 L' F' R
F U L2 F L' R D
F U L2 F L' R D'
F U L2 F L' R D2
F U L2 F L' D R
F U L2 F L' D' R
F U L2 F L' D2 R
U' D R B L B2 U2
F U L2 F R L' D
F U L2 F R L' D'
F U L2 F R L' D2
F U L2 F R D L'
F U L2 F R D' L'
F U L2 F R D2 L'
F U L2 F D L' R
F U L2 F D R L'
F U L2 F D' L' R
F U L2 F D' R L'
F U L2 F D2 L' R
F U L2 F D2 R L'
U' D R B' L U2 R'
U' D R B' L' U2 R'
U' D R B' L2 U2 R'
U' D R B' U2 R' D
U' D R B' U2 R' D'
U' D R B' U2 R' D2
U' D R B' U2 D R'
U' D R B' U2 D' R'
U' D R B' U2 D2 R'
U' D R B' D U2 R'
U' D R B' D' U2 R'
U' D R B' D2 U2 R'
U D L2 F2 L' F' R
F U R L2 F L' R
F U R L2 F R L'
D' U R' D2 L2 F R
D2 U R' D2 L2 F R
F2 U R' L2 F L R
F2 U R' L2 F R L
U' D R' B' R2 U2 R
F U R' L2 F L' R
F U R' L2 F R L'
D U R' D2 L2 F R
F2 U R2 L2 F L R
F2 U R2 L2 F R L
U D R' D2 L2 F R
D' U F L2 R F L'
D' U F R L2 F L'
D2 U F L2 R F L'
D2 U F R L2 F L'
F U R2 L2 F L' R
F U R2 L2 F R L'
F2 U D L2 F L R
F2 U D L2 F R L
R D B' U B2 U B2
D U F L2 R F L'
D U F R L2 F L'
F2 U D' L2 F L R
F2 U D' L2 F R L
U D F L2 R F L'
U D F R L2 F L'
F2 U D2 L2 F L R
F2 U D2 L2 F R L
U' D B L R B2 U2
U' D B L B2 R U2
B U D2 F R F L'
U' D B R L B2 U2
U' D B R B2 U2 R'
F U F L' D2 R F'
F U F L2 R F L
U' D B' L R U2 R2
F U F R L2 F L
U' D B' L' R U2 R2
U' D B' L2 R U2 R2
U' D B' R L U2 R2
U' D B' R L' U2 R2
U' D B' R L2 U2 R2
U' D B' R U2 R2 D
U' D B' R U2 R2 D'
U' D B' R U2 R2 D2
U' D B' R D2 L2 U2
U' D B' U2 R' D2 L2
U' D B' D R U2 R2
U' D B' D' R U2 R2
U' D B' D2 R U2 R2
B2 U F2 L' R2 F' R
B2 U F2 R2 L' F' R
B2 U B R U2 B' R'
U' D' L2 R U2 F R
D' U' L2 R U2 F R
D2 U' L2 R U2 F R
U' D' R L2 U2 F R
D' U' R L2 U2 F R
D U' L2 R U2 F R
D2 U' R L2 U2 F R
U' D' R D B' U2 R'
D' U' R D B' U2 R'
D' U' R D' B' U2 R'
U' D' R D' B' U2 R'
D2 U' R D B' U2 R'
D' U' R D2 B' U2 R'
U' D' R D2 B' U2 R'
D2 U' R D' B' U2 R'
D2 U' R D2 B' U2 R'
B2 U' L B L R U2
B2 U' L B R L U2
U' D' R B L B2 U2
D' U' R B L B2 U2
U' D' R B' L U2 R'
D' U' R B' L U2 R'
U' D' R B' L' U2 R'
D' U' R B' L' U2 R'
U' D' R B' L2 U2 R'
D' U' R B' L2 U2 R'
U' D' R B' U2 R' D
U' D' R B' U2 R' D'
U' D' R B' U2 R' D2
U' D' R B' U2 D R'
U' D' R B' U2 D' R'
U' D' R B' U2 D2 R'
D' U' R B' U2 R' D
D' U' R B' U2 R' D'
D' U' R B' U2 R' D2
D' U' R B' U2 D R'
D' U' R B' U2 D' R'
D' U' R B' U2 D2 R'
U' D' R B' D U2 R'
D' U' R B' D U2 R'
U' D' R B' D' U2 R'
D' U' R B' D' U2 R'
U' D' R B' D2 U2 R'
D' U' R B' D2 U2 R'
D2 U' R B L B2 U2
D2 U' R B' L U2 R'
D2 U' R B' L' U2 R'
D2 U' R B' L2 U2 R'
D2 U' R B' U2 R' D
D2 U' R B' U2 R' D'
D2 U' R B' U2 R' D2
D2 U' R B' U2 D R'
D2 U' R B' U2 D' R'
D2 U' R B' U2 D2 R'
D2 U' R B' D U2 R'
D2 U' R B' D' U2 R'
D2 U' R B' D2 U2 R'
U D' L2 F2 L' F' R
D U' R L2 U2 F R
D U' R D B' U2 R'
D U' R D' B' U2 R'
B2 U' L' B L R U2
B2 U' L' B R L U2
D U' R D2 B' U2 R'
U' D' R' B' R2 U2 R
D' U' R' B' R2 U2 R
D U' R B L B2 U2
D2 U' R' B' R2 U2 R
D U' R B' L U2 R'
D U' R B' L' U2 R'
D U' R B' L2 U2 R'
D U' R B' U2 R' D
D U' R B' U2 R' D'
D U' R B' U2 R' D2
D U' R B' U2 D R'
D U' R B' U2 D' R'
D U' R B' U2 D2 R'
D U' R B' D U2 R'
D U' R B' D' U2 R'
D U' R B' D2 U2 R'
F2 U' L2 U2 F L R
F2 U' L2 U2 F R L
B2 U' L2 B L R U2
B2 U' L2 B R L U2
D U' R' B' R2 U2 R
U D' R' D2 L2 F R
B2 U' R U2 F R F'
F U' L2 U2 F L' R
F U' L2 U2 F R L'
F2 U' R B' U2 L' R'
F2 U' R B' U2 R' L'
B U' R B L B U2
U D' F L2 R F L'
U D' F R L2 F L'
F2 U' R' B' U2 L' R'
F2 U' R' B' U2 R' L'
D' U' B L R B2 U2
U' D' B L R B2 U2
F2 U' R2 B' U2 L' R'
F2 U' R2 B' U2 R' L'
U' D' B L B2 R U2
D' U' B L B2 R U2
D2 U' B L R B2 U2
U' D' B R L B2 U2
D' U' B R L B2 U2
D2 U' B L B2 R U2
D' U' B R B2 U2 R'
U' D' B R B2 U2 R'
D2 U' B R L B2 U2
D2 U' B R B2 U2 R'
B2 U' D B L R U2
B2 U' D B R L U2
F2 U' D B' U2 L' R'
F2 U' D B' U2 R' L'
R D' B' U B2 U B2
U' D' B' L R U2 R2
D' U' B' L R U2 R2
U' D' B' L' R U2 R2
D' U' B' L' R U2 R2
U' D' B' L2 R U2 R2
D' U' B' L2 R U2 R2
D2 U' B' L R U2 R2
U' D' B' R L U2 R2
U' D' B' R L' U2 R2
U' D' B' R L2 U2 R2
D' U' B' R L U2 R2
U' D' B' R U2 R2 D
U' D' B' R U2 R2 D'
U' D' B' R U2 R2 D2
D' U' B' R L' U2 R2
D' U' B' R L2 U2 R2
U' D' B' R D2 L2 U2
D' U' B' R U2 R2 D
D' U' B' R U2 R2 D'
D' U' B' R U2 R2 D2
D' U' B' R D2 L2 U2
D2 U' B' L' R U2 R2
D U' B L R B2 U2
D2 U' B' L2 R U2 R2
D U' B L B2 R U2
D2 U' B' R L U2 R2
D2 U' B' R L' U2 R2
D2 U' B' R L2 U2 R2
D2 U' B' R U2 R2 D
D2 U' B' R U2 R2 D'
D2 U' B' R U2 R2 D2
D2 U' B' R D2 L2 U2
B2 U' D' B L R U2
B2 U' D' B R L U2
D U' B R L B2 U2
U' D' B' U2 R' D2 L2
D' U' B' U2 R' D2 L2
D U' B R B2 U2 R'
U' D' B' D R U2 R2
D' U' B' D R U2 R2
U' D' B' D' R U2 R2
D' U' B' D' R U2 R2
F2 U' D' B' U2 L' R'
F2 U' D' B' U2 R' L'
U' D' B' D2 R U2 R2
D' U' B' D2 R U2 R2
D2 U' B' U2 R' D2 L2
D2 U' B' D R U2 R2
D2 U' B' D' R U2 R2
D2 U' B' D2 R U2 R2
B2 U' D2 B L R U2
B2 U' D2 B R L U2
D U' B' L R U2 R2
D U' B' L' R U2 R2
D U' B' L2 R U2 R2
D U' B' R L U2 R2
F2 U' D2 B' U2 L' R'
D U' B' R L' U2 R2
F2 U' D2 B' U2 R' L'
D U' B' R L2 U2 R2
D U' B' R U2 R2 D
D U' B' R U2 R2 D'
D U' B' R U2 R2 D2
D U' B' R D2 L2 U2
D U' B' U2 R' D2 L2
D U' B' D R U2 R2
D U' B' D' R U2 R2
D U' B' D2 R U2 R2
F U' D2 B' U2 L R'
F U' D2 B' U2 R' L
R' D2 R U L2 F R
U' D2 L2 R U2 F R
B2 U' B L R U2 D
B2 U' B L R U2 D'
B2 U' B L R U2 D2
B2 U' B L R D U2
B2 U' B L R D' U2
B2 U' B L R D2 U2
B2 U' B L D R U2
B2 U' B L D' R U2
B2 U' B L D2 R U2
F2 U' B L B2 U2 L2
B2 U' B R L U2 D
B2 U' B R L U2 D'
B2 U' B R L U2 D2
B2 U' B R L D U2
B2 U' B R L D' U2
B2 U' B R L D2 U2
B2 U' B R D L U2
B2 U' B R D' L U2
B2 U' B R D2 L U2
U' D2 R L2 U2 F R
B2 U' B D L R U2
B2 U' B D R L U2
B2 U' B D' L R U2
B2 U' B D' R L U2
B2 U' B D2 L R U2
B2 U' B D2 R L U2
U' D2 R D B' U2 R'
B U' B L B R U2
U' D2 R D' B' U2 R'
U' D2 R D2 B' U2 R'
F2 U' B' L U2 L2 R'
F2 U' B' L U2 R' L2
R' D2 U L2 F D R2
B2 U' B' R B2 U2 R2
U' D2 R B L B2 U2
F2 U' B' L2 U2 L R'
F2 U' B' L2 U2 R' L
U' D2 R B' L U2 R'
U' D2 R B' L' U2 R'
U' D2 R B' L2 U2 R'
F2 U' B' R U2 L' R2
F2 U' B' R U2 R2 L'
U' D2 R B' U2 R' D
U' D2 R B' U2 R' D'
U' D2 R B' U2 R' D2
U' D2 R B' U2 D R'
U' D2 R B' U2 D' R'
U' D2 R B' U2 D2 R'
U' D2 R B' D U2 R'
U' D2 R B' D' U2 R'
U' D2 R B' D2 U2 R'
F2 U' B' R2 U2 L' R
F2 U' B' R2 U2 R L'
F2 U' B' U2 L' R' D
F2 U' B' U2 L' R' D'
F2 U' B' U2 L' R' D2
F2 U' B' U2 L' D R'
F2 U' B' U2 L' D' R'
F2 U' B' U2 L' D2 R'
F2 U' B' U2 R' L' D
F2 U' B' U2 R' L' D'
F2 U' B' U2 R' L' D2
F2 U' B' U2 R' D L'
F2 U' B' U2 R' D' L'
F2 U' B' U2 R' D2 L'
F2 U' B' U2 D L' R'
F2 U' B' U2 D R' L'
F2 U' B' U2 D' L' R'
F2 U' B' U2 D' R' L'
F2 U' B' U2 D2 L' R'
F2 U' B' U2 D2 R' L'
F2 U' B' D U2 L' R'
F2 U' B' D U2 R' L'
F2 U' B' D' U2 L' R'
F2 U' B' D' U2 R' L'
F2 U' B' D2 U2 L' R'
F2 U' B' D2 U2 R' L'
U D2 L2 F2 L' F' R
B U' B' R B' U2 R2
B2 U' B2 R B' L U2
U' D2 R' B' R2 U2 R
R' D2 U2 F' U' L2 F
U D2 R' D2 L2 F R
U D2 F L2 R F L'
U D2 F R L2 F L'
U' D2 B L R B2 U2
U' D2 B L B2 R U2
U' D2 B R L B2 U2
U' D2 B R B2 U2 R'
U' D2 B' L R U2 R2
U' D2 B' L' R U2 R2
U' D2 B' L2 R U2 R2
U' D2 B' R L U2 R2
U' D2 B' R L' U2 R2
U' D2 B' R L2 U2 R2
U' D2 B' R U2 R2 D
U' D2 B' R U2 R2 D'
U' D2 B' R U2 R2 D2
U' D2 B' R D2 L2 U2
U' D2 B' U2 R' D2 L2
U' D2 B' D R U2 R2
U' D2 B' D' R U2 R2
U' D2 B' D2 R U2 R2
R D2 B' U B2 U B2
U F L' R F L' F
U F L2 R F L' D
U F L2 R F L' D'
U F L2 R F L' D2
U F L2 R F D L'
U F L2 R F D' L'
U F L2 R F D2 L'
U F L2 R' F L' R2
U F L2 R' F R2 L'
U F L2 R2 F L' R'
U F L2 R2 F R' L'
U F R L' F L' F
U F R L2 F L' D
U F R L2 F L' D'
U F R L2 F L' D2
U F R L2 F D L'
U F R L2 F D' L'
U F R L2 F D2 L'
U F R F L2 F L
U F R' L2 F L' R2
U F R' L2 F R2 L'
D' F U L2 F L' R
D' F U L2 F R L'
D2 F U L2 F L' R
D2 F U L2 F R L'
U F R2 L2 F L' R'
U F R2 L2 F R' L'
D F U L2 F L' R
D F U L2 F R L'
U2 F U' L2 F L' R
U2 F U' L2 F R L'
B' D R U B U B'
F2 D U L2 F L R
F2 D U L2 F R L
B2 D U' B L R U2
B2 D U' B R L U2
R F B' U B2 U B2
F2 D U' B' U2 L' R'
F2 D U' B' U2 R' L'
R' F' U R2 B' U2 B
R' F' U B' R2 F' U2
R' F' U' R2 B' U2 R2
R' F' U' B' R2 U2 R2
B' D' R U B U B'
U F' U2 B' L' R' U2
U F' U2 B' R' L' U2
F2 D' U L2 F L R
F2 D' U L2 F R L
L' F2 L U L2 F R
U F' B' L' U2 B L
B2 D' U' B L R U2
B2 D' U' B R L U2
R F' B' U B2 U B2
F2 D' U' B' U2 L' R'
F2 D' U' B' U2 R' L'
U F2 L' F' D2 R F'
U F2 L2 F L D2 R2
U F2 L2 F' L R F2
U F2 L2 F' R L F2
U F2 L2 F' R F2 L
D2 F2 U L2 F L R
D2 F2 U L2 F R L
D' F2 U L2 F L R
D' F2 U L2 F R L
D F2 U L2 F L R
D F2 U L2 F R L
U2 F2 U B' U2 L' R'
U2 F2 U B' U2 R' L'
D2 F2 U' B' U2 L' R'
D2 F2 U' B' U2 R' L'
D' F2 U' B' U2 L' R'
D' F2 U' B' U2 R' L'
U2 F2 U' L2 F L R
U2 F2 U' L2 F R L
D F2 U' B' U2 L' R'
D F2 U' B' U2 R' L'
B' D2 R U B U B'
U' B L R U2 D2 F2
U' B L R D2 U2 F2
U' B L R B2 U2 D
U' B L R B2 U2 D'
U' B L R B2 U2 D2
U' B L R B2 D U2
U' B L R B2 D' U2
U' B L R B2 D2 U2
F2 D2 U L2 F L R
F2 D2 U L2 F R L
U' B L R' B2 R2 U2
U' B L R2 B2 U2 L
U' B L U2 D2 F2 L'
U' B L D2 R U2 F2
U' B L D2 U2 F2 L'
U' B L B' R B' U2
U' B L B2 R U2 D
U' B L B2 R U2 D'
U' B L B2 R U2 D2
U' B L B2 R D U2
U' B L B2 R D' U2
U' B L B2 R D2 U2
U' B L B2 D R U2
U' B L B2 D' R U2
U' B L B2 D2 R U2
U' B L' R B2 L2 U2
B D2 U F R F L'
B2 D2 U' B L R U2
B2 D2 U' B R L U2
F2 D2 U' B' U2 L' R'
F2 D2 U' B' U2 R' L'
R F2 B' U B2 U B2
U' B L' B2 L2 R U2
