U2 F' U' F
U2 L F' U' F
U2 L' F' U' F
U2 L2 F' U' F
B' R2 B U F'
U2 D F' U' F
U2 D' F' U' F
D U2 F' U' F
D' U2 F' U' F
U2 D2 F' U' F
D2 U2 F' U' F
U2 F' U' D F
U2 F' U' D' F
U2 F' U' D2 F
U2 F' U' F D
U2 F' U' F D'
U2 F' U' F D2
U2 F' D U' F
U2 F' D' U' F
U2 F' D2 U' F
B2 D' R2 B U
R2 B U' B' U2
U2 D F' U' D' F
U2 D F' U' D2 F
U2 D F' U' F D
U2 D F' U' F D'
U2 D F' U' F D2
U2 D F' D U' F
U2 D F' D' U' F
U2 D F' D2 U' F
B' U F D R2 F'
U2 D' L F' U' F
U2 D' L' F' U' F
U2 D' L2 F' U' F
R2 D' B U' B' U2
U2 D' F' U' D F
U2 D' F' U' D F
U2 D' F' U' D' F
U2 D' F' U' D2 F
U2 D' F' U' F D
U2 D' F' U' F D'
U2 D' F' U' F D2
U2 D' F' D U' F
U2 D' F' D' U' F
U2 D' F' D2 U' F
D2 U2 L F' U' F
U2 D2 L F' U' F
D' U2 L F' U' F
D2 U2 L' F' U' F
U2 D2 L' F' U' F
D' U2 L' F' U' F
D U2 L F' U' F
B' U' B U' F' U'
D2 U2 L2 F' U' F
U2 D2 L2 F' U' F
D U2 L' F' U' F
D' U2 L2 F' U' F
D U2 L2 F' U' F
B2 U' B2 U' F' U'
B U' B' U' F' U'
B U' B' U' F' U'
D' U2 F' U' D F
D' U2 F' U' D' F
D' U2 F' U' D2 F
U2 D2 F' U' D F
D' U2 F' U' F D
D' U2 F' U' F D'
D' U2 F' U' F D2
U2 D2 F' U' D' F
U2 D2 F' U' D2 F
U2 D2 F' U' F D
U2 D2 F' U' F D'
U2 D2 F' U' F D2
D2 U2 F' U' D F
D2 U2 F' U' D' F
D2 U2 F' U' D2 F
D2 U2 F' U' F D
D2 U2 F' U' F D'
D2 U2 F' U' F D2
D' U2 F' D U' F
U2 D2 F' D U' F
D2 U2 F' D U' F
D' U2 F' D' U' F
U2 D2 F' D' U' F
D2 U2 F' D' U' F
D' U2 F' D2 U' F
U2 D2 F' D2 U' F
D2 U2 F' D2 U' F
D U2 F' U' D F
D U2 F' U' D' F
D U2 F' U' D2 F
D U2 F' U' F D
D U2 F' U' F D'
D U2 F' U' F D2
D U2 F' D U' F
D U2 F' D' U' F
B U2 L2 F' U' F2
D U2 F' D2 U' F
R2 D2 B U' B' U2
B2 U2 D L2 F' U'
B2 U2 D F' L2 U'
U2 F L F2 U' F
B2 U2 D2 F' U' F'
U2 F L' F2 U' F
B2 U2 F' U B2 U2
B2 U2 F' U' D2 F2
U2 F L2 F2 U' F
B2 U2 F' D L2 U'
B' U2 F' U B U2
B2 U2 F' D2 U' F2
B U2 F' L2 U' F
B U2 F' U B' U2
U2 F U' D F' R2
U F U F2 U' F2
U2 F D U' F' R2
U F D R2 D' F2
B' D R2 B U F'
B2 D U2 L2 F' U'
B2 D U2 F' L2 U'
U2 F' L2 U B' U2
U2 F' U B U2 F
U2 F' U B' U2 F
U2 F' U B2 U2 F
U2 F' U' R F R'
U2 F' U' R2 F R2
U2 F' U' D F D
U2 F' U' D F D'
U2 F' U' D F D2
U2 F' U' D' F D
U2 F' U' D' F D'
U2 F' U' D' F D2
U2 F' U' D2 F D
U2 F' U' D2 F D'
U2 F' U' D2 F D2
U2 F' U' F2 D F'
U2 F' U' F2 D' F'
U2 F' U' F2 D2 F'
U2 F' U2 R U F
U2 F' U2 R' U F
U2 F' U2 R2 U F
U2 F' D U' F D
U2 F' D U' F D'
U2 F' D U' F D2
U2 F' D' U' F D
U2 F' D' U' F D'
U2 F' D' U' F D2
U2 F' D2 U' F D
U2 F' D2 U' F D'
U2 F' D2 U' F D2
B2 D' R2 D B U
B2 D' R2 D' B U
B2 D' R2 D2 B U
B' D' R2 B U F'
B2 D' R2 B U D
B2 D' R2 B U D'
B2 D' R2 B U D2
B2 D' R2 B D U
B2 D' R2 B D' U
B2 D' R2 B D2 U
B2 D' B R2 B U
B2 D' B' R2 B U
B2 D' B2 R2 B U
U F2 U F U' F'
U2 F2 D' F L2 U'
B' D2 R2 B U F'
B2 D2 R2 B U F2
B2 D2 U2 F' U' F'
R2 B R U' B' U2
R2 B R' U' B' U2
R2 B R2 U' B' U2
R2 B U L2 F L2
U' B U' F' U' F
R2 B U' D B' U2
R2 B U' D' B' U2
R2 B U' D2 B' U2
R2 B U' B' U2 D
R2 B U' B' U2 D'
R2 B U' B' U2 D2
R2 B U' B' D U2
R2 B U' B' D' U2
R2 B U' B' D2 U2
R2 B U2 L2 U' F
R2 B D U' B' U2
R2 B D' U' B' U2
R B U' B' U2 R'
R2 B D2 U' B' U2
D2 B' R2 B U F'
D' B' R2 B U F'
R2 B' R2 B2 U F'
R2 B' U D' R2 F'
U' B' U' F' U' F
D B' R2 B U F'
R2 B' D' U R2 F'
R B' U' B L U2
U' B2 U' F' U' F
D2 B2 D' R2 B U
D' B2 D' R2 B U
R2 B2 D' R2 B' U
R2 B2 D' B' R2 U
D B2 D' R2 B U
R2 B2 D2 B' U F2
R2 L U B L' U L
B' L R2 B L' U F'
U L U F' U' F L'
U' L U' L F' L2 U'
U' L U' L' D F' U'
U' L U' L' D' F' U'
U' L U' L' D2 F' U'
U' L U' L' F' U' D
U' L U' L' F' U' D'
U' L U' L' F' U' D2
U' L U' L' F' D U'
U' L U' L' F' D' U'
U' L U' L' F' D2 U'
U' L U' L2 F' L U'
U' L U' D L' F' U'
U' L U' D' L' F' U'
U' L U' D2 L' F' U'
F' L U2 L' F U F'
U2 L D L F' U' F
U2 L D L' F' U' F
U2 L D L2 F' U' F
U' L D U' L' F' U'
U2 L D F' U' D F
U2 L D F' U' D' F
U2 L D F' U' D2 F
U2 L D F' U' F D
U2 L D F' U' F D'
U2 L D F' U' F D2
U2 L D F' D U' F
U2 L D F' D' U' F
U2 L D F' D2 U' F
U2 L D' L F' U' F
B2 L D' L' R2 B U
U2 L D' L' F' U' F
U2 L D' L2 F' U' F
B2 L D' R2 L' B U
B2 L D' R2 B L' U
U' L D' U' L' F' U'
U2 L D' F' U' D F
U2 L D' F' U' D' F
U2 L D' F' U' D2 F
U2 L D' F' U' F D
U2 L D' F' U' F D'
U2 L D' F' U' F D2
U2 L D' F' D U' F
U2 L D' F' D' U' F
U2 L D' F' D2 U' F
U2 L D2 L F' U' F
U2 L D2 L' F' U' F
U2 L D2 L2 F' U' F
U' L D2 U' L' F' U'
U2 L D2 F' U' D F
U2 L D2 F' U' D' F
U2 L D2 F' U' D2 F
U2 L D2 F' U' F D
U2 L D2 F' U' F D'
U2 L D2 F' U' F D2
U2 L D2 F' D U' F
U2 L D2 F' D' U' F
U2 L D2 F' D2 U' F
U2 L F L F2 U' F
U2 L F L' F2 U' F
U2 L F L2 F2 U' F
U2 L F U' D F' R2
U2 L F D U' F' R2
L2 R B L2 U F R
U2 L F' L2 U B' U2
U2 L F' U B U2 F
U2 L F' U B' U2 F
U2 L F' U B2 U2 F
U2 L F' U' R F R'
U2 L F' U' R2 F R2
U2 L F' U' D F D
U2 L F' U' D F D'
U2 L F' U' D F D2
U2 L F' U' D' F D
U2 L F' U' D' F D'
U2 L F' U' D' F D2
U2 L F' U' D2 F D
U2 L F' U' D2 F D'
U2 L F' U' D2 F D2
U2 L F' U' F2 D F'
U2 L F' U' F2 D' F'
U2 L F' U' F2 D2 F'
U2 L F' U2 R U F
U2 L F' U2 R' U F
U2 L F' U2 R2 U F
U2 L F' D U' F D
U2 L F' D U' F D'
U2 L F' D U' F D2
U2 L F' D' U' F D
U2 L F' D' U' F D'
U2 L F' D' U' F D2
U2 L F' D2 U' F D
U2 L F' D2 U' F D'
U2 L F' D2 U' F D2
U2 L F2 D' F L2 U'
U' L B U' L' F' U'
R2 L' U L B U L'
U' L B' U' L' F' U'
U' L B2 U' L' F' U'
U L' U F' U' F L
U' L' U' L D F' U'
U' L' U' L D' F' U'
U' L' U' L D2 F' U'
U' L' U' L F' U' D
U' L' U' L F' U' D'
U' L' U' L F' U' D2
U' L' U' L F' D U'
U' L' U' L F' D' U'
U' L' U' L F' D2 U'
U' L' U' L' F' L2 U'
U' L' U' D L F' U'
U' L' U' D F' L U'
U' L' U' D' L F' U'
U' L' U' D' F' L U'
U' L' U' D2 L F' U'
U' L' U' D2 F' L U'
U' L' U' F L F2 U'
U' L' U' F' L U' D
U' L' U' F' L U' D'
U' L' U' F' L U' D2
U' L' U' F' L D U'
U' L' U' F' L D' U'
U' L' U' F' L D2 U'
U' L' U' F' D L U'
U' L' U' F' D' L U'
U' L' U' F' D2 L U'
U2 L' D L F' U' F
U2 L' D L' F' U' F
U2 L' D L2 F' U' F
U' L' D U' L F' U'
U' L' D U' F' L U'
U2 L' D F' U' D F
U2 L' D F' U' D' F
U2 L' D F' U' D2 F
U2 L' D F' U' F D
U2 L' D F' U' F D'
U2 L' D F' U' F D2
U2 L' D F' D U' F
U2 L' D F' D' U' F
U2 L' D F' D2 U' F
U2 L' D' L F' U' F
B2 L' D' L R2 B U
U2 L' D' L' F' U' F
U2 L' D' L2 F' U' F
B2 L' D' R2 L B U
U' L' D' U' L F' U'
U' L' D' U' F' L U'
U2 L' D' F' U' D F
U2 L' D' F' U' D' F
U2 L' D' F' U' D2 F
U2 L' D' F' U' F D
U2 L' D' F' U' F D'
U2 L' D' F' U' F D2
U2 L' D' F' D U' F
U2 L' D' F' D' U' F
U2 L' D' F' D2 U' F
U2 L' D2 L F' U' F
U2 L' D2 L' F' U' F
U2 L' D2 L2 F' U' F
U' L' D2 U' L F' U'
U' L' D2 U' F' L U'
U2 L' D2 F' U' D F
U2 L' D2 F' U' D' F
U2 L' D2 F' U' D2 F
U2 L' D2 F' U' F D
U2 L' D2 F' U' F D'
U2 L' D2 F' U' F D2
U2 L' D2 F' D U' F
U2 L' D2 F' D' U' F
U2 L' D2 F' D2 U' F
U2 L' F L F2 U' F
U2 L' F L' F2 U' F
U2 L' F L2 F2 U' F
U2 L' F U' D F' R2
U2 L' F D U' F' R2
L' R2 U L B U L'
U2 L' F' L2 U B' U2
R2 L2 U L2 B U L2
L2 R2 U L2 B U L2
U2 L' F' U B U2 F
U2 L' F' U B' U2 F
U2 L' F' U B2 U2 F
U2 L' F' U' R F R'
U2 L' F' U' R2 F R2
U2 L' F' U' D F D
U2 L' F' U' D F D'
U2 L' F' U' D F D2
U2 L' F' U' D' F D
U2 L' F' U' D' F D'
U2 L' F' U' D' F D2
U2 L' F' U' D2 F D
U2 L' F' U' D2 F D'
U2 L' F' U' D2 F D2
U2 L' F' U' F2 D F'
U2 L' F' U' F2 D' F'
U2 L' F' U' F2 D2 F'
U2 L' F' U2 R U F
U2 L' F' U2 R' U F
U2 L' F' U2 R2 U F
U2 L' F' D U' F D
U2 L' F' D U' F D'
U2 L' F' D U' F D2
U2 L' F' D' U' F D
U2 L' F' D' U' F D'
U2 L' F' D' U' F D2
U2 L' F' D2 U' F D
U2 L' F' D2 U' F D'
U2 L' F' D2 U' F D2
L2 R2 U B L2 U L2
R2 L2 U B L2 U L2
L R2 U B L' U L
U2 L' F2 D' F L2 U'
D2 L2 R2 B L2 U F
D' L2 R2 B L2 U F
B' L2 R2 B L2 U F'
D L2 R2 B L2 U F
U' L2 U D2 R2 B U
F2 L2 U F2 B' L2 U
F2 L2 U B' L2 F2 U
F2 L2 U B' F2 L2 U
U' L2 U' L F' L U'
U' L2 U' L2 D F' U'
U' L2 U' L2 D' F' U'
U' L2 U' L2 D2 F' U'
U' L2 U' L2 F' U' D
U' L2 U' L2 F' U' D'
U' L2 U' L2 F' U' D2
U' L2 U' L2 F' D U'
U' L2 U' L2 F' D' U'
U' L2 U' L2 F' D2 U'
U L2 U F' U' F L2
U' L2 U' D F' U' F'
U' L2 U' F L2 F2 U'
U' L2 U' F' L2 U' D
U' L2 U' F' L2 U' D'
U' L2 U' F' L2 U' D2
U' L2 U' F' L2 D U'
U' L2 U' F' L2 D' U'
U' L2 U' F' L2 D2 U'
U' L2 U' F' U' D F2
U' L2 U' F' D U' F2
L2 R2 B L2 R U F
L2 R2 B L2 R' U F
L2 R2 B L2 R2 U F
L2 R2 B L2 U D F
L2 R2 B L2 U D' F
L2 R2 B L2 U D2 F
L2 R2 B L2 U F D
L2 R2 B L2 U F D'
L2 R2 B L2 U F D2
L2 R2 B L2 D U F
L2 R2 B L2 D' U F
L2 R2 B L2 D2 U F
R2 L2 B L2 R U F
R2 L2 B L2 R' U F
R2 L2 B L2 R2 U F
R2 L2 B L2 U D F
R2 L2 B L2 U D' F
R2 L2 B L2 U D2 F
R2 L2 B L2 U F D
R2 L2 B L2 U F D'
R2 L2 B L2 U F D2
R2 L2 B L2 D U F
R2 L2 B L2 D' U F
R2 L2 B L2 D2 U F
L2 R2 B R L2 U F
R2 L2 B R L2 U F
L2 R2 B R' L2 U F
R2 L2 B R' L2 U F
L2 R2 B R2 L2 U F
R2 L2 B R2 L2 U F
F' L2 U2 L2 F U F'
R L2 B L2 U F R
U' L2 U2 F D R2 F2
U' L2 U2 F D F2 R2
U2 L2 D L F' U' F
U L2 U2 F' U' L2 B'
U2 L2 D L' F' U' F
U2 L2 D L2 F' U' F
U' L2 D U' F' U' F'
U2 L2 D F' U' D F
U2 L2 D F' U' D' F
U2 L2 D F' U' D2 F
U2 L2 D F' U' F D
U2 L2 D F' U' F D'
U2 L2 D F' U' F D2
U2 L2 D F' D U' F
U2 L2 D F' D' U' F
U2 L2 D F' D2 U' F
U2 L2 D' L F' U' F
U2 L2 D' L' F' U' F
U2 L2 D' L2 F' U' F
B2 L2 D' R2 B U B
U2 L2 D' F' U' D F
U2 L2 D' F' U' D' F
U2 L2 D' F' U' D2 F
U2 L2 D' F' U' F D
U2 L2 D' F' U' F D'
U2 L2 D' F' U' F D2
U2 L2 D' F' D U' F
U2 L2 D' F' D' U' F
U2 L2 D' F' D2 U' F
U' L2 D' B2 U' F' U'
U2 L2 D2 L F' U' F
U2 L2 D2 L' F' U' F
U2 L2 D2 L2 F' U' F
U' L2 D2 U R2 B U
R2 U L B U B' L'
U2 L2 D2 F' U' D F
U2 L2 D2 F' U' D' F
U2 L2 D2 F' U' D2 F
U2 L2 D2 F' U' F D
U2 L2 D2 F' U' F D'
U2 L2 D2 F' U' F D2
U2 L2 D2 F' D U' F
U2 L2 D2 F' D' U' F
U2 L2 D2 F' D2 U' F
F' L2 D2 B' R2 U' F'
U2 L2 F L F2 U' F
L U L' U2 F' U' L
U2 L2 F L' F2 U' F
U2 L2 F L2 F2 U' F
R2 U L' B U B' L
U2 L2 F U' D F' R2
U2 L2 F D U' F' R2
L2 U L2 U2 F' U' L2
U2 L2 F' L2 U B' U2
U2 L2 F' U B U2 F
U2 L2 F' U B' U2 F
U2 L2 F' U B2 U2 F
R2 U L2 B U B' L2
U2 L2 F' U' R F R'
U2 L2 F' U' R2 F R2
U2 L2 F' U' D F D
U2 L2 F' U' D F D'
U2 L2 F' U' D F D2
U2 L2 F' U' D' F D
U2 L2 F' U' D' F D'
U2 L2 F' U' D' F D2
U2 L2 F' U' D2 F D
U2 L2 F' U' D2 F D'
U2 L2 F' U' D2 F D2
U2 L2 F' U' F2 D F'
U2 L2 F' U' F2 D' F'
U2 L2 F' U' F2 D2 F'
U2 L2 F' U2 R U F
U2 L2 F' U2 R' U F
U2 L2 F' U2 R2 U F
U2 L2 F' D U' F D
U2 L2 F' D U' F D'
U2 L2 F' D U' F D2
U2 L2 F' D' U' F D
U2 L2 F' D' U' F D'
U2 L2 F' D' U' F D2
U2 L2 F' D2 U' F D
U2 L2 F' D2 U' F D'
U2 L2 F' D2 U' F D2
R2 U R U' R' B U
R' U R' U' B R U
R U R F R D' F2
U2 L2 F2 D' F L2 U'
R U R' U' R B U
U' L2 B U' L2 F' U'
U' L2 B U' F' L2 U'
R U R' F D R F'
R2 U R2 U' R2 B U
U' L2 B' U' L2 F' U'
U' L2 B' U' F' L2 U'
R U R2 D' F R F
F' L2 B' D2 R2 U' F'
R U R2 F D' R F2
R U R2 F' D' F2 R
U' L2 B2 U' L2 F' U'
U' L2 B2 U' F' L2 U'
R U F R U' R' U
R U F R2 D' R' F2
R U F R2 D' F2 R'
B' R U R F R F2
B' R U F R D F'
B' R U F R D' F'
B' R U F R D2 F'
B' R U F R F' D
B' R U F R F' D'
B' R U F R F' D2
B R U L2 F L2 R
B R U L2 F R L2
R U F' R2 D' F2 R
B2 R U D2 F R F
B' R U F2 R F' R
B2 R U F R D2 F2
B2 R U F D2 R F2
B2 R U F' D2 F2 R
L2 U F2 L2 B' U L2
B R U' L2 U2 F R
B R U' D B' U2 R'
D2 R U2 L F U' F'
B2 R U' B L B U2
B R U' D' B' U2 R'
D' R U2 L F U' F'
B R U' D2 B' U2 R'
R2 U B L' U L B'
U R U' R' B' U R'
R2 U B L2 U L2 B'
B R U' B L B2 U2
B R U' B' L U2 R'
B R U' B' L' U2 R'
B R U' B' L2 U2 R'
B R U' B' U2 R' D
B R U' B' U2 R' D'
B R U' B' U2 R' D2
B R U' B' U2 D R'
B R U' B' U2 D' R'
B R U' B' U2 D2 R'
B R U' B' D U2 R'
B R U' B' D' U2 R'
B R U' B' D2 U2 R'
D R U2 L F U' F'
D2 R U2 F' U' F R
D' R U2 F' U' F R
D R U2 F' U' F R
B' R D R B R' U
U2 R D R' F' U' F
B R D U' B' U2 R'
B2 R D' R B R U
U2 R D' R' F' U' F
B R D' U' B' U2 R'
B2 R D2 R B U F2
U2 R D2 R' F' U' F
B2 R D2 U F R F
B R D2 U' B' U2 R'
R U' L' U' L F U'
F' R F U2 F' U' F
U2 R F' R' F' U' F2
U2 R F2 R' F' U' F'
F2 R F2 U2 F' U' F
B' R B R B U F'
B' R B U F R F'
D2 R B U' B' U2 R'
D' R B U' B' U2 R'
B2 R B U' B L U2
D R B U' B' U2 R'
B' R B' R B U F'
B' R B' U F R F'
D' R B' U' B L U2
D2 R B' U' B L U2
B2 R B' U' B' U2 R'
D R B' U' B L U2
B' R B2 R B U F'
B' R B2 U F R F'
B R B2 U' B L U2
L' U' F' U2 L U L'
L2 U' F' U2 L2 U L2
B R' U' D B' L U2
U R' U' R U2 F' U'
U R' U' R' B R2 U
R U' B L U' L' U'
B R' D U' B' L U2
B' R' D' R' U F' R
R U2 L D F U' F'
R U2 L D' F U' F'
R U2 L D2 F U' F'
R U2 L F L U' F'
R U2 L F L' U' F'
R U2 L F L2 U' F'
R U2 L F U' D F'
R U2 L F U' D' F'
R U2 L F U' D2 F'
R U2 L F U' F' D
R U2 L F U' F' D'
R U2 L F U' F' D2
R U2 L F D U' F'
R U2 L F D' U' F'
R U2 L F D2 U' F'
F' R' F U2 F' U' F
R' U2 R F' R' U' F
F2 R' F2 U2 F' U' F
B' R' B R' B U F'
B' R' B' R' B U F'
R2 U2 R2 F' R2 U' F
B' R' B2 R' B U F'
R U2 D L F U' F'
R' U2 D' F' U' R F
R' U2 D2 L' F U' F'
R U2 D F' U' F R
L2 U2 D' F' U' F B2
L2 U2 D' F' U' B2 F
R U2 D' L F U' F'
B' R2 L B L' U F'
R U2 D' F' U' F R
L2 U2 D2 F' R2 U' F
R' U2 F U' D' F' R
R U2 D2 L F U' F'
R' U2 F D' U' F' R
R U2 D2 F' U' F R
R U2 F L F U' F2
D2 R2 L2 B L2 U F
R2 U2 F U2 B U F'
D' R2 L2 B L2 U F
B' R2 L2 B L2 U F'
R U2 F U' F R F2
L2 U2 F' U' D' F B2
L2 U2 F' U' D' B2 F
L2 U2 F' U' F D' B2
D R2 L2 B L2 U F
L2 U2 F' D' U' F B2
L2 U2 F' D' U' B2 F
B' R2 U F' U' B U
L2 U2 F' D2 R2 U' F
R2 U2 F' U2 B U F
R U2 F' U' R F R
R U2 F' U' R' F R
R U2 F' U' R2 F R
R U2 F' U' D F R
R U2 F' U' D' F R
R U2 F' U' D2 F R
R U2 F' U' F R D
R U2 F' U' F R D'
R U2 F' U' F R D2
R U2 F' U' F D R
R U2 F' U' F D' R
R U2 F' U' F D2 R
R U2 F' D U' F R
R U2 F' D' U' F R
R U2 F' D2 U' F R
R U2 F2 L F U' F
R2 U2 F2 U2 B U F2
L U2 F2 R F U' F
R U2 F2 U' F R F
B2 R2 U' B2 U B' U
U R2 U' R2 U2 F' U'
B R2 U' B' U B2 U
B R2 U' B' U2 D' R2
B R2 U' B' D L2 U2
B R2 U' B' D' U2 R2
U R2 U' D' B U F2
U R2 U' B R2 U D
U R2 U' B R2 U D'
U R2 U' B R2 U D2
U R2 U' B R2 D U
U R2 U' B R2 D' U
U R2 U' B R2 D2 U
U R2 U' B U D' F2
U R2 U' B D' U F2
U R2 U' B' R2 B2 U
U R2 U' B2 R2 B' U
D2 R2 D B U' B' U2
F R2 U2 F2 B U' F2
D' R2 D B U' B' U2
F R2 U2 B F2 U' F2
B' R2 D B U D F'
B' R2 D B U D' F'
B' R2 D B U D2 F'
B' R2 D B U F' D
B' R2 D B U F' D'
B' R2 D B U F' D2
B' R2 D B D U F'
B' R2 D B D' U F'
B' R2 D B D2 U F'
B2 R2 D B U D F2
B2 R2 D B U2 L2 U'
B2 R2 D B D U F2
B2 R2 D B D2 R2 U
B R2 D B U D2 F2
B R2 D B U' B2 U2
D R2 D B U' B' U2
B R2 D B D' R2 U
B R2 D B D2 U F2
B2 R2 D' R2 U2 F' U'
D2 R2 D' B U' B' U2
D' R2 D' B U' B' U2
B' R2 D' B U D F'
B' R2 D' B U D' F'
B' R2 D' B U D2 F'
B' R2 D' B U F' D
B' R2 D' B U F' D'
B' R2 D' B U F' D2
B' R2 D' B D U F'
B' R2 D' B D' U F'
B' R2 D' B D2 U F'
L' D L U2 F' U' F
B2 R2 D' B R2 U D
B2 R2 D' B R2 U D'
B2 R2 D' B R2 U D2
B2 R2 D' B R2 D U
B2 R2 D' B R2 D' U
B2 R2 D' B R2 D2 U
B2 R2 D' B U D' F2
B2 R2 D' B D' U F2
B2 R2 D' B' R2 B2 U
B2 R2 D' B2 R2 B' U
D R2 D' B U' B' U2
B R2 D' B U D2 F2
B R2 D' B U' B2 U2
B R2 D' B D' R2 U
B R2 D' B D2 U F2
U R2 D' U' B U F2
D2 R2 D2 B U' B' U2
D' R2 D2 B U' B' U2
B' R2 D2 B U D F'
B' R2 D2 B U D' F'
B' R2 D2 B U D2 F'
B' R2 D2 B U F' D
B' R2 D2 B U F' D'
B' R2 D2 B U F' D2
B' R2 D2 B D U F'
B' R2 D2 B D' U F'
B' R2 D2 B D2 U F'
U R2 D' F2 U' B U
B2 R2 D2 B R U F2
B2 R2 D2 B R' U F2
B2 R2 D2 B R2 U F2
B2 R2 D2 B U F2 D
B2 R2 D2 B U F2 D'
B2 R2 D2 B U F2 D2
B2 R2 D2 B D R2 U
B R2 D2 B U D2 F2
D R2 D2 B U' B' U2
B R2 D2 B U' B2 U2
B R2 D2 B D' R2 U
B R2 D2 B D2 U F2
F' R2 F U2 F' U' F
L D L' U2 F' U' F
U R2 F U' B R2 U
U2 R2 F' R2 F' U' F2
R2 D L2 B L2 U F
U R2 F' U' B R2 U
U2 R2 F2 R2 F' U' F'
F2 R2 F2 U2 F' U' F
D' R2 B R U' B' U2
D2 R2 B R U' B' U2
D' R2 B R' U' B' U2
D2 R2 B R' U' B' U2
D' R2 B R2 U' B' U2
D2 R2 B R2 U' B' U2
D' R2 B U L2 F L2
D2 R2 B U L2 F L2
B' R2 B R2 U' B U2
D' R2 B U' D B' U2
D' R2 B U' D' B' U2
D' R2 B U' D2 B' U2
D2 R2 B U' D B' U2
D2 R2 B U' D' B' U2
D2 R2 B U' D2 B' U2
B' R2 B U L' F' L
B' R2 B U L2 F' L2
D' R2 B U' B' U2 D
D' R2 B U' B' U2 D'
D' R2 B U' B' U2 D2
D' R2 B U' B' D U2
D' R2 B U' B' D' U2
D' R2 B U' B' D2 U2
D2 R2 B U' B' U2 D
D2 R2 B U' B' U2 D'
D2 R2 B U' B' U2 D2
D2 R2 B U' B' D U2
D2 R2 B U' B' D' U2
D2 R2 B U' B' D2 U2
B' R2 B U D F' D
B' R2 B U D F' D'
B' R2 B U D F' D2
B' R2 B U D' F' D
B' R2 B U D' F' D'
B' R2 B U D' F' D2
D' R2 B U2 L2 U' F
B' R2 B U D2 F' D
B' R2 B U D2 F' D'
B' R2 B U D2 F' D2
D2 R2 B U2 L2 U' F
B' R2 B U F2 D F
B' R2 B U F2 D' F
B' R2 B U F2 D2 F
B' R2 B U' B U2 F'
D' R2 B D U' B' U2
B' R2 B U' B' U2 F'
B' R2 B U' B2 U2 F'
D2 R2 B D U' B' U2
B' R2 B U2 L U' F'
B' R2 B U2 L' U' F'
B' R2 B U2 L2 U' F'
B2 R2 B R2 U D F'
B2 R2 B R2 U D' F'
B2 R2 B R2 U D2 F'
B2 R2 B R2 U F' D
B2 R2 B R2 U F' D'
B2 R2 B R2 U F' D2
R D R B U' B' U2
B2 R2 B R2 D U F'
B2 R2 B R2 D' U F'
B2 R2 B R2 D2 U F'
D' R2 B D' U' B' U2
D2 R2 B D' U' B' U2
B' R2 B D U F' D
B' R2 B D U F' D'
B' R2 B D U F' D2
B2 R2 B U R2 F' R2
D' R2 B D2 U' B' U2
D2 R2 B D2 U' B' U2
U R2 F2 U' B R2 U
B' R2 B D' U F' D
B' R2 B D' U F' D'
B' R2 B D' U F' D2
B2 R2 B U' D B U2
