B U F' U R
B L U F' U R
B L' U F' U R
B L2 U F' U R
R2 U' B U' F' R
B U F' U R D
B U F' U R D'
B U F' U R D2
B U F' U D R
B U F' U D' R
B U F' U D2 R
B U F' D U R
B U F' D' U R
B U F' D2 U R
B U F' B U R
B U F' B' U R
B U F' B2 U R
B U B F' U R
B U B' F' U R
B U B2 F' U R
U F' R2 U F' R'
U F' U R2 F' R'
U F' U' B U2 R
L' B U F' U R
D2 B U F' U R'
L2 B U F' U R
L B U F' U R
B U2 L U' F' U R
B U2 L' U' F' U R
B U2 L2 U' F' U R
U D2 F' U' B U2 R'
L' D2 B U F' U R'
L2 D2 B U F' U R'
L D2 B U F' U R'
U F R F2 U R F'
U F R2 F2 U R F
F D L' R2 U2 F' B
F D L' R2 U2 B F'
F D L' F' R2 U2 F'
F D L' F' B R2 U2
F D L' B R2 U2 B
F D L' B F' R2 U2
F D R2 L' U2 F' B
F D R2 L' U2 B F'
R2 F' L2 R D B' L
R2 F' L2 B' R D L2
R2 F' L2 B' D L2 R
R2 F' L2 B' D R L2
R2 F' R L2 D B' L
R2 F' R D L2 B' L
F D F' R2 U2 F' R
F D B L' R2 U2 B
F D B L' F' R2 U2
F D B R2 L' U2 B
U F' R2 U D F' R'
U F' R2 U D' F' R'
U F' R2 U D2 F' R'
U F' R2 U F R' F2
U F' R2 U F' R' D
U F' R2 U F' R' D'
U F' R2 U F' R' D2
U F' R2 U F' D R'
U F' R2 U F' D' R'
U F' R2 U F' D2 R'
U F' R2 U F2 R' F
U F' R2 D U F' R'
U F' R2 D' U F' R'
U F' R2 D2 U F' R'
U' F' U' B U2 R B'
U' F' U' B U2 B' R
D2 F' U' F B U2 R'
D2 F' U' B F U2 R'
U F' U R2 D F' R'
U F' U R2 D' F' R'
U F' U R2 D2 F' R'
U F' U R2 F R' F2
U F' U R2 F' R' D
U F' U R2 F' R' D'
U F' U R2 F' R' D2
U F' U R2 F' D R'
U F' U R2 F' D' R'
U F' U R2 F' D2 R'
U F' U R2 F2 R' F
U F' U D R2 F' R'
U F' U D' R2 F' R'
U F' U D2 R2 F' R'
U F' U F R2 F' R
U F' U' L B U2 R
U F' U' L' B U2 R
U F' U' L2 B U2 R
B D' L U F' B' U
B D' L U B' F' U
U F' U' D B U2 R
U F' U' D' B U2 R
U F' U' D2 B U2 R
U F' U' B L U2 R
U F' U' B L' U2 R
U F' U' B L2 U2 R
U F' U' B U2 R D
U F' U' B U2 R D'
U F' U' B U2 R D2
U F' U' B U2 D R
U F' U' B U2 D' R
U F' U' B U2 D2 R
U F' U' B D U2 R
U F' U' B D' U2 R
U F' U' B D2 U2 R
U F' D R2 U F' R'
U F' D U R2 F' R'
U F' D U' B U2 R
U F' D' R2 U F' R'
U F' D' U R2 F' R'
U F' D' U' B U2 R
U F' D2 R2 U F' R'
U F' D2 U R2 F' R'
U F' D2 U' B U2 R
R2 F' B' R D L2 B'
R2 F' B' D L2 R B'
R2 F' B' D L2 B' R
R2 F' B' D R L2 B'
U F' B' U R D2 F2
U F' B' U D2 R F2
U F' B' U' B2 U2 R
U F' B' D' R2 U R'
U F' B' D2 U R F2
U F' B2 U' B' U2 R
U F2 R F U R F'
U F2 R2 F U R F2
B D2 R2 U' B U' R'
D2 B L U F' U R'
D' B L U F' B' U
D' B L U B' F' U
L' B L U F' U R
B D2 U F' B U R'
L2 B L U F' U R
B D2 U B F' U R'
D2 B L' U F' U R'
L' B L' U F' U R
L2 B L' U F' U R
D2 B L2 U F' U R'
L B L U F' U R
L' B L2 U F' U R
L2 B L2 U F' U R
L B L' U F' U R
L B L2 U F' U R
D2 B R2 U' B U' R
B2 D2 B' L U F' U
D2 B U D F' U R'
D2 B U D' F' U R'
D' B U D F' U R
D2 B U D2 F' U R'
D2 B U F' U R' D
D2 B U F' U R' D'
D2 B U F' U R' D2
D2 B U F' U D R'
D2 B U F' U D' R'
D2 B U F' U D2 R'
D2 B U F' D U R'
D2 B U F' D' U R'
D2 B U F' D2 U R'
L' B U F' U R D
L' B U F' U R D'
L' B U F' U R D2
L' B U F' U D R
L' B U F' U D' R
L' B U F' U D2 R
L' B U F' D U R
L' B U F' D' U R
L' B U F' D2 U R
L' B U F' B U R
L' B U F' B' U R
L' B U F' B2 U R
L' B U B F' U R
L' B U B' F' U R
L' B U B2 F' U R
U2 B U F' U R B'
U2 B U F' U B' R
L2 B U F' U R D
L2 B U F' U R D'
L2 B U F' U R D2
L2 B U F' U D R
L2 B U F' U D' R
L2 B U F' U D2 R
L2 B U F' D U R
L2 B U F' D' U R
L2 B U F' D2 U R
L2 B U F' B U R
L2 B U F' B' U R
L2 B U F' B2 U R
L2 B U B F' U R
L2 B U B' F' U R
L2 B U B2 F' U R
D B U D' F' U R
U' B U2 F' U R F
L B U F' U R D
L B U F' U R D'
L B U F' U R D2
L B U F' U D R
L B U F' U D' R
L B U F' U D2 R
L B U F' D U R
L B U F' D' U R
L B U F' D2 U R
L B U F' B U R
L B U F' B' U R
L B U F' B2 U R
L B U B F' U R
L B U B' F' U R
L B U B2 F' U R
D2 B D U F' U R'
D' B D U F' U R
B F L' D R2 U2 B
B F L' D F' R2 U2
B F L' D' F' U2 L2
D2 B D' U F' U R'
B F L' F' U F' U
F B L' D R2 U2 B
F B L' D F' R2 U2
F B L' D' F' U2 L2
F B L' F' U F' U
D2 B D2 U F' U R'
D B D' U F' U R
D2 B' L B2 U F' U
B F D L' R2 U2 B
B F D L' F' R2 U2
B F D R2 L' U2 B
F B D L' R2 U2 B
F B D L' F' R2 U2
F B D R2 L' U2 B
B2 F' L2 U R F B'
B2 F' L2 U R B' F
B2 F' L2 U B' R F
R2 B' U' B2 U' F' R
R2 B' U2 F' R D L2
R2 B' U2 F' D L2 R
R2 B' U2 F' D R L2
R2 B' F' R D L2 B'
R2 B' F' D L2 R B'
R2 B' F' D L2 B' R
R2 B' F' D R L2 B'
U B' F' U R D2 F2
U B' F' U D2 R F2
U B' F' U' B2 U2 R
U B' F' D' R2 U R'
U B' F' D2 U R F2
F' B2 L2 U R F B'
F' B2 L2 U R B' F
F' B2 L2 U B' R F
R2 B2 U' B' U' F' R
U B2 F' U' B' U2 R
