U2 D' F' B' L U'
U2 D' B' L F' U'
U2 D' B' F' L U'
D' U2 F' B' L U'
D' U2 B' L F' U'
D' U2 B' F' L U'
U2 F' D' B' L U'
U2 F' B' L' U' F
U2 B' L' F' U' F2
U2 B' F' L' U' F
U2 D' B' F' L D U'
U2 D' B' F' L D' U'
U2 D' B' F' L D2 U'
U D' B' L F' U' B
U2 D' B' F' D L U'
U2 D' B' F' D' L U'
U2 D' B' F' D2 L U'
U D' B' F' L U' B
D' U2 F B' L F2 U'
B2 U2 L' F' B U' F2
B2 U2 L' B F' U' F2
D2 U2 F' D B' L U'
D' U2 F' B' L U' D
D' U2 F' B' L U' D'
D' U2 F' B' L U' D2
D' U2 F' B' L D U'
D' U2 F' B' L D' U'
D' U2 F' B' L D2 U'
D' U2 F' B' D L U'
D' U2 F' B' D' L U'
D' U2 F' B' D2 L U'
B U2 L' F' B2 U' F2
D U2 F B' L' F2 U'
B U2 L' B2 F' U' F2
U2 D2 F' D B' L U'
D U2 F' B' U2 R U
D' U2 B' L D F' U'
D' U2 B' L D' F' U'
D' U2 B' L D2 F' U'
D' U2 B' L F' U' D
D' U2 B' L F' U' D'
D' U2 B' L F' U' D2
D' U2 B' L F' D U'
D' U2 B' L F' D' U'
D' U2 B' L F' D2 U'
D' U2 B' L' F' L2 U'
D' U2 B' D L F' U'
D' U2 B' D F' L U'
D' U2 B' D' L F' U'
D' U2 B' D' F' L U'
D' U2 B' D2 L F' U'
D' U2 B' D2 F' L U'
D' U2 B' F L F2 U'
D' U2 B' F' L U' D
D' U2 B' F' L U' D'
D' U2 B' F' L U' D2
D' U2 B' F' L D U'
D' U2 B' F' L D' U'
D' U2 B' F' L D2 U'
D' U2 B' F' D L U'
D' U2 B' F' D' L U'
D' U2 B' F' D2 L U'
F2 U2 D F B' L' U'
D U2 B' F L' F2 U'
D U2 B' F' U2 R U
F2 U2 D B' F L' U'
F2 U2 D' F B' L U'
F2 U2 D' B' F L U'
F2 U2 F D' B' L U'
F2 U2 F B' L' U' F
B2 U2 F' L' B U' F
U F L' D R2 F L'
U F L' D F L' R2
U F L' D F R2 L'
B2 U2 F' B L' U' F
B U2 F' L' B2 U' F
B U2 F' B2 L' U' F
B2 U2 B L' F' U' F2
B2 U2 B F' L' U' F
F U2 F2 D' B' L U'
F U2 F2 B' L' U' F
F2 U2 B' L' U' F R
F2 U2 B' D F L' U'
F2 U2 B' F L' U' F
F U2 B' L' F2 U' F'
B U2 B2 L' F' U' F2
F U2 B' F2 L' U' F
B U2 B2 F' L' U' F
D' F U2 F2 B' L U'
D' F U2 B' L F2 U'
D' F U2 B' F2 L U'
D F U2 B' L' F2 U'
D' F B' L F2 R U'
B2 D R2 F' B R U
U2 F B' L' F2 U' F'
B2 D R2 B F' R U
U2 F' L U B' R' U2
F2 D U2 F B' L' U'
F2 D U2 B' F L' U'
U2 F' L' U' D F L'
U2 F' L' D U' F L'
U2 F' U' L' D F L'
U2 F' D' B' L U' D
U2 F' D' B' L U' D'
U2 F' D' B' L U' D2
U2 F' D' B' L D U'
U2 F' D' B' L D' U'
U2 F' D' B' L D2 U'
U2 F' D' B' D L U'
U2 F' D' B' D' L U'
U2 F' D' B' D2 L U'
U F' D' B' L U' B
D' F' B' L U2 L' U
U2 F' B L' B2 U' F
U2 F' B' L U B' U2
B2 D' R2 F' B R' U
U2 F' B' L' U' D F
U2 F' B' L' U' D' F
U2 F' B' L' U' D2 F
U2 F' B' L' U' F D
U2 F' B' L' U' F D'
U2 F' B' L' U' F D2
U2 F' B' L' D U' F
U2 F' B' L' D' U' F
U2 F' B' L' D2 U' F
B2 D' R2 B F' R' U
U2 F' B' U' L' F L
U2 F' B2 L' B U' F
U F' B' L' U' F B
U F' B' L' U' B F
F2 D' U2 F B' L U'
F2 D' U2 B' F L U'
F' D' B' L U2 L' U
D' F2 U2 F B' L U'
D' F2 U2 B' F L U'
U2 F2 D F B' L' U'
U2 F2 D B' F L' U'
U2 F2 D' F B' L U'
U2 F2 D' B' F L U'
B D2 R F2 U F R
U2 F2 B' L' U' F R
U2 F2 B' D F L' U'
U2 B L' F' B2 U' F2
U2 B L' B2 F' U' F2
R2 B U L D L2 F
R2 B U L' D F L2
R2 B U L' F D L2
D' B U2 F' B2 L U'
D' B U2 B2 L F' U'
D' B U2 B2 F' L U'
R2 B U2 L' B2 U' F
F' B L' B2 R' U' F
R2 B U2 B2 L' U' F
R2 B D F' R U L2
R2 B D2 R F2 U F
R2 B D2 F2 R U F'
U2 B F' L' B2 U' F
D' B' L F2 R F U'
U2 B' L F' L2 U' F
U2 B' L F' U B' U2
U2 B' L' U' F D R2
U2 B' L' D F' U' F2
U2 B' L' D' F' U' F2
U2 B' L' D2 F' U' F2
U2 B' L' F' L U' F2
U2 B' L' F' L' U' F2
U2 B' L' F' L2 U' F2
U2 B' L' F' U' F2 D
U2 B' L' F' U' F2 D'
U2 B' L' F' U' F2 D2
U2 B' L' F' D' L2 U'
U2 B' L2 F' L U' F
U B' L' F' U' F2 B
U B' L' F' U' B F2
B F' L' B2 R' U' F
U2 B' D F L' F2 U'
U2 B' D F' U2 R U
D' B' F L F2 R U'
D' B' F' L U2 L' U
U2 B' F L' F2 U' F'
U2 B' F' L U B' U2
U2 B' F' L' U' D F
U2 B' F' L' U' D' F
U2 B' F' L' U' D2 F
U2 B' F' L' U' F D
U2 B' F' L' U' F D'
U2 B' F' L' U' F D2
U2 B' F' L' D U' F
U2 B' F' L' D' U' F
U2 B' F' L' D2 U' F
U2 B' F' U' L' F L
U2 B' F2 L' U' F R
U2 B' F2 D F L' U'
U B' F' L' U' F B
U B' F' L' U' B F
U2 B2 L' F' B U' F2
U2 B2 L' B F' U' F2
D B2 R2 F' B R U
D B2 R2 B F' R U
D' B2 U2 F' L' B U'
D' B2 U2 F' B L' U'
D' B2 U2 B F' L' U'
U2 B2 F' L' B U' F
