D' L2 B' R2 U F'
D' L2 B' U' B U2
F2 R2 U F2 B U
F2 R2 U B F2 U
D' U L2 B' U L2
U2 D R2 F U' F'
F2 U F2 U2 F U'
U D' L2 B' U L2
F2 U' D' F' U' L2
F2 U' D2 F' B2 U'
F2 U' D2 B2 F' U'
F2 U' F' U2 F' U
U2 D2 F U' F' B2
U2 D2 F U' B2 F'
D2 U2 F U' F' B2
D2 U2 F U' B2 F'
D U2 R2 F U' F'
U2 F L2 U' F' B'
U2 F L2 U' B' F'
U2 F U F U2 F2
U2 F U' F' D2 B2
F2 D R2 U B U
B2 D' L2 R2 B' U
B2 D' L2 B' R2 U
B D' L2 B' U F
B2 D' R2 L2 B' U
B2 D' R2 L2 B' U
F2 D' U' F' U' L2
L2 F2 U F2 B' U
U' F2 U' F' U' F
L2 F2 U B' F2 U
F2 D2 U' F' B2 U'
F2 D2 U' B2 F' U'
D' B L2 B' U F
L2 B' U' F2 B U2
L2 B' U' B F2 U2
F' L2 F' U' F' B' U'
F' L2 F' U' B' F' U'
U L2 F B' U L2 B'
U' L2 F2 U' L2 F U'
D2 L2 B' R2 U F' B'
D2 L2 B' R2 U B' F'
D' L2 B' R2 U D F'
D' L2 B' R2 U D' F'
D' L2 B' R2 U D2 F'
D' L2 B' R2 U F' D
D' L2 B' R2 U F' D'
D' L2 B' R2 U F' D2
D' L2 B' R2 D U F'
D' L2 B' R2 D' U F'
D' L2 B' R2 D2 U F'
D2 L2 B' U B' D2 F2
D' L2 B' U R2 F' R2
D2 L2 B' U' B U2 B2
B' L2 B' U D2 F2 B2
B' L2 B' U D2 B2 F2
D' L2 B' U' D B U2
D' L2 B' U' D' B U2
D' L2 B' U' D2 B U2
D' L2 B' U' B U2 D
D' L2 B' U' B U2 D'
D' L2 B' U' B U2 D2
D' L2 B' U' B D U2
D' L2 B' U' B D' U2
D' L2 B' U' B D2 U2
B' L2 B' U' F2 B2 U2
B' L2 B' U' B2 F2 U2
D' L2 B' D R2 U F'
D' L2 B' D U' B U2
D' L2 B' D' R2 U F'
B' L2 B' D' L2 R2 U
D' L2 B' D' U' B U2
B' L2 B' D' R2 L2 U
B2 L2 B' U' F2 B' U2
B2 L2 B' U' B' F2 U2
D' L2 B' D2 R2 U F'
D' L2 B' D2 U' B U2
B' L2 B' D2 U F2 B2
B' L2 B' D2 U B2 F2
B L2 B' U D2 F B2
B L2 B' U D2 B2 F
B2 L2 B' D' L2 U F
B L2 B' U' F2 U2 F'
D L2 B' U2 R2 U' F'
U L2 B' U L2 D2 B2
B L2 B' D2 U F B2
B L2 B' D2 U B2 F
U L2 B' U' F2 U2 L2
R' U D' L2 B' U L2
U L2 B' F U L2 B'
D' L2 B2 D' B R2 U
D' L2 B2 D2 B U F2
R2 U D' L2 B' U L2
R U D' L2 B' U L2
L2 U D' B' L2 U L2
D' R L2 B' R2 U F'
D' R L2 B' U' B U2
D' R U L2 B' U L2
D2 R U2 F U' F' B2
D2 R U2 F U' B2 F'
D R U2 R F U' F'
L2 U B' D' L2 U L2
U2 R D R2 F U' F'
B2 R D' L2 R2 B' U
B2 R D' L2 B' R2 U
B2 R D' R2 L2 B' U
B R D' L2 B' U F
U' R D2 F U' B2 L
U2 R D2 F U' F' B2
U2 R D2 F U' B2 F'
U2 R F L2 U' F' B'
U2 R F L2 U' B' F'
U' R F U R' F U2
U' R F U F R' U2
U2 R F U F U2 F2
U2 R F U' F' D2 B2
D' R B L2 B' U F
D' R' L2 B' R2 U F'
D' R' L2 B' U' B U2
D' R' U L2 B' U L2
R' U' F2 U' F' U' F
R2 U' F2 U' F' U' F
R U' F2 U' F' U' F
D2 R' U2 F U' F' B2
D2 R' U2 F U' B2 F'
D R' U2 R' F U' F'
U2 R' D R2 F U' F'
B2 R' D' L2 R2 B' U
B2 R' D' L2 B' R2 U
B2 R' D' R2 L2 B' U
B R' D' L2 B' U F
U2 R' D2 F U' F' B2
U2 R' D2 F U' B2 F'
U' R' F U F U2 L'
U2 R' F L2 U' F' B'
U2 R' F L2 U' B' F'
U2 R' F U F U2 F2
U2 R' F U' F' D2 B2
D' R' B L2 B' U F
R' U2 D R2 F U' F'
R2 U2 D R2 F U' F'
R U2 D R2 F U' F'
R' U2 D2 F U' F' B2
R' U2 D2 F U' B2 F'
F2 R2 L U F2 B U
F2 R2 L U B F2 U
R' U2 F L2 U' F' B'
R' U2 F L2 U' B' F'
R' U2 F U F U2 F2
F2 R2 L' U F2 B U
F2 R2 L' U B F2 U
R2 U2 D2 F U' F' B2
R2 U2 D2 F U' B2 F'
R' U2 F U' F' D2 B2
R U2 D2 F U' F' B2
R U2 D2 F U' B2 F'
R2 U2 F L2 U' F' B'
R2 U2 F L2 U' B' F'
F2 R2 L2 U F2 B U
F2 R2 L2 U B F2 U
R2 U2 F U F U2 F2
R2 U2 F U' F' D2 B2
R U2 F L2 U' F' B'
R U2 F L2 U' B' F'
D' R2 L2 B' R2 U F'
D' R2 L2 B' U' B U2
R U2 F U F U2 F2
R U2 F U' F' D2 B2
D' R2 U L2 B' U L2
B' R2 U F' D R2 B
F2 R2 U D' B U L2
F2 R2 U F2 D B U
F2 R2 U F2 D' B U
F2 R2 U F2 D2 B U
F2 R2 U F2 B U D
F2 R2 U F2 B U D'
F2 R2 U F2 B U D2
F2 R2 U F2 B D U
F2 R2 U F2 B D' U
F2 R2 U F2 B D2 U
F2 R2 U B U D' L2
F2 R2 U B D' U L2
F2 R2 U B F2 U D
F2 R2 U B F2 U D'
F2 R2 U B F2 U D2
F2 R2 U B F2 D U
F2 R2 U B F2 D' U
F2 R2 U B F2 D2 U
D2 R2 U2 F U' F' B2
D2 R2 U2 F U' B2 F'
U' R2 D R2 F B2 U'
U' R2 D R2 B2 F U'
U' R2 D F R2 B2 U'
F2 R2 D R2 U' F' U'
U' R2 D F B2 R2 U'
U2 R2 D R2 F U' F'
U' R2 D B2 R2 F U'
U' R2 D B2 F R2 U'
B' R2 D' L2 B' U F'
B2 R2 D' L2 R2 B' U
B2 R2 D' L2 B' R2 U
B2 R2 D' R2 L2 B' U
F2 R2 D' U B U L2
B R2 D' L2 B' U F
U' R2 D2 F U' L2 B2
U' R2 D2 F U' B2 L2
U2 R2 D2 F U' F' B2
U2 R2 D2 F U' B2 F'
U' R2 F U R2 F U2
U' R2 F U F R2 U2
U' R2 F U' D2 L2 B'
U2 R2 F L2 U' F' B'
U2 R2 F L2 U' B' F'
U' R2 F D2 U' L2 B'
U2 R2 F U F U2 F2
U2 R2 F U' F' D2 B2
D R2 F U2 F' U F
F R2 F U' F' B U'
F R2 F U' B F' U'
D' R2 B L2 B' U F
F R2 B L2 U' F B'
F R2 B L2 U' B' F
F R2 B U F B' U2
F R2 B U B' F U2
R' D U2 R2 F U' F'
R2 D U2 R2 F U' F'
R D U2 R2 F U' F'
D' U L2 D F2 B' U
D' U L2 D B' F2 U
D' U L2 F B' U L2
D' U L2 F' B' U L2
D' U L2 F2 B' U L2
D' U L2 B' U L2 D
D' U L2 B' U L2 D'
D' U L2 B' U L2 D2
D' U L2 B' D F2 U
D' U L2 B' F U L2
D' U L2 B' F' U L2
D' U L2 B' F2 U L2
D2 U L2 B' U B' L2
F2 U L2 F2 L2 B' U
U' D R2 D F B2 U'
U' D R2 D B2 F U'
U' D R2 D2 F U' L2
U' D R2 F U R2 U2
U' D R2 F U' D2 L2
U' D R2 F D B2 U'
U' D R2 F D2 U' L2
B' U R2 F' D R2 B
U2 D R2 D F U' F'
U2 D R2 D' F U' F'
U2 D R2 D2 F U' F'
U2 D R2 F L U' F'
U2 D R2 F L' U' F'
U2 D R2 F L2 U' F'
U2 D R2 F U' D F'
U2 D R2 F U' D' F'
U2 D R2 F U' D2 F'
U2 D R2 F U' F' D
U2 D R2 F U' F' D'
U2 D R2 F U' F' D2
U2 D R2 F D U' F'
U2 D R2 F D' U' F'
U2 D R2 F D2 U' F'
F2 U R2 F2 B R2 U
F2 U R2 B R2 F2 U
F2 U R2 B F2 R2 U
L2 D B' U2 R2 U' F'
U' D F R2 U R2 U2
U' D F R2 U' D2 L2
U' D F R2 D B2 U'
U' D F R2 D2 U' L2
U2 D F R2 U B U2
U2 D F U' D F' B2
U2 D F U' D B2 F'
U2 D F U' F' D B2
U2 D F D U' F' B2
U2 D F D U' B2 F'
U2 D F' R2 F2 U' F'
D' U B L2 B' U L2
F' U F D' L2 B' U
F2 U F D F U R2
R' D' L2 B' R2 U F'
F2 U F D2 F B2 U
R' D' L2 B' U' B U2
F2 U F D2 B2 F U
L2 D' L2 U2 F U' F'
D' U B' L2 B' U L2
B' U F' D R2 F' B
B' U F' D R2 B F'
F U F U F2 U F2
R2 D' L2 B' R2 U F'
R2 D' L2 B' U' B U2
F2 U F2 L2 B' L2 U
D' U B2 L2 B' U L2
R D' L2 B' R2 U F'
D2 U B2 U F U' F'
F2 U F2 U2 D F U'
R D' L2 B' U' B U2
F2 U F2 U2 D' F U'
F2 U F2 U2 D2 F U'
F2 U F2 U2 F U' D
F2 U F2 U2 F U' D'
F2 U F2 U2 F U' D2
F2 U F2 U2 F D U'
F2 U F2 U2 F D' U'
F2 U F2 U2 F D2 U'
F2 U F2 D U2 F U'
F2 U F2 D' U2 F U'
F2 U F2 D2 U2 F U'
F2 U F2 B U2 F U'
F2 U F2 B' U2 F U'
F2 U F2 B2 U2 F U'
F2 U B F2 U2 F U'
R' D' U L2 B' U L2
F2 U B' F2 U2 F U'
R2 D' U L2 B' U L2
L2 D' U B' L2 U L2
R D' U L2 B' U L2
F2 U B2 F2 U2 F U'
D2 U' R F U' B2 L
U D' L2 D F2 B' U
U D' L2 D B' F2 U
U D' L2 F B' U L2
U D' L2 F' B' U L2
U D' L2 F2 B' U L2
U D' L2 B' U L2 D
U D' L2 B' U L2 D'
U D' L2 B' U L2 D2
U D' L2 B' D F2 U
U D' L2 B' F U L2
U D' L2 B' F' U L2
U D' L2 B' F2 U L2
D2 U' F R U' B2 L
D' U' F U2 L2 U L2
U' D' F U2 L2 U L2
D U' R2 D F B2 U'
D U' R2 D B2 F U'
R' D' B L2 B' U F
D2 U' F U' B2 D L2
D U' R2 D2 F U' L2
D U' R2 F U R2 U2
D U' R2 F U' D2 L2
D U' R2 F D B2 U'
D U' R2 F D2 U' L2
U2 D' F U' D' F' B2
U2 D' F U' D' B2 F'
U2 D' F U' F' D' B2
U2 D' F U2 L2 U F'
L2 D' B L2 B2 U F
U2 D' F D' U' F' B2
U2 D' F D' U' B2 F'
D U' F R2 U R2 U2
D U' F R2 U' D2 L2
D U' F R2 D B2 U'
D U' F R2 D2 U' L2
R2 D' B L2 B' U F
L D' B L2 U R' F
L D' B L2 U F R'
L2 D' B' L2 R2 U F'
L2 D' B' L2 U' B U2
R D' B L2 B' U F
L2 D' B' R2 L2 U F'
F2 U' D F' U R2 U2
F2 U' D F' U' D2 L2
F2 U' D F' D B2 U'
F2 U' D F' D2 U' L2
F2 U' D' F' U' L2 D
F2 U' D' F' U' L2 D'
F2 U' D' F' U' L2 D2
F2 U' D' F' D' B2 U'
F2 U' D' F' B U' L2
F2 U' D' F' B' U' L2
F2 U' D' F' B2 U' L2
F2 U' D' B F' U' L2
F2 U' D' B' F' U' L2
F2 U' D' B2 F' U' L2
U D' B L2 B' U L2
F2 U' D2 F' U' D L2
F2 U' D2 F' D U' L2
F2 U' D2 F' B2 U' D
F2 U' D2 F' B2 U' D'
F2 U' D2 F' B2 U' D2
F2 U' D2 F' B2 D U'
F2 U' D2 F' B2 D' U'
F2 U' D2 F' B2 D2 U'
F2 U' D2 B2 D F' U'
F2 U' D2 B2 D' F' U'
F2 U' D2 B2 D2 F' U'
F2 U' D2 B2 F' U' D
F2 U' D2 B2 F' U' D'
F2 U' D2 B2 F' U' D2
F2 U' D2 B2 F' D U'
F2 U' D2 B2 F' D' U'
F2 U' D2 B2 F' D2 U'
U D' B' L2 B' U L2
U D' B2 L2 B' U L2
F2 U' F' R2 B R2 U'
F2 U' F' U2 D F' U
F2 U' F' U2 D' F' U
F2 U' F' U2 D2 F' U
F2 U' F' U2 F' U D
F2 U' F' U2 F' U D'
F2 U' F' U2 F' U D2
F2 U' F' U2 F' D U
F2 U' F' U2 F' D' U
F2 U' F' U2 F' D2 U
F2 U' F' D U2 F' U
F2 U' F' D' U2 F' U
F2 U' F' D2 U2 F' U
F2 U' F' B U2 F' U
F2 U' F' B' U2 F' U
F2 U' F' B2 U2 F' U
B' U' F2 B U' F' U'
B2 U' F2 B2 U' F' U'
B' U' B F2 U' F' U'
B U' F2 B' U' F' U'
F2 U' B D' F' U' L2
F2 U' B D2 F' B2 U'
F2 U' B D2 B2 F' U'
F2 U' B F' U2 F' U
U' D2 R F U' B2 L
D2 U2 R F U' F' B2
D2 U2 R F U' B2 F'
F2 U' B' D' F' U' L2
U2 D2 R F U' F' B2
U2 D2 R F U' B2 F'
F2 U' B' D2 F' B2 U'
F2 U' B' D2 B2 F' U'
F2 U' B' F' U2 F' U
U D2 L2 B' U B' L2
D2 U2 R' F U' F' B2
D2 U2 R' F U' B2 F'
B U' B' F2 U' F' U'
F2 U' B2 D' F' U' L2
U2 D2 R' F U' F' B2
U2 D2 R' F U' B2 F'
F2 U' B2 D2 F' B2 U'
B2 U' B2 F2 U' F' U'
F2 U' B2 D2 B2 F' U'
F2 U' B2 F' U2 F' U
R' D2 U2 F U' F' B2
R' D2 U2 F U' B2 F'
D2 U2 R2 F U' F' B2
D2 U2 R2 F U' B2 F'
D2 U2 F L U' F' B2
D2 U2 F L U' B2 F'
U' D2 F R U' B2 L
D2 U2 F L' U' F' B2
D2 U2 F L' U' B2 F'
D2 U2 F L2 U' F' B2
D2 U2 F L2 U' B2 F'
U2 D2 R2 F U' F' B2
U2 D2 R2 F U' B2 F'
D' U2 F U' D' F' B2
D' U2 F U' D' B2 F'
D' U2 F U' F' D' B2
U' D2 F U' B2 D L2
D' U2 F U2 L2 U F'
D2 U2 F U' F' B2 D
D2 U2 F U' F' B2 D'
D2 U2 F U' F' B2 D2
D2 U2 F U' B2 D F'
D2 U2 F U' B2 D' F'
D2 U2 F U' B2 D2 F'
D2 U2 F U' B2 F' D
D2 U2 F U' B2 F' D'
D2 U2 F U' B2 F' D2
D' U2 F D' U' F' B2
D' U2 F D' U' B2 F'
R2 D2 U2 F U' F' B2
R2 D2 U2 F U' B2 F'
D U2 R2 D F U' F'
U2 D2 F L U' F' B2
U2 D2 F L U' B2 F'
D U2 R2 D' F U' F'
U2 D2 F L' U' F' B2
U2 D2 F L' U' B2 F'
D U2 R2 D2 F U' F'
D U2 R2 F L U' F'
D U2 R2 F L' U' F'
D U2 R2 F L2 U' F'
U2 D2 F L2 U' F' B2
U2 D2 F L2 U' B2 F'
D U2 R2 F U' D F'
D U2 R2 F U' D' F'
D U2 R2 F U' D2 F'
D U2 R2 F U' F' D
D U2 R2 F U' F' D'
D U2 R2 F U' F' D2
D U2 R2 F D U' F'
D U2 R2 F D' U' F'
D U2 R2 F D2 U' F'
U2 D2 F U' F' B2 D
U2 D2 F U' F' B2 D'
U2 D2 F U' F' B2 D2
U2 D2 F U' B2 D F'
U2 D2 F U' B2 D' F'
U2 D2 F U' B2 D2 F'
U2 D2 F U' B2 F' D
U2 D2 F U' B2 F' D'
U2 D2 F U' B2 F' D2
R D2 U2 F U' F' B2
R D2 U2 F U' B2 F'
D U2 F R2 U B U2
D U2 F U' D F' B2
D U2 F U' D B2 F'
D U2 F U' F' D B2
D U2 F D U' F' B2
D U2 F D U' B2 F'
D U2 F' R2 F2 U' F'
F U2 L2 F' U F B'
F U2 L2 F' U B' F
F2 U2 R2 U' F2 B U
F2 U2 R2 U' B F2 U
L2 D2 B' R2 U F' B'
L2 D2 B' R2 U B' F'
L2 D2 B' U B' D2 F2
L2 D2 B' U' B U2 B2
B' U2 D R2 F U' F2
D2 U2 B2 U F B2 U'
D2 U2 B2 U B2 F U'
B' U2 D F R2 U' F'
B2 U2 D R2 F L2 U'
B2 U2 D F L2 R2 U'
B2 U2 D F R2 L2 U'
U2 D2 B2 U F B2 U'
U2 D2 B2 U B2 F U'
F2 U2 D' L2 U F' U'
U D2 B2 U F U' F'
B2 U2 D2 F U' F B2
B2 U2 D2 F U' B2 F
B' U2 F U F B U2
B' U2 F U B F U2
B2 U2 F U F B2 U2
B2 U2 F U B2 F U2
B2 U2 F D L2 U' B'
B U2 F L2 U' F B'
B U2 F L2 U' B' F
U2 F L2 U' D F' B'
U2 F L2 U' D B' F'
U2 F L2 U' D' F' B'
U2 F L2 U' D' B' F'
U2 F L2 U' D2 F' B'
U2 F L2 U' D2 B' F'
U2 F L2 U' F' D B'
U2 F L2 U' F' D' B'
U2 F L2 U' F' D2 B'
U2 F L2 U' F' B' D
U2 F L2 U' F' B' D'
U2 F L2 U' F' B' D2
U2 F L2 U' B' D F'
U2 F L2 U' B' D' F'
U2 F L2 U' B' D2 F'
U2 F L2 U' B' F' D
U2 F L2 U' B' F' D'
U2 F L2 U' B' F' D2
U' F R U R' F U2
U' F R U F R' U2
U2 F L2 D U' F' B'
U2 F L2 D U' B' F'
U2 F L2 D' U' F' B'
U2 F L2 D' U' B' F'
B U2 F U F B' U2
U2 F L2 D2 U' F' B'
U2 F L2 D2 U' B' F'
B U2 F U B' F U2
U' F R' U R F U2
F U2 F' U D2 F B2
F U2 F' U D2 B2 F
F U2 F' U' F2 U2 F'
F U2 F' D2 U F B2
F U2 F' D2 U B2 F
U' F R2 U R2 F U2
U' F R2 U F R2 U2
U' F R2 U' D2 L2 B'
U' F R2 D2 U' L2 B'
U2 F R2 U F B U2
U2 F R2 U B F U2
U' F U F U F' U
D F R2 B L2 U' F
D F R2 B U B' U2
U2 F U D F U2 F2
U2 F U D' F U2 F2
U2 F U D2 F U2 F2
U2 F U F U2 F2 D
U2 F U F U2 F2 D'
U2 F U F U2 F2 D2
U2 F U F D2 B2 U2
U2 F U F B U2 F2
U2 F U F B' U2 F2
U2 F U F B2 U2 F2
U2 F U B F U2 F2
U2 F U B' F U2 F2
U2 F U B2 F U2 F2
U' F U' B2 D L2 B'
U2 F U' L2 F' B' L2
U2 F U' L2 B' L2 F'
U2 F U' L2 B' F' L2
U' F U2 L2 U B' L2
F2 D L R2 U B U
D' F U2 L2 F' U F
U2 F U' D F' D2 B2
U2 F U' D' F' D2 B2
U2 F U' D2 F' D2 B2
U2 F U' F' U2 F2 U2
U2 F U' F' D2 B2 D
U2 F U' F' D2 B2 D'
U2 F U' F' D2 B2 D2
U2 F U' F' B D2 B2
U2 F U' F' B' D2 B2
U2 F U' F' B2 D2 B2
U2 F U' B F' D2 B2
U2 F U' B' F' D2 B2
D2 F U2 F' U F B2
D2 F U2 F' U B2 F
U2 F U' B2 F' D2 B2
D F U' R2 B U' R2
U2 F U2 L2 U F' B'
U2 F U2 L2 U B' F'
F2 D L' R2 U B U
U2 F D L2 U' F' B'
U2 F D L2 U' B' F'
F2 D L2 R2 U B U
U2 F D U F U2 F2
U2 F D U' F' D2 B2
U2 F D' L2 U' F' B'
U2 F D' L2 U' B' F'
U2 F D' U F U2 F2
U2 F D' U' F' D2 B2
U2 F D2 L2 U' F' B'
U2 F D2 L2 U' B' F'
U2 F D2 U F U2 F2
U2 F D2 U' F' D2 B2
F2 D R2 L U B U
F2 D R2 L' U B U
F2 D R2 L2 U B U
F2 D R2 U D B U
F2 D R2 U D' B U
F2 D R2 U D2 B U
F2 D R2 U B U D
F2 D R2 U B U D'
F2 D R2 U B U D2
F2 D R2 U B D U
F2 D R2 U B D' U
F2 D R2 U B D2 U
F2 D R2 D U B U
F2 D R2 D' U B U
F2 D R2 D2 U B U
D F B' R2 B U' F'
F2 D U' F' U R2 U2
F2 D U' F' U' D2 L2
F2 D U' F' D B2 U'
F2 D U' F' D2 U' L2
B' D U2 R2 F U' F2
B' D U2 F R2 U' F'
B2 D U2 R2 F L2 U'
B2 D U2 F L2 R2 U'
B2 D U2 F R2 L2 U'
B' D F R2 B U' F'
B2 D F L2 R2 B U'
B2 D F R2 L2 B U'
B2 D F R2 B L2 U'
F' D F' U F2 U R2
F' D F' U2 R2 D' L2
U2 F' R2 F2 U' F' B
U2 F' R2 F2 U' B F'
D' F' U F L2 B' U
U F' R2 D B R2 F'
U2 F' U' D R2 F B
U2 F' U' D R2 B F
F2 D' L U' F' U' L
D F' U' F2 R2 B U'
B' D' L2 R2 B' U F'
B2 D' L2 R B' R U
B2 D' L2 R2 D B' U
B2 D' L2 R2 D' B' U
B2 D' L2 R2 D2 B' U
B2 D' L2 R2 B' U D
B2 D' L2 R2 B' U D'
B2 D' L2 R2 B' U D2
B2 D' L2 R2 B' D U
B2 D' L2 R2 B' D' U
B2 D' L2 R2 B' D2 U
U2 F' D U' R2 F B
U2 F' D U' R2 B F
B' D' L2 B' U D2 F2
B' D' L2 B' U' B2 U2
B' D' L2 B' D' R2 U
B' D' L2 B' D2 U F2
F' D' L2 F' U' B' U'
B2 D' L2 D' B' U F2
B2 D' L2 B R2 B2 U
B2 D' L2 B' R2 U D
B2 D' L2 B' R2 U D'
B2 D' L2 B' R2 U D2
B2 D' L2 B' R2 D U
B2 D' L2 B' R2 D' U
B2 D' L2 B' R2 D2 U
B2 D' L2 B' U D' F2
B2 D' L2 B' D' U F2
B D' L2 R B' U F
B D' L2 R' B' U F
B D' L2 R2 B' U F
B2 D' R L2 B' R U
U F' D R2 D' F2 B
U F' D R2 D' B F2
U F' D R2 B D' F2
B D' L2 D B' U F
B D' L2 D' B' U F
B D' L2 D2 B' U F
B D' L2 B' R U F
B D' L2 B' R' U F
B D' L2 B' R2 U F
B D' L2 B' U D F
B D' L2 B' U D' F
B D' L2 B' U D2 F
B D' L2 B' U F D
B D' L2 B' U F D'
B D' L2 B' U F D2
B D' L2 B' D U F
B D' L2 B' D' U F
B D' L2 B' D2 U F
B D' R L2 B' U F
B' D' R2 L2 B' U F'
B D' R' L2 B' U F
B2 D' R2 L2 D B' U
B2 D' R2 L2 D' B' U
B2 D' R2 L2 D2 B' U
B2 D' R2 L2 B' U D
B2 D' R2 L2 B' U D'
B2 D' R2 L2 B' U D2
B2 D' R2 L2 B' D U
B2 D' R2 L2 B' D' U
B2 D' R2 L2 B' D2 U
F2 D' R2 U B U L2
B2 D' R2 B L2 B' U
B2 D' R2 B' L2 B' U
B2 D' R2 B2 L2 B' U
B D' R2 L2 B' U F
U' F2 L U' L' F' U'
F2 D' U' F' U' L2 D
F2 D' U' F' U' L2 D'
F2 D' U' F' U' L2 D2
F2 D' U' F' D' B2 U'
F2 D' U' F' B U' L2
F2 D' U' F' B' U' L2
F2 D' U' F' B2 U' L2
U' F2 L' U' L F' U'
U' F2 L' U' F' L U'
F2 D' U' B F' U' L2
F2 D' U' B' F' U' L2
F2 D' U' B2 F' U' L2
L' F2 L' U F2 B' U
L' F2 L' U B' F2 U
F2 D' U2 L2 U F' U'
U' F2 L2 U' L2 F' U'
U' F2 L2 U' F' L2 U'
L F2 L U F2 B' U
L F2 L U B' F2 U
F' D' F' L2 U F2 U
F' D' F' L2 U2 D' L2
F' D' F' L2 D R2 U2
F' D' F' L2 D' U2 L2
L2 F2 R U F2 B' U
L2 F2 R U B' F2 U
L2 F2 R' U F2 B' U
L2 F2 R' U B' F2 U
B2 D' B L2 R2 B' U
R' F2 R2 U F2 B U
R' F2 R2 U B F2 U
B2 D' B L2 B' R2 U
B2 D' B R2 L2 B' U
L2 F2 R2 U F2 B' U
L2 F2 R2 U B' F2 U
B2 D' B' L2 R2 B' U
B2 D' B' L2 B' R2 U
B2 D' B' R2 L2 B' U
R2 F2 R2 U F2 B U
R2 F2 R2 U B F2 U
B' D' B2 L2 B' U F
R' F2 U F2 U2 F U'
D' F2 U F2 L2 B' U
U' F2 U' L F' U' F
U' F2 U' L' F' U' F
U' F2 U' L2 F' U' F
L' F2 U F2 B' U R'
L' F2 U B' F2 U R'
B2 D' B2 L2 R2 B' U
B2 D' B2 L2 B' R2 U
U' F2 U' D F' U' F
U' F2 U' D' F' U' F
U' F2 U' D2 F' U' F
B2 D' B2 R2 L2 B' U
L2 F2 U D' B' U L2
U' F2 U' F' U' D F
U' F2 U' F' U' D' F
