D L' D R2 F B'
D L' D R2 B' F
D L' D F R2 B'
D L' D F B' R2
B' L' D F2 R B'
B' L' D F2 B' R
D L' D B' R2 F
D L' D B' F R2
B' L' D B' F2 R
B' L' B' D F2 R
D L' B' D R2 F
D L' B' D F R2
D2 R2 D' L' F B'
D2 R2 D' L' B' F
L' D' F2 R F' B'
L' D' F2 R B' F'
L' D' F2 B' R F'
L' D' B' F2 R F'
L' F2 D' R F' B'
L' F2 D' R B' F'
L' F2 D' B' R F'
L' D' F2 R F' B' D
L' D' F2 R F' B' D'
L' D' F2 R F' B' D2
L' D' F2 R B' D F'
L' D' F2 R B' D' F'
L' D' F2 R B' D2 F'
L' D' F2 R B' F' D
L' D' F2 R B' F' D'
L' D' F2 R B' F' D2
L' D' F2 B R F' B2
L' D' F2 B R B2 F'
L' D' F2 B' R D F'
L' D' F2 B' R D' F'
L' D' F2 B' R D2 F'
L' D' F2 B' R F' D
L' D' F2 B' R F' D'
L' D' F2 B' R F' D2
L' D' B F2 R F' B2
L' D' B F2 R B2 F'
L' D' B' R F2 R F
L' D' B' F' R F' R
L' D' B' F2 R D F'
L' D' B' F2 R D' F'
L' D' B' F2 R D2 F'
L' D' B' F2 R F' D
L' D' B' F2 R F' D'
L' D' B' F2 R F' D2
R' D2 R2 D' L' F B'
R' D2 R2 D' L' B' F
R2 D2 R2 D' L' F B'
R2 D2 R2 D' L' B' F
R D2 R2 D' L' F B'
R D2 R2 D' L' B' F
B' U2 L' D F2 R B
L' D2 B' D F2 R F'
B' D L' D R2 F2 B'
B' D L' D R2 B' F2
B' D L' D F2 R2 B'
B' D L' D F2 B' R2
B' D L' D B' R2 F2
B' D L' D B' F2 R2
B' D L' B' D R2 F2
B' D L' B' D F2 R2
L' F D' F R F' B'
L' F D' F R B' F'
L' F D' F B' R F'
L' F D' B' F R F'
L' F B' U L F U'
L' F2 R B' U L U'
B' D2 L U' L2 R2 B'
B' D2 L U' L2 B' R2
B' D2 L U' R2 L2 B'
B' D2 L' R2 D F2 B'
B' D2 L' R2 D B' F2
B' D2 L' R2 B' D F2
B' D2 L' B' R2 D F2
L' F2 D B' D2 R F'
L' F2 D' R D F' B'
L' F2 D' R D B' F'
L' F2 D' R D' F' B'
L' F2 D' R D' B' F'
L' F2 D' R D2 F' B'
L' F2 D' R D2 B' F'
L' F2 D' R F' D B'
L' F2 D' R F' D' B'
L' F2 D' R F' D2 B'
L' F2 D' R F' B' D
L' F2 D' R F' B' D'
L' F2 D' R F' B' D2
L' F2 D' R B' D F'
L' F2 D' R B' D' F'
L' F2 D' R B' D2 F'
L' F2 D' R B' F' D
L' F2 D' R B' F' D'
L' F2 D' R B' F' D2
L' F2 D' B R F' B2
L' F2 D' B R B2 F'
L' F2 D' B' R D F'
L' F2 D' B' R D' F'
L' F2 D' B' R D2 F'
L' F2 D' B' R F' D
L' F2 D' B' R F' D'
L' F2 D' B' R F' D2
L' F2 D2 B' D R F'
L' F2 B R B2 D' F2
B' D2 R2 L' D F2 B'
B' D2 R2 L' D B' F2
B' D2 R2 L' B' D F2
L' F2 B' R U L U'
L' F2 B' U L U' R
D B L' D R2 F B'
D B L' D R2 B' F
D B L' D F R2 B'
D B L' D F B' R2
D B L' D B' R2 F
D B L' D B' F R2
D B L' B' D R2 F
D B L' B' D F R2
L' B R B2 D' F2 R
D2 B R2 D' L' F B'
D2 B R2 D' L' B' F
L' B F2 R B2 D' F2
R' B' L' D F2 R B'
R' B' L' D F2 B' R
R' B' L' D B' F2 R
L' B' L' D L F2 R
R' B' L' B' D F2 R
U2 B' L' D F2 R B
R2 B' L' D F2 R B'
R2 B' L' D F2 B' R
R2 B' L' D B' F2 R
D B' L' D R2 F B'
D B' L' D R2 B' F
D B' L' D F R2 B'
D B' L' D F B' R2
D B' L' D B' R2 F
D B' L' D B' F R2
R2 B' L' B' D F2 R
D B' L' B' D R2 F
D B' L' B' D F R2
R B' L' D F2 R B'
R B' L' D F2 B' R
R B' L' D B' F2 R
R B' L' B' D F2 R
D2 B' R2 D' L' F B'
D2 B' R2 D' L' B' F
L' B' U L U L2 U2
L' B' U L U' D2 R2
L' B' U L D F2 U'
L' B' U L D2 U' R2
L' B' U F2 L U' R
L' B' U2 L' U' L2 U'
L' B' U2 L' U2 D F2
L' B' U2 L' D U2 F2
L' B' U2 L' D' B2 U2
L' B' F U L F U'
L' B' F2 R U L U'
L' B' F2 U L U' R
D B2 L' D R2 F B'
D B2 L' D R2 B' F
D B2 L' D F R2 B'
D B2 L' D F B' R2
D B2 L' D B' R2 F
D B2 L' D B' F R2
D B2 L' B' D R2 F
D B2 L' B' D F R2
D2 B2 R2 D' L' F B'
D2 B2 R2 D' L' B' F
L B2 U L2 R' F' B'
L B2 U L2 R' B' F'
L B2 U R' L2 F' B'
L B2 U R' L2 B' F'
