L2 B' R' U L2
L2 R B' R' U L2
L2 R' B' R' U L2
B' L2 R' B' U L2
R' L2 B' R' U L2
L2 R2 B' R' U L2
R2 L2 B' R' U L2
R L2 B' R' U L2
B' R' L2 B' U L2
B' R' L2 B' U L2
L2 D F2 B' R' U
L2 D B' R' F2 U
L2 D B' F2 R' U
B' U' L2 R' B' U
B' U' R' L2 B' U
L2 F B' R' U L2
L2 F' B' R' U L2
L2 F2 B' R' U L2
L2 B' R' U L2 D
L2 B' R' U L2 D'
L2 B' R' U L2 D2
L2 B' R' D F2 U
L2 B' R' F U L2
L2 B' R' F' U L2
L2 B' R' F2 U L2
L2 B' D R' F2 U
L2 B' D F2 R' U
L2 B' F R' U L2
L2 B' F' R' U L2
L2 B' F2 R' U L2
B' U' L2 D' R' B' U
B' U' L2 D2 R' B' U
B2 U' L2 B R' B2 U
B2 U' L2 B' U2 L U'
B' U' R L2 B' R2 U
U D' R' F U' F2 B2
U D' R' F U' B2 F2
B U' L2 B' U2 L' U'
B' U' R' L2 D B' U
B' U' R' L2 D' B' U
B' U' R' L2 D2 B' U
B' U' R' L2 B' U D
B' U' R' L2 B' U D'
B' U' R' L2 B' U D2
B' U' R' L2 B' D U
B' U' R' L2 B' D' U
B' U' R' L2 B' D2 U
B' U' R' B L2 B' U
B' U' R' B' L2 B' U
B' U' R' B2 L2 B' U
B' U' R2 L2 B' R U
U D' F R' U' F' B2
U D' F R' U' B2 F'
L2 D' B' R' U2 B' U'
L' D2 L' B' R' U L2
B' U' B L2 B' R' U
B2 U' B L2 R' B' U
B2 U' B R' L2 B' U
B U' B' L2 B' R' U
B2 U' B2 L2 B' R' U
B U' B2 L2 R' B' U
B U' B2 R' L2 B' U
U D2 R' F R' U' F2
U D2 R2 D' F L' U'
L2 D2 B' R' U' R' U2
L2 D2 B' D' R' F2 U
L2 D2 B' D' F2 R' U
L2 D2 B' D2 R' U L2
D2 F L' R2 U' L F
D' F L' U' L F B2
D' F L' U' L B2 F
U F L U2 L U F
L2 F R B' R' U L2
D2 F R2 L' U' L F
U F R D2 R2 U' F'
L2 F R' B' R' U L2
D2 F R2 B L U' L'
U F R' U' D' F' B2
U F R' U' D' B2 F'
U F R' U' F' D' B2
U F R' U2 L2 U F'
U F R' D' U' F' B2
U F R' D' U' B2 F'
L2 F R2 B' R' U L2
L' F U' L F R B
U2 F U2 L2 R U L2
U2 F U2 R L2 U L2
L2 F D F2 B' R' U
L2 F D B' R' F2 U
L2 F D B' F2 R' U
D' F B L U' L' B
D' F B L U' B L'
D2 F B L R2 U' L'
U F D' R' U' F' B2
U F D' R' U' B2 F'
D2 F B R2 L U' L'
L2 F B' R' U L2 D
L2 F B' R' U L2 D'
L2 F B' R' U L2 D2
L2 F B' R' D F2 U
L2 F B' R' F U L2
L2 F B' R' F' U L2
L2 F B' R' F2 U L2
L2 F B' D R' F2 U
L2 F B' D F2 R' U
L2 F' R B' R' U L2
L2 F' R' B' R' U L2
L2 F' R2 B' R' U L2
U2 F' U' L' F2 R U'
L2 F' D F2 B' R' U
F D' L' U' L F B2
F D' L' U' L B2 F
L2 F' D B' R' F2 U
L2 F' D B' F2 R' U
B2 D' R F' B2 D R2
B2 D' R B2 F' D R2
L2 F' B' R' U L2 D
L2 F' B' R' U L2 D'
L2 F' B' R' U L2 D2
L2 F' B' R' D F2 U
L2 F' B' R' F U L2
L2 F' B' R' F' U L2
L2 F' B' R' F2 U L2
L2 F' B' D R' F2 U
L2 F' B' D F2 R' U
B D' U F L U' B2
B D' F L U' L' B2
B D' F L U' B2 L'
L' F2 R U' L F R
L2 F2 R B' R' U L2
L2 F2 R' B' R' U L2
F D' B L U' L' B
F D' B L U' B L'
L2 F2 R2 B' R' U L2
B' D' B2 U F L U'
B2 D' B2 R F' D R2
F D2 L' R2 U' L F
L2 F2 D F2 B' R' U
L2 F2 D B' R' F2 U
L2 F2 D B' F2 R' U
B2 D2 R2 F L' U' L
L2 F2 B' R' U L2 D
L2 F2 B' R' U L2 D'
L2 F2 B' R' U L2 D2
L2 F2 B' R' D F2 U
L2 F2 B' R' F U L2
L2 F2 B' R' F' U L2
L2 F2 B' R' F2 U L2
L2 F2 B' D R' F2 U
L2 F2 B' D F2 R' U
B2 D2 U R2 F L' U'
B2 D2 U F L' R2 U'
B2 D2 U F R2 L' U'
F D2 R2 L' U' L F
B D2 R2 F L U' L'
F D2 R2 B L U' L'
B D2 U R2 F L U'
B D2 U F L R2 U'
B D2 U F R2 L U'
B2 D2 F L' R2 U' L
B2 D2 F R2 L' U' L
B D2 F L R2 U' L'
B D2 F R2 L U' L'
L2 B R B2 R' U L2
D2 B R2 F L U' L'
L2 B R' B2 R' U L2
D2 B U R2 F L U'
F D2 B L R2 U' L'
D2 B U F L R2 U'
D2 B U F R2 L U'
D' B U F L U' B
F D2 B R2 L U' L'
L2 B R2 B2 R' U L2
B F L U' L' D' B2
B F L U2 L U L2
F B L U' L' D' B2
F B L U2 L U L2
B F L B' U' L' B'
B F L B2 R' U' L'
F B L B' U' L' B'
F B L B2 R' U' L'
D2 B F L R2 U' L'
D' B F L U' L' B
D' B F L U' B L'
D2 B F R2 L U' L'
B' F U' L2 R' U R
B' F U' R' L2 U R
R' B' L2 R' B' U L2
R2 B' L2 R' B' U L2
L2 B' R U L2 D' F2
R' B' R' L2 B' U L2
L2 B' R F R2 U L2
B F D' L U' L' B2
B F D' L U' B2 L'
L2 B' R F' R2 U L2
L2 B' R F2 R2 U L2
R B' L2 R' B' U L2
F B D' L U' L' B2
F B D' L U' B2 L'
L2 B' R' U L D L
L2 B' R' U L D' L
L2 B' R' U L D2 L
L2 B' R' U L' D L'
L2 B' R' U L' D' L'
L2 B' R' U L' D2 L'
L2 B' R' U F L2 F'
L2 B' R' U F2 L2 F2
L2 B' R' U B' L2 B
L2 B' R' U B2 L2 B2
L2 B' R' U' R U2 L2
L2 B' R' U' R' U2 L2
L2 B' R' U' R2 U2 L2
L2 B' R' U' D2 R2 U2
L2 B' R' U2 D' B2 U'
L2 B' R' U2 B U' L2
L2 B' R' U2 B' U' L2
L2 B' R' U2 B2 U' L2
L2 B' R' D F2 U D
L2 B' R' D F2 U D'
L2 B' R' D F2 U D2
L2 B' R' D F2 D U
L2 B' R' D F2 D' U
L2 B' R' D F2 D2 U
L2 B' R' D' U2 B2 U'
L2 B' R' D2 U' R2 U2
L2 B' R' F U L2 D
L2 B' R' F U L2 D'
L2 B' R' F U L2 D2
B F D2 L R2 U' L'
L2 B' R' F D F2 U
L2 B' R' F' U L2 D
L2 B' R' F' U L2 D'
L2 B' R' F' U L2 D2
R2 B' R' L2 B' U L2
L2 B' R' F' D F2 U
L2 B' R' F2 U L2 D
L2 B' R' F2 U L2 D'
L2 B' R' F2 U L2 D2
L2 B' R' F2 D F2 U
B F D2 R2 L U' L'
F B D2 L R2 U' L'
L2 B' R2 D R F2 U
F B D2 R2 L U' L'
R B' R' L2 B' U L2
L2 B' U L2 U' R' U
R' B' U' L2 R' B' U
R' B' U' R' L2 B' U
R2 B' U' L2 R' B' U
R2 B' U' R' L2 B' U
L2 B' U2 D' B2 L U'
L2 B' U2 B2 L U' L
R B' U' L2 R' B' U
R B' U' R' L2 B' U
L2 B' D R F2 R2 U
L2 B' D R' U D' L2
L2 B' D R' D' U L2
L2 B' D R' F2 U D
L2 B' D R' F2 U D'
L2 B' D R' F2 U D2
L2 B' D R' F2 D U
L2 B' D R' F2 D' U
L2 B' D R' F2 D2 U
L2 B' D F R' F U
L2 B' D F2 R' U D
L2 B' D F2 R' U D'
L2 B' D F2 R' U D2
L2 B' D F2 R' D U
L2 B' D F2 R' D' U
L2 B' D F2 R' D2 U
L2 B' D F2 D R' U
L2 B' D F2 D' R' U
L2 B' D F2 D2 R' U
L2 B' D' R' U D L2
L2 B' D' R' U2 B2 U'
L2 B' D' R' D U L2
L2 B' D' R' D2 F2 U
L2 B' D' U2 B2 L U'
L2 B' D2 R' U' R' U2
L2 B' F R' U L2 D
L2 B' F R' U L2 D'
L2 B' F R' U L2 D2
L2 B' F R' D F2 U
L2 B' F R' F U L2
L2 B' F R' F' U L2
L2 B' F R' F2 U L2
L2 B' F D R' F2 U
L2 B' F D F2 R' U
L2 B' F' R' U L2 D
L2 B' F' R' U L2 D'
L2 B' F' R' U L2 D2
L2 B' F' R' D F2 U
L2 B' F' R' F U L2
L2 B' F' R' F' U L2
L2 B' F' R' F2 U L2
F B' U' L2 R' U R
L2 B' F' D R' F2 U
L2 B' F' D F2 R' U
F B' U' R' L2 U R
L2 B' F2 R' U L2 D
L2 B' F2 R' U L2 D'
L2 B' F2 R' U L2 D2
L2 B' F2 R' D F2 U
L2 B' F2 R' F U L2
L2 B' F2 R' F' U L2
L2 B' F2 R' F2 U L2
L2 B' F2 D R' F2 U
L2 B' F2 D F2 R' U
D' B2 U D2 F L' U'
D' B2 D' R F' D R2
D' B2 D2 U F L' U'
