U' L' U L F U'
B' U B L U2 L2
B U B' U2 L' R'
B U B' U2 R' L'
B U' L2 F L R
B U' L2 F R L
L F U' L2 D F2
L F B U' L2 F
U2 F' U F L' R
U2 F' U F R L'
L B F U' L2 F
L F D' B2 D L2 U'
L F D' B2 D2 U' F2
L F B L' U' L' F
B' D U B L U2 L2
L F B U B' U2 L2
L F B U' L2 D F
L F B U' L2 D' F
L F B U' L2 D2 F
L F B U' L2 F D
L F B U' L2 F D'
L F B U' L2 F D2
L F B U' F L2 F
L F B U' F' L2 F
L F B U' F2 L2 F
L F B' U B U2 L2
B D U B' U2 L' R'
B D U B' U2 R' L'
B D U' L2 F L R
B D U' L2 F R L
L F B2 U B2 U2 L2
L F B2 U' L2 D2 F2
U2 F' R B U F L'
U2 F' U R F L' R
U2 F' U R F R L'
U2 F' U R' F L' R
U2 F' U R' F R L'
U2 F' U R2 F L' R
U2 F' U R2 F R L'
U2 F' U F L' R D
U2 F' U F L' R D'
U2 F' U F L' R D2
U2 F' U F L' D R
U2 F' U F L' D' R
U2 F' U F L' D2 R
U2 F' U F R L' D
U2 F' U F R L' D'
U2 F' U F R L' D2
U2 F' U F R D L'
U2 F' U F R D' L'
U2 F' U F R D2 L'
U2 F' U F D L' R
U2 F' U F D R L'
U2 F' U F D' L' R
U2 F' U F D' R L'
U2 F' U F D2 L' R
U2 F' U F D2 R L'
L F' U' L2 D R2 F2
L F' U' L2 D F2 R2
U2 F' B U F L' R
U2 F' B U F R L'
U2 F' B' U F L' R
U2 F' B' U F R L'
B' D' U B L U2 L2
U2 F' B2 U F L' R
U2 F' B2 U F R L'
B D' U B' U2 L' R'
B D' U B' U2 R' L'
B D' U' L2 F L R
B D' U' L2 F R L
U2 F2 U F R F L'
B2 D2 L F U' F L2
B' D2 U B L U2 L2
B2 D2 U' L' F R F
B D2 U B' U2 L' R'
B D2 U B' U2 R' L'
B D2 U' L2 F L R
B D2 U' L2 F R L
U B L U2 L2 D F2
L B L' U' L' F R
D2 B U B' U2 L' R'
D2 B U B' U2 R' L'
D' B U B' U2 L' R'
D' B U B' U2 R' L'
D2 B U' L2 F L R
D2 B U' L2 F R L
D' B U' L2 F L R
D' B U' L2 F R L
D B U B' U2 L' R'
D B U B' U2 R' L'
D B U' L2 F L R
D B U' L2 F R L
U2 B F' U F L' R
U2 B F' U F R L'
L B F L' U' L' F
F2 B U R B' U2 R'
L B F U B' U2 L2
L B F U' L2 D F
L B F U' L2 D' F
L B F U' L2 D2 F
L B F U' L2 F D
L B F U' L2 F D'
L B F U' L2 F D2
L B F U' F L2 F
L B F U' F' L2 F
L B F U' F2 L2 F
F' B U' L2 F L' R
F' B U' L2 F R L'
F2 B U B' R U2 R2
D2 B' U B L U2 L2
D' B' U B L U2 L2
D B' U B L U2 L2
F2 B' U B L R U2
F2 B' U B R L U2
B F' U' L2 F L' R
B F' U' L2 F R L'
U2 B' F' U F L' R
U2 B' F' U F R L'
L B' F U B U2 L2
B' F2 U B L R U2
B' F2 U B R L U2
B F2 U R B' U2 R'
B F2 U B' R U2 R2
L B2 D F L2 B' U'
U2 B2 F' U F L' R
U2 B2 F' U F R L'
L B2 F U B2 U2 L2
L B2 F U' L2 D2 F2
